,Concept_ID,et,av
91,Regenbogen::N,vikerkaar,нур
92,Regenbogen::N,vikerkaar,чамбара
93,Donner::N,kõu,гъугъай
94,Donner::N,kõu,гъугъади
95,Donner::N,müristamine,гъугъай
96,Donner::N,müristamine,гъугъади
97,Strömung::N,voolus,чвахи
98,Strömung::N,jõevool,чвахи
99,Tropfen::N,tilk,резел
100,Tropfen::N,tilk,тӏинкӏ
101,Tropfen::N,tilk,къатӏра
102,Tropfen::N,tilk,тӏенкӏел
103,Schaum::N,vaht,полоп
104,Schmutz::N,pori,чороклъи
105,Schmutz::N,mustus,чороклъи
106,See::N,järv,хӏор
107,Sumpf::N,soo,хьуцӏ
108,Moor::N,raba,
109,Wiese::N,aas,мегъ
110,Wiese::N,aas,гӏурдаллъи
111,Wiese::N,nurm,мегъ
112,Wiese::N,nurm,гӏурдаллъи
113,Wald::N,mets,рохь
114,Hügel::N,küngas,гохӏ
115,Anhöhe::N,küngas,сийитма
116,Berg::N,mägi,мегӏер
117,Gipfel::N,mäetipp,тӏогь
118,Höhle::N,koobas,нохъо
119,Abhang::N,nõlvak,лабаллъи
120,Quelle::N,allikas,ицц
121,Bach::N,oja,лъар
122,Fluss::N,jõgi,гӏор
123,Ufer::N,kallas,рагӏал
124,Küste::N,rannik,рагӏал
125,Festland::N,mander,ракь
126,Festland::N,mander,ракъдаллъи
127,Festland::N,maismaa,ракь
128,Festland::N,maismaa,ракъдаллъи
129,Meer::N,meri,ралъад
130,Bucht::N,laht,кӏветӏ
131,Insel::N,saar,чӏинкӏиллъи
132,Blume::N,lill,тӏегь
133,Gras::N,rohi,хер
134,Wurzel::N,juur,кьибил
135,Baum::N,puu,гъветӏ
136,Stamm::N,tüvi,рохти
137,Rinde::N,koor,макъар
138,Ast::N,oks,ноцӏ
139,Zweig::N,oks,гӏаркьел
140,Blatt::N,leht,тӏамах
141,Birke::N,kask,мах
142,Birke::N,kask,махигъветӏ
143,Kiefer[Baum]::N,mänd,накӏкӏигъветӏ
144,Weide[Baum]::N,paju,рицӏцӏ
145,Weide[Baum]::N,paju,рицӏцӏигъветӏ
146,Tanne::N,nulg,ёлка
147,Horn::N,sarv,лълъар
148,Feder::N,sulg,хӏули
149,Fell::N,karvkate,тӏом
150,Fell::N,karvkate,цӏоко
151,Fell::N,karusnahk,тӏом
152,Fell::N,karusnahk,цӏоко
153,Flügel::N,tiib,кваркьи
154,Flügel::N,tiivik,кваркьи
155,Klaue::N,küüs,галъ
156,Kralle::N,küünis,квачӏ
157,Kralle::N,küünis,катиквачӏ
158,Schwanz::N,saba,рачӏ
159,Ei::N,muna,хоно
160,Nest::N,pesa,бусен
161,Bau::N,urg,каратӏ
162,Tier::N,loom,хӏайван
163,Herde::N,kari,рехъен
164,Herde::N,kari,рехъед
165,Kuh::N,lehm,гӏака
166,Bulle::N,pull,оц
167,Pferd::N,hobune,чу
168,Schaf::N,lammas,чахъу
169,Schwein::N,siga,болъон
170,Hund::N,koer,гьой
171,Katze::N,kass,кету
172,Bär::N,karu,ци
173,Eichhörnchen::N,orav,гвангва
174,Elch::N,põder,
175,Fuchs::N,rebane,цер
176,Hase::N,jänes,гӏанкӏ
177,Maus::N,hiir,гӏункӏкӏ
178,Wolf::N,hunt,бацӏ
179,Vogel::N,lind,хӏинчӏ
180,Schwarm::N,parv,тӏел
181,Huhn::N,kana,гӏанкӏу
182,Hahn::N,kukk,хӏелеко
183,Gans::N,hani,хъаз
184,Adler::N,kotkas,цӏум
185,Ente::N,part,ордек
186,Eule::N,kakk,беццаруз
187,Eule::N,öökull,беццаруз
188,Kranich::N,kurg,къункъра
189,Krähe::N,vares,гъеду
190,Kuckuck::N,kägu,гагу
191,Schwan::N,luik,хӏанкъва
192,Fisch::N,kala,ччугӏа
193,Barsch::N,ahven,окунь
194,Hecht::N,haug,щука
195,Schlange[Tier]::N,uss,борохь
196,Wurm::N,uss,хӏапара
197,Wurm::N,vagel,хӏапара
198,Spinne::N,ämblik,хъанхъра
199,Ameise::N,sipelgas,цӏунцӏра
200,Laus::N,täi,нацӏ
201,Mücke::N,sääsk,кӏкӏара
202,Fliege::N,kärbes,тӏутӏ
203,Schmetterling::N,liblikas,кӏалкӏучӏ
204,Beere::N,mari,
205,Apfel::N,õun,гӏеч
206,Pilz::N,seen,гӏурдахӏан
207,Zwiebel::N,sibul,кӏочӏопер
208,Saat::N,seeme,хьон
209,Korn::N,iva,мугь
210,Korn::N,tera,мугь
211,Heu::N,hein,хер
212,Schale::N,koor,хъал
213,Grube::N,kaevand,гвенд
214,Falle::N,lõks,къор
215,Falle::N,lõks,къотен
216,Falle::N,püünis,къор
217,Falle::N,püünis,къотен
218,Schlinge::N,aas,кӏичӏ
219,Spur::N,jälg,лъалкӏ
220,Asche::N,tuhk,рахъу
221,Dreck::N,saast,гъиз
222,Dreck::N,saast,хӏарщ
223,Dreck::N,mustus,гъиз
224,Dreck::N,mustus,хӏарщ
225,Eisen::N,raud,махх
226,Gold::N,kuld,месед
227,Silber::N,hõbe,гӏарац
228,Kohle::N,süsi,тӏурччи
229,Glas::N,klaas,цӏер
230,Lehm::N,savi,хӏатӏ
231,Sand::N,liiv,сали
232,Mensch::N,inimene,чи
233,Mann::N,mees,бихьинчи
234,Frau::N,naine,гӏадан
235,Kind::N,laps,лъимер
236,Junge::N,poiss,вас
237,Mädchen::N,tüdruk,яс
238,Familie::N,perekond,хъизан
239,Großvater::N,vanaisa,кӏудада
240,Großmutter::N,vanaema,кӏодо
241,Eltern::N,vanemad,эбел-эмен
242,Vater::N,isa,эмен
243,Mutter::N,ema,эбел
244,Sohn::N,poeg,вас
245,Tochter::N,tütar,яс
246,Bruder::N,vend,вац
247,Schwester::N,õde,яц
248,Onkel::N,onu,даци
249,Tante::N,tädi,ада
250,Ehemann::N,mees,рос
251,Ehemann::N,abikaasa,рос
252,Ehefrau::N,naine,чӏужу
253,Ehefrau::N,abikaasa,чӏужу
254,Freude::N,rõõm,ракӏбохи
255,Gelächter::N,naer,релъи
256,Glück::N,õnn,талихӏ
257,Glück::N,õnn,талихӏ-рохел
258,Kummer::N,mure,хӏалкъай
259,Kummer::N,kurbus,хӏалкъай
260,Wunsch::N,soov,къасд
261,Lust::N,himu,гъира
262,Geist::N,vaim,чӏанкӏ
263,Geist::N,vaim,рухӏ-жан
264,Gedanke::N,mõte,пикру
265,Gedächtnis::N,mälu,
266,Verstand::N,aru,лумалъи
267,Verstand::N,aru,цӏодорлъи
268,Verstand::N,mõistus,лумалъи
269,Verstand::N,mõistus,цӏодорлъи
270,Sinn::N,tähendus,магӏна
271,Grund::N,põhjus,багьана
272,Wahrheit::N,tõde,ритӏухълъи
273,Gespräch::N,kõne,накъит
274,Gespräch::N,vestlus,накъит
275,Märchen::N,muinasjutt,маргьа
276,Erzählung::N,jutustus,къиса
277,Nachricht::N,teade,хабар
278,Neuigkeit::N,uudis,хабар-гӏазаб
279,Name::N,nimi,цӏар
280,Rätsel::N,mõistatus,бицанкӏо
281,Rede::N,kõne,речь
282,Rede::N,kõne,калам
283,Sprache::N,keel,мацӏ
284,Stimme::N,hääl,гьаракь
285,Wort::N,sõna,рагӏи
286,Zeichen::N,märk,ишара
287,Zeichen::N,märk,гӏаламат
288,Ruf::N,hüüe,ахӏи
289,Lärm::N,müra,хъуй
290,Lärm::N,müra,хъуди
291,Laut::N,hääl,гьаракь
292,Laut::N,hääl,сас
293,Ton::N,toon,
294,Lied::N,laul,кечӏ
295,Ruhe::N,rahu,рахӏат
296,Ruhe::N,vaikus,рахӏат
297,Leute::N,inimesed,гӏадамал
298,Volk::N,rahvas,халкъ
299,Arbeit::N,töö,хӏалтӏи
300,Gast::N,külaline,гьобол
301,Geschenk::N,kingitus,сайигъат
302,Spiel::N,mäng,хӏай
303,Spiel::N,mäng,расанди
304,Gesellschaft::N,selts,жамагӏат
305,Hilfe::N,abi,кумек
306,Freund::N,sõber,гьудул
307,Kamerad::N,sõber,гьалмагъ
308,Angelegenheit::N,asi,къваригӏел
309,Anzahl::N,arv,рикӏкӏен
310,Anzahl::N,hulk,рикӏкӏен
311,Art::N,liik,жинс
312,Stück::N,tükk,кесек
313,Teil::N,osa,пай
314,Hälfte::N,pool,бащдаб
315,Kreis::N,ring,гор
316,Kreuz::N,rist,хъанч
317,Linie::N,joon,мухъ
318,Strich::N,joon,хӏучч
319,Abstand::N,vahe,манзил
320,Entfernung::N,kaugus,манзил
321,Entfernung::N,vahemaa,манзил
322,Gegend::N,ümbrus,рахъ
323,Platz::N,ruum,бакӏ
324,Ort::N,paik,бакӏ
325,Seite::N,pool,рахъ
326,Mitte::N,keskpaik,бакьулъбакӏ
327,Gegenstand::N,ese,жо
328,Sache::N,ese,жо
329,Rand::N,äär,мицӏир
330,Rand::N,serv,мицӏир
331,Kante::N,kant,рагӏал
332,Kante::N,kant,рагӏа-ракьан
333,Ecke::N,nurk,цили
334,Spitze::N,teravik,тӏогь
335,Ende::N,ots,кӏал
336,Ende::N,jupp,кӏал
337,Loch::N,auk,каратӏ
338,Winkel::N,nurk,
339,Muster::N,muster,накъиш
340,Größe::N,suurus,кӏодо́лъи
341,Länge::N,pikkus,халалъи
342,Höhe::N,kõrgus,борхалъи
343,Gewicht::N,kaal,бакӏлъи
344,Gewicht::N,raskus,бакӏлъи
345,Menge::N,arv,
346,Menge::N,hulk,
347,Haufen::N,hunnik,гъуни
348,Reihe::N,rivi,ирга́
349,Boot::N,paat,раса
350,Ruder::N,aer,раххан
351,Schlitten::N,saan,чанагъ
352,Ski::N,suusk,лыжаби
353,Lagerfeuer::N,lõke,цӏа
354,Last::N,koorem,бакӏлъи
355,Gang::N,käik,хьвади
356,Gang::N,käik,хьвада-чӏвади
357,Schritt::N,samm,гали
358,Norden::N,põhi,шимал
359,Süden::N,lõuna,юг
360,Süden::N,lõuna,къибла
361,Westen::N,lääs,гъарб
362,Westen::N,lääs,магъриб
363,Osten::N,ida,шаркъ
364,Osten::N,ida,машрикъ
365,Holz::N,puu,цӏул
366,Brett::N,saelaud,хъарщи
367,Platte::N,plaat,къоно
368,Stütze::N,tugi,
369,Stange::N,latt,гӏер
370,Stange::N,teivas,гӏер
371,Stock::N,kepp,тӏил
372,Stab::N,varras,гӏер
373,Rohr::N,toru,турба
374,Haus::N,maja,ригь
375,Haus::N,maja,рукъзал
376,Heim::N,kodu,рукъ
377,Ofen::N,ahi,печь
378,Fußboden::N,põrand,чӏабар
379,Tisch::N,laud,стол
380,Stuhl::N,tool,бакӏу
381,Wiege::N,häll,кини
382,Wiege::N,kätki,кини
383,Bett::N,voodi,кровать
384,Regal::N,riiul,хъарщи
385,Kiste::N,kast,ящик
386,Kiste::N,kast,тӏалагъуд
387,Fenster::N,aken,гордо
388,Tür::N,uks,нуцӏа
389,Tor::N,värav,каву
390,Zaun::N,aed,раци
391,Zaun::N,tara,раци
392,Dach::N,katus,тӏох
393,Leiter::N,redel,мали
394,Besen::N,luud,жул
395,Spaten::N,labidas,бел
396,Schaufel::N,kühvel,раххан
397,Gabel::N,kahvel,гӏучӏ
398,Löffel::N,lusikas,гъуд
399,Messer::N,nuga,нус
400,Nagel::N,nael,магӏ
401,Netz::N,võrk,гьин
402,Haken::N,haak,гъанцӏа
403,Haken::N,konks,гъанцӏа
404,Griff::N,sang,гӏоркь
405,Griff::N,käepide,гӏоркь
406,Schloss::N,lukk,кӏулал
407,Bild::N,pilt,сурат
408,Figur::N,kuju,
409,Figur::N,kujund,
410,Puppe::N,nukk,нани
411,Beutel::N,paun,таргьа
412,Bündel::N,kimp,къай
413,Tasche::N,kott,сумка
414,Tasche::N,kott,къвачӏа
415,Eimer::N,pang,ведро
416,Eimer::N,ämber,ведро
417,Deckel::N,kaas,тӏалъел
418,Deckel::N,kaas,дадитӏалъел
419,Geschirr::N,nõud,цӏарагӏ
420,Sack::N,kott,хъап
421,Sack::N,kott,къандалъо
422,Tasse::N,tass,чашка
423,Topf::N,pada,хьаг
424,Kessel::N,pada,хьаг
425,Kessel::N,pada,гереги
426,Essen::N,söök,тӏагӏам
427,Nahrung::N,toit,квен
428,Speise::N,roog,квен
429,Fleisch::N,liha,гьан
430,Getreide::N,teravili,бугӏа-ролъ
431,Getreide::N,teravili,могьолабл_культураби
432,Brei::N,puder,карщ
433,Brot::N,sai,чед
434,Brot::N,leib,чед
435,Scheibe::N,viil,мочӏу
436,Scheibe::N,viilukas,мочӏу
437,Fett::N,rasv,беэнлъи
438,Butter::N,või,нах
439,Öl::N,õli,нах
440,Salz::N,sool,цӏам
441,Suppe::N,supp,чурпа
442,Honig::N,mesi,гьоцӏо
443,Milch::N,piim,рахь
444,Tee::N,tee,чай
445,Leder::N,nahk,тӏом
446,Wolle::N,vill,квас
447,Stoff::N,kangas,ххам
448,Nadel::N,nõel,рокӏкӏен
449,Faden::N,niit,кун
450,Knopf::N,nööp,маргъал
451,Knoten::N,sõlm,гарацӏ
452,Farbe::N,värv,релъен
453,Kleidung::N,riided,ретӏел
454,Kleidung::N,riietus,ретӏел
455,Hemd::N,särk,гурде
456,Kragen::N,krae,габур
457,Ärmel::N,varrukas,къвал
458,Hose::N,püksid,тӏажу
459,Gürtel::N,vöö,рачел
460,Mütze::N,müts,тӏагъур
461,Schuh::N,king,
462,Stiefel::N,saabas,этек
463,Stiefel::N,saabas,чакма
464,Ring::N,sõrmus,баргъич
465,Band::N,lint,лента
466,Kamm::N,kamm,гьоркьо
467,Spiegel::N,peegel,матӏу
468,Riemen::N,rihm,рижу
469,Schnur::N,nöör,
470,Leine::N,jalutusrihm,
471,Decke::N,tekk,одея́ло
472,Kissen::N,padi,къандалъо
473,Tuch::N,kalev,квархьи
474,Handtuch::N,käterätik,беркӏалрацӏцӏ
475,Kraft::N,jõud,гуч
476,Kraft::N,jõud,къуват
477,Stärke::N,tugevus,хӏалкӏвей
478,Gesundheit::N,tervis,сахлъи́
479,Krankheit::N,haigus,унти
480,Krankheit::N,haigus,щокълъи
481,Schmerz::N,valu,унти
482,Wunde::N,haav,ругъун
483,Fieber::N,palavik,цӏа-кан
484,Arznei::N,ravim,дару
485,Brücke::N,sild,кьо
486,Brunnen::N,kaev,гъуй
487,Weide::N,karjamaa,рицӏцӏ
488,Weide::N,karjamaa,лъичӏирма
489,Weide::N,karjamaa,гӏурдаллъи
490,Weide::N,karjamaa,ри́цӏигъветӏ
491,Weide::N,karjamaa,рицӏцӏигъветӏ
492,Pfad::N,rada,сухъмахъ
493,Weg::N,tee,нух
494,Straße::N,tee,нух
495,Dorf::N,küla,росу
496,Stadt::N,linn,шагьар
497,Brief::N,kiri,кагъат
498,Brief::N,kiri,рисалат
499,Buch::N,raamat,тӏехь
500,Buchstabe::N,täht,хӏарп
501,Zeitung::N,ajaleht,газет
502,Leben::N,elu,яшав
503,Tod::N,surm,хвел
504,Grab::N,haud,хоб
505,Kirche::N,kirik,килиса
506,Sünde::N,patt,хӏакъ
507,Sünde::N,patt,мунагь
508,Gott::N,jumal,бичас
509,Gott::N,jumal,аллагь
510,Arbeiter::N,tööline,хӏалтӏухъан
511,Chef::N,ülemus,хӏаким
512,Chef::N,ülemus,начальник
513,Chef::N,juhataja,хӏаким
514,Chef::N,juhataja,начальник
515,Meister::N,meister,устар
516,Meister::N,meister,мастер
517,Meister::N,meister,махщалилав
518,Arzt::N,arst,жайрахӏ
519,Lehrer::N,õpetaja,мугӏалим
520,Geld::N,raha,гӏарац
521,Geschäft::N,äri,
522,Laden::N,pood,тукен
523,Laden::N,kauplus,тукен
524,Preis::N,hind,багьа
525,Ware::N,kaup,къайи
526,Nutzen::N,tulu,мунпагӏат
527,Nutzen::N,kasulikkus,мунпагӏат
528,Reichtum::N,rikkus,бечелъи
529,Welt::N,maailm,дуниял
530,Land::N,maa,улка
531,Land::N,maa,икълим
532,Staat::N,riik,пачалихъ
533,König::N,kuningas,пача
534,König::N,kuningas,малик
535,König::N,kuningas,къирал
536,König::N,kuningas,падишагь
537,Macht::N,võim,кверщел
538,Grenze::N,piir,гӏорхъи
539,Krieg::N,sõda,рагъ
540,Feind::N,vaenlane,тушман
541,Gewalt::N,väevõim,зулму
542,Kampf::N,võitlus,къеркьей
543,Bogen[Waffe]::N,vibu,газаргъо
544,Pfeil::N,nool,чӏор
545,Gewehr::N,püss,туманкӏ
546,Fehler::N,viga,гъалатӏ
547,Lüge::N,vale,гьереси
548,Schaden::N,kahju,зиян
549,Schaden::N,kahju,зарал
550,Unglück::N,häda,балагь
551,Unglück::N,õnnetus,балагь
552,Schuld::N,süü,гӏайиб
553,Alter::N,iga,гӏумру
554,Schluss::N,lõpp,ахир
555,Zeit::N,aeg,заман
556,Tag::N,päev,къо
557,Morgen::N,hommik,радалмех
558,Mittag::N,lõuna,къадемех
559,Mittag::N,keskpäev,къадемех
560,Abend::N,õhtu,релъедамех
561,Nacht::N,öö,сордо
562,Woche::N,nädal,анкь
563,Monat::N,kuu,моцӏ
564,Jahr::N,aasta,сон
565,Jahr::N,aasta,лъагӏел
566,Frühling::N,kevad,их
567,Sommer::N,suvi,рии
568,Herbst::N,sügis,хасалихълъи
569,Winter::N,talv,кьин
570,Januar::N,jaanuar,январь
571,Februar::N,veebruar,февра́ль
572,März::N,märts,март
573,April::N,aprill,апрель
574,Mai::N,mai,май
575,Juni::N,juuni,июнь
576,Juli::N,juuli,июль
577,August::N,august,август
578,September::N,september,сентябрь
579,Oktober::N,oktoober,октябрь
580,November::N,november,ноябрь
581,Dezember::N,detsember,декабрь
582,Montag::N,esmaspäev,итни
583,Dienstag::N,teisipäev,талат
584,Mittwoch::N,kesknädal,арбагӏ
585,Donnerstag::N,neljapäev,хамиз
586,Freitag::N,reede,рузман
587,Samstag::N,laupäev,щамат
588,Sonntag::N,pühapäev,гьатӏан
589,groß::A,suur,кӏудияб
590,klein::A,väike,гьитӏинаб
591,klein::A,pisike,гьитӏинаб
592,lang::A,pikk,халатаб
593,kurz::A,lühike,къокъаб
594,breit::A,lai,гӏебаб
595,schmal::A,kitsas,къваридаб
596,dicht::A,tihe,ризаб
597,dick[Gegenstand]::A,jäme,бицатаб
598,dünn::A,õhuke,тӏеренаб
599,dünn::A,peenike,тӏеренаб
600,fein::A,peen,тӏеренаб
601,fein::A,õhuke,тӏеренаб
602,fest::A,püsiv,къвакӏараб
603,fest::A,kindel,къвакӏараб
604,flach::A,lame,чӏепараб
605,flach::A,tasane,чӏепараб
606,glatt::A,sile,цӏвакараб
607,hart::A,kõva,кьварараб
608,weich::A,pehme,тамахаб
609,rund::A,ümar,гургинаб
610,spitz::A,torkav,бегӏераб
611,scharf::A,terav,рекӏараб
612,stumpf::A,nüri,тӏехӏараб
613,stumpf::A,nüri,рекӏинчӏеб
614,schwer::A,raske,бакӏаб
615,schön::A,kena,берцинаб
616,heiß::A,kuum,лагьараб
617,heiß::A,palav,лагьараб
618,warm::A,soe,хинаб
619,kalt::A,külm,квачараб
620,kühl::A,jahe,квачараб
621,frisch::A,värske,цӏияб
622,feucht::A,niiske,рагьараб
623,nass::A,märg,би́ччараб
624,trocken::A,kuiv,бакъвараб
625,voll::A,täis,
626,leer::A,tühi,чӏобогояб
627,offen::A,avatud,рагьараб
628,offen::A,lahtine,рагьараб
629,geschlossen::A,suletud,рахараб-къараб
630,sauber::A,puhas,бацӏцӏадаб
631,schmutzig::A,räpane,гъизараб
632,schmutzig::A,määrdunud,гъизараб
633,roh::A,toores,хамаб
634,roh::A,toores,гӏатӏгояб
635,reif::A,küps,барщараб
636,lecker::A,hõrk,тӏагӏамаб
637,lecker::A,maitsev,тӏагӏамаб
638,süß::A,magus,гьуинаб
639,bitter::A,mõru,кьогӏаб
640,sauer::A,hapu,цӏекӏаб
641,hell::A,hele,канаб
642,dunkel::A,pime,бецӏаб
643,schwarz::A,must,чӏегӏераб
644,weiß::A,valge,хъахӏаб
645,rot::A,punane,багӏараб
646,gelb::A,kollane,гӏобилаб
647,gelb::A,kollane,тӏогьилаб
648,blau::A,sinine,хъахӏилаб
649,grün::A,roheline,гӏурччинаб
650,grau::A,hall,накӏкӏуяб
651,bunt::A,kirju,къвекӏаб
652,bunt::A,kirju,чара-гъараб
653,bunt::A,värviline,къвекӏаб
654,bunt::A,värviline,чара-гъараб
655,billig::A,odav,учузаб
656,teuer::A,kallis,хири́яб
657,wertvoll::A,väärtuslik,къиматаб
658,blind::A,pime,беццаб
659,taub::A,kurt,гъугъаб
660,kräftig::A,jõuline,гучаб
661,stark::A,tugev,къуватаб
662,schwach::A,nõrk,гӏажизаб
663,schwach::A,jõuetu,гӏажизаб
664,fett::A,rasvane,кьарияб
665,schlank::A,sale,чергесаб
666,hübsch::A,kena,гьайбатаб
667,böse::A,tige,ракӏквешаб
668,dumm::A,juhm,гьагаб
669,dumm::A,juhm,гӏантаб
670,dumm::A,rumal,гьагаб
671,dumm::A,rumal,гӏантаб
672,faul::A,laisk,кӏохӏалаб
673,faul::A,laisk,кӏухӏа́лаб
674,fleißig::A,virk,хӏаракатаб
675,fleißig::A,hoolas,хӏаракатаб
676,geizig::A,ihne,къарумаб
677,klug::A,tark,лумияб
678,klug::A,arukas,лумияб
679,klug::A,mõistlik,лумияб
680,geschickt::A,osav,махщел бугев
681,lieb::A,armas,гӏазизаб
682,lustig::A,lõbus,кепаб
683,sanft::A,õrn,хӏалимаб
684,sanft::A,õrn,хӏере́наб
685,hungrig::A,näljane,бакъараб
686,krank::A,haige,щокъаб
687,krank::A,haige,унтараб
688,nackt::A,alasti,гӏицӏаб
689,nackt::A,alasti,чӏанкӏараб
690,traurig::A,kurb,пашманаб
691,lebendig::A,elus,чӏагояб
692,gut::A,hea,лъикӏаб
693,schlecht::A,halb,къадараб
694,richtig::A,õige,битӏараб
695,schlimm::A,paha,нажасаб
696,schlimm::A,paha,къабихӏаб
697,wahr::A,tõene,хӏакъаб
698,wahr::A,tõene,битӏараб
699,alt::A,vana,басрияб
700,neu::A,uus,цӏияб
701,ehemalig::A,endine,цебе́госеб
702,alt[Lebewesen]::A,vana,хераб
703,jung::A,noor,тӏинчӏаб
704,jung::A,noor,гӏолохъанаб
705,arm::A,vaene,пакъираб
706,reich::A,rikas,бечедаб
707,bekannt::A,teada,лъалеб
708,bekannt::A,tuttav,лъалеб
709,berühmt::A,tuntud,машгьураб
710,fremd::A,võõras,чияр
711,verschieden::A,erinev,батӏи-батӏияб
712,nah::A,lähedane,гӏагарда бугеб
713,fern::A,kauge,рикӏкӏадаб
714,linker::A,vasak,квегӏаб
715,rechter::A,parem,кваранаб
716,anderer::A,muu,батӏияб
717,anderer::A,teine,батӏияб
718,erster::A,esimene,тӏоцебесеб
719,zweiter::A,teine,кӏиабилеб
720,dritter::A,kolmas,лъабабилеб
721,letzter::A,viimane,ахирисеб
722,allein::ADV,üksi,ялгъузго
723,auf einmal::ADV,korraga,цихӏинтӏаго
724,auf einmal::ADV,ühekorraga,цихӏинтӏаго
725,zusammen::ADV,koos,цойида
726,zusammen::ADV,üheskoos,цойида
727,lange::ADV,kaua,
728,plötzlich::ADV,äkki,цойидасанго
729,plötzlich::ADV,järsku,цойидасанго
730,sofort::ADV,kohe,гьебсагӏат
731,später::ADV,hiljem,
732,jetzt::ADV,nüüd,гьанже
733,heute::ADV,täna,жакъа
734,morgen::ADV,homme,метер
735,bald::ADV,pea,гьабсагӏаталъ
736,bald::ADV,varsti,гьабсагӏаталъ
737,dann::ADV,siis,цинги
738,gestern::ADV,eile,сон
739,einst::ADV,vanasti,цин
740,damals::ADV,tookord,гьебмехалъ
741,damals::ADV,tookord,гьебмехалда
742,danach::ADV,seejärel,цинги
743,danach::ADV,seejärel,хадуса
744,vorher::ADV,enne,цебе
745,zuerst::ADV,enne,тӏоцебе
746,zuerst::ADV,esmalt,тӏоцебе
747,einmal::ADV,kord,цинцӏул
748,einmal::ADV,kord,цихӏин
749,einmal::ADV,kord,цоцӏул
750,einmal::ADV,üks kord,цинцӏул
751,einmal::ADV,üks kord,цихӏин
752,einmal::ADV,üks kord,цоцӏул
753,manchmal::ADV,mõnikord,олоцӏул
754,oft::ADV,tihti,гӏемерго
755,oft::ADV,sageli,гӏемерго
756,immer::ADV,ikka,кидаго
757,immer::ADV,alati,кидаго
758,niemals::ADV,mitte kunagi,киданиги
759,hier::ADV,siin,аниб
760,hierhin::ADV,siia,анибехун
761,von hier::ADV,siit,гьаниса
762,dort::ADV,seal,гьениб
763,dorthin::ADV,sinna,гьадаба
764,geradeaus::ADV,otse edasi,битӏутӏа
765,vorwärts::ADV,edasi,цебехун
