,Concept_ID,ml,fr
177,Hahn::N,പൂവൻകോഴി,coq
178,Gans::N,അരയന്നം,oie
179,Adler::N,കഴുകൻ,aigle
180,Ente::N,താറാവ്,canard
181,Eule::N,മൂങ്ങ,hibou
182,Kranich::N,കൊക്ക്,grue
183,Krähe::N,കാക്ക,corneille
184,Kuckuck::N,കുയിൽ,coucou
185,Schwan::N,അരയന്നം,cygne
186,Fisch::N,മത്സ്യം,poisson
187,Barsch::N,ഒരിനം മത്സ്യം,perche
188,Hecht::N,ഒരു മത്സ്യം,brochet
189,Schlange[Tier]::N,പാമ്പ്,serpent
190,Wurm::N,വിര,ver
191,Spinne::N,ചിലന്തി,araignée
192,Ameise::N,ഉറുമ്പ്,fourmi
193,Laus::N,പേന്,pou
194,Mücke::N,മശകം,moucheron
195,Fliege::N,ഈച്ച,mouche
196,Schmetterling::N,ചിത്രശലഭം,papillon
197,Beere::N,ബെറി,baie
198,Apfel::N,ആപ്പിൾ,pomme
199,Pilz::N,കൂൺ,champignon
200,Zwiebel::N,സവാള,oignon
201,Saat::N,വിത്ത്,semence
202,Korn::N,ധാന്യം,grain
203,Heu::N,വയ്ക്കോൽ,foin
204,Schale::N,തൊലി,pelure
205,Grube::N,കുഴി,fosse
206,Falle::N,കെണി,piège
207,Schlinge::N,കുടുക്ക്,lacs
208,Spur::N,ചുവട്,trace
209,Asche::N,ചാരം,cendre
210,Dreck::N,അഴുക്ക്,crotte
211,Eisen::N,ഇരുമ്പ്,fer
212,Gold::N,സ്വർണ്ണം,or
213,Silber::N,വെള്ളി,argent
214,Kohle::N,കൽക്കരി,charbon
215,Glas::N,ഗ്ലാസ്,verre
216,Lehm::N,കളിമണ്ണ്,glaise
217,Sand::N,മണൽ,sable
218,Mensch::N,മനുഷ്യർ,homme
219,Mann::N,പുരുഷൻ,homme
220,Frau::N,സ്ത്രീ,femme
221,Kind::N,കുഞ്ഞ്,enfant
222,Junge::N,ആൺകുട്ടി,garçon
223,Mädchen::N,പെൺകുട്ടി,fille
224,Mädchen::N,പെൺകുട്ടി,jeune fille
225,Familie::N,കുടുംബം,famille
226,Großvater::N,അപ്പൂപ്പൻ,grand-père
227,Großmutter::N,അമ്മുമ്മ,grand-mère
228,Eltern::N,മാതാപിതാക്കള്,parents
229,Vater::N,അച്ഛൻ,père
230,Mutter::N,അമ്മ,mère
231,Sohn::N,മകൻ,fils
232,Tochter::N,മകൾ,fille
233,Bruder::N,ചേട്ടൻ,frère
234,Bruder::N,അനിയൻ,frère
235,Schwester::N,ചേച്ചി,sœur
236,Schwester::N,അനിയത്തി,sœur
237,Onkel::N,അമ്മാവൻ,oncle
238,Tante::N,മാമി,tante
239,Ehemann::N,ഭർത്താവ്,mari
240,Ehemann::N,ഭർത്താവ്,époux
241,Ehefrau::N,ഭാര്യ,femme
242,Ehefrau::N,ഭാര്യ,épouse
243,Freude::N,ആഹ്ലാദം,joie
244,Freude::N,ആഹ്ലാദം,plaisir
245,Gelächter::N,ചിരിയുടെ ശബ്ദം,rires
246,Glück::N,സന്തോഷം,bonheur
247,Glück::N,സന്തുഷ്ടി,bonheur
248,Kummer::N,ശോകം,peine
249,Kummer::N,ശോകം,chagrin
250,Wunsch::N,ആഗ്രഹം,désir
251,Lust::N,ആഗ്രഹം,envie
252,Geist::N,ചുറുചുറുക്ക്,esprit
253,Gedanke::N,ചിന്ത,idée
254,Gedanke::N,ചിന്ത,pensée
255,Gedächtnis::N,ഓർമ്മശക്തി,mémoire
256,Verstand::N,മനസ്സ്,raison
257,Sinn::N,അർത്ഥം,sens
258,Grund::N,കാരണം,cause
259,Grund::N,കാരണം,raison
260,Wahrheit::N,സത്യം,vérité
261,Gespräch::N,സല്ലാപം,conversation
262,Märchen::N,യക്ഷിക്കഥ,conte
263,Märchen::N,യക്ഷിക്കഥ,conte de fées
264,Erzählung::N,കഥ,conte
265,Erzählung::N,കഥ,narration
266,Nachricht::N,സന്ദേശം,message
267,Neuigkeit::N,വാർത്ത,nouvelle
268,Name::N,പേര്,nom
269,Rätsel::N,പ്രഹേളിക,énigme
270,Rätsel::N,പ്രഹേളിക,devinette
271,Rede::N,സംസാരം,parole
272,Rede::N,സംസാരം,discours
273,Sprache::N,ഭാഷ,langue
274,Sprache::N,ഭാഷ,langage
275,Stimme::N,സ്വരം,voix
276,Wort::N,വാക്ക്,mot
277,Zeichen::N,സംജ്ഞ,signe
278,Ruf::N,വിളി,cri
279,Ruf::N,വിളി,appel
280,Lärm::N,ആരവം,bruit
281,Laut::N,ശബ്ദം,son
282,Ton::N,സ്വരഭേദം,ton
283,Lied::N,പാട്ട്,chant
284,Lied::N,പാട്ട്,chanson
285,Ruhe::N,നിശ്ചലത,calme
286,Ruhe::N,നിശ്ചലത,tranquillité
287,Leute::N,ജനങ്ങൾ,gens
288,Volk::N,രാഷ്ടം,peuple
289,Arbeit::N,ജോലി,travail
290,Gast::N,അതിലി,hôte
291,Gast::N,അതിലി,invité
292,Geschenk::N,സമ്മാനം,cadeau
293,Geschenk::N,സമ്മാനം,présent
294,Spiel::N,കളി,jeu
295,Gesellschaft::N,കൂട്ടായ്മ,compagnie
296,Hilfe::N,സഹായം,aide
297,Hilfe::N,സഹായം,secours
298,Freund::N,സുഹൃത്ത്,ami
299,Kamerad::N,കൂട്ടാളി,copain
300,Kamerad::N,കൂട്ടാളി,camarade
301,Angelegenheit::N,കാര്യം,affaire
302,Anzahl::N,എണ്ണം,nombre
303,Art::N,തരം,sorte
304,Art::N,തരം,espèce
305,Stück::N,കഷണം,morceau
306,Teil::N,ഭാഗം,part
307,Teil::N,ഭാഗം,partie
308,Hälfte::N,പകുതി,moitié
309,Kreis::N,വൃത്തം,cercle
310,Kreuz::N,കുരിശടയാളം,croix
311,Linie::N,വര,ligne
312,Linie::N,രേഖ,ligne
313,Strich::N,പക്ഷാഘാതം,trait
314,Abstand::N,വിടവ്,écart
315,Entfernung::N,അകലം,distance
316,Gegend::N,പ്രദേശം,région
317,Gegend::N,പ്രദേശം,contrée
318,Platz::N,ഇടം,place
319,Ort::N,സ്ഥലം,lieu
320,Ort::N,സ്ഥലം,endroit
321,Seite::N,വശം,côté
322,Mitte::N,മധ്യസ്ഥാനം,milieu
323,Gegenstand::N,സാധനം,objet
324,Sache::N,വസ്തു,chose
325,Rand::N,തൊങ്ങൽ,bord
326,Kante::N,അറ്റം,arête
327,Ecke::N,മൂല,coin
328,Ecke::N,മൂല,tournant
329,Spitze::N,അഗ്രം,cime
330,Spitze::N,അഗ്രം,pointe
331,Ende::N,അവസാനം,bout
332,Loch::N,ദ്വാരം,trou
333,Winkel::N,കോൺ,coin
334,Winkel::N,കോൺ,réduit
335,Muster::N,ക്രമം,dessin
336,Größe::N,വലുപ്പം,grandeur
337,Länge::N,നീളം,longueur
338,Höhe::N,ഉയരം,hauteur
339,Höhe::N,ഉയരം,altitude
340,Gewicht::N,കട്ടി,poids
341,Menge::N,അളവ്,quantité
342,Haufen::N,കൂമ്പാരം,tas
343,Reihe::N,വരി,file
344,Reihe::N,വരി,rangée
345,Boot::N,ബോട്ട്,canot
346,Boot::N,ബോട്ട്,bateau
347,Ruder::N,പങ്കായം,rame
348,Ruder::N,പങ്കായം,aviron
349,Schlitten::N,ഉരുളില്ലാവണ്ടി,traîneau
350,Ski::N,ഹിമപാദുകം,ski
351,Lagerfeuer::N,തീ,feu de camp
352,Last::N,ഭാരം,charge
353,Last::N,ഭാരം,fardeau
354,Gang::N,നടത്തം,tour
355,Gang::N,നടത്തം,marche
356,Schritt::N,ചുവട്,pas
357,Norden::N,വടക്ക്,nord
358,Süden::N,തെക്ക്,sud
359,Westen::N,പടിഞ്ഞാറ്,ouest
360,Westen::N,പടിഞ്ഞാറ്,occident
361,Osten::N,കിഴക്ക്,est
362,Osten::N,കിഴക്ക്,orient
363,Holz::N,തടി,bois
364,Brett::N,ബോർഡ്,planche
365,Platte::N,തകിട്,plaque
366,Stütze::N,താങ്ങ്,appui
367,Stütze::N,താങ്ങ്,soutien
368,Stange::N,കമ്പ്,barre
369,Stange::N,കമ്പ്,perche
370,Stock::N,വടി,canne
371,Stab::N,കുറുവടി,bâton
372,Rohr::N,കുഴൽ,tube
373,Rohr::N,കുഴൽ,tuyau
374,Haus::N,വീട്,maison
375,Heim::N,വീട്,maison
376,Ofen::N,സ്റ്റൌ,poêle
377,Fußboden::N,തറ,plancher
378,Tisch::N,മേശ,table
379,Stuhl::N,കസേര,chaise
380,Wiege::N,തൊട്ടിൽ,berceau
381,Bett::N,കിടക്ക,lit
382,Regal::N,ഷെൽഫ്,étagère
383,Kiste::N,പെട്ടി,caisse
384,Fenster::N,ജനൽ,fenêtre
385,Tür::N,വാതിൽ,porte
386,Tor::N,കവാടം,porte
387,Tor::N,കവാടം,portail
388,Zaun::N,വേലി,clôture
389,Dach::N,മേൽക്കുര,toit
390,Leiter::N,ഏണി,échelle
391,Besen::N,ചൂല്,balai
392,Spaten::N,തൂമ്പ,bêche
393,Schaufel::N,തൂമ്പ,pelle
394,Gabel::N,മുൾക്കത്തി,fourchette
395,Löffel::N,സ്പൂൺ,cuiller
396,Messer::N,കത്തി,couteau
397,Nagel::N,ആണി,clou
398,Netz::N,വല,filet
399,Haken::N,കൊളുത്ത്,croc
400,Haken::N,കൊളുത്ത്,crochet
401,Griff::N,കൈപ്പിടി,prise
402,Griff::N,കൈപ്പിടി,manche
403,Schloss::N,പൂട്ട്,serrure
404,Bild::N,ചിത്രം,image
405,Bild::N,ചിത്രം,tableau
406,Figur::N,കണക്ക്,figure
407,Puppe::N,പാവ,poupée
408,Beutel::N,ബാഗ്,sac
409,Beutel::N,ബാഗ്,petit sac
410,Bündel::N,കെട്ട്,paquet
411,Bündel::N,കെട്ട്,faisceau
412,Tasche::N,ബാഗ്,sac
413,Eimer::N,ബക്കറ്റ്,seau
414,Deckel::N,ഉറ,couvercle
415,Geschirr::N,പിഞ്ഞാണം,vaisselle
416,Sack::N,ചാക്ക്,sac
417,Tasse::N,കപ്പ്,tasse
418,Topf::N,പാത്രം,pot
419,Topf::N,പാത്രം,marmite
420,Kessel::N,കെറ്റ്ല്,chaudron
421,Essen::N,ആഹാരസമയം,repas
422,Essen::N,ആഹാരസമയം,manger
423,Nahrung::N,ഭക്ഷണം,nourriture
424,Speise::N,ഡിഷ്,plat
425,Fleisch::N,മാംസം,viande
426,Getreide::N,ചോളം,blé
427,Getreide::N,ചോളം,céréales
428,Brei::N,കഞ്ഞി,purée
429,Brei::N,കഞ്ഞി,bouillie
430,Brot::N,റോട്ടി,pain
431,Scheibe::N,തുണ്ട്,tranche
432,Fett::N,കൊഴുപ്പ്,graisse
433,Butter::N,വെണ്ണ,beurre
434,Öl::N,എണ്ണ,huile
435,Salz::N,ഉപ്പ്,sel
436,Suppe::N,സൂപ്പ്,soupe
437,Suppe::N,സൂപ്പ്,potage
438,Honig::N,തേൻ,miel
439,Milch::N,പാൽ,lait
440,Tee::N,ചായ,thé
441,Leder::N,തുകൽ,cuir
442,Wolle::N,കമ്പിളി,laine
443,Stoff::N,തുണി,tissu
444,Stoff::N,തുണി,étoffe
445,Nadel::N,സൂചി,aiguille
446,Faden::N,നൂല്,fil
447,Knopf::N,ബട്ടൺ,bouton
448,Knoten::N,കുരുക്ക്,nœud
449,Farbe::N,പെയിൻറ്,peinture
450,Kleidung::N,വസ്ത്രങ്ങൾ,vêtements
451,Kleidung::N,വസ്ത്രങ്ങൾ,habillement
452,Hemd::N,ഷർട്ട്,chemise
453,Kragen::N,കുപ്പായക്കഴുത്ത്,col
454,Ärmel::N,കുപ്പായക്കൈ,manche
455,Hose::N,ട്രൌസർ,pantalon
456,Gürtel::N,ബെൽറ്റ്,ceinture
457,Mütze::N,തൊപ്പി,bonnet
458,Mütze::N,തൊപ്പി,casquette
459,Schuh::N,ഷൂ,soulier
460,Schuh::N,ഷൂ,chaussure
461,Stiefel::N,ബൂട്ട്,botte
462,Ring::N,മോതിരം,bague
463,Band::N,റിബൺ,ruban
464,Kamm::N,ചീപ്പ്,peigne
465,Spiegel::N,കണ്ണാടി,glace
466,Spiegel::N,കണ്ണാടി,miroir
467,Riemen::N,സ്ട്രാപ്പ്,lanière
468,Riemen::N,സ്ട്രാപ്പ്,courroie
469,Schnur::N,ചരട്,corde
470,Schnur::N,ചരട്,ficelle
471,Leine::N,കെട്ടാനുള്ള തോൽവാർ,laisse
472,Decke::N,പുതപ്പ്,couverture
473,Kissen::N,തലയിണ,oreiller
474,Tuch::N,സ്കാർഫ്,drap
475,Tuch::N,സ്കാർഫ്,fichu
476,Handtuch::N,തോർത്ത്,serviette
477,Handtuch::N,തോർത്ത്,essuie-mains
478,Kraft::N,ശക്തി,force
479,Stärke::N,ശക്തി,vigueur
480,Gesundheit::N,ആരോഗ്യം,santé
481,Krankheit::N,അസുഖം,maladie
482,Schmerz::N,വേദന,douleur
483,Wunde::N,മുറിവ്,plaie
484,Wunde::N,മുറിവ്,blessure
485,Fieber::N,പനി,fièvre
486,Arznei::N,മരുന്ന്,remède
487,Arznei::N,മരുന്ന്,médecine
488,Brücke::N,പാലം,pont
489,Brunnen::N,കിണർ,puits
490,Weide::N,മേച്ചൽ,pâturage
491,Pfad::N,വഴി,sentier
492,Weg::N,വഴി,voie
493,Weg::N,വഴി,chemin
494,Straße::N,റോഡ്,route
495,Dorf::N,ഗ്രാമം,village
496,Stadt::N,നഗരം,cité
497,Stadt::N,നഗരം,ville
498,Brief::N,കത്ത്,lettre
499,Buch::N,പുസ്തകം,livre
500,Buchstabe::N,അക്ഷരം,lettre
501,Buchstabe::N,അക്ഷരം,caractère
502,Zeitung::N,വർത്തമാനപത്രം,journal
503,Leben::N,ജീവൻ,vie
504,Tod::N,മരണം,mort
505,Grab::N,ശവക്കുഴി,tombe
506,Kirche::N,പള്ളി,église
507,Sünde::N,പാപം,péché
508,Gott::N,ദൈവം,dieu
509,Arbeiter::N,ജോലിക്കാരൻ,ouvrier
510,Arbeiter::N,ജോലിക്കാരൻ,travailleur
511,Chef::N,മേധാവി,chef
512,Chef::N,മേധാവി,patron
513,Meister::N,യജമാനൻ,maître
514,Arzt::N,ഡോക്ടർ,médecin
515,Lehrer::N,അധ്യാപകൻ,professeur
516,Lehrer::N,അധ്യാപകൻ,instituteur
517,Geld::N,പണം,argent
518,Geschäft::N,ബിസിനസ്,affaire
519,Geschäft::N,ബിസിനസ്,commerce
520,Laden::N,കട,magasin
521,Laden::N,കട,boutique
522,Preis::N,വില,prix
523,Ware::N,ചരക്ക്,marchandise
524,Nutzen::N,ലാഭം,profit
525,Reichtum::N,ധനം,richesse
526,Welt::N,ലോകം,monde
527,Land::N,രാജ്യം,pays
528,Staat::N,രാജ്യം,État
529,König::N,രാജാവ്,roi
530,Macht::N,അധികാരം,pouvoir
531,Macht::N,അധികാരം,puissance
532,Grenze::N,അതിർത്തി,frontière
533,Krieg::N,യുദ്ധം,guerre
534,Feind::N,ശത്രു,ennemi
535,Gewalt::N,അക്രമം,violence
536,Kampf::N,പോരാട്ടം,lutte
537,Kampf::N,പോരാട്ടം,combat
538,Bogen[Waffe]::N,വില്ല്,arc
539,Pfeil::N,അമ്പ്,flèche
540,Gewehr::N,തോക്ക്,fusil
541,Fehler::N,പിശക്,faute
542,Fehler::N,പിശക്,erreur
543,Lüge::N,കള്ളം,mensonge
544,Schaden::N,കേടുപാട്,dégât
545,Schaden::N,കേടുപാട്,dommage
546,Unglück::N,ദൌർഭാഗ്യം,malheur
547,Schuld::N,തെറ്റ്,faute
548,Schuld::N,തെറ്റ്,culpabilité
549,Alter::N,വയസ്സ്,âge
550,Schluss::N,നിഗമനം,fin
551,Zeit::N,സമയം,temps
552,Tag::N,ദിവസം,jour
553,Tag::N,ദിവസം,journée
554,Morgen::N,പ്രഭാതം,matin
555,Morgen::N,പ്രഭാതം,matinée
556,Mittag::N,ഉച്ച,midi
557,Abend::N,സായാഹ്നം,soir
558,Abend::N,സായാഹ്നം,soirée
559,Nacht::N,രാത്രി,nuit
560,Woche::N,ആഴ്ച,semaine
561,Monat::N,മാസം,mois
562,Jahr::N,വർഷം,an
563,Jahr::N,വർഷം,année
564,Frühling::N,വസന്തം,printemps
565,Sommer::N,വേനൽ,été
566,Herbst::N,ശരത്കാലം,automne
567,Winter::N,ശൈത്യം,hiver
568,Januar::N,ജനുവരി,janvier
569,Februar::N,ഫെബ്രുവരി,février
570,März::N,മാർച്ച്,mars
571,April::N,ഏപ്രിൾ മാസം,avril
572,Mai::N,മെയ് മാസം,mai
573,Juni::N,ജൂൺ,juin
574,Juli::N,ജൂലൈ,juillet
575,August::N,ആഗസ്റ്റ്,août
576,September::N,സെപ്തംബർ,septembre
577,Oktober::N,ഒക്ടോബർ,octobre
578,November::N,നവംബർ,novembre
579,Dezember::N,ഡിസംബർ,décembre
580,Montag::N,തിങ്കളാഴ്ച,lundi
581,Dienstag::N,ചൊവ്വ,mardi
582,Mittwoch::N,ബുധനാഴ്ച,mercredi
583,Donnerstag::N,വ്യാഴാഴ്ച,jeudi
584,Freitag::N,വെള്ളിയാഴ്ച,vendredi
585,Samstag::N,ശനിയാഴ്ച,samedi
586,Sonntag::N,ഞായറാഴ്ച,dimanche
587,groß::A,വലിയ,grand
588,klein::A,ചെറിയ,petit
589,lang::A,നീണ്ട,long
590,kurz::A,ഹ്രസ്വമായ,court
591,breit::A,വിശാലമായ,large
592,schmal::A,ഇടുങ്ങിയ,étroit
593,dicht::A,നിബിഡമായ,dense
594,dick[Gegenstand]::A,തടിച്ച,épais
595,dünn::A,മെലിഞ്ഞ,mince
596,fein::A,നേർത്ത,fin
597,fein::A,നേർത്ത,menu
598,fest::A,ഉറപ്പുള്ള,ferme
599,fest::A,ഉറപ്പുള്ള,solide
600,flach::A,പരന്ന,plat
601,glatt::A,മിനുസമുള്ള,poli
602,glatt::A,മിനുസമുള്ള,lisse
603,hart::A,കട്ടിയുള്ള,dur
604,weich::A,മൃദുവായ,mou
605,rund::A,വട്ടത്തിലുള്ള,rond
606,spitz::A,മുനയുള്ള,aigu
607,spitz::A,മുനയുള്ള,pointu
608,scharf::A,മൂർച്ചയുള്ള,tranchant
609,stumpf::A,തുറന്നടിക്കുന്ന,mousse
610,stumpf::A,തുറന്നടിക്കുന്ന,émoussé
611,schwer::A,ഭാരമുള്ള,lourd
612,schwer::A,ഭാരമുള്ള,pesant
613,schön::A,മനോഹരമായ,beau
614,heiß::A,ചൂടുള്ള,chaud
615,heiß::A,ചൂടുള്ള,très chaud
616,warm::A,ചൂടുള്ള,chaud
617,kalt::A,തണുത്ത,froid
618,kühl::A,തണുപ്പുള്ള,frais
619,frisch::A,ശുദ്ധമായ,frais
620,feucht::A,ഈറനുള്ള,humide
621,nass::A,നനഞ്ഞ,mouillé
622,trocken::A,വരണ്ട,sec
623,voll::A,നിറയെ,plein
624,voll::A,നിറയെ,rempli
625,leer::A,ഒഴിഞ്ഞ,vide
626,offen::A,തുറന്ന,ouvert
627,geschlossen::A,അടച്ച,clos
628,geschlossen::A,അടച്ച,fermé
629,sauber::A,വൃത്തിയുള്ള,net
630,sauber::A,വൃത്തിയുള്ള,propre
631,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sale
632,schmutzig::A,അഴുക്കുനിറഞ്ഞ,crasseux
633,roh::A,അസംസ്കൃതമായ,cru
634,roh::A,അസംസ്കൃതമായ,brut
635,reif::A,പഴുത്ത,mûr
636,lecker::A,രുചികരമായ,délicieux
637,lecker::A,രുചികരമായ,appétissant
638,süß::A,മധുരമുള്ള,doux
639,bitter::A,കടുത്ത,amer
640,sauer::A,പുളിപ്പുള്ള,aigre
641,hell::A,ജ്വലിക്കുന്ന,clair
642,dunkel::A,ഇരുണ്ട,sombre
643,schwarz::A,കറുത്ത,noir
644,weiß::A,വെളുത്ത,blanc
645,rot::A,ചുവന്ന,rouge
646,gelb::A,മഞ്ഞനിറമായ,jaune
647,blau::A,നീലനിറമുള്ള,bleu
648,grün::A,പച്ചനിറമുള്ള,vert
649,grau::A,ചാരനിറത്തിലുള്ള,gris
650,bunt::A,വർണ്ണശബളമായ,multicolore
651,billig::A,വിലകുറഞ്ഞ,bon marché
652,teuer::A,ചെലവേറിയ,cher
653,wertvoll::A,വിലപിടിപ്പുള്ള,précieux
654,blind::A,അന്ധനായ,aveugle
655,taub::A,കേൾവിക്കുറവുള്ള,sourd
656,kräftig::A,ശക്തിയുള്ള,fort
657,kräftig::A,ശക്തിയുള്ള,vigoureux
