,Concept_ID,ba,nl
70,Stein::N,таш,steen
71,Boden::N,тупраҡ,grond
72,Erde::N,балсҡ,aarde
73,Staub::N,туҙан,stof
74,Rauch::N,төтөн,rook
75,Funke::N,осҡон,vonk
76,Feuer::N,ут,vuur
77,Licht::N,яҡтылыҡ,licht
78,Schatten::N,күләгә,schaduw
79,Wetter::N,һауа торошо,weer
80,Nebel::N,төман,mist
81,Nebel::N,төман,nevel
82,Wolke::N,болот,wolk
83,Regen::N,ямғыр,regen
84,Schnee::N,ҡар,sneeuw
85,Eis::N,боҙ,ijs
86,Frost::N,һалҡын,vorst
87,Kälte::N,һыуыҡ,kou
88,Kälte::N,һыуыҡ,koude
89,Hitze::N,томра,hitte
90,Hitze::N,эҫелек,hitte
91,Raureif::N,ҡырау,rijp
92,Regenbogen::N,йәйғор,regenboog
93,Donner::N,күк күкрәү,donder
94,Strömung::N,ағым,stroming
95,Tropfen::N,тамсы,druppel
96,Schaum::N,күбек,schuim
97,Schmutz::N,батҡаҡ,vuil
98,See::N,күл,meer
99,Sumpf::N,һаҙлык,moeras
100,Moor::N,һаҙ,veen
101,Wiese::N,болон,wei
102,Wiese::N,болон,weide
103,Wald::N,урман,bos
104,Hügel::N,түбә,heuvel
105,Anhöhe::N,түбә,hoogte
106,Anhöhe::N,ҡалҡыулыҡ,hoogte
107,Berg::N,тау,berg
108,Gipfel::N,түбә,top
109,Höhle::N,мәмерйә,hol
110,Abhang::N,ипкен,helling
111,Quelle::N,шишмә,bron
112,Bach::N,шишмә,beek
113,Fluss::N,йылға,stroom
114,Ufer::N,яр,wal
115,Ufer::N,яр,oever
116,Küste::N,яр буйы,kust
117,Festland::N,ҡоро ер,vasteland
118,Meer::N,диңгез,zee
119,Bucht::N,бухта,baai
120,Bucht::N,бухта,inham
121,Insel::N,үтрау,eiland
122,Blume::N,сәскә,bloem
123,Gras::N,үлән,gras
124,Wurzel::N,тамыр,wortel
125,Baum::N,ағас,boom
126,Stamm::N,олон,stam
127,Stamm::N,көбәк,stam
128,Rinde::N,ҡабыҡ,schors
129,Ast::N,ботаҡ,tak
130,Zweig::N,ботаҡ,twijg
131,Zweig::N,тармаҡ,twijg
132,Blatt::N,япраҡ,blad
133,Birke::N,ҡайын,berk
134,Kiefer[Baum]::N,ҡарғай,den
135,Weide[Baum]::N,тал,wilg
136,Tanne::N,шыршы,spar
137,Horn::N,мөғөҙ,hoorn
138,Feder::N,ҡауырһын,veer
139,Feder::N,ҡауырһын,pluim
140,Fell::N,тире,vel
141,Flügel::N,ҡанат,vleugel
142,Klaue::N,тырнаҡ,klauw
143,Kralle::N,аяҡ,klauw
144,Schwanz::N,ҡойроҡ,staart
145,Ei::N,йомортҡа,ei
146,Nest::N,оя,nest
147,Bau::N,оң,hol
148,Tier::N,жайуан,dier
149,Tier::N,йыртҡыс,dier
150,Herde::N,көтөү,kudde
151,Kuh::N,һыйыр,koe
152,Bulle::N,үгеҙ,stier
153,Pferd::N,ат,paard
154,Schaf::N,һарыҡ,schaap
155,Schwein::N,сусҡа,varken
156,Hund::N,эт,hond
157,Katze::N,бесәй,kat
158,Bär::N,айыу,beer
159,Eichhörnchen::N,тейен,eekhoorntje
160,Elch::N,мышы,eland
161,Fuchs::N,төлкө,vos
162,Hase::N,ҡуян,haas
163,Maus::N,сысҡан,muis
164,Wolf::N,бүре,wolf
165,Vogel::N,ҡош,vogel
166,Schwarm::N,көтөү,zwerm
167,Huhn::N,тауыҡ,kip
168,Huhn::N,тауыҡ,hoen
169,Hahn::N,әтәс,haan
170,Gans::N,ҡаҙ,gans
171,Adler::N,бөркөт,arend
172,Ente::N,өйрәк,eend
173,Eule::N,өкө,uil
174,Eule::N,ябалаҡ,uil
175,Kranich::N,торна,kraanvogel
176,Krähe::N,ҡарға,kraai
177,Kuckuck::N,кәкүк,koekoek
178,Schwan::N,аҡҡош,zwaan
179,Fisch::N,балыҡ,vis
180,Barsch::N,алабуға,baars
181,Hecht::N,суртан,snoek
182,Schlange[Tier]::N,йылан,slang
183,Wurm::N,селяүсен,worm
184,Spinne::N,үрмәксе,spin
185,Ameise::N,ҡырмыҫҡа,mier
186,Laus::N,бет,luis
187,Mücke::N,серәкәй,mug
188,Fliege::N,себен,vlieg
189,Schmetterling::N,күбәләк,vlinder
190,Beere::N,еләк,bes
191,Apfel::N,алма,appel
192,Pilz::N,бәшмәк,paddestoel
193,Zwiebel::N,һуган,ui
194,Saat::N,орлоҡ,zaad
195,Korn::N,иген,graan
196,Korn::N,иген,korrel
197,Heu::N,бесән,hooi
198,Schale::N,ҡабыҡ,schil
199,Grube::N,соҡор,kuil
200,Falle::N,тоҙак,val
201,Falle::N,ҡапҡан,val
202,Schlinge::N,тоҙак,strop
203,Spur::N,әҫер,spoor
204,Asche::N,көл,as
205,Dreck::N,батҡаҡ,drek
206,Eisen::N,тимер,ijzer
207,Gold::N,алтын,goud
208,Silber::N,көмөш,zilver
209,Kohle::N,күмер,kool
210,Glas::N,быяла,glas
211,Lehm::N,балсыҡ,klei
212,Sand::N,ҡом,zand
213,Mensch::N,кеше,mens
214,Mann::N,ир,man
215,Frau::N,ҡатын,vrouw
216,Kind::N,бала,kind
217,Junge::N,малай,jongen
218,Mädchen::N,ҡыҙ,meisje
219,Mädchen::N,ҡыҙыҡай,meisje
220,Familie::N,ғаилә,gezin
221,Familie::N,ғаилә,familie
222,Großvater::N,олатай,grootvader
223,Großmutter::N,әбәй,grootmoeder
224,Eltern::N,ата-әсә,ouders
225,Vater::N,атай,vader
226,Mutter::N,әсә,moeder
227,Sohn::N,ул,zoon
228,Tochter::N,ҡыҙ,dochter
229,Bruder::N,агай,broer
230,Bruder::N,агай,broeder
231,Schwester::N,алай,zus
232,Schwester::N,алай,zuster
233,Schwester::N,һеңле,zus
234,Schwester::N,һеңле,zuster
235,Onkel::N,ағай,oom
236,Tante::N,апай,tante
237,Ehemann::N,ир,echtgenoot
238,Ehefrau::N,ҡатын,echtgenote
239,Freude::N,шатлыҡ,vreugde
240,Freude::N,ҡыуаныс,vreugde
241,Gelächter::N,көлөү,gelach
242,Glück::N,бәхет,geluk
243,Kummer::N,ҡайғы,verdriet
244,Wunsch::N,теләк,wens
245,Wunsch::N,теләк,verlangen
246,Lust::N,әүәҫлек,zin
247,Lust::N,әүәҫлек,lust
248,Geist::N,аң,geest
249,Geist::N,рух,geest
250,Gedanke::N,уй,gedachte
251,Gedanke::N,фекер,gedachte
252,Gedächtnis::N,хәтер,geheugen
253,Verstand::N,аҡыл,verstand
254,Sinn::N,мәғәня,betekenis
255,Grund::N,сәбәп,reden
256,Wahrheit::N,дөрөҫлөк,waarheid
257,Gespräch::N,әңгәмә,gesprek
258,Märchen::N,әкиәт,sprookje
259,Erzählung::N,хикәйә,verhaal
260,Nachricht::N,хәбәр,tijding
261,Neuigkeit::N,яңылыҡ,nieuws
262,Neuigkeit::N,яңылыҡ,nieuwtje
263,Name::N,исем,naam
264,Rätsel::N,йомаҡ,raadsel
265,Rede::N,телмәр,rede
266,Sprache::N,тел,taal
267,Sprache::N,телмәр,taal
268,Stimme::N,тауыш,stem
269,Wort::N,һүҙ,woord
270,Zeichen::N,билдә,teken
271,Ruf::N,саҡырыу,roep
272,Lärm::N,шаулау,lawaai
273,Laut::N,тауыш,klank
274,Laut::N,тауыш,geluid
275,Ton::N,яңғырау,toon
276,Ton::N,яңғырау,klank
277,Lied::N,йыр,lied
278,Ruhe::N,ял,rust
279,Ruhe::N,ял,stilte
280,Ruhe::N,тыныслыҡ,rust
281,Ruhe::N,тыныслыҡ,stilte
282,Leute::N,кешеләр,lui
283,Leute::N,кешеләр,mensen
284,Volk::N,халҡ,volk
285,Arbeit::N,эш,werk
286,Arbeit::N,эш,arbeid
287,Gast::N,ҡунаҡ,gast
288,Geschenk::N,бүләк,cadeau
289,Geschenk::N,бүләк,geschenk
290,Spiel::N,уйын,spel
291,Gesellschaft::N,йәмғиәт,gezelschap
292,Hilfe::N,ярҙам,hulp
293,Freund::N,дуҫ,vriend
294,Kamerad::N,иптәш,maat
295,Kamerad::N,иптәш,metgezel
296,Angelegenheit::N,әш,zaak
297,Angelegenheit::N,әш,aangelegenheid
298,Anzahl::N,һан,tal
299,Anzahl::N,һан,aantal
300,Art::N,төр,slag
301,Art::N,төр,soort
302,Stück::N,киҫәк,stuk
303,Teil::N,өлөш,deel
304,Hälfte::N,ярты,helft
305,Kreis::N,түңәрәк,kring
306,Kreis::N,түңәрәк,cirkel
307,Kreuz::N,тәре,kruis
308,Linie::N,һыҙыҡ,lijn
309,Strich::N,һыҙат,haal
310,Strich::N,һыҙат,streep
311,Abstand::N,ара,afstand
312,Entfernung::N,алыҫлыҡ,afstand
313,Gegend::N,урын,streek
314,Platz::N,арауыҡ,ruimte
315,Ort::N,ерҙәр,oord
316,Ort::N,ерҙәр,plaats
317,Ort::N,урындар,oord
318,Ort::N,урындар,plaats
319,Ort::N,эш урыны,oord
320,Ort::N,эш урыны,plaats
321,Seite::N,яҡ,zij
322,Seite::N,яҡ,kant
323,Seite::N,яҡ,zijde
324,Mitte::N,урталыҡ,midden
325,Gegenstand::N,нәмә,voorwerp
326,Sache::N,нәмә,zaak
327,Sache::N,әйбер,zaak
328,Rand::N,сит,rand
329,Rand::N,сит,boord
330,Kante::N,ҡабырға,kant
331,Kante::N,ян,kant
332,Ecke::N,мөйөш,hoek
333,Spitze::N,ос,punt
334,Spitze::N,ос,spits
335,Ende::N,аҙаҡ,einde
336,Ende::N,аҙаҡ,uiteinde
337,Loch::N,тишек,gat
338,Winkel::N,мөйөш,hoek
339,Muster::N,биҙәк,dessin
340,Muster::N,биҙәк,patroon
341,Größe::N,ҙурлыҡ,grootte
342,Länge::N,оҙонлоҡ,lengte
343,Höhe::N,бейеклек,hoogte
344,Gewicht::N,үлсәү,gewicht
345,Menge::N,һан,hoeveelheid
346,Haufen::N,өйөм,hoop
347,Reihe::N,рәт,rij
348,Reihe::N,рәт,reeks
349,Boot::N,кәмә,boot
350,Ruder::N,ишкәк,roeiriem
351,Schlitten::N,сана,slee
352,Schlitten::N,сана,slede
353,Ski::N,саңгы,ski
354,Lagerfeuer::N,костер,kampvuur
355,Last::N,ауырлыҡ,last
356,Last::N,ауырлыҡ,vracht
357,Gang::N,барыу,wandeling
358,Schritt::N,аҙым,stap
359,Schritt::N,аҙым,schrede
360,Norden::N,төньяҡ,noorden
361,Süden::N,көньяҡ,zuiden
362,Westen::N,көнбайыш,westen
363,Osten::N,көнсығыш,oosten
364,Holz::N,үағас,hout
365,Brett::N,таҡта,plank
366,Platte::N,плита,plaat
367,Stütze::N,терәк,stut
368,Stütze::N,терәк,steun
369,Stange::N,кәртә,stang
370,Stock::N,таяҡ,stok
371,Stab::N,ҡолға,staf
372,Rohr::N,торба,pijp
373,Haus::N,өй,huis
374,Haus::N,йорт,huis
375,Heim::N,өй,tehuis
376,Ofen::N,мейес,kachel
377,Fußboden::N,енес,vloer
378,Tisch::N,өҫтәл,tafel
379,Stuhl::N,ултырғыс,stoel
380,Wiege::N,бишек,wieg
381,Bett::N,карауат,bed
382,Regal::N,кәштә,rek
383,Kiste::N,йәшинк,kist
384,Fenster::N,тәҙрә,raam
385,Fenster::N,тәҙрә,venster
386,Tür::N,ишек,deur
387,Tor::N,ҡапҡа,poort
388,Zaun::N,ҡойма,omheining
389,Dach::N,түбә,dak
390,Dach::N,ҡыйыҡ,dak
391,Leiter::N,баҫҡыс,ladder
392,Besen::N,һепертке,bezem
393,Spaten::N,көрәк,schop
394,Schaufel::N,көрәк,schep
395,Gabel::N,сәнске,vork
396,Löffel::N,ҡалаҡ,lepel
397,Messer::N,бысаҡ,mes
398,Nagel::N,сөй,spijker
399,Netz::N,ау,net
400,Haken::N,ыргаҡ,haak
401,Griff::N,тотҡа,handvat
402,Schloss::N,йоҙаҡ,slot
403,Bild::N,картина,beeld
404,Figur::N,һын,figuur
405,Puppe::N,ҡурсаҡ,pop
406,Beutel::N,тоҡ,zak
407,Beutel::N,тоҡ,buidel
408,Bündel::N,төргәк,pak
409,Bündel::N,төргәк,bundel
410,Tasche::N,сумка,tas
411,Eimer::N,биҙрә,emmer
412,Deckel::N,ҡапҡас,deksel
413,Geschirr::N,һауыт-һаба,vaatwerk
414,Sack::N,тоҡ,zak
415,Tasse::N,сынаяҡ,kop
416,Topf::N,кәстрүл,pan
417,Kessel::N,ҡаҙан,ketel
418,Essen::N,ашау,eten
419,Nahrung::N,аҙыҡ,voedsel
420,Speise::N,аш,spijs
421,Fleisch::N,ит,vlees
422,Getreide::N,иген,graan
423,Getreide::N,ашлыҡ,graan
424,Brei::N,бутҡа,pap
425,Brei::N,бутҡа,brij
426,Brot::N,икмәк,brood
427,Scheibe::N,телем,plak
428,Scheibe::N,телем,snede
429,Fett::N,май,vet
430,Butter::N,май,boter
431,Öl::N,май буяуы,olie
432,Salz::N,тоҙ,zout
433,Suppe::N,һурпа,soep
434,Honig::N,бал,honing
435,Milch::N,һөт,melk
436,Tee::N,сәй,thee
437,Leder::N,күн,leer
438,Leder::N,күн,leder
439,Wolle::N,йөн,wol
440,Stoff::N,туҡыма,stof
441,Nadel::N,энә,naald
442,Faden::N,еп,draad
443,Knopf::N,төймә,knoop
444,Knoten::N,төйөн,knoop
445,Farbe::N,буяу,verf
446,Kleidung::N,кейем,kledij
447,Kleidung::N,кейем,kleding
448,Hemd::N,күлдәк,hemd
449,Kragen::N,яға,kraag
450,Ärmel::N,ең,mouw
451,Hose::N,салбар,broek
452,Hose::N,салбар,pantalon
453,Gürtel::N,ҡайыш,riem
454,Gürtel::N,ҡайыш,gordel
455,Mütze::N,бүрк,muts
456,Schuh::N,туфли,schoen
457,Stiefel::N,итек,laars
458,Ring::N,йөҙөк,ring
459,Ring::N,балдаҡ,ring
460,Band::N,таҫма,lint
461,Kamm::N,тараҡ,kam
462,Spiegel::N,көзгө,spiegel
463,Riemen::N,ҡайыш,riem
464,Schnur::N,бау,koord
465,Leine::N,бау,lijn
466,Decke::N,одеяд,deken
467,Kissen::N,мендәр,kussen
468,Tuch::N,яулыҡ,doek
469,Handtuch::N,таҫтамал,handdoek
470,Kraft::N,көс,kracht
471,Stärke::N,көс,sterkte
472,Gesundheit::N,һаулыҡ,gezondheid
473,Krankheit::N,сир,ziekte
474,Krankheit::N,ауырыу,ziekte
475,Schmerz::N,һыҙлау,pijn
476,Schmerz::N,әрнеү,pijn
477,Wunde::N,йәрәхәт,wond
478,Fieber::N,тапма,koorts
479,Fieber::N,биҙгәк,koorts
480,Arznei::N,дарыу,medicament
481,Arznei::N,дарыу,geneesmiddel
482,Brücke::N,күпер,brug
483,Brunnen::N,ҡоҙоҡ,put
484,Brunnen::N,ҡоҙоҡ,bron
485,Weide::N,көтөүлек,wei
486,Weide::N,көтөүлек,weide
487,Pfad::N,һуҡмаҡ,pad
488,Weg::N,юл,weg
489,Straße::N,урам,baan
490,Straße::N,урам,straat
491,Dorf::N,ауыл,dorp
492,Stadt::N,ҡала,stad
493,Brief::N,хат,brief
494,Buch::N,китап,boek
495,Buch::N,кенәгә,boek
496,Buchstabe::N,хәреф,letter
497,Zeitung::N,гәзит,krant
498,Zeitung::N,гәзит,dagblad
499,Leben::N,йәшәү,leven
500,Tod::N,үлем,dood
501,Grab::N,ҡәбер,graf
502,Kirche::N,сиркәү,kerk
503,Sünde::N,гөнаһ,zonde
504,Gott::N,алла,god
505,Gott::N,хоҙай,god
506,Arbeiter::N,эшсе,arbeider
507,Chef::N,башлыҡ,chef
508,Meister::N,оҫта,meester
509,Arzt::N,врач,arts
510,Arzt::N,врач,dokter
511,Lehrer::N,уҡытыусы,leraar
512,Lehrer::N,уҡытыусы,onderwijzer
513,Geld::N,аҡса,geld
514,Geschäft::N,эш,zaak
515,Laden::N,магазин,winkel
516,Preis::N,хаҡ,prijs
517,Ware::N,тауар,waar
518,Nutzen::N,файҙа,nut
519,Nutzen::N,файҙа,voordeel
520,Reichtum::N,байлыҡ,rijkdom
521,Welt::N,донъя,wereld
522,Land::N,ил,land
523,Staat::N,дәүләт,staat
524,König::N,король,koning
525,Macht::N,власть,macht
526,Grenze::N,сик,grens
527,Krieg::N,һуғыш,oorlog
528,Feind::N,йылан,vijand
529,Gewalt::N,көслөк,geweld
530,Kampf::N,көрәш,strijd
531,Kampf::N,көрәш,gevecht
532,Bogen[Waffe]::N,йәйә,boog
533,Pfeil::N,уҡ,pijl
534,Gewehr::N,мылтыҡ,geweer
535,Fehler::N,хата,fout
536,Lüge::N,ялған,leugen
537,Schaden::N,зыян,schade
538,Schaden::N,зарар,schade
539,Unglück::N,ҡаза,tegenspoed
540,Schuld::N,ғәйеп,schuld
541,Alter::N,йәш,leeftijd
542,Schluss::N,һуң,slot
543,Schluss::N,аҙаҡ,slot
544,Zeit::N,мәл,tijd
545,Zeit::N,заман,tijd
546,Tag::N,көн,dag
547,Morgen::N,иртә,morgen
548,Morgen::N,иртә,ochtend
549,Morgen::N,иртәнсәк,morgen
550,Morgen::N,иртәнсәк,ochtend
551,Mittag::N,төш,middag
552,Abend::N,кис,avond
553,Nacht::N,төн,nacht
554,Woche::N,аҙна,week
555,Monat::N,ай,maand
556,Jahr::N,йыл,jaar
557,Frühling::N,яҙ,lente
558,Frühling::N,яҙ,voorjaar
559,Sommer::N,йәй,zomer
560,Herbst::N,көз,herfst
561,Winter::N,ҡыш,winter
562,Januar::N,ғинуар,januari
563,Februar::N,февраль,februari
564,März::N,март,maart
565,April::N,апрель,april
566,Mai::N,май,mei
567,Juni::N,июнь,juni
568,Juli::N,июль,juli
569,August::N,август,augustus
570,September::N,сентябрь,september
571,Oktober::N,октябрь,oktober
572,November::N,ноябрь,november
573,Dezember::N,декабрь,december
574,Montag::N,дүшәмбе,maandag
575,Dienstag::N,шишәмбе,dinsdag
576,Mittwoch::N,шаршамбы,woensdag
577,Donnerstag::N,кесаҙна,donderdag
578,Freitag::N,йома,vrijdag
579,Samstag::N,шәмбе,zaterdag
580,Sonntag::N,йәкшәмбе,zondag
581,groß::A,ҙур,groot
582,klein::A,бәләкәс,klein
583,lang::A,оҙон,lang
584,kurz::A,ҡыҫҡа,kort
585,breit::A,киң,breed
586,schmal::A,тар,smal
587,dicht::A,йыш,dicht
588,dicht::A,ҡуйы,dicht
589,dick[Gegenstand]::A,ҡалын,dik
590,dünn::A,йоҡа,dun
591,dünn::A,нәҙек,dun
592,fein::A,нескә,fijn
593,fest::A,ныҡ,vast
594,flach::A,яҫы,plat
595,flach::A,ялпаҡ,plat
596,glatt::A,шыма,glad
597,hart::A,ҡаты,hard
598,weich::A,йомшаҡ,week
599,rund::A,түңәрәк,rond
600,spitz::A,осло түбәле,spits
601,spitz::A,осло түбәле,puntig
602,scharf::A,үткер,scherp
603,stumpf::A,утмәҫ,stomp
604,schwer::A,ауыр,zwaar
605,schön::A,матур,mooi
606,schön::A,матур,fraai
607,heiß::A,эҫе,heet
608,warm::A,йылы,warm
609,kalt::A,һыуыҡ,koud
610,kühl::A,һалҡынса,koel
611,frisch::A,һалҡынса,fris
612,feucht::A,еүеш,vochtig
613,feucht::A,дымлы,vochtig
614,nass::A,еүеш,nat
615,trocken::A,кипкән,droog
616,voll::A,тулы,vol
617,leer::A,буш,leeg
618,offen::A,асыҡ,open
619,geschlossen::A,ябыҡ,gesloten
620,sauber::A,таҙа,net
621,sauber::A,таҙа,schoon
622,schmutzig::A,бысраҡ,vuil
623,roh::A,сей,rauw
624,reif::A,өлгөрғән,rijp
625,lecker::A,тәмле,lekker
626,süß::A,тямле,zoet
627,süß::A,тәм-том,zoet
628,bitter::A,әсе,bitter
629,sauer::A,әсе,zuur
630,hell::A,яҡты,licht
631,hell::A,яҡты,helder
632,dunkel::A,ҡараңғы,donker
633,schwarz::A,ҡара,zwart
634,weiß::A,аҡ,wit
635,rot::A,матур,rood
636,rot::A,һылыу,rood
637,rot::A,сибәр,rood
638,gelb::A,һары,geel
639,blau::A,күк,blauw
640,grün::A,йәшел,groen
641,grau::A,буҙ,grijs
642,bunt::A,сыбар,bont
643,bunt::A,ала-ҡола,bont
644,billig::A,арзан,goedkoop
645,teuer::A,ҡыйбатлы,duur
646,wertvoll::A,ҡиммәтле,kostbaar
647,wertvoll::A,ҡиммәтле,waardevol
648,blind::A,һуҡыр,blind
649,taub::A,һаңғырау,doof
650,kräftig::A,көслө,krachtig
651,kräftig::A,ҡеүәтле,krachtig
652,stark::A,көслө,sterk
653,stark::A,ҡеүәтле,sterk
654,schwach::A,көсһөҙ,zwak
655,fett::A,һимеҙ,vet
656,schlank::A,зифа,slank
657,hübsch::A,матур,leuk
658,böse::A,асыулы,kwaad
659,dumm::A,иҫәр,dom
660,faul::A,иренсәк,lui
661,fleißig::A,тырыш,vlijtig
662,geizig::A,һаран,gierig
663,klug::A,аҡыллы,slim
664,klug::A,аҡыллы,schrander
665,klug::A,аҡыллы,verstandig
666,geschickt::A,оҫта,handig
667,geschickt::A,оҫта,vaardig
668,lieb::A,яғымлы,lief
669,lustig::A,күңелле,vrolijk
670,sanft::A,йыуаш,zacht
671,hungrig::A,ас,hongerig
672,krank::A,сирле,ziek
673,krank::A,ауырыу,ziek
674,nackt::A,яланғас,naakt
675,traurig::A,яманһыу,treurig
676,traurig::A,яманһыу,bedroefd
677,lebendig::A,тере,levend
678,lebendig::A,йәнле,levend
679,gut::A,яҡшы,goed
680,schlecht::A,хөрт,slecht
681,schlecht::A,алама,slecht
682,richtig::A,дөрөҫ,juist
683,schlimm::A,хөрт,erg
684,schlimm::A,хөрт,kwaad
685,schlimm::A,алама,erg
686,schlimm::A,алама,kwaad
687,wahr::A,дөрөҫ,waar
688,alt::A,иҫке,oud
689,alt::A,боронғо,oud
690,neu::A,яңы,nieuw
691,ehemalig::A,элекке,voormalig
692,alt[Lebewesen]::A,ҡарт,oud
693,jung::A,йәш,jong
694,arm::A,фәҡир,arm
695,reich::A,бай,rijk
696,bekannt::A,таныш,bekend
697,berühmt::A,атаҡлы,beroemd
698,berühmt::A,данлыҡлы,beroemd
699,fremd::A,ят,vreemd
700,fremd::A,сит,vreemd
701,verschieden::A,төрлө,verscheiden
702,verschieden::A,төрлө,verschillend
703,nah::A,яҡын,nabij
704,nah::A,яҡын,nabijgelegen
705,fern::A,алыҫ,ver
706,fern::A,йыраҡ,ver
707,linker::A,һул,linker
708,rechter::A,уң,rechter
709,anderer::A,бутән,andere
710,erster::A,тәүге,eerste
711,zweiter::A,икенсе,tweede
712,dritter::A,өсөнсө,derde
713,letzter::A,һуңғы,laatste
714,allein::ADV,бер үҙе,alleen
715,allein::ADV,яңғыҙ,alleen
716,auf einmal::ADV,бер юлы,ineens
717,auf einmal::ADV,бер юлы,tegelijk
718,zusammen::ADV,бергә,samen
719,zusammen::ADV,бергә,bijeen
720,lange::ADV,оҙаҡ,lang
721,plötzlich::ADV,ҡапыл,eensklaps
722,plötzlich::ADV,ҡапыл,plotsklaps
723,sofort::ADV,шунда уҡ,terstond
724,sofort::ADV,шунда уҡ,aanstonds
725,sofort::ADV,шунда уҡ,onmiddelijk
726,später::ADV,һуңыраҡ,later
727,jetzt::ADV,хәҙер,nu
728,jetzt::ADV,хәҙер,nou
729,jetzt::ADV,хәҙер,thans
730,heute::ADV,бөгөн,heden
731,heute::ADV,бөгөн,vandaag
732,morgen::ADV,иртәгә,morgen
733,bald::ADV,тиҙҙән,gauw
734,bald::ADV,тиҙҙән,weldra
735,dann::ADV,һуңынан,dan
736,dann::ADV,һуңынан,toen
737,gestern::ADV,кисә,gisteren
738,einst::ADV,ҡасандыр,eens
739,einst::ADV,бер баҡыт,eens
740,damals::ADV,ул саҡта,toen
741,damals::ADV,ул саҡта,destijds
742,danach::ADV,һуңынан,daarna
743,vorher::ADV,элек,vooraf
744,vorher::ADV,элек,van tevoren
745,zuerst::ADV,башта,eerst
746,zuerst::ADV,башта,het eerst
747,einmal::ADV,бер,eens
748,einmal::ADV,бер,eenmaal
749,manchmal::ADV,ҡайһы берҙә,soms
750,oft::ADV,йыш,vaak
751,oft::ADV,йыш,dikwijls
752,immer::ADV,һәр ҡасан,altijd
753,niemals::ADV,бер ҡасан да,nooit
754,niemals::ADV,бер ваҡытта ла,nooit
755,hier::ADV,бында,hier
756,hierhin::ADV,бында,hierheen
757,von hier::ADV,бынан,van hier
758,von hier::ADV,бынан,hiervandaan
759,von hier::ADV,ошонан,van hier
760,von hier::ADV,ошонан,hiervandaan
761,dort::ADV,шунда,daar
762,dort::ADV,шунда,ginds
763,dort::ADV,тегендә,daar
764,dort::ADV,тегендә,ginds
765,dorthin::ADV,шунда,daarheen
766,dorthin::ADV,тегеләй,daarheen
767,geradeaus::ADV,тура,rechtuit
768,geradeaus::ADV,тура,rechtdoor
769,vorwärts::ADV,алға,vooruit
770,vorwärts::ADV,алға,voorwaarts
771,rückwärts::ADV,кирегә,achteruit
772,rückwärts::ADV,кирегә,achterwaarts
773,zurück::ADV,кирегә,terug
774,unten::ADV,түбәндә,beneden
775,unten::ADV,түбәндә,onderaan
776,hinab::ADV,түбәнгә,omlaag
777,hinab::ADV,түбәнгә,naar beneden
778,oben::ADV,юғарыла,boven
779,hinauf::ADV,юғарыға,omhoog
780,hinauf::ADV,юғарыға,naar boven
781,überall::ADV,бөтә урында,alom
