,Concept_ID,ar,bg
59,Atem::N,نفس,дишане
60,Hunger::N,جوع,глад
61,Träne::N,دمعة,сълза
62,Geschmack::N,طعم,вкус
63,Geschmack::N,مذاق,вкус
64,Geruch::N,رائحة,миризма
65,Schlaf::N,نوم,сън
66,Schlaf::N,منام,сън
67,Traum::N,حلم,сън
68,Himmel::N,سماء,небе
69,Sonne::N,شمس,слънце
70,Mond::N,قمر,луна
71,Mond::N,قمر,месец
72,Stern::N,نجم,звезда
73,Stern::N,كوكب,звезда
74,Luft::N,هواء,въздух
75,Wind::N,ريح,вятър
76,Welle::N,موجة,вълна
77,Wasser::N,ماء,вода
78,Stein::N,حجر,камък
79,Boden::N,تراب,земя
80,Boden::N,تراب,почва
81,Erde::N,أرض,земя
82,Erde::N,أرض,почва
83,Staub::N,غبار,прах
84,Rauch::N,دخان,дим
85,Rauch::N,دخان,пушек
86,Funke::N,شرارة,искра
87,Feuer::N,نار,огън
88,Licht::N,نور,светлина
89,Licht::N,ضوء,светлина
90,Schatten::N,ظل,сянка
91,Schatten::N,فيء,сянка
92,Wetter::N,جو,време
93,Wetter::N,طقس,време
94,Nebel::N,ضباب,мъгла
95,Wolke::N,غيمة,облак
96,Wolke::N,سحابة,облак
97,Regen::N,مطر,дъжд
98,Schnee::N,ثلج,сняг
99,Eis::N,جليد,лед
100,Frost::N,صقيع,мраз
101,Kälte::N,برد,студ
102,Hitze::N,حر,жега
103,Hitze::N,حر,горещина
104,Hitze::N,حرارة,жега
105,Hitze::N,حرارة,горещина
106,Raureif::N,صقيع,скреж
107,Raureif::N,صقيع,слана
108,Regenbogen::N,قوس قزح,дъга
109,Donner::N,رعد,гръм
110,Strömung::N,تيار,течение
111,Tropfen::N,قطرة,капка
112,Schaum::N,زبد,пяна
113,Schaum::N,رغوة,пяна
114,Schmutz::N,وسخ,кал
115,Schmutz::N,وسخ,мръсотия
116,See::N,بحيرة,езеро
117,Sumpf::N,مستنقع,блато
118,Moor::N,مستنقع,мочурище
119,Wiese::N,مرج,ливада
120,Wald::N,غابة,гора
121,Hügel::N,تل,рид
122,Hügel::N,تل,хълм
123,Anhöhe::N,تل,могила
124,Anhöhe::N,تل,възвишение
125,Berg::N,جبل,планина
126,Gipfel::N,قمة,връх
127,Höhle::N,كهف,пещера
128,Abhang::N,منحدر,склон
129,Abhang::N,منحدر,стръмнина
130,Quelle::N,منبع,извор
131,Bach::N,مجرى,поток
132,Fluss::N,نهر,река
133,Ufer::N,ضفة,бряг
134,Küste::N,ساحل,бряг
135,Küste::N,ساحل,крайбрежие
136,Festland::N,بر,суша
137,Meer::N,بحر,море
138,Bucht::N,خليج,залив
139,Insel::N,جزيرة,остров
140,Blume::N,زهرة,цвете
141,Gras::N,حشيش,трева
142,Wurzel::N,أصل,корен
143,Baum::N,شجرة,дърво
144,Stamm::N,جذع,стъбло
145,Rinde::N,قشرة,кора
146,Ast::N,فرع,клон
147,Zweig::N,غصن,клон
148,Blatt::N,ورقة,лист
149,Birke::N,قضبان,бреза
150,Kiefer[Baum]::N,صنوبرة,бор
151,Weide[Baum]::N,صفصاف,върба
152,Tanne::N,شوح,ела
153,Tanne::N,تبوب,ела
154,Horn::N,قرن,рог
155,Feder::N,ريشة,перо
156,Fell::N,فرو,кожа
157,Flügel::N,جناح,крило
158,Klaue::N,مخلب,нокът
159,Kralle::N,مخلب,нокът
160,Schwanz::N,ذيل,опашка
161,Ei::N,بيض,яйце
162,Nest::N,عش,гнездо
163,Bau::N,جحر,дупка
164,Tier::N,حيوان,животно
165,Herde::N,قطيع,стадо
166,Kuh::N,بقرة,крава
167,Bulle::N,ثور,бик
168,Pferd::N,خيل,кон
169,Schaf::N,شاة,овца
170,Schwein::N,خنزير,свиня
171,Hund::N,كلب,куче
172,Katze::N,قطة,котка
173,Bär::N,دب,мечка
174,Eichhörnchen::N,سنجاب,катерица
175,Elch::N,موظ,лос
176,Fuchs::N,ثعلب,лисица
177,Hase::N,أرنب,заек
178,Maus::N,فأرة,мишка
179,Wolf::N,ذئب,вълк
180,Vogel::N,طير,птица
181,Schwarm::N,سرب,рой
182,Schwarm::N,سرب,рояк
183,Huhn::N,دجاجة,кокошка
184,Hahn::N,ديك,петел
185,Gans::N,وزة,гъска
186,Adler::N,نسر,орел
187,Ente::N,بطة,патица
188,Eule::N,بوم,сова
189,Kranich::N,كركي,жерав
190,Krähe::N,غراب,врана
191,Kuckuck::N,وقواق,кукувица
192,Schwan::N,إوز عراقي,лебед
193,Fisch::N,سمك,риба
194,Barsch::N,فرخ أوربي,костур
195,Hecht::N,سمك الكراكي,щука
196,Schlange[Tier]::N,حية,змия
197,Schlange[Tier]::N,ثعبان,змия
198,Wurm::N,دودة,червей
199,Spinne::N,عنكبوت,паяк
200,Ameise::N,نملة,мравка
201,Laus::N,قملة,въшка
202,Mücke::N,ناموسة,комар
203,Fliege::N,ذبابة,муха
204,Schmetterling::N,فراشة,пеперуда
205,Beere::N,حبة,плод
206,Apfel::N,تفاح,ябълка
207,Pilz::N,فطر,гъба
208,Zwiebel::N,بصل,лук
209,Zwiebel::N,بصل,кромид
210,Saat::N,زرع,семе
211,Korn::N,حبة,зърно
212,Heu::N,دريس,сено
213,Schale::N,قشرة,кора
214,Grube::N,نقرة,яма
215,Grube::N,نقرة,дупка
216,Falle::N,فخ,примка
217,Falle::N,مصيدة,примка
218,Schlinge::N,عروة,клуп
219,Spur::N,أثر,диря
220,Spur::N,أثر,следа
221,Asche::N,رماد,пепел
222,Dreck::N,قذر,кал
223,Eisen::N,حديد,желязо
224,Gold::N,ذهب,злато
225,Silber::N,فضة,сребро
226,Kohle::N,فحم,въглища
227,Glas::N,زجاج,стъкло
228,Lehm::N,طين,глина
229,Sand::N,رمل,пясък
230,Mensch::N,إنسان,човек
231,Mann::N,رجل,мъж
232,Frau::N,امرأة,жена
233,Kind::N,طفل,дете
234,Junge::N,ولد,момче
235,Mädchen::N,بنت,момиче
236,Familie::N,عائلة,фамилия
237,Familie::N,عائلة,семейство
238,Großvater::N,جد,дядо
239,Großmutter::N,جدة,баба
240,Eltern::N,أبوان,родители
241,Eltern::N,والدان,родители
242,Vater::N,أب,баща
243,Mutter::N,أم,майка
244,Sohn::N,إبن,син
245,Tochter::N,بنت,дъщеря
246,Tochter::N,إبنة,дъщеря
247,Bruder::N,أخ,брат
248,Bruder::N,شقيق,брат
249,Schwester::N,أخت,сестра
250,Onkel::N,عم,чичо
251,Onkel::N,عم,вуйчо
252,Tante::N,عمة,леля
253,Ehemann::N,زوج,съпруг
254,Ehefrau::N,زوجة,съпруга
255,Freude::N,فرح,радост
256,Freude::N,سرور,радост
257,Gelächter::N,قهقهة,смях
258,Glück::N,سعادة,щастие
259,Kummer::N,غم,тъга
260,Wunsch::N,منية,желание
261,Lust::N,شهوة,желание
262,Geist::N,روح,дух
263,Gedanke::N,فكرة,мисъл
264,Gedächtnis::N,ذاكرة,памет
265,Verstand::N,عقل,ум
266,Verstand::N,عقل,разум
267,Sinn::N,معنى,смисъл
268,Grund::N,سبب,причина
269,Wahrheit::N,حقيقة,правда
270,Gespräch::N,محادثة,разговор
271,Märchen::N,خرافة,приказка
272,Erzählung::N,قصة,разказ
273,Erzählung::N,حكاية,разказ
274,Nachricht::N,خبر,вест
275,Nachricht::N,خبر,известие
276,Neuigkeit::N,خبر جديد,новина
277,Name::N,اسم,име
278,Rätsel::N,لغز,гатанка
279,Rede::N,خطبة,реч
280,Rede::N,خطبة,слово
281,Sprache::N,لغة,език
282,Stimme::N,صوت,глас
283,Wort::N,كلمة,дума
284,Zeichen::N,رمز,знак
285,Zeichen::N,إشارة,знак
286,Ruf::N,نداء,зов
287,Lärm::N,صخب,шум
288,Lärm::N,صخب,глъчка
289,Lärm::N,ضجة,шум
290,Lärm::N,ضجة,глъчка
291,Laut::N,صوت,звук
292,Ton::N,نغمة,тон
293,Lied::N,أغنية,песен
294,Ruhe::N,هدوء,тишина
295,Ruhe::N,هدوء,спокойствие
296,Leute::N,ناس,хора
297,Volk::N,شعب,народ
298,Arbeit::N,عمل,труд
299,Arbeit::N,عمل,работа
300,Gast::N,ضيف,гост
301,Geschenk::N,هدية,дар
302,Geschenk::N,هدية,подарък
303,Spiel::N,لعب,игра
304,Gesellschaft::N,صحبة,общество
305,Hilfe::N,عون,помощ
306,Hilfe::N,مساعدة,помощ
307,Freund::N,صديق,приятел
308,Kamerad::N,زميل,другар
309,Angelegenheit::N,أمر,работа
310,Angelegenheit::N,شأن,работа
311,Anzahl::N,عدد,брой
312,Anzahl::N,عدد,количество
313,Art::N,نوع,вид
314,Stück::N,قطعة,къс
315,Stück::N,قطعة,парче
316,Teil::N,قسم,дял
317,Teil::N,قسم,част
318,Hälfte::N,نصف,половина
319,Kreis::N,دائرة,кръг
320,Kreuz::N,صليب,кръст
321,Linie::N,خط,черта
322,Strich::N,شرطة,щрих
323,Strich::N,شرطة,черта
324,Abstand::N,مسافة,дистанция
325,Abstand::N,مسافة,разстояние
326,Entfernung::N,بعد,разстояние
327,Gegend::N,ناحية,местност
328,Platz::N,فراغ,място
329,Ort::N,مكان,място
330,Seite::N,جانب,страна
331,Mitte::N,وسط,среда
332,Gegenstand::N,موضوع,предмет
333,Sache::N,شيء,вещ
334,Rand::N,حافة,ръб
335,Kante::N,حافة,ръб
336,Kante::N,حافة,кант
337,Ecke::N,ركن,ъгъл
338,Spitze::N,سن,връх
339,Spitze::N,سن,острие
340,Ende::N,طرف,край
341,Loch::N,ثقب,дупка
342,Winkel::N,زاوية,кът
343,Winkel::N,زاوية,ъгъл
344,Muster::N,عينة,десен
345,Muster::N,عينة,образец
346,Größe::N,حجم,големина
347,Länge::N,طول,дължина
348,Höhe::N,علو,висота
349,Höhe::N,علو,височина
350,Höhe::N,ارتفاع,висота
351,Höhe::N,ارتفاع,височина
352,Gewicht::N,وزن,тегло
353,Gewicht::N,وزن,тежест
354,Menge::N,كمية,количество
355,Haufen::N,كوم,куп
356,Haufen::N,كوم,грамада
357,Reihe::N,صف,ред
358,Reihe::N,صف,редица
359,Boot::N,قارب,лодка
360,Boot::N,زورق,лодка
361,Ruder::N,مجذاف,весло
362,Ruder::N,مجذاف,гребло
363,Schlitten::N,مزلقة,шейна
364,Ski::N,زلاجة,ски
365,Lagerfeuer::N,نار المخيم,огнище
366,Last::N,حمل,товар
367,Gang::N,مشية,ход
368,Gang::N,مشية,вървеж
369,Schritt::N,خطوة,стъпка
370,Norden::N,شمال,север
371,Süden::N,جنوب,юг
372,Westen::N,غرب,запад
373,Osten::N,شرق,изток
374,Holz::N,خشب,дърво
375,Brett::N,لوح,дъска
376,Platte::N,صفيحة,
377,Stütze::N,سند,
378,Stütze::N,دعامة,
379,Stange::N,عود,прът
380,Stange::N,عود,върлина
381,Stock::N,عصا,прът
382,Stock::N,عصا,тояга
383,Stab::N,قضيب,прът
384,Rohr::N,أنبوبة,цев
385,Rohr::N,أنبوبة,тръба
386,Haus::N,دار,къща
387,Haus::N,بيت,къща
388,Heim::N,بيت,дом
389,Heim::N,مسكن,дом
390,Ofen::N,مدفأة,печка
391,Fußboden::N,أرضية,под
392,Tisch::N,مائدة,маса
393,Stuhl::N,كرسي,стол
394,Wiege::N,مهد,люлка
395,Bett::N,سرير,легло
396,Bett::N,سرير,креват
397,Regal::N,رف,рафт
398,Regal::N,رف,етажерка
399,Kiste::N,صندوق,кутия
400,Kiste::N,صندوق,сандък
401,Fenster::N,شباك,прозорец
402,Fenster::N,نافذة,прозорец
403,Tür::N,باب,врата
404,Tor::N,بوابة,врата
405,Zaun::N,سياج,ограда
406,Dach::N,سطح,покрив
407,Leiter::N,سلم,стълба
408,Besen::N,مكنسة,метла
409,Spaten::N,مسحاة,лопата
410,Schaufel::N,مجرفة,лопата
411,Gabel::N,شوكة,вилица
412,Löffel::N,ملعقة,лъжица
413,Messer::N,سكين,нож
414,Nagel::N,مسمار,гвоздей
415,Netz::N,شبكة,мрежа
416,Haken::N,خطاف,кука
417,Haken::N,خطاف,закачалка
418,Haken::N,صنارة,кука
419,Haken::N,صنارة,закачалка
420,Griff::N,قبضة,ръчка
421,Griff::N,قبضة,дръжка
422,Schloss::N,قفل,брава
423,Schloss::N,قفل,ключалка
424,Bild::N,صورة,картина
425,Figur::N,تمثال,фигура
426,Puppe::N,دمية,кукла
427,Beutel::N,كيس,кесия
428,Bündel::N,ربطة,връзка
429,Tasche::N,شنطة,чанта
430,Tasche::N,محفظة,чанта
431,Eimer::N,سطل,кофа
432,Eimer::N,جردل,кофа
433,Deckel::N,سداد,капак
434,Deckel::N,سداد,похлупак
435,Geschirr::N,أوان,съдове
436,Sack::N,زكيبة,чувал
437,Tasse::N,فنجان,чаша
438,Topf::N,قدر,гърне
439,Topf::N,قدر,тенджера
440,Topf::N,طنجرة,гърне
441,Topf::N,طنجرة,тенджера
442,Kessel::N,قدر,котел
443,Kessel::N,غلاية,котел
444,Essen::N,طعام,ядене
445,Nahrung::N,غذاء,храна
446,Speise::N,أكل,ястие
447,Fleisch::N,لحم,месо
448,Getreide::N,حبوب,зърнено храни
449,Brei::N,عصيدة,каша
450,Brot::N,خبز,хляб
451,Scheibe::N,شريحة,резен
452,Fett::N,سمن,мазнина
453,Butter::N,زبدة,масло
454,Öl::N,زيت,олио
455,Öl::N,زيت,оливия
456,Salz::N,ملح,сол
457,Suppe::N,حساء,супа
458,Suppe::N,شربة,супа
459,Honig::N,عسل,мед
460,Milch::N,حليب,мляко
461,Tee::N,شاي,чай
462,Leder::N,جلد,кожа
463,Wolle::N,صوف,вълна
464,Stoff::N,قماش,плат
465,Stoff::N,قماش,материал
466,Nadel::N,إبرة,игла
467,Faden::N,خيط,конец
468,Knopf::N,زر,копче
469,Knoten::N,عقدة,възел
470,Farbe::N,صبغة,боя
471,Kleidung::N,ملابس,дрехи
472,Kleidung::N,ملابس,облекло
473,Hemd::N,قميص,риза
474,Kragen::N,ياقة,яка
475,Ärmel::N,كم,ръкав
476,Hose::N,سروال,панталони
477,Hose::N,بنطلون,панталони
478,Gürtel::N,حزام,пояс
479,Gürtel::N,حزام,колан
480,Mütze::N,طاقية,каскет
481,Mütze::N,طاقية,фуражка
482,Schuh::N,حذاء,обувка
483,Stiefel::N,جزمة,ботуш
484,Stiefel::N,حذاء طويل,ботуш
485,Ring::N,حلقة,пръстен
486,Band::N,شريط,лента
487,Band::N,شريط,връзка
488,Kamm::N,مشط,гребен
489,Spiegel::N,مرآة,огледало
490,Riemen::N,سير,каиш
491,Riemen::N,سير,ремък
492,Schnur::N,حبل,връв
493,Schnur::N,دوبارة,връв
494,Leine::N,قيد,връв
495,Leine::N,قيد,въже
496,Decke::N,بطانية,покривка
497,Kissen::N,وسادة,възглавница
498,Tuch::N,منديل,сукно
499,Handtuch::N,فوطة,пешкир
500,Handtuch::N,فوطة,кърпа за лице
501,Handtuch::N,منشفة,пешкир
502,Handtuch::N,منشفة,кърпа за лице
503,Kraft::N,قدرة,мощ
504,Kraft::N,قدرة,сила
505,Stärke::N,قوة,сила
506,Gesundheit::N,صحة,здраве
507,Krankheit::N,مرض,болест
508,Schmerz::N,ألم,болка
509,Schmerz::N,وجع,болка
510,Wunde::N,جرح,рана
511,Fieber::N,حمى,треска
512,Fieber::N,حمى,температура
513,Arznei::N,دواء,лек
514,Arznei::N,دواء,лекарство
515,Brücke::N,جسر,мост
516,Brunnen::N,بئر,чешма
517,Brunnen::N,بئر,кладенец
518,Weide::N,مرعى,паша
519,Weide::N,مرعى,пасище
520,Pfad::N,درب,пътека
521,Weg::N,سكة,път
522,Straße::N,طريق,шосе
523,Dorf::N,قرية,село
524,Stadt::N,مدينة,град
525,Brief::N,خطاب,писмо
526,Brief::N,مكتوب,писмо
527,Buch::N,كتاب,книга
528,Buchstabe::N,حرف,буква
529,Zeitung::N,جريدة,вестник
530,Leben::N,عيش,живот
531,Leben::N,حياة,живот
532,Tod::N,موت,смърт
533,Tod::N,وفاة,смърт
534,Grab::N,قبر,гроб
535,Kirche::N,كنيسة,църква
536,Sünde::N,خطيئة,грях
537,Gott::N,إله,бог
538,Arbeiter::N,عامل,работник
539,Chef::N,رئيس,шеф
540,Chef::N,رئيس,началник
541,Meister::N,أسطى,майстор
542,Arzt::N,طبيب,лекар
543,Lehrer::N,مدرس,учител
544,Geld::N,نقود,пари
545,Geschäft::N,صفقة,сделка
546,Laden::N,دكان,дюкян
547,Laden::N,دكان,магазин
548,Preis::N,سعر,цена
549,Ware::N,بضاعة,стока
550,Nutzen::N,فائدة,полза
551,Nutzen::N,فائدة,облага
552,Reichtum::N,غنى,богатство
553,Reichtum::N,ثروة,богатство
554,Welt::N,عالم,свят
555,Welt::N,دنيا,свят
556,Land::N,بلد,страна
557,Staat::N,دولة,щат
558,Staat::N,دولة,държава
559,König::N,ملك,крал
560,Macht::N,سلطة,мощ
561,Macht::N,سلطة,власт
562,Grenze::N,حدود,граница
563,Krieg::N,حرب,война
564,Feind::N,عدو,враг
565,Feind::N,عدو,неприятел
566,Gewalt::N,عنف,сила
567,Gewalt::N,عنف,насилие
568,Kampf::N,قتال,борба
569,Kampf::N,قتال,сражение
570,Bogen[Waffe]::N,قوس,лък
571,Pfeil::N,سهم,стрела
572,Gewehr::N,بندقية,пушка
573,Fehler::N,خطأ,грешка
574,Lüge::N,كذب,лъжа
575,Schaden::N,تلف,повреда
576,Unglück::N,نحس,нещастие
577,Schuld::N,ذنب,вина
578,Alter::N,سن,възраст
579,Alter::N,عمر,възраст
580,Schluss::N,ختام,край
581,Schluss::N,نهاية,край
582,Zeit::N,وقت,време
583,Tag::N,يوم,ден
584,Morgen::N,صباح,утро
585,Morgen::N,صباح,сутрин
586,Mittag::N,ظهر,обед
587,Mittag::N,ظهر,пладне
588,Abend::N,مساء,вечер
589,Nacht::N,ليلة,нощ
590,Woche::N,أسبوع,седмица
591,Monat::N,شهر,месец
592,Jahr::N,عام,година
593,Jahr::N,سنة,година
594,Frühling::N,ربيع,пролет
595,Sommer::N,صيف,лято
596,Herbst::N,خريف,есен
597,Winter::N,شتاء,зима
598,Januar::N,يناير,януари
599,Januar::N,كانون الثاني,януари
600,Februar::N,شباط,февруари
601,Februar::N,فبراير,февруари
602,März::N,آذار,март
603,März::N,مارس,март
604,April::N,نيسان,април
605,Mai::N,مايو,май
606,Juni::N,يونيو,юни
607,Juni::N,حزيران,юни
608,Juli::N,تموز,юли
609,Juli::N,يوليو,юли
610,August::N,آب,август
611,August::N,أغسطس,август
612,September::N,أيلول,септември
613,September::N,سبتمبر,септември
614,Oktober::N,أكتوبر,октомври
615,Oktober::N,تشرين الأول,октомври
616,November::N,نوفمبر,ноември
617,November::N,تشرين الثاني,ноември
618,Dezember::N,ديسمبر,декември
619,Dezember::N,كانون الأول,декември
620,Montag::N,يوم الاثنين,понеделник
621,Dienstag::N,يوم الثلاثاء,вторник
622,Mittwoch::N,يوم الأربعاء,сряда
623,Donnerstag::N,يوم الخميس,четвъртък
624,Freitag::N,يوم الجمعة,петък
625,Samstag::N,يوم السبت,събота
626,Sonntag::N,يوم الأحد,неделя
627,groß::A,كبير,едър
628,groß::A,كبير,голям
629,klein::A,صغير,малък
630,klein::A,صغير,дребен
631,lang::A,طويل,дълъг
632,kurz::A,قصير,къс
633,breit::A,واسع,широк
634,schmal::A,ضيق,тесен
635,dicht::A,كث,гъст
636,dicht::A,كثيف,гъст
637,dick[Gegenstand]::A,غليظ,дебел
638,dünn::A,رفيع,тънък
639,fein::A,رقيق,фин
640,fein::A,رقيق,тънък
641,fest::A,متين,твърд
642,fest::A,متين,плътен
643,flach::A,سهل,равен
644,flach::A,سهل,плосък
645,flach::A,منبسط,равен
646,flach::A,منبسط,плосък
647,glatt::A,ناعم,гладък
648,hart::A,صلب,твърд
649,hart::A,صلب,корав
650,hart::A,جامد,твърд
651,hart::A,جامد,корав
652,weich::A,لين,мек
653,rund::A,مستدير,кръгъл
654,spitz::A,مدبب,островръх
655,scharf::A,حاد,остър
656,stumpf::A,ثالم,тъп
657,schwer::A,ثقيل,тежък
658,schön::A,جميل,хубав
659,schön::A,جميل,красив
660,heiß::A,حار,жарък
661,heiß::A,ساخن,жарък
662,warm::A,دافئ,топъл
663,kalt::A,بارد,студен
664,kühl::A,قر,хладен
665,frisch::A,طازج,свеж
666,feucht::A,رطب,влажен
667,nass::A,مبلول,мокър
668,trocken::A,جاف,сух
669,voll::A,ملء,пълен
670,leer::A,خال,празен
671,leer::A,فارغ,празен
672,offen::A,مفتوح,откровен
673,geschlossen::A,مغلق,закрит
674,geschlossen::A,مغلق,затворен
675,sauber::A,نظيف,чист
676,schmutzig::A,قذر,мръсен
677,roh::A,نيء,суров
678,reif::A,ناضج,зрял
679,lecker::A,لذيذ,вкусен
680,süß::A,حلو,сладък
681,bitter::A,مر,горчив
682,sauer::A,حامض,кисел
683,hell::A,نير,ясен
684,hell::A,نير,светъл
685,dunkel::A,مظلم,тъмен
686,schwarz::A,أسود,черен
687,weiß::A,أبيض,бял
688,rot::A,أحمر,червен
689,gelb::A,أصفر,жълт
690,blau::A,أزرق,син
691,grün::A,أخضر,зелен
692,grau::A,رمادي,сив
693,bunt::A,ملوب,шарен
694,bunt::A,ملوب,пъстър
695,billig::A,رخيص,евтин
696,teuer::A,غال,скъп
697,wertvoll::A,ثمين,ценен
698,blind::A,أعمى,сляп
699,taub::A,أصم,глух
700,taub::A,أطرش,глух
701,kräftig::A,قوي,силен
702,stark::A,قوي,здрав
703,stark::A,قوي,силен
704,schwach::A,ضعيف,слаб
705,fett::A,سمين,тлъст
706,schlank::A,أهيف,тънък
707,schlank::A,أهيف,строен
708,hübsch::A,جميل,хубав
709,böse::A,رديء,зъл
710,dumm::A,أبله,глупав
711,dumm::A,أحمق,глупав
712,faul::A,كسلان,ленив
713,faul::A,كسلان,мързелив
714,fleißig::A,مجتهد,прилежен
715,geizig::A,بخيل,скъпернически
716,klug::A,ذكي,умен
717,klug::A,ذكي,разумен
718,klug::A,عاقل,умен
719,klug::A,عاقل,разумен
720,geschickt::A,ماهر,умел
721,geschickt::A,ماهر,сръчен
722,lieb::A,عزيز,мил
723,lieb::A,عزيز,драг
724,lustig::A,مرح,весел
725,sanft::A,حليم,нежен
726,sanft::A,حليم,кротък
727,hungrig::A,جائع,гладен
728,krank::A,مريض,болен
729,nackt::A,عار,гол
730,traurig::A,حزين,тъжен
731,traurig::A,حزين,печален
732,lebendig::A,حي,жив
733,gut::A,جيد,добър
734,schlecht::A,سيء,лош
735,richtig::A,صحيح,правилен
736,schlimm::A,خبيث,лош
737,wahr::A,حق,верен
738,wahr::A,حق,истински
739,alt::A,قديم,стар
740,alt::A,قديم,древен
741,neu::A,جديد,нов
742,ehemalig::A,سابق,бивш
743,alt[Lebewesen]::A,مسن,стар
744,jung::A,شاب,млад
745,jung::A,صغير,млад
746,arm::A,فقير,беден
747,reich::A,غني,богат
748,bekannt::A,معلوم,познат
749,bekannt::A,معلوم,известен
750,berühmt::A,مشهور,почут
751,berühmt::A,مشهور,известен
752,fremd::A,أجنبي,чужд
753,verschieden::A,مختلف,разен
754,verschieden::A,مختلف,различен
755,nah::A,قريب,близък
756,fern::A,بعيد,далечен
757,linker::A,يسار,ляв
758,rechter::A,يمين,прав
759,anderer::A,آخر,друг
760,erster::A,أول,пръв
761,erster::A,أول,първи
762,zweiter::A,ثان,втори
763,dritter::A,ثالث,трети
764,letzter::A,أخير,последен
765,allein::ADV,وحده,само
766,auf einmal::ADV,بالمرة,същевременно
767,zusammen::ADV,معا,заедно
768,lange::ADV,مدة طويلة,дълго
769,plötzlich::ADV,فجأة,изведнъж
770,sofort::ADV,حالا,веднага
771,sofort::ADV,فورا,веднага
772,später::ADV,فيما بعد,по-късно
773,jetzt::ADV,الآن,сега
774,jetzt::ADV,حاليا,сега
775,heute::ADV,اليوم,днес
776,morgen::ADV,غدا,утре
777,bald::ADV,قريبا,скоро
778,dann::ADV,ثم,после
779,dann::ADV,ثم,тогава
780,gestern::ADV,أمس,вчера
781,gestern::ADV,البارحة,вчера
782,einst::ADV,قديما,някога
783,damals::ADV,حينئذ,тогава
784,danach::ADV,ثم,после
785,danach::ADV,ثم,след това
786,danach::ADV,بعد ذلك,после
787,danach::ADV,بعد ذلك,след това
788,vorher::ADV,من قبل,преди
789,vorher::ADV,من قبل,преди това
790,vorher::ADV,قبل ذلك,преди
791,vorher::ADV,قبل ذلك,преди това
792,zuerst::ADV,أولا,най-напред
793,einmal::ADV,مرة,веднъж
794,einmal::ADV,مرة,един път
795,manchmal::ADV,أحيانا,понякога
796,oft::ADV,كثيرا,често
797,immer::ADV,دائما,винаги
798,niemals::ADV,لا أبدا,никога
799,hier::ADV,هنا,тук
800,hier::ADV,هنا,тука
801,hierhin::ADV,إلى هنا,насам
802,von hier::ADV,من هنا,оттук
803,von hier::ADV,من هنا,оттука
804,dort::ADV,هناك,там
805,dorthin::ADV,إلى هناك,натам
806,dorthin::ADV,إلى هناك,нататък
807,geradeaus::ADV,إلى الأمام,направо
808,vorwärts::ADV,إلى الأمام,напред
809,rückwärts::ADV,إلى الوراء,назад
810,zurück::ADV,عودا,обратно
811,zurück::ADV,إلى الخلف,обратно
812,unten::ADV,تحت,долу
813,unten::ADV,في الأسفل,долу
814,hinab::ADV,إلى تحت,надолу
815,oben::ADV,فوق,горе
816,oben::ADV,في الأعلى,горе
817,hinauf::ADV,إلى فوق,нагоре
818,hinauf::ADV,إلى الأعلى,нагоре
819,überall::ADV,في كل مكان,навсякъде
820,nicht::ADV,لا,не
821,nicht::ADV,لم,не
822,ein wenig::ADV,قليلا,малко
823,kaum::ADV,كاد لا,едва
824,kaum::ADV,كاد لا,едвам
825,sehr::ADV,جدا,много
826,sehr::ADV,جدا,твърде
827,sehr::ADV,كثيرا,много
