,Concept_ID,it,bn
230,Großvater::N,nonno,মাতামহ
231,Großmutter::N,nonna,মাতামহী
232,Eltern::N,genitori,মাতাপিতা
233,Vater::N,padre,পিতা
234,Mutter::N,madre,মাতা
235,Sohn::N,figlio,ছেলে
236,Tochter::N,figlia,মেয়ে
237,Bruder::N,fratello,দাদা
238,Schwester::N,sorella,বোন
239,Schwester::N,sorella,দিদি
240,Onkel::N,zio,মামা
241,Tante::N,zia,মাসী
242,Ehemann::N,marito,স্বামী
243,Ehefrau::N,moglie,পত্নী
244,Freude::N,gioia,উল্লাস
245,Freude::N,piacere,উল্লাস
246,Gelächter::N,risata,হাসি
247,Glück::N,felicità,সুখ
248,Kummer::N,afflizione,দুঃখ
249,Wunsch::N,desiderio,আকাঙ্ক্ষা
250,Lust::N,voglia,বাসনা
251,Geist::N,mente,আত্না
252,Geist::N,spìrito,আত্না
253,Gedanke::N,idea,চিন্তা
254,Gedanke::N,pensiero,চিন্তা
255,Gedächtnis::N,memoria,স্মরণশক্তি
256,Verstand::N,intelletto,মন
257,Sinn::N,senso,পদার্থ
258,Sinn::N,significato,পদার্থ
259,Grund::N,causa,কারণ
260,Grund::N,motivo,কারণ
261,Grund::N,ragione,কারণ
262,Wahrheit::N,verità,সত্য
263,Gespräch::N,discorso,কথাবার্তা
264,Gespräch::N,conversazione,কথাবার্তা
265,Märchen::N,fiaba,রূপকথা
266,Märchen::N,fàvola,রূপকথা
267,Erzählung::N,racconto,গল্প
268,Erzählung::N,narrazione,গল্প
269,Nachricht::N,messaggio,তথ্য
270,Neuigkeit::N,notizia,খবরাখবর
271,Name::N,nome,নাম
272,Rätsel::N,indovinello,ধাঁধা
273,Rede::N,discorso,বক্তৃতা
274,Sprache::N,lingua,ভাষা
275,Sprache::N,linguaggio,ভাষা
276,Stimme::N,voce,স্বর
277,Wort::N,parola,শব্দ
278,Zeichen::N,segno,প্রতীক
279,Zeichen::N,segnale,প্রতীক
280,Ruf::N,chiamata,ডাক
281,Lärm::N,chiasso,হৈচৈ
282,Lärm::N,strèpito,হৈচৈ
283,Laut::N,suono,ধ্বনি
284,Ton::N,tono,স্বর
285,Lied::N,canto,গান
286,Lied::N,canzone,গান
287,Ruhe::N,calma,শান্তি
288,Ruhe::N,tranquillità,শান্তি
289,Leute::N,gente,প্রজাপুঞ্জ
290,Volk::N,pòpolo,জাতি
291,Arbeit::N,lavoro,চাকরি
292,Gast::N,òspite,অতিথি
293,Gast::N,invitato,অতিথি
294,Geschenk::N,regalo,উপহার
295,Spiel::N,gioco,খেলা
296,Gesellschaft::N,compagnìa,সঙ্গিগণ
297,Hilfe::N,aiuto,সাহায্য
298,Hilfe::N,soccorso,সাহায্য
299,Freund::N,amico,বন্ধু
300,Kamerad::N,camerata,সঙ্গী
301,Angelegenheit::N,affare,বিষয়
302,Angelegenheit::N,faccenda,বিষয়
303,Anzahl::N,nùmero,পরিমাণ
304,Anzahl::N,quantità,পরিমাণ
305,Art::N,tipo,রকম
306,Art::N,specie,রকম
307,Stück::N,pezzo,টুকরো
308,Teil::N,parte,অংশ
309,Hälfte::N,metà,অর্ধেক
310,Kreis::N,cìrcolo,বৃত্ত
311,Kreuz::N,croce,ক্রুশ
312,Linie::N,lìnea,রেখা
313,Strich::N,tratto,কষি
314,Abstand::N,distanza,ফাঁক
315,Entfernung::N,distanza,ব্যবধান
316,Entfernung::N,lontananza,ব্যবধান
317,Gegend::N,regione,ক্ষেত্র
318,Platz::N,posto,জায়গা
319,Platz::N,spazio,জায়গা
320,Ort::N,luogo,স্থান
321,Ort::N,località,স্থান
322,Seite::N,lato,পার্শ্ব
323,Seite::N,parte,পার্শ্ব
324,Mitte::N,mezzo,মধ্য
325,Mitte::N,centro,মধ্য
326,Gegenstand::N,oggetto,জিনিস
327,Sache::N,cosa,বস্তু
328,Rand::N,orlo,কানা
329,Rand::N,bordo,কানা
330,Kante::N,spìgolo,ধার
331,Ecke::N,canto,কোণ
332,Spitze::N,punta,ডগা
333,Ende::N,capo,প্রান্ত
334,Ende::N,estremità,প্রান্ত
335,Loch::N,buco,গর্ত
336,Winkel::N,àngolo,কোণ
337,Muster::N,disegno,নমুন্
338,Größe::N,taglia,আয়তন
339,Größe::N,grandezza,আয়তন
340,Länge::N,lunghezza,দৈর্ঘ্য
341,Höhe::N,altezza,উচ্চতা
342,Gewicht::N,peso,ওজন
343,Menge::N,quantità,পরিমাণ
344,Haufen::N,cùmulo,পুঞ্জ
345,Haufen::N,mucchio,পুঞ্জ
346,Reihe::N,fila,শ্রেণী
347,Boot::N,barca,নৌকা
348,Boot::N,battello,নৌকা
349,Ruder::N,remo,দাঁড়
350,Schlitten::N,slitta,স্নেজ্-গাড়ি
351,Ski::N,sci,শী
352,Lagerfeuer::N,falò,অগ্নি
353,Lagerfeuer::N,fuoco di bivacco,অগ্নি
354,Last::N,càrico,বোঝা
355,Gang::N,andata,হণ্টন
356,Schritt::N,passo,পদ
357,Norden::N,nord,উত্তরদিক্
358,Norden::N,settentrione,উত্তরদিক্
359,Süden::N,sud,দক্ষিণদিক
360,Süden::N,meridione,দক্ষিণদিক
361,Westen::N,òvest,পশ্চিমদিক্
362,Westen::N,occidente,পশ্চিমদিক্
363,Osten::N,est,পূর্বদিক
364,Osten::N,oriente,পূর্বদিক
365,Holz::N,legno,কাঠ
366,Brett::N,asse,তক্তা
367,Brett::N,tàvola,তক্তা
368,Platte::N,lastra,ফলক
369,Platte::N,piastra,ফলক
370,Stütze::N,supporto,নাগদণ্ড
371,Stange::N,sbarra,দণ্ড
372,Stange::N,pèrtica,দণ্ড
373,Stock::N,verga,ছড়ি
374,Stock::N,bastone,ছড়ি
375,Stock::N,bacchetta,ছড়ি
376,Stab::N,asta,যষ্টি
377,Rohr::N,tubo,নল
378,Haus::N,casa,ঘর
379,Heim::N,casa,বাসা
380,Ofen::N,stufa,স্টোভ্
381,Fußboden::N,pavimento,গহতল
382,Tisch::N,tàvolo,মেজ
383,Tisch::N,tàvolo,টেবিল
384,Stuhl::N,sedia,চেয়ার
385,Stuhl::N,sedia,কেদারা
386,Wiege::N,culla,দোলনা
387,Bett::N,letto,শয্যা
388,Regal::N,scaffale,তাক
389,Kiste::N,cassa,বাক্স
390,Fenster::N,finestra,জানালা
391,Tür::N,porta,দ্বার
392,Tor::N,portone,দ্বার
393,Zaun::N,recinto,বেড়া
394,Dach::N,tetto,ছাদ
395,Leiter::N,scala,মই
396,Leiter::N,scala a pioli,মই
397,Besen::N,scopa,গুল্মবিশেষ
398,Spaten::N,vanga,কোদাল
399,Schaufel::N,pala,বেলচা
400,Gabel::N,forchetta,কাঁটা
401,Löffel::N,cucchiaio,চামচ
402,Messer::N,coltello,ছুরি
403,Nagel::N,chiodo,পেরেক
404,Netz::N,rete,জাল
405,Haken::N,uncino,কাচি
406,Griff::N,mànico,হাতল
407,Griff::N,maniglia,হাতল
408,Schloss::N,serratura,তালা
409,Bild::N,quadro,ছবি
410,Bild::N,quadro,চিত্র
411,Bild::N,immàgine,ছবি
412,Bild::N,immàgine,চিত্র
413,Figur::N,figura,আকার
414,Puppe::N,bàmbola,পুতুল
415,Beutel::N,borsa,বটুয়া
416,Beutel::N,sacchetto,বটুয়া
417,Bündel::N,fascio,আঁটি
418,Bündel::N,fagotto,আঁটি
419,Tasche::N,borsa,থলি
420,Eimer::N,secchio,বাল্তি
421,Deckel::N,coperchio,আবরণ
422,Geschirr::N,stoviglie,থালা-বাসন
423,Sack::N,sacco,বস্তা
424,Tasse::N,tazza,কাপ
425,Topf::N,pèntola,পাত্র
426,Kessel::N,paiolo,কেটলি
427,Kessel::N,calderone,কেটলি
428,Essen::N,pasto,আহার
429,Essen::N,mangiare,আহার
430,Nahrung::N,cibo,খাদ্য
431,Nahrung::N,alimento,খাদ্য
432,Speise::N,piatto,খাদ্য
433,Fleisch::N,carne,মাংস
434,Getreide::N,cereali,শস্য
435,Brei::N,purè,মণ্ড
436,Brei::N,pappa,মণ্ড
437,Brot::N,pane,রুটি
438,Scheibe::N,fetta,ফালি
439,Scheibe::N,trancia,ফালি
440,Fett::N,grasso,মেদ
441,Butter::N,burro,মাখন
442,Öl::N,olio,তৈল
443,Salz::N,sale,নুন
444,Suppe::N,zuppa,শুরুয়া
445,Suppe::N,minestra,শুরুয়া
446,Honig::N,miele,মধু
447,Milch::N,latte,দুধ
448,Tee::N,tè,চা
449,Leder::N,pelle,পাকা চামড়া
450,Wolle::N,lana,পশম
451,Stoff::N,panno,বস্ত্র
452,Stoff::N,tessuto,বস্ত্র
453,Nadel::N,ago,সুচ
454,Faden::N,filo,সূত্র
455,Knopf::N,bottone,বোতাম
456,Knoten::N,nodo,গিঁট
457,Farbe::N,pittura,রং
458,Kleidung::N,vestiti,কাপড়
459,Kleidung::N,vestiario,কাপড়
460,Hemd::N,camicia,শার্ট
461,Kragen::N,bàvero,গলবন্ধ
462,Kragen::N,colletto,গলবন্ধ
463,Ärmel::N,mànica,আস্তিন্
464,Hose::N,calzoni,ট্রাউজার
465,Gürtel::N,cintura,কটিবন্ধ
466,Mütze::N,berretto,টুপি
467,Schuh::N,scarpa,জুতো
468,Stiefel::N,stivale,বুট
469,Ring::N,anello,আংটি
470,Band::N,nastro,ফিতা
471,Band::N,fettuccia,ফিতা
472,Kamm::N,pèttine,চিরুনি
473,Spiegel::N,specchio,আয়না
474,Riemen::N,cinghia,চাবুক
475,Schnur::N,corda,দড়ি
476,Leine::N,guinzaglio,শিকল
477,Decke::N,coperta,কম্বল
478,Kissen::N,cuscino,উপাধান
479,Kissen::N,guanciale,উপাধান
480,Tuch::N,fazzoletto,বস্ত্র
481,Handtuch::N,asciugamano,তোয়ালে
482,Kraft::N,forza,জোর
483,Stärke::N,forza,শক্তি
484,Stärke::N,vigore,শক্তি
485,Stärke::N,fortezza,শক্তি
486,Gesundheit::N,salute,স্বাস্থ্য
487,Krankheit::N,malattìa,অসুখ
488,Krankheit::N,malattìa,ব্যামো
489,Schmerz::N,dolore,যন্ত্রণা
490,Wunde::N,piaga,ক্ষত
491,Wunde::N,ferita,ক্ষত
492,Fieber::N,febbre,জ্বর
493,Arznei::N,fàrmaco,ঔষধ
494,Arznei::N,medicina,ঔষধ
495,Brücke::N,ponte,সেতু
496,Brunnen::N,pozzo,কূপ
497,Weide::N,pàscolo,পশুচারণভূমি
498,Pfad::N,sentiero,পথ
499,Weg::N,via,পথ
500,Weg::N,cammino,পথ
501,Straße::N,strada,রাস্তা
502,Dorf::N,paese,গ্রাম
503,Dorf::N,villaggio,গ্রাম
504,Stadt::N,città,শহর
505,Brief::N,lèttera,চিঠি
506,Buch::N,libro,বই
507,Buchstabe::N,lèttera,অক্ষর
508,Zeitung::N,giornale,সংবাদপত্র
509,Leben::N,vita,জীবন
510,Tod::N,morte,মৃত্যু
511,Grab::N,tomba,কবর
512,Grab::N,sepolcro,কবর
513,Kirche::N,chiesa,গির্জা
514,Sünde::N,peccato,পাপ
515,Gott::N,dio,দেবতা
516,Arbeiter::N,operaio,শ্রমিক
517,Arbeiter::N,lavoratore,শ্রমিক
518,Chef::N,capo,নেতা
519,Chef::N,padrone,নেতা
520,Meister::N,mastro,ব্যক্তি
521,Meister::N,maestro,ব্যক্তি
522,Arzt::N,mèdico,চিকিৎসক
523,Arzt::N,dottore,চিকিৎসক
524,Lehrer::N,professore,অধ্যাপক
525,Geld::N,soldi,মুদ্রা
526,Geld::N,soldi,টাকাপয়সা
527,Geld::N,denaro,মুদ্রা
528,Geld::N,denaro,টাকাপয়সা
529,Geschäft::N,affare,ব্যস্ততা
530,Geschäft::N,negozio,ব্যস্ততা
531,Laden::N,negozio,দোকান
532,Preis::N,prezzo,মূল্য
533,Ware::N,merce,পণ্যদ্রব্য
534,Nutzen::N,ùtile,সুবিধা
535,Nutzen::N,profitto,সুবিধা
536,Reichtum::N,ricchezza,ধনদৌলত
537,Welt::N,mondo,জগৎ
538,Land::N,paese,খেত
539,Staat::N,Stato,রাষ্ট্র
540,König::N,re,রাজা
541,Macht::N,potere,প্রভাব
542,Grenze::N,confine,সীমা
543,Grenze::N,frontiera,সীমা
544,Krieg::N,guerra,যুদ্ধ
545,Feind::N,nemico,শত্রু
546,Gewalt::N,violenza,জোর
547,Kampf::N,lotta,লড়াই
548,Bogen[Waffe]::N,arco,ধনুক
549,Pfeil::N,freccia,বাণ
550,Gewehr::N,fucile,বন্দুক
551,Fehler::N,errore,ভুল
552,Fehler::N,sbaglio,ভুল
553,Lüge::N,bugìa,মিথ্যা
554,Lüge::N,menzogna,মিথ্যা
555,Schaden::N,danno,ক্ষতি
556,Unglück::N,sfortuna,দুর্ভাগ্য
557,Schuld::N,colpa,অপরাধ
558,Alter::N,età,আয়ু
559,Schluss::N,fine,শেষ
560,Zeit::N,tempo,সময়
561,Tag::N,giorno,দিন
562,Tag::N,giornata,দিন
563,Morgen::N,mattina,সকাল
564,Mittag::N,mezzogiorno,মধ্যাহু
565,Abend::N,sera,সন্ধ্যা
566,Abend::N,serata,সন্ধ্যা
567,Nacht::N,notte,রাত্রি
568,Woche::N,settimana,সপ্তাহ
569,Monat::N,mese,মাস
570,Jahr::N,anno,সৌরবর্ষ
571,Frühling::N,primavera,বসন্তকাল
572,Sommer::N,estate,গ্রীষ্মকাল
573,Herbst::N,autunno,শরংঋতু
574,Winter::N,inverno,শীতকাল
575,Januar::N,gennaio,জানুয়ারী
576,Februar::N,febbraio,ফেব্রুয়ারী
577,März::N,marzo,মার্চ
578,April::N,aprile,এপ্রিল
579,Mai::N,maggio,মে
580,Juni::N,giugno,জুন
581,Juli::N,luglio,জুলাই
582,August::N,agosto,অগাস্ট
583,September::N,settembre,সেপ্টেম্বর
584,Oktober::N,ottobre,অক্টোবর
585,November::N,novembre,নভেম্বর
586,Dezember::N,dicembre,ডিসেম্বর
587,Montag::N,lunedì,সোমবার
588,Dienstag::N,martedì,মঙ্গলবার
589,Mittwoch::N,mercoledì,বুধবার
590,Donnerstag::N,giovedì,বৃহম্পতিবার
591,Freitag::N,venerdì,শুক্রবার
592,Samstag::N,sàbato,শনিবার
593,Sonntag::N,domenica,রবিবার
594,groß::A,grande,বৃহৎ
595,klein::A,pìccolo,ছোট
596,lang::A,lungo,দীর্ঘ
597,kurz::A,corto,খর্ব
598,kurz::A,corto,হ্রস্ব
599,breit::A,largo,চওড়া
600,schmal::A,stretto,সরু
601,dicht::A,denso,ঘন
602,dick[Gegenstand]::A,spesso,পুরু
603,dünn::A,sottile,কৃশ
604,fein::A,fine,সূক্ষ্ম
605,fein::A,delicato,সূক্ষ্ম
606,fest::A,sodo,দৃঢ়
607,fest::A,fisso,দৃঢ়
608,flach::A,piano,সমতল
609,flach::A,piatto,সমতল
610,glatt::A,liscio,মসৃণ
611,hart::A,duro,শক্ত
612,weich::A,molle,নরম
613,rund::A,rotondo,গোলাকার
614,spitz::A,aguzzo,তীক্ষ্ন
615,spitz::A,appuntito,তীক্ষ্ন
616,scharf::A,affilato,শাণিত
617,scharf::A,tagliente,শাণিত
618,stumpf::A,smussato,ভোঁতা
619,schwer::A,pesante,ভারী
620,schön::A,bello,সুন্দর
621,heiß::A,caldo,গরম
622,heiß::A,bollente,গরম
623,warm::A,caldo,ঈষদুষ্ণ
624,kalt::A,freddo,ঠাণ্ডা
625,kühl::A,fresco,শীতল
626,frisch::A,fresco,তাজা
627,feucht::A,ùmido,ভিজা
628,nass::A,bagnato,ভিজা
629,trocken::A,secco,শুষ্ক
630,voll::A,pieno,পূর্ণ
631,leer::A,vuoto,খালি
632,offen::A,aperto,খোলা
633,geschlossen::A,chiuso,বন্ধ
634,sauber::A,netto,নির্মল
635,sauber::A,pulito,নির্মল
636,schmutzig::A,sporco,নোংরা
637,schmutzig::A,sùdicio,নোংরা
638,roh::A,crudo,কাঁচা
639,reif::A,maturo,পাকা
640,lecker::A,ghiotto,সুস্বাদ
641,lecker::A,squisito,সুস্বাদ
642,süß::A,dolce,মিষ্ট
643,bitter::A,amaro,তিক্ত
644,sauer::A,aspro,টক
645,sauer::A,acerbo,টক
646,hell::A,chiaro,উজ্জ্বল
647,dunkel::A,buio,অন্ধকারময়
648,dunkel::A,oscuro,অন্ধকারময়
649,schwarz::A,nero,কালো
650,weiß::A,bianco,সাদা
651,rot::A,rosso,লাল
652,gelb::A,giallo,হলদে
653,blau::A,blu,নীল
654,blau::A,azzurro,নীল
655,grün::A,verde,সবুজ
656,grau::A,grigio,ছাই-রঙা
657,bunt::A,variopinto,রঙিন
658,billig::A,a buon prezzo,সস্তা
659,billig::A,a buon mercato,সস্তা
660,teuer::A,caro,আক্রা
661,wertvoll::A,prezioso,মহার্ঘ
662,blind::A,cieco,কানা
663,taub::A,sordo,বধির
664,kräftig::A,forte,বিশাল
665,kräftig::A,robusto,বিশাল
666,stark::A,forte,শক্তিশালী
667,stark::A,vigoroso,শক্তিশালী
668,schwach::A,dèbole,দুর্বল
669,fett::A,grasso,মোটা
670,schlank::A,snello,কৃশ
671,schlank::A,slanciato,কৃশ
672,hübsch::A,bello,সুন্দর
673,hübsch::A,carino,সুন্দর
674,böse::A,cattivo,খারাপ
675,dumm::A,stùpido,মূর্খ
676,faul::A,pigro,শ্রমবিমুখ
677,fleißig::A,diligente,পরিশ্রমী
678,geizig::A,avaro,ব্যয়কুণ্ঠ
679,klug::A,intelligente,দক্ষ
680,geschickt::A,àbile,পটু
681,lieb::A,caro,প্রেয়
682,lustig::A,gaio,প্রফুল্ল
683,lustig::A,allegro,প্রফুল্ল
684,sanft::A,dolce,নম্র
685,hungrig::A,affamato,ক্ষুধার্ত
686,krank::A,malato,অসুস্থ
687,krank::A,infermo,অসুস্থ
688,nackt::A,nudo,উলঙ্গ
689,traurig::A,triste,দুঃখিত
690,lebendig::A,vivo,জীবিত
691,gut::A,buono,ভালো
692,schlecht::A,cattivo,মন্দ
693,richtig::A,giusto,ঠিক
694,schlimm::A,grave,কদর্য
695,wahr::A,vero,বাস্তব
696,alt::A,vecchio,পুরাতন
697,neu::A,nuovo,নব
698,neu::A,nuovo,নূতন
699,ehemalig::A,vecchio,পূর্বকালীন
700,ehemalig::A,d'una_volta,পূর্বকালীন
701,alt[Lebewesen]::A,anziano,বৃদ্ধ
702,jung::A,giovane,তরুণ
703,arm::A,pòvero,ক্ষুদ্র
704,reich::A,ricco,ধনবান্
705,bekannt::A,noto,সুপরিচিত
706,bekannt::A,conosciuto,সুপরিচিত
707,berühmt::A,famoso,বিখ্যাত
708,berühmt::A,cèlebre,বিখ্যাত
709,fremd::A,estràneo,বিদেশি
710,fremd::A,straniero,বিদেশি
711,verschieden::A,diverso,বিসদৃশ
712,verschieden::A,differente,বিসদৃশ
713,nah::A,vicino,নিকটবতী
714,nah::A,propinquo,নিকটবতী
715,fern::A,lontano,দুরবতী
716,linker::A,sinistro,বাম
717,rechter::A,destro,ডান
718,rechter::A,destro,ডাইন
719,anderer::A,altro,অন্যতর
