,Concept_ID,kv,no
1102,töten::V,вийны,drepe
1103,wohnen::V,овны,bo
1104,arbeiten::V,уджавны,arbeide
1105,sammeln::V,ӧктыны,samle
1106,pflücken::V,судзлавны,plukke
1107,jagen::V,вӧравны,jage
1108,fischen::V,чериавны,fiske
1109,fassen::V,кутны,fange
1110,hüten::V,вердны,vokte
1111,hüten::V,йирсьӧтны,vokte
1112,treiben::V,вашӧтны,drive
1113,anbinden::V,кӧртавны,feste
1114,füttern::V,вердны,fore
1115,melken::V,высьтыны,melke
1116,melken::V,чилькӧтны,melke
1117,hacken::V,керавны,hakke
1118,gießen::V,киськавны,helle
1119,reifen::V,кисьмыны,modne
1120,zubereiten::V,лӧсьӧтны,lage
1121,zubereiten::V,лӧсьӧтны,tilberede
1122,kochen::V,пуны,koke
1123,backen::V,пӧжавны,bake
1124,braten::V,жаритны,steke
1125,umrühren::V,соравны,røre om
1126,stricken::V,домавны,strikke
1127,nähen::V,вурны,sy
1128,färben::V,краситны,farge
1129,reinigen::V,весӧтны,rense
1130,reinigen::V,весӧтны,gjøre ren
1131,waschen::V,пеславны,vaske
1132,abwischen::V,чышкыны,tørke av
1133,spülen::V,гывьявны,spyle
1134,spülen::V,гывьявны,skylle
1135,fegen::V,чышкыны,feie
1136,kehren::V,чышкыны,koste
1137,baden::V,купайтчыны ,bade
1138,sich waschen::V,миссьыны,vaske seg
1139,ausziehen::V,гыжтӧтны,ta av
1140,ausziehen::V,пӧрччавны,ta av
