,Concept_ID,myv,lbe
263,Gelächter::N,пейдема,хъяхъаву
264,Glück::N,уцяска,талихӏ
265,Kummer::N,рискс,дард
266,Kummer::N,мелявкс,дард
267,Wunsch::N,мель,мурад
268,Wunsch::N,бажамо,мурад
269,Lust::N,бажамо,гьавас
270,Lust::N,бажамо,ччаву
271,Geist::N,ойме,рухӏ
272,Gedanke::N,мель,пикри
273,Gedächtnis::N,мель,дакӏний личӏаву
274,Verstand::N,прев,аькьлу
275,Sinn::N,толк,мяъна
276,Sinn::N,смысла,мяъна
277,Grund::N,тувтал,багьана
278,Wahrheit::N,видечи,тӏайламур
279,Wahrheit::N,видечи,хӏакьмур
280,Gespräch::N,кортнема,ихтилат
281,Märchen::N,ёвкс,магьа
282,Erzählung::N,ёвтнема,хавар
283,Nachricht::N,куля,хавар
284,Neuigkeit::N,куля,хавар
285,Name::N,лем,цӏа
286,Rätsel::N,содамоёвкс,ссигьа
287,Rede::N,кортамо,гъалгъа
288,Sprache::N,кель,маз
289,Stimme::N,ваигель,чӏу
290,Stimme::N,ваигель,чӏукӏа
291,Wort::N,вал,махъ
292,Zeichen::N,теште,лишан
293,Ruf::N,тердема,
294,Lärm::N,шалнома,чӏу
295,Laut::N,вайгель,чӏу
296,Ton::N,гайнема,чӏу
297,Lied::N,моро,балай
298,Ruhe::N,оймамо,дигьалагру
299,Leute::N,ломанть,инсантал
300,Volk::N,народ,ил
301,Volk::N,народ,халкь
302,Arbeit::N,тев,заву
303,Gast::N,инже,хъамаличу
304,Geschenk::N,казне,бухчакарши
305,Geschenk::N,казне,лажинккакку
306,Spiel::N,налксема,тӏуркӏу
307,Gesellschaft::N,община,жямат
308,Gesellschaft::N,община,ккуран
309,Hilfe::N,лездамо,кумаг
310,Freund::N,оя,дус
311,Freund::N,ялга,дус
312,Kamerad::N,оя,хӏаласу
313,Kamerad::N,ялга,хӏаласу
314,Angelegenheit::N,тев,иш
315,Anzahl::N,ламоксчи,аьдад
316,Art::N,вид,жинс
317,Stück::N,пакш,касак
318,Stück::N,пелькс,касак
319,Teil::N,часть,бутӏа
320,Teil::N,пелькс,бутӏа
321,Hälfte::N,пель,дачӏи
322,Hälfte::N,пелькс,дачӏи
323,Kreis::N,кирькс,кюрщан
324,Kreuz::N,крёст,ххач
325,Linie::N,кикс,щва
326,Strich::N,межа,щва
327,Abstand::N,ютко,манзил
328,Entfernung::N,ютко,манзил
329,Gegend::N,тарка,кӏану
330,Gegend::N,пертьпелькс,кӏану
331,Platz::N,васолкс,
332,Ort::N,тарка,кӏану
333,Seite::N,ён,чул
334,Seite::N,ён,чулухалу
335,Seite::N,чире,чул
336,Seite::N,чире,чулухалу
337,Mitte::N,куншка,дя
338,Gegenstand::N,предмет,зат
339,Sache::N,тев,зат
340,Sache::N,веща,зат
341,Rand::N,пе,зума
342,Rand::N,чире,зума
343,Kante::N,ирдез,
344,Ecke::N,ужо,мурцӏу
345,Spitze::N,пряне,мицӏ
346,Spitze::N,пе,мицӏ
347,Ende::N,пе,зума
348,Loch::N,варя,ккутӏ
349,Winkel::N,ужо,мурцӏу
350,Muster::N,сёрма,накьич
351,Größe::N,сэрь,
352,Größe::N,покшолма,
353,Länge::N,кувалмо,лахъишиву
354,Höhe::N,сэрь,лахъшиву
355,Höhe::N,пандо,лахъшиву
356,Gewicht::N,сталмо,дуццин
357,Gewicht::N,сталмо,кӏушиву
358,Menge::N,лововкс,
359,Haufen::N,мар,бакӏу
360,Haufen::N,валявкс,бакӏу
361,Reihe::N,ряд,кьюкьа
362,Boot::N,венч,луткка
363,Ruder::N,милё,весло
364,Ruder::N,милё,чӏатӏа
365,Schlitten::N,нурдт,чана
366,Schlitten::N,нурдт,санкка
367,Ski::N,сокс,лижарду
368,Lagerfeuer::N,толбандя,къавтӏн
369,Last::N,сталмо,гьиву
370,Last::N,кандома,гьиву
371,Gang::N,молема,нанаву
372,Gang::N,якамо,нанаву
373,Schritt::N,эскелькс,ша
374,Norden::N,якшамо ёнкс,ухссав
375,Norden::N,якшамо ёнкс,ухссавнил чулухалу
376,Süden::N,лембе ёнкс,кьилва
377,Westen::N,чивалгома,баргълагавал
378,Westen::N,чивалгома,баргълагавал чул
379,Osten::N,чилисема,баргъбуккай чулухалу
380,Holz::N,чувто,тӏама
381,Brett::N,лаз,тахта
382,Platte::N,плита,гъуни
383,Stütze::N,неже,гьалакӏу
384,Stange::N,олга,къазихъ
385,Stock::N,мандо,ттархь
386,Stab::N,олога,ччантӏакъу
387,Rohr::N,турба,бургъу
388,Haus::N,кудо,къатта
389,Heim::N,кудо,къатта
390,Ofen::N,каштомо,пач
391,Fußboden::N,киякс,чӏанкъатта
392,Tisch::N,столь,усттул
393,Stuhl::N,стул,кӏану
394,Wiege::N,лавсь,оьрчӏал кӏану
395,Wiege::N,нурямот,оьрчӏал кӏану
396,Bett::N,ацамо,тах
397,Regal::N,лався,чӏаму
398,Regal::N,лавсяланго,чӏаму
399,Kiste::N,горобия,яшикӏ
400,Kiste::N,горобия,къурши
401,Kiste::N,сундук,яшикӏ
402,Kiste::N,сундук,къурши
403,Fenster::N,вальма,чӏавахьулу
404,Tür::N,кенкш,нуз
405,Tür::N,кенкш,нузкьун
406,Tor::N,ортат,къапу
407,Tor::N,ортат,дарваза
408,Zaun::N,пирявт,дайгьузанну
409,Zaun::N,пирвякс,дайгьузанну
410,Dach::N,кудопря,магъи
411,Dach::N,кудопря,цӏиялу
412,Leiter::N,кузтема,чуртту
413,Besen::N,тенсть,чӏатлу
414,Spaten::N,койме,бил
415,Schaufel::N,кече,чӏатӏа
416,Schaufel::N,келей койме,чӏатӏа
417,Gabel::N,сянгине,гьиссилу
418,Löffel::N,пенч,къуса
419,Messer::N,пеель,чӏила
420,Nagel::N,эске,мяр
421,Netz::N,алтыма,къери
422,Haken::N,кечказ,къича
423,Griff::N,кедне,куяму
424,Schloss::N,замок,кьункьула
425,Schloss::N,панжома,кьункьула
426,Bild::N,картина,сурат
427,Figur::N,рунго,
428,Puppe::N,няка,ссихьу
429,Beutel::N,кескав,чантай
430,Bündel::N,керькс,гьи
431,Bündel::N,керькс,къар
432,Tasche::N,юдма,
433,Eimer::N,ведра,бадра
434,Deckel::N,велькс,къапаза
435,Geschirr::N,кедьге,пюрунчӏул
436,Geschirr::N,кедьге,тӏахӏникӏичӏу
437,Sack::N,кескав,къап
438,Sack::N,кескав,дарваг
439,Tasse::N,чакш,пижан
440,Tasse::N,чакш,пинжан
441,Tasse::N,чакш,инкираччатӏи
442,Tasse::N,чакш,цинцилттал бушкъап
443,Topf::N,кастрюля,кӏункӏур
444,Kessel::N,котёл,чаг
445,Kessel::N,котёл,кӏункӏур
446,Essen::N,ярсамо,дукия
447,Essen::N,ярсамо,дукин
448,Nahrung::N,ярсамопель,дукра
449,Speise::N,ярсамопель,дукра
450,Fleisch::N,сывель,дикӏ
451,Getreide::N,сюро,къама
452,Brei::N,каша,ккурч
453,Brot::N,кши,ччатӏ
454,Scheibe::N,кочом,парча
455,Scheibe::N,сускомо,парча
456,Fett::N,куя,аьгъушиву
457,Butter::N,ой,нагь
458,Butter::N,ой,лагаву
459,Öl::N,ой,
460,Salz::N,сал,цӏву
461,Suppe::N,ям,накь
462,Honig::N,медь,ницӏ
463,Milch::N,ловсо,накӏ
464,Tee::N,чай,чяй
465,Leder::N,киське,бурчу
466,Wolle::N,пона,ппал
467,Stoff::N,коцт,янна
468,Nadel::N,салмукс,ххалаххи
469,Faden::N,суре,ххал
470,Knopf::N,пов,банд
471,Knoten::N,сюлмо,къурхъ
472,Farbe::N,артомапель,сир
473,Kleidung::N,оршамот,янна
474,Kleidung::N,оршамот,лаххия
475,Hemd::N,панар,гьухъа
476,Kragen::N,сиве,дарвач
477,Ärmel::N,ожа,кахха
478,Hose::N,понкст,хӏажак
479,Gürtel::N,каркс,мухӏлу
480,Mütze::N,чапка,кьяпа
481,Schuh::N,туфля,
482,Stiefel::N,кем,чакма
483,Ring::N,суркс,кӏисса
484,Band::N,лента,линт
485,Kamm::N,сурсеме,ттарал
486,Spiegel::N,чавачамо,дагьани
487,Riemen::N,кшнань каркс,эн
488,Schnur::N,пикс,хьхьа
489,Leine::N,ведьме,
490,Decke::N,вельтямо,виргъан
491,Kissen::N,тодов,кӏаралу
492,Tuch::N,паця,карщи
493,Handtuch::N,нардамо,калихьу
494,Handtuch::N,нардамо,лажинлихьу
495,Kraft::N,вий,эллаж
496,Stärke::N,виевчи,гуж
497,Gesundheit::N,шумбрачи,цӏуллу-сагъшиву
498,Krankheit::N,орма,къашайшиву
499,Krankheit::N,сэредема,къашайшиву
500,Schmerz::N,сэредькс,къюву
501,Wunde::N,керявкс,щаву
502,Fieber::N,маштыкс,кӏиришиву
503,Arznei::N,ормаменькс,дару
504,Brücke::N,сэдь,ламу
505,Brücke::N,мадамо,ламу
506,Brunnen::N,лисьма,къуй
507,Weide::N,ракшань ванома тарка,бизантту
508,Pfad::N,ян,жегъир ххуллу
509,Weg::N,ки,ххуллу
510,Straße::N,ки,ххуллу
511,Dorf::N,веле,щар
512,Dorf::N,веле,шяравалу
513,Stadt::N,ош,шагьру
514,Brief::N,сёрма,чагъар
515,Buch::N,книга,лу
516,Buchstabe::N,буква,хӏарп
517,Zeitung::N,газета,кказит
518,Leben::N,эрямо,оьрму
519,Tod::N,кулома,ажал
520,Tod::N,кулома,бивкӏу
521,Tod::N,кулома,ивчӏаву
522,Grab::N,калмо,гьав
523,Kirche::N,церькова,килиса
524,Sünde::N,чумочи,бунагъ
525,Gott::N,паз,зал
526,Arbeiter::N,робочей,зузала
527,Chef::N,прявт,ялувма
528,Meister::N,кол тевень тенця,усттар
529,Arzt::N,врач,хӏакин
530,Lehrer::N,учитель,учитель
531,Lehrer::N,тонавтыця,учитель
532,Geld::N,ярмак,арцу
533,Geschäft::N,ладязь тев,даву
534,Laden::N,лавка,ттучан
535,Preis::N,питне,багъа
536,Ware::N,миевкс,хъус
537,Ware::N,рамавкс,хъус
538,Nutzen::N,паро,хайр
539,Nutzen::N,паро,мюнпат
540,Nutzen::N,лезэ,хайр
541,Nutzen::N,лезэ,мюнпат
542,Reichtum::N,сюпавчи,давлат
543,Reichtum::N,сюпавчи,аваданшиву
544,Welt::N,мир,дуниял
545,Welt::N,мастор ланго,дуниял
546,Land::N,мастор,билаят
547,Staat::N,государства,паччахӏлугъ
548,König::N,король,
549,Macht::N,азорксчи,власть
550,Grenze::N,буен тешкс,дазу
551,Krieg::N,война,дяъви
552,Feind::N,душман,душман
553,Gewalt::N,нарьгамо,къия
554,Kampf::N,тюрема,лачӏуи уккаву
555,Bogen[Waffe]::N,нал,ккуртта
556,Pfeil::N,нал,чӏатӏаракӏ
557,Gewehr::N,ружия,ттупанг
558,Gewehr::N,винтовка,ттупанг
559,Fehler::N,ильведькс,гъалатӏ
560,Fehler::N,ильведевкс,гъалатӏ
561,Lüge::N,манчема,щялмахъ
562,Lüge::N,кенгелема,щялмахъ
563,Schaden::N,зыян,зарал
564,Unglück::N,зыян,бала
565,Schuld::N,чумочи,тахсир
566,Alter::N,шка,оьрму
567,Schluss::N,пе,ахир
568,Zeit::N,шка,чӏун
569,Zeit::N,пинге,чӏун
570,Tag::N,чи,кьини
571,Morgen::N,валске,кӏюрх
572,Mittag::N,чикуншка,ахттайн
573,Mittag::N,чикуншка,дяахттайн
574,Mittag::N,чикуншка,ахттайн чӏун
575,Abend::N,чокшнэ,маркӏачӏан
576,Nacht::N,ве,хьхьу
577,Woche::N,недля,нюжмар
578,Monat::N,ков,барз
579,Jahr::N,ие,шин
580,Frühling::N,тундо,инт
581,Sommer::N,кизэ,гъи
582,Herbst::N,сёксь,ссут
583,Winter::N,теле,кӏи
584,Januar::N,якшамков,цалчинмур барз
585,Februar::N,февраль,кӏилчинмур барз
586,März::N,март,шамилчинмур барз
587,April::N,апрель,апрель
588,April::N,апрель,мукьилчинмур барз
589,Mai::N,май,май
590,Mai::N,май,ххюлчинмур барз
591,Juni::N,июнь,июнь
592,Juni::N,июнь,ряххилчинмур барз
593,Juli::N,июль,июль
594,Juli::N,июль,Арулчинмур барз
595,August::N,август,мяйлчинмур барз
596,September::N,сентября,урчӏилчинмур барз
597,Oktober::N,октября,ацӏилчинмур барз
598,November::N,ноября,ацӏния цалчинмур барз
599,Dezember::N,декабря,ацӏния кӏилчинмур барз
600,Montag::N,пондельник,итин
601,Montag::N,пондельник,итин кьини
602,Dienstag::N,овторник,тталат
603,Dienstag::N,овторник,тталат кьини
604,Mittwoch::N,серёда,арвахӏ
605,Donnerstag::N,цетьверьг,хамис
606,Freitag::N,пеця,нюжмар
607,Freitag::N,пеця,нюжмар кьини
608,Samstag::N,субута,ххуллун
609,Samstag::N,субута,ххуллун кьини
610,Samstag::N,шлямочи,ххуллун
611,Samstag::N,шлямочи,ххуллун кьини
612,Sonntag::N,недлячи,алхӏат
613,Sonntag::N,недлячи,алхӏат кьини
614,groß::A,ине,бугъарасса
615,groß::A,покш,бугъарасса
616,klein::A,вишка,чӏивисса
617,lang::A,кувака,лахъисса
618,kurz::A,нурькине,кутӏасса
619,breit::A,келей,уттасса
620,schmal::A,теине,уттакӏюласса
621,dicht::A,тусто,ццунсса
622,dick[Gegenstand]::A,эчке,ганзсса
623,dünn::A,човине,кӏюласса
624,fein::A,човине,
625,fest::A,кеме,цӏакьсса
626,fest::A,кеме,кьянкьасса
627,flach::A,лапужа,баягъисса
628,flach::A,лапужа,цӏубакъасса
