,Concept_ID,uk,vep
450,Spiegel::N,дзеркало,zerkol
451,Riemen::N,ремінь,vö
452,Schnur::N,вірьовка,nor
453,Leine::N,шворка,talutimnor
454,Decke::N,ковдра,sijakatuz
455,Kissen::N,подушка,pöluz
456,Tuch::N,хустка,paik
457,Handtuch::N,рушник,käzipaik
458,Kraft::N,сила,vägi
459,Stärke::N,сила,vahvuz'
460,Gesundheit::N,здоров’я,tervhuz
461,Krankheit::N,хвороба,läžund
462,Schmerz::N,біль,kibu
463,Wunde::N,рана,čapatez
464,Fieber::N,гарячка,säru
465,Arznei::N,ліки,zel'l'
466,Brücke::N,міст,sild
467,Brunnen::N,колодязь,kaiv
468,Weide::N,пасовище,omaluine
469,Pfad::N,стежка,tehut
470,Weg::N,шлях,te
471,Weg::N,дорога,te
472,Straße::N,вулиця,te
473,Dorf::N,село,külä
474,Stadt::N,місто,lidn
475,Brief::N,лист,kirjeine
476,Buch::N,книга,kirj
477,Buch::N,книжка,kirj
478,Buchstabe::N,буква,kirjam
479,Buchstabe::N,літера,kirjam
480,Zeitung::N,газета,lehtez
481,Leben::N,життя,elo
482,Tod::N,смерть,surm
483,Grab::N,могила,kaum
484,Kirche::N,церква,jumalanpert'
485,Sünde::N,гріх,grähk
486,Gott::N,бог,jumal
487,Arbeiter::N,робітник,radnik
488,Chef::N,хазяїн,pämez'
489,Meister::N,умілець,mastar
490,Arzt::N,лікар,lekar'
491,Lehrer::N,вчитель,opendai
492,Geld::N,гроші,rahad
493,Geschäft::N,заняття,biznes
494,Laden::N,магазин,lauk
495,Laden::N,крамниця,lauk
496,Preis::N,ціна,arv
497,Ware::N,товар,tavar
498,Nutzen::N,вигода,liža
499,Nutzen::N,користь,liža
500,Reichtum::N,багатство,kodielo
501,Reichtum::N,багатство,kal'huz'
502,Welt::N,світ,mail'm
503,Land::N,країна,ma
504,Staat::N,держава,valdkund
505,König::N,король,kunigaz
506,Macht::N,влада,vald
507,Grenze::N,кордон,röun
508,Krieg::N,війна,soda
509,Feind::N,ворог,vihanik
510,Feind::N,ворог,vastustai
511,Gewalt::N,насильство,vägivald
512,Kampf::N,бій,tora
513,Kampf::N,боротьба,tora
514,Bogen[Waffe]::N,лук,taug
515,Pfeil::N,стріла,nol
516,Gewehr::N,рушниця,oružj
517,Gewehr::N,гвинтівка,oružj
518,Fehler::N,помилка,viga
519,Lüge::N,брехня,kelastuz
520,Schaden::N,шкода,pahuz'
521,Schaden::N,збиток,pahuz'
522,Unglück::N,нещастя,bed
523,Unglück::N,нещастя,gor'a
524,Schuld::N,провина,värhuz'
525,Alter::N,вік,igä
526,Alter::N,літа,igä
527,Schluss::N,кінець,lop
528,Zeit::N,час,aig
529,Tag::N,день,päiv
530,Morgen::N,ранок,homendez
531,Mittag::N,південь,keskpäiv
532,Abend::N,вечір,eht
533,Nacht::N,ніч,ö
534,Woche::N,тиждень,nedal'
535,Monat::N,місяць,ku
536,Jahr::N,рік,voz'
537,Frühling::N,весна,keväz'
538,Sommer::N,літо,keza
