,Concept_ID,eu,no
64,Schlaf::N,lo,søvn
65,Traum::N,amets,drøm
66,Himmel::N,zeru,himmel
67,Sonne::N,eguzki,sol
68,Mond::N,ilargi,måne
69,Stern::N,izar,stjerne
70,Luft::N,aire,luft
71,Wind::N,haize,vind
72,Welle::N,uhin,bølge
73,Welle::N,olatu,bølge
74,Wasser::N,ur,vann
75,Stein::N,harri,stein
76,Boden::N,lur,bakke
77,Boden::N,zoru,bakke
78,Erde::N,lur,jord
79,Staub::N,hauts,støv
80,Rauch::N,ke,røyk
81,Funke::N,zirta,gnist
82,Funke::N,txinparta,gnist
83,Feuer::N,su,ild
84,Licht::N,argi,lys
85,Schatten::N,itzal,skygge
86,Schatten::N,geriza,skygge
87,Wetter::N,eguraldi,vær
88,Nebel::N,laino,tåke
89,Wolke::N,hodei,sky
90,Regen::N,euri,regn
91,Schnee::N,elur,snø
92,Eis::N,horma,is
93,Frost::N,izotzaldi,frost
94,Kälte::N,hotz,kulde
95,Hitze::N,bero,hete
96,Raureif::N,antzigar,rimfrost
97,Regenbogen::N,ostadar,regnbue
98,Regenbogen::N,ortzadar,regnbue
99,Donner::N,ostots,torden
100,Donner::N,ihurtzuri,torden
101,Strömung::N,laster,strømning
102,Tropfen::N,xorta,dråpe
103,Schaum::N,bits,skum
104,Schmutz::N,lohi,søl
105,Schmutz::N,lohi,skitt
106,Schmutz::N,zikin,søl
107,Schmutz::N,zikin,skitt
108,See::N,laku,sjø
109,See::N,aintzira,sjø
110,Sumpf::N,zingira,sump
111,Sumpf::N,zingira,myrlende
112,Moor::N,zohikaztegi,myr
113,Moor::N,zohikaztegi,myrhei
114,Wiese::N,larre,eng
115,Wiese::N,belardi,eng
116,Wald::N,baso,skog
117,Wald::N,oihan,skog
118,Hügel::N,muino,haug
119,Hügel::N,muino,bakke
120,Hügel::N,pentoka,haug
121,Hügel::N,pentoka,bakke
122,Anhöhe::N,garai,haug
123,Anhöhe::N,garai,bakke
124,Anhöhe::N,goragune,haug
125,Anhöhe::N,goragune,bakke
126,Berg::N,mendi,berg
127,Berg::N,mendi,fjell
128,Gipfel::N,gain,topp
129,Gipfel::N,tontor,topp
130,Höhle::N,kobazulo,hule
131,Abhang::N,aldapa,li
132,Abhang::N,aldapa,skråning
133,Quelle::N,iturri,kilde
134,Quelle::N,iturbegi,kilde
135,Bach::N,lats,bekk
136,Bach::N,erreka,bekk
137,Fluss::N,ibai,elv
138,Fluss::N,uhaitz,elv
139,Ufer::N,bazter,bredd
140,Küste::N,itsasalde,kyst
141,Festland::N,lehor,fastland
142,Meer::N,itsaso,hav
143,Bucht::N,golko,bukt
144,Insel::N,irla,øy
145,Insel::N,uharte,øy
146,Blume::N,lili,blomst
147,Gras::N,belar,gress
148,Wurzel::N,zuztar,rot
149,Wurzel::N,sustrai,rot
150,Baum::N,zuhaitz,tre
151,Stamm::N,enbor,stamme
152,Rinde::N,azal,bark
153,Ast::N,adar,gren
154,Zweig::N,abar,kvist
155,Blatt::N,hosto,blad
156,Birke::N,urki,bjørk
157,Kiefer[Baum]::N,ler,furu
158,Weide[Baum]::N,zume,selje
159,Weide[Baum]::N,zume,piletre
160,Weide[Baum]::N,sahats,selje
161,Weide[Baum]::N,sahats,piletre
162,Tanne::N,izei,gran
163,Horn::N,adar,horn
164,Feder::N,luma,fjær
165,Feder::N,hegaki,fjær
166,Fell::N,ile,skinn
167,Fell::N,larru,skinn
168,Flügel::N,hego,vinge
169,Klaue::N,atzapar,klauv
170,Kralle::N,erpe,klo
171,Kralle::N,atzapar,klo
172,Schwanz::N,isats,hale
173,Schwanz::N,buztan,hale
174,Ei::N,arrautza,egg
175,Nest::N,habia,rede
176,Bau::N,ohantze,hi
177,Tier::N,abere,dyr
178,Tier::N,piztia,dyr
179,Herde::N,saldo,flokk
180,Herde::N,abere talde,flokk
181,Kuh::N,behi,ku
182,Bulle::N,zezen,tyr
183,Pferd::N,zaldi,hest
184,Schaf::N,ardi,får
185,Schwein::N,urde,gris
186,Schwein::N,txerri,gris
187,Hund::N,txakur,hund
188,Katze::N,katu,katt
189,Bär::N,hartz,bjørn
190,Eichhörnchen::N,urtxintxa,ekorn
191,Elch::N,altze,elg
192,Fuchs::N,azeri,rev
193,Hase::N,erbi,hare
194,Maus::N,sagu,mus
195,Wolf::N,otso,ulv
196,Wolf::N,otso,varg
197,Vogel::N,txori,fugl
198,Vogel::N,hegazti,fugl
199,Schwarm::N,aldra,sverm
200,Huhn::N,oilo,høne
201,Hahn::N,oilar,hane
202,Gans::N,antzara,gås
203,Adler::N,arrano,ørn
204,Ente::N,ahate,and
205,Eule::N,hontza,ugle
206,Kranich::N,kurrilo,trane
207,Krähe::N,bele,kråke
208,Kuckuck::N,kuku,gjøk
209,Schwan::N,beltxarga,svane
210,Fisch::N,arrain,fisk
211,Barsch::N,perka,abbor
212,Hecht::N,lutxo,gjedde
213,Schlange[Tier]::N,suge,orm
214,Schlange[Tier]::N,suge,slange
215,Wurm::N,har,orm
216,Wurm::N,har,mark
217,Spinne::N,armiarma,edderkopp
218,Ameise::N,inurri,maur
219,Laus::N,zorri,lus
220,Mücke::N,eltxo,mygg
221,Fliege::N,euli,flue
222,Schmetterling::N,pinpirin,sommerfugl
223,Schmetterling::N,tximeleta,sommerfugl
224,Beere::N,baia,bær
225,Apfel::N,sagar,eple
226,Pilz::N,onddo,sopp
227,Pilz::N,perretxiko,sopp
228,Zwiebel::N,tipula,løk
229,Saat::N,haziak,sæd
230,Korn::N,ale,korn
231,Korn::N,pikor,korn
232,Heu::N,belar ondu,høy
233,Schale::N,azal,skall
234,Grube::N,hobi,grop
235,Falle::N,harrapagailu,felle
236,Schlinge::N,bilur,snare
237,Schlinge::N,xedera,snare
238,Spur::N,lorratz,spor
239,Asche::N,errauts,aske
240,Dreck::N,satsukeria,møkk
241,Dreck::N,satsukeria,skitt
242,Eisen::N,burdina,jern
243,Gold::N,urre,gull
244,Gold::N,urregorri,gull
245,Silber::N,zilar,sølv
246,Silber::N,urrezuri,sølv
247,Kohle::N,ikatz,kol
248,Kohle::N,ikatz,kull
249,Glas::N,beira,glass
250,Lehm::N,buztin,leire
251,Sand::N,harea,sand
252,Sand::N,hondar,sand
253,Mensch::N,gizaki,menneske
254,Mann::N,gizon,mann
255,Frau::N,andere,kvinne
256,Frau::N,emakume,kvinne
257,Kind::N,haur,barn
258,Junge::N,mutil,gutt
259,Mädchen::N,neska,pike
260,Mädchen::N,neska,jente
261,Familie::N,sendi,familie
262,Familie::N,familia,familie
263,Großvater::N,aitona,bestefar
264,Großvater::N,aitatxi,bestefar
265,Großmutter::N,amona,bestemor
266,Großmutter::N,amatxi,bestemor
267,Eltern::N,gurasoak,foreldre
268,Vater::N,aita,far
269,Mutter::N,ama,mor
270,Sohn::N,seme,sønn
271,Tochter::N,alaba,datter
272,Bruder::N,neba,bror
273,Bruder::N,anaia,bror
274,Schwester::N,ahizpa,søster
275,Onkel::N,osaba,onkel
276,Tante::N,izeba,tante
277,Ehemann::N,senar,ektemann
278,Ehefrau::N,emazte,hustru
279,Freude::N,poz,glede
280,Freude::N,pozkari,glede
281,Gelächter::N,barre,latter
282,Gelächter::N,karkara,latter
283,Glück::N,zori,lykke
284,Kummer::N,xangrin,sorg
285,Kummer::N,atsekabe,sorg
286,Wunsch::N,nahi,ønske
287,Wunsch::N,nahikunde,ønske
288,Lust::N,gogo,lyst
289,Geist::N,gogo,ånd
290,Gedanke::N,gogoeta,tanke
291,Gedächtnis::N,oroimen,minne
292,Gedächtnis::N,oroimen,hukommelse
293,Gedächtnis::N,gogoramen,minne
294,Gedächtnis::N,gogoramen,hukommelse
295,Verstand::N,adimen,forstand
296,Verstand::N,ulermen,forstand
297,Sinn::N,zentzu,mening
298,Sinn::N,zentzu,betydning
299,Grund::N,zergati,grunn
300,Wahrheit::N,egia,sannhet
301,Gespräch::N,hizketa,samtale
302,Gespräch::N,elkarrizketa,samtale
303,Märchen::N,ipuin,eventyr
304,Erzählung::N,edesti,fortelling
305,Erzählung::N,kontakizun,fortelling
306,Nachricht::N,albiste,melding
307,Neuigkeit::N,berri,nyhet
308,Name::N,izen,navn
309,Rätsel::N,asmakizun,gåte
310,Rede::N,hitzaldi,tale
311,Rede::N,mintzaldi,tale
312,Sprache::N,hizkuntza,språk
313,Stimme::N,ahots,stemme
314,Wort::N,hitz,ord
315,Zeichen::N,agerbide,tegn
316,Zeichen::N,agergarri,tegn
317,Ruf::N,dei,rop
318,Lärm::N,zarata,bråk
319,Lärm::N,harrabots,bråk
320,Laut::N,hots,lyd
321,Ton::N,tonu,tone
322,Ton::N,soinu,tone
323,Lied::N,abesti,vise
324,Ruhe::N,nasaitasun,ro
325,Leute::N,jende,folk
326,Volk::N,herri,folk
327,Volk::N,populu,folk
328,Arbeit::N,lan,arbeid
329,Gast::N,arrotz,gjest
330,Gast::N,apopilo,gjest
331,Geschenk::N,opari,gave
332,Spiel::N,jolas,lek
333,Spiel::N,jolas,spill
334,Gesellschaft::N,gizarte,selskap
335,Hilfe::N,helpide,hjelp
336,Hilfe::N,laguntza,hjelp
337,Freund::N,lagun,venn
338,Kamerad::N,adiskide,kamerat
339,Kamerad::N,lagunkide,kamerat
340,Angelegenheit::N,afera,sak
341,Angelegenheit::N,afera,anliggende
342,Anzahl::N,kopuru,antall
343,Art::N,mota,art
344,Art::N,mota,slag
345,Stück::N,puska,stykke
346,Teil::N,atal,del
347,Hälfte::N,erdi,halvdel
348,Kreis::N,biribilki,ring
349,Kreis::N,biribilki,sirkel
350,Kreuz::N,gurutze,kors
351,Kreuz::N,gurutze,kryss
352,Linie::N,linea,linje
353,Strich::N,marra,strek
354,Abstand::N,tarte,avstand
355,Entfernung::N,urrunera,avstand
356,Gegend::N,alderdi,strøk
357,Gegend::N,eskualde,strøk
358,Platz::N,leku,plass
359,Ort::N,toki,sted
360,Seite::N,albo,side
361,Mitte::N,erdi,midte
362,Gegenstand::N,gauzaki,gjenstand
363,Sache::N,gauza,sak
364,Rand::N,ertz,rand
365,Kante::N,ertz,kant
366,Ecke::N,kantoi,hjørne
367,Spitze::N,punta,spiss
368,Ende::N,buru,ende
369,Ende::N,mutur,ende
370,Loch::N,zulo,hull
371,Winkel::N,zoko,vinkel
372,Winkel::N,bazter,vinkel
373,Muster::N,eredu,mønster
374,Muster::N,marrazki,mønster
375,Größe::N,kaizu,størrelse
376,Größe::N,tamaina,størrelse
377,Länge::N,luzera,lengde
378,Höhe::N,goiera,høyde
379,Höhe::N,garaiera,høyde
380,Gewicht::N,hazta,vekt
381,Menge::N,kopuru,mengde
382,Haufen::N,pila,haug
383,Haufen::N,pila,bunke
384,Haufen::N,mendoi,haug
385,Haufen::N,mendoi,bunke
386,Reihe::N,ilara,rekke
387,Reihe::N,errenkada,rekke
388,Boot::N,potin,båt
389,Boot::N,txalupa,båt
390,Ruder::N,arraun,åre
391,Schlitten::N,lera,slede
392,Schlitten::N,lera,kjelke
393,Schlitten::N,narra,slede
394,Schlitten::N,narra,kjelke
395,Ski::N,eski,ski
396,Lagerfeuer::N,su,leirbål
397,Last::N,zama,bør
398,Last::N,zama,last
399,Last::N,karga,bør
400,Last::N,karga,last
401,Gang::N,ibilera,gang
402,Schritt::N,pauso,steg
403,Schritt::N,pauso,skritt
404,Schritt::N,urrats,steg
405,Schritt::N,urrats,skritt
406,Norden::N,ipar,nord
407,Norden::N,iparralde,nord
408,Süden::N,hego,sør
409,Süden::N,hegoalde,sør
410,Westen::N,sartalde,vest
411,Westen::N,mendebalde,vest
412,Osten::N,ekialde,øst
413,Osten::N,sortalde,øst
414,Holz::N,zur,tre
415,Brett::N,ohol,fjøl
416,Brett::N,ohol,brett
417,Platte::N,lauza,plate
418,Stütze::N,irozgarri,støtte
419,Stütze::N,bermagailu,støtte
420,Stange::N,haga,stang
421,Stock::N,makila,pinne
422,Stab::N,makila,stav
423,Stab::N,makila,kjepp
424,Rohr::N,hodi,rør
425,Haus::N,etxe,hus
426,Heim::N,etxe,hjem
427,Heim::N,etxaleku,hjem
428,Ofen::N,berogailu,ovn
429,Fußboden::N,zoru,gulv
430,Tisch::N,mahai,bord
431,Stuhl::N,aulki,stol
432,Wiege::N,kuma,vogge
433,Wiege::N,sehaska,vogge
434,Bett::N,ohe,seng
435,Bett::N,ohatze,seng
436,Regal::N,apalategi,reol
437,Regal::N,apalategi,hylle
438,Kiste::N,kutxa,kasse
439,Fenster::N,leiho,vindu
440,Tür::N,ate,dør
441,Tor::N,atari,port
442,Zaun::N,hesi,gjerde
443,Dach::N,teilatu,tak
444,Leiter::N,zurubi,stige
445,Besen::N,erratz,kost
446,Spaten::N,burdinpala,spade
447,Schaufel::N,pala,skuffe
448,Gabel::N,sardexka,gaffel
449,Löffel::N,koilara,skje
450,Messer::N,aizto,kniv
451,Nagel::N,iltze,spiker
452,Netz::N,sare,nett
453,Haken::N,mako,krok
454,Griff::N,eskutoki,tak
455,Griff::N,eskutoki,håndtak
456,Schloss::N,sarraila,lås
457,Bild::N,irudi,bilde
458,Figur::N,figura,figur
459,Puppe::N,panpina,dukke
460,Puppe::N,andrakila,dukke
461,Beutel::N,zorro,pose
462,Bündel::N,azao,bylt
463,Bündel::N,espal,bylt
464,Tasche::N,poltsa,veske
465,Eimer::N,treska,bøtte
466,Deckel::N,tapa,lokk
467,Deckel::N,estalki,lokk
468,Geschirr::N,baxera,kjøkkentøy
469,Geschirr::N,ontziteria,kjøkkentøy
470,Sack::N,zaku,sekk
471,Tasse::N,kikara,kopp
472,Topf::N,ontzi,gryte
473,Topf::N,lapiko,gryte
474,Kessel::N,pazia,kjele
475,Essen::N,janaldi,mål
476,Nahrung::N,jan,mat
477,Nahrung::N,jan,næring
478,Speise::N,jaki,matrett
479,Fleisch::N,okela,kjøtt
480,Fleisch::N,haragi,kjøtt
481,Getreide::N,labore,korn
482,Brei::N,ahi,grøt
483,Brei::N,pure,grøt
484,Brot::N,ogi,brød
485,Scheibe::N,xerra,skive
486,Scheibe::N,pirripita,skive
487,Fett::N,urin,fett
488,Fett::N,koipe,fett
489,Butter::N,gurin,smør
490,Öl::N,olio,olje
491,Salz::N,gatz,salt
492,Suppe::N,zopa,suppe
493,Suppe::N,salda,suppe
494,Honig::N,ezti,honning
495,Milch::N,esne,melk
496,Tee::N,te,te
497,Leder::N,larru,lær
498,Leder::N,larru,skinn
499,Wolle::N,artile,ull
500,Stoff::N,ehun,tøy
501,Stoff::N,ehun,stoff
502,Nadel::N,orratz,nål
503,Nadel::N,jostorratz,nål
504,Faden::N,hari,tråd
505,Knopf::N,botoi,knapp
506,Knoten::N,korapilo,knute
507,Farbe::N,pintura,farge
508,Kleidung::N,arropa,påkledning
509,Kleidung::N,jantziak,påkledning
510,Hemd::N,atorra,skjorte
511,Hemd::N,alkandora,skjorte
512,Kragen::N,idun,krage
513,Ärmel::N,mahuka,erme
514,Hose::N,prakak,bukse
515,Hose::N,galtzak,bukse
516,Gürtel::N,gerriko,belte
517,Mütze::N,txano,lue
518,Mütze::N,txapel,lue
519,Schuh::N,oski,sko
520,Schuh::N,oinetako,sko
521,Stiefel::N,bota,støvel
522,Ring::N,uztai,ring
523,Band::N,zinta,band
524,Band::N,xingola,band
525,Kamm::N,orrazi,kam
526,Spiegel::N,mirail,speil
527,Riemen::N,uhal,rem
528,Schnur::N,lokailu,snor
529,Leine::N,lotura,line
530,Decke::N,burusi,teppe
531,Kissen::N,kuxin,pute
532,Tuch::N,zapi,tøy
533,Tuch::N,oihal,tøy
534,Handtuch::N,eskuzapi,håndkle
535,Handtuch::N,eskuoihal,håndkle
536,Kraft::N,indar,kraft
537,Stärke::N,indar,styrke
538,Gesundheit::N,osasun,helse
539,Gesundheit::N,osasun,sunnhet
540,Krankheit::N,eritasun,syke
541,Krankheit::N,eritasun,sykdom
542,Krankheit::N,gaixotasun,syke
543,Krankheit::N,gaixotasun,sykdom
544,Schmerz::N,min,smerte
545,Wunde::N,zauri,sår
546,Fieber::N,sukar,feber
547,Arznei::N,osagai,medisin
548,Arznei::N,osagai,legemiddel
549,Arznei::N,sendagai,medisin
550,Arznei::N,sendagai,legemiddel
551,Brücke::N,zubi,bro
552,Brunnen::N,putzu,brønn
553,Weide::N,alha,beite
554,Weide::N,bazkaleku,beite
555,Pfad::N,zidor,sti
556,Pfad::N,bidexka,sti
557,Weg::N,bide,vei
558,Straße::N,errepide,gate
559,Dorf::N,herri,landsby
560,Stadt::N,hiri,by
561,Brief::N,gutun,brev
562,Brief::N,eskutitz,brev
563,Buch::N,liburu,bok
564,Buchstabe::N,hizki,bokstav
565,Zeitung::N,egunkari,avis
566,Leben::N,bizi,liv
567,Leben::N,bizitza,liv
568,Tod::N,herio,død
569,Tod::N,heriotza,død
570,Grab::N,hobi,grav
571,Grab::N,hilobi,grav
572,Kirche::N,eliza,kirke
573,Sünde::N,hoben,synd
574,Sünde::N,bekatu,synd
575,Gott::N,jainko,gud
576,Arbeiter::N,langile,arbeider
577,Arbeiter::N,behargin,arbeider
578,Chef::N,nagusi,sjef
579,Meister::N,maisu,mester
580,Arzt::N,osagile,lege
581,Arzt::N,sendagile,lege
582,Lehrer::N,irakasle,lærer
583,Geld::N,diru,penger
584,Geschäft::N,negozio,forretning
585,Laden::N,denda,butikk
586,Laden::N,saltegi,butikk
587,Preis::N,prezio,pris
588,Preis::N,salneurri,pris
589,Ware::N,salgai,vare
590,Nutzen::N,onura,nytte
591,Nutzen::N,probetxu,nytte
592,Reichtum::N,aberastasun,rikdom
593,Welt::N,ludi,verden
594,Welt::N,mundu,verden
595,Land::N,herrialde,land
596,Staat::N,estatu,stat
597,König::N,errege,konge
598,Macht::N,botere,makt
599,Grenze::N,muga,grense
600,Krieg::N,guda,krig
601,Feind::N,etsai,fiende
602,Feind::N,arerio,fiende
603,Gewalt::N,bortxa,vold
604,Gewalt::N,bortizkeria,vold
605,Kampf::N,gudu,kamp
606,Kampf::N,auska,kamp
607,Bogen[Waffe]::N,arku,bue
608,Pfeil::N,gezi,pil
609,Gewehr::N,fusil,gevær
610,Fehler::N,huts,feil
611,Fehler::N,hutsegin,feil
612,Lüge::N,gezur,løgn
613,Schaden::N,kalte,skade
614,Unglück::N,zoritxar,uhell
615,Unglück::N,zorigaitz,uhell
616,Schuld::N,erru,skyld
617,Alter::N,adin,alder
618,Schluss::N,bukaera,slutt
619,Zeit::N,aldi,tid
620,Zeit::N,denbora,tid
621,Tag::N,egun,dag
622,Morgen::N,goiz,morgen
623,Mittag::N,eguerdi,middag
624,Abend::N,arrats,aften
625,Nacht::N,gau,natt
626,Woche::N,aste,uke
627,Monat::N,hil,måned
628,Jahr::N,urte,år
629,Frühling::N,udalehen,vår
630,Sommer::N,uda,sommer
631,Herbst::N,udazken,høst
632,Herbst::N,neguantz,høst
633,Winter::N,negu,vinter
634,Januar::N,urtarril,januar
635,Februar::N,otsail,februar
636,März::N,martxo,mars
637,April::N,apiril,april
638,Mai::N,maiatz,mai
639,Juni::N,ekain,juni
640,Juli::N,uztail,juli
641,August::N,abuztu,august
642,September::N,irail,september
643,Oktober::N,urri,oktober
644,November::N,azaro,november
645,Dezember::N,abendu,desember
646,Montag::N,astelehen,mandag
647,Dienstag::N,astearte,tirsdag
648,Mittwoch::N,asteazken,onsdag
649,Donnerstag::N,ostegun,torsdag
650,Freitag::N,ostiral,fredag
651,Samstag::N,larunbat,lørdag
652,Sonntag::N,igande,søndag
653,groß::A,handi,stor
654,klein::A,txiki,liten
655,lang::A,luze,lang
656,kurz::A,labur,kort
657,breit::A,zabal,bred
658,schmal::A,mehar,smal
659,dicht::A,sarri,tett
660,dicht::A,trinko,tett
661,dick[Gegenstand]::A,lodi,tykk
662,dünn::A,mehe,tynn
663,fein::A,fin,fin
664,fest::A,tinko,fast
665,flach::A,lau,flat
666,flach::A,ordoki,flat
667,glatt::A,leun,glatt
668,hart::A,gogor,hard
669,weich::A,bigun,myk
670,weich::A,bigun,bløt
671,weich::A,beratz,myk
672,weich::A,beratz,bløt
673,rund::A,biribil,rund
674,spitz::A,puntadun,spiss
675,scharf::A,zorrotz,kvass
676,stumpf::A,kamuts,stubb
677,schwer::A,astun,tung
678,schwer::A,pisutsu,tung
679,schön::A,eder,pen
680,schön::A,eder,vakker
681,heiß::A,bero,het
682,heiß::A,oso bero,het
683,warm::A,bero,varm
684,kalt::A,hotz,kald
685,kühl::A,hotzil,kjølig
686,frisch::A,fresko,fersk
687,frisch::A,hozkirri,fersk
688,feucht::A,heze,fuktig
689,nass::A,busti,våt
690,trocken::A,siku,tørr
691,trocken::A,lehor,tørr
692,voll::A,bete,full
693,leer::A,huts,tom
694,offen::A,ireki,åpen
695,geschlossen::A,itxita,lukket
696,sauber::A,xahu,ren
697,sauber::A,garbi,ren
698,schmutzig::A,lohi,skitten
699,schmutzig::A,zikin,skitten
700,roh::A,gordin,rå
701,reif::A,umo,moden
702,reif::A,heldu,moden
703,lecker::A,goxo,lekker
704,süß::A,goxo,søt
705,bitter::A,karmin,besk
706,bitter::A,karmin,bitter
707,bitter::A,garratz,besk
708,bitter::A,garratz,bitter
709,sauer::A,mingots,sur
710,hell::A,argi,lys
711,dunkel::A,ilun,mørk
712,schwarz::A,beltz,svart
713,weiß::A,zuri,hvit
714,rot::A,gorri,rød
715,gelb::A,hori,gul
716,blau::A,urdin,blå
717,grün::A,berde,grønn
718,grün::A,musker,grønn
719,grau::A,urdin,grå
720,grau::A,urdinabar,grå
721,bunt::A,koloretsu,broket
722,billig::A,merke,billig
723,teuer::A,garesti,dyr
724,wertvoll::A,baliotsu,verdifull
725,blind::A,itsu,blind
726,taub::A,gor,døv
727,kräftig::A,kementsu,kraftig
728,stark::A,bizkor,sterk
729,stark::A,indartsu,sterk
730,schwach::A,ahul,svak
731,schwach::A,indargabe,svak
732,fett::A,gizen,fet
733,schlank::A,lerden,slank
734,hübsch::A,polit,pen
735,böse::A,tzar,slem
736,böse::A,gaizto,slem
737,dumm::A,lelo,dum
738,dumm::A,pello,dum
739,faul::A,nagi,lat
740,faul::A,nagi,doven
741,faul::A,alfer,lat
742,faul::A,alfer,doven
743,fleißig::A,maratz,flittig
744,fleißig::A,lanzale,flittig
745,geizig::A,zeken,gjerrig
746,geizig::A,zikoitz,gjerrig
747,klug::A,zuhur,klok
748,geschickt::A,trebe,hendig
749,geschickt::A,trebe,skikket
750,geschickt::A,antzetsu,hendig
751,geschickt::A,antzetsu,skikket
752,lieb::A,maite,kjær
753,lieb::A,maite,snill
754,lieb::A,laztan,kjær
755,lieb::A,laztan,snill
756,lustig::A,alaitsu,morsom
757,sanft::A,eme,blid
758,sanft::A,ezti,blid
759,hungrig::A,gose,sulten
760,krank::A,eri,syk
761,krank::A,gaixo,syk
762,nackt::A,biluzi,naken
763,traurig::A,itun,sørgmodig
764,traurig::A,betilun,sørgmodig
765,lebendig::A,bizirik,levende
766,gut::A,on,god
767,schlecht::A,txar,dårlig
768,richtig::A,zuzen,riktig
769,schlimm::A,larri,slem
770,wahr::A,egiazko,sann
771,alt::A,zahar,gammel
772,neu::A,berri,ny
773,ehemalig::A,lehengo,forhenværende
774,alt[Lebewesen]::A,adindun,gammel
775,jung::A,gazte,ung
776,arm::A,txiro,fattig
777,arm::A,behartsu,fattig
778,reich::A,dirudun,rik
779,bekannt::A,ezagun,kjent
780,berühmt::A,entzun,berømt
781,berühmt::A,ospetsu,berømt
782,fremd::A,arrotz,fremmed
783,verschieden::A,ezberdin,forskjellig
784,verschieden::A,desberdin,forskjellig
785,nah::A,hurre,nær
786,nah::A,hurbil,nær
787,fern::A,urrun,fjern
788,linker::A,ezker,venstre
789,rechter::A,eskuin,høyre
790,anderer::A,beste,annen
791,erster::A,lehen,første
792,erster::A,aurren,første
793,zweiter::A,bigarren,annen
794,dritter::A,hirugarren,tredje
795,letzter::A,azken,sist
796,letzter::A,hondar,sist
797,allein::ADV,bakarrik,alene
798,auf einmal::ADV,batera,med ett
799,zusammen::ADV,elkarrekin,sammen
800,lange::ADV,luzaro,lenge
801,plötzlich::ADV,bat-batean,plutselig
802,sofort::ADV,berehala,straks
803,später::ADV,gero,senere
804,jetzt::ADV,orain,nå
805,heute::ADV,gaur,i dag
806,morgen::ADV,bihar,i morgen
807,bald::ADV,aurki,snart
808,bald::ADV,laster,snart
809,dann::ADV,ondoren,så
810,gestern::ADV,atzo,i går
811,einst::ADV,antzina,engang
812,damals::ADV,orduan,den gang
813,danach::ADV,gerora,deretter
814,danach::ADV,ondoren,deretter
815,vorher::ADV,lehenago,før
816,vorher::ADV,lehenago,i forveien
817,zuerst::ADV,aurrena,først
818,zuerst::ADV,lehenbizi,først
819,einmal::ADV,behin,en gang
820,einmal::ADV,aldi bat,en gang
821,manchmal::ADV,batzuetan,somme tider
822,manchmal::ADV,zenbaitetan,somme tider
823,oft::ADV,maiz,ofte
824,oft::ADV,askotan,ofte
825,immer::ADV,beti,alltid
826,niemals::ADV,inoiz ez,aldri
827,niemals::ADV,sekula ez,aldri
828,hier::ADV,hemen,her
829,hierhin::ADV,hona,hit
830,von hier::ADV,hemendik,herfra
831,von hier::ADV,honetatik,herfra
832,dort::ADV,han,der
833,dorthin::ADV,hara,dit
834,geradeaus::ADV,artez,rett fram
835,vorwärts::ADV,aurrera,fram
836,vorwärts::ADV,aurrera,framover
837,rückwärts::ADV,atzera,baklengs
838,rückwärts::ADV,atzerantz,baklengs
839,zurück::ADV,atzera,tilbake
840,unten::ADV,behean,nede
841,hinab::ADV,behera,ned
842,hinab::ADV,behera,nedover
843,hinab::ADV,beherantz,ned
844,hinab::ADV,beherantz,nedover
845,oben::ADV,goian,oppe
