,Concept_ID,hr,ba
55,Leber::N,jetra,бауыр
56,Atem::N,dah,һулыш
57,Hunger::N,glad,аслыҡ
58,Träne::N,suza,күҙ иәше
59,Geschmack::N,ukus,тәм
60,Geruch::N,njuh,еҫ
61,Geruch::N,miris,еҫ
62,Schlaf::N,san,йоҡлау
63,Traum::N,san,төш
64,Himmel::N,nebo,күк
65,Sonne::N,sunce,ҡояш
66,Mond::N,mjesec,ай
67,Stern::N,zvijezda,йондоҙ
68,Luft::N,zrak,һауа
69,Wind::N,vjetar,ел
70,Welle::N,val,тулҡын
71,Welle::N,talas,тулҡын
72,Wasser::N,voda,һыу
73,Stein::N,kamen,таш
74,Boden::N,tlo,тупраҡ
75,Boden::N,zemlja,тупраҡ
76,Erde::N,zemlja,балсҡ
77,Staub::N,prah,туҙан
78,Staub::N,prašina,туҙан
79,Rauch::N,dim,төтөн
80,Funke::N,iskra,осҡон
81,Funke::N,varnica,осҡон
82,Feuer::N,vatra,ут
83,Licht::N,svjetlo,яҡтылыҡ
84,Schatten::N,hlad,күләгә
85,Schatten::N,sjena,күләгә
86,Wetter::N,vrijeme,һауа торошо
87,Nebel::N,magla,төман
88,Wolke::N,oblak,болот
89,Regen::N,kiša,ямғыр
90,Schnee::N,snijeg,ҡар
91,Eis::N,led,боҙ
92,Frost::N,mraz,һалҡын
93,Kälte::N,studen,һыуыҡ
94,Kälte::N,hladnoća,һыуыҡ
95,Hitze::N,vrućina,томра
96,Hitze::N,vrućina,эҫелек
97,Raureif::N,inje,ҡырау
98,Regenbogen::N,duga,йәйғор
99,Donner::N,grom,күк күкрәү
100,Donner::N,grmljavina,күк күкрәү
101,Strömung::N,struja,ағым
102,Strömung::N,strujanje,ағым
103,Tropfen::N,kap,тамсы
104,Tropfen::N,kaplja,тамсы
105,Schaum::N,pjena,күбек
106,Schmutz::N,nečistoća,батҡаҡ
107,Schmutz::N,prljavština,батҡаҡ
108,See::N,jezero,күл
109,Sumpf::N,bara,һаҙлык
110,Moor::N,močvara,һаҙ
111,Wiese::N,livada,болон
112,Wald::N,šuma,урман
113,Hügel::N,brijeg,түбә
114,Hügel::N,brežuljak,түбә
115,Anhöhe::N,uzvišica,түбә
116,Anhöhe::N,uzvišica,ҡалҡыулыҡ
117,Berg::N,brdo,тау
118,Gipfel::N,vrh,түбә
119,Höhle::N,pećina,мәмерйә
120,Höhle::N,spilja,мәмерйә
121,Abhang::N,obronak,ипкен
122,Abhang::N,nizbrdica,ипкен
123,Quelle::N,izvor,шишмә
124,Quelle::N,vrelo,шишмә
125,Bach::N,potok,шишмә
126,Fluss::N,rijeka,йылға
127,Ufer::N,obala,яр
128,Küste::N,obala,яр буйы
129,Küste::N,morska obala,яр буйы
130,Festland::N,kopno,ҡоро ер
131,Meer::N,more,диңгез
132,Bucht::N,zaliv,бухта
133,Insel::N,ada,үтрау
134,Insel::N,otok,үтрау
135,Blume::N,cvijet,сәскә
136,Gras::N,trava,үлән
137,Wurzel::N,korijen,тамыр
138,Baum::N,drvo,ағас
139,Baum::N,stablo,ағас
140,Stamm::N,deblo,олон
141,Stamm::N,deblo,көбәк
142,Stamm::N,stablo,олон
143,Stamm::N,stablo,көбәк
144,Rinde::N,kora,ҡабыҡ
145,Ast::N,grana,ботаҡ
146,Zweig::N,grana,ботаҡ
147,Zweig::N,grana,тармаҡ
148,Blatt::N,list,япраҡ
149,Birke::N,breza,ҡайын
150,Kiefer[Baum]::N,bor,ҡарғай
151,Weide[Baum]::N,iva,тал
152,Weide[Baum]::N,vŕba,тал
153,Tanne::N,jela,шыршы
154,Horn::N,rog,мөғөҙ
155,Feder::N,pero,ҡауырһын
156,Fell::N,koža,тире
157,Flügel::N,krilo,ҡанат
158,Klaue::N,papak,тырнаҡ
159,Kralle::N,pandža,аяҡ
160,Schwanz::N,rep,ҡойроҡ
161,Ei::N,jaje,йомортҡа
162,Nest::N,gnijezdo,оя
163,Bau::N,jazbina,оң
164,Tier::N,životinja,жайуан
165,Tier::N,životinja,йыртҡыс
166,Herde::N,krdo,көтөү
167,Herde::N,stado,көтөү
168,Kuh::N,krava,һыйыр
169,Bulle::N,bik,үгеҙ
170,Pferd::N,konj,ат
171,Schaf::N,ovca,һарыҡ
172,Schwein::N,svinja,сусҡа
173,Hund::N,pas,эт
174,Hund::N,pseto,эт
175,Katze::N,mačka,бесәй
176,Bär::N,medvjed,айыу
177,Eichhörnchen::N,vjeverica,тейен
178,Elch::N,los,мышы
179,Fuchs::N,lisica,төлкө
180,Hase::N,zec,ҡуян
181,Maus::N,miš,сысҡан
182,Wolf::N,vuk,бүре
183,Wolf::N,kurjak,бүре
184,Vogel::N,ptica,ҡош
185,Schwarm::N,roj,көтөү
186,Schwarm::N,jato,көтөү
187,Huhn::N,kokoš,тауыҡ
188,Hahn::N,kokot,әтәс
189,Hahn::N,pijevac,әтәс
190,Gans::N,guska,ҡаҙ
191,Adler::N,orao,бөркөт
192,Ente::N,patka,өйрәк
193,Eule::N,sova,өкө
194,Eule::N,sova,ябалаҡ
195,Kranich::N,ždral,торна
196,Krähe::N,vrana,ҡарға
197,Kuckuck::N,kukavica,кәкүк
198,Schwan::N,labud,аҡҡош
199,Fisch::N,riba,балыҡ
200,Barsch::N,grgeč,алабуға
201,Hecht::N,štuka,суртан
202,Schlange[Tier]::N,guja,йылан
203,Schlange[Tier]::N,zmija,йылан
204,Wurm::N,crv,селяүсен
205,Spinne::N,pauk,үрмәксе
206,Ameise::N,mrav,ҡырмыҫҡа
207,Laus::N,uš,бет
208,Mücke::N,komarac,серәкәй
209,Fliege::N,muha,себен
210,Schmetterling::N,leptir,күбәләк
211,Beere::N,boba,еләк
212,Beere::N,bobica,еләк
213,Apfel::N,jabuka,алма
214,Pilz::N,pečurka,бәшмәк
215,Zwiebel::N,luk,һуган
216,Zwiebel::N,kapula,һуган
217,Saat::N,sjemenje,орлоҡ
218,Korn::N,zrno,иген
219,Heu::N,sijeno,бесән
220,Schale::N,kora,ҡабыҡ
221,Schale::N,ljuska,ҡабыҡ
222,Grube::N,jama,соҡор
223,Falle::N,zamka,тоҙак
224,Falle::N,zamka,ҡапҡан
225,Falle::N,klopka,тоҙак
226,Falle::N,klopka,ҡапҡан
227,Schlinge::N,uzao,тоҙак
228,Schlinge::N,petlja,тоҙак
229,Spur::N,trag,әҫер
230,Spur::N,slijed,әҫер
231,Asche::N,pepeo,көл
232,Dreck::N,blato,батҡаҡ
233,Eisen::N,željezo,тимер
234,Gold::N,zlato,алтын
235,Silber::N,srebro,көмөш
236,Kohle::N,ugalj,күмер
237,Kohle::N,ugljen,күмер
238,Glas::N,staklo,быяла
239,Lehm::N,glina,балсыҡ
240,Lehm::N,ilovača,балсыҡ
241,Sand::N,pijesak,ҡом
242,Mensch::N,čovjek,кеше
243,Mann::N,muškarac,ир
244,Frau::N,žena,ҡатын
245,Kind::N,čedo,бала
246,Kind::N,dijete,бала
247,Junge::N,momče,малай
248,Junge::N,dječak,малай
249,Mädchen::N,djevojka,ҡыҙ
250,Mädchen::N,djevojka,ҡыҙыҡай
251,Mädchen::N,djevojčica,ҡыҙ
252,Mädchen::N,djevojčica,ҡыҙыҡай
253,Familie::N,obitelj,ғаилә
254,Familie::N,porodica,ғаилә
255,Großvater::N,djed,олатай
256,Großmutter::N,baka,әбәй
257,Eltern::N,roditelji,ата-әсә
258,Vater::N,otac,атай
259,Mutter::N,majka,әсә
260,Sohn::N,sin,ул
261,Tochter::N,kći,ҡыҙ
262,Tochter::N,kćerka,ҡыҙ
263,Bruder::N,brat,агай
264,Schwester::N,sestra,алай
265,Schwester::N,sestra,һеңле
266,Onkel::N,čika,ағай
267,Onkel::N,ujak,ағай
268,Tante::N,ujna,апай
269,Tante::N,tetka,апай
270,Ehemann::N,muž,ир
271,Ehemann::N,suprug,ир
272,Ehefrau::N,žena,ҡатын
273,Ehefrau::N,supruga,ҡатын
274,Freude::N,radost,шатлыҡ
275,Freude::N,radost,ҡыуаныс
276,Gelächter::N,grohot,көлөү
277,Glück::N,sreća,бәхет
278,Kummer::N,jad,ҡайғы
279,Kummer::N,briga,ҡайғы
280,Wunsch::N,želja,теләк
281,Lust::N,volja,әүәҫлек
282,Geist::N,duh,аң
283,Geist::N,duh,рух
284,Gedanke::N,misao,уй
285,Gedanke::N,misao,фекер
286,Gedächtnis::N,pamćenje,хәтер
287,Verstand::N,um,аҡыл
288,Verstand::N,razum,аҡыл
289,Sinn::N,smisao,мәғәня
290,Sinn::N,značenje,мәғәня
291,Grund::N,razlog,сәбәп
292,Wahrheit::N,istina,дөрөҫлөк
293,Gespräch::N,razgovor,әңгәмә
294,Märchen::N,bajka,әкиәт
295,Erzählung::N,priča,хикәйә
296,Erzählung::N,pripovijest,хикәйә
297,Nachricht::N,vijest,хәбәр
298,Neuigkeit::N,novost,яңылыҡ
299,Name::N,ime,исем
300,Rätsel::N,zagonetka,йомаҡ
301,Rede::N,govor,телмәр
302,Rede::N,besjeda,телмәр
303,Sprache::N,jezik,тел
304,Sprache::N,jezik,телмәр
305,Stimme::N,glas,тауыш
306,Wort::N,riječ,һүҙ
307,Zeichen::N,znak,билдә
308,Ruf::N,povik,саҡырыу
309,Ruf::N,poklik,саҡырыу
310,Lärm::N,buka,шаулау
311,Lärm::N,galama,шаулау
312,Laut::N,zvuk,тауыш
313,Ton::N,ton,яңғырау
314,Lied::N,pjesma,йыр
315,Ruhe::N,tišina,ял
316,Ruhe::N,tišina,тыныслыҡ
317,Ruhe::N,počinak,ял
318,Ruhe::N,počinak,тыныслыҡ
319,Leute::N,ljudi,кешеләр
320,Volk::N,puk,халҡ
321,Volk::N,narod,халҡ
322,Arbeit::N,rad,эш
323,Arbeit::N,posao,эш
324,Gast::N,gost,ҡунаҡ
325,Geschenk::N,dar,бүләк
326,Geschenk::N,poklon,бүләк
327,Spiel::N,igra,уйын
328,Gesellschaft::N,društvo,йәмғиәт
329,Gesellschaft::N,kompanija,йәмғиәт
330,Hilfe::N,pomoć,ярҙам
331,Freund::N,prijatelj,дуҫ
332,Kamerad::N,drug,иптәш
333,Kamerad::N,drugar,иптәш
334,Angelegenheit::N,posao,әш
335,Anzahl::N,broj,һан
336,Anzahl::N,brojnost,һан
337,Art::N,vid,төр
338,Art::N,vrst,төр
339,Stück::N,komad,киҫәк
340,Teil::N,dio,өлөш
341,Hälfte::N,polovina,ярты
342,Kreis::N,krug,түңәрәк
343,Kreuz::N,križ,тәре
344,Linie::N,crta,һыҙыҡ
345,Strich::N,crta,һыҙат
346,Abstand::N,razmak,ара
347,Abstand::N,odstojanje,ара
348,Entfernung::N,udaljenost,алыҫлыҡ
349,Gegend::N,kraj,урын
350,Gegend::N,predeo,урын
351,Platz::N,mjesto,арауыҡ
352,Ort::N,mjesto,ерҙәр
353,Ort::N,mjesto,урындар
354,Ort::N,mjesto,эш урыны
355,Seite::N,bok,яҡ
356,Seite::N,strana,яҡ
357,Mitte::N,sredina,урталыҡ
358,Gegenstand::N,predmet,нәмә
359,Sache::N,posao,нәмә
360,Sache::N,posao,әйбер
361,Rand::N,rub,сит
362,Rand::N,kraj,сит
363,Kante::N,brid,ҡабырға
364,Kante::N,brid,ян
365,Kante::N,ivica,ҡабырға
366,Kante::N,ivica,ян
367,Ecke::N,ugao,мөйөш
368,Spitze::N,vrh,ос
369,Spitze::N,šiljak,ос
370,Ende::N,konac,аҙаҡ
371,Loch::N,rupa,тишек
372,Winkel::N,kut,мөйөш
373,Winkel::N,ugao,мөйөш
374,Muster::N,uzor,биҙәк
375,Größe::N,veličina,ҙурлыҡ
376,Länge::N,duljina,оҙонлоҡ
377,Höhe::N,visina,бейеклек
378,Gewicht::N,težina,үлсәү
379,Menge::N,mnoštvo,һан
380,Menge::N,količina,һан
381,Haufen::N,hrpa,өйөм
382,Haufen::N,gomila,өйөм
383,Reihe::N,red,рәт
384,Boot::N,čun,кәмә
385,Boot::N,čamac,кәмә
386,Ruder::N,veslo,ишкәк
387,Schlitten::N,saone,сана
388,Ski::N,ski,саңгы
389,Ski::N,smučka,саңгы
390,Lagerfeuer::N,logorska vatra,костер
391,Last::N,tovar,ауырлыҡ
392,Gang::N,hod,барыу
393,Schritt::N,korak,аҙым
394,Norden::N,sjever,төньяҡ
395,Süden::N,jug,көньяҡ
396,Westen::N,zapad,көнбайыш
397,Osten::N,istok,көнсығыш
398,Holz::N,drvo,үағас
399,Brett::N,daska,таҡта
400,Platte::N,ploča,плита
401,Stütze::N,potpora,терәк
402,Stange::N,motka,кәртә
403,Stock::N,štap,таяҡ
404,Stock::N,palica,таяҡ
405,Stab::N,štap,ҡолға
406,Stab::N,šipka,ҡолға
407,Rohr::N,cijev,торба
408,Haus::N,kuća,өй
409,Haus::N,kuća,йорт
410,Heim::N,dom,өй
411,Ofen::N,peć,мейес
412,Fußboden::N,pod,енес
413,Tisch::N,stol,өҫтәл
414,Tisch::N,trpeza,өҫтәл
415,Stuhl::N,stolac,ултырғыс
416,Stuhl::N,stolica,ултырғыс
417,Wiege::N,kolijevka,бишек
418,Bett::N,krevet,карауат
419,Bett::N,postelja,карауат
420,Regal::N,polica,кәштә
421,Kiste::N,sanduk,йәшинк
422,Fenster::N,prozor,тәҙрә
423,Tür::N,vrata,ишек
424,Tor::N,vrata,ҡапҡа
425,Tor::N,kapija,ҡапҡа
426,Zaun::N,plot,ҡойма
427,Zaun::N,ograda,ҡойма
428,Dach::N,krov,түбә
429,Dach::N,krov,ҡыйыҡ
430,Leiter::N,ljestve,баҫҡыс
431,Leiter::N,ljestvice,баҫҡыс
432,Besen::N,metla,һепертке
433,Spaten::N,ašov,көрәк
434,Schaufel::N,lopata,көрәк
435,Gabel::N,viljuška,сәнске
436,Löffel::N,žlica,ҡалаҡ
437,Messer::N,nož,бысаҡ
438,Nagel::N,čavao,сөй
439,Netz::N,mreža,ау
440,Haken::N,kuka,ыргаҡ
441,Griff::N,držak,тотҡа
442,Griff::N,ručica,тотҡа
443,Schloss::N,brava,йоҙаҡ
444,Bild::N,slika,картина
445,Figur::N,figura,һын
446,Puppe::N,lutka,ҡурсаҡ
447,Beutel::N,kesa,тоҡ
448,Bündel::N,snop,төргәк
449,Bündel::N,svežanj,төргәк
450,Tasche::N,torba,сумка
451,Tasche::N,taška,сумка
452,Eimer::N,kabao,биҙрә
453,Deckel::N,poklopac,ҡапҡас
454,Geschirr::N,suđe,һауыт-һаба
455,Geschirr::N,posuđe,һауыт-һаба
456,Sack::N,džak,тоҡ
457,Sack::N,vreća,тоҡ
458,Tasse::N,šalica,сынаяҡ
459,Topf::N,lonac,кәстрүл
460,Kessel::N,kazan,ҡаҙан
461,Essen::N,obrok,ашау
462,Nahrung::N,hrana,аҙыҡ
463,Speise::N,jelo,аш
464,Fleisch::N,meso,ит
465,Getreide::N,žito,иген
466,Getreide::N,žito,ашлыҡ
467,Getreide::N,žitarice,иген
468,Getreide::N,žitarice,ашлыҡ
469,Brei::N,kaša,бутҡа
470,Brot::N,kruh,икмәк
471,Scheibe::N,kriška,телем
472,Fett::N,mast,май
473,Fett::N,salo,май
474,Butter::N,buter,май
475,Butter::N,maslac,май
476,Öl::N,ulje,май буяуы
477,Salz::N,sol,тоҙ
478,Suppe::N,supa,һурпа
479,Honig::N,med,бал
480,Milch::N,mlijeko,һөт
481,Tee::N,čaj,сәй
482,Leder::N,koža,күн
483,Wolle::N,vuna,йөн
484,Stoff::N,štof,туҡыма
485,Stoff::N,tkanina,туҡыма
486,Nadel::N,igla,энә
487,Faden::N,nit,еп
488,Faden::N,konac,еп
489,Knopf::N,dugme,төймә
490,Knoten::N,čvor,төйөн
491,Knoten::N,uzao,төйөн
492,Farbe::N,farba,буяу
493,Kleidung::N,odjeća,кейем
494,Hemd::N,košulja,күлдәк
495,Kragen::N,ovratnik,яға
496,Ärmel::N,rukav,ең
497,Hose::N,hlače,салбар
498,Gürtel::N,pas,ҡайыш
499,Gürtel::N,pojas,ҡайыш
500,Mütze::N,kapa,бүрк
501,Schuh::N,cipela,туфли
502,Stiefel::N,čizma,итек
503,Ring::N,prsten,йөҙөк
504,Ring::N,prsten,балдаҡ
505,Band::N,vrpca,таҫма
506,Kamm::N,češalj,тараҡ
507,Spiegel::N,zrcalo,көзгө
508,Spiegel::N,ogledalo,көзгө
509,Riemen::N,kaiš,ҡайыш
510,Riemen::N,remen,ҡайыш
511,Schnur::N,vrpca,бау
512,Leine::N,uzica,бау
513,Decke::N,ćebe,одеяд
514,Decke::N,pokrivač,одеяд
515,Kissen::N,jastuk,мендәр
516,Tuch::N,rubac,яулыҡ
517,Tuch::N,marama,яулыҡ
518,Handtuch::N,ručnik,таҫтамал
519,Kraft::N,snaga,көс
520,Stärke::N,jakost,көс
521,Gesundheit::N,zdravlje,һаулыҡ
522,Krankheit::N,bolest,сир
523,Krankheit::N,bolest,ауырыу
524,Schmerz::N,bol,һыҙлау
525,Schmerz::N,bol,әрнеү
526,Wunde::N,rana,йәрәхәт
527,Fieber::N,groznica,тапма
528,Fieber::N,groznica,биҙгәк
529,Arznei::N,lijek,дарыу
530,Brücke::N,most,күпер
531,Brücke::N,ćuprija,күпер
532,Brunnen::N,bunar,ҡоҙоҡ
533,Brunnen::N,zdenac,ҡоҙоҡ
534,Weide::N,paša,көтөүлек
535,Weide::N,pašnjak,көтөүлек
536,Pfad::N,staza,һуҡмаҡ
537,Weg::N,put,юл
538,Straße::N,drum,урам
539,Straße::N,cesta,урам
540,Dorf::N,selo,ауыл
541,Stadt::N,grad,ҡала
542,Stadt::N,varoš,ҡала
543,Brief::N,list,хат
544,Brief::N,pismo,хат
545,Buch::N,knjiga,китап
546,Buch::N,knjiga,кенәгә
547,Buchstabe::N,slovo,хәреф
548,Zeitung::N,novine,гәзит
549,Leben::N,život,йәшәү
550,Tod::N,smrt,үлем
551,Grab::N,raka,ҡәбер
552,Kirche::N,crkva,сиркәү
553,Sünde::N,grijeh,гөнаһ
554,Gott::N,bog,алла
555,Gott::N,bog,хоҙай
556,Arbeiter::N,radnik,эшсе
557,Chef::N,šef,башлыҡ
558,Meister::N,majstor,оҫта
559,Arzt::N,liječnik,врач
560,Lehrer::N,učitelj,уҡытыусы
561,Geld::N,novac,аҡса
562,Geschäft::N,posao,эш
563,Geschäft::N,trgovina,эш
564,Laden::N,dućan,магазин
565,Preis::N,cijena,хаҡ
566,Ware::N,roba,тауар
567,Nutzen::N,korist,файҙа
568,Reichtum::N,bogatstvo,байлыҡ
569,Welt::N,svijet,донъя
570,Land::N,zemlja,ил
571,Staat::N,država,дәүләт
572,König::N,kralj,король
573,Macht::N,moć,власть
574,Macht::N,vlast,власть
575,Grenze::N,granica,сик
576,Krieg::N,rat,һуғыш
577,Feind::N,neprijatelj,йылан
578,Gewalt::N,sila,көслөк
579,Gewalt::N,nasilje,көслөк
580,Kampf::N,boj,көрәш
581,Kampf::N,borba,көрәш
582,Bogen[Waffe]::N,luk,йәйә
583,Pfeil::N,strijela,уҡ
584,Gewehr::N,puška,мылтыҡ
585,Fehler::N,pogreška,хата
586,Fehler::N,griješka,хата
587,Lüge::N,laž,ялған
588,Schaden::N,šteta,зыян
589,Schaden::N,šteta,зарар
590,Unglück::N,nesreća,ҡаза
591,Schuld::N,krivnja,ғәйеп
592,Alter::N,dob,йәш
593,Schluss::N,kraj,һуң
594,Schluss::N,kraj,аҙаҡ
595,Schluss::N,konac,һуң
596,Schluss::N,konac,аҙаҡ
597,Zeit::N,doba,мәл
598,Zeit::N,doba,заман
599,Zeit::N,vrijeme,мәл
600,Zeit::N,vrijeme,заман
601,Tag::N,dan,көн
602,Morgen::N,jutro,иртә
603,Morgen::N,jutro,иртәнсәк
604,Mittag::N,podne,төш
605,Abend::N,veče,кис
606,Abend::N,večer,кис
607,Nacht::N,noć,төн
608,Woche::N,sedmica,аҙна
609,Monat::N,mjesec,ай
610,Jahr::N,godina,йыл
611,Frühling::N,proljeće,яҙ
612,Sommer::N,ljeto,йәй
613,Herbst::N,jesen,көз
614,Winter::N,zima,ҡыш
615,Januar::N,januar,ғинуар
616,Januar::N,siječanj,ғинуар
617,Februar::N,veljača,февраль
618,Februar::N,februar,февраль
619,März::N,mart,март
620,März::N,ožujak,март
621,April::N,april,апрель
622,April::N,travanj,апрель
623,Mai::N,maj,май
624,Mai::N,svibanj,май
625,Juni::N,juni,июнь
626,Juni::N,lipanj,июнь
627,Juli::N,juli,июль
628,Juli::N,srpanj,июль
629,August::N,august,август
630,August::N,kolovoz,август
631,September::N,rujan,сентябрь
632,September::N,septembar,сентябрь
633,Oktober::N,oktobar,октябрь
634,Oktober::N,listopad,октябрь
635,November::N,studeni,ноябрь
636,November::N,novembar,ноябрь
637,Dezember::N,prosinac,декабрь
638,Montag::N,ponedjeljak,дүшәмбе
639,Montag::N,ponedjeljnik,дүшәмбе
640,Dienstag::N,utorak,шишәмбе
641,Dienstag::N,utornik,шишәмбе
642,Mittwoch::N,srijeda,шаршамбы
643,Donnerstag::N,četvrtak,кесаҙна
644,Freitag::N,petak,йома
645,Samstag::N,subota,шәмбе
646,Sonntag::N,nedjelja,йәкшәмбе
647,groß::A,velik,ҙур
648,klein::A,mali,бәләкәс
649,klein::A,malen,бәләкәс
650,lang::A,dug,оҙон
651,lang::A,dugačak,оҙон
652,kurz::A,kratak,ҡыҫҡа
653,breit::A,širok,киң
654,schmal::A,uski,тар
655,schmal::A,uzak,тар
656,dicht::A,gust,йыш
657,dicht::A,gust,ҡуйы
658,dick[Gegenstand]::A,debeo,ҡалын
659,dünn::A,tanak,йоҡа
660,dünn::A,tanak,нәҙек
661,fein::A,fin,нескә
662,fein::A,tanak,нескә
663,fest::A,čvrst,ныҡ
664,flach::A,ravan,яҫы
665,flach::A,ravan,ялпаҡ
666,flach::A,plosnat,яҫы
667,flach::A,plosnat,ялпаҡ
668,glatt::A,gladak,шыма
669,hart::A,tvrd,ҡаты
670,weich::A,mek,йомшаҡ
671,weich::A,mekan,йомшаҡ
672,rund::A,okrugao,түңәрәк
673,spitz::A,oštar,осло түбәле
674,spitz::A,šiljast,осло түбәле
675,scharf::A,oštar,үткер
676,scharf::A,bridak,үткер
677,stumpf::A,tup,утмәҫ
678,schwer::A,težak,ауыр
679,schön::A,krasan,матур
680,heiß::A,vruć,эҫе
681,warm::A,topao,йылы
682,kalt::A,hladan,һыуыҡ
683,kühl::A,hladan,һалҡынса
684,frisch::A,svjež,һалҡынса
685,feucht::A,vlažan,еүеш
686,feucht::A,vlažan,дымлы
687,nass::A,mokar,еүеш
688,trocken::A,suh,кипкән
689,voll::A,pun,тулы
690,leer::A,prazan,буш
691,offen::A,otvoren,асыҡ
692,geschlossen::A,zatvoren,ябыҡ
693,sauber::A,čist,таҙа
694,schmutzig::A,nečist,бысраҡ
695,schmutzig::A,blatan,бысраҡ
696,roh::A,sirov,сей
697,reif::A,zreo,өлгөрғән
698,lecker::A,tečan,тәмле
699,lecker::A,ukusan,тәмле
700,süß::A,sladak,тямле
701,süß::A,sladak,тәм-том
702,bitter::A,gorak,әсе
703,sauer::A,kiseo,әсе
704,hell::A,vedar,яҡты
705,hell::A,svijetao,яҡты
706,dunkel::A,taman,ҡараңғы
707,schwarz::A,crn,ҡара
708,weiß::A,bio,аҡ
709,weiß::A,bijel,аҡ
710,rot::A,crven,матур
711,rot::A,crven,һылыу
712,rot::A,crven,сибәр
713,gelb::A,žut,һары
714,blau::A,plav,күк
715,blau::A,modar,күк
716,grün::A,zelen,йәшел
717,grau::A,siv,буҙ
718,bunt::A,šaren,сыбар
719,bunt::A,šaren,ала-ҡола
720,billig::A,jeftin,арзан
721,teuer::A,skup,ҡыйбатлы
722,wertvoll::A,vrijedan,ҡиммәтле
723,wertvoll::A,dragocjen,ҡиммәтле
724,blind::A,slijep,һуҡыр
725,taub::A,gluh,һаңғырау
726,kräftig::A,snažan,көслө
727,kräftig::A,snažan,ҡеүәтле
728,stark::A,jak,көслө
729,stark::A,jak,ҡеүәтле
730,stark::A,snažan,көслө
731,stark::A,snažan,ҡеүәтле
732,schwach::A,slab,көсһөҙ
733,fett::A,pretio,һимеҙ
734,schlank::A,vitak,зифа
735,hübsch::A,zgodan,матур
736,böse::A,zao,асыулы
737,böse::A,opak,асыулы
738,dumm::A,glup,иҫәр
739,faul::A,lijen,иренсәк
740,fleißig::A,radin,тырыш
741,fleißig::A,marljiv,тырыш
742,geizig::A,škrt,һаран
743,klug::A,razborit,аҡыллы
744,geschickt::A,vješt,оҫта
745,lieb::A,drag,яғымлы
746,lustig::A,veseo,күңелле
747,sanft::A,blag,йыуаш
748,hungrig::A,gladan,ас
749,krank::A,bolestan,сирле
750,krank::A,bolestan,ауырыу
751,nackt::A,nag,яланғас
752,traurig::A,tužan,яманһыу
753,traurig::A,žalostan,яманһыу
754,lebendig::A,živ,тере
755,lebendig::A,živ,йәнле
756,gut::A,dobar,яҡшы
757,schlecht::A,loš,хөрт
758,schlecht::A,loš,алама
759,schlecht::A,rđav,хөрт
760,schlecht::A,rđav,алама
761,richtig::A,tačan,дөрөҫ
762,richtig::A,ispravan,дөрөҫ
763,schlimm::A,zao,хөрт
764,schlimm::A,zao,алама
765,schlimm::A,zločest,хөрт
766,schlimm::A,zločest,алама
767,wahr::A,istinit,дөрөҫ
768,alt::A,star,иҫке
769,alt::A,star,боронғо
770,neu::A,nov,яңы
771,ehemalig::A,bivši,элекке
772,alt[Lebewesen]::A,star,ҡарт
773,jung::A,mlad,йәш
774,arm::A,ubog,фәҡир
775,arm::A,siromašan,фәҡир
776,reich::A,bogat,бай
777,bekannt::A,poznat,таныш
778,berühmt::A,čuven,атаҡлы
779,berühmt::A,čuven,данлыҡлы
780,berühmt::A,slavan,атаҡлы
781,berühmt::A,slavan,данлыҡлы
