,Concept_ID,hi,mdf
695,Spiegel::N,आईना,ванома
696,Spiegel::N,दर्पण,ванома
697,Riemen::N,तसमा,шнань каркс
698,Riemen::N,पट्टा,шнань каркс
699,Schnur::N,डोरी,пикс
700,Schnur::N,डोरी,карькскя
701,Schnur::N,सुतली,пикс
702,Schnur::N,सुतली,карькскя
703,Leine::N,रस्सी,вядьме
704,Decke::N,रज़ाई,вельхкс
705,Kissen::N,तकिया,тоду
706,Kissen::N,गाद्दा,тоду
707,Tuch::N,रूमाल,руця́
708,Tuch::N,वस्त्र,руця́
709,Handtuch::N,अँगोछा,на́рдама
710,Kraft::N,ज़ोर,вий
711,Kraft::N,शक्ति,вий
712,Stärke::N,बल,вииши
713,Stärke::N,ताक़त,вииши
714,Gesundheit::N,स्वास्थ्य,шумбраши́
715,Gesundheit::N,तंदुरुस्ती,шумбраши́
716,Krankheit::N,रोग,урма́
717,Krankheit::N,रोग,сярядема
718,Krankheit::N,बीमारी,урма́
719,Krankheit::N,बीमारी,сярядема
720,Schmerz::N,दर्द,маряма
721,Schmerz::N,पीड़ा,маряма
722,Wunde::N,घाव,керф
723,Wunde::N,ज़ख़्म,керф
724,Fieber::N,ज्वर,маштыкс
725,Fieber::N,बुख़ार,маштыкс
726,Arznei::N,दवा,надо́бья
727,Arznei::N,दवा,пъчка́фтома
728,Arznei::N,औषाधि,надо́бья
729,Arznei::N,औषाधि,пъчка́фтома
730,Brücke::N,पुल,седь
731,Brücke::N,सेतु,седь
732,Brunnen::N,कुआँ,эши
733,Weide::N,चरागाह,ванома васта
734,Pfad::N,पथ,ян
735,Pfad::N,पथ,киня́
736,Pfad::N,पगडंडी,ян
737,Pfad::N,पगडंडी,киня́
738,Weg::N,मार्ग,ки
739,Straße::N,राह,ки
740,Straße::N,रास्ता,ки
741,Dorf::N,गाँव,веле
742,Dorf::N,ग्राम,веле
743,Stadt::N,शहर,ош
744,Brief::N,ख़त,сёрма
745,Brief::N,पत्र,сёрма
746,Brief::N,चिट्ठी,сёрма
747,Buch::N,किताब,книга
748,Buch::N,पुस्तक,книга
749,Buchstabe::N,अक्षर,бу́ква
750,Zeitung::N,अख़बार,газе́та
751,Zeitung::N,समाचार-पत्र,газе́та
752,Leben::N,जीवन,эряф
753,Leben::N,जीवन,эряма
754,Leben::N,ज़िंदगी,эряф
755,Leben::N,ज़िंदगी,эряма
756,Tod::N,मौत,кулома́
757,Tod::N,मृत्यु,кулома́
758,Grab::N,क़ब्र,калма
759,Kirche::N,चर्च,це́рькав
760,Kirche::N,गिरजा,це́рькав
761,Sünde::N,पाप,пежеть
