,Concept_ID,udm,mrj
394,Tür::N,ӧс,амаса
395,Tor::N,ӟезьы,хапка
396,Zaun::N,забор,забор
397,Dach::N,липет,левӓш
398,Leiter::N,падӟа,ташкалтыш
399,Besen::N,ӵужон,сало
400,Besen::N,ӵужон,салко
401,Besen::N,исьнер,сало
402,Besen::N,исьнер,салко
403,Spaten::N,лопатка,кольмы
404,Schaufel::N,ютырон,лоток
405,Gabel::N,тэчы,ви́лка
406,Gabel::N,вилка,ви́лка
407,Löffel::N,пуньы,савала
408,Messer::N,пурт,кӹзӹ
409,Nagel::N,кортӵог,пыда
410,Netz::N,сеть,вӓпш
411,Haken::N,курик,крӱк
412,Haken::N,курик,кагак
413,Griff::N,ныд,кычем
414,Schloss::N,тунгон,замок
415,Schloss::N,тунгон,сыравач
416,Bild::N,суред,картин
417,Figur::N,фигура,кӓн
418,Puppe::N,мунё,поханя
419,Beutel::N,пуйы,мешӓк
420,Bündel::N,керттэт,топ
421,Bündel::N,керттэт,пидӹш
422,Bündel::N,керттэт,кӹлдӹш
423,Tasche::N,пуйы,сумкы
424,Tasche::N,сумка,сумкы
425,Eimer::N,ведра,ведӹрӓ
426,Deckel::N,ӵоксэт,комдыш
427,Geschirr::N,тусьты-пуньы,ӓтӹ
428,Sack::N,пуйы,мешӓк
429,Tasse::N,ӵаша,цӓшкӓ
430,Topf::N,миска,ми́ска
431,Kessel::N,пурты,пад
432,Essen::N,сиськон,качкыш
433,Essen::N,сиськон,качкыш-йӱш
434,Nahrung::N,сион,качкыш
435,Nahrung::N,сион,качкыш-йӱш
436,Speise::N,сиён,няня
437,Fleisch::N,сӥль,пай
438,Getreide::N,ю тысь,киндӹ
439,Brei::N,ӝук,шӹрӓш
440,Brot::N,нянь,сыкыр
441,Scheibe::N,шорем,ламыт
442,Scheibe::N,шорем,лаштык
443,Fett::N,кӧй,кая
444,Butter::N,вӧй,ӱ
445,Öl::N,вӧй,ӱ
446,Salz::N,сылал,санзал
447,Suppe::N,шыд,лем
448,Honig::N,чечы,мӱ
449,Milch::N,йӧл,шӹшер
450,Tee::N,чай,чӓй
451,Leder::N,сурон,шарга
452,Leder::N,сурон,кавашты
453,Wolle::N,гон,миж
454,Wolle::N,ыжгон,миж
455,Stoff::N,куэм,матер
456,Stoff::N,куэм,матери
457,Nadel::N,вень,им
458,Faden::N,сӥньыс,шӹртӹ
459,Knopf::N,бирды,полдыш
460,Knoten::N,герд,пӱкшем
461,Farbe::N,буёл,чиӓ
462,Farbe::N,буёл,крӓскӓ
463,Kleidung::N,дӥсь,выргем
464,Hemd::N,дэрем,тыгыр
465,Kragen::N,сирес,шӱ
466,Ärmel::N,саес,шокш
467,Hose::N,брюки,ялаш
468,Hose::N,штань,ялаш
469,Gürtel::N,кускерттон,ӹштӹ
470,Mütze::N,ызьы,упш
471,Schuh::N,ботинка,ту́фльы
472,Stiefel::N,сапег,кем
473,Ring::N,зундэс,шӓргӓш
474,Band::N,лента,лемтӓ
475,Kamm::N,сын,шерге
476,Spiegel::N,синучкон,тӹгӹр
477,Riemen::N,е,прӓжӓ
478,Schnur::N,гозы,кӓндӹра
479,Leine::N,думет,керем
480,Decke::N,шобрет,одеял
481,Kissen::N,миндэр,кӹпцӹк
482,Tuch::N,кышет,савыц
483,Handtuch::N,ӵушкон,шӹргӹсавыц
484,Handtuch::N,ӵушкон,шӹргӹмсавыц
485,Kraft::N,кать,ви
486,Kraft::N,ӟигар,ви
487,Stärke::N,юнлык,ви
488,Gesundheit::N,тазалык,шу
489,Gesundheit::N,тазалык,шулык
490,Krankheit::N,висён,мыж
491,Schmerz::N,висён,карштыш
492,Wunde::N,яра,шушыр
493,Fieber::N,кезег,ӱштӹмыж
494,Arznei::N,эмъюм,лекӓрцӹ
495,Brücke::N,выж,кӹвер
496,Brunnen::N,колдэч,вӹдсӹнзӓ
497,Weide::N,возь,ныр
498,Pfad::N,сюрес,ялгорны
499,Weg::N,сюрес,корны
500,Straße::N,сюрес,корны
501,Dorf::N,гурт,сола
502,Stadt::N,кар,города
503,Stadt::N,город,города
504,Brief::N,гожтэт,сирмӓш
505,Buch::N,книга,книгӓ
506,Buchstabe::N,буква,буква́
507,Zeitung::N,газет,газет
508,Zeitung::N,газет,кайзет
509,Leben::N,улон,житя
510,Tod::N,кулон,смöрт
511,Grab::N,шайгу,шӹгер
512,Grab::N,шайгу,мыгилӓ
513,Grab::N,шайгу,шӹгерлӓ
514,Kirche::N,черк,церкӹ
515,Sünde::N,сьӧлык,сулык
516,Gott::N,ӥнмар,йымы
517,Arbeiter::N,рабочий,пӓшӓзӹ
518,Chef::N,начальник,вуй
519,Meister::N,кибашлы,мастар
520,Arzt::N,врач,доктор
521,Lehrer::N,дышетӥсь,тымдышы
522,Geld::N,уксё,окса
523,Geld::N,коньдон,окса
524,Geschäft::N,уж,торге́йӹмӓш
525,Laden::N,магазин,лапка
526,Laden::N,магазин,магазин
527,Preis::N,дун,ӓк
528,Ware::N,вуз,товар
529,Nutzen::N,пайда,пайда
530,Reichtum::N,узырлык,перке
531,Welt::N,дунне,сӓндӓлӹк
532,Welt::N,дунне,свет
533,Land::N,шаер,сӓндӓлӹк
534,Staat::N,кун,кугижӓншӹ
535,König::N,эксэй,король
536,Macht::N,власть,власть
537,Grenze::N,кунгож,пӹсмӓн
538,Krieg::N,ож,вырсы
539,Feind::N,тушмон,тышман
540,Gewalt::N,эриктэман,ви
541,Kampf::N,нюръяськон,кредӓлмӓш
542,Bogen[Waffe]::N,пукыӵ,янгеж
543,Pfeil::N,пукыӵ вень,пикш
544,Gewehr::N,пыӵал,пичӓл
545,Fehler::N,янгыш,самынь
546,Lüge::N,пӧян,шая
547,Lüge::N,алдан,шая
548,Lüge::N,ӧрекчан,шая
549,Schaden::N,изъян,вре́дӓ
550,Unglück::N,куректон,пёда
551,Unglück::N,куректон,тымаша
