,Concept_ID,ca,eu
250,Gold::N,or,urregorri
251,Silber::N,plata,zilar
252,Silber::N,plata,urrezuri
253,Kohle::N,carbó,ikatz
254,Glas::N,vidre,beira
255,Lehm::N,fang,buztin
256,Lehm::N,argila,buztin
257,Sand::N,arena,harea
258,Sand::N,arena,hondar
259,Mensch::N,humà,gizaki
260,Mensch::N,persona,gizaki
261,Mann::N,home,gizon
262,Frau::N,dona,andere
263,Frau::N,dona,emakume
264,Kind::N,nen,haur
265,Junge::N,noi,mutil
266,Mädchen::N,noia,neska
267,Familie::N,família,sendi
268,Familie::N,família,familia
269,Großvater::N,avi,aitona
270,Großvater::N,avi,aitatxi
271,Großmutter::N,àvia,amona
272,Großmutter::N,àvia,amatxi
273,Eltern::N,pares,gurasoak
274,Vater::N,pare,aita
275,Mutter::N,mare,ama
276,Sohn::N,fill,seme
277,Tochter::N,filla,alaba
278,Bruder::N,germà,neba
279,Bruder::N,germà,anaia
280,Schwester::N,germana,ahizpa
281,Onkel::N,oncle,osaba
282,Tante::N,tia,izeba
283,Ehemann::N,espòs,senar
284,Ehefrau::N,muller,emazte
285,Freude::N,goig,poz
286,Freude::N,goig,pozkari
287,Freude::N,alegria,poz
288,Freude::N,alegria,pozkari
289,Gelächter::N,riallada,barre
290,Gelächter::N,riallada,karkara
291,Glück::N,felicitat,zori
292,Kummer::N,pena,xangrin
293,Kummer::N,pena,atsekabe
294,Wunsch::N,desig,nahi
295,Wunsch::N,desig,nahikunde
296,Lust::N,ganes,gogo
297,Geist::N,ment,gogo
298,Geist::N,esperit,gogo
299,Gedanke::N,pensament,gogoeta
300,Gedächtnis::N,memòria,oroimen
301,Gedächtnis::N,memòria,gogoramen
302,Verstand::N,raó,adimen
303,Verstand::N,raó,ulermen
304,Verstand::N,seny,adimen
305,Verstand::N,seny,ulermen
306,Sinn::N,solta,zentzu
307,Sinn::N,sentit,zentzu
308,Grund::N,raó,zergati
309,Grund::N,causa,zergati
310,Wahrheit::N,veritāt,egia
311,Gespräch::N,conversa,hizketa
312,Gespräch::N,conversa,elkarrizketa
313,Märchen::N,conte,ipuin
314,Erzählung::N,narració,edesti
315,Erzählung::N,narració,kontakizun
316,Nachricht::N,missatge,albiste
317,Neuigkeit::N,novetat,berri
318,Name::N,nom,izen
319,Rätsel::N,endevinalla,asmakizun
320,Rede::N,discurs,hitzaldi
321,Rede::N,discurs,mintzaldi
322,Sprache::N,llēngua,hizkuntza
323,Stimme::N,veu,ahots
324,Wort::N,mot,hitz
325,Wort::N,paraula,hitz
326,Zeichen::N,signe,agerbide
327,Zeichen::N,signe,agergarri
328,Zeichen::N,senyal,agerbide
329,Zeichen::N,senyal,agergarri
330,Ruf::N,crida,dei
331,Lärm::N,sorōll,zarata
332,Lärm::N,sorōll,harrabots
333,Laut::N,so,hots
334,Ton::N,to,tonu
335,Ton::N,to,soinu
336,Lied::N,cançó,abesti
337,Ruhe::N,calma,nasaitasun
338,Ruhe::N,silenci,nasaitasun
339,Leute::N,gent,jende
340,Volk::N,poble,herri
341,Volk::N,poble,populu
342,Arbeit::N,labor,lan
343,Arbeit::N,treball,lan
344,Gast::N,hoste,arrotz
345,Gast::N,hoste,apopilo
346,Geschenk::N,regal,opari
347,Geschenk::N,obsequi,opari
348,Spiel::N,joc,jolas
349,Gesellschaft::N,companyia,gizarte
350,Hilfe::N,ajut,helpide
351,Hilfe::N,ajut,laguntza
352,Freund::N,amīc,lagun
353,Kamerad::N,company,adiskide
354,Kamerad::N,company,lagunkide
355,Kamerad::N,camarada,adiskide
356,Kamerad::N,camarada,lagunkide
357,Angelegenheit::N,afer,afera
358,Angelegenheit::N,assumpte,afera
359,Anzahl::N,nombre,kopuru
360,Anzahl::N,quantitat,kopuru
361,Art::N,tipus,mota
362,Art::N,classe,mota
363,Stück::N,peça,puska
364,Teil::N,part,atal
365,Hälfte::N,meitat,erdi
366,Kreis::N,cercle,biribilki
367,Kreuz::N,creu,gurutze
368,Linie::N,línia,linea
369,Strich::N,traç,marra
370,Strich::N,ratlla,marra
371,Abstand::N,distància,tarte
372,Entfernung::N,distància,urrunera
373,Gegend::N,regió,alderdi
374,Gegend::N,regió,eskualde
375,Gegend::N,contrada,alderdi
376,Gegend::N,contrada,eskualde
377,Platz::N,cabuda,leku
378,Ort::N,lloc,toki
379,Seite::N,banda,albo
380,Seite::N,costāt,albo
381,Mitte::N,mig,erdi
382,Mitte::N,centre,erdi
383,Gegenstand::N,objecte,gauzaki
384,Sache::N,cosa,gauza
385,Rand::N,vora,ertz
386,Rand::N,marge,ertz
387,Kante::N,caire,ertz
388,Kante::N,cantell,ertz
389,Ecke::N,cantonada,kantoi
390,Spitze::N,punta,punta
391,Ende::N,cap,buru
392,Ende::N,cap,mutur
393,Loch::N,forāt,zulo
394,Winkel::N,racó,zoko
395,Winkel::N,racó,bazter
396,Muster::N,dibuix,eredu
397,Muster::N,dibuix,marrazki
398,Muster::N,disseny,eredu
399,Muster::N,disseny,marrazki
400,Größe::N,grandària,kaizu
401,Größe::N,grandària,tamaina
402,Länge::N,longitud,luzera
403,Höhe::N,altura,goiera
404,Höhe::N,altura,garaiera
405,Höhe::N,altitud,goiera
406,Höhe::N,altitud,garaiera
407,Gewicht::N,pes,hazta
408,Menge::N,quantitat,kopuru
409,Haufen::N,pila,pila
410,Haufen::N,pila,mendoi
411,Reihe::N,fila,ilara
412,Reihe::N,fila,errenkada
413,Boot::N,bot,potin
414,Boot::N,bot,txalupa
415,Boot::N,barca,potin
416,Boot::N,barca,txalupa
417,Ruder::N,rem,arraun
418,Schlitten::N,trineu,lera
419,Schlitten::N,trineu,narra
420,Ski::N,esquí,eski
421,Lagerfeuer::N,foc de campament,su
422,Last::N,càrrega,zama
423,Last::N,càrrega,karga
424,Gang::N,marxa,ibilera
425,Schritt::N,pas,pauso
426,Schritt::N,pas,urrats
427,Norden::N,nord,ipar
428,Norden::N,nord,iparralde
429,Süden::N,sud,hego
430,Süden::N,sud,hegoalde
431,Westen::N,oest,sartalde
432,Westen::N,oest,mendebalde
433,Westen::N,occident,sartalde
434,Westen::N,occident,mendebalde
435,Osten::N,est,ekialde
436,Osten::N,est,sortalde
437,Osten::N,orient,ekialde
438,Osten::N,orient,sortalde
439,Holz::N,fusta,zur
440,Brett::N,taula,ohol
441,Platte::N,placa,lauza
442,Stütze::N,suport,irozgarri
443,Stütze::N,suport,bermagailu
444,Stange::N,vara,haga
445,Stock::N,pal,makila
446,Stab::N,bastó,makila
447,Rohr::N,tub,hodi
448,Haus::N,casa,etxe
449,Heim::N,llar,etxe
450,Heim::N,llar,etxaleku
451,Ofen::N,estufa,berogailu
452,Fußboden::N,terra,zoru
453,Tisch::N,taula,mahai
454,Stuhl::N,cadira,aulki
455,Wiege::N,bressol,kuma
456,Wiege::N,bressol,sehaska
457,Bett::N,llit,ohe
458,Bett::N,llit,ohatze
459,Regal::N,prestatgeria,apalategi
460,Kiste::N,caixa,kutxa
461,Fenster::N,finestra,leiho
462,Tür::N,porta,ate
463,Tor::N,portal,atari
464,Zaun::N,tanca,hesi
465,Dach::N,teulada,teilatu
466,Leiter::N,escala,zurubi
467,Leiter::N,escala de mà,zurubi
468,Besen::N,escombra,erratz
469,Spaten::N,pala,burdinpala
470,Schaufel::N,pala,pala
471,Gabel::N,forquilla,sardexka
472,Löffel::N,cullera,koilara
473,Messer::N,coltell,aizto
474,Nagel::N,clau,iltze
475,Netz::N,filat,sare
476,Haken::N,ganxo,mako
477,Griff::N,puny,eskutoki
478,Griff::N,mànec,eskutoki
479,Schloss::N,pany,sarraila
480,Bild::N,imatge,irudi
481,Figur::N,figura,figura
482,Puppe::N,nina,panpina
483,Puppe::N,nina,andrakila
484,Beutel::N,bossa,zorro
485,Bündel::N,feix,azao
486,Bündel::N,feix,espal
487,Bündel::N,paquet,azao
488,Bündel::N,paquet,espal
489,Tasche::N,bossa,poltsa
490,Eimer::N,galleda,treska
491,Deckel::N,tapa,tapa
492,Deckel::N,tapa,estalki
493,Deckel::N,tapadora,tapa
494,Deckel::N,tapadora,estalki
495,Geschirr::N,vaixella,baxera
496,Geschirr::N,vaixella,ontziteria
497,Sack::N,sac,zaku
498,Sack::N,saca,zaku
499,Tasse::N,tassa,kikara
500,Topf::N,pot,ontzi
501,Topf::N,pot,lapiko
502,Topf::N,olla,ontzi
503,Topf::N,olla,lapiko
504,Kessel::N,caldera,pazia
505,Essen::N,àpat,janaldi
506,Essen::N,menjada,janaldi
507,Nahrung::N,aliment,jan
508,Speise::N,plat,jaki
509,Fleisch::N,carn,okela
510,Fleisch::N,carn,haragi
511,Getreide::N,cereals,labore
512,Brei::N,puré,ahi
513,Brei::N,puré,pure
514,Brot::N,pa,ogi
515,Scheibe::N,tall,xerra
516,Scheibe::N,tall,pirripita
517,Scheibe::N,llesca,xerra
518,Scheibe::N,llesca,pirripita
519,Fett::N,greix,urin
520,Fett::N,greix,koipe
521,Butter::N,mantega,gurin
522,Öl::N,oli,olio
523,Salz::N,sal,gatz
524,Suppe::N,sopa,zopa
525,Suppe::N,sopa,salda
526,Honig::N,mel,ezti
527,Milch::N,llet,esne
528,Tee::N,te,te
529,Leder::N,cuir,larru
530,Wolle::N,llana,artile
531,Stoff::N,tela,ehun
532,Nadel::N,agulla,orratz
533,Nadel::N,agulla,jostorratz
534,Faden::N,fil,hari
535,Knopf::N,botó,botoi
536,Knoten::N,nus,korapilo
537,Farbe::N,pintura,pintura
538,Kleidung::N,roba,arropa
539,Kleidung::N,roba,jantziak
540,Kleidung::N,vestits,arropa
541,Kleidung::N,vestits,jantziak
542,Hemd::N,camisa,atorra
543,Hemd::N,camisa,alkandora
544,Kragen::N,coll,idun
545,Ärmel::N,màniga,mahuka
546,Hose::N,pantalōns,prakak
547,Hose::N,pantalōns,galtzak
548,Gürtel::N,cinturó,gerriko
549,Mütze::N,gorra,txano
550,Mütze::N,gorra,txapel
551,Schuh::N,sabata,oski
552,Schuh::N,sabata,oinetako
553,Stiefel::N,bota,bota
554,Ring::N,anell,uztai
555,Band::N,veta,zinta
556,Band::N,veta,xingola
557,Band::N,cinta,zinta
558,Band::N,cinta,xingola
559,Kamm::N,pinta,orrazi
560,Spiegel::N,mirāll,mirail
561,Riemen::N,corretja,uhal
562,Schnur::N,corda,lokailu
563,Leine::N,corretja,lotura
564,Decke::N,manta,burusi
565,Decke::N,flassada,burusi
566,Kissen::N,coixí,kuxin
567,Tuch::N,mocador,zapi
568,Tuch::N,mocador,oihal
569,Handtuch::N,tovallola,eskuzapi
570,Handtuch::N,tovallola,eskuoihal
571,Kraft::N,força,indar
572,Stärke::N,vigor,indar
573,Gesundheit::N,salut,osasun
574,Krankheit::N,malaltia,eritasun
575,Krankheit::N,malaltia,gaixotasun
576,Schmerz::N,dolor,min
577,Wunde::N,ferida,zauri
578,Fieber::N,febre,sukar
579,Arznei::N,medicament,osagai
580,Arznei::N,medicament,sendagai
581,Brücke::N,pont,zubi
582,Brunnen::N,pou,putzu
583,Weide::N,pastura,alha
584,Weide::N,pastura,bazkaleku
585,Pfad::N,senda,zidor
586,Pfad::N,senda,bidexka
587,Pfad::N,sender,zidor
588,Pfad::N,sender,bidexka
589,Weg::N,camí,bide
590,Straße::N,carretera,errepide
591,Dorf::N,poble,herri
592,Stadt::N,ciutāt,hiri
593,Brief::N,carta,gutun
594,Brief::N,carta,eskutitz
595,Buch::N,llibre,liburu
596,Buchstabe::N,lletra,hizki
597,Zeitung::N,diāri,egunkari
598,Leben::N,vida,bizi
599,Leben::N,vida,bizitza
600,Tod::N,mort,herio
601,Tod::N,mort,heriotza
602,Grab::N,tomba,hobi
603,Grab::N,tomba,hilobi
604,Kirche::N,església,eliza
605,Sünde::N,pecat,hoben
606,Sünde::N,pecat,bekatu
607,Gott::N,déu,jainko
608,Arbeiter::N,obrer,langile
609,Arbeiter::N,obrer,behargin
610,Chef::N,cap,nagusi
611,Meister::N,mestre,maisu
612,Arzt::N,metge,osagile
613,Arzt::N,metge,sendagile
614,Lehrer::N,mestre,irakasle
615,Geld::N,dinērs,diru
616,Geschäft::N,negoci,negozio
617,Laden::N,tenda,denda
618,Laden::N,tenda,saltegi
619,Laden::N,botiga,denda
620,Laden::N,botiga,saltegi
621,Preis::N,preu,prezio
622,Preis::N,preu,salneurri
623,Ware::N,mercaderia,salgai
624,Nutzen::N,profit,onura
625,Nutzen::N,profit,probetxu
626,Reichtum::N,riquesa,aberastasun
627,Welt::N,món,ludi
628,Welt::N,món,mundu
629,Land::N,país,herrialde
630,Staat::N,estat,estatu
631,König::N,rei,errege
632,Macht::N,poder,botere
633,Macht::N,potència,botere
634,Grenze::N,frontera,muga
635,Krieg::N,guerra,guda
636,Feind::N,enemic,etsai
637,Feind::N,enemic,arerio
638,Gewalt::N,violència,bortxa
639,Gewalt::N,violència,bortizkeria
640,Kampf::N,lluita,gudu
641,Kampf::N,lluita,auska
642,Bogen[Waffe]::N,arc,arku
643,Pfeil::N,fletxa,gezi
644,Gewehr::N,fusell,fusil
645,Gewehr::N,escopeta,fusil
646,Fehler::N,falta,huts
647,Fehler::N,falta,hutsegin
648,Lüge::N,mentida,gezur
649,Schaden::N,dany,kalte
650,Unglück::N,desgràcia,zoritxar
651,Unglück::N,desgràcia,zorigaitz
652,Schuld::N,culpa,erru
653,Alter::N,edat,adin
654,Schluss::N,fi,bukaera
655,Schluss::N,final,bukaera
656,Zeit::N,temps,aldi
657,Zeit::N,temps,denbora
658,Tag::N,dia,egun
659,Morgen::N,matí,goiz
660,Mittag::N,migdia,eguerdi
661,Abend::N,vespre,arrats
662,Nacht::N,nit,gau
663,Woche::N,setmana,aste
664,Monat::N,mes,hil
665,Jahr::N,any,urte
666,Frühling::N,primavera,udalehen
667,Sommer::N,estīu,uda
668,Herbst::N,tardor,udazken
669,Herbst::N,tardor,neguantz
670,Winter::N,hivērn,negu
671,Januar::N,gener,urtarril
672,Februar::N,febrer,otsail
673,März::N,març,martxo
674,April::N,abril,apiril
675,Mai::N,maig,maiatz
676,Juni::N,juny,ekain
677,Juli::N,juliol,uztail
678,August::N,agost,abuztu
679,September::N,setembre,irail
680,Oktober::N,octubre,urri
681,November::N,novembre,azaro
682,Dezember::N,desembre,abendu
683,Montag::N,dilluns,astelehen
684,Dienstag::N,dimarts,astearte
685,Mittwoch::N,dimecres,asteazken
686,Donnerstag::N,dijous,ostegun
687,Freitag::N,divendres,ostiral
688,Samstag::N,dissabte,larunbat
689,Sonntag::N,diumenge,igande
690,groß::A,gros,handi
691,klein::A,petīt,txiki
692,lang::A,llarg,luze
693,kurz::A,curt,labur
694,breit::A,ample,zabal
695,schmal::A,estret,mehar
696,dicht::A,dens,sarri
697,dicht::A,dens,trinko
698,dick[Gegenstand]::A,gruixūt,lodi
699,dünn::A,prim,mehe
700,fein::A,fi,fin
701,fest::A,ferm,tinko
702,fest::A,sòlid,tinko
703,flach::A,pla,lau
704,flach::A,pla,ordoki
705,glatt::A,llis,leun
706,hart::A,dur,gogor
707,weich::A,tou,bigun
708,weich::A,tou,beratz
709,rund::A,rodó,biribil
710,spitz::A,punxegut,puntadun
711,scharf::A,agut,zorrotz
712,stumpf::A,rom,kamuts
713,stumpf::A,esmussat,kamuts
714,schwer::A,pesāt,astun
715,schwer::A,pesāt,pisutsu
716,schön::A,bonīc,eder
717,heiß::A,calēnt,bero
718,heiß::A,calēnt,oso bero
719,warm::A,càlid,bero
720,kalt::A,fred,hotz
721,kühl::A,fresc,hotzil
722,frisch::A,fresc,fresko
723,frisch::A,fresc,hozkirri
724,feucht::A,humit,heze
725,nass::A,mullat,busti
726,trocken::A,sec,siku
727,trocken::A,sec,lehor
728,voll::A,ple,bete
729,leer::A,buit,huts
730,offen::A,obert,ireki
731,geschlossen::A,tancat,itxita
732,sauber::A,net,xahu
733,sauber::A,net,garbi
734,schmutzig::A,brut,lohi
735,schmutzig::A,brut,zikin
736,roh::A,cru,gordin
737,reif::A,madur,umo
738,reif::A,madur,heldu
739,lecker::A,deliciós,goxo
740,süß::A,dolç,goxo
741,bitter::A,amarg,karmin
742,bitter::A,amarg,garratz
743,sauer::A,agre,mingots
744,hell::A,clar,argi
745,dunkel::A,fosc,ilun
746,schwarz::A,negre,beltz
747,weiß::A,blanc,zuri
748,rot::A,vermēll,gorri
749,gelb::A,groc,hori
750,blau::A,blau,urdin
751,grün::A,verd,berde
752,grün::A,verd,musker
753,grau::A,gris,urdin
754,grau::A,gris,urdinabar
755,bunt::A,multicolor,koloretsu
756,billig::A,barat,merke
757,teuer::A,car,garesti
758,wertvoll::A,preciós,baliotsu
759,blind::A,cec,itsu
760,taub::A,sord,gor
761,kräftig::A,fort,kementsu
762,kräftig::A,vigorós,kementsu
763,stark::A,fort,bizkor
764,stark::A,fort,indartsu
765,schwach::A,feble,ahul
766,schwach::A,feble,indargabe
767,fett::A,gras,gizen
768,schlank::A,esvelt,lerden
769,hübsch::A,maco,polit
770,böse::A,dolent,tzar
771,böse::A,dolent,gaizto
772,dumm::A,ximple,lelo
773,dumm::A,ximple,pello
774,dumm::A,estúpid,lelo
775,dumm::A,estúpid,pello
776,faul::A,gandūl,nagi
777,faul::A,gandūl,alfer
778,faul::A,mandrós,nagi
779,faul::A,mandrós,alfer
780,fleißig::A,diligēnt,maratz
781,fleißig::A,diligēnt,lanzale
782,geizig::A,avar,zeken
783,geizig::A,avar,zikoitz
784,klug::A,intel·ligent,zuhur
785,geschickt::A,hàbil,trebe
786,geschickt::A,hàbil,antzetsu
787,lieb::A,amat,maite
788,lieb::A,amat,laztan
789,lieb::A,estimat,maite
790,lieb::A,estimat,laztan
791,lustig::A,alegre,alaitsu
792,sanft::A,suau,eme
793,sanft::A,suau,ezti
794,hungrig::A,afamat,gose
795,krank::A,malālt,eri
796,krank::A,malālt,gaixo
797,nackt::A,nu,biluzi
798,traurig::A,trist,itun
799,traurig::A,trist,betilun
800,lebendig::A,viu,bizirik
801,gut::A,bo,on
802,schlecht::A,dolēnt,txar
803,richtig::A,just,zuzen
804,richtig::A,correcte,zuzen
805,schlimm::A,greu,larri
806,wahr::A,vertader,egiazko
807,wahr::A,veritable,egiazko
808,alt::A,vell,zahar
809,neu::A,nou,berri
810,ehemalig::A,antic,lehengo
811,alt[Lebewesen]::A,vell,adindun
812,jung::A,jove,gazte
813,arm::A,pobre,txiro
814,arm::A,pobre,behartsu
815,reich::A,ric,dirudun
816,bekannt::A,conegut,ezagun
817,berühmt::A,famós,entzun
818,berühmt::A,famós,ospetsu
819,fremd::A,estrany,arrotz
820,verschieden::A,diferent,ezberdin
821,verschieden::A,diferent,desberdin
822,nah::A,pròxim,hurre
823,nah::A,pròxim,hurbil
824,fern::A,llunyà,urrun
825,fern::A,distant,urrun
826,linker::A,esquerre,ezker
827,rechter::A,dret,eskuin
828,anderer::A,altre,beste
829,erster::A,primer,lehen
830,erster::A,primer,aurren
831,zweiter::A,segon,bigarren
832,dritter::A,tercer,hirugarren
833,letzter::A,últim,azken
834,letzter::A,últim,hondar
835,allein::ADV,sol,bakarrik
836,auf einmal::ADV,d'una vegada,batera
837,zusammen::ADV,junt,elkarrekin
838,lange::ADV,molt de temps,luzaro
839,plötzlich::ADV,de cop,bat-batean
840,plötzlich::ADV,de sobte,bat-batean
841,sofort::ADV,de seguida,berehala
842,später::ADV,més tard,gero
843,jetzt::ADV,ara,orain
844,heute::ADV,avūi,gaur
845,morgen::ADV,demà,bihar
846,bald::ADV,aviāt,aurki
847,bald::ADV,aviāt,laster
848,dann::ADV,després,ondoren
849,gestern::ADV,ahir,atzo
