,Concept_ID,ab,fr
101,Sumpf::N,аӡмах,marais
102,Sumpf::N,аӡмах,marécage
103,Wiese::N,адəы,pré
104,Wald::N,абна,bois
105,Wald::N,абна,forêt
106,Hügel::N,ахəы,coteau
107,Hügel::N,ахəы,colline
108,Anhöhe::N,аҳаракыра,éminence
109,Anhöhe::N,аҳаракыра,élévation
110,Berg::N,ашьха,mont
111,Berg::N,ашьха,montagne
112,Gipfel::N,ацəқəа,cime
113,Gipfel::N,ацəқəа,sommet
114,Höhle::N,аҳаҧы,caverne
115,Abhang::N,анаара,pente
116,Abhang::N,анаара,versant
117,Quelle::N,аҵҵырҭа,source
118,Quelle::N,аҵҵырҭа,fontaine
119,Bach::N,акəараҷҷа,ruisseau
120,Fluss::N,аӡиас,fleuve
121,Fluss::N,аӡиас,rivière
122,Ufer::N,ахықə,bord
123,Ufer::N,ахықə,rivage
124,Küste::N,ахықə,côte
125,Festland::N,абарра,terre ferme
126,Meer::N,амшын,mer
127,Bucht::N,аӡбжьахала,baie
128,Insel::N,адгьылбжьаха,île
129,Blume::N,ашəҭ,fleur
130,Gras::N,аҳасакьын,herbe
131,Wurzel::N,адац,racine
132,Baum::N,аҵла,arbre
133,Stamm::N,ашьапы,tronc
134,Rinde::N,ацəа,écorce
135,Ast::N,амахə,branche
136,Ast::N,амахəҭа,branche
137,Zweig::N,амахə,rameau
138,Zweig::N,амахəҭа,rameau
139,Blatt::N,абҕьы,feuille
140,Birke::N,аҵааҵла,bouleau
141,Kiefer[Baum]::N,амза,pin
142,Weide[Baum]::N,аҧслыш,saule
143,Tanne::N,аҧсаӡ,sapin
144,Horn::N,атəыҩа,corne
145,Feder::N,ахӡы,plume
146,Fell::N,ацəа,peau
147,Flügel::N,амҵəыжəа,aile
148,Klaue::N,ашьапхыц,serre
149,Schwanz::N,аҵыхəа,queue
150,Ei::N,акəтаӷь,œuf
151,Nest::N,аҭра,nid
152,Nest::N,аҵысҭра,nid
153,Bau::N,аҭыҩра,terrier
154,Tier::N,аҧстəы,animal
155,Tier::N,агыгшəыг,animal
156,Herde::N,агəарҭа,troupeau
157,Kuh::N,ажə,vache
158,Bulle::N,ацə,taureau
159,Pferd::N,аҽы,cheval
160,Schaf::N,ауаса,mouton
161,Schwein::N,аҳəа,porc
162,Schwein::N,аҳəа,cochon
163,Hund::N,ала,chien
164,Katze::N,ацгəы,chat
165,Bär::N,амшə,ours
166,Eichhörnchen::N,аеш,écureuil
167,Elch::N,аҽаҩа,élan
168,Fuchs::N,абгахəыҷы,renard
169,Hase::N,ажьа,lièvre
170,Maus::N,аҳəынаҧ,souris
171,Wolf::N,абгаду,loup
172,Vogel::N,аҧсаатə,oiseau
173,Huhn::N,акəты,poule
174,Hahn::N,арбаҕь,coq
175,Gans::N,аҟыз,oie
176,Adler::N,ауарба,aigle
177,Ente::N,акəата,canard
178,Eule::N,аты,hibou
179,Kranich::N,апҟа,grue
180,Krähe::N,аҟəараан,corneille
181,Kuckuck::N,акəыкəу,coucou
182,Schwan::N,агьад,cygne
183,Fisch::N,аҧсыӡ,poisson
184,Barsch::N,ацəыбла,perche
185,Hecht::N,ахиаала,brochet
186,Schlange[Tier]::N,амаҭ,serpent
187,Wurm::N,ахəа,ver
188,Wurm::N,ахəац,ver
189,Spinne::N,абызкаҭаҳа,araignée
190,Ameise::N,ашышкамс,fourmi
191,Laus::N,аҵа,pou
192,Mücke::N,акəыбры,moucheron
193,Fliege::N,амҵ,mouche
194,Schmetterling::N,аҧарҧалыкь,papillon
195,Beere::N,аргуц,baie
196,Apfel::N,аҵəа,pomme
197,Pilz::N,акəкəбаа,champignon
198,Zwiebel::N,аџьымшьы,oignon
199,Zwiebel::N,аџьымшьхы,oignon
200,Saat::N,ажəла,semence
201,Korn::N,арыц,grain
202,Heu::N,аҭəа,foin
203,Schale::N,ацəа,pelure
204,Grube::N,ажра,fosse
205,Grube::N,атыша,fosse
206,Falle::N,арыҧҟьа,piège
207,Schlinge::N,аҟəараҟəантə,lacs
208,Spur::N,ашьҭа,trace
209,Asche::N,ахəа,cendre
210,Dreck::N,аҳəынҵəа,crotte
211,Dreck::N,аҟьамсар,crotte
212,Eisen::N,аиха,fer
213,Gold::N,ахьы,or
214,Silber::N,аразны,argent
215,Kohle::N,арацəа,charbon
216,Glas::N,асаркьа,verre
217,Lehm::N,анышəаҧшь,glaise
218,Sand::N,аҧслымӡ,sable
219,Mensch::N,ауаҩы,homme
220,Mann::N,ахаҵа,homme
221,Frau::N,аҧҳəыс,femme
222,Kind::N,ахəыҷы,enfant
223,Junge::N,аҷкəын,garçon
224,Junge::N,ахаҵарҧыс,garçon
225,Mädchen::N,аӡӷаб,fille
226,Mädchen::N,аӡӷаб,jeune fille
227,Familie::N,аҭаацəа,famille
228,Großvater::N,абду,grand-père
229,Großmutter::N,анду,grand-mère
230,Eltern::N,ани аби,parents
231,Vater::N,аб,père
232,Mutter::N,ан,mère
233,Sohn::N,аҧа,fils
234,Tochter::N,аҧҳа,fille
235,Bruder::N,аиашьа,frère
236,Schwester::N,Аҳəшьа,sœur
237,Onkel::N,абиашьа,oncle
238,Onkel::N,аншьа,oncle
239,Tante::N,абиаҳəшьа,tante
240,Ehemann::N,ахаҵа,mari
241,Ehemann::N,ахаҵа,époux
242,Ehemann::N,аҧшəма,mari
243,Ehemann::N,аҧшəма,époux
244,Ehefrau::N,аҧҳəыс,femme
245,Ehefrau::N,аҧҳəыс,épouse
246,Freude::N,агəырӷьара,joie
247,Freude::N,агəырӷьара,plaisir
248,Gelächter::N,ачча,rires
249,Gelächter::N,аччара,rires
250,Glück::N,аразҟы,bonheur
251,Kummer::N,агəырҩа,peine
252,Kummer::N,агəырҩа,chagrin
253,Wunsch::N,агəхəтəы,désir
254,Wunsch::N,аҭахра,désir
255,Lust::N,агəазыҳəара,envie
256,Geist::N,аҧсы,esprit
257,Gedanke::N,ахəыцырҭа,idée
258,Gedanke::N,ахəыцырҭа,pensée
259,Gedächtnis::N,агəынкылара,mémoire
260,Verstand::N,ахшыҩ,raison
261,Sinn::N,аҵакы,sens
262,Grund::N,амзыз,cause
263,Grund::N,амзыз,raison
264,Wahrheit::N,аиаша,vérité
265,Gespräch::N,аиҿцәажәара,conversation
266,Märchen::N,алакə,conte
267,Märchen::N,алакə,conte de fées
268,Erzählung::N,ажәабжь,conte
269,Erzählung::N,ажәабжь,narration
270,Nachricht::N,адырраҭара,message
271,Neuigkeit::N,ажәабжь ҿыц,nouvelle
272,Name::N,ахьӡ,nom
273,Rätsel::N,ацуфара,énigme
274,Rätsel::N,ацуфара,devinette
275,Rede::N,ажәа,parole
276,Rede::N,ажәа,discours
277,Sprache::N,абызшəа,langue
278,Sprache::N,абызшəа,langage
279,Stimme::N,абжьы,voix
280,Wort::N,ажәа,mot
281,Zeichen::N,адырга,signe
282,Ruf::N,аҿҭы,cri
283,Ruf::N,аҿҭы,appel
284,Lärm::N,ашьҭыбжь,bruit
285,Laut::N,ашьҭыбжь,son
286,Ton::N,атон,ton
287,Lied::N,ашəа,chant
288,Lied::N,ашəа,chanson
289,Ruhe::N,аҭынчра,calme
290,Ruhe::N,аҭынчра,tranquillité
291,Leute::N,ауаа,gens
292,Volk::N,ажəлар,peuple
293,Arbeit::N,аусура,travail
294,Gast::N,асас,hôte
295,Gast::N,асас,invité
296,Geschenk::N,аҳамҭа,cadeau
297,Geschenk::N,аҳамҭа,présent
298,Geschenk::N,аҿанҵа,cadeau
299,Geschenk::N,аҿанҵа,présent
300,Spiel::N,ахəмарра,jeu
301,Gesellschaft::N,агəыҧ,compagnie
302,Hilfe::N,ацхыраара,aide
303,Hilfe::N,ацхыраара,secours
304,Freund::N,аҩыза,ami
305,Kamerad::N,Аҧхнагьла,copain
306,Kamerad::N,Аҧхнагьла,camarade
307,Angelegenheit::N,аус,affaire
308,Anzahl::N,ахыҧхьаӡара,nombre
309,Art::N,ахкы,sorte
310,Art::N,ахкы,espèce
311,Stück::N,аҽыҭ,morceau
312,Teil::N,ахəҭа,part
313,Teil::N,ахəҭа,partie
314,Hälfte::N,абжа,moitié
315,Kreis::N,агьагьа,cercle
316,Kreuz::N,аџьар,croix
317,Linie::N,аицтәар,ligne
318,Strich::N,ацəаҳəа,trait
319,Abstand::N,абжьара,écart
320,Entfernung::N,абжьара,distance
321,Gegend::N,аҭыҧ,région
322,Gegend::N,аҭыҧ,contrée
323,Platz::N,аҭыҧ,place
324,Ort::N,аҭыҧ,lieu
325,Ort::N,аҭыҧ,endroit
326,Seite::N,аган,côté
327,Mitte::N,агəҭа,milieu
328,Gegenstand::N,амаҭəар,objet
329,Rand::N,аҵкар,bord
330,Kante::N,авардым,arête
331,Ecke::N,акəакь,coin
332,Ecke::N,акəакь,tournant
333,Spitze::N,аҧынҵа,cime
334,Spitze::N,аҧынҵа,pointe
335,Ende::N,анаӡара,bout
336,Loch::N,акылҵəара,trou
337,Winkel::N,агҿаҩра,coin
338,Winkel::N,агҿаҩра,réduit
339,Winkel::N,акəындхə,coin
340,Winkel::N,акəындхə,réduit
341,Winkel::N,акəакь,coin
342,Winkel::N,акəакь,réduit
343,Muster::N,аҟҟа,dessin
344,Größe::N,изаҟароу,grandeur
345,Länge::N,аура,longueur
346,Höhe::N,агылара,hauteur
347,Höhe::N,агылара,altitude
348,Gewicht::N,акапан,poids
349,Haufen::N,ачаҟəа,tas
350,Reihe::N,ацəаҳəа,file
351,Reihe::N,ацəаҳəа,rangée
352,Boot::N,анышь,canot
353,Boot::N,анышь,bateau
354,Ruder::N,ажəҩа,rame
355,Ruder::N,ажəҩа,aviron
356,Schlitten::N,ашəаҩауардын,traîneau
357,Ski::N,ашəаҩа,ski
358,Ski::N,ашьахаха,ski
359,Lagerfeuer::N,еиқуу амца,feu de camp
360,Last::N,ахьанҭара,charge
361,Last::N,ахьанҭара,fardeau
362,Gang::N,аныҟəара,tour
363,Gang::N,аныҟəара,marche
364,Schritt::N,ашьаҿа,pas
365,Norden::N,аҩада,nord
366,Süden::N,алада,sud
367,Westen::N,амраҭашəара,ouest
368,Westen::N,амраҭашəара,occident
369,Osten::N,амрагылара,est
370,Osten::N,амрагылара,orient
371,Holz::N,амҿымаҭəахə,bois
372,Brett::N,аӷəы,planche
373,Platte::N,ахаҳәцәы,plaque
374,Stütze::N,аҵаргəа,appui
375,Stütze::N,аҵаргəа,soutien
376,Stütze::N,агəышьаҟа,appui
377,Stütze::N,агəышьаҟа,soutien
378,Stange::N,акьат,barre
379,Stange::N,акьат,perche
380,Stock::N,алаба,canne
381,Stab::N,акьат,bâton
382,Rohr::N,абыкь,tube
383,Rohr::N,абыкь,tuyau
384,Haus::N,аҩны,maison
385,Heim::N,аҭаацəа,maison
386,Ofen::N,аҳақə,poêle
387,Ofen::N,ауаџьаҟ,poêle
388,Ofen::N,афрына,poêle
389,Fußboden::N,адашьма,plancher
390,Tisch::N,аишәа,table
391,Stuhl::N,аҟəардə,chaise
392,Wiege::N,агара,berceau
393,Bett::N,акаруаҭ,lit
394,Regal::N,акыӷəра,étagère
395,Kiste::N,аидчаҧала,caisse
396,Fenster::N,аҧенџьыр,fenêtre
397,Tür::N,ашə,porte
398,Tor::N,агəашə,porte
399,Tor::N,агəашə,portail
400,Zaun::N,аанда,clôture
401,Dach::N,ахыб,toit
402,Leiter::N,амардуан,échelle
403,Besen::N,аҧссага,balai
404,Spaten::N,ажыга,bêche
405,Schaufel::N,аҭəарӷəы,pelle
406,Gabel::N,ачқьыҧ,fourchette
407,Löffel::N,амҳаҵə,cuiller
408,Messer::N,аҳəызба,couteau
409,Nagel::N,аҵəымӷ,clou
410,Netz::N,акаҭа,filet
411,Haken::N,аҵəаҳə,croc
412,Haken::N,аҵəаҳə,crochet
413,Griff::N,амаа,prise
414,Griff::N,амаа,manche
415,Schloss::N,асаҧаҭ,serrure
416,Bild::N,асахьа,image
417,Bild::N,асахьа,tableau
418,Figur::N,афигура,figure
419,Puppe::N,акьанџьа,poupée
420,Beutel::N,асакь,sac
421,Beutel::N,асакь,petit sac
422,Bündel::N,аҿаҳəара,paquet
423,Bündel::N,аҿаҳəара,faisceau
424,Tasche::N,арҭмаҟ,sac
425,Eimer::N,аведра,seau
426,Deckel::N,ахҩа,couvercle
427,Geschirr::N,ачысмаҭəа,vaisselle
428,Sack::N,асакь,sac
429,Tasse::N,аҵəца,tasse
430,Topf::N,акаструлиа,pot
431,Topf::N,акаструлиа,marmite
432,Kessel::N,ачуан,chaudron
433,Nahrung::N,афатə,nourriture
434,Speise::N,афатə,plat
435,Fleisch::N,акəац,viande
436,Getreide::N,ачакуа,blé
437,Getreide::N,ачакуа,céréales
438,Brei::N,ақашь,purée
439,Brei::N,ақашь,bouillie
440,Brot::N,ача,pain
441,Scheibe::N,аҽыҭ,tranche
442,Scheibe::N,аҿаҵа,tranche
443,Fett::N,ашша,graisse
444,Butter::N,ахəша,beurre
445,Öl::N,азеҭ,huile
446,Salz::N,аџьыка,sel
447,Suppe::N,асуҧ,soupe
448,Suppe::N,асуҧ,potage
449,Honig::N,ацха,miel
450,Milch::N,ахш,lait
451,Tee::N,ачаи,thé
452,Leder::N,ацəа,cuir
453,Wolle::N,аласа,laine
454,Stoff::N,Аба,tissu
455,Stoff::N,Аба,étoffe
456,Nadel::N,агəыр,aiguille
457,Faden::N,арахəыц,fil
458,Knopf::N,аҳəынҵəра,bouton
459,Knoten::N,аиқəҳəала,nœud
460,Farbe::N,ашəыга,peinture
461,Kleidung::N,амаҭəа,vêtements
462,Kleidung::N,амаҭəа,habillement
463,Hemd::N,акьаҿ,chemise
464,Kragen::N,ахəда,col
465,Ärmel::N,амаӷра,manche
466,Hose::N,аиқəа,pantalon
467,Gürtel::N,амаҟа,ceinture
468,Mütze::N,ахылҧа,bonnet
469,Mütze::N,ахылҧа,casquette
470,Schuh::N,аимаа,soulier
471,Schuh::N,аимаа,chaussure
472,Stiefel::N,амагə,botte
473,Ring::N,амацəаз,bague
474,Band::N,алента,ruban
475,Kamm::N,ахҳəа,peigne
476,Spiegel::N,асаркьа,glace
477,Spiegel::N,асаркьа,miroir
478,Riemen::N,аа,lanière
479,Riemen::N,аа,courroie
480,Schnur::N,ашаха,corde
481,Schnur::N,ашаха,ficelle
482,Leine::N,аҕура,laisse
483,Decke::N,ахыза,couverture
484,Kissen::N,ахчы,oreiller
485,Tuch::N,акасы,drap
486,Tuch::N,акасы,fichu
487,Handtuch::N,ампахьшьы,serviette
488,Handtuch::N,ампахьшьы,essuie-mains
489,Kraft::N,амч,force
490,Stärke::N,амч,vigueur
491,Gesundheit::N,агəабзиара,santé
492,Krankheit::N,ачымазара,maladie
493,Schmerz::N,ахьаа,douleur
494,Wunde::N,ахəра,plaie
495,Wunde::N,ахəра,blessure
496,Fieber::N,ашоура,fièvre
497,Arznei::N,ахəшə,remède
498,Arznei::N,ахəшə,médecine
499,Brücke::N,ацҳа,pont
500,Brunnen::N,аҵыџь,puits
501,Weide::N,аҳəырҭа,pâturage
502,Pfad::N,амхəасҭа,sentier
503,Weg::N,амҩа,voie
504,Weg::N,амҩа,chemin
505,Straße::N,амҩа,route
506,Dorf::N,ақыҭа,village
507,Stadt::N,ақалақь,cité
508,Stadt::N,ақалақь,ville
509,Brief::N,ашəҟəы,lettre
510,Buch::N,ашəҟəы,livre
511,Buchstabe::N,анбан,lettre
512,Buchstabe::N,анбан,caractère
513,Zeitung::N,агазеҭ,journal
514,Leben::N,аҧсҭазаара,vie
515,Tod::N,аҧсра,mort
516,Grab::N,анышəынҭра,tombe
517,Kirche::N,ауахəама,église
518,Sünde::N,агəнаҳа,péché
519,Gott::N,анцəа,dieu
520,Arbeiter::N,аусуҩ,ouvrier
521,Arbeiter::N,аусуҩ,travailleur
522,Chef::N,Аиҳабы,chef
523,Chef::N,Аиҳабы,patron
524,Meister::N,аҟаза,maître
525,Arzt::N,аҳақьым,médecin
526,Lehrer::N,арҵаҩы,professeur
527,Lehrer::N,арҵаҩы,instituteur
528,Geld::N,аҧара,argent
529,Laden::N,амагазин,magasin
530,Laden::N,амагазин,boutique
531,Preis::N,ахə,prix
532,Ware::N,атауар,marchandise
533,Nutzen::N,ақьар,profit
534,Reichtum::N,абеиара,richesse
535,Welt::N,адунеи,monde
536,Land::N,атəыла,pays
537,Staat::N,аҳəынҭқарра,État
538,König::N,акрал,roi
539,Macht::N,амчра,pouvoir
540,Macht::N,амчра,puissance
541,Grenze::N,аҳəаа,frontière
542,Krieg::N,аибашьра,guerre
543,Feind::N,Аҕа,ennemi
544,Gewalt::N,ақəымчра,violence
545,Kampf::N,ақəҧара,lutte
546,Kampf::N,ақəҧара,combat
547,Bogen[Waffe]::N,ахыц,arc
548,Pfeil::N,ахəымпал,flèche
549,Gewehr::N,ашəақь,fusil
550,Fehler::N,агха,faute
551,Fehler::N,агха,erreur
552,Lüge::N,амц,mensonge
553,Schaden::N,аҧырхага,dégât
554,Schaden::N,аҧырхага,dommage
555,Unglück::N,арыцҳара,malheur
556,Schuld::N,ахара,faute
557,Schuld::N,ахара,culpabilité
558,Alter::N,ақəра,âge
559,Schluss::N,анҵəамҭа,fin
560,Zeit::N,аамта,temps
561,Tag::N,амш,jour
562,Tag::N,амш,journée
563,Morgen::N,ашара,matin
564,Morgen::N,ашара,matinée
565,Morgen::N,ашьыбжь,matin
566,Morgen::N,ашьыбжь,matinée
567,Mittag::N,шьыбжьон,midi
568,Abend::N,ахəылҧаз,soir
569,Abend::N,ахəылҧаз,soirée
570,Abend::N,ахəлбыҽха,soir
571,Abend::N,ахəлбыҽха,soirée
572,Nacht::N,аҵх,nuit
573,Woche::N,амчыбжь,semaine
574,Frühling::N,ааҕын,printemps
575,Sommer::N,аҧхын,été
576,Herbst::N,ҭагалан,automne
577,Herbst::N,хкаарачан,automne
578,Winter::N,аӡын,hiver
579,Januar::N,ианвар,janvier
580,Februar::N,февраль,février
581,März::N,март,mars
582,April::N,апрель,avril
583,Mai::N,маи,mai
584,Juni::N,иуун,juin
585,Juli::N,иууль,juillet
586,August::N,август,août
587,September::N,сентиабр,septembre
588,Oktober::N,октиабр,octobre
589,November::N,ноиабр,novembre
590,Dezember::N,декабр,décembre
591,Montag::N,ашəахьа,lundi
592,Dienstag::N,аҩаша,mardi
593,Mittwoch::N,ахаша,mercredi
594,Donnerstag::N,аҧшьаша,jeudi
595,Freitag::N,ахəаша,vendredi
596,Samstag::N,асабша,samedi
597,Sonntag::N,амҽыша,dimanche
598,groß::A,аду,grand
599,klein::A,амаҷ,petit
600,lang::A,ахəхəа,long
601,kurz::A,акьаҿ,court
602,breit::A,аиужь,large
603,breit::A,аиҵых,large
604,schmal::A,аҭшəа,étroit
605,dicht::A,аилач,dense
606,dick[Gegenstand]::A,ажəпа,épais
607,fein::A,апа,fin
608,fein::A,апа,menu
609,fein::A,аҵаӷа,fin
610,fein::A,аҵаӷа,menu
611,fein::A,аӡа,fin
612,fein::A,аӡа,menu
613,fest::A,аҟаца,ferme
614,fest::A,аҟаца,solide
615,fest::A,аӷəӷəаҟаца,ferme
616,fest::A,аӷəӷəаҟаца,solide
617,flach::A,ақəаҟьа,plat
618,flach::A,аҧаҟьа,plat
619,glatt::A,аимаҩзы,poli
620,glatt::A,аимаҩзы,lisse
621,hart::A,акьакьа,dur
622,weich::A,атата,mou
623,rund::A,акəмпыл,rond
624,spitz::A,аҵар,aigu
625,spitz::A,аҵар,pointu
626,scharf::A,аҵар,tranchant
627,stumpf::A,ацагə,mousse
628,stumpf::A,ацагə,émoussé
629,schwer::A,ахьанҭа,lourd
630,schwer::A,ахьанҭа,pesant
631,schön::A,аҧшӡа,beau
632,heiß::A,ашы,chaud
633,heiß::A,ашы,très chaud
634,warm::A,аҧха,chaud
635,kalt::A,ахьшəашəа,froid
636,kühl::A,ахьшəашəа,frais
637,kühl::A,ицәыхьшәашәоу,frais
638,frisch::A,цқьа,frais
639,feucht::A,ацəаак,humide
640,nass::A,абааӡа,mouillé
641,trocken::A,Аба,sec
642,trocken::A,аҩа,sec
643,voll::A,азна,plein
644,voll::A,азна,rempli
645,leer::A,аҭацəы,vide
646,offen::A,аарта,ouvert
647,geschlossen::A,ихҩоу,clos
648,geschlossen::A,ихҩоу,fermé
649,geschlossen::A,иаркыу,clos
650,geschlossen::A,иаркыу,fermé
651,sauber::A,ацқьа,net
652,sauber::A,ацқьа,propre
653,schmutzig::A,аҟьашь,sale
654,schmutzig::A,аҟьашь,crasseux
655,reif::A,Арҭ,mûr
656,reif::A,аҟала,mûr
657,reif::A,иҟалахьоу,mûr
658,lecker::A,ахаа,délicieux
659,lecker::A,ахаа,appétissant
660,süß::A,азла,doux
661,bitter::A,аша,amer
662,sauer::A,аҵəҵəы,aigre
663,hell::A,алаша,clair
664,dunkel::A,алашьца,sombre
665,schwarz::A,аиқуаҵәа,noir
666,weiß::A,ашкəакəа,blanc
667,rot::A,аҟаҧшь,rouge
668,gelb::A,аҩеижь,jaune
669,blau::A,аҽҵәа,bleu
670,grün::A,ашьацҧшҭəала,vert
671,grün::A,аеҵəа,vert
672,grau::A,ацəыш,gris
673,bunt::A,Аилыҕраа,multicolore
674,bunt::A,аҕраҷкəын,multicolore
675,billig::A,амариа,bon marché
676,teuer::A,амҩан,cher
677,wertvoll::A,кыр иаҕсоу,précieux
678,wertvoll::A,акыр иаҕсоу,précieux
679,blind::A,алашə,aveugle
680,taub::A,адагəа,sourd
681,kräftig::A,аӷəӷəа,fort
682,kräftig::A,аӷəӷəа,vigoureux
683,stark::A,абаҟа,fort
684,stark::A,абаҟа,puissant
685,schwach::A,акəада,faible
686,fett::A,аҧсыла,gras
687,schlank::A,акала,svelte
688,schlank::A,акьалантар,svelte
689,schlank::A,аиҿартə,svelte
690,hübsch::A,аҧшӡа,joli
691,böse::A,абааҧсы,mauvais
692,dumm::A,агаӡа,sot
693,dumm::A,агаӡа,bête
694,faul::A,аашьа,fainéant
695,faul::A,аашьа,paresseux
696,fleißig::A,иҟубҷоу,appliqué
697,geizig::A,акы,avare
698,geizig::A,акаҷбеи,avare
699,geizig::A,аҟəџьыр,avare
700,klug::A,аҟəыш,intelligent
701,klug::A,аҟəыӷа,intelligent
702,geschickt::A,напҟазала,habile
703,lieb::A,алашара,cher
704,lieb::A,алашара,gentil
705,lustig::A,алах-ҿых,gai
706,lustig::A,алах-ҿых,joyeux
707,lustig::A,игурҕьаччо,gai
708,lustig::A,игурҕьаччо,joyeux
709,lustig::A,агурҕьа,gai
710,lustig::A,агурҕьа,joyeux
711,lustig::A,агурҿыхага,gai
712,lustig::A,агурҿыхага,joyeux
713,sanft::A,атата,doux
714,sanft::A,аҟəымшəышə,doux
715,sanft::A,ақьыҧш,doux
716,hungrig::A,амлашь,affamé
717,krank::A,ачымазаҩ,malade
718,nackt::A,аҟьантаз,nu
719,traurig::A,алахьеиқəҵага,triste
720,lebendig::A,абза,vivant
721,gut::A,абзиа,bon
722,schlecht::A,-хəарҭам,mauvais
723,richtig::A,иашоу,juste
724,richtig::A,иашоу,correct
725,schlimm::A,абааҧсы,grave
726,schlimm::A,абааҧсы,mauvais
727,wahr::A,агəҭылса,vrai
728,wahr::A,агəҭылса,véritable
729,wahr::A,абзиаҵəҟьа,vrai
730,wahr::A,абзиаҵəҟьа,véritable
731,alt::A,Ажə,vieux
732,neu::A,аҿыц,neuf
733,neu::A,аҿыц,nouveau
734,ehemalig::A,анкьатәи,ancien
735,alt[Lebewesen]::A,абырг,âgé
736,alt[Lebewesen]::A,абырг,vieux
737,alt[Lebewesen]::A,ақабада,âgé
738,alt[Lebewesen]::A,ақабада,vieux
739,alt[Lebewesen]::A,Ажə,âgé
740,alt[Lebewesen]::A,Ажə,vieux
741,jung::A,аҟата,jeune
742,arm::A,ананамга,pauvre
743,reich::A,абеиа,riche
744,bekannt::A,адыр,connu
745,berühmt::A,адыр,fameux
746,berühmt::A,адыр,célèbre
747,fremd::A,атəым,étranger
748,verschieden::A,Еиуа-еиҧшым,différent
