,Concept_ID,mn,hr
278,Kind::N,хүүхэд,dijete
279,Junge::N,хүү,momče
280,Junge::N,хүү,dječak
281,Mädchen::N,охин,djevojka
282,Mädchen::N,охин,djevojčica
283,Mädchen::N,бүсгүй,djevojka
284,Mädchen::N,бүсгүй,djevojčica
285,Familie::N,айл,obitelj
286,Familie::N,айл,porodica
287,Großvater::N,өвгөн аав,djed
288,Großmutter::N,эмэг эх,baka
289,Großmutter::N,эмгээ,baka
290,Eltern::N,эцэг эх,roditelji
291,Vater::N,аав,otac
292,Vater::N,эцэг,otac
293,Mutter::N,эх,majka
294,Mutter::N,ээж,majka
295,Sohn::N,хүү,sin
296,Tochter::N,охин,kći
297,Tochter::N,охин,kćerka
298,Bruder::N,ах,brat
299,Bruder::N,дүү,brat
300,Schwester::N,эгч,sestra
301,Schwester::N,охин дүү,sestra
302,Onkel::N,авга ах,čika
303,Onkel::N,авга ах,ujak
304,Onkel::N,нагац ах,čika
305,Onkel::N,нагац ах,ujak
306,Tante::N,авга эгч,ujna
307,Tante::N,авга эгч,tetka
308,Tante::N,нагац эгч,ujna
309,Tante::N,нагац эгч,tetka
310,Ehemann::N,нөхөр,muž
311,Ehemann::N,нөхөр,suprug
312,Ehefrau::N,эхнэр,žena
313,Ehefrau::N,эхнэр,supruga
314,Ehefrau::N,гэргий,žena
315,Ehefrau::N,гэргий,supruga
316,Freude::N,баяр,radost
317,Freude::N,баясгалан,radost
318,Gelächter::N,инээдэм,grohot
319,Glück::N,жаргалан,sreća
320,Kummer::N,гаслан,jad
321,Kummer::N,гаслан,briga
322,Wunsch::N,ерөөл,želja
323,Lust::N,дур,volja
324,Lust::N,хүсэл,volja
325,Geist::N,оюун,duh
326,Gedanke::N,сэтгэл,misao
327,Gedächtnis::N,ой,pamćenje
328,Gedächtnis::N,цээж,pamćenje
329,Verstand::N,ухаан,um
330,Verstand::N,ухаан,razum
331,Sinn::N,утга,smisao
332,Sinn::N,утга,značenje
333,Grund::N,учир,razlog
334,Wahrheit::N,үнэн,istina
335,Gespräch::N,яриа,razgovor
336,Märchen::N,явган үлгэр,bajka
337,Erzählung::N,тууж,priča
338,Erzählung::N,тууж,pripovijest
339,Nachricht::N,мэдээ,vijest
340,Neuigkeit::N,сонин,novost
341,Name::N,нэр,ime
342,Rätsel::N,оньсого,zagonetka
343,Rede::N,хэлсэн үг,govor
344,Rede::N,хэлсэн үг,besjeda
345,Sprache::N,хэл,jezik
346,Stimme::N,дуу,glas
347,Wort::N,үг,riječ
348,Zeichen::N,тамга,znak
349,Zeichen::N,тэмдэг,znak
350,Ruf::N,дуудлага,povik
351,Ruf::N,дуудлага,poklik
352,Lärm::N,шуугиан,buka
353,Lärm::N,шуугиан,galama
354,Lärm::N,чимээ,buka
355,Lärm::N,чимээ,galama
356,Laut::N,анир,zvuk
357,Laut::N,дуу,zvuk
358,Ton::N,авиа,ton
359,Ton::N,аялгуу,ton
360,Lied::N,дуу,pjesma
361,Ruhe::N,энх,tišina
362,Ruhe::N,энх,počinak
363,Ruhe::N,тайван,tišina
364,Ruhe::N,тайван,počinak
365,Leute::N,хүмүүс,ljudi
366,Volk::N,улс,puk
367,Volk::N,улс,narod
368,Arbeit::N,ажил,rad
369,Arbeit::N,ажил,posao
370,Arbeit::N,хөдөлмөр,rad
371,Arbeit::N,хөдөлмөр,posao
372,Gast::N,зочин,gost
373,Gast::N,айлчин,gost
374,Geschenk::N,бэлэг,dar
375,Geschenk::N,бэлэг,poklon
376,Spiel::N,наадам,igra
377,Spiel::N,тоглоом,igra
378,Gesellschaft::N,хамт байх,društvo
379,Gesellschaft::N,хамт байх,kompanija
380,Hilfe::N,тусламж,pomoć
381,Freund::N,найз,prijatelj
382,Freund::N,нөхөр,prijatelj
383,Kamerad::N,хань,drug
384,Kamerad::N,хань,drugar
385,Kamerad::N,нөхөр,drug
386,Kamerad::N,нөхөр,drugar
387,Angelegenheit::N,хэрэг,posao
388,Anzahl::N,тоо,broj
389,Anzahl::N,тоо,brojnost
390,Art::N,төрөл,vid
391,Art::N,төрөл,vrst
392,Art::N,янз,vid
393,Art::N,янз,vrst
394,Stück::N,хэсэг,komad
395,Teil::N,хувь,dio
396,Teil::N,хэсэг,dio
397,Hälfte::N,хагас,polovina
398,Kreis::N,тойрог,krug
399,Kreis::N,хүрээ,krug
400,Kreuz::N,загалмай,križ
401,Linie::N,шугам,crta
402,Strich::N,зураас,crta
403,Abstand::N,зай,razmak
404,Abstand::N,зай,odstojanje
405,Entfernung::N,зай,udaljenost
406,Entfernung::N,хол ойр,udaljenost
407,Gegend::N,хавь,kraj
408,Gegend::N,хавь,predeo
409,Gegend::N,газар,kraj
410,Gegend::N,газар,predeo
411,Platz::N,зай,mjesto
412,Platz::N,завсар,mjesto
413,Ort::N,газар,mjesto
414,Ort::N,байр,mjesto
415,Seite::N,тал,bok
416,Seite::N,тал,strana
417,Seite::N,этгээд,bok
418,Seite::N,этгээд,strana
419,Mitte::N,төв,sredina
420,Mitte::N,дунд,sredina
421,Gegenstand::N,юм,predmet
422,Sache::N,үйл,posao
423,Sache::N,хэрэг,posao
424,Rand::N,зах,rub
425,Rand::N,зах,kraj
426,Rand::N,хөвөө,rub
427,Rand::N,хөвөө,kraj
428,Kante::N,ирмэг,brid
429,Kante::N,ирмэг,ivica
430,Ecke::N,өнцөг,ugao
