,Concept_ID,lbe,ml
131,Horn::N,хъи,മൃഗത്തിൻറെ കൊമ്പ്
132,Feder::N,лелуххул тӏиму,തൂവൽ
133,Fell::N,бурчу,മൃദുരോമം
134,Flügel::N,хъа,ചിറക്
135,Flügel::N,ххурупӏайрал тӏиму,ചിറക്
136,Klaue::N,михь,നഖം
137,Kralle::N,ххяппа,നഖം
138,Schwanz::N,магъ,വാൽ
139,Ei::N,ккунук,മുട്ട
140,Nest::N,кюру,കൂട്
141,Bau::N,цукъуккутӏ,മാളം
142,Tier::N,хӏайван,മൃഗം
143,Herde::N,газу,കൂട്ടം
144,Kuh::N,оьл,പശു
145,Bulle::N,ниц,കാള
146,Pferd::N,чу,കുതിര
147,Schaf::N,тта,ആട്
148,Schwein::N,дунгъуз,പന്നി
149,Hund::N,ккаччи,നായ്
150,Katze::N,ччиту,പൂച്ച
151,Bär::N,цуша,കരടി
152,Eichhörnchen::N,бюрхттукку,അണ്ണാൻ
153,Elch::N,ниц-бюрин,കടമാന്
154,Fuchs::N,цулчӏа,കുറുക്കൻ
155,Fuchs::N,куча цулчӏа,കുറുക്കൻ
156,Hase::N,бюрх,മുയൽ
157,Maus::N,кӏулу,ചുണ്ടലി
158,Wolf::N,барцӏ,ചെന്നായ
159,Vogel::N,лелуххи,പക്ഷി
160,Schwarm::N,гьухъала,കൂട്ടം
161,Huhn::N,аьнакӏи,കോഴി
162,Hahn::N,ажари,പൂവൻകോഴി
163,Gans::N,къаз,അരയന്നം
164,Adler::N,барзу,കഴുകൻ
165,Ente::N,урдак,താറാവ്
166,Eule::N,ису,മൂങ്ങ
167,Eule::N,ччиккумяв,മൂങ്ങ
168,Kranich::N,кьурукь,കൊക്ക്
169,Krähe::N,хъатӏу,കാക്ക
170,Kuckuck::N,ччикку,കുയിൽ
171,Schwan::N,урттил къаз,അരയന്നം
172,Fisch::N,чавахъ,മത്സ്യം
173,Schlange[Tier]::N,шатта,പാമ്പ്
174,Wurm::N,кьюнукьай шатта,വിര
175,Spinne::N,ххялцу,ചിലന്തി
176,Ameise::N,митӏикьукьу,ഉറുമ്പ്
177,Mücke::N,мичӏак,മശകം
178,Fliege::N,зимиз,ഈച്ച
179,Schmetterling::N,чӏимучӏали,ചിത്രശലഭം
180,Beere::N,хӏаллил ахъулсса,ബെറി
181,Apfel::N,гьивч,ആപ്പിൾ
182,Pilz::N,ттуккул иис,കൂൺ
183,Zwiebel::N,лаччул чсмусул бакӏ,സവാള
184,Saat::N,гьанна,വിത്ത്
185,Korn::N,къама,ധാന്യം
186,Heu::N,ххулув,വയ്ക്കോൽ
187,Schale::N,ккиртту,തൊലി
188,Grube::N,кӏаланг,കുഴി
189,Falle::N,къатӏа,കെണി
190,Schlinge::N,хӏатӏ,കുടുക്ക്
191,Spur::N,ша,ചുവട്
192,Asche::N,лах,ചാരം
193,Dreck::N,кьяркьи,അഴുക്ക്
194,Dreck::N,венп,അഴുക്ക്
195,Eisen::N,мах,ഇരുമ്പ്
196,Gold::N,муси,സ്വർണ്ണം
197,Silber::N,арцу,വെള്ളി
198,Kohle::N,кӏалаш,കൽക്കരി
199,Kohle::N,хъуручӏ,കൽക്കരി
200,Glas::N,пюрун,ഗ്ലാസ്
201,Lehm::N,сина аьрщи,കളിമണ്ണ്
202,Sand::N,къун,മണൽ
203,Mensch::N,инсан,മനുഷ്യർ
204,Mann::N,чув,പുരുഷൻ
205,Mann::N,адимина,പുരുഷൻ
206,Frau::N,щарсса,സ്ത്രീ
207,Frau::N,хъамитайпа,സ്ത്രീ
208,Kind::N,чӏиви оьрчӏ,കുഞ്ഞ്
209,Junge::N,оьрчӏ,ആൺകുട്ടി
210,Junge::N,бурхьин оьрчӏ,ആൺകുട്ടി
211,Mädchen::N,душ,പെൺകുട്ടി
212,Familie::N,кулпат,കുടുംബം
213,Großvater::N,ттатта,അപ്പൂപ്പൻ
214,Großvater::N,ниттил ппу,അപ്പൂപ്പൻ
215,Großmutter::N,буттал нину,അമ്മുമ്മ
216,Eltern::N,нину-ппу,മാതാപിതാക്കള്
217,Vater::N,ппу,അച്ഛൻ
218,Mutter::N,нину,അമ്മ
219,Sohn::N,арс,മകൻ
220,Tochter::N,душ,മകൾ
221,Bruder::N,уссу,ചേട്ടൻ
222,Bruder::N,уссу,അനിയൻ
223,Schwester::N,ссу,ചേച്ചി
224,Schwester::N,ссу,അനിയത്തി
225,Onkel::N,буттауссу,അമ്മാവൻ
226,Tante::N,буттал ссу,മാമി
227,Ehemann::N,лас,ഭർത്താവ്
228,Ehefrau::N,щар,ഭാര്യ
229,Ehefrau::N,щарсса,ഭാര്യ
230,Freude::N,шадшиву,ആഹ്ലാദം
231,Freude::N,ххаришиву,ആഹ്ലാദം
232,Gelächter::N,хъяхъаву,ചിരിയുടെ ശബ്ദം
233,Glück::N,талихӏ,സന്തോഷം
234,Glück::N,талихӏ,സന്തുഷ്ടി
235,Kummer::N,дард,ശോകം
236,Wunsch::N,мурад,ആഗ്രഹം
237,Lust::N,гьавас,ആഗ്രഹം
238,Lust::N,ччаву,ആഗ്രഹം
239,Geist::N,рухӏ,ചുറുചുറുക്ക്
240,Gedanke::N,пикри,ചിന്ത
241,Gedächtnis::N,дакӏний личӏаву,ഓർമ്മശക്തി
242,Verstand::N,аькьлу,മനസ്സ്
243,Sinn::N,мяъна,അർത്ഥം
244,Grund::N,багьана,കാരണം
245,Wahrheit::N,тӏайламур,സത്യം
246,Wahrheit::N,хӏакьмур,സത്യം
247,Gespräch::N,ихтилат,സല്ലാപം
248,Märchen::N,магьа,യക്ഷിക്കഥ
249,Erzählung::N,хавар,കഥ
250,Nachricht::N,хавар,സന്ദേശം
251,Neuigkeit::N,хавар,വാർത്ത
252,Name::N,цӏа,പേര്
253,Rätsel::N,ссигьа,പ്രഹേളിക
254,Rede::N,гъалгъа,സംസാരം
255,Sprache::N,маз,ഭാഷ
256,Stimme::N,чӏу,സ്വരം
257,Stimme::N,чӏукӏа,സ്വരം
258,Wort::N,махъ,വാക്ക്
259,Zeichen::N,лишан,സംജ്ഞ
260,Lärm::N,чӏу,ആരവം
261,Laut::N,чӏу,ശബ്ദം
262,Ton::N,чӏу,സ്വരഭേദം
263,Lied::N,балай,പാട്ട്
264,Ruhe::N,дигьалагру,നിശ്ചലത
265,Leute::N,инсантал,ജനങ്ങൾ
266,Volk::N,ил,രാഷ്ടം
267,Volk::N,халкь,രാഷ്ടം
268,Arbeit::N,заву,ജോലി
269,Gast::N,хъамаличу,അതിലി
270,Geschenk::N,бухчакарши,സമ്മാനം
271,Geschenk::N,лажинккакку,സമ്മാനം
272,Spiel::N,тӏуркӏу,കളി
273,Gesellschaft::N,жямат,കൂട്ടായ്മ
274,Gesellschaft::N,ккуран,കൂട്ടായ്മ
275,Hilfe::N,кумаг,സഹായം
276,Freund::N,дус,സുഹൃത്ത്
277,Kamerad::N,хӏаласу,കൂട്ടാളി
278,Angelegenheit::N,иш,കാര്യം
279,Anzahl::N,аьдад,എണ്ണം
280,Art::N,жинс,തരം
281,Stück::N,касак,കഷണം
282,Teil::N,бутӏа,ഭാഗം
283,Hälfte::N,дачӏи,പകുതി
284,Kreis::N,кюрщан,വൃത്തം
285,Kreuz::N,ххач,കുരിശടയാളം
286,Linie::N,щва,വര
287,Linie::N,щва,രേഖ
288,Strich::N,щва,പക്ഷാഘാതം
289,Abstand::N,манзил,വിടവ്
290,Entfernung::N,манзил,അകലം
291,Gegend::N,кӏану,പ്രദേശം
292,Ort::N,кӏану,സ്ഥലം
293,Seite::N,чул,വശം
294,Seite::N,чулухалу,വശം
295,Mitte::N,дя,മധ്യസ്ഥാനം
296,Gegenstand::N,зат,സാധനം
297,Sache::N,зат,വസ്തു
298,Rand::N,зума,തൊങ്ങൽ
299,Ecke::N,мурцӏу,മൂല
300,Spitze::N,мицӏ,അഗ്രം
301,Ende::N,зума,അവസാനം
302,Loch::N,ккутӏ,ദ്വാരം
303,Winkel::N,мурцӏу,കോൺ
304,Muster::N,накьич,ക്രമം
305,Länge::N,лахъишиву,നീളം
306,Höhe::N,лахъшиву,ഉയരം
307,Gewicht::N,дуццин,കട്ടി
308,Gewicht::N,кӏушиву,കട്ടി
309,Haufen::N,бакӏу,കൂമ്പാരം
310,Reihe::N,кьюкьа,വരി
311,Boot::N,луткка,ബോട്ട്
312,Ruder::N,весло,പങ്കായം
313,Ruder::N,чӏатӏа,പങ്കായം
314,Schlitten::N,чана,ഉരുളില്ലാവണ്ടി
315,Schlitten::N,санкка,ഉരുളില്ലാവണ്ടി
316,Ski::N,лижарду,ഹിമപാദുകം
317,Lagerfeuer::N,къавтӏн,തീ
318,Last::N,гьиву,ഭാരം
319,Gang::N,нанаву,നടത്തം
320,Schritt::N,ша,ചുവട്
321,Norden::N,ухссав,വടക്ക്
322,Norden::N,ухссавнил чулухалу,വടക്ക്
323,Süden::N,кьилва,തെക്ക്
324,Westen::N,баргълагавал,പടിഞ്ഞാറ്
325,Westen::N,баргълагавал чул,പടിഞ്ഞാറ്
326,Osten::N,баргъбуккай чулухалу,കിഴക്ക്
327,Holz::N,тӏама,തടി
328,Brett::N,тахта,ബോർഡ്
329,Platte::N,гъуни,തകിട്
330,Stütze::N,гьалакӏу,താങ്ങ്
331,Stange::N,къазихъ,കമ്പ്
332,Stock::N,ттархь,വടി
333,Stab::N,ччантӏакъу,കുറുവടി
334,Rohr::N,бургъу,കുഴൽ
335,Haus::N,къатта,വീട്
336,Heim::N,къатта,വീട്
337,Ofen::N,пач,സ്റ്റൌ
338,Fußboden::N,чӏанкъатта,തറ
339,Tisch::N,усттул,മേശ
340,Stuhl::N,кӏану,കസേര
341,Wiege::N,оьрчӏал кӏану,തൊട്ടിൽ
342,Bett::N,тах,കിടക്ക
343,Regal::N,чӏаму,ഷെൽഫ്
344,Kiste::N,яшикӏ,പെട്ടി
345,Kiste::N,къурши,പെട്ടി
346,Fenster::N,чӏавахьулу,ജനൽ
347,Tür::N,нуз,വാതിൽ
348,Tür::N,нузкьун,വാതിൽ
349,Tor::N,къапу,കവാടം
350,Tor::N,дарваза,കവാടം
351,Zaun::N,дайгьузанну,വേലി
352,Dach::N,магъи,മേൽക്കുര
353,Dach::N,цӏиялу,മേൽക്കുര
354,Leiter::N,чуртту,ഏണി
355,Besen::N,чӏатлу,ചൂല്
356,Spaten::N,бил,തൂമ്പ
357,Schaufel::N,чӏатӏа,തൂമ്പ
358,Gabel::N,гьиссилу,മുൾക്കത്തി
359,Löffel::N,къуса,സ്പൂൺ
360,Messer::N,чӏила,കത്തി
361,Nagel::N,мяр,ആണി
362,Netz::N,къери,വല
363,Haken::N,къича,കൊളുത്ത്
364,Griff::N,куяму,കൈപ്പിടി
365,Schloss::N,кьункьула,പൂട്ട്
366,Bild::N,сурат,ചിത്രം
367,Puppe::N,ссихьу,പാവ
368,Beutel::N,чантай,ബാഗ്
369,Bündel::N,гьи,കെട്ട്
370,Bündel::N,къар,കെട്ട്
371,Eimer::N,бадра,ബക്കറ്റ്
372,Deckel::N,къапаза,ഉറ
373,Geschirr::N,пюрунчӏул,പിഞ്ഞാണം
374,Geschirr::N,тӏахӏникӏичӏу,പിഞ്ഞാണം
375,Sack::N,къап,ചാക്ക്
376,Sack::N,дарваг,ചാക്ക്
377,Tasse::N,пижан,കപ്പ്
378,Tasse::N,пинжан,കപ്പ്
379,Tasse::N,инкираччатӏи,കപ്പ്
380,Tasse::N,цинцилттал бушкъап,കപ്പ്
381,Topf::N,кӏункӏур,പാത്രം
382,Kessel::N,чаг,കെറ്റ്ല്
383,Kessel::N,кӏункӏур,കെറ്റ്ല്
384,Essen::N,дукия,ആഹാരസമയം
385,Essen::N,дукин,ആഹാരസമയം
386,Nahrung::N,дукра,ഭക്ഷണം
387,Speise::N,дукра,ഡിഷ്
388,Fleisch::N,дикӏ,മാംസം
389,Getreide::N,къама,ചോളം
390,Brei::N,ккурч,കഞ്ഞി
391,Brot::N,ччатӏ,റോട്ടി
392,Scheibe::N,парча,തുണ്ട്
393,Fett::N,аьгъушиву,കൊഴുപ്പ്
394,Butter::N,нагь,വെണ്ണ
395,Butter::N,лагаву,വെണ്ണ
396,Salz::N,цӏву,ഉപ്പ്
397,Suppe::N,накь,സൂപ്പ്
398,Honig::N,ницӏ,തേൻ
399,Milch::N,накӏ,പാൽ
400,Tee::N,чяй,ചായ
401,Leder::N,бурчу,തുകൽ
402,Wolle::N,ппал,കമ്പിളി
403,Stoff::N,янна,തുണി
404,Nadel::N,ххалаххи,സൂചി
405,Faden::N,ххал,നൂല്
406,Knopf::N,банд,ബട്ടൺ
407,Knoten::N,къурхъ,കുരുക്ക്
408,Farbe::N,сир,പെയിൻറ്
409,Kleidung::N,янна,വസ്ത്രങ്ങൾ
410,Kleidung::N,лаххия,വസ്ത്രങ്ങൾ
411,Hemd::N,гьухъа,ഷർട്ട്
412,Kragen::N,дарвач,കുപ്പായക്കഴുത്ത്
413,Ärmel::N,кахха,കുപ്പായക്കൈ
414,Hose::N,хӏажак,ട്രൌസർ
415,Gürtel::N,мухӏлу,ബെൽറ്റ്
416,Mütze::N,кьяпа,തൊപ്പി
417,Stiefel::N,чакма,ബൂട്ട്
418,Ring::N,кӏисса,മോതിരം
419,Band::N,линт,റിബൺ
420,Kamm::N,ттарал,ചീപ്പ്
421,Spiegel::N,дагьани,കണ്ണാടി
422,Riemen::N,эн,സ്ട്രാപ്പ്
423,Schnur::N,хьхьа,ചരട്
424,Decke::N,виргъан,പുതപ്പ്
425,Kissen::N,кӏаралу,തലയിണ
426,Tuch::N,карщи,സ്കാർഫ്
427,Handtuch::N,калихьу,തോർത്ത്
428,Handtuch::N,лажинлихьу,തോർത്ത്
429,Kraft::N,эллаж,ശക്തി
430,Stärke::N,гуж,ശക്തി
431,Gesundheit::N,цӏуллу-сагъшиву,ആരോഗ്യം
432,Krankheit::N,къашайшиву,അസുഖം
433,Schmerz::N,къюву,വേദന
434,Wunde::N,щаву,മുറിവ്
435,Fieber::N,кӏиришиву,പനി
436,Arznei::N,дару,മരുന്ന്
437,Brücke::N,ламу,പാലം
438,Brunnen::N,къуй,കിണർ
439,Weide::N,бизантту,മേച്ചൽ
440,Pfad::N,жегъир ххуллу,വഴി
441,Weg::N,ххуллу,വഴി
442,Straße::N,ххуллу,റോഡ്
443,Dorf::N,щар,ഗ്രാമം
444,Dorf::N,шяравалу,ഗ്രാമം
445,Stadt::N,шагьру,നഗരം
446,Brief::N,чагъар,കത്ത്
447,Buch::N,лу,പുസ്തകം
448,Buchstabe::N,хӏарп,അക്ഷരം
449,Zeitung::N,кказит,വർത്തമാനപത്രം
450,Leben::N,оьрму,ജീവൻ
451,Tod::N,ажал,മരണം
452,Tod::N,бивкӏу,മരണം
453,Tod::N,ивчӏаву,മരണം
454,Grab::N,гьав,ശവക്കുഴി
455,Kirche::N,килиса,പള്ളി
456,Sünde::N,бунагъ,പാപം
457,Gott::N,зал,ദൈവം
458,Arbeiter::N,зузала,ജോലിക്കാരൻ
459,Chef::N,ялувма,മേധാവി
460,Meister::N,усттар,യജമാനൻ
461,Arzt::N,хӏакин,ഡോക്ടർ
462,Lehrer::N,учитель,അധ്യാപകൻ
463,Geld::N,арцу,പണം
464,Geschäft::N,даву,ബിസിനസ്
465,Laden::N,ттучан,കട
466,Preis::N,багъа,വില
467,Ware::N,хъус,ചരക്ക്
468,Nutzen::N,хайр,ലാഭം
469,Nutzen::N,мюнпат,ലാഭം
470,Reichtum::N,давлат,ധനം
471,Reichtum::N,аваданшиву,ധനം
472,Welt::N,дуниял,ലോകം
473,Land::N,билаят,രാജ്യം
474,Staat::N,паччахӏлугъ,രാജ്യം
475,Macht::N,власть,അധികാരം
476,Grenze::N,дазу,അതിർത്തി
477,Krieg::N,дяъви,യുദ്ധം
478,Feind::N,душман,ശത്രു
479,Gewalt::N,къия,അക്രമം
480,Kampf::N,лачӏуи уккаву,പോരാട്ടം
481,Bogen[Waffe]::N,ккуртта,വില്ല്
482,Pfeil::N,чӏатӏаракӏ,അമ്പ്
483,Gewehr::N,ттупанг,തോക്ക്
484,Fehler::N,гъалатӏ,പിശക്
485,Lüge::N,щялмахъ,കള്ളം
486,Schaden::N,зарал,കേടുപാട്
487,Unglück::N,бала,ദൌർഭാഗ്യം
488,Schuld::N,тахсир,തെറ്റ്
489,Alter::N,оьрму,വയസ്സ്
490,Schluss::N,ахир,നിഗമനം
491,Zeit::N,чӏун,സമയം
492,Tag::N,кьини,ദിവസം
493,Morgen::N,кӏюрх,പ്രഭാതം
494,Mittag::N,ахттайн,ഉച്ച
495,Mittag::N,дяахттайн,ഉച്ച
496,Mittag::N,ахттайн чӏун,ഉച്ച
497,Abend::N,маркӏачӏан,സായാഹ്നം
498,Nacht::N,хьхьу,രാത്രി
499,Woche::N,нюжмар,ആഴ്ച
500,Monat::N,барз,മാസം
501,Jahr::N,шин,വർഷം
502,Frühling::N,инт,വസന്തം
503,Sommer::N,гъи,വേനൽ
504,Herbst::N,ссут,ശരത്കാലം
505,Winter::N,кӏи,ശൈത്യം
506,Januar::N,цалчинмур барз,ജനുവരി
507,Februar::N,кӏилчинмур барз,ഫെബ്രുവരി
508,März::N,шамилчинмур барз,മാർച്ച്
509,April::N,апрель,ഏപ്രിൾ മാസം
510,April::N,мукьилчинмур барз,ഏപ്രിൾ മാസം
511,Mai::N,май,മെയ് മാസം
512,Mai::N,ххюлчинмур барз,മെയ് മാസം
513,Juni::N,июнь,ജൂൺ
514,Juni::N,ряххилчинмур барз,ജൂൺ
515,Juli::N,июль,ജൂലൈ
516,Juli::N,Арулчинмур барз,ജൂലൈ
517,August::N,мяйлчинмур барз,ആഗസ്റ്റ്
518,September::N,урчӏилчинмур барз,സെപ്തംബർ
519,Oktober::N,ацӏилчинмур барз,ഒക്ടോബർ
520,November::N,ацӏния цалчинмур барз,നവംബർ
521,Dezember::N,ацӏния кӏилчинмур барз,ഡിസംബർ
522,Montag::N,итин,തിങ്കളാഴ്ച
523,Montag::N,итин кьини,തിങ്കളാഴ്ച
524,Dienstag::N,тталат,ചൊവ്വ
525,Dienstag::N,тталат кьини,ചൊവ്വ
526,Mittwoch::N,арвахӏ,ബുധനാഴ്ച
527,Donnerstag::N,хамис,വ്യാഴാഴ്ച
528,Freitag::N,нюжмар,വെള്ളിയാഴ്ച
529,Freitag::N,нюжмар кьини,വെള്ളിയാഴ്ച
530,Samstag::N,ххуллун,ശനിയാഴ്ച
531,Samstag::N,ххуллун кьини,ശനിയാഴ്ച
532,Sonntag::N,алхӏат,ഞായറാഴ്ച
533,Sonntag::N,алхӏат кьини,ഞായറാഴ്ച
534,groß::A,бугъарасса,വലിയ
535,klein::A,чӏивисса,ചെറിയ
536,lang::A,лахъисса,നീണ്ട
537,kurz::A,кутӏасса,ഹ്രസ്വമായ
538,breit::A,уттасса,വിശാലമായ
539,schmal::A,уттакӏюласса,ഇടുങ്ങിയ
540,dicht::A,ццунсса,നിബിഡമായ
541,dick[Gegenstand]::A,ганзсса,തടിച്ച
542,dünn::A,кӏюласса,മെലിഞ്ഞ
543,fest::A,цӏакьсса,ഉറപ്പുള്ള
544,fest::A,кьянкьасса,ഉറപ്പുള്ള
545,flach::A,баягъисса,പരന്ന
546,flach::A,цӏубакъасса,പരന്ന
547,flach::A,куртӏ дакъасса,പരന്ന
548,glatt::A,дюрчӏусса,മിനുസമുള്ള
549,hart::A,кьянкьасса,കട്ടിയുള്ള
550,weich::A,кӏукӏлусса,മൃദുവായ
551,rund::A,ккурккисса,വട്ടത്തിലുള്ള
552,spitz::A,ярксса,മുനയുള്ള
553,spitz::A,дайлсса,മുനയുള്ള
554,spitz::A,мицӏ бусса,മുനയുള്ള
555,scharf::A,ярксса,മൂർച്ചയുള്ള
556,scharf::A,дайлсса,മൂർച്ചയുള്ള
557,scharf::A,мицӏ бусса,മൂർച്ചയുള്ള
558,stumpf::A,къуркъасса,തുറന്നടിക്കുന്ന
559,schwer::A,кӏусса,ഭാരമുള്ള
560,schön::A,аьнтӏикӏасса,മനോഹരമായ
561,heiß::A,кӏирисса,ചൂടുള്ള
562,warm::A,гъелисса,ചൂടുള്ള
563,kalt::A,дяркъусса,തണുത്ത
564,kühl::A,дюхлулсса,തണുപ്പുള്ള
565,frisch::A,цӏусса,ശുദ്ധമായ
566,feucht::A,атилсса,ഈറനുള്ള
567,feucht::A,хъавтусса,ഈറനുള്ള
568,nass::A,атилсса,നനഞ്ഞ
569,nass::A,хъавтусса,നനഞ്ഞ
570,trocken::A,кьавкьсса,വരണ്ട
571,trocken::A,кьакьан бувсса,വരണ്ട
572,voll::A,бувцӏусса,നിറയെ
573,leer::A,бачӏвасса,ഒഴിഞ്ഞ
574,offen::A,тӏивтӏусса,തുറന്ന
575,geschlossen::A,лавкьусса,അടച്ച
576,sauber::A,марцӏсса,വൃത്തിയുള്ള
577,schmutzig::A,чапалсса,അഴുക്കുനിറഞ്ഞ
578,roh::A,шакъавхьсса,അസംസ്കൃതമായ
579,reif::A,дирсса,പഴുത്ത
580,lecker::A,нахӏусса,രുചികരമായ
581,lecker::A,тӏааьнсса,രുചികരമായ
582,süß::A,нацӏусса,മധുരമുള്ള
583,bitter::A,кьурчӏисса,കടുത്ത
584,sauer::A,туршсса,പുളിപ്പുള്ള
585,hell::A,чаннасса,ജ്വലിക്കുന്ന
586,dunkel::A,цӏансса,ഇരുണ്ട
587,schwarz::A,лухӏисса,കറുത്ത
588,weiß::A,кӏяласса,വെളുത്ത
589,rot::A,ятӏулсса,ചുവന്ന
590,gelb::A,хъахъисса,മഞ്ഞനിറമായ
591,blau::A,някӏсса,നീലനിറമുള്ള
592,grün::A,щюлисса,പച്ചനിറമുള്ള
593,grau::A,оьрусса,ചാരനിറത്തിലുള്ള
594,bunt::A,оьрчӏикӏурисса,വർണ്ണശബളമായ
