,Concept_ID,uz,zh
64,Boden::N,tuproq,地面
65,Erde::N,er,地
66,Staub::N,chang,灰尘
67,Rauch::N,tutun,烟
68,Funke::N,yalt,火花
69,Feuer::N,o't,火
70,Licht::N,yorug',光
71,Schatten::N,soya,影子
72,Wetter::N,havo,天气
73,Nebel::N,tuman,雾
74,Wolke::N,bulut,云
75,Regen::N,yomg'ir,雨
76,Schnee::N,qor,雪
77,Eis::N,muz,冰
78,Frost::N,ajoz,霜冻
79,Kälte::N,ajoz,寒冷
80,Hitze::N,issiq,炎热
81,Raureif::N,qirov,霜
82,Regenbogen::N,kamalak,虹
83,Donner::N,guldur,雷
84,Strömung::N,oqim,水流
85,Tropfen::N,tomchi,滴
86,Schaum::N,ko'pik,泡沫
87,Schmutz::N,gard,赃物
88,See::N,ko'l,湖
89,Sumpf::N,botqoq,沼泽
90,Moor::N,qir-adir,沼泽
91,Wiese::N,o'tzor,草地
92,Wald::N,o'rmon,森林
93,Hügel::N,tepa,丘陵
94,Anhöhe::N,adir,山丘
95,Berg::N,tog',山
96,Gipfel::N,cho'qqi,峰
97,Höhle::N,kavak,洞穴
98,Abhang::N,to'sh,斜坡
99,Quelle::N,buloq,泉
100,Bach::N,o'zan,溪
101,Fluss::N,daryo,河流
102,Ufer::N,sohil,岸
103,Küste::N,qirg'oq,海岸
104,Festland::N,materik,大陆
105,Meer::N,dengiz,海
106,Bucht::N,qo'ltiq,海湾
107,Insel::N,orol,岛
108,Blume::N,gul,花
109,Gras::N,sabza,草
110,Wurzel::N,tub,根
111,Wurzel::N,tomir,根
112,Baum::N,daraxt,树
113,Stamm::N,o'simta,树干
114,Rinde::N,qobiq,树皮
115,Ast::N,shox,树枝
116,Zweig::N,butoq,树枝
117,Blatt::N,barg,叶子
118,Birke::N,qayin,桦木
119,Kiefer[Baum]::N,qarag'ay,松树
120,Weide[Baum]::N,shum,柳树
121,Tanne::N,archa,冷杉
122,Horn::N,mugiz,角
123,Feder::N,par,羽毛
124,Fell::N,mo'yna,皮毛
125,Flügel::N,qanot,翅膀
126,Klaue::N,tirnoq,爪子
127,Kralle::N,tirnoq,爪子
128,Schwanz::N,quyruq,尾巴
129,Ei::N,tuxum,蛋
130,Nest::N,oshyon,巢
131,Bau::N,o'pqon,穴
132,Tier::N,hayvon,动物
133,Herde::N,gala,群
134,Kuh::N,inak,母牛
135,Bulle::N,ho'kiz,公牛
136,Pferd::N,ot,马
137,Schaf::N,qo'y,羊
138,Schwein::N,cho'chqa,猪
139,Hund::N,it,狗
140,Katze::N,mushuk,猫
141,Bär::N,ayiq,熊
142,Eichhörnchen::N,tiyin,松鼠
143,Elch::N,los,麋鹿
144,Fuchs::N,tulki,狐狸
145,Hase::N,kuyon,兔子
146,Maus::N,sichqon,老鼠
147,Wolf::N,bo'ri,狼
148,Vogel::N,qush,鸟
149,Schwarm::N,to'da,群
150,Huhn::N,tovuq,鸡
151,Hahn::N,xo'roz,公鸡
152,Gans::N,g'oz,鹅
153,Adler::N,burgut,鹰
154,Ente::N,o'rdak,鸭
155,Eule::N,boyo'g'li,猫头鹰
156,Kranich::N,turna,鹤
157,Krähe::N,qarg'a,乌鸦
158,Kuckuck::N,kakku,布谷鸟
159,Schwan::N,oqkush,天鹅
160,Fisch::N,baliq,鱼
161,Barsch::N,olabug'a,鲈鱼
162,Hecht::N,cho'rtan,狗鱼
163,Schlange[Tier]::N,ilon,蛇
164,Wurm::N,qurt,蠕虫
165,Spinne::N,o'rgimchak,蜘蛛
166,Ameise::N,chumoli,蚂蚁
167,Laus::N,bit,虱子
168,Mücke::N,chivin,蚊子
169,Fliege::N,pashsha,苍蝇
170,Schmetterling::N,kapalak,蝴蝶
171,Beere::N,meva,将果
172,Apfel::N,olma,苹果
173,Pilz::N,qo'ziqorin,蘑菇
174,Zwiebel::N,piyoz,洋葱
175,Saat::N,äkin,种子
176,Korn::N,zarra,谷粒
177,Heu::N,xashak,干草
178,Schale::N,po'choq,壳
179,Grube::N,co'ra,坑
180,Falle::N,qopqon,圈套
181,Schlinge::N,sirtmoq,活扣
182,Spur::N,iz,踪迹
183,Asche::N,kul,灰烬
184,Dreck::N,kir,污垢
185,Eisen::N,temir,铁
186,Gold::N,tilla,金子
187,Silber::N,kumush,银
188,Kohle::N,ko'mir,煤
189,Glas::N,oyna,玻璃
190,Lehm::N,loy,粘土
191,Sand::N,qum,沙
192,Mensch::N,odam,人
193,Mann::N,ärkak,男子
194,Frau::N,ayol,妇女
195,Kind::N,bola,小孩
196,Kind::N,kichkintoy,小孩
197,Junge::N,bola,男孩
198,Mädchen::N,qiz,女孩
199,Familie::N,oila,家庭
200,Großvater::N,buva,祖父
201,Großvater::N,katta ota,祖父
202,Großmutter::N,buvi,祖母
203,Großmutter::N,katta oyi,祖母
204,Eltern::N,ota-ona,父母
205,Vater::N,ota,父亲
206,Mutter::N,ona,母亲
207,Sohn::N,o'g'il,儿子
208,Tochter::N,qiz,女儿
209,Bruder::N,og'a,兄弟
210,Bruder::N,uka,兄弟
211,Schwester::N,opa,姐妹
212,Schwester::N,singil,姐妹
213,Onkel::N,amaki,伯父
214,Tante::N,amma,阿姨
215,Tante::N,xola,阿姨
216,Ehemann::N,är,丈夫
217,Ehefrau::N,rafiqa,妻子
218,Freude::N,ayish,愉快
219,Gelächter::N,kulgi,大笑
220,Glück::N,saodat,运气
221,Kummer::N,g'am,苦恼
222,Wunsch::N,orzu,愿望
223,Lust::N,rag'bat,乐趣
224,Geist::N,ruh,精神
225,Gedanke::N,fikr,思想
226,Gedächtnis::N,äs,记性
227,Verstand::N,aql,理智
228,Sinn::N,ma'ni,感觉
229,Grund::N,sabab,理由
230,Wahrheit::N,haq,真理
231,Gespräch::N,gap,谈话
232,Märchen::N,ärtak,童话
233,Erzählung::N,rivoyat,故事
234,Nachricht::N,xabar,消息
235,Neuigkeit::N,yangilik,新闻
236,Name::N,ot,名字
237,Rätsel::N,topishmoq,谜语
238,Rede::N,nutq,讲话
239,Sprache::N,til,语言
240,Stimme::N,ovoz,声音
241,Wort::N,so'z,词
242,Zeichen::N,alomat,标记
243,Ruf::N,chaqiriq,呼喊
244,Lärm::N,taraq,噪音
245,Laut::N,tovush,响声
246,Ton::N,un,声音
247,Lied::N,ashula,歌曲
248,Ruhe::N,tinchlik,安静
249,Leute::N,xaloyiq,人们
250,Volk::N,xalq,人民
251,Arbeit::N,ish,劳动
252,Gast::N,mehmon,客人
253,Geschenk::N,hadya,礼物
254,Spiel::N,o'yin,游戏
255,Gesellschaft::N,jamiyat,陪同
256,Hilfe::N,yordam,帮助
257,Freund::N,do'st,朋友
258,Kamerad::N,yo'ldosh,同志
259,Angelegenheit::N,daxl,事情
260,Anzahl::N,son,数目
261,Art::N,tur,种类
262,Stück::N,parcha,块
263,Teil::N,bo'lak,部分
264,Hälfte::N,yarim,一半
265,Kreis::N,aylana,圆
266,Kreuz::N,xoch,十字架
267,Linie::N,liniya,线条
268,Strich::N,chiziq,划
269,Abstand::N,oralik,距离
270,Entfernung::N,uzoqlik,距离
271,Gegend::N,yer,地区
272,Platz::N,oralig,场所
273,Ort::N,joy,地点
274,Seite::N,yon,面
275,Mitte::N,o'rta,中间
276,Gegenstand::N,ashyo,物品
277,Sache::N,buyum,物
278,Rand::N,chek,边
279,Kante::N,tig',棱
280,Ecke::N,burchak,角
281,Spitze::N,uch,尖
282,Ende::N,oxir,结尾
283,Loch::N,teshik,洞
284,Winkel::N,go'sha,角度
285,Muster::N,nusha,模型
286,Größe::N,kattalik,大小
287,Länge::N,uzunlik,长度
288,Höhe::N,yuksaklik,高度
289,Gewicht::N,solmoq,重量
290,Menge::N,miqdor,数量
291,Haufen::N,uyum,堆
292,Reihe::N,saf,行
293,Boot::N,qayiq,小船
294,Ruder::N,äshkak,奖
295,Schlitten::N,chana,雪橇
296,Ski::N,chang'i,雪板
297,Lagerfeuer::N,gulxan,营火
298,Last::N,yuk,负担
299,Gang::N,yurish,行走
300,Schritt::N,qadam,步伐
301,Norden::N,shimol,北
302,Süden::N,janub,南
303,Westen::N,g'arb,西
304,Osten::N,sharq,东
305,Holz::N,yog'och,木材
306,Brett::N,taxta,木板
307,Platte::N,tabaqa,平板
308,Stütze::N,tayanchi,支架
309,Stange::N,qo'noq,杆
310,Stock::N,tayoq,棒
311,Stab::N,gavron,棍
312,Rohr::N,tarnov,管子
313,Haus::N,uy,房屋
314,Heim::N,makon,家
315,Ofen::N,pechka,炉子
316,Fußboden::N,pol,地板
317,Tisch::N,mosa,桌子
318,Stuhl::N,o'rindiq,椅子
319,Wiege::N,beshik,摇蓝
320,Bett::N,yotoq,床
321,Regal::N,tokcha,架子
322,Kiste::N,sandiq,箱子
323,Fenster::N,deraza,窗户
324,Tür::N,äshik,门
325,Tor::N,darvoza,大门
326,Zaun::N,panjara,篱笆
327,Dach::N,tom,屋顶
328,Leiter::N,narvon,梯子
329,Besen::N,supurgi,扫帚
330,Spaten::N,bel,铁锹
331,Schaufel::N,kurak,铁锹
332,Gabel::N,bilka,叉
333,Löffel::N,qoshiq,食匙
334,Messer::N,pichoq,刀
335,Nagel::N,mix,钉子
336,Netz::N,to'r,网
337,Haken::N,ilgak,钩子
338,Griff::N,sop,把柄
339,Griff::N,tutqich,把柄
340,Schloss::N,qulf,锁
341,Bild::N,rasm,图画
342,Figur::N,shakl,人像
343,Puppe::N,ko'g'irchoq,娃娃
344,Beutel::N,to'rva,袋子
345,Bündel::N,bog'lam,捆
346,Tasche::N,kissa,手提包
347,Eimer::N,chelak,桶
348,Deckel::N,qopqoq,盖子
349,Geschirr::N,idish,餐具
350,Sack::N,qop,袋子
351,Tasse::N,piyola,杯子
352,Topf::N,tuvak,锅
353,Kessel::N,qozon,水壶
354,Essen::N,tomoq,进餐
355,Nahrung::N,emak,食物
356,Speise::N,taom,菜肴
357,Fleisch::N,go'sht,肉
358,Getreide::N,g'alla,谷物
359,Brei::N,bo'tqa,粥
360,Brot::N,non,面包
361,Scheibe::N,disk,片
362,Fett::N,moy,脂肪
363,Butter::N,yog',黄油
364,Öl::N,moy,油
365,Salz::N,tuz,盐
366,Suppe::N,sho'rva,汤
367,Honig::N,asal,蜂蜜
368,Milch::N,sut,奶
369,Tee::N,choy,茶
370,Leder::N,charm,皮革
371,Wolle::N,jun,毛线
372,Stoff::N,mato,织物
373,Nadel::N,igna,针
374,Faden::N,ip,线
375,Knopf::N,tugma,纽扣
376,Knoten::N,tugun,结
377,Farbe::N,bo'yok,颜色
378,Kleidung::N,kiyim,衣服
379,Hemd::N,ko'ylak,衬衫
380,Kragen::N,yoqa,领子
381,Ärmel::N,yeng,袖子
382,Hose::N,shim,裤子
383,Gürtel::N,tasma,腰带
384,Mütze::N,shapka,帽子
385,Schuh::N,but,鞋
386,Stiefel::N,botinka,靴子
387,Ring::N,yuzuk,戒指
388,Band::N,rishta,带子
389,Kamm::N,taroq,梳子
390,Spiegel::N,ko'zgu,镜子
391,Riemen::N,qayish,皮带
392,Schnur::N,bog'ich,绳子
393,Leine::N,etak,皮带
394,Decke::N,odyol,被子
395,Kissen::N,yostiq,软垫
396,Tuch::N,gazlama,巾
397,Handtuch::N,sochiq,手巾
398,Kraft::N,kuch,力
399,Stärke::N,quvvat,力量
400,Gesundheit::N,sog'lik,健康
401,Krankheit::N,kasallik,病
402,Schmerz::N,og'riq,痛
403,Wunde::N,yara,伤口
404,Fieber::N,bezgak,发烧
405,Arznei::N,dori,药
406,Brücke::N,ko'prik,桥
407,Brunnen::N,buloq,井
408,Weide::N,yaylov,牧场
409,Pfad::N,dorojka,小路
410,Weg::N,yo'l,路
411,Straße::N,ko'cha,街
412,Dorf::N,ovul,村庄
413,Stadt::N,shahar,城市
414,Brief::N,maktub,信
415,Buch::N,kitob,书
416,Buchstabe::N,harf,字母
417,Zeitung::N,gazet,报纸
418,Leben::N,hayot,生命
419,Tod::N,o'lim,死亡
420,Grab::N,go'r,坟墓
421,Kirche::N,cherkov,教堂
422,Sünde::N,gunoh,罪
423,Gott::N,olloh,上帝
424,Arbeiter::N,ishchi,工人
425,Chef::N,rais,上司
426,Meister::N,usta,师傅
427,Arzt::N,hakim,医生
428,Lehrer::N,muallim,教师
429,Geld::N,pul,钱
430,Geschäft::N,savdo,交易
431,Laden::N,do'kon,商店
432,Preis::N,baho,价格
433,Ware::N,mol,商品
434,Nutzen::N,foyda,好处
435,Reichtum::N,boylik,财富
436,Welt::N,olam,世界
437,Land::N,o'lka,国家
438,Staat::N,davlat,国家
439,König::N,qirol,国王
440,Macht::N,iqtidor,权力
441,Grenze::N,chegara,边界
442,Krieg::N,harb,战争
443,Feind::N,dushman,敌人
444,Gewalt::N,zo'rlik,暴力
445,Kampf::N,kurash,战斗
446,Bogen[Waffe]::N,yoy,弓
447,Pfeil::N,o'q,箭
448,Gewehr::N,vintovka,枪
449,Fehler::N,xato,错误
450,Lüge::N,yolg'on,谎话
451,Schaden::N,ziyon,损失
452,Unglück::N,balo,不幸
453,Schuld::N,ayb,过错
454,Alter::N,yosh,年龄
455,Schluss::N,tamom,结束
456,Zeit::N,vaqt,时间
457,Tag::N,kun,天
458,Morgen::N,saboh,早晨
459,Mittag::N,kun tushlik,中午
460,Abend::N,oqshom,晚上
461,Nacht::N,tun,夜
462,Woche::N,hafta,星期
463,Monat::N,oy,月
464,Jahr::N,yil,年
465,Frühling::N,bahor,春天
466,Sommer::N,yoz,夏天
467,Herbst::N,kuz,秋天
468,Herbst::N,xazon,秋天
469,Winter::N,qish,冬天
470,Januar::N,yanvar',一月
471,Februar::N,fevral',二月
472,März::N,mart,三月
473,April::N,aprel',四月
474,Mai::N,may,五月
475,Juni::N,iyun',六月
476,Juli::N,iyul',七月
477,August::N,avgust,八月
478,September::N,sentyabr',九月
479,Oktober::N,oktyabr',十月
480,November::N,noyabr',十一月
481,Dezember::N,dekabr',十二月
482,Montag::N,dushanba,星期一
483,Dienstag::N,seshanba,星期二
484,Mittwoch::N,chorshanba,星期三
485,Donnerstag::N,payshanba,星期四
486,Freitag::N,juma,星期五
487,Samstag::N,shanba,星期六
488,Sonntag::N,yakshanba,星期日
489,groß::A,buyuk,大
490,klein::A,kichik,小
491,lang::A,uzun,长
492,kurz::A,qisqa,短
493,breit::A,keng,宽
494,schmal::A,änsiz,细长的
495,dicht::A,quyuq,密
496,dick[Gegenstand]::A,qalin,厚
497,dünn::A,ingichka,薄
498,fein::A,mayin,细小
499,fest::A,qattiq,固体
500,flach::A,yalpoq,平坦
501,glatt::A,tekis,光滑
502,hart::A,qattiq,硬
503,weich::A,yumshoq,软
504,rund::A,yumaloq,圆
505,spitz::A,uchli,尖
506,scharf::A,keskir,锋利
507,stumpf::A,to'mtoq,钝
508,schwer::A,salmoqli,重
509,schön::A,go'zal,美丽
510,heiß::A,qiziq,烫
511,warm::A,issiq,暖和
512,kalt::A,sovuq,冷
513,kühl::A,salqin,凉
514,frisch::A,toza,新鲜
515,feucht::A,namli,潮湿
516,nass::A,nam,湿
517,trocken::A,quruq,干
518,voll::A,to'la,满
519,leer::A,puch,空
520,offen::A,ochiq,敞开
521,geschlossen::A,berk,关闭
522,sauber::A,ozoda,干净
523,schmutzig::A,kir,肮脏
524,roh::A,xom,生
525,reif::A,pishiq,成熟
526,lecker::A,shirin,好吃
527,süß::A,shirin,甜
528,bitter::A,achchiq,苦
529,sauer::A,achchiq,酸
530,hell::A,yorug',亮
531,dunkel::A,qorong'i,阴暗
532,schwarz::A,qora,黑
533,weiß::A,oq,白
534,rot::A,qizil,红
535,gelb::A,sariq,黄
536,blau::A,zangori,蓝
537,grün::A,yashil,绿
538,grau::A,bo'z,灰色
539,bunt::A,ola,五彩
540,billig::A,arzon,便宜
541,teuer::A,qimmat,贵
542,wertvoll::A,qimmat,贵重
543,blind::A,ko'r,瞎
544,taub::A,garang,聋
545,kräftig::A,kuchli,强壮
546,stark::A,quvvatli,强壮
547,schwach::A,kuchsiz,弱
548,fett::A,semiz,胖
549,schlank::A,ingichka,苗条
550,hübsch::A,ko'rkam,漂亮
551,böse::A,yovuz,邪恶
552,dumm::A,aqlsiz,笨
553,faul::A,ärinchak,懒惰
554,fleißig::A,ishchan,勤奋
555,geizig::A,qurumsoq,吝啬
556,klug::A,oqil,聪明
557,geschickt::A,äpchil,灵巧
558,lieb::A,aziz,可爱
559,lustig::A,chaqchaq,快乐
560,sanft::A,asta,柔和
561,hungrig::A,och,饥饿
562,krank::A,kasal,患病
563,nackt::A,yalang,裸体
564,traurig::A,xafa,悲哀
565,lebendig::A,hayotiy,活
566,gut::A,soz,好
567,schlecht::A,yomon,坏
568,richtig::A,rost,正确
569,schlimm::A,yovuz,糟糕
570,wahr::A,haqiqiy,真
571,alt::A,äski,旧
572,neu::A,yangi,新
573,ehemalig::A,sobiq,以前
574,alt[Lebewesen]::A,qari,老
575,jung::A,navqiron,年轻
576,arm::A,abgor,贫穷
577,reich::A,boy,富裕
578,bekannt::A,ma'lum,出名
579,berühmt::A,mashhur,著名
580,fremd::A,yot,陌生
581,verschieden::A,turli,不同
582,nah::A,yaqindagi,近
583,fern::A,uzoq,遥远
584,linker::A,so'l,左
585,rechter::A,o'ng,右
586,anderer::A,boshqa,别的
587,erster::A,birinchi,第一
588,zweiter::A,ikkinchi,第二
589,dritter::A,uchinchi,第三
590,letzter::A,oxirgi,最后
591,allein::ADV,o'zicha,单独
592,auf einmal::ADV,varakay,同时
593,zusammen::ADV,barobar,一起
594,lange::ADV,uzoq,许久
595,plötzlich::ADV,qo'qqisdan,忽然
596,sofort::ADV,darrov,立刻
597,später::ADV,so'ngra,以后
598,jetzt::ADV,hozirgina,现在
599,heute::ADV,bugun,今天
600,morgen::ADV,ärta,明天
601,bald::ADV,toz,即将
602,dann::ADV,keyin,然后
603,gestern::ADV,kecha,昨天
604,einst::ADV,avvallari,曾经
605,damals::ADV,ugal,当时
606,danach::ADV,so'ngra,随后
607,vorher::ADV,avval,事先
608,zuerst::ADV,avval,首先
609,einmal::ADV,bir marta,一次
610,manchmal::ADV,onda-sonda,有时
611,oft::ADV,tez-tez,时常
612,immer::ADV,har vaqt,总是
613,niemals::ADV,hargiz,从未
614,hier::ADV,shu erda,这里
615,hierhin::ADV,beri,到这里
616,von hier::ADV,shu erdan,由此
617,dort::ADV,ana,那里
618,dorthin::ADV,u yerga,到那里
619,geradeaus::ADV,to'g'ri,一直往前
620,vorwärts::ADV,ilgari,向前
621,rückwärts::ADV,qoloq,向后
622,zurück::ADV,orqada,退后
623,unten::ADV,pastda,下面
624,hinab::ADV,tubanga,向下
625,oben::ADV,ustida,上面
626,hinauf::ADV,yuqorida,向上
627,überall::ADV,har erda,到处
628,nicht::ADV,ämas,不
629,ein wenig::ADV,biroz,一点儿
630,kaum::ADV,arang,几乎不
631,sehr::ADV,ancha,很
632,so::ADV,shunday,如此
633,noch::ADV,hali,还
634,nur::ADV,yolg'iz,只
635,schon::ADV,endi,已经
636,wieder::ADV,yana,又
637,vergebens::ADV,bekorga,
638,vor::PRP,burun,在...面前
639,hinter::PRP,ketida,在...背后
640,unter::PRP,ostida,在...下面
641,durch::PRP,bo'ylab,穿过
642,neben::PRP,yonida,在...旁
643,zwischen::PRP,orada,在...之间
644,wegen::PRP,sababli,由于
645,dies::PRN,o'sha,这
646,das::PRN,narigi,那
647,alles::PRN,har nima,一切
648,ich::PRN,men,我
649,du::PRN,sen,你
650,er::PRN,u,他
651,wir::PRN,biz,我们
652,ihr::PRN,siz,你们
653,sie::PRN,ular,她
654,was::FPRN,nima,什么
655,wer::FPRN,kim,谁
656,wo::FADV,qaerda,哪里
657,wohin::FADV,qayerga,去哪里
658,wie::FADV,qanday,怎么
659,warum::FADV,nega,为什么
660,wieviel::FNUM,qancha,多少
661,eins::NUM,bir,一
662,zwei::NUM,ikki,二
663,drei::NUM,uch,三
664,vier::NUM,to'rt,四
665,fünf::NUM,besh,五
666,sechs::NUM,olti,六
667,sieben::NUM,etti,七
668,acht::NUM,sakkiz,八
669,neun::NUM,to'qqiz,九
670,zehn::NUM,o'n,十
671,elf::NUM,o'n bir,十一
672,zwölf::NUM,o'n ikki,十二
673,zwanzig::NUM,yigirma,二十
674,dreißig::NUM,o'ttiz,三十
675,vierzig::NUM,qirq,四十
676,fünfzig::NUM,ällik,五十
677,sechzig::NUM,oltmish,六十
678,siebzig::NUM,etmish,七十
679,achtzig::NUM,sakson,八十
680,neunzig::NUM,to'qson,九十
681,hundert::NUM,yuz,百
682,tausend::NUM,ming,千
683,und::CNJ,va,和
684,oder::CNJ,yo,或者
685,stehen::V,turmoq,站
686,sitzen::V,o'tirmoq,坐
687,liegen::V,yotmoq,躺着
688,hängen::V,osilmoq,挂着
689,werden::V,bo'lmoq,成为
690,passieren::V,bo'lib o'tmoq,发生
691,beginnen::V,boshlanmoq,开始
692,enden::V,bitmoq,终止
693,wechseln::V,o'zgarmoq,变迁
694,aufgehen[Sonne]::V,chiqmoq,升起
695,untergehen[Sonne]::V,botmoq,下落
696,scheinen[Sonne]::V,yaraqlamoq,照射
697,donnern::V,gulduramoq,打雷
698,wehen::V,elpimoq,飘扬
699,strömen::V,oqmoq,流
700,fließen::V,oqmoq,流动
701,sich drehen::V,aylanmoq,转动
702,schwanken::V,qoqilmoq,摇摆
703,schwingen::V,lopillamoq,摇
704,fallen::V,tushmoq,坠落
705,brennen::V,yonmoq,燃烧
706,rauchen::V,tutamoq,冒烟
707,regnen::V,yomg'ir yog'moq,下雨
708,gefrieren::V,muzlamoq,结冰
709,tauen::V,ärimoq,融化
710,schmelzen::V,ärimoq,溶化
711,trocknen::V,qurimoq,变干
712,sieden::V,qaynamoq,煮
713,faulen::V,chirimoq,腐烂
714,verfaulen::V,chirimoq,腐烂
715,reißen::V,qayt qilmoq,撕
716,versinken::V,g'arq bo'lmoq,下沉
717,vergehen::V,o'tmoq,流逝
718,erscheinen::V,zuhur ätmoq,出现
719,verschwinden::V,yo'qolmoq,消失
720,sinken::V,pasaymoq,下降
721,abnehmen::V,kamaymoq,减少
722,zunehmen::V,urchimoq,增加
723,steigen::V,oshmoq,上升
724,wachsen::V,o'smoq,生长
725,glänzen::V,porlamoq,发光
726,funkeln::V,yalt ätmoq,闪烁
727,lärmen::V,taraq ätmoq,吵闹
728,läuten::V,jiringlamoq,响
729,klingeln::V,jiringlamoq,按铃
730,klirren::V,sharaqlamoq,
731,brausen::V,vag'illamoq,疾驶
732,rauschen::V,shitirlamoq,
733,klingen::V,yangramoq,听起来
734,bellen::V,hurmoq,吠
735,heulen::V,uvlamoq,嗥
736,blasen::V,puflamoq,吹
737,pfeifen::V,xushtak chalmoq ,吹口哨
738,schreien::V,qiyqirmoq,叫喊
739,stöhnen::V,nola qilmoq,呻吟
740,zittern::V,titramoq,颤抖
741,leben::V,yashamoq,生存
742,geboren werden::V,tug'ilmoq,出生
743,atmen::V,nafas chiqarmoq,呼吸
744,trinken::V,ichmoq,喝
745,essen::V,emoq,吃
746,schlucken::V,yutmoq,咽
747,müde werden::V,horimoq,疲倦
748,einschlafen::V,uxlab qolmoq,入睡
749,schlafen::V,uxlamoq,睡觉
750,aufwachen::V,uyg'onmoq,睡醒
751,aufstehen::V,qo'pmoq,起床
752,sich erholen::V,dam olmoq,休养
753,krank werden::V,kasallanmoq,生病
754,krank sein::V,betob yotmoq,生病
755,schmerzen::V,og'rimoq,疼痛
756,husten::V,yo'talmoq,咳
757,genesen::V,tuzalmoq,痊愈
758,sterben::V,o'lmoq,死
759,umkommen::V,halok bo'lmoq,丧命
760,sich bewegen::V,harakat qilmoq,移动
761,sich rühren::V,qimirlamoq,动弹
762,sich erheben::V,qo'pmoq,站起
763,sich setzen::V,o'tirmoq,坐
764,hinfallen::V,yiqilmoq,跌倒
765,laufen::V,yurmoq,步行
766,schreiten::V,yurmoq,迈步
767,spazierengehen::V,sayr ätmoq,散步
768,eilen::V,tezlamoq,急忙
769,sich beeilen::V,shoshmoq,赶快
770,sausen::V,chopqillamoq,疾驰
771,rennen::V,yugurmoq,奔跑
772,springen::V,sakramoq,跳
773,klettern::V,yuqorilamoq,攀缘
774,schaukeln::V,irg'amoq,荡秋千
775,kriechen::V,ämaklamoq,爬行
776,schwimmen::V,suzmoq,游泳
777,tauchen::V,chu'mmoq,潜水
778,rudern::V,eshkak eshmoq,划船
779,fahren::V,haydamoq,行驶
780,fliegen::V,uchmoq,飞
781,gehen::V,bormoq,走
782,weggehen::V,ketoq,离去
783,abfahren::V,jo'namoq,出发
784,anhalten::V,to'xtamoq,停住
785,hineingehen::V,kirmoq,进去
786,eintreten::V,kirmoq,进入
787,kommen::V,kelmoq,来
788,ankommen::V,etib kelmoq,到达
789,zurückkommen::V,qaytib kelmoq,回来
790,bleiben::V,qolmoq,停留
791,warten::V,poylamoq,等
792,erwarten::V,kutmoq,等候
793,suchen::V,izlamoq,找
794,finden::V,topmoq,找到
795,versuchen::V,chalishmoq,尝试
796,vorbereiten::V,hozirlamoq,预备
797,lieben::V,sevmoq,爱
798,mögen::V,ardoqlamoq,喜欢
799,lachen::V,kulmoq,笑
800,rühren::V,ta'sirlantirmoq,
801,weinen::V,yig'lamoq,哭
802,schimpfen::V,koyinmoq,骂
803,sich ärgern::V,g'azab qilmoq,生气
804,sich fürchten::V,hurkmoq,害怕
805,fürchten::V,qo'rqmoq,害怕
806,fliehen::V,qochmoq,逃走
807,flüchten::V,qochmoq,逃跑
808,sehen::V,ko'rmoq,看
809,anschauen::V,razm solmoq,注视
810,ansehen::V,razm qilmoq,注视
811,hören::V,äshitmoq,听
812,zuhören::V,tinglamoq,倾听
