,Concept_ID,bn,xal
214,Großmutter::N,মাতামহী,эмг эк
215,Großmutter::N,মাতামহী,наһц эк
216,Eltern::N,মাতাপিতা,эк эцк хойр
217,Vater::N,পিতা,эцк
218,Mutter::N,মাতা,эк
219,Sohn::N,ছেলে,көвүн
220,Tochter::N,মেয়ে,күүкн
221,Bruder::N,দাদা,дү көвүн
222,Schwester::N,বোন,эгч
223,Schwester::N,বোন,дү күүкн
224,Schwester::N,দিদি,эгч
225,Schwester::N,দিদি,дү күүкн
226,Onkel::N,মামা,авһ
227,Onkel::N,মামা,наһцх
228,Tante::N,মাসী,наһц эгч
229,Ehemann::N,স্বামী,залу
230,Ehefrau::N,পত্নী,гергн
231,Freude::N,উল্লাস,байр
232,Gelächter::N,হাসি,инәдн
233,Glück::N,সুখ,җирһл
234,Glück::N,সুখ,сәәхн җирһл
235,Kummer::N,দুঃখ,зовлң
236,Wunsch::N,আকাঙ্ক্ষা,дурн
237,Lust::N,বাসনা,җилвтлһн
238,Geist::N,আত্না,зөрг
239,Gedanke::N,চিন্তা,ухан
240,Gedächtnis::N,স্মরণশক্তি,чееҗин тодлвр
241,Verstand::N,মন,ухан
242,Sinn::N,পদার্থ,учр-утх
243,Grund::N,কারণ,учр
244,Grund::N,কারণ,шалтан
245,Wahrheit::N,সত্য,үнн
246,Gespräch::N,কথাবার্তা,күүндвүр
247,Märchen::N,রূপকথা,тууль
248,Erzählung::N,গল্প,келвр
249,Nachricht::N,তথ্য,медүллһн
250,Neuigkeit::N,খবরাখবর,зәңг
251,Name::N,নাম,нерн
252,Rätsel::N,ধাঁধা,тәәлвртә тууль
253,Rede::N,বক্তৃতা,келлһн
254,Sprache::N,ভাষা,келн
255,Stimme::N,স্বর,дун
256,Wort::N,শব্দ,үг
257,Zeichen::N,প্রতীক,темдг
258,Ruf::N,ডাক,дуудлһн
259,Lärm::N,হৈচৈ,шууган
260,Laut::N,ধ্বনি,ә
261,Ton::N,স্বর,дун
262,Lied::N,গান,дун
263,Ruhe::N,শান্তি,амулң
264,Leute::N,প্রজাপুঞ্জ,әмтн
265,Volk::N,জাতি,улс
266,Arbeit::N,চাকরি,көдлмш
267,Gast::N,অতিথি,гиич
268,Geschenk::N,উপহার,белг
