,Concept_ID,be,sk
327,Gegend::N,мясцовасць,krajina
328,Platz::N,месца,miesto
329,Ort::N,месца,miesto
330,Seite::N,бок,bok
331,Seite::N,бок,strana
332,Mitte::N,сярэдзіна,stred
333,Gegenstand::N,прадмет,predmet
334,Sache::N,рэч,vec
335,Rand::N,край,kraj
336,Rand::N,край,okraj
337,Kante::N,руб,hrana
338,Kante::N,кант,hrana
339,Ecke::N,вугал,roh
340,Spitze::N,кончык,hrot
341,Spitze::N,кончык,špička
342,Ende::N,канец,koniec
343,Loch::N,дзірка,diera
344,Winkel::N,вугал,kút
345,Muster::N,узор,vzor
346,Muster::N,узор,vzorka
347,Größe::N,памер,veľkosť
348,Länge::N,даўжыня,dĺžka
349,Höhe::N,вышыня,výška
350,Gewicht::N,вага,váha
351,Menge::N,колькасць,množstvo
352,Haufen::N,куча,hŕba
353,Reihe::N,рад,rad
354,Boot::N,лодка,čln
355,Ruder::N,вясло,veslo
356,Schlitten::N,сані,sane
357,Ski::N,лыжа,lyža
358,Lagerfeuer::N,вогнішча,táborák
359,Last::N,цяжар,ťarcha
360,Last::N,цяжар,bremeno
361,Gang::N,ход,chôdza
362,Schritt::N,шаг,krok
363,Schritt::N,крок,krok
364,Norden::N,поўнач,sever
365,Süden::N,поўдзень,juh
366,Westen::N,захад,západ
367,Osten::N,усход,východ
368,Holz::N,дрэва,drevo
369,Holz::N,драўніна,drevo
370,Brett::N,дошка,doska
371,Platte::N,пліта,doska
372,Platte::N,пліта,platňa
373,Stütze::N,падпорка,opora
374,Stange::N,жэрдка,tyč
375,Stock::N,палка,palica
376,Stab::N,шост,palica
377,Rohr::N,труба,rúra
378,Haus::N,дом,dom
379,Heim::N,дом,domov
380,Heim::N,хата,domov
381,Ofen::N,печ,pec
382,Ofen::N,печ,kachle
383,Fußboden::N,падлога,dlážka
384,Fußboden::N,падлога,podlaha
385,Tisch::N,стол,stôl
386,Stuhl::N,стул,stolička
387,Stuhl::N,крэсла,stolička
388,Wiege::N,калыска,kolíska
389,Bett::N,ложак,lôžko
390,Bett::N,ложак,posteľ
391,Bett::N,пасцель,lôžko
392,Bett::N,пасцель,posteľ
393,Regal::N,паліца,regál
394,Regal::N,паліца,polica
395,Kiste::N,скрынка,debna
396,Fenster::N,акно,okno
397,Fenster::N,акно,oblok
398,Tür::N,дзверы,dvere
399,Tor::N,вароты,vráta
400,Zaun::N,агароджа,plot
