,Concept_ID,ku,ce
152,Bär::N,hirç,ча
153,Eichhörnchen::N,pilûr,тарсал
154,Elch::N,pazkovî,сай
155,Fuchs::N,rovî,цхьогал
156,Hase::N,kîroşk,пхьагал
157,Maus::N,mişk,дахка
158,Wolf::N,gur,борз
159,Vogel::N,çûk,олхазар
160,Schwarm::N,lufik,
161,Huhn::N,mirîşk,котам
162,Hahn::N,dîk,нӏаьна
163,Hahn::N,dîk,боргӏал
164,Gans::N,qaz,гӏаз
165,Adler::N,eylo,aьрзу
166,Ente::N,werdek,бад
167,Eule::N,bûm,бухӏа
168,Eule::N,kund,бухӏа
169,Kranich::N,quling,гӏаргӏули
170,Krähe::N,qijik,къиг
171,Kuckuck::N,pepûk,aттйокх
172,Schwan::N,qû,гӏургӏаз
173,Fisch::N,masî,чӏара
174,Barsch::N,okûn,окунь
175,Hecht::N,mesîyê lûf,гӏазкхийн чӏара
176,Schlange[Tier]::N,mar,лаьхьа
177,Wurm::N,kurm,нӏаьна
178,Spinne::N,pîrê,гезг
179,Ameise::N,mîro,зингат
180,Ameise::N,gêrîk,зингат
181,Laus::N,spi,меза
182,Laus::N,spi,гӏениг
183,Mücke::N,mêş,чуьрк
184,Fliege::N,mêş,моза
185,Schmetterling::N,perperîk,полла
186,Beere::N,hirç,цӏазам
187,Apfel::N,sêv,ӏаж
188,Pilz::N,bîrov,жӏаьлин нускал
189,Zwiebel::N,pîvaz,xох
190,Saat::N,tov,чlу
191,Korn::N,dexl,буьртиг
192,Heu::N,sap,йол
193,Schale::N,qaşik,пардо
194,Grube::N,çahl,ор
195,Falle::N,dafik,кӏело
196,Schlinge::N,dahf,
197,Spur::N,rêç,лар
198,Asche::N,xweli,чим
199,Dreck::N,gemarî,мода
200,Eisen::N,hesing,эчиг
201,Gold::N,zêr,деши
202,Silber::N,zîv,дети
203,Kohle::N,komir,кӏора
204,Glas::N,qedeh,aнгали
205,Lehm::N,kelpîç,поппар
206,Sand::N,qûm,гӏум
207,Mensch::N,mirov,адам
208,Mann::N,mêr,майра
209,Frau::N,jin,зуда
210,Kind::N,zarok,бер
211,Junge::N,kur,жимха
212,Mädchen::N,keç,жима йоӏ
213,Mädchen::N,keçik,жима йоӏ
214,Familie::N,malbat,доьзал
215,Großvater::N,bapîr,ненада
216,Großmutter::N,pîrik,денана
217,Eltern::N,bavudê,да-нана
218,Vater::N,bav,да
219,Mutter::N,dê,нана
220,Mutter::N,dayik,нана
221,Sohn::N,kur,кӏант
222,Tochter::N,keç,йоӏ
223,Bruder::N,bira,ваша
224,Schwester::N,xweh,йиша
225,Onkel::N,am,деваша
226,Onkel::N,xal,деваша
227,Tante::N,metik,дейиша
228,Tante::N,xaltîk,дейиша
229,Ehemann::N,mêr,майра
230,Ehefrau::N,kulfet,зуда
231,Freude::N,kêfxweşî,самукъа
232,Freude::N,kêfxweşî,хазахетар
233,Gelächter::N,pîrqînî,белам
234,Glück::N,bext,ирс
235,Kummer::N,derd,бала
236,Wunsch::N,daxwaz,лаам
237,Wunsch::N,xwestek,лаам
238,Lust::N,şewq,лаам
239,Geist::N,aqil,са
240,Gedanke::N,fikir,ойла
241,Gedächtnis::N,aqil,диццадалар
242,Verstand::N,fêm,хьекъал
243,Sinn::N,aqil,маьӏна
244,Grund::N,asas,бахьана
245,Wahrheit::N,rastî,бакъдерг
246,Gespräch::N,guftûgo,къамел
247,Märchen::N,çirok,туьйра
248,Erzählung::N,çirok,дийцар
249,Erzählung::N,vegotin,дийцар
250,Nachricht::N,nûçe,хаам
251,Neuigkeit::N,hewal,керланиг
252,Name::N,nav,цӏе
253,Name::N,paşnav,цӏе
254,Rätsel::N,tiştonek,хӏетал-метал
255,Rede::N,gotar,къамел
256,Rede::N,axavtin,къамел
257,Sprache::N,ziman,мотт
258,Stimme::N,pejn,aз
259,Wort::N,gotin,дош
260,Zeichen::N,şanek,билгало
261,Ruf::N,hawar,кхайкхар
262,Lärm::N,xarbalix,гӏовгӏа
263,Laut::N,deng,аз
264,Laut::N,hês,аз
265,Ton::N,awaz,aз
266,Lied::N,sitran,илли
267,Ruhe::N,rihetî,тийналла
268,Leute::N,xelk,нах
269,Volk::N,xelk,халкъ
270,Arbeit::N,xebat,болх
271,Gast::N,mêvan,хьаша
272,Geschenk::N,diyarî,совгӏат
273,Spiel::N,lîstik,ловзар
274,Gesellschaft::N,komal,юкъаралла
275,Hilfe::N,alîkarî,гӏо
276,Freund::N,heval,доттагl
277,Kamerad::N,heval,накъост
278,Angelegenheit::N,pirsgirêk,гӏуллакх
279,Anzahl::N,çend,терахь
280,Art::N,çeh,
281,Stück::N,lib,юьхк
282,Stück::N,parçe,юьхк
283,Teil::N,parçe,дакъа
284,Hälfte::N,nîvî,ах
285,Kreis::N,çemil,го
286,Kreuz::N,xaç,жӏара
287,Linie::N,xezik,сиз
288,Strich::N,xezik,сиз
289,Abstand::N,dûrahî,юкъ
290,Entfernung::N,dûrahî,
291,Gegend::N,dever,мeттиг
292,Platz::N,çih,майда
293,Ort::N,dever,меттиг
294,Seite::N,rûpel,aгӏo
295,Mitte::N,nav,юкъ
296,Mitte::N,nabênê,юкъ
297,Gegenstand::N,tişt,хӏума
298,Sache::N,tişt,хӏума
299,Rand::N,kevî,йист
300,Kante::N,kevî,йист
301,Ecke::N,qunç,са
302,Spitze::N,derzî,ралла
303,Ende::N,talî,юьхьиг
304,Loch::N,qul,ӏуьрг
305,Winkel::N,kurnîşk,са
306,Muster::N,desen,дагар
307,Muster::N,desen,тӏамар
308,Größe::N,mezinî,барам
309,Länge::N,dirêjahî,йохалла
310,Höhe::N,bilindayî,локхалла
311,Gewicht::N,giranî,йозалла
312,Menge::N,qas,дукхалла
313,Haufen::N,lod,сал
314,Haufen::N,lod,оьла
315,Reihe::N,rêz,рагӏ
316,Reihe::N,rêz,могӏа
317,Boot::N,kelek,кема
318,Ruder::N,bêrik,пийсиг
319,Schlitten::N,xîjik,салаз
320,Ski::N,lakan,когсалаз
321,Lagerfeuer::N,agir,цӏе
322,Last::N,bar,дукъ
323,Gang::N,fîtêz,лелар
324,Schritt::N,gav,гӏулч
325,Norden::N,bakur,къилбаседе
326,Süden::N,başur,къилбе
327,Westen::N,rojava,малхбузе
328,Osten::N,rojhilat,малхбале
329,Holz::N,dep,дечиг
330,Brett::N,dep,у
331,Platte::N,dep,у
332,Stütze::N,destek,гӏopтоp
333,Stange::N,sing,гӏуркх
334,Stock::N,çam,ӏаса
335,Stab::N,qat,гӏаж
336,Rohr::N,borî,биргӏа
337,Haus::N,mal,цӏа
338,Haus::N,xanî,цӏа
339,Heim::N,mal,кхерч
340,Ofen::N,sobe,кхерч
341,Fußboden::N,binpê,цӏенкъа
342,Tisch::N,mase,шун
343,Stuhl::N,kursî,гӏант
344,Wiege::N,derguş,ага
345,Bett::N,qerewêle,маьнга
346,Regal::N,rêbaz,терхи
347,Kiste::N,sindoq,яьшка
348,Fenster::N,çam,кор
349,Fenster::N,şibeke,кор
350,Tür::N,derî,неӏ
351,Tor::N,derge,ков
352,Zaun::N,hejik,керт
353,Dach::N,sere xanî,тхов
354,Leiter::N,pêling,лами
355,Besen::N,melkes,нуй
356,Spaten::N,mer,бел
357,Schaufel::N,bêr,аьшкал
358,Gabel::N,çetel,мӏара
359,Löffel::N,kevçî,ӏайг
360,Messer::N,kêr,урс
361,Nagel::N,bizmar,хьостам
362,Netz::N,tor,бой
363,Haken::N,çenqel,мӏара
364,Griff::N,destî,
365,Schloss::N,qonax,чӏега
366,Bild::N,dimen,сурт
367,Figur::N,figûr,
368,Puppe::N,bûk,тайниг
369,Beutel::N,kîsik,гали
370,Bündel::N,pêçek,кочар
371,Tasche::N,bêrîk,тӏоьрмиг
372,Eimer::N,dewl,чийлик
373,Deckel::N,devik,негӏар
374,Geschirr::N,ferax,пхьегӏа
375,Sack::N,tûr,гали
376,Tasse::N,kada,кад
377,Topf::N,beroş,яй
378,Kessel::N,şîril,яй
379,Essen::N,xwarin,юург
380,Nahrung::N,xwarin,кхача
381,Speise::N,xwarin,юург
382,Fleisch::N,goşt,жижиг
383,Getreide::N,zad,буьртиг
384,Brei::N,hewdêl,xудар
385,Brot::N,,бепиг
386,Brot::N,,кхаллар
387,Scheibe::N,parçe,цастар
388,Fett::N,rûn,мохь
389,Butter::N,rûn,налха
390,Öl::N,rûn,даьтта
391,Salz::N,xwe,туьха
392,Suppe::N,şorbe,чорпа
393,Honig::N,hingiv,моз
394,Milch::N,şîr,шура
395,Tee::N,çay,чай
396,Leder::N,çerm,цӏока
397,Wolle::N,herî,тӏapгӏa
398,Stoff::N,paç,кӏади
399,Nadel::N,derzî,маха
400,Faden::N,ta,тай
401,Knopf::N,bişkok,нуьйда
402,Knoten::N,girêk,шад
403,Farbe::N,boyax,сир
404,Farbe::N,boyax,басар
405,Kleidung::N,çil,бедар
406,Hemd::N,qutik,коч
407,Hemd::N,miltan,коч
408,Kragen::N,stûvang,кач
409,Ärmel::N,hûçik,пхьош
410,Hose::N,şewel,хеча
411,Gürtel::N,qayiş,доьхка
412,Mütze::N,fîno,куй
413,Schuh::N,şêkal,мача
414,Stiefel::N,gizme,этка
415,Stiefel::N,çizme,этка
416,Ring::N,xelek,чӏуг
417,Band::N,band,лента
418,Kamm::N,şeh,ехк
419,Spiegel::N,eynik,куьзга
420,Riemen::N,qayiş,доьхка
421,Schnur::N,doxin,муш
422,Leine::N,şirît,кочатосу доьхка
423,Decke::N,bataniye,юргӏа
424,Kissen::N,balgî,гIайба
425,Tuch::N,şar,исхар
426,Handtuch::N,dezmal,гата
427,Kraft::N,hêz,гӏора
428,Kraft::N,qewet,гӏора
429,Stärke::N,xurtî,гӏап
430,Gesundheit::N,nojdarî,могашалла
431,Krankheit::N,nexweşî,цамгар
432,Schmerz::N,êş,лазар
433,Wunde::N,kul,чов
434,Fieber::N,ta,xорша
435,Arznei::N,derman,молха
436,Brücke::N,kopî,тӏай
437,Brunnen::N,çal,гӏу
438,Brunnen::N,kani,гӏу
439,Weide::N,beyar,дак
440,Pfad::N,xaçirek,тача
441,Weg::N,rê,некъ
442,Straße::N,rê,урам
443,Dorf::N,gund,юрт
444,Stadt::N,baçar,гӏала
445,Brief::N,name,кехат
446,Buch::N,kitêb,жайна
447,Buch::N,pirtûk,жайна
448,Buchstabe::N,herf,элп
449,Zeitung::N,rojname,газет
450,Leben::N,jiyan,дахар
451,Tod::N,mirin,далар
452,Tod::N,mirin,ӏожалла
453,Grab::N,mezel,каш
454,Kirche::N,gilyas,килс
455,Sünde::N,guneh,къа
456,Gott::N,xwedê,дела
457,Arbeiter::N,hîşçî,белхало
458,Chef::N,bêg,хьаькам
459,Meister::N,hoste,говзанча
460,Arzt::N,doktor,лор
461,Lehrer::N,mamoste,хьехархо
462,Geld::N,pere,aхча
463,Geschäft::N,firoşgeh,туька
464,Laden::N,dikan,туька
465,Preis::N,buha,мах
466,Ware::N,tişt,хlума
467,Nutzen::N,fêde,пайда
468,Reichtum::N,serwet,хьал
469,Welt::N,dinya,дуьне
470,Land::N,welat,мохк
471,Staat::N,dewlet,пачхьалкх
472,König::N,şah,паччахь
473,König::N,qral,паччахь
474,Macht::N,qewet,ӏедал
475,Macht::N,destihilat,ӏедал
476,Grenze::N,kevî,доза
477,Krieg::N,çeng,тӏом
478,Krieg::N,sêwaş,тӏом
479,Feind::N,dijmin,мостагӏ
480,Gewalt::N,zor,гӏело
481,Kampf::N,şer,къийсам
482,Bogen[Waffe]::N,kêvan,
483,Pfeil::N,çîrik,пха
484,Gewehr::N,tifing,топ
485,Fehler::N,şaşî,гӏалат
486,Lüge::N,derew,аьшпаш
487,Schaden::N,xisar,зен
488,Unglück::N,bêbextî,бала
489,Schuld::N,suç,бехк
490,Alter::N,temen,хан
491,Schluss::N,girtin,чакхе
492,Zeit::N,çax,хан
493,Tag::N,roj,де
494,Morgen::N,sibeh,ӏуьйре
495,Mittag::N,nîro,делкъе
496,Abend::N,êvar,суьйре
497,Nacht::N,şev,буьйса
498,Woche::N,heftî,кӏира
499,Monat::N,meh,бутт
500,Jahr::N,sal,шо
501,Frühling::N,bihar,бӏаьсте
502,Sommer::N,havîn,аьхке
503,Herbst::N,payîz,гуьйре
504,Winter::N,zistan,ӏа
505,Januar::N,çile,январь
506,Februar::N,sibat,февраль
507,März::N,adar,март
508,April::N,nîsan,апрель
509,Mai::N,gûlan,май
510,Juni::N,hezîran,июнь
511,Juli::N,tîmeh,июль
512,August::N,tebax,август
513,September::N,îlon,сентябрь
514,Oktober::N,çotmeh,октябрь
515,November::N,mijdar,ноябрь
516,Dezember::N,kanûn,декабрь
517,Montag::N,duşemb,оршот
518,Dienstag::N,sêşem,шинара
519,Mittwoch::N,çarşemb,кхаара
520,Donnerstag::N,pêşemb,еара
521,Freitag::N,în,пӏераска
522,Samstag::N,şemî,шот
523,Sonntag::N,yekşemb,кӏиранде
524,groß::A,mezin,доккха
525,klein::A,çûçik,кегий
526,lang::A,dirêj,еха
527,kurz::A,kin,доца
528,breit::A,fireh,шуьйра
529,schmal::A,tenik,готта
530,dicht::A,gir,луьста
531,dick[Gegenstand]::A,şîşman,стомма
532,dünn::A,zirav,дуткъа
533,fein::A,tenik,ховха
534,fest::A,saxlem,чӏогӏа
535,flach::A,pahn,чӏапа
536,glatt::A,dûz,шера
537,glatt::A,şayîk,шера
538,hart::A,hişk,чӏогӏa
539,weich::A,nerm,кӏеда
540,rund::A,gilover,горга
541,spitz::A,pîj,ира
542,scharf::A,tûj,ира
543,stumpf::A,ne tûj,аьртa
544,schwer::A,giran,деза
545,schön::A,xweş,хаза
546,schön::A,xweşik,хаза
547,heiß::A,kelandî,довха
548,warm::A,germ,довха
549,kalt::A,sar,шийла
550,kühl::A,jemîrî,шийла
551,frisch::A,ter,керла
552,feucht::A,şil,тӏуьна
553,nass::A,şilek,тӏеда
554,trocken::A,zuwa,eкъа
555,voll::A,tijî,дуьзна
556,leer::A,vala,яьсса
557,offen::A,vekirî,диллина
558,geschlossen::A,asê,дӏакъевлина
559,geschlossen::A,asê,дӏачӏагӏдина
560,sauber::A,pakij,цӏена
561,schmutzig::A,lewitî,боьха
562,roh::A,xav,буьйда
563,reif::A,gihaştî,хилла
564,lecker::A,xweş,чоме
565,süß::A,şîrîn,мерза
566,bitter::A,tahl,къаьхьа
567,sauer::A,tirş,муьста
568,hell::A,ronî,сирла
569,dunkel::A,tarî,бодане
570,schwarz::A,reş,ӏаьржа
571,weiß::A,sipî,кӏайн
572,rot::A,sor,цӏен
573,gelb::A,zer,можа
574,blau::A,şîn,сийна
575,grün::A,şîn,баьццара
576,grau::A,gewr,cира
577,grau::A,gewr,мокха
578,bunt::A,rengîn,къорза
579,billig::A,erzan,дораха
580,teuer::A,biha,деза
581,wertvoll::A,hêja,мехала
582,wertvoll::A,giranbiha,мехала
583,blind::A,kor,бӏаьрзе
584,taub::A,kerr,къора
585,kräftig::A,gir,нуьцкъала
586,kräftig::A,xurt,нуьцкъала
587,stark::A,xurt,зоьртала
588,stark::A,xurt,нуьцкъала
589,schwach::A,kesad,гӏорасиза
590,fett::A,qelew,дерстана
591,schlank::A,zirav,куц долу
592,hübsch::A,xweşik,хаза
593,böse::A,xerab,вон
594,böse::A,aciz,вон
595,dumm::A,gêj,сонта
596,faul::A,têmbêl,мало ен
597,fleißig::A,jêhatî,тӏера
598,geizig::A,destgirtî,пис
599,geizig::A,destgirtî,сутара
600,klug::A,baqil,хьекъале
601,geschickt::A,zîrek,тӏахъаьлла
602,geschickt::A,ziring,тӏахъаьлла
603,lieb::A,delal,хьоме
604,lustig::A,kêfxweş,самукъане
605,sanft::A,nazenîn,кlеда
606,hungrig::A,birçî,меца
607,krank::A,nexweş,цомгуш долу
608,nackt::A,rût,дерзана
609,nackt::A,tazî,дерзана
610,traurig::A,xemgîn,самукъане воцу
611,lebendig::A,bisaxî,дийна
612,gut::A,baş,дика
613,schlecht::A,xerab,вон
614,richtig::A,rast,нийса
615,richtig::A,saxlem,нийса
616,schlimm::A,nebaş,вон
617,wahr::A,rast,бакъдолу
618,alt::A,pîr,къена
619,alt::A,kevn,къена
620,neu::A,nû,керла
621,ehemalig::A,kevnar,хилла
622,ehemalig::A,peşidar,хилла
623,alt[Lebewesen]::A,pîr,къена
624,jung::A,xort,къона
625,arm::A,feqîr,къен
626,arm::A,desteng,къен
627,reich::A,dewlemend,хьоле
628,bekannt::A,naskirî,девзаш долу
629,berühmt::A,navdar,цӏеяхана
630,fremd::A,xerîb,нехан
631,verschieden::A,çîhê,тайп-тайпанара
632,nah::A,nêzîk,гергара
633,fern::A,dûr,гена
634,fern::A,dûr,генара
635,linker::A,çepê,аьрру
636,rechter::A,rastê,аьтту
637,anderer::A,yê din,кхин
638,erster::A,yekemîn,хьалхара
639,zweiter::A,duda,шолгIа
640,dritter::A,sisêya,кхоалгӏа
641,letzter::A,paşîn,тӏаьххьара
642,allein::ADV,tenê,цхьаъ
643,auf einmal::ADV,jar kê,цу сохьтта
644,zusammen::ADV,tev,цхьана
645,zusammen::ADV,bi hev re,цхьана
646,lange::ADV,dirêj,дукха
647,plötzlich::ADV,ji nişkave,цIеххьана
648,sofort::ADV,yekser,цу сохьтта
649,später::ADV,paşiyê,тӏаьхьо
650,jetzt::ADV,nuha,хӏинца
651,heute::ADV,îro,тахана
652,morgen::ADV,sibeh,кхана
653,bald::ADV,nêzîk,кеста
654,dann::ADV,paşê,тӏаккха
655,gestern::ADV,do,селхана
656,einst::ADV,jar ke,цкъа
657,damals::ADV,hîngî,хӏетахьь
658,danach::ADV,piştra,тӏаккха
659,vorher::ADV,pîşî,хьалхa
660,zuerst::ADV,bere,хьалха
661,einmal::ADV,çarik,цкъа
662,manchmal::ADV,çarna,цкъаццкъа
663,oft::ADV,gelek çaran,кест-кеста
664,immer::ADV,daîm,даим
665,niemals::ADV,tu çar,цкъа а
666,hier::ADV,li vir,кхузахь
667,hierhin::ADV,vir,кхуза
668,von hier::ADV,ji vir,кхузара
669,dort::ADV,li wê derê,цигахь
670,dorthin::ADV,wêda,цига
671,geradeaus::ADV,rastê rast,нийса дӏа
672,vorwärts::ADV,ber bi pêş,хьалха
673,rückwärts::ADV,paşpê,юха
674,zurück::ADV,paşdo,юха
675,zurück::ADV,paşvê,юха
676,unten::ADV,jêrî,лахахь
677,hinab::ADV,berjêr,охьа
678,oben::ADV,banî,лакхахь
679,hinauf::ADV,banî,хьала
680,überall::ADV,li her derê,массанхьа
681,nicht::ADV,ne,ца
682,nicht::ADV,nîn,ца
683,nicht::ADV,tine,ца
684,ein wenig::ADV,hebkî,кӏеззиг
685,kaum::ADV,tema,халла
686,kaum::ADV,himangi,халла
687,sehr::ADV,gelek,вуно
688,so::ADV,weha,
689,noch::ADV,hêj,кхин
690,noch::ADV,dîsa,кхин
691,nur::ADV,tenê,бен ...ца
692,nur::ADV,bes,бен ...ца
693,schon::ADV,hew,хӏинцале
694,wieder::ADV,jar din,юха а
695,wieder::ADV,dîsa,юха а
696,vergebens::ADV,deya çun,эрна
697,vergebens::ADV,îfleh bûn,эрна
698,vor::PRP,li ber,хьалха
699,hinter::PRP,li pişt,тӏехьа
700,unter::PRP,li bin,кIелахь
701,durch::PRP,kura,чекх
702,neben::PRP,li ba,юххе
703,zwischen::PRP,nabeyne,юккъехь
704,zwischen::PRP,di nav...da,юккъехь
705,wegen::PRP,ji bo,дуьхьа
706,wegen::PRP,ji ber,дуьхьа
707,dies::PRN,ev,и
708,dies::PRN,ev,иза
709,das::PRN,ev,и
710,das::PRN,ev,иза
711,alles::PRN,hemû,дерриг
712,ich::PRN,ez,cо
713,du::PRN,tu,хьо
714,er::PRN,wî,и
715,er::PRN,wî,иза
716,wir::PRN,êm,тхо
717,wir::PRN,êm,вай
718,ihr::PRN,hûn,шу
719,sie::PRN,we,уьш
720,was::FPRN,çi,хӏун
721,wer::FPRN,ki,мила
722,wo::FADV,li ku dere,мичaхь
723,wohin::FADV,li ku dere,мича
724,wie::FADV,çawa,муха
725,warum::FADV,çima,хӏунда
726,wieviel::FNUM,çend,мел
727,wieviel::FNUM,çend,маса
728,eins::NUM,yek,цхьаъ
729,zwei::NUM,didu,шиъ
730,drei::NUM,sisê,кхоъ
731,vier::NUM,çar,диъ
732,fünf::NUM,penç,пхиъ
733,sechs::NUM,şeş,ялх
734,sieben::NUM,heft,ворхӏ
735,acht::NUM,heşt,бархӏ
736,neun::NUM,neh,исс
737,zehn::NUM,deh,итт
738,elf::NUM,yazdeh,цхьайтта
739,zwölf::NUM,diwazdeh,шийтта
740,zwanzig::NUM,bîst,ткъа
741,dreißig::NUM,sih,ткъе итт
742,vierzig::NUM,çil,шовзткъа
743,fünfzig::NUM,pençi,шовзткъе итт
744,sechzig::NUM,şêst,кхузткъа
745,siebzig::NUM,heftê,кхузткъе итт
746,achtzig::NUM,heştê,дезткъа
747,neunzig::NUM,nod,дезткъе итт
748,hundert::NUM,sêd,бӏе
749,tausend::NUM,hezar,эзар
750,und::CNJ,û,a
751,oder::CNJ,an,я
752,oder::CNJ,yan,я
753,stehen::V,sekinîn,латта
754,sitzen::V,rûniştin,хиъна ӏан
755,liegen::V,paldan,ӏилла
756,hängen::V,darve kirin,кхаза
757,werden::V,bûn,хила
758,passieren::V,hatin holê,хила
759,passieren::V,hatin serê kesî,хила
760,beginnen::V,li dest pêkirin,доло
761,enden::V,xalas bû,дӏадерза
762,wechseln::V,guherandin,хийца
763,wechseln::V,dêgiş kirin,хийца
764,aufgehen[Sonne]::V,hilatin,кхета
765,untergehen[Sonne]::V,çun ava,чубуза
766,scheinen[Sonne]::V,şewk de,серло яла
767,donnern::V,gire-gir,къекъа
768,wehen::V,ba le de,хьекха
769,strömen::V,xwe girtin,эха
770,fließen::V,herikîn,охьаэха
771,sich drehen::V,xwe zivirandin,хьийза
772,schwanken::V,hejandin,леста
773,schwingen::V,libakirin,лесто
774,fallen::V,ketin,охьакхета
775,brennen::V,şewitîn,дага
776,rauchen::V,kişandin,оза
777,regnen::V,bahran tê,догlа догlу
778,gefrieren::V,qefilandin,гӏоро
779,tauen::V,helandin,даша
780,schmelzen::V,helandin,лала
781,trocknen::V,zuwabûn,дакъо
782,sieden::V,kelîn,кхехка
783,faulen::V,xerabûn,дахкадала
784,verfaulen::V,xerabûn,дахкадала
785,reißen::V,jêkirin,хеда
786,versinken::V,xerq bûn,хичудаха
787,vergehen::V,derbas bûn,дlаэха
788,erscheinen::V,peyda bûn,схьадала
789,erscheinen::V,peyda bûn,ӏоттадала
