,Concept_ID,kk,av
96,Donner::N,күн күркіреу,гъугъай
97,Donner::N,күн күркіреу,гъугъади
98,Strömung::N,ағын,чвахи
99,Tropfen::N,тамшы,резел
100,Tropfen::N,тамшы,тӏинкӏ
101,Tropfen::N,тамшы,къатӏра
102,Tropfen::N,тамшы,тӏенкӏел
103,Schaum::N,көбік,полоп
104,Schmutz::N,кір,чороклъи
105,See::N,көл,хӏор
106,Sumpf::N,саз,хьуцӏ
107,Moor::N,саз,
108,Wiese::N,шалғын,мегъ
109,Wiese::N,шалғын,гӏурдаллъи
110,Wald::N,орман,рохь
111,Hügel::N,төбе,гохӏ
112,Hügel::N,белес,гохӏ
113,Hügel::N,белес-белес,гохӏ
114,Anhöhe::N,дөң,сийитма
115,Anhöhe::N,адыр,сийитма
116,Anhöhe::N,қырат,сийитма
117,Berg::N,тау,мегӏер
118,Gipfel::N,төбе,тӏогь
119,Höhle::N,үңгір,нохъо
120,Abhang::N,бауыр,лабаллъи
121,Quelle::N,қайнар,ицц
122,Bach::N,жылға,лъар
123,Fluss::N,өзен,гӏор
124,Ufer::N,жиек,рагӏал
125,Küste::N,жиегі,рагӏал
126,Küste::N,жағалау,рагӏал
127,Festland::N,құрылық,ракь
128,Festland::N,құрылық,ракъдаллъи
129,Meer::N,теңіз,ралъад
130,Bucht::N,шығанақ,кӏветӏ
131,Insel::N,арал,чӏинкӏиллъи
132,Blume::N,гүл,тӏегь
133,Gras::N,от,хер
134,Wurzel::N,түбір,кьибил
135,Baum::N,ағаш,гъветӏ
136,Baum::N,дарақ,гъветӏ
137,Stamm::N,сояу,рохти
138,Stamm::N,оқпан,рохти
139,Rinde::N,қабық,макъар
140,Ast::N,бұтақ,ноцӏ
141,Zweig::N,шыбық,гӏаркьел
142,Blatt::N,жапырақ,тӏамах
143,Birke::N,қайың,мах
144,Birke::N,қайың,махигъветӏ
145,Kiefer[Baum]::N,қарағай,накӏкӏигъветӏ
146,Weide[Baum]::N,тал,рицӏцӏ
147,Weide[Baum]::N,тал,рицӏцӏигъветӏ
148,Tanne::N,шырша,ёлка
149,Horn::N,мүйіз,лълъар
150,Feder::N,қаламұш,хӏули
151,Fell::N,тері,тӏом
152,Fell::N,тері,цӏоко
153,Flügel::N,қанат,кваркьи
154,Klaue::N,тырнақ,галъ
155,Kralle::N,аяқ,квачӏ
156,Kralle::N,аяқ,катиквачӏ
157,Schwanz::N,құйрық,рачӏ
158,Ei::N,жұмыртқа,хоно
159,Nest::N,ұя,бусен
160,Bau::N,жатақ,каратӏ
161,Tier::N,айуан,хӏайван
162,Tier::N,жануар,хӏайван
163,Herde::N,пада,рехъен
164,Herde::N,пада,рехъед
165,Kuh::N,сиыр,гӏака
166,Bulle::N,өгіз,оц
167,Pferd::N,жылқы,чу
168,Schaf::N,қой,чахъу
169,Schwein::N,шошқа,болъон
170,Hund::N,ит,гьой
171,Katze::N,мысық,кету
172,Bär::N,аю,ци
173,Eichhörnchen::N,тиін,гвангва
174,Elch::N,бұғы,
175,Fuchs::N,түлкі,цер
176,Hase::N,қоян,гӏанкӏ
177,Maus::N,қаптесер,гӏункӏкӏ
178,Wolf::N,бөрі,бацӏ
179,Wolf::N,қасқыр,бацӏ
180,Vogel::N,құс,хӏинчӏ
181,Schwarm::N,топ,тӏел
182,Schwarm::N,үйір,тӏел
183,Huhn::N,тауық,гӏанкӏу
184,Huhn::N,мекиен,гӏанкӏу
185,Hahn::N,әтеш,хӏелеко
186,Hahn::N,қораз,хӏелеко
187,Gans::N,қаз,хъаз
188,Adler::N,бүркіт,цӏум
189,Ente::N,үйрек,ордек
190,Eule::N,жапалақ,беццаруз
191,Kranich::N,тырна,къункъра
192,Krähe::N,қарға,гъеду
193,Kuckuck::N,көкек,гагу
194,Schwan::N,аққу,хӏанкъва
195,Fisch::N,балық,ччугӏа
196,Barsch::N,алабұға,окунь
197,Hecht::N,шортан,щука
198,Schlange[Tier]::N,жылан,борохь
199,Wurm::N,шұбалшаң,хӏапара
200,Spinne::N,өрмекші,хъанхъра
201,Ameise::N,қүмырска,цӏунцӏра
202,Laus::N,бит,нацӏ
203,Mücke::N,маса,кӏкӏара
204,Fliege::N,шыбын,тӏутӏ
205,Schmetterling::N,көбелек,кӏалкӏучӏ
206,Beere::N,жидек,
207,Apfel::N,алма,гӏеч
208,Pilz::N,қозықұйрық,гӏурдахӏан
209,Pilz::N,саңыраукулақ,гӏурдахӏан
210,Zwiebel::N,жуа,кӏочӏопер
211,Saat::N,тұқым,хьон
212,Korn::N,дән,мугь
213,Heu::N,шөп,хер
214,Schale::N,қабық,хъал
215,Schale::N,қабығы,хъал
216,Grube::N,ор,гвенд
217,Falle::N,дұзақ,къор
218,Falle::N,дұзақ,къотен
219,Falle::N,қақпан,къор
220,Falle::N,қақпан,къотен
221,Schlinge::N,ілмек,кӏичӏ
222,Spur::N,із,лъалкӏ
223,Asche::N,күл,рахъу
224,Dreck::N,былғаныш,гъиз
225,Dreck::N,былғаныш,хӏарщ
226,Eisen::N,темір,махх
227,Gold::N,алтын,месед
228,Silber::N,күміс,гӏарац
229,Kohle::N,көмір,тӏурччи
230,Glas::N,шыны,цӏер
231,Lehm::N,балшық,хӏатӏ
232,Sand::N,құм,сали
233,Mensch::N,адам,чи
234,Mann::N,еркек,бихьинчи
235,Mann::N,ер адам,бихьинчи
236,Frau::N,бике,гӏадан
237,Frau::N,қатын,гӏадан
238,Kind::N,бала,лъимер
239,Kind::N,перзент,лъимер
240,Junge::N,бала,вас
241,Junge::N,ер бала,вас
242,Mädchen::N,қыз,яс
243,Familie::N,жанұя,хъизан
244,Großvater::N,ата,кӏудада
245,Großmutter::N,әже,кӏодо
246,Großmutter::N,әжей,кӏодо
247,Eltern::N,ата-аналар,эбел-эмен
248,Vater::N,әке,эмен
249,Mutter::N,ана,эбел
250,Sohn::N,ұл,вас
251,Tochter::N,қызым,яс
252,Bruder::N,бауырым,вац
253,Schwester::N,әпке,яц
254,Onkel::N,көке,даци
255,Tante::N,тәте,ада
256,Ehemann::N,ер,рос
257,Ehefrau::N,зайып,чӏужу
258,Freude::N,қуаныш,ракӏбохи
259,Freude::N,сүйініш,ракӏбохи
260,Freude::N,шат-думан,ракӏбохи
261,Freude::N,қуаныштылық,ракӏбохи
262,Gelächter::N,күлу,релъи
263,Glück::N,бақыт,талихӏ
264,Glück::N,бақыт,талихӏ-рохел
265,Glück::N,бақыттылық,талихӏ
266,Glück::N,бақыттылық,талихӏ-рохел
267,Kummer::N,аза,хӏалкъай
268,Kummer::N,қайғы,хӏалкъай
269,Kummer::N,қасырет,хӏалкъай
270,Wunsch::N,мүдде,къасд
271,Lust::N,тәбет,гъира
272,Lust::N,ынтызар,гъира
273,Lust::N,құштарлық,гъира
274,Geist::N,рух,чӏанкӏ
275,Geist::N,рух,рухӏ-жан
276,Gedanke::N,ой,пикру
277,Gedächtnis::N,ес,
278,Gedächtnis::N,жады,
279,Gedächtnis::N,ақыл-ес,
280,Verstand::N,ақыл,лумалъи
281,Verstand::N,ақыл,цӏодорлъи
282,Verstand::N,парасат,лумалъи
283,Verstand::N,парасат,цӏодорлъи
284,Sinn::N,мән,магӏна
285,Sinn::N,маныз,магӏна
286,Sinn::N,мағына,магӏна
287,Sinn::N,мән-мағына,магӏна
288,Grund::N,себеп,багьана
289,Wahrheit::N,рас,ритӏухълъи
290,Gespräch::N,әңгіме,накъит
291,Märchen::N,ертеп,маргьа
292,Märchen::N,ертек,маргьа
293,Erzählung::N,әңгіме,къиса
294,Nachricht::N,хабар,хабар
295,Neuigkeit::N,жаңалық,хабар-гӏазаб
296,Name::N,ат,цӏар
297,Name::N,атау,цӏар
298,Rätsel::N,жұмбақ,бицанкӏо
299,Rede::N,сөз,речь
300,Rede::N,сөз,калам
301,Sprache::N,тіл,мацӏ
302,Stimme::N,үн,гьаракь
303,Stimme::N,әуен,гьаракь
304,Stimme::N,дауыс,гьаракь
305,Wort::N,сөз,рагӏи
306,Zeichen::N,ишара,ишара
307,Zeichen::N,ишара,гӏаламат
308,Ruf::N,айғай,ахӏи
309,Lärm::N,айғай-шу,хъуй
310,Lärm::N,айғай-шу,хъуди
311,Lärm::N,айғай-ұйғай,хъуй
312,Lärm::N,айғай-ұйғай,хъуди
313,Laut::N,дыбыс,гьаракь
314,Laut::N,дыбыс,сас
315,Laut::N,дауыс,гьаракь
316,Laut::N,дауыс,сас
317,Ton::N,әуен,
318,Lied::N,ән,кечӏ
319,Lied::N,жыр,кечӏ
320,Lied::N,ән-жыр,кечӏ
321,Ruhe::N,тыныштық,рахӏат
322,Leute::N,кісілер,гӏадамал
323,Volk::N,халық,халкъ
324,Arbeit::N,еңбек,хӏалтӏи
325,Gast::N,қонақ,гьобол
326,Gast::N,мейман,гьобол
327,Geschenk::N,қадия,сайигъат
328,Spiel::N,ойын,хӏай
329,Spiel::N,ойын,расанди
330,Gesellschaft::N,қауым,жамагӏат
331,Gesellschaft::N,жұртшылық,жамагӏат
332,Hilfe::N,жэрдем,кумек
333,Freund::N,дос,гьудул
334,Kamerad::N,дос-жар,гьалмагъ
335,Angelegenheit::N,жұмыс,къваригӏел
336,Anzahl::N,сан,рикӏкӏен
337,Anzahl::N,саны,рикӏкӏен
338,Art::N,түр,жинс
339,Stück::N,тілім,кесек
340,Teil::N,үлес,пай
341,Teil::N,бөлшек,пай
342,Hälfte::N,жарты,бащдаб
343,Kreis::N,шеңбер,гор
344,Kreuz::N,крест,хъанч
345,Linie::N,сызық,мухъ
346,Strich::N,сызық,хӏучч
347,Abstand::N,ара,манзил
348,Abstand::N,аралық,манзил
349,Entfernung::N,аралық,манзил
350,Gegend::N,өңір,рахъ
351,Platz::N,орны,бакӏ
352,Ort::N,орын,бакӏ
353,Seite::N,жақ,рахъ
354,Seite::N,бүйір,рахъ
355,Mitte::N,ортасы,бакьулъбакӏ
356,Gegenstand::N,зат,жо
357,Gegenstand::N,нәрсе,жо
358,Sache::N,бұйым,жо
359,Rand::N,шет,мицӏир
360,Rand::N,шеті,мицӏир
361,Kante::N,қыр,рагӏал
362,Kante::N,қыр,рагӏа-ракьан
363,Kante::N,қыры,рагӏал
364,Kante::N,қыры,рагӏа-ракьан
365,Ecke::N,қыры,цили
366,Ecke::N,бұрыш,цили
367,Spitze::N,ұшы,тӏогь
368,Ende::N,аяқ,кӏал
369,Ende::N,соңы,кӏал
370,Loch::N,тесік,каратӏ
371,Winkel::N,мүйіс,
372,Muster::N,мәнер,накъиш
373,Größe::N,ауқым,кӏодо́лъи
374,Größe::N,көлемдік,кӏодо́лъи
375,Länge::N,бой,халалъи
376,Länge::N,ұзындық,халалъи
377,Höhe::N,жоғарылық,борхалъи
378,Höhe::N,биіктік,борхалъи
379,Gewicht::N,салмақ,бакӏлъи
380,Menge::N,мөлшер,
381,Haufen::N,үйме,гъуни
382,Haufen::N,үйінді,гъуни
383,Reihe::N,сап,ирга́
384,Boot::N,қайық,раса
385,Ruder::N,ескек,раххан
386,Schlitten::N,шана,чанагъ
387,Ski::N,шаңғы,лыжаби
388,Lagerfeuer::N,алау,цӏа
389,Last::N,ауырлық,бакӏлъи
390,Last::N,ауыр зат,бакӏлъи
391,Gang::N,жүріс,хьвади
392,Gang::N,жүріс,хьвада-чӏвади
393,Schritt::N,адым,гали
394,Norden::N,солтүстік,шимал
395,Norden::N,терістік,шимал
396,Süden::N,оңтүстік,юг
397,Süden::N,оңтүстік,къибла
398,Westen::N,батыс,гъарб
399,Westen::N,батыс,магъриб
400,Osten::N,күншығыс,шаркъ
401,Osten::N,күншығыс,машрикъ
402,Holz::N,ағаш,цӏул
403,Holz::N,сүрек,цӏул
404,Brett::N,тақта,хъарщи
405,Platte::N,тақта,къоно
406,Stütze::N,тіреу,
407,Stange::N,қада,гӏер
408,Stock::N,сойыл,тӏил
409,Stab::N,сырық,гӏер
410,Rohr::N,құбыр,турба
411,Haus::N,үй,ригь
412,Haus::N,үй,рукъзал
413,Heim::N,үйлі,рукъ
414,Heim::N,шаңырақ,рукъ
415,Ofen::N,ошақ,печь
416,Ofen::N,пеш,печь
417,Fußboden::N,еден,чӏабар
418,Tisch::N,үстел,стол
419,Stuhl::N,орындық,бакӏу
420,Wiege::N,бесік,кини
421,Bett::N,кереует,кровать
422,Regal::N,сөре,хъарщи
423,Kiste::N,жәшік,ящик
424,Kiste::N,жәшік,тӏалагъуд
425,Fenster::N,терезе,гордо
426,Tür::N,есік,нуцӏа
427,Tor::N,дарбаза,каву
428,Zaun::N,дуал,раци
429,Dach::N,шатыр,тӏох
430,Leiter::N,саты,мали
431,Leiter::N,басқыш,мали
432,Besen::N,сыпырғыш,жул
433,Spaten::N,күрек,бел
434,Schaufel::N,қалақ,раххан
435,Gabel::N,аша,гӏучӏ
436,Gabel::N,шанышқы,гӏучӏ
437,Löffel::N,қасық,гъуд
438,Messer::N,пышақ,нус
439,Nagel::N,мық,магӏ
440,Nagel::N,шеге,магӏ
441,Netz::N,керегекөз,гьин
442,Haken::N,ілмек,гъанцӏа
443,Griff::N,сап,гӏоркь
444,Griff::N,тұтқа,гӏоркь
445,Schloss::N,құлып,кӏулал
446,Schloss::N,бекіткіш,кӏулал
447,Bild::N,сурет,сурат
448,Figur::N,тұлға,
449,Puppe::N,қуыршақ,нани
450,Beutel::N,қапшық,таргьа
451,Bündel::N,байлам,къай
452,Tasche::N,дорба,сумка
453,Tasche::N,дорба,къвачӏа
454,Eimer::N,шелек,ведро
455,Deckel::N,жапқыш,тӏалъел
456,Deckel::N,жапқыш,дадитӏалъел
457,Geschirr::N,ыдыс,цӏарагӏ
458,Sack::N,қап,хъап
459,Sack::N,қап,къандалъо
460,Tasse::N,шыныаяқ,чашка
461,Topf::N,кәстрөл,хьаг
462,Kessel::N,қазан,хьаг
463,Kessel::N,қазан,гереги
464,Essen::N,ас,тӏагӏам
465,Nahrung::N,ас,квен
466,Nahrung::N,тамақ,квен
467,Speise::N,тағам,квен
468,Fleisch::N,ет,гьан
469,Getreide::N,дәнді,бугӏа-ролъ
470,Getreide::N,дәнді,могьолабл_культураби
471,Brei::N,ботқа,карщ
472,Brot::N,күлше,чед
473,Scheibe::N,тілім,мочӏу
474,Fett::N,май,беэнлъи
475,Butter::N,май,нах
476,Öl::N,май,нах
477,Salz::N,тұз,цӏам
478,Suppe::N,көже,чурпа
479,Honig::N,бал,гьоцӏо
480,Milch::N,сүт,рахь
481,Tee::N,шай,чай
482,Leder::N,көн,тӏом
483,Wolle::N,жүн,квас
484,Stoff::N,мата,ххам
485,Stoff::N,кездеме,ххам
486,Nadel::N,ине,рокӏкӏен
487,Faden::N,жіп,кун
488,Knopf::N,түйме,маргъал
489,Knoten::N,түйін,гарацӏ
490,Farbe::N,рең,релъен
491,Kleidung::N,киім,ретӏел
492,Hemd::N,жейде,гурде
493,Kragen::N,жаға,габур
494,Ärmel::N,жең,къвал
495,Hose::N,шалбар,тӏажу
496,Gürtel::N,белбеу,рачел
497,Mütze::N,қалпақ,тӏагъур
498,Schuh::N,кебіс,
499,Stiefel::N,етік,этек
500,Stiefel::N,етік,чакма
501,Ring::N,жүзік,баргъич
502,Band::N,таспа,лента
503,Kamm::N,тарақ,гьоркьо
504,Spiegel::N,айна,матӏу
505,Riemen::N,қайыс,рижу
506,Schnur::N,жіп,
507,Leine::N,тізгін,
508,Decke::N,көрпе,одея́ло
509,Kissen::N,жастық,къандалъо
510,Tuch::N,орамал,квархьи
511,Handtuch::N,сүлгі,беркӏалрацӏцӏ
512,Kraft::N,қуат,гуч
513,Kraft::N,қуат,къуват
514,Kraft::N,қарқын,гуч
515,Kraft::N,қарқын,къуват
516,Kraft::N,әл-шама,гуч
517,Kraft::N,әл-шама,къуват
518,Kraft::N,әл-дәрмен,гуч
519,Kraft::N,әл-дәрмен,къуват
520,Stärke::N,әл,хӏалкӏвей
521,Stärke::N,күш,хӏалкӏвей
522,Gesundheit::N,денсаулык,сахлъи́
523,Krankheit::N,ауру,унти
524,Krankheit::N,ауру,щокълъи
525,Schmerz::N,ауру,унти
526,Wunde::N,зақым,ругъун
527,Wunde::N,жарақат,ругъун
528,Fieber::N,безгек,цӏа-кан
529,Fieber::N,қалтырау,цӏа-кан
530,Fieber::N,қызу көтерілуі,цӏа-кан
531,Arznei::N,дәрі,дару
532,Arznei::N,дәрі-дәрмек,дару
533,Brücke::N,көпір,кьо
534,Brunnen::N,құдық,гъуй
535,Weide::N,өріс,рицӏцӏ
536,Weide::N,өріс,лъичӏирма
537,Weide::N,өріс,гӏурдаллъи
538,Weide::N,өріс,ри́цӏигъветӏ
539,Weide::N,өріс,рицӏцӏигъветӏ
540,Weide::N,жайылым,рицӏцӏ
541,Weide::N,жайылым,лъичӏирма
542,Weide::N,жайылым,гӏурдаллъи
543,Weide::N,жайылым,ри́цӏигъветӏ
544,Weide::N,жайылым,рицӏцӏигъветӏ
545,Pfad::N,жол,сухъмахъ
546,Weg::N,жол,нух
547,Straße::N,жол,нух
548,Dorf::N,ауыл,росу
549,Stadt::N,қала,шагьар
550,Stadt::N,шаһар,шагьар
551,Brief::N,хат,кагъат
552,Brief::N,хат,рисалат
553,Brief::N,жазу,кагъат
554,Brief::N,жазу,рисалат
555,Buch::N,кітап,тӏехь
556,Buchstabe::N,әріп,хӏарп
557,Buchstabe::N,қаріп,хӏарп
558,Zeitung::N,газет,газет
559,Leben::N,өмір,яшав
560,Leben::N,тіршілік,яшав
561,Tod::N,опат,хвел
562,Grab::N,мола,хоб
563,Grab::N,мазар,хоб
564,Kirche::N,шіркеу,килиса
565,Sünde::N,күнә,хӏакъ
566,Sünde::N,күнә,мунагь
567,Gott::N,алла,бичас
568,Gott::N,алла,аллагь
569,Gott::N,құдай,бичас
570,Gott::N,құдай,аллагь
571,Gott::N,тәңірі,бичас
572,Gott::N,тәңірі,аллагь
573,Gott::N,пәруардігер,бичас
574,Gott::N,пәруардігер,аллагь
575,Gott::N,жаратқан тәңірі,бичас
576,Gott::N,жаратқан тәңірі,аллагь
577,Arbeiter::N,жүмысшы,хӏалтӏухъан
578,Chef::N,басшы,хӏаким
579,Chef::N,басшы,начальник
580,Chef::N,жұмыс басқарушысы,хӏаким
581,Chef::N,жұмыс басқарушысы,начальник
582,Meister::N,шебер,устар
583,Meister::N,шебер,мастер
584,Meister::N,шебер,махщалилав
585,Meister::N,өнерпаз,устар
586,Meister::N,өнерпаз,мастер
587,Meister::N,өнерпаз,махщалилав
588,Arzt::N,дәрігер,жайрахӏ
589,Lehrer::N,мұғалім,мугӏалим
590,Geld::N,пұл,гӏарац
591,Geschäft::N,бизнес,
592,Laden::N,дүкен,тукен
593,Preis::N,ақы,багьа
594,Preis::N,құны,багьа
595,Preis::N,нарық,багьа
596,Ware::N,тауар,къайи
597,Nutzen::N,пайда,мунпагӏат
598,Reichtum::N,бақ-дәулет,бечелъи
599,Welt::N,әлем,дуниял
600,Welt::N,жиһан,дуниял
601,Land::N,аймақ,улка
602,Land::N,аймақ,икълим
603,Staat::N,мемлекет,пачалихъ
604,König::N,патша,пача
605,König::N,патша,малик
606,König::N,патша,къирал
607,König::N,патша,падишагь
608,Macht::N,өкімет,кверщел
609,Macht::N,қожалық,кверщел
610,Grenze::N,шек,гӏорхъи
611,Krieg::N,соғыс,рагъ
612,Feind::N,жау,тушман
613,Feind::N,дұшпан,тушман
614,Gewalt::N,зорлык,зулму
615,Gewalt::N,зорлық-зомбылык,зулму
616,Kampf::N,күрес,къеркьей
617,Kampf::N,алыспақ,къеркьей
618,Bogen[Waffe]::N,саржа,газаргъо
619,Pfeil::N,жебе,чӏор
620,Gewehr::N,қару,туманкӏ
621,Fehler::N,әбес,гъалатӏ
622,Fehler::N,қаталық,гъалатӏ
623,Lüge::N,өтірік,гьереси
624,Schaden::N,зиян,зиян
625,Schaden::N,зиян,зарал
626,Schaden::N,зарар,зиян
627,Schaden::N,зарар,зарал
628,Unglück::N,пәле,балагь
629,Unglück::N,қасырет,балагь
630,Unglück::N,ауыртпалық,балагь
631,Schuld::N,айыптылық,гӏайиб
632,Alter::N,жас,гӏумру
633,Alter::N,жас шамасы,гӏумру
634,Schluss::N,ада,ахир
635,Schluss::N,бітуі,ахир
636,Zeit::N,уақыт,заман
637,Tag::N,күн,къо
638,Morgen::N,таң,радалмех
639,Morgen::N,таңертең,радалмех
640,Mittag::N,талтүс,къадемех
641,Abend::N,кеш,релъедамех
642,Nacht::N,түн,сордо
643,Woche::N,апта,анкь
644,Monat::N,ай,моцӏ
645,Jahr::N,жыл,сон
646,Jahr::N,жыл,лъагӏел
647,Frühling::N,көктем,их
648,Sommer::N,жаз,рии
649,Herbst::N,күз,хасалихълъи
650,Winter::N,қыс,кьин
651,Januar::N,каңтар,январь
652,Februar::N,ақпан,февра́ль
653,März::N,наурыз,март
654,April::N,сәуір,апрель
655,Mai::N,мамыр,май
656,Juni::N,маусым,июнь
657,Juli::N,шілде,июль
658,August::N,сүмбіле,август
659,August::N,тамыз,август
660,September::N,қыркүйек,сентябрь
661,Oktober::N,ақырап,октябрь
662,November::N,қараша,ноябрь
663,Dezember::N,желтоқсан,декабрь
664,Montag::N,дүйсенбі,итни
665,Dienstag::N,сейсенбі,талат
666,Mittwoch::N,сәрсенбі,арбагӏ
667,Donnerstag::N,бейсенбі,хамиз
668,Freitag::N,жұма,рузман
669,Samstag::N,сенбі,щамат
670,Sonntag::N,жексембі,гьатӏан
671,groß::A,алпамсадай,кӏудияб
672,klein::A,кішкене,гьитӏинаб
673,klein::A,қарғадай,гьитӏинаб
674,lang::A,сопақ,халатаб
675,lang::A,сорайған,халатаб
676,kurz::A,кеспелтек,къокъаб
677,breit::A,айдынды,гӏебаб
678,schmal::A,қысық,къваридаб
679,dicht::A,жиі,ризаб
680,dick[Gegenstand]::A,шомбал,бицатаб
681,dünn::A,жұқа,тӏеренаб
682,dünn::A,жіңішке,тӏеренаб
683,fein::A,қаңылтақ,тӏеренаб
684,fest::A,берік,къвакӏараб
685,fest::A,мызғымас,къвакӏараб
686,flach::A,жалпак,чӏепараб
687,glatt::A,типыл,цӏвакараб
688,hart::A,қатты,кьварараб
689,weich::A,жұмсақ,тамахаб
690,rund::A,домалақ,гургинаб
691,spitz::A,үшкір,бегӏераб
692,scharf::A,сүйрік,рекӏараб
693,stumpf::A,доғал,тӏехӏараб
694,stumpf::A,доғал,рекӏинчӏеб
695,stumpf::A,өтпейтін,тӏехӏараб
696,stumpf::A,өтпейтін,рекӏинчӏеб
697,schwer::A,салмақты,бакӏаб
698,schön::A,сұлу,берцинаб
699,heiß::A,ыссы,лагьараб
700,warm::A,жылы,хинаб
701,kalt::A,аязды,квачараб
702,kühl::A,салқын,квачараб
703,frisch::A,таза,цӏияб
704,frisch::A,жаңа,цӏияб
705,feucht::A,нам,рагьараб
706,feucht::A,дымқылды,рагьараб
707,nass::A,сулы,би́ччараб
708,trocken::A,құрғақ,бакъвараб
709,voll::A,толы,
710,leer::A,бос,чӏобогояб
711,offen::A,ашып қойылған,рагьараб
712,geschlossen::A,жабулы,рахараб-къараб
713,sauber::A,дақсыз,бацӏцӏадаб
714,sauber::A,мұнтаздай,бацӏцӏадаб
715,schmutzig::A,айғыз,гъизараб
716,schmutzig::A,сатпақ,гъизараб
717,schmutzig::A,сатал-сатал,гъизараб
718,roh::A,шикі,хамаб
719,roh::A,шикі,гӏатӏгояб
720,reif::A,піскен,барщараб
721,lecker::A,дәмді,тӏагӏамаб
722,süß::A,тәтті,гьуинаб
723,bitter::A,ащы,кьогӏаб
724,sauer::A,қышқыл,цӏекӏаб
725,hell::A,жарық,канаб
726,hell::A,жарқын,канаб
727,dunkel::A,қараңғы,бецӏаб
728,schwarz::A,қара,чӏегӏераб
729,weiß::A,ақ,хъахӏаб
730,rot::A,қызыл,багӏараб
731,gelb::A,сары,гӏобилаб
732,gelb::A,сары,тӏогьилаб
733,blau::A,көк,хъахӏилаб
734,grün::A,жасыл,гӏурччинаб
735,grau::A,бозамық,накӏкӏуяб
736,bunt::A,алабажак,къвекӏаб
737,bunt::A,алабажак,чара-гъараб
738,billig::A,арзан,учузаб
739,teuer::A,бағалы,хири́яб
740,wertvoll::A,құнды,къиматаб
741,wertvoll::A,қымбат,къиматаб
