,Concept_ID,nl,lez
68,Luft::N,lucht,гьава
69,Wind::N,wind,гар
70,Welle::N,golf,лепе
71,Wasser::N,water,яд
72,Stein::N,steen,къван
73,Boden::N,grond,накьв
74,Erde::N,aarde,ччил
75,Staub::N,stof,руг
76,Rauch::N,rook,гум
77,Funke::N,vonk,цӏелхем
78,Feuer::N,vuur,цӏай
79,Licht::N,licht,экв
80,Schatten::N,schaduw,серин
81,Wetter::N,weer,гьава
82,Nebel::N,mist,ччилин циф
83,Nebel::N,nevel,ччилин циф
84,Wolke::N,wolk,циф
85,Regen::N,regen,марф
86,Schnee::N,sneeuw,жив
87,Eis::N,ijs,мурк
88,Frost::N,vorst,аяз
89,Kälte::N,kou,мекь
90,Kälte::N,kou,мекьивал
91,Kälte::N,koude,мекь
92,Kälte::N,koude,мекьивал
93,Hitze::N,hitte,зегьем
94,Raureif::N,rijp,къирав
95,Regenbogen::N,regenboog,яргъируш
96,Donner::N,donder,цавун ван
97,Strömung::N,stroming,
98,Tropfen::N,druppel,стӏал
99,Schaum::N,schuim,каф
100,Schmutz::N,vuil,чирк
101,Schmutz::N,vuil,кьуруш
102,See::N,meer,вир
103,Sumpf::N,moeras,уьлен
104,Moor::N,veen,
105,Wiese::N,wei,векь
106,Wiese::N,weide,векь
107,Wald::N,bos,там
108,Hügel::N,heuvel,кӏунтӏ
109,Anhöhe::N,hoogte,тепе
110,Anhöhe::N,hoogte,гьуьндуьрвал
111,Berg::N,berg,дагъ
112,Gipfel::N,top,кӏукӏ
113,Höhle::N,hol,кьветӏ
114,Abhang::N,helling,гуьне
115,Quelle::N,bron,чешме
116,Bach::N,beek,булах
117,Fluss::N,stroom,вацӏ
118,Ufer::N,wal,къерех
119,Ufer::N,oever,къерех
120,Küste::N,kust,къерех
121,Festland::N,vasteland,кьурамат
122,Meer::N,zee,гьуьл
123,Bucht::N,baai,бухта
124,Bucht::N,inham,бухта
125,Insel::N,eiland,остров
126,Blume::N,bloem,цуьк
127,Gras::N,gras,хъач
128,Wurzel::N,wortel,дувул
129,Baum::N,boom,ттар
130,Stamm::N,stam,тан
131,Rinde::N,schors,чкал
132,Ast::N,tak,тӏур
133,Zweig::N,twijg,хел
134,Blatt::N,blad,пеш
135,Birke::N,berk,верх
