,Concept_ID,el,sq
54,Knochen::N,οστό,kockë
55,Knochen::N,κόκκαλο,asht
56,Knochen::N,κόκκαλο,kockë
57,Gehirn::N,μυαλό,tru
58,Gehirn::N,εγκέφαλος,tru
59,Herz::N,καρδιά,zemër
60,Magen::N,στομάχι,stomak
61,Leber::N,ήπαρ,mëlçi
62,Leber::N,συκωτί,mëlçi
63,Atem::N,αναπνοή,frymë
64,Hunger::N,πείνα,uri
65,Träne::N,δάκρυ,lot
66,Geschmack::N,γεύση,shije
67,Geruch::N,οσμή,erë
68,Geruch::N,μυρωδία,erë
69,Schlaf::N,ύπνος,gjumë
70,Traum::N,όνειρο,ëndërr
71,Himmel::N,ουρανός,qiell
72,Sonne::N,ήλιος,diell
73,Mond::N,σελήνη,hënë
74,Mond::N,φεγγάρι,hënë
75,Stern::N,άστρο,yll
76,Stern::N,αστέρι,yll
77,Luft::N,αέρας,ajër
78,Wind::N,αέρας,erë
79,Wind::N,άνεμος,erë
80,Welle::N,κύμα,valë
81,Welle::N,κύμα,dallgë
82,Wasser::N,νερό,ujë
83,Stein::N,πέτρα,gur
84,Boden::N,χώμα,tokë
85,Boden::N,χώμα,truall
86,Erde::N,γη,dhe
87,Erde::N,γη,baltë
88,Staub::N,σκόνη,pluhur
89,Rauch::N,καπνός,tym
90,Funke::N,σπίθα,xixë
91,Funke::N,σπίθα,shkëndijë
92,Funke::N,σπινθήρας,xixë
93,Funke::N,σπινθήρας,shkëndijë
94,Feuer::N,φωτιά,zjarr
95,Licht::N,φως,dritë
96,Schatten::N,σκιά,hije
97,Schatten::N,ίσκιος,hije
98,Wetter::N,καιρός,mot
99,Nebel::N,ομίχλη,mjegull
100,Wolke::N,σύννεφο,re
101,Regen::N,βροχή,shi
102,Schnee::N,χιόνι,borë
103,Eis::N,πάγος,akull
104,Frost::N,παγωνία,ngricë
105,Kälte::N,κρύο,të ftohtë
106,Kälte::N,ψύχος,të ftohtë
107,Hitze::N,ζέστη,vapë
108,Hitze::N,ζέστη,nxehtësi
109,Raureif::N,πάχνη,cikmë
110,Regenbogen::N,ουράνιο τόξο,ylber
111,Donner::N,βροντή,gjëmim
112,Donner::N,βροντή,bubullimë
113,Strömung::N,ρεύμα,rrymë
114,Tropfen::N,στάλα,pikë
115,Schaum::N,αφρός,shkumë
116,Schmutz::N,βρωμιά,baltë
117,See::N,λίμνη,liqen
118,Sumpf::N,βάλτος,batak
119,Moor::N,έλος,kënetë
120,Wiese::N,λιβάδι,livadh
121,Wald::N,δάσος,pyll
122,Hügel::N,λόφος,kodër
123,Anhöhe::N,ύψωμα,bregore
124,Berg::N,όρος,mal
125,Berg::N,βουνό,mal
126,Gipfel::N,κορυφή,kulm
127,Höhle::N,σπηλιά,shpellë
128,Höhle::N,σπηλιά,zgafelle
129,Abhang::N,πλαγιά,shpat
130,Abhang::N,πλαγιά,tatëpjetë
131,Quelle::N,πηγή,krua
132,Quelle::N,πηγή,burim
133,Quelle::N,βρύση,krua
134,Quelle::N,βρύση,burim
135,Bach::N,ρυάκι,virua
136,Fluss::N,ποτάμι,lumë
137,Fluss::N,ποταμός,lumë
138,Ufer::N,όχθη,breg
139,Küste::N,ακτή,anëdet
140,Küste::N,ακτή,bregdet
141,Küste::N,ακρογιαλιά,anëdet
142,Küste::N,ακρογιαλιά,bregdet
143,Festland::N,στεριά,kontinent
144,Meer::N,θάλασσα,det
145,Bucht::N,κόλπος,gji deti
146,Insel::N,νησί,ishull
147,Insel::N,νησί,ujdhesë
148,Insel::N,νήσος,ishull
149,Insel::N,νήσος,ujdhesë
150,Blume::N,άνθος,lule
151,Blume::N,λουλούδι,lule
152,Gras::N,χόρτο,bar
153,Gras::N,χορτάρι,bar
154,Wurzel::N,ρίζα,rrënjë
155,Baum::N,δέντρο,pemë
156,Stamm::N,κορμός,trung
157,Rinde::N,φλούδα,lëvore
158,Ast::N,κλαδί,degë
159,Zweig::N,κλαδί,bisk
160,Zweig::N,κλάδος,bisk
161,Blatt::N,φύλλο,fletë
162,Blatt::N,φύλλο,gjethe
163,Birke::N,σημύδα,mështekën
164,Kiefer[Baum]::N,πεύκο,pishë
165,Weide[Baum]::N,ιτιά,shelg
166,Tanne::N,έλατο,bredh
167,Horn::N,κέρας,bri
168,Horn::N,κέρατο,bri
169,Feder::N,φτερό,pupël
170,Fell::N,δέρμα,lëkurë
171,Fell::N,τομάρι,lëkurë
172,Flügel::N,πτερύγιο,krah
173,Flügel::N,πτερύγιο,fletë
174,Klaue::N,κουλό,kthetër
175,Kralle::N,νύχι,thua
176,Kralle::N,νύχι,kthetër
177,Schwanz::N,ουρά,bisht
178,Ei::N,αβγό,vezë
179,Nest::N,φωλιά,fole
180,Bau::N,φωλιά,strofkë
181,Tier::N,ζώο,kafshë
182,Herde::N,κοπάδι,kope
183,Herde::N,κοπάδι,grigjë
184,Kuh::N,αγελάδα,lopë
185,Bulle::N,ταύρος,dem
186,Pferd::N,άλογο,kalë
187,Schaf::N,πρόβατο,dele
188,Schwein::N,γουρούνι,derr
189,Hund::N,σκυλί,qen
190,Hund::N,σκύλος,qen
191,Katze::N,γάτα,mace
192,Bär::N,άρκτος,ari
193,Bär::N,αρκούδα,ari
194,Eichhörnchen::N,βερβερίτσα,ketër
195,Elch::N,άλκη,dre brilopatë
196,Fuchs::N,αλεπού,dhelpër
197,Hase::N,λαγός,lepur
198,Maus::N,ποντικός,mi
199,Wolf::N,λύκος,ujk
200,Vogel::N,πουλί,zog
201,Vogel::N,πουλί,shpend
202,Schwarm::N,σμήνος,luzmë
203,Huhn::N,κότα,pulë
204,Huhn::N,όρνιθα,pulë
205,Hahn::N,πετεινός,gjel
206,Hahn::N,πετεινός,këndes
207,Gans::N,χήνα,patë
208,Adler::N,αετός,shqiponjë
209,Ente::N,πάπια,rosë
210,Eule::N,κουκουβάγια,buf
211,Kranich::N,γερανός,lejlek
212,Kranich::N,γερανός,kurrillë
213,Krähe::N,καρακάξα,sorrë
214,Kuckuck::N,κούκος,qyqe
215,Schwan::N,κύκνος,mjellmë
216,Fisch::N,ψάρι,peshk
217,Barsch::N,πέρκα,purtekë
218,Hecht::N,λούτσος,mlysh
219,Schlange[Tier]::N,φίδι,gjarpër
220,Wurm::N,σκουλήκι,krimb
221,Spinne::N,αράχνη,marimangë
222,Ameise::N,μυρμήγκι,thnegël
223,Ameise::N,μυρμήγκι,milingonë
224,Laus::N,ψείρα,morr
225,Mücke::N,κουνούπι,kunup
226,Mücke::N,κουνούπι,mushkonjë
227,Fliege::N,μύγα,mizë
228,Schmetterling::N,πεταλούδα,flutur
229,Beere::N,ρόγα,frutë
230,Beere::N,ρόγα,manaferrë
231,Apfel::N,μήλο,mollë
232,Pilz::N,μανιτάρι,kërpudhë
233,Zwiebel::N,κρεμμύδι,qepë
234,Saat::N,σπόρος,farë
235,Korn::N,σπυρί,grurë
236,Korn::N,σπυρί,kokërr
237,Heu::N,σανός,sanë
238,Schale::N,τσόφλι,lëkurë
239,Grube::N,λάκκος,gropë
240,Falle::N,παγίδα,kurth
241,Falle::N,παγίδα,grackë
242,Schlinge::N,θηλειά,nyjë
243,Spur::N,ίχνος,gjurmë
244,Asche::N,στάχτη,hi
245,Dreck::N,βρωμιά,baltë
246,Eisen::N,σίδερο,hekur
247,Gold::N,μάλαμα,ar
248,Gold::N,μάλαμα,flori
249,Gold::N,χρυσάφι,ar
250,Gold::N,χρυσάφι,flori
251,Silber::N,ασήμι,argjend
252,Silber::N,άργυρος,argjend
253,Kohle::N,κάρβουνο,qymyr
254,Glas::N,γυαλί,qelq
255,Lehm::N,πηλός,argjilë
256,Sand::N,άμμος,rërë
257,Mensch::N,άνθρωπος,njeri
258,Mann::N,άνδρας,burrë
259,Mann::N,άνδρας,mashkull
260,Frau::N,γυναίκα,grua
261,Frau::N,γυναίκα,femër
262,Kind::N,παιδί,kalama
263,Junge::N,αγόρι,djalë
264,Mädchen::N,κοπέλα,gocë
265,Mädchen::N,κοπέλα,vajzë
266,Mädchen::N,κορίτσι,gocë
267,Mädchen::N,κορίτσι,vajzë
268,Familie::N,οικογένεια,familje
269,Großvater::N,παππούς,gjysh
270,Großmutter::N,γιαγιά,gjyshe
271,Eltern::N,γονείς,prindër
272,Vater::N,πατέρας,atë
273,Mutter::N,μητέρα,nënë
274,Sohn::N,γιος,bir
275,Tochter::N,κόρη,bijë
276,Bruder::N,αδελφός,vëlla
277,Schwester::N,αδελφή,motër
278,Onkel::N,θείος,dajë
279,Onkel::N,θείος,xhaxha
280,Tante::N,θεία,teze
281,Tante::N,θεία,hallë
282,Ehemann::N,σύζυγος,burrë
283,Ehemann::N,σύζυγος,bashkëshort
284,Ehefrau::N,σύζυγος,grua
285,Ehefrau::N,σύζυγος,bashkëshorte
286,Freude::N,χαρά,gaz
287,Freude::N,χαρά,gëzim
288,Gelächter::N,γέλια,qeshje
289,Glück::N,ευτυχία,lumturi
290,Kummer::N,έγνοια,brengë
291,Kummer::N,έγνοια,pikëllim
292,Wunsch::N,επιθυμία,dëshirë
293,Lust::N,όρεξη,epsh
294,Lust::N,όρεξη,dashuri
295,Geist::N,πνέυμα,frymë
296,Geist::N,πνέυμα,shpirt
297,Gedanke::N,σκέψη,ide
298,Gedanke::N,σκέψη,mendim
299,Gedächtnis::N,μνήμη,kujtesë
300,Verstand::N,νους,mend
301,Sinn::N,νόημα,kuptim
302,Grund::N,λόγος,arsye
303,Wahrheit::N,αλήθεια,vërtetë
304,Gespräch::N,συνομιλία,bisedim
305,Märchen::N,παραμύθι,përrallë
306,Erzählung::N,διήγημα,tregim
307,Nachricht::N,είδηση,lajm
308,Neuigkeit::N,νέο,risi
309,Name::N,όνομα,emër
310,Rätsel::N,αίνιγμα,gjëzë
311,Rätsel::N,αίνιγμα,gjëegjëzë
312,Rede::N,λόγος,fjalim
313,Rede::N,ομιλία,fjalim
314,Sprache::N,γλώσσα,gjuhë
315,Stimme::N,φωνή,zë
316,Wort::N,λέξη,fjalë
317,Zeichen::N,σημείο,shenjë
318,Ruf::N,κραυγή,thirrmë
319,Lärm::N,θόρυβος,zhurmë
320,Laut::N,ήχος,tingull
321,Ton::N,ήχος,ton
322,Ton::N,τόνος,ton
323,Lied::N,τραγούδι,këngë
324,Ruhe::N,ησυχία,qetësi
325,Leute::N,κόσμος,botë
326,Leute::N,κόσμος,njerëz
327,Leute::N,άνθρωποι,botë
328,Leute::N,άνθρωποι,njerëz
329,Volk::N,λαός,popull
330,Arbeit::N,εργασία,punë
331,Gast::N,επισκέπτης,mik
332,Gast::N,επισκέπτης,mysafir
333,Geschenk::N,δώρο,dhuratë
334,Geschenk::N,δώρο,peshqesh
335,Spiel::N,παιχνίδι,lojë
336,Gesellschaft::N,κοινωνία,shoqëri
337,Hilfe::N,βοήθεια,ndihmë
338,Freund::N,φίλος,mik
339,Kamerad::N,σύντροφος,shok
340,Angelegenheit::N,υπόθεση,punë
341,Anzahl::N,αριθμός,sasi
342,Art::N,είδος,lloj
343,Stück::N,κομμάτι,copë
344,Teil::N,μέρος,pjesë
345,Hälfte::N,μισό,gjysmë
346,Kreis::N,κύκλος,qark
347,Kreis::N,κύκλος,rreth
348,Kreuz::N,σταυρός,kryq
349,Linie::N,γραμμή,vijë
350,Strich::N,γραμμή,vizë
351,Abstand::N,απόσταση,distancë
352,Entfernung::N,απόσταση,largim
353,Gegend::N,περιοχή,vise
354,Gegend::N,περιοχή,krahinë
355,Gegend::N,τοποθεσία,vise
356,Gegend::N,τοποθεσία,krahinë
357,Platz::N,χώρος,shesh
358,Ort::N,τόπος,vend
359,Seite::N,πλευρά,anë
360,Mitte::N,μέση,mes
361,Gegenstand::N,αντικείμενο,send
362,Sache::N,πράγμα,gjë
363,Sache::N,πράγμα,send
364,Rand::N,άκρη,qoshe
365,Rand::N,χείλος,qoshe
366,Kante::N,άκρη,teh
367,Ecke::N,γωνιά,qoshe
368,Spitze::N,μύτη,majë
369,Ende::N,άκρη,skaj
370,Ende::N,άκρη,bisht
371,Loch::N,τρύπα,vrimë
372,Winkel::N,γωνία,kënd
373,Muster::N,σχέδιο,mostër
374,Größe::N,μέγεθος,madhësi
375,Länge::N,μήκος,gjatësi
376,Höhe::N,ύψος,lartësi
377,Gewicht::N,βάρος,peshë
378,Menge::N,ποσότητα,sasi
379,Haufen::N,σωρός,grumbull
380,Reihe::N,αράδα,radhë
381,Reihe::N,αράδα,rresht
382,Boot::N,βάρκα,barkë
383,Boot::N,βάρκα,lundër
384,Ruder::N,κουπί,rrem
385,Schlitten::N,έλκηθρο,sajë
386,Ski::N,σκι,ski
387,Lagerfeuer::N,φωτιά,flakadan
388,Lagerfeuer::N,φωτιά,zjarr i madh
389,Last::N,φορτίο,barrë
390,Gang::N,δρόμος,ecje
391,Schritt::N,βήμα,hap
392,Norden::N,βορράς,veri
393,Süden::N,νότος,jug
394,Westen::N,δύση,perëndim
395,Osten::N,ανατολή,lindje
396,Holz::N,ξύλο,dru
397,Brett::N,σανίδι,dërrasë
398,Platte::N,πλάκα,pllakë
399,Stütze::N,στήριγμα,shtyllë
400,Stütze::N,στήριγμα,mbështetesë
401,Stange::N,ραβδί,shufër
402,Stange::N,κοντός,shufër
403,Stock::N,ξύλο,dajak
404,Stock::N,μπαστούνι,dajak
405,Stab::N,ραβδί,shkop
406,Rohr::N,σωλήνας,tub
407,Haus::N,σπίτι,shtëpi
408,Heim::N,σπίτι,konak
409,Heim::N,σπίτι,shtëpi
410,Ofen::N,σόμπα,sobë
411,Ofen::N,σόμπα,stufë
412,Ofen::N,θερμάστρα,sobë
413,Ofen::N,θερμάστρα,stufë
414,Fußboden::N,πάτωμα,dysheme
415,Tisch::N,τραπέζι,tryezë
416,Stuhl::N,καρέκλα,karrige
417,Wiege::N,κούνια,djep
418,Bett::N,κρεβάτι,shtrat
419,Regal::N,ράφι,raft
420,Kiste::N,κιβώτιο,kuti
421,Fenster::N,παράθυρο,dritare
422,Tür::N,πόρτα,derë
423,Tor::N,πύλη,portë
424,Zaun::N,φράχτης,gardh
425,Dach::N,στέγη,çati
426,Leiter::N,σκάλα,shkallë
427,Leiter::N,κλίμακα,shkallë
428,Besen::N,σκούπα,fshesë
429,Spaten::N,φτυάρι,lopatë
430,Schaufel::N,φτυάρι,qyrek
431,Gabel::N,πιρούνι,pirun
432,Löffel::N,κουτάλι,lugë
433,Messer::N,μαχαίρι,thikë
434,Nagel::N,καρφί,gozhdë
435,Netz::N,δίχτυ,rrjetë
436,Haken::N,γάντζος,grep
437,Haken::N,γάντζος,grremç
438,Haken::N,αγκίστρι,grep
439,Haken::N,αγκίστρι,grremç
440,Griff::N,λαβή,dorak
441,Griff::N,λαβή,dorezë
442,Schloss::N,κλειδαριά,bravë
443,Bild::N,εικόνα,tablo
444,Bild::N,εικόνα,pikturë
445,Figur::N,ανάστημα,figurë
446,Puppe::N,κούκλα,kukull
447,Beutel::N,πουγγί,qese
448,Beutel::N,πουγγί,trastë
449,Bündel::N,δεμάτι,deng
450,Tasche::N,τσάντα,çantë
451,Eimer::N,κουβάς,kovë
452,Deckel::N,καπάκι,kapak
453,Deckel::N,καπάκι,mbulesë
454,Geschirr::N,σκεύη,enë
455,Sack::N,σάκος,thes
456,Sack::N,σάκος,torbë
457,Tasse::N,φλιτζάνι,filxhan
458,Topf::N,χύτρα,kusi
459,Topf::N,χύτρα,tenxhere
460,Kessel::N,καζάνι,kazan
461,Essen::N,φαγητό,ngrënie
462,Nahrung::N,τροφή,ushqim
463,Speise::N,φαγητό,gatesë
464,Fleisch::N,κρέας,mish
465,Getreide::N,σιτάρι,drithë
466,Brei::N,χυλός,qull
467,Brot::N,ψωμί,bukë
468,Brot::N,άρτος,bukë
469,Scheibe::N,φέτα,fetë
470,Fett::N,πάχος,lyrë
471,Fett::N,πάχος,yndyrë
472,Butter::N,βούτυρο,gjalpë
473,Öl::N,λάδι,vaj
474,Salz::N,αλάτι,kripë
475,Suppe::N,σούπα,supë
476,Suppe::N,σούπα,çorbë
477,Honig::N,μέλι,mjaltë
478,Milch::N,γάλα,qumësht
479,Tee::N,τσάι,çaj
480,Leder::N,πετσί,lëkurë
481,Wolle::N,μαλλί,lesh
482,Stoff::N,ύφασμα,pëlhurë
483,Nadel::N,βελόνα,gjilpërë
484,Faden::N,κλωστή,pe
485,Faden::N,κλωστή,fije
486,Knopf::N,κουμπί,kopsë
487,Knoten::N,κόμπος,komb
488,Farbe::N,μπογιά,bojë
489,Kleidung::N,ρούχα,veshje
490,Kleidung::N,ενδυμασία,veshje
491,Hemd::N,πουκάμισο,këmishë
492,Kragen::N,κολάρο,jakë
493,Ärmel::N,μανίκι,mëngë
494,Hose::N,πανταλόνι,brekë
495,Gürtel::N,ζώνη,rrip
496,Mütze::N,σκούφος,kësulë
497,Schuh::N,παπούτσι,këpucë
498,Stiefel::N,μπότα,çizme
499,Ring::N,δαχτυλίδι,unazë
500,Band::N,κορδέλα,shirit
501,Kamm::N,χτένα,krehër
502,Spiegel::N,καθρέφτης,pasqyrë
503,Riemen::N,λουρί,rrip
504,Schnur::N,κορδόνι,litar
505,Schnur::N,κορδόνι,cikomë
506,Leine::N,σχοινί,rrip
507,Decke::N,κουβέρτα,batanije
508,Kissen::N,μαξιλάρι,jastëk
509,Tuch::N,πανί,shami
510,Tuch::N,μαντήλι,shami
511,Handtuch::N,πετσέτα,peshqir
512,Kraft::N,δύναμη,forcë
513,Stärke::N,ισχύς,koll
514,Stärke::N,δύναμη,koll
515,Gesundheit::N,υγεία,shëndet
516,Krankheit::N,αρρώστια,sëmundje
517,Schmerz::N,πόνος,dhimbje
518,Wunde::N,πληγή,plagë
519,Fieber::N,πυρετός,ethe
520,Arznei::N,φάρμακο,ilaç
521,Brücke::N,γέφυρα,urë
522,Brunnen::N,πηγάδι,pus
523,Weide::N,βοσκή,kullotë
524,Pfad::N,μονοπάτι,ravë
525,Pfad::N,μονοπάτι,shteg
526,Weg::N,δρόμος,udhë
527,Weg::N,δρόμος,shteg
528,Straße::N,οδός,rrugë
529,Straße::N,δρόμος,rrugë
530,Dorf::N,χωριό,fshat
531,Dorf::N,χωριό,katund
532,Stadt::N,πόλη,qytet
533,Brief::N,γράμμα,letër
534,Brief::N,επιστολή,letër
535,Buch::N,βιβλίο,libër
536,Buchstabe::N,γράμμα,shkronjë
537,Zeitung::N,εφημερίδα,gazetë
538,Leben::N,ζωή,jetë
539,Leben::N,βίος,jetë
540,Tod::N,θάνατος,mortje
541,Grab::N,τάφος,varr
542,Kirche::N,εκκλησία,kishë
543,Sünde::N,αμαρτία,mëkat
544,Sünde::N,αμαρτία,gjynah
545,Gott::N,θεός,hy
546,Gott::N,θεός,zot
547,Arbeiter::N,εργάτης,punëtor
548,Chef::N,προϊστάμενος,shef
549,Chef::N,προϊστάμενος,drejtues
550,Meister::N,μάστορας,mjeshtër
551,Meister::N,αρχιτεχνίτης,mjeshtër
552,Arzt::N,γιατρός,mjek
553,Arzt::N,γιατρός,doktor
554,Lehrer::N,δάσκαλος,mësues
555,Lehrer::N,δάσκαλος,arsimtar
556,Geld::N,λεφτά,para
557,Geld::N,λεφτά,holla
558,Geld::N,χρήματα,para
559,Geld::N,χρήματα,holla
560,Geschäft::N,συναλλαγή,ujdi
561,Geschäft::N,συναλλαγή,biznes
562,Laden::N,μαγαζί,dyqan
563,Laden::N,κατάστημα,dyqan
564,Preis::N,τιμή,çmim
565,Ware::N,εμπόρευμα,mall
566,Nutzen::N,όφελος,dobi
567,Nutzen::N,όφελος,leverdi
568,Reichtum::N,πλούτος,kamje
569,Reichtum::N,πλούτος,pasuri
570,Welt::N,κόσμος,botë
571,Land::N,χώρα,vend
572,Staat::N,κράτος,shtet
573,Staat::N,πολιτεία,shtet
574,König::N,βασιλιάς,mbret
575,Macht::N,εξουσία,fuqi
576,Macht::N,εξουσία,pushtet
577,Grenze::N,σύνορα,kufi
578,Krieg::N,πόλεμος,luftë
579,Feind::N,εχθρός,armik
580,Gewalt::N,βία,dhunë
581,Kampf::N,αγώνας,luftim
582,Bogen[Waffe]::N,τόξο,hark
583,Pfeil::N,σαΐτα,shigjetë
584,Gewehr::N,τουφέκι,pushkë
585,Fehler::N,λάθος,gafë
586,Fehler::N,λάθος,gabim
587,Fehler::N,σφάλμα,gafë
588,Fehler::N,σφάλμα,gabim
589,Lüge::N,ψέμα,gënjeshtër
590,Lüge::N,ψεύδος,gënjeshtër
591,Schaden::N,ζημία,dëm
592,Schaden::N,ζημία,zarar
593,Unglück::N,δυστυχία,fatkeqësi
594,Schuld::N,ενοχή,faj
595,Schuld::N,φταίξιμο,faj
596,Alter::N,ηλικία,moshë
597,Schluss::N,τέλος,fund
598,Zeit::N,χρόνος,kohë
599,Tag::N,μέρα,ditë
600,Tag::N,ημέρα,ditë
601,Morgen::N,πρωί,mëngjes
602,Mittag::N,μεσημέρι,mesditë
603,Abend::N,βράδυ,mbrëmje
604,Nacht::N,νύχτα,natë
605,Woche::N,εβδομάδα,javë
606,Monat::N,μήνας,muaj
607,Jahr::N,έτος,vit
608,Jahr::N,χρόνος,vit
609,Frühling::N,άνοιξη,pranverë
610,Sommer::N,καλοκαίρι,verë
611,Herbst::N,φθινόπωρο,vjeshtë
612,Winter::N,χειμώνας,dimër
613,Januar::N,Ιανουάριος,janar
614,Februar::N,Φεβρουάριος,shkurt
615,März::N,Μάρτιος,mars
616,April::N,Απρίλιος,prill
617,Mai::N,Μάιος,maj
618,Juni::N,Ιούνιος,qershor
619,Juli::N,Ιούλιος,korrik
620,August::N,Αύγουστος,gusht
621,September::N,Σεπτέμβριος,shtator
622,Oktober::N,Οκτώβριος,tetor
623,November::N,Νοέμβριος,nëntor
624,Dezember::N,Δεκέμβριος,dhjetor
625,Montag::N,Δευτέρα,hënë
626,Dienstag::N,Τρίτη,martë
627,Mittwoch::N,Τετάρτη,mërkurë
628,Donnerstag::N,Πέμπτη,enjte
629,Freitag::N,Παρασκευή,premte
630,Samstag::N,Σάββατο,shtunë
631,Sonntag::N,Κυριακή,diel
632,groß::A,μεγάλος,madh
633,klein::A,μικρός,vogël
634,lang::A,μακρύς,gjatë
635,kurz::A,κοντός,shkurtër
636,breit::A,φαρδύς,gjerë
637,schmal::A,στενός,ngushtë
638,dicht::A,πυκνός,dendur
639,dick[Gegenstand]::A,παχύς,trashë
640,dick[Gegenstand]::A,χοντρός,trashë
641,dünn::A,ψιλός,hollë
642,dünn::A,λεπτός,hollë
643,fein::A,ψιλός,imët
644,fest::A,στερεός,fortë
645,flach::A,επίπεδος,sheshtë
646,glatt::A,λείος,rrafshët
647,glatt::A,ομαλός,rrafshët
648,hart::A,σκληρός,fortë
649,weich::A,μαλακός,butë
650,rund::A,στρογγυλός,rrumbullakët
651,spitz::A,μυτερός,majëmprehtë
652,scharf::A,κοφτερός,mprehtë
653,stumpf::A,αμβλύς,topitur
654,schwer::A,βαρύς,rëndë
655,schön::A,ωραίος,bukur
656,schön::A,όμορφος,bukur
657,heiß::A,ζεστός,nxehtë
658,warm::A,θερμός,ngrohtë
659,kalt::A,κρύος,ftohtë
660,kalt::A,ψυχρός,ftohtë
661,kühl::A,δροσερός,freskët
662,frisch::A,νωπός,pastër
663,frisch::A,φρέσκος,pastër
664,feucht::A,υγρός,lagësht
665,nass::A,βρεγμένος,lagur
666,trocken::A,ξηρός,thatë
667,trocken::A,στεγνός,thatë
668,voll::A,γεμάτος,plotë
669,leer::A,άδειος,bosh
670,leer::A,άδειος,zbrazët
671,offen::A,ανοιχτός,hapur
672,geschlossen::A,κλειστός,mbyllur
673,sauber::A,καθαρός,dëlirë
674,schmutzig::A,βρώμικος,ndyrë
675,schmutzig::A,λερωμένος,ndyrë
676,roh::A,ωμός,gjallë
677,reif::A,ώριμος,arrirë
678,lecker::A,νόστιμος,shijshëm
679,süß::A,γλυκός,ëmbël
680,bitter::A,πικρός,hidhur
681,sauer::A,ξινός,thartë
682,hell::A,φωτεινός,me dritë
683,dunkel::A,σκοτεινός,errët
684,schwarz::A,μαύρος,i zi
685,schwarz::A,μελανός,i zi
686,weiß::A,άσπρος,bardhë
687,rot::A,κόκκινος,kuq
688,gelb::A,κίτρινος,verdhë
689,blau::A,μπλε,blu
690,blau::A,μπλε,kaltër
691,blau::A,γαλανός,blu
692,blau::A,γαλανός,kaltër
693,grün::A,πράσινος,blertë
694,grün::A,πράσινος,gjelbër
695,grau::A,γκρίζος,hirtë
696,grau::A,γκρίζος,bojë hiri
697,bunt::A,ποικιλόχρωπος,shumëngjyrëshëm
698,billig::A,φτηνός,lirë
699,teuer::A,ακριβός,shtrenjtë
700,wertvoll::A,πολύτιμος,çmuar
701,wertvoll::A,πολύτιμος,vlershëm
702,blind::A,τυφλός,qorr
703,blind::A,τυφλός,verbër
704,taub::A,κουφός,shurdhër
705,kräftig::A,δυνατός,fuqishëm
706,stark::A,γερός,fortë
707,schwach::A,αδύνατος,dobët
708,fett::A,παχύς,dhjamur
709,schlank::A,λεπτός,hollë
710,schlank::A,λυγερός,hollë
711,hübsch::A,όμορφος,bukur
712,hübsch::A,όμορφος,hijshëm
713,hübsch::A,χαριτωμένος,bukur
714,hübsch::A,χαριτωμένος,hijshëm
715,böse::A,κακός,keq
716,dumm::A,κουτός,teveqel
717,dumm::A,ανόητος,teveqel
718,faul::A,τεμπέλης,dembel
719,fleißig::A,εργατικός,zellshëm
720,geizig::A,τσιγγούνης,kurnac
721,geizig::A,τσιγγούνης,dorështrënguar
722,klug::A,έξυπνος,mençur
723,geschickt::A,επιδέξιος,aftë
724,lieb::A,φίλος,dashur
725,lieb::A,αγαπητός,dashur
726,lustig::A,εύθυμος,gëzuar
727,lustig::A,χαρούμενος,gëzuar
