,Concept_ID,it,te
113,Höhle::N,caverna,గుహ
114,Abhang::N,pendìo,ఏటవాలు
115,Quelle::N,sorgente,మూలము
116,Bach::N,ruscello,కాలువ
117,Fluss::N,fiume,నది
118,Ufer::N,riva,తీరము
119,Küste::N,costa,తీరము
120,Festland::N,terraferma,భూమి
121,Meer::N,mare,సముద్రము
122,Bucht::N,cala,మరుగు
123,Insel::N,ìsola,దీవి
124,Blume::N,fiore,పుష్పము
125,Gras::N,erba,పచ్చగడ్డి
126,Wurzel::N,radice,వేరు
127,Baum::N,àlbero,చెట్టు
128,Stamm::N,tronco,చెట్టుబోదె
129,Rinde::N,corteccia,చెట్టుపట్ట
130,Ast::N,ramo,కొమ్మ
131,Zweig::N,ramo,చివుకు
132,Blatt::N,foglia,ఆకు
133,Birke::N,betulla,తరహా చెట్టు
134,Kiefer[Baum]::N,pino,దేవదారు చెట్టు
135,Weide[Baum]::N,sàlice,జాతిచెట్టు
136,Tanne::N,abete,దేవదారుచెట్టు
137,Horn::N,corno,కొమ్ము
138,Feder::N,penna,ఈక
139,Fell::N,manto,తోలు
140,Fell::N,pelame,తోలు
141,Flügel::N,ala,ఱెక్క
142,Klaue::N,grinfia,వంకరగోరు
143,Kralle::N,unghia,వంకరగోరు
144,Kralle::N,artiglio,వంకరగోరు
145,Schwanz::N,coda,తోక
146,Ei::N,uovo,గ్రుడ్డు
147,Nest::N,nido,పక్షిగూడు
148,Bau::N,covo,గుహ
149,Tier::N,bestia,జంతువు
150,Tier::N,animale,జంతువు
151,Herde::N,gregge,మంద
152,Kuh::N,vacca,ఆవు
153,Bulle::N,toro,గిత్త
154,Pferd::N,cavallo,గుఱ్ఱము
155,Schaf::N,pècora,గొఱ్ఱె
156,Schwein::N,porco,పంది
157,Schwein::N,maiale,పంది
158,Hund::N,cane,కుక్క
159,Katze::N,gatta,పిల్లి
160,Bär::N,orso,ఎలుగుబంటి
161,Eichhörnchen::N,scoiàttolo,ఉడుత
162,Elch::N,alce,కణంజు
163,Fuchs::N,volpe,గుంటనక్క
164,Hase::N,lepre,కుందేలు
165,Maus::N,topo,చిట్టెలుక
166,Maus::N,sorcio,చిట్టెలుక
167,Wolf::N,lupo,తోడేలు
168,Vogel::N,uccello,పక్షి
169,Schwarm::N,stormo,గుంపు
170,Huhn::N,gallina,కోడిపిల్ల
171,Hahn::N,gallo,కోడివుంజు
172,Gans::N,oca,ఆడుబాతు
173,Adler::N,àquila,గ్రద్ద
174,Ente::N,ànatra,పాట్టిబాతు
175,Eule::N,gufo,గ్రుడ్లగూబ
176,Eule::N,civetta,గ్రుడ్లగూబ
177,Kranich::N,gru,కొంగ
178,Krähe::N,cornacchia,కాకి
179,Kuckuck::N,cuccù,కోయల
180,Kuckuck::N,cùculo,కోయల
181,Schwan::N,cigno,హంస
182,Fisch::N,pesce,చేప
183,Barsch::N,pèrsico,ఒకచేఁప
184,Hecht::N,luccio,గండుమీను
185,Schlange[Tier]::N,serpente,పాము
186,Wurm::N,baco,పురుగు
187,Wurm::N,verme,పురుగు
188,Spinne::N,ragno,సాలె పురుగు
189,Ameise::N,formica,చీమ
190,Laus::N,pidocchio,పేను
191,Mücke::N,zanzara,చీకటీగ
192,Fliege::N,mosca,ఈగ
193,Schmetterling::N,farfalla,సీతాకోకచిలుక
194,Beere::N,bacca,కాయ
195,Apfel::N,mela,ఆపిల్ పండు
196,Pilz::N,fungo,కుక్కగొడుగు
197,Zwiebel::N,cipolla,నీరుల్లి
198,Saat::N,semente,విత్తనము
199,Korn::N,grano,గింజ
200,Heu::N,fieno,ఎండుగడ్డి
201,Schale::N,buccia,పొట్టు
202,Grube::N,cava,గొయ్యి
203,Grube::N,fossa,గొయ్యి
204,Falle::N,tràppola,బోను
205,Schlinge::N,laccio,ఉరి
206,Spur::N,traccia,జాడ
207,Asche::N,cenere,బూడిద
208,Dreck::N,fango,ముఱికి
209,Eisen::N,ferro,ఇనుము
210,Gold::N,oro,బంగారము
211,Silber::N,argento,వెండి
212,Kohle::N,carbone,నేలబొగ్గు
213,Glas::N,vetro,గాజు
214,Lehm::N,argilla,బంకమన్ను
215,Sand::N,arena,ఇసుక
216,Sand::N,sabbia,ఇసుక
217,Mensch::N,uomo,నరుడు
218,Mensch::N,èssere umano,నరుడు
219,Mann::N,uomo,పురుమడు
220,Frau::N,donna,ఆడుది
221,Kind::N,bambino,బిడ్డ
222,Junge::N,ragazzo,బాలుడు
223,Mädchen::N,ragazza,బాలిక
224,Familie::N,famiglia,కుటుంబము
225,Großvater::N,nonno,తాత
226,Großmutter::N,nonna,అయ్యమ్మ
227,Eltern::N,genitori,తల్లితండ్రులు
228,Vater::N,padre,తండ్రి
229,Mutter::N,madre,తల్లి
230,Sohn::N,figlio,కొడుకు
231,Tochter::N,figlia,కూతురు
232,Bruder::N,fratello,పోదరుడు
233,Schwester::N,sorella,సోదరి
234,Onkel::N,zio,మేనమామ
235,Tante::N,zia,మేనత్త
236,Tante::N,zia,పినతల్లి
237,Ehemann::N,marito,భర్త
238,Ehefrau::N,moglie,భార్య
239,Freude::N,gioia,సంతోషము
240,Freude::N,piacere,సంతోషము
241,Gelächter::N,risata,నవ్వు
242,Glück::N,felicità,సంతోషము
243,Kummer::N,afflizione,దుఃఖము
244,Wunsch::N,desiderio,కోరిక
245,Lust::N,voglia,కోరిక
246,Geist::N,mente,ఆత్మ
247,Geist::N,spìrito,ఆత్మ
248,Gedanke::N,idea,ఆలోచన
249,Gedanke::N,pensiero,ఆలోచన
250,Gedächtnis::N,memoria,జ్ఞాపకము
251,Verstand::N,intelletto,మనస్సు
252,Sinn::N,senso,అర్థము
253,Sinn::N,significato,అర్థము
254,Grund::N,causa,కారణము
255,Grund::N,motivo,కారణము
256,Grund::N,ragione,కారణము
257,Wahrheit::N,verità,సత్యము
258,Gespräch::N,discorso,పంభాషణ
259,Gespräch::N,conversazione,పంభాషణ
260,Märchen::N,fiaba,అద్భుతకథ
261,Märchen::N,fàvola,అద్భుతకథ
262,Erzählung::N,racconto,కథ
263,Erzählung::N,narrazione,కథ
264,Nachricht::N,messaggio,వార్త
265,Neuigkeit::N,notizia,వార్త
266,Name::N,nome,పేరు
267,Rätsel::N,indovinello,చిక్కు
268,Rede::N,discorso,ఉపన్యాసము
269,Sprache::N,lingua,భాష
270,Sprache::N,linguaggio,భాష
271,Stimme::N,voce,కంరథ్సని
272,Wort::N,parola,మాట
273,Zeichen::N,segno,గుర్తు
274,Zeichen::N,segnale,గుర్తు
275,Ruf::N,chiamata,పిలువు
276,Lärm::N,chiasso,సందడి
277,Lärm::N,strèpito,సందడి
278,Laut::N,suono,ధ్వని
279,Ton::N,tono,స్వరము
280,Lied::N,canto,పాట
281,Lied::N,canzone,పాట
282,Ruhe::N,calma,గాలిలేమి
283,Ruhe::N,tranquillità,గాలిలేమి
284,Leute::N,gente,జనులు
285,Volk::N,pòpolo,జాతి
286,Arbeit::N,lavoro,పని
287,Gast::N,òspite,అతిధి
288,Gast::N,invitato,అతిధి
289,Geschenk::N,regalo,దానము
290,Spiel::N,gioco,ఆట
291,Gesellschaft::N,compagnìa,జట్టు
292,Hilfe::N,aiuto,సాహాయ్యము
293,Hilfe::N,soccorso,సాహాయ్యము
294,Freund::N,amico,స్నేహితుడు
295,Kamerad::N,camerata,చెలికాడు
296,Angelegenheit::N,affare,విషయము
297,Angelegenheit::N,faccenda,విషయము
298,Anzahl::N,nùmero,లెక్క
299,Anzahl::N,quantità,లెక్క
300,Art::N,tipo,జాతి
301,Art::N,specie,జాతి
302,Stück::N,pezzo,తునుక
303,Teil::N,parte,భాగము
304,Hälfte::N,metà,సగము
305,Kreis::N,cìrcolo,వృత్తము
306,Kreuz::N,croce,సిలువ
307,Linie::N,lìnea,గీత
308,Strich::N,tratto,గీత
309,Abstand::N,distanza,సందు
310,Entfernung::N,distanza,దూరము
311,Entfernung::N,lontananza,దూరము
312,Gegend::N,regione,విస్తీర్ణము
313,Platz::N,posto,ఎడము
314,Platz::N,spazio,ఎడము
315,Ort::N,luogo,స్థలము
316,Ort::N,località,స్థలము
317,Seite::N,lato,ప్రక్క
318,Seite::N,parte,ప్రక్క
319,Mitte::N,mezzo,నడిమి
320,Mitte::N,centro,నడిమి
321,Gegenstand::N,oggetto,పద్దు
322,Sache::N,cosa,వస్తువు
323,Rand::N,orlo,అంచు
324,Rand::N,bordo,అంచు
325,Kante::N,spìgolo,అంచు
326,Ecke::N,canto,మూల
327,Spitze::N,punta,మొన
328,Ende::N,capo,కొన
329,Ende::N,estremità,కొన
330,Loch::N,buco,రంధ్రము
331,Winkel::N,àngolo,కోణము
332,Muster::N,disegno,మాదిరి
333,Größe::N,taglia,పరిమాణము
334,Größe::N,grandezza,పరిమాణము
335,Länge::N,lunghezza,పొడుగు
336,Höhe::N,altezza,పొడుగు
337,Gewicht::N,peso,భారము
338,Menge::N,quantità,మొత్తము
339,Haufen::N,cùmulo,రాశి
340,Haufen::N,mucchio,రాశి
341,Reihe::N,fila,వరుస
342,Boot::N,barca,పడవ
343,Boot::N,battello,పడవ
344,Ruder::N,remo,అడక
345,Schlitten::N,slitta,సరవండ్లు
346,Ski::N,sci,స్కీ
347,Lagerfeuer::N,falò,నెగడు
348,Lagerfeuer::N,fuoco di bivacco,నెగడు
349,Last::N,càrico,బరువు
350,Gang::N,andata,నడక
351,Schritt::N,passo,అడుగు
352,Norden::N,nord,ఉత్తరదిక్కు
353,Norden::N,settentrione,ఉత్తరదిక్కు
354,Süden::N,sud,దక్షిణము
355,Süden::N,meridione,దక్షిణము
356,Westen::N,òvest,పడమర
357,Westen::N,occidente,పడమర
358,Osten::N,est,తూర్పు
359,Osten::N,oriente,తూర్పు
360,Holz::N,legno,కొయ్య
361,Brett::N,asse,పలక
362,Brett::N,tàvola,పలక
363,Platte::N,lastra,పలక
364,Platte::N,piastra,పలక
365,Stütze::N,supporto,వాల్సేడ్లు
366,Stange::N,sbarra,స్తంభము
367,Stange::N,pèrtica,స్తంభము
368,Stock::N,verga,కఱ్ఱ
369,Stock::N,bastone,కఱ్ఱ
370,Stock::N,bacchetta,కఱ్ఱ
371,Stab::N,asta,కఱ్ఱ
372,Rohr::N,tubo,గొట్టము
373,Haus::N,casa,ఇల్లు
374,Heim::N,casa,స్వగృహము
375,Ofen::N,stufa,పొయ్యి
376,Fußboden::N,pavimento,నేల
377,Tisch::N,tàvolo,మేజా
378,Stuhl::N,sedia,కుర్చీ
379,Wiege::N,culla,ఉయ్యాల
380,Bett::N,letto,పడక
381,Bett::N,letto,మంచం
382,Regal::N,scaffale,అటక
383,Kiste::N,cassa,వెట్టె
384,Fenster::N,finestra,కిటికి
385,Tür::N,porta,ద్వారము
386,Tor::N,portone,ద్వారము
387,Zaun::N,recinto,కంచె
388,Dach::N,tetto,ఇంటివైకప్పు
389,Leiter::N,scala,నిచ్చెన
390,Leiter::N,scala a pioli,నిచ్చెన
391,Besen::N,scopa,చీపురుకట్ట
392,Spaten::N,vanga,పాఱ
393,Schaufel::N,pala,పాఱ
394,Gabel::N,forchetta,ముండ్లగరిటె
395,Löffel::N,cucchiaio,గరిటె
396,Messer::N,coltello,కత్తి
397,Nagel::N,chiodo,మేకు
398,Netz::N,rete,వల
399,Haken::N,uncino,కొక్కెము
400,Griff::N,mànico,పిడి
401,Griff::N,maniglia,పిడి
402,Schloss::N,serratura,తాళము
403,Bild::N,quadro,చిత్రము
404,Bild::N,immàgine,చిత్రము
405,Figur::N,figura,రూపము
406,Puppe::N,bàmbola,బొమ్మ
407,Beutel::N,borsa,సంచి
408,Beutel::N,sacchetto,సంచి
409,Bündel::N,fascio,మూట
410,Bündel::N,fagotto,మూట
411,Tasche::N,borsa,సంచి
412,Eimer::N,secchio,చేద
413,Deckel::N,coperchio,మూత
414,Geschirr::N,stoviglie,వంటకాలు
415,Sack::N,sacco,గోనెసంచి
416,Tasse::N,tazza,గిన్నె
417,Topf::N,pèntola,కుండ
418,Kessel::N,paiolo,నీరుకాచుపాత్ర
419,Kessel::N,calderone,నీరుకాచుపాత్ర
420,Essen::N,pasto,ఆహారము
421,Essen::N,mangiare,ఆహారము
422,Nahrung::N,cibo,ఆహారము
423,Nahrung::N,alimento,ఆహారము
424,Speise::N,piatto,ఆహారము
425,Fleisch::N,carne,మాంసము
426,Getreide::N,cereali,ధాన్యము
427,Brei::N,purè,గుజ్జు
428,Brei::N,pappa,గుజ్జు
429,Brot::N,pane,రొట్టె
430,Scheibe::N,fetta,బద్ద
431,Scheibe::N,trancia,బద్ద
432,Fett::N,grasso,క్రొవ్వు
433,Butter::N,burro,వెన్న
434,Öl::N,olio,నూనె
435,Salz::N,sale,ఉప్పు
436,Suppe::N,zuppa,చారు
437,Suppe::N,minestra,చారు
438,Honig::N,miele,తెనె
439,Milch::N,latte,పాలు
440,Tee::N,tè,తేనీరు
441,Leder::N,pelle,బాగుచేసివతోలు
442,Wolle::N,lana,ఉన్ని
443,Stoff::N,panno,బట్ట
444,Stoff::N,tessuto,బట్ట
445,Nadel::N,ago,సూది
446,Faden::N,filo,దారము
447,Knopf::N,bottone,బొత్తాము
448,Knoten::N,nodo,ముడి
449,Farbe::N,pittura,రంగు
450,Kleidung::N,vestiti,బట్టలు
451,Kleidung::N,vestiario,బట్టలు
452,Hemd::N,camicia,చొక్కాయ
453,Kragen::N,bàvero,మాల
454,Kragen::N,colletto,మాల
455,Ärmel::N,mànica,చొక్కాయచెయ్యి
456,Hose::N,calzoni,ఇజారు
457,Gürtel::N,cintura,పటకా
458,Mütze::N,berretto,టోపి
459,Schuh::N,scarpa,పాదరక్ష
460,Stiefel::N,stivale,బూటు
461,Ring::N,anello,ఉంగరము
462,Band::N,nastro,నాడా
463,Band::N,fettuccia,నాడా
464,Kamm::N,pèttine,దువ్వెన
465,Spiegel::N,specchio,అద్దము
466,Riemen::N,cinghia,వాడా
467,Schnur::N,corda,దారము
468,Leine::N,guinzaglio,వారు
469,Decke::N,coperta,కంబళి
470,Kissen::N,cuscino,తలగడ
471,Kissen::N,guanciale,తలగడ
472,Tuch::N,fazzoletto,బట్ట
473,Handtuch::N,asciugamano,తువాలు
474,Kraft::N,forza,బలము
475,Stärke::N,forza,శక్తి
476,Stärke::N,vigore,శక్తి
477,Stärke::N,fortezza,శక్తి
478,Gesundheit::N,salute,ఆరోగ్యము
479,Krankheit::N,malattìa,రోగము
480,Schmerz::N,dolore,నొప్పి
481,Wunde::N,piaga,గాయము
482,Wunde::N,ferita,గాయము
483,Fieber::N,febbre,జ్వరము
484,Arznei::N,fàrmaco,మందు
485,Arznei::N,medicina,మందు
486,Brücke::N,ponte,వంతెన
487,Brunnen::N,pozzo,బావి
488,Brunnen::N,pozzo,కూపము
489,Brunnen::N,pozzo,నుయ్యి
490,Weide::N,pàscolo,పచ్చికబయలు
491,Pfad::N,sentiero,కాలిత్రోవ
492,Weg::N,via,మార్గము
493,Weg::N,cammino,మార్గము
494,Straße::N,strada,బాట
495,Dorf::N,paese,గ్రామము
496,Dorf::N,villaggio,గ్రామము
497,Stadt::N,città,పట్టణము
498,Brief::N,lèttera,జాబు
499,Buch::N,libro,పుస్తకము
500,Buchstabe::N,lèttera,అక్షరము
501,Zeitung::N,giornale,వార్తాపత్రిక
502,Leben::N,vita,ప్రాణము
503,Tod::N,morte,మరణము
504,Grab::N,tomba,సమాధి
505,Grab::N,sepolcro,సమాధి
506,Kirche::N,chiesa,క్రెస్తవులగుడి
507,Sünde::N,peccato,పాపము
508,Gott::N,dio,దేవుడు
509,Arbeiter::N,operaio,పనిపాటుచేశేవాడు
510,Arbeiter::N,lavoratore,పనిపాటుచేశేవాడు
511,Chef::N,capo,యజమానుడు
512,Chef::N,padrone,యజమానుడు
513,Meister::N,mastro,కళాకారుడు
514,Meister::N,maestro,కళాకారుడు
515,Arzt::N,mèdico,వైద్యుడు
516,Arzt::N,dottore,వైద్యుడు
517,Lehrer::N,professore,ఉపాధ్యాయుడు
518,Geld::N,soldi,ద్రవ్యము
519,Geld::N,denaro,ద్రవ్యము
520,Geschäft::N,affare,వ్యాపారము
521,Geschäft::N,negozio,వ్యాపారము
522,Laden::N,negozio,అంగడి
523,Preis::N,prezzo,వెల
524,Ware::N,merce,సరకులు
525,Nutzen::N,ùtile,ప్రయోజనము
526,Nutzen::N,profitto,ప్రయోజనము
527,Reichtum::N,ricchezza,ధనము
528,Welt::N,mondo,ప్రపంచము
529,Land::N,paese,దేశము
530,Staat::N,Stato,రాజ్యము
531,König::N,re,రాజు
532,Macht::N,potere,అధికారము
533,Grenze::N,confine,సరిహద్దు
534,Grenze::N,frontiera,సరిహద్దు
535,Krieg::N,guerra,యుద్ధము
536,Feind::N,nemico,శత్రువు
537,Gewalt::N,violenza,దౌర్జన్యము
538,Kampf::N,lotta,పోట్లాట
539,Bogen[Waffe]::N,arco,విల్లు
540,Pfeil::N,freccia,బాణము
541,Gewehr::N,fucile,తుపాకి
542,Fehler::N,errore,తప్ప
543,Fehler::N,sbaglio,తప్ప
544,Lüge::N,bugìa,అసత్యము
545,Lüge::N,menzogna,అసత్యము
546,Schaden::N,danno,నష్టము
547,Unglück::N,sfortuna,దురదృష్టము
548,Schuld::N,colpa,తప్పు
549,Alter::N,età,వయస్సు
550,Schluss::N,fine,ముగింపు
551,Zeit::N,tempo,కాలము
552,Tag::N,giorno,దినము
553,Tag::N,giornata,దినము
554,Morgen::N,mattina,ఉదయము
555,Mittag::N,mezzogiorno,మధ్యాహ్నము
556,Abend::N,sera,సాయంకాలము
557,Abend::N,serata,సాయంకాలము
558,Nacht::N,notte,రత్రి
559,Woche::N,settimana,వారము
560,Monat::N,mese,నెల
561,Jahr::N,anno,సంవత్సరము
562,Frühling::N,primavera,వసంతకాలము
563,Sommer::N,estate,వేసవికాము
564,Herbst::N,autunno,ఆకురాలుకాలము
565,Winter::N,inverno,శీతకాలము
566,Januar::N,gennaio,జనవరి
567,Februar::N,febbraio,ఫిబ్రవరి
568,März::N,marzo,మార్చి
569,April::N,aprile,ఏప్రిలు
570,Mai::N,maggio,మే
571,Juni::N,giugno,జూన్
572,Juli::N,luglio,జూలై
573,August::N,agosto,ఆగస్టు
574,September::N,settembre,సెప్ఠెంబరు
575,Oktober::N,ottobre,అక్టోబరు
576,November::N,novembre,నవంబరు
577,Dezember::N,dicembre,డిసెంబర్
578,Montag::N,lunedì,సోమవారము
579,Dienstag::N,martedì,మంగళవారము
580,Mittwoch::N,mercoledì,బుధవారము
581,Donnerstag::N,giovedì,గురువారము
582,Freitag::N,venerdì,శుక్రవారము
583,Samstag::N,sàbato,శనివారము
584,Sonntag::N,domenica,ఆదివారము
585,groß::A,grande,గొప్పైన
586,klein::A,pìccolo,చిన్న
587,lang::A,lungo,పొడుగాటి
588,kurz::A,corto,పొట్టి
589,breit::A,largo,వెడల్పైన
590,schmal::A,stretto,ఇఱుకైన
591,dicht::A,denso,దట్టమైన
592,dick[Gegenstand]::A,spesso,దట్టమైన
593,dünn::A,sottile,పలుచని
594,fein::A,fine,నాజాకైన
595,fein::A,delicato,నాజాకైన
596,fest::A,sodo,దృడమైవ
597,fest::A,fisso,దృడమైవ
598,flach::A,piano,చదువైన
599,flach::A,piatto,చదువైన
600,glatt::A,liscio,నున్నని
601,hart::A,duro,కఠినమైన
602,weich::A,molle,మృదువైన
603,rund::A,rotondo,గుండ్రని
604,spitz::A,aguzzo,మొనగల
605,spitz::A,appuntito,మొనగల
606,scharf::A,affilato,పదనైన
607,scharf::A,tagliente,పదనైన
608,stumpf::A,smussato,వాడిలేని
609,schwer::A,pesante,బరువ్తెన
610,schön::A,bello,సుందరమైన
611,heiß::A,caldo,వేడియైన
612,heiß::A,bollente,వేడియైన
613,warm::A,caldo,వెచ్చని
614,kalt::A,freddo,చల్లని
615,kühl::A,fresco,చల్లని
616,frisch::A,fresco,తాజాయైన
617,feucht::A,ùmido,చెమ్మగానున్న
618,nass::A,bagnato,తడిగామన్న
619,trocken::A,secco,ఎండిన
620,voll::A,pieno,నిండు
621,leer::A,vuoto,శూన్యమైన
622,offen::A,aperto,తెఱచియున్న
623,geschlossen::A,chiuso,మూసిన
624,sauber::A,netto,పరిశుద్ధమైన
625,sauber::A,pulito,పరిశుద్ధమైన
626,schmutzig::A,sporco,ముఱికియైన
627,schmutzig::A,sùdicio,ముఱికియైన
628,roh::A,crudo,పచ్చి
629,reif::A,maturo,పండివ
630,lecker::A,ghiotto,రుచి గల
631,lecker::A,squisito,రుచి గల
632,süß::A,dolce,తియ్యని
633,bitter::A,amaro,చేదైన
634,sauer::A,aspro,పుల్లని
635,sauer::A,acerbo,పుల్లని
636,hell::A,chiaro,కాంతిగల
637,dunkel::A,buio,చీకటియైన
638,dunkel::A,oscuro,చీకటియైన
639,schwarz::A,nero,నల్లని
640,weiß::A,bianco,తెలుపు
641,rot::A,rosso,ఎఱ్ఱని
642,gelb::A,giallo,పసుపు పచ్చ
643,blau::A,blu,నీలవర్ణము
644,blau::A,azzurro,నీలవర్ణము
645,grün::A,verde,ఆకుపచ్చని
646,grau::A,grigio,నెరిసిన
647,bunt::A,variopinto,రంగేలీ
648,billig::A,a buon prezzo,చౌకయైన
649,billig::A,a buon mercato,చౌకయైన
650,teuer::A,caro,వెలపొడుగైన
651,wertvoll::A,prezioso,విలుప్తెన
652,blind::A,cieco,గ్రుడ్డి
653,taub::A,sordo,చెవిటి
654,kräftig::A,forte,శక్తి గల
655,kräftig::A,robusto,శక్తి గల
656,stark::A,forte,బలమైన
657,stark::A,vigoroso,బలమైన
658,schwach::A,dèbole,బలహీనమైన
659,fett::A,grasso,క్రొవ్విన
660,schlank::A,snello,సన్నని
661,schlank::A,slanciato,సన్నని
662,hübsch::A,bello,సాగప్తెన
663,hübsch::A,carino,సాగప్తెన
664,böse::A,cattivo,చెడ్డ
665,dumm::A,stùpido,తెలివిలేని
666,faul::A,pigro,సోమరియైన
667,fleißig::A,diligente,శ్రద్దగల
668,geizig::A,avaro,పిసినారియైన
669,klug::A,intelligente,తెలివిగల
670,geschickt::A,àbile,నిపుణతగల
671,lieb::A,caro,ప్రియమైన
672,lustig::A,gaio,ఉల్లాసము గల
673,lustig::A,allegro,ఉల్లాసము గల
674,sanft::A,dolce,సాధువైన
675,hungrig::A,affamato,ఆకలిగొనిన
676,krank::A,malato,వ్యాధిగల
677,krank::A,infermo,వ్యాధిగల
678,nackt::A,nudo,దిగంబరమైన
679,traurig::A,triste,విచారముగల
680,lebendig::A,vivo,ప్రాణముతో నున్న
681,gut::A,buono,మంచి
682,schlecht::A,cattivo,చెడ్డ
683,richtig::A,giusto,సరియైన
684,schlimm::A,grave,అసహ్యమైన
685,wahr::A,vero,నిజమైన
686,alt::A,vecchio,ముసలి
687,neu::A,nuovo,క్రొత్త
688,ehemalig::A,vecchio,పూర్వపు
689,ehemalig::A,d'una_volta,పూర్వపు
690,alt[Lebewesen]::A,anziano,ముసలి
691,jung::A,giovane,పసి
692,arm::A,pòvero,బీద
693,reich::A,ricco,ధనవంతుడైన
694,bekannt::A,noto,తెలిసిన
695,bekannt::A,conosciuto,తెలిసిన
696,berühmt::A,famoso,ప్రపిద్దికెక్కివ
697,berühmt::A,cèlebre,ప్రపిద్దికెక్కివ
698,fremd::A,estràneo,అన్యమైన
699,fremd::A,straniero,అన్యమైన
700,verschieden::A,diverso,భేదమైన
701,verschieden::A,differente,భేదమైన
