,Concept_ID,lbe,cy
105,Gipfel::N,мицӏ,copa
106,Höhle::N,нух,ogof
107,Abhang::N,сун,llethr
108,Quelle::N,дайдихьу,tarddiad
109,Quelle::N,дайдихьу,ffynhonnell
110,Quelle::N,бакӏ,tarddiad
111,Quelle::N,бакӏ,ffynhonnell
112,Bach::N,чӏрир нех,nant
113,Bach::N,чӏрир нех,afonig
114,Bach::N,чӏрир нех,cornant
115,Fluss::N,нех,afon
116,Ufer::N,зума,glan
117,Küste::N,зумаинхалу,traeth
118,Küste::N,зумаинхалу,arfordir
119,Küste::N,зуманицӏалу,traeth
120,Küste::N,зуманицӏалу,arfordir
121,Festland::N,кьири,tir
122,Meer::N,хьхьири,môr
123,Insel::N,жазира,ynys
124,Blume::N,тӏутӏи,blodyn
125,Gras::N,уртту,glaswellt
126,Wurzel::N,мархха,gwreiddyn
127,Baum::N,мурхь,coeden
128,Stamm::N,ттарцӏ,colfen
129,Stamm::N,ттарцӏ,boncyff
130,Rinde::N,ккамара,rhisgl
131,Ast::N,матӏи,cangen
132,Zweig::N,къяртта,cainc
133,Zweig::N,къяртта,cangen
134,Blatt::N,чӏапӏи,deilen
135,Birke::N,кӏялахӏи,bedwen
136,Birke::N,кӏялахӏилул мурхь,bedwen
137,Kiefer[Baum]::N,ттар,pinwydden
138,Kiefer[Baum]::N,ттарлил мурхь,pinwydden
139,Weide[Baum]::N,щавщи,helygen
140,Tanne::N,ттарлил мурхь,ffynidwydden
141,Horn::N,хъи,corn
142,Feder::N,лелуххул тӏиму,plufyn
143,Fell::N,бурчу,ffwr
144,Flügel::N,хъа,adain
145,Flügel::N,ххурупӏайрал тӏиму,adain
146,Klaue::N,михь,crafanc
147,Kralle::N,ххяппа,ewin
148,Schwanz::N,магъ,cwt
149,Schwanz::N,магъ,cynffon
150,Ei::N,ккунук,wy
151,Nest::N,кюру,nyth
152,Bau::N,цукъуккутӏ,ffau
153,Tier::N,хӏайван,anifail
154,Herde::N,газу,praidd
155,Herde::N,газу,diadell
156,Kuh::N,оьл,buwch
157,Bulle::N,ниц,tarw
158,Pferd::N,чу,ceffyl
159,Schaf::N,тта,dafad
160,Schwein::N,дунгъуз,mochyn
161,Hund::N,ккаччи,ci
162,Katze::N,ччиту,cath
163,Bär::N,цуша,arth
164,Eichhörnchen::N,бюрхттукку,gwiwer
165,Elch::N,ниц-бюрин,elc
166,Fuchs::N,цулчӏа,cadno
167,Fuchs::N,куча цулчӏа,cadno
168,Hase::N,бюрх,ysgyfarnog
169,Maus::N,кӏулу,llygoden
170,Wolf::N,барцӏ,blaidd
171,Vogel::N,лелуххи,aderyn
172,Schwarm::N,гьухъала,haid
173,Huhn::N,аьнакӏи,cyw
174,Hahn::N,ажари,ceiliog
175,Gans::N,къаз,gŵydd
176,Adler::N,барзу,eryr
177,Ente::N,урдак,hwyad
178,Eule::N,ису,tylluan
179,Eule::N,ччиккумяв,tylluan
180,Kranich::N,кьурукь,garan
181,Kranich::N,кьурукь,crychydd
182,Krähe::N,хъатӏу,brân
183,Kuckuck::N,ччикку,cog
184,Kuckuck::N,ччикку,cwcw
185,Schwan::N,урттил къаз,alarch
186,Fisch::N,чавахъ,pysgod
187,Schlange[Tier]::N,шатта,neidr
188,Wurm::N,кьюнукьай шатта,abwydyn
189,Wurm::N,кьюнукьай шатта,pryf genwair
190,Spinne::N,ххялцу,cor
191,Spinne::N,ххялцу,pryf copyn
192,Ameise::N,митӏикьукьу,morgrugyn
193,Mücke::N,мичӏак,gwybedyn
194,Fliege::N,зимиз,cleren
195,Schmetterling::N,чӏимучӏали,glöyn byw
196,Schmetterling::N,чӏимучӏали,iâr fach yr haf
197,Beere::N,хӏаллил ахъулсса,aeronen
198,Apfel::N,гьивч,afal
199,Pilz::N,ттуккул иис,madarch
200,Zwiebel::N,лаччул чсмусул бакӏ,nionyn
201,Zwiebel::N,лаччул чсмусул бакӏ,winwnsyn
202,Saat::N,гьанна,had
203,Korn::N,къама,grawn
204,Heu::N,ххулув,gwair
205,Schale::N,ккиртту,croen
206,Schale::N,ккиртту,plisgyn
207,Grube::N,кӏаланг,pwll
208,Grube::N,кӏаланг,pydew
209,Falle::N,къатӏа,magl
210,Schlinge::N,хӏатӏ,cwlwm rhedeg
211,Spur::N,ша,ôl
212,Asche::N,лах,lludw
213,Dreck::N,кьяркьи,baw
214,Dreck::N,кьяркьи,budreddi
215,Dreck::N,венп,baw
216,Dreck::N,венп,budreddi
217,Eisen::N,мах,haearn
218,Gold::N,муси,aur
219,Silber::N,арцу,arian
220,Kohle::N,кӏалаш,glo
221,Kohle::N,хъуручӏ,glo
222,Glas::N,пюрун,gwydr
223,Lehm::N,сина аьрщи,clai
224,Sand::N,къун,tywod
225,Mensch::N,инсан,dyn
226,Mann::N,чув,dyn
227,Mann::N,адимина,dyn
228,Frau::N,щарсса,merch
229,Frau::N,щарсса,gwraig
230,Frau::N,хъамитайпа,merch
231,Frau::N,хъамитайпа,gwraig
232,Kind::N,чӏиви оьрчӏ,plentyn
233,Junge::N,оьрчӏ,hogyn
234,Junge::N,оьрчӏ,bachgen
235,Junge::N,бурхьин оьрчӏ,hogyn
236,Junge::N,бурхьин оьрчӏ,bachgen
237,Mädchen::N,душ,merch
238,Mädchen::N,душ,geneth
239,Familie::N,кулпат,teulu
240,Familie::N,кулпат,tylwyth
241,Großvater::N,ттатта,taid
242,Großvater::N,ттатта,tad-cu
243,Großvater::N,ниттил ппу,taid
244,Großvater::N,ниттил ппу,tad-cu
245,Großmutter::N,буттал нину,nain
246,Großmutter::N,буттал нину,mam-gu
247,Eltern::N,нину-ппу,rhieni
248,Vater::N,ппу,tad
249,Mutter::N,нину,mam
250,Sohn::N,арс,mab
251,Tochter::N,душ,merch
252,Bruder::N,уссу,brawd
253,Schwester::N,ссу,chwaer
254,Onkel::N,буттауссу,ewythr
255,Tante::N,буттал ссу,modryb
256,Ehemann::N,лас,gŵr
257,Ehefrau::N,щар,gwraig
258,Ehefrau::N,щарсса,gwraig
259,Freude::N,шадшиву,gorfoledd
260,Freude::N,ххаришиву,gorfoledd
261,Gelächter::N,хъяхъаву,chwerthin
262,Glück::N,талихӏ,hapusrwydd
263,Kummer::N,дард,galar
264,Wunsch::N,мурад,dymuniad
265,Lust::N,гьавас,chwant
266,Lust::N,ччаву,chwant
267,Geist::N,рухӏ,ysbryd
268,Gedanke::N,пикри,meddwl
269,Gedächtnis::N,дакӏний личӏаву,cof
270,Verstand::N,аькьлу,meddwl
271,Sinn::N,мяъна,ystyr
272,Grund::N,багьана,achos
273,Grund::N,багьана,rheswm
274,Wahrheit::N,тӏайламур,gwir
275,Wahrheit::N,тӏайламур,gwirionedd
276,Wahrheit::N,хӏакьмур,gwir
277,Wahrheit::N,хӏакьмур,gwirionedd
278,Gespräch::N,ихтилат,sgwrs
279,Märchen::N,магьа,chwedl werin
280,Erzählung::N,хавар,stori
281,Nachricht::N,хавар,neges
282,Neuigkeit::N,хавар,newydd
283,Name::N,цӏа,enw
284,Rätsel::N,ссигьа,pos
285,Rede::N,гъалгъа,araith
286,Sprache::N,маз,iaith
287,Stimme::N,чӏу,llais
288,Stimme::N,чӏукӏа,llais
289,Wort::N,махъ,gair
290,Zeichen::N,лишан,arwydd
291,Lärm::N,чӏу,trwst
292,Laut::N,чӏу,sain
293,Ton::N,чӏу,tôn
294,Lied::N,балай,cân
295,Ruhe::N,дигьалагру,tawelwch
296,Leute::N,инсантал,pobl
297,Volk::N,ил,pobl
298,Volk::N,халкь,pobl
299,Arbeit::N,заву,gwaith
300,Gast::N,хъамаличу,gwestai
301,Geschenk::N,бухчакарши,rhodd
302,Geschenk::N,бухчакарши,anrheg
303,Geschenk::N,лажинккакку,rhodd
304,Geschenk::N,лажинккакку,anrheg
305,Spiel::N,тӏуркӏу,chwarae
306,Gesellschaft::N,жямат,cwmni
307,Gesellschaft::N,ккуран,cwmni
308,Hilfe::N,кумаг,cymorth
309,Freund::N,дус,cyfaill
310,Kamerad::N,хӏаласу,cydymaith
311,Angelegenheit::N,иш,pwnc
312,Anzahl::N,аьдад,cyfrif
313,Art::N,жинс,bath
314,Stück::N,касак,darn
315,Teil::N,бутӏа,rhan
316,Hälfte::N,дачӏи,hanner
317,Kreis::N,кюрщан,cylch
318,Kreuz::N,ххач,croes
319,Linie::N,щва,llinell
320,Strich::N,щва,strôc
321,Strich::N,щва,trawiad
322,Abstand::N,манзил,bwlch
323,Abstand::N,манзил,pellter
324,Entfernung::N,манзил,pellter
325,Gegend::N,кӏану,cylch
326,Ort::N,кӏану,lle
327,Seite::N,чул,ochr
328,Seite::N,чулухалу,ochr
329,Mitte::N,дя,canol
330,Gegenstand::N,зат,eitem
331,Sache::N,зат,peth
332,Rand::N,зума,cwr
333,Rand::N,зума,ymyl
334,Ecke::N,мурцӏу,cornel
335,Spitze::N,мицӏ,blaen
336,Ende::N,зума,pen
337,Loch::N,ккутӏ,twll
338,Winkel::N,мурцӏу,congl
339,Muster::N,накьич,patrwm
340,Länge::N,лахъишиву,hyd
341,Höhe::N,лахъшиву,uchder
342,Gewicht::N,дуццин,pwysau
343,Gewicht::N,кӏушиву,pwysau
344,Haufen::N,бакӏу,pentwr
345,Reihe::N,кьюкьа,rhes
346,Boot::N,луткка,cwch
347,Ruder::N,весло,rhwyf
348,Ruder::N,чӏатӏа,rhwyf
349,Schlitten::N,чана,sled
350,Schlitten::N,чана,car llusg
351,Schlitten::N,санкка,sled
352,Schlitten::N,санкка,car llusg
353,Ski::N,лижарду,sgi
354,Lagerfeuer::N,къавтӏн,coelcerth
355,Last::N,гьиву,llwyth
356,Gang::N,нанаву,tro
357,Schritt::N,ша,cam
358,Norden::N,ухссав,gogledd
359,Norden::N,ухссавнил чулухалу,gogledd
360,Süden::N,кьилва,de
361,Westen::N,баргълагавал,gorllewin
362,Westen::N,баргълагавал чул,gorllewin
363,Osten::N,баргъбуккай чулухалу,dwyrain
364,Holz::N,тӏама,pren
365,Brett::N,тахта,bwrdd
366,Brett::N,тахта,astell
367,Platte::N,гъуни,llech
368,Stütze::N,гьалакӏу,ateg
369,Stütze::N,гьалакӏу,cynhalydd
370,Stange::N,къазихъ,polyn
371,Stock::N,ттархь,ffon
372,Stock::N,ттархь,brigyn
373,Stab::N,ччантӏакъу,ffon
374,Rohr::N,бургъу,pibell
375,Haus::N,къатта,tŷ
376,Heim::N,къатта,cartref
377,Ofen::N,пач,stof
378,Fußboden::N,чӏанкъатта,llawr
379,Tisch::N,усттул,bwrdd
380,Stuhl::N,кӏану,cadair
381,Wiege::N,оьрчӏал кӏану,crud
382,Bett::N,тах,gwely
383,Regal::N,чӏаму,silff
384,Kiste::N,яшикӏ,bocs
385,Kiste::N,яшикӏ,blwch
386,Kiste::N,къурши,bocs
387,Kiste::N,къурши,blwch
388,Fenster::N,чӏавахьулу,ffenestr
389,Tür::N,нуз,drws
390,Tür::N,нузкьун,drws
391,Tor::N,къапу,porth
392,Tor::N,дарваза,porth
393,Zaun::N,дайгьузанну,ffens
394,Dach::N,магъи,to
395,Dach::N,цӏиялу,to
396,Leiter::N,чуртту,ysgol
397,Besen::N,чӏатлу,ysgub
398,Spaten::N,бил,rhaw
399,Schaufel::N,чӏатӏа,rhaw
400,Gabel::N,гьиссилу,fforc
401,Löffel::N,къуса,llwy
402,Messer::N,чӏила,cyllell
403,Nagel::N,мяр,hoel
404,Netz::N,къери,gwe
405,Netz::N,къери,rhwyd
406,Haken::N,къича,bach
407,Griff::N,куяму,carn
408,Schloss::N,кьункьула,clo
409,Bild::N,сурат,llun
410,Bild::N,сурат,pictiwr
411,Puppe::N,ссихьу,dol
412,Beutel::N,чантай,cwd
413,Bündel::N,гьи,bwndel
414,Bündel::N,гьи,coflaid
415,Bündel::N,къар,bwndel
416,Bündel::N,къар,coflaid
417,Eimer::N,бадра,bwced
418,Eimer::N,бадра,cunnog
419,Deckel::N,къапаза,caead
420,Geschirr::N,пюрунчӏул,llestri
421,Geschirr::N,тӏахӏникӏичӏу,llestri
422,Sack::N,къап,sach
423,Sack::N,дарваг,sach
424,Tasse::N,пижан,cwpan
425,Tasse::N,пинжан,cwpan
426,Tasse::N,инкираччатӏи,cwpan
427,Tasse::N,цинцилттал бушкъап,cwpan
428,Topf::N,кӏункӏур,pot
429,Topf::N,кӏункӏур,crochan
430,Kessel::N,чаг,tegell
431,Kessel::N,кӏункӏур,tegell
432,Essen::N,дукия,pryd o fwyd
433,Essen::N,дукин,pryd o fwyd
434,Nahrung::N,дукра,bwyd
435,Speise::N,дукра,saig
436,Fleisch::N,дикӏ,cig
437,Getreide::N,къама,ŷd
438,Getreide::N,къама,llafur
439,Brei::N,ккурч,uwd
440,Brot::N,ччатӏ,bara
441,Scheibe::N,парча,tafell
442,Fett::N,аьгъушиву,saim
443,Fett::N,аьгъушиву,braster
444,Butter::N,нагь,ymenyn
445,Butter::N,лагаву,ymenyn
446,Salz::N,цӏву,halen
447,Suppe::N,накь,cawl
448,Honig::N,ницӏ,mêl
449,Milch::N,накӏ,llaeth
450,Milch::N,накӏ,llefrith
451,Tee::N,чяй,te
452,Leder::N,бурчу,lledr
453,Wolle::N,ппал,gwlân
454,Stoff::N,янна,lliain
455,Stoff::N,янна,brethyn
456,Nadel::N,ххалаххи,nodwydd
457,Faden::N,ххал,edau
458,Faden::N,ххал,edefyn
459,Knopf::N,банд,botwm
460,Knoten::N,къурхъ,cwlwm
461,Farbe::N,сир,paent
462,Kleidung::N,янна,dillad
463,Kleidung::N,янна,gwisgoedd
464,Kleidung::N,лаххия,dillad
465,Kleidung::N,лаххия,gwisgoedd
466,Hemd::N,гьухъа,crys
467,Kragen::N,дарвач,coler
468,Ärmel::N,кахха,llawes
469,Hose::N,хӏажак,trowsus
470,Gürtel::N,мухӏлу,gwregys
471,Mütze::N,кьяпа,cap
472,Stiefel::N,чакма,botasen
473,Ring::N,кӏисса,modrwy
474,Band::N,линт,rhuban
475,Kamm::N,ттарал,crib
476,Spiegel::N,дагьани,drych
477,Riemen::N,эн,strap
478,Schnur::N,хьхьа,llinyn
479,Decke::N,виргъан,blanced
480,Decke::N,виргъан,gwrthban
481,Kissen::N,кӏаралу,clustog
482,Kissen::N,кӏаралу,gobennydd
483,Tuch::N,карщи,sgarff
484,Handtuch::N,калихьу,tywel
485,Handtuch::N,калихьу,lliain sychu
486,Handtuch::N,лажинлихьу,tywel
487,Handtuch::N,лажинлихьу,lliain sychu
488,Kraft::N,эллаж,grym
489,Stärke::N,гуж,nerth
490,Stärke::N,гуж,cryfder
491,Gesundheit::N,цӏуллу-сагъшиву,iechyd
492,Krankheit::N,къашайшиву,afiechyd
493,Krankheit::N,къашайшиву,anhwylder
494,Schmerz::N,къюву,poen
495,Schmerz::N,къюву,gwayw
496,Wunde::N,щаву,clwyf
497,Fieber::N,кӏиришиву,twymyn
498,Arznei::N,дару,meddyginiaeth
499,Brücke::N,ламу,pont
500,Brunnen::N,къуй,ffynnon
501,Weide::N,бизантту,porfa
502,Pfad::N,жегъир ххуллу,llwybr
503,Weg::N,ххуллу,ffordd
504,Straße::N,ххуллу,heol
505,Straße::N,ххуллу,ffordd
506,Dorf::N,щар,pentref
507,Dorf::N,шяравалу,pentref
508,Stadt::N,шагьру,tref
509,Brief::N,чагъар,llythyr
510,Buch::N,лу,llyfr
511,Buchstabe::N,хӏарп,llythyren
512,Zeitung::N,кказит,papur newydd
513,Leben::N,оьрму,bywyd
514,Tod::N,ажал,marwolaeth
515,Tod::N,бивкӏу,marwolaeth
516,Tod::N,ивчӏаву,marwolaeth
517,Grab::N,гьав,bedd
518,Kirche::N,килиса,eglwys
519,Sünde::N,бунагъ,pechod
520,Gott::N,зал,duw
521,Arbeiter::N,зузала,gweithiwr
522,Chef::N,ялувма,pennaeth
523,Meister::N,усттар,meistr
524,Arzt::N,хӏакин,meddyg
525,Lehrer::N,учитель,athro
526,Geld::N,арцу,pres
527,Geld::N,арцу,arian
528,Geschäft::N,даву,busnes
529,Laden::N,ттучан,siop
530,Preis::N,багъа,pris
531,Ware::N,хъус,nwydd
532,Nutzen::N,хайр,elw
533,Nutzen::N,хайр,budd
534,Nutzen::N,мюнпат,elw
535,Nutzen::N,мюнпат,budd
536,Reichtum::N,давлат,cyfoeth
537,Reichtum::N,аваданшиву,cyfoeth
538,Welt::N,дуниял,byd
539,Land::N,билаят,gwlad
540,Staat::N,паччахӏлугъ,gwladwriaeth
541,Macht::N,власть,grym
542,Macht::N,власть,awdurdod
543,Grenze::N,дазу,ffin
544,Grenze::N,дазу,goror
545,Krieg::N,дяъви,rhyfel
546,Feind::N,душман,gelyn
547,Gewalt::N,къия,ffyrnigrwydd
548,Kampf::N,лачӏуи уккаву,brwydr
549,Bogen[Waffe]::N,ккуртта,bwa
550,Pfeil::N,чӏатӏаракӏ,saeth
551,Gewehr::N,ттупанг,dryll
552,Fehler::N,гъалатӏ,gwall
553,Fehler::N,гъалатӏ,camgymeriad
554,Lüge::N,щялмахъ,celwydd
555,Lüge::N,щялмахъ,anwiredd
556,Schaden::N,зарал,niwed
557,Schaden::N,зарал,difrod
558,Unglück::N,бала,anffawd
559,Schuld::N,тахсир,bai
560,Alter::N,оьрму,oed
561,Schluss::N,ахир,diwedd
562,Zeit::N,чӏун,amser
563,Tag::N,кьини,dydd
564,Tag::N,кьини,diwrnod
565,Morgen::N,кӏюрх,bore
566,Mittag::N,ахттайн,nawn
567,Mittag::N,дяахттайн,nawn
568,Mittag::N,ахттайн чӏун,nawn
569,Abend::N,маркӏачӏан,noswaith
570,Nacht::N,хьхьу,nos
571,Woche::N,нюжмар,wythnos
572,Monat::N,барз,mis
573,Jahr::N,шин,blwyddyn
574,Frühling::N,инт,gwanwyn
575,Sommer::N,гъи,haf
576,Herbst::N,ссут,hydref
577,Winter::N,кӏи,gaeaf
578,Januar::N,цалчинмур барз,Ionawr
579,Februar::N,кӏилчинмур барз,Chwefror
580,März::N,шамилчинмур барз,Mawrth
581,April::N,апрель,Ebrill
582,April::N,мукьилчинмур барз,Ebrill
583,Mai::N,май,Mai
584,Mai::N,ххюлчинмур барз,Mai
585,Juni::N,июнь,Mehefin
586,Juni::N,ряххилчинмур барз,Mehefin
587,Juli::N,июль,Gorffennaf
588,Juli::N,Арулчинмур барз,Gorffennaf
589,August::N,мяйлчинмур барз,Awst
590,September::N,урчӏилчинмур барз,Medi
591,Oktober::N,ацӏилчинмур барз,Hydref
592,November::N,ацӏния цалчинмур барз,Tachwedd
593,Dezember::N,ацӏния кӏилчинмур барз,Rhagfyr
594,Montag::N,итин,dydd Llun
595,Montag::N,итин кьини,dydd Llun
596,Dienstag::N,тталат,dydd Mawrth
597,Dienstag::N,тталат кьини,dydd Mawrth
598,Mittwoch::N,арвахӏ,dydd Mercher
599,Donnerstag::N,хамис,dydd Iau
600,Freitag::N,нюжмар,dydd Gwener
601,Freitag::N,нюжмар кьини,dydd Gwener
602,Samstag::N,ххуллун,dydd Sadwrn
603,Samstag::N,ххуллун кьини,dydd Sadwrn
604,Sonntag::N,алхӏат,dydd Sul
605,Sonntag::N,алхӏат кьини,dydd Sul
606,groß::A,бугъарасса,mawr
607,klein::A,чӏивисса,bach
608,lang::A,лахъисса,hir
609,kurz::A,кутӏасса,byr
610,kurz::A,кутӏасса,cwta
611,breit::A,уттасса,llydan
612,schmal::A,уттакӏюласса,cul
613,dicht::A,ццунсса,dwys
614,dick[Gegenstand]::A,ганзсса,trwchus
615,dünn::A,кӏюласса,tenau
616,fest::A,цӏакьсса,cadarn
617,fest::A,кьянкьасса,cadarn
618,flach::A,баягъисса,gwastad
619,flach::A,цӏубакъасса,gwastad
620,flach::A,куртӏ дакъасса,gwastad
621,glatt::A,дюрчӏусса,llyfn
622,hart::A,кьянкьасса,caled
623,weich::A,кӏукӏлусса,meddal
624,rund::A,ккурккисса,crwn
625,spitz::A,ярксса,pigfain
626,spitz::A,дайлсса,pigfain
627,spitz::A,мицӏ бусса,pigfain
628,scharf::A,ярксса,miniog
629,scharf::A,дайлсса,miniog
630,scharf::A,мицӏ бусса,miniog
631,stumpf::A,къуркъасса,pŵl
632,schwer::A,кӏусса,trwm
633,schön::A,аьнтӏикӏасса,teg
634,schön::A,аьнтӏикӏасса,hardd
635,schön::A,аьнтӏикӏасса,prydferth
636,heiß::A,кӏирисса,poeth
637,warm::A,гъелисса,twym
638,warm::A,гъелисса,cynnes
639,kalt::A,дяркъусса,oer
640,kühl::A,дюхлулсса,oeraidd
641,frisch::A,цӏусса,iach
642,feucht::A,атилсса,llaith
643,feucht::A,хъавтусса,llaith
644,nass::A,атилсса,gwlyb
645,nass::A,хъавтусса,gwlyb
646,trocken::A,кьавкьсса,sych
647,trocken::A,кьакьан бувсса,sych
648,voll::A,бувцӏусса,llawn
649,leer::A,бачӏвасса,gwag
650,offen::A,тӏивтӏусса,agored
651,geschlossen::A,лавкьусса,caead
652,geschlossen::A,лавкьусса,caeëdig
653,sauber::A,марцӏсса,glân
654,schmutzig::A,чапалсса,budr
655,schmutzig::A,чапалсса,brwnt
656,roh::A,шакъавхьсса,amrwd
657,reif::A,дирсса,aeddfed
658,lecker::A,нахӏусса,blasus
659,lecker::A,нахӏусса,danteithiol
660,lecker::A,тӏааьнсса,blasus
661,lecker::A,тӏааьнсса,danteithiol
662,süß::A,нацӏусса,melys
663,bitter::A,кьурчӏисса,chwerw
664,sauer::A,туршсса,sur
665,hell::A,чаннасса,disglair
666,dunkel::A,цӏансса,tywyll
667,schwarz::A,лухӏисса,du
668,weiß::A,кӏяласса,gwyn
669,rot::A,ятӏулсса,coch
670,gelb::A,хъахъисса,melyn
671,blau::A,някӏсса,glas
672,grün::A,щюлисса,gwyrdd
673,grau::A,оьрусса,llwyd
674,bunt::A,оьрчӏикӏурисса,lliwgar
675,billig::A,кьювкьусса,rhad
676,teuer::A,ххирасса,drud
677,wertvoll::A,багьасса,gwerthfawr
678,blind::A,мурчӏисса,dall
679,taub::A,къюкӏсса,byddar
680,kräftig::A,гужсса,nerthol
681,kräftig::A,гужсса,grymus
682,stark::A,кьянкьасса,cryf
683,stark::A,кьянкьасса,cadarn
684,schwach::A,заэвсса,gwan
685,fett::A,бучсса,tew
686,schlank::A,бювхъусса,main
687,hübsch::A,янусса,tlws
688,böse::A,оьсса,drwg
689,dumm::A,ахӏмакьсса,twp
690,faul::A,танмалсса,diog
691,faul::A,курчӏилсса,diog
692,fleißig::A,хӏарачат бусса,dyfal
693,geizig::A,янттарцӏансса,crintach
694,geizig::A,янттарцӏансса,cybyddlyd
695,klug::A,аькьлу бусса,deallus
696,geschickt::A,паргалсса,medrus
697,geschickt::A,паргалсса,deheuig
698,lieb::A,аьзизсса,hoff
699,lieb::A,аьзизсса,annwyl
700,lustig::A,тяхъасса,llon
701,sanft::A,иминсса,mwyn
702,hungrig::A,ккашилсса,newynog
703,krank::A,къашавайсса,sâl
704,krank::A,къашавайсса,gwael
705,nackt::A,кӏачӏасса,noeth
706,traurig::A,пашмансса,trist
707,lebendig::A,уттавасса,yn fyw
708,gut::A,ххуйсса,da
709,schlecht::A,оьккисса,drwg
710,schlecht::A,оьккисса,gwael
711,richtig::A,саргъунсса,cywir
712,schlimm::A,оьккисса,enbyd
713,wahr::A,хӏакьсса,gwir
714,alt::A,кугьнасса,hen
715,neu::A,цӏусса,newydd
716,ehemalig::A,хъхъичӏвасса,blaenorol
717,alt[Lebewesen]::A,агьилсса,oedrannus
718,jung::A,чӏавасса,ifanc
719,jung::A,жагьилсса,ifanc
720,arm::A,мискинсса,tlawd
721,reich::A,авадансса,cyfoethog
722,bekannt::A,дусъсса,cynefin
723,bekannt::A,дусъсса,cyfarwydd
724,berühmt::A,машгьурсса,enwog
725,fremd::A,чил,estron
726,verschieden::A,личӏи-личӏисса,gwahanol
727,nah::A,гъансса,agos
728,fern::A,архсса,pell
729,linker::A,кияхсса,aswy
