,Concept_ID,cy,no
112,Berg::N,mynydd,berg
113,Berg::N,mynydd,fjell
114,Gipfel::N,copa,topp
115,Höhle::N,ogof,hule
116,Abhang::N,llethr,li
117,Abhang::N,llethr,skråning
118,Quelle::N,tarddiad,kilde
119,Quelle::N,ffynhonnell,kilde
120,Bach::N,nant,bekk
121,Bach::N,afonig,bekk
122,Bach::N,cornant,bekk
123,Fluss::N,afon,elv
124,Ufer::N,glan,bredd
125,Küste::N,traeth,kyst
126,Küste::N,arfordir,kyst
127,Festland::N,tir,fastland
128,Meer::N,môr,hav
129,Bucht::N,bae,bukt
130,Insel::N,ynys,øy
131,Blume::N,blodyn,blomst
132,Gras::N,glaswellt,gress
133,Wurzel::N,gwreiddyn,rot
134,Baum::N,coeden,tre
135,Stamm::N,colfen,stamme
136,Stamm::N,boncyff,stamme
137,Rinde::N,rhisgl,bark
138,Ast::N,cangen,gren
139,Zweig::N,cainc,kvist
140,Zweig::N,cangen,kvist
141,Blatt::N,deilen,blad
142,Birke::N,bedwen,bjørk
143,Kiefer[Baum]::N,pinwydden,furu
144,Weide[Baum]::N,helygen,selje
145,Weide[Baum]::N,helygen,piletre
146,Tanne::N,ffynidwydden,gran
147,Horn::N,corn,horn
148,Feder::N,plufyn,fjær
149,Fell::N,ffwr,skinn
150,Flügel::N,adain,vinge
151,Klaue::N,crafanc,klauv
152,Kralle::N,ewin,klo
153,Schwanz::N,cwt,hale
154,Schwanz::N,cynffon,hale
155,Ei::N,wy,egg
156,Nest::N,nyth,rede
157,Bau::N,ffau,hi
158,Tier::N,anifail,dyr
159,Herde::N,praidd,flokk
160,Herde::N,diadell,flokk
161,Kuh::N,buwch,ku
162,Bulle::N,tarw,tyr
163,Pferd::N,ceffyl,hest
164,Schaf::N,dafad,får
165,Schwein::N,mochyn,gris
166,Hund::N,ci,hund
167,Katze::N,cath,katt
168,Bär::N,arth,bjørn
169,Eichhörnchen::N,gwiwer,ekorn
170,Elch::N,elc,elg
171,Fuchs::N,cadno,rev
172,Hase::N,ysgyfarnog,hare
173,Maus::N,llygoden,mus
174,Wolf::N,blaidd,ulv
175,Wolf::N,blaidd,varg
176,Vogel::N,aderyn,fugl
177,Schwarm::N,haid,sverm
178,Huhn::N,cyw,høne
179,Hahn::N,ceiliog,hane
180,Gans::N,gŵydd,gås
181,Adler::N,eryr,ørn
182,Ente::N,hwyad,and
183,Eule::N,tylluan,ugle
184,Kranich::N,garan,trane
185,Kranich::N,crychydd,trane
186,Krähe::N,brân,kråke
187,Kuckuck::N,cog,gjøk
188,Kuckuck::N,cwcw,gjøk
189,Schwan::N,alarch,svane
190,Fisch::N,pysgod,fisk
191,Barsch::N,draenog,abbor
192,Hecht::N,penhwyad,gjedde
193,Schlange[Tier]::N,neidr,orm
194,Schlange[Tier]::N,neidr,slange
195,Wurm::N,abwydyn,orm
196,Wurm::N,abwydyn,mark
197,Wurm::N,pryf genwair,orm
198,Wurm::N,pryf genwair,mark
199,Spinne::N,cor,edderkopp
200,Spinne::N,pryf copyn,edderkopp
201,Ameise::N,morgrugyn,maur
202,Laus::N,lleuen,lus
203,Mücke::N,gwybedyn,mygg
204,Fliege::N,cleren,flue
205,Schmetterling::N,glöyn byw,sommerfugl
206,Schmetterling::N,iâr fach yr haf,sommerfugl
207,Beere::N,aeronen,bær
208,Apfel::N,afal,eple
209,Pilz::N,madarch,sopp
210,Zwiebel::N,nionyn,løk
211,Zwiebel::N,winwnsyn,løk
212,Saat::N,had,sæd
213,Korn::N,grawn,korn
214,Heu::N,gwair,høy
215,Schale::N,croen,skall
216,Schale::N,plisgyn,skall
217,Grube::N,pwll,grop
218,Grube::N,pydew,grop
219,Falle::N,magl,felle
220,Schlinge::N,cwlwm rhedeg,snare
221,Spur::N,ôl,spor
222,Asche::N,lludw,aske
223,Dreck::N,baw,møkk
224,Dreck::N,baw,skitt
225,Dreck::N,budreddi,møkk
226,Dreck::N,budreddi,skitt
227,Eisen::N,haearn,jern
228,Gold::N,aur,gull
229,Silber::N,arian,sølv
230,Kohle::N,glo,kol
231,Kohle::N,glo,kull
232,Glas::N,gwydr,glass
233,Lehm::N,clai,leire
234,Sand::N,tywod,sand
235,Mensch::N,dyn,menneske
236,Mann::N,dyn,mann
237,Frau::N,merch,kvinne
238,Frau::N,gwraig,kvinne
239,Kind::N,plentyn,barn
240,Junge::N,hogyn,gutt
241,Junge::N,bachgen,gutt
242,Mädchen::N,merch,pike
243,Mädchen::N,merch,jente
244,Mädchen::N,geneth,pike
245,Mädchen::N,geneth,jente
246,Familie::N,teulu,familie
247,Familie::N,tylwyth,familie
248,Großvater::N,taid,bestefar
249,Großvater::N,tad-cu,bestefar
250,Großmutter::N,nain,bestemor
251,Großmutter::N,mam-gu,bestemor
252,Eltern::N,rhieni,foreldre
253,Vater::N,tad,far
254,Mutter::N,mam,mor
255,Sohn::N,mab,sønn
256,Tochter::N,merch,datter
257,Bruder::N,brawd,bror
258,Schwester::N,chwaer,søster
259,Onkel::N,ewythr,onkel
260,Tante::N,modryb,tante
261,Ehemann::N,gŵr,ektemann
262,Ehefrau::N,gwraig,hustru
263,Freude::N,gorfoledd,glede
264,Gelächter::N,chwerthin,latter
265,Glück::N,hapusrwydd,lykke
266,Kummer::N,galar,sorg
267,Wunsch::N,dymuniad,ønske
268,Lust::N,chwant,lyst
269,Geist::N,ysbryd,ånd
270,Gedanke::N,meddwl,tanke
271,Gedächtnis::N,cof,minne
272,Gedächtnis::N,cof,hukommelse
273,Verstand::N,meddwl,forstand
274,Sinn::N,ystyr,mening
275,Sinn::N,ystyr,betydning
276,Grund::N,achos,grunn
277,Grund::N,rheswm,grunn
278,Wahrheit::N,gwir,sannhet
279,Wahrheit::N,gwirionedd,sannhet
280,Gespräch::N,sgwrs,samtale
281,Märchen::N,chwedl werin,eventyr
282,Erzählung::N,stori,fortelling
283,Nachricht::N,neges,melding
284,Neuigkeit::N,newydd,nyhet
285,Name::N,enw,navn
286,Rätsel::N,pos,gåte
287,Rede::N,araith,tale
288,Sprache::N,iaith,språk
289,Stimme::N,llais,stemme
290,Wort::N,gair,ord
291,Zeichen::N,arwydd,tegn
292,Ruf::N,galwad,rop
293,Lärm::N,trwst,bråk
294,Laut::N,sain,lyd
295,Ton::N,tôn,tone
296,Lied::N,cân,vise
297,Ruhe::N,tawelwch,ro
298,Leute::N,pobl,folk
299,Volk::N,pobl,folk
300,Arbeit::N,gwaith,arbeid
301,Gast::N,gwestai,gjest
302,Geschenk::N,rhodd,gave
303,Geschenk::N,anrheg,gave
304,Spiel::N,chwarae,lek
305,Spiel::N,chwarae,spill
306,Gesellschaft::N,cwmni,selskap
307,Hilfe::N,cymorth,hjelp
308,Freund::N,cyfaill,venn
309,Kamerad::N,cydymaith,kamerat
310,Angelegenheit::N,pwnc,sak
311,Angelegenheit::N,pwnc,anliggende
312,Anzahl::N,cyfrif,antall
313,Art::N,bath,art
314,Art::N,bath,slag
315,Stück::N,darn,stykke
316,Teil::N,rhan,del
317,Hälfte::N,hanner,halvdel
318,Kreis::N,cylch,ring
319,Kreis::N,cylch,sirkel
320,Kreuz::N,croes,kors
321,Kreuz::N,croes,kryss
322,Linie::N,llinell,linje
323,Strich::N,strôc,strek
324,Strich::N,trawiad,strek
325,Abstand::N,bwlch,avstand
326,Abstand::N,pellter,avstand
327,Entfernung::N,pellter,avstand
328,Gegend::N,cylch,strøk
329,Platz::N,lle,plass
330,Ort::N,lle,sted
331,Seite::N,ochr,side
332,Mitte::N,canol,midte
333,Gegenstand::N,eitem,gjenstand
334,Sache::N,peth,sak
335,Rand::N,cwr,rand
336,Rand::N,ymyl,rand
337,Kante::N,min,kant
338,Kante::N,ymyl,kant
339,Ecke::N,cornel,hjørne
340,Spitze::N,blaen,spiss
341,Ende::N,pen,ende
342,Loch::N,twll,hull
343,Winkel::N,congl,vinkel
344,Muster::N,patrwm,mønster
345,Größe::N,maint,størrelse
346,Größe::N,maintioli,størrelse
347,Länge::N,hyd,lengde
348,Höhe::N,uchder,høyde
349,Gewicht::N,pwysau,vekt
350,Menge::N,swm,mengde
351,Menge::N,maint,mengde
352,Haufen::N,pentwr,haug
353,Haufen::N,pentwr,bunke
354,Reihe::N,rhes,rekke
355,Boot::N,cwch,båt
356,Ruder::N,rhwyf,åre
357,Schlitten::N,sled,slede
358,Schlitten::N,sled,kjelke
359,Schlitten::N,car llusg,slede
360,Schlitten::N,car llusg,kjelke
361,Ski::N,sgi,ski
362,Lagerfeuer::N,coelcerth,leirbål
363,Last::N,llwyth,bør
364,Last::N,llwyth,last
365,Gang::N,tro,gang
366,Schritt::N,cam,steg
367,Schritt::N,cam,skritt
368,Norden::N,gogledd,nord
369,Süden::N,de,sør
370,Westen::N,gorllewin,vest
371,Osten::N,dwyrain,øst
372,Holz::N,pren,tre
373,Brett::N,bwrdd,fjøl
374,Brett::N,bwrdd,brett
375,Brett::N,astell,fjøl
376,Brett::N,astell,brett
377,Platte::N,llech,plate
378,Stütze::N,ateg,støtte
379,Stütze::N,cynhalydd,støtte
380,Stange::N,polyn,stang
381,Stock::N,ffon,pinne
382,Stock::N,brigyn,pinne
383,Stab::N,ffon,stav
384,Stab::N,ffon,kjepp
385,Rohr::N,pibell,rør
386,Haus::N,tŷ,hus
387,Heim::N,cartref,hjem
388,Ofen::N,stof,ovn
389,Fußboden::N,llawr,gulv
390,Tisch::N,bwrdd,bord
391,Stuhl::N,cadair,stol
392,Wiege::N,crud,vogge
393,Bett::N,gwely,seng
394,Regal::N,silff,reol
395,Regal::N,silff,hylle
396,Kiste::N,bocs,kasse
397,Kiste::N,blwch,kasse
398,Fenster::N,ffenestr,vindu
399,Tür::N,drws,dør
400,Tor::N,porth,port
401,Zaun::N,ffens,gjerde
402,Dach::N,to,tak
403,Leiter::N,ysgol,stige
404,Besen::N,ysgub,kost
405,Spaten::N,rhaw,spade
406,Schaufel::N,rhaw,skuffe
407,Gabel::N,fforc,gaffel
408,Löffel::N,llwy,skje
409,Messer::N,cyllell,kniv
410,Nagel::N,hoel,spiker
411,Netz::N,gwe,nett
412,Netz::N,rhwyd,nett
413,Haken::N,bach,krok
414,Griff::N,carn,tak
415,Griff::N,carn,håndtak
416,Schloss::N,clo,lås
417,Bild::N,llun,bilde
418,Bild::N,pictiwr,bilde
419,Figur::N,ffigur,figur
420,Puppe::N,dol,dukke
421,Beutel::N,cwd,pose
422,Bündel::N,bwndel,bylt
423,Bündel::N,coflaid,bylt
424,Tasche::N,cod,veske
425,Eimer::N,bwced,bøtte
426,Eimer::N,cunnog,bøtte
427,Deckel::N,caead,lokk
428,Geschirr::N,llestri,kjøkkentøy
429,Sack::N,sach,sekk
430,Tasse::N,cwpan,kopp
431,Topf::N,pot,gryte
432,Topf::N,crochan,gryte
433,Kessel::N,tegell,kjele
434,Essen::N,pryd o fwyd,mål
435,Nahrung::N,bwyd,mat
436,Nahrung::N,bwyd,næring
437,Speise::N,saig,matrett
438,Fleisch::N,cig,kjøtt
439,Getreide::N,ŷd,korn
440,Getreide::N,llafur,korn
441,Brei::N,uwd,grøt
442,Brot::N,bara,brød
443,Scheibe::N,tafell,skive
444,Fett::N,saim,fett
445,Fett::N,braster,fett
446,Butter::N,ymenyn,smør
447,Öl::N,olew,olje
448,Salz::N,halen,salt
449,Suppe::N,cawl,suppe
450,Honig::N,mêl,honning
451,Milch::N,llaeth,melk
452,Milch::N,llefrith,melk
453,Tee::N,te,te
454,Leder::N,lledr,lær
455,Leder::N,lledr,skinn
456,Wolle::N,gwlân,ull
457,Stoff::N,lliain,tøy
458,Stoff::N,lliain,stoff
459,Stoff::N,brethyn,tøy
460,Stoff::N,brethyn,stoff
461,Nadel::N,nodwydd,nål
462,Faden::N,edau,tråd
463,Faden::N,edefyn,tråd
464,Knopf::N,botwm,knapp
465,Knoten::N,cwlwm,knute
466,Farbe::N,paent,farge
467,Kleidung::N,dillad,påkledning
468,Kleidung::N,gwisgoedd,påkledning
469,Hemd::N,crys,skjorte
470,Kragen::N,coler,krage
471,Ärmel::N,llawes,erme
472,Hose::N,trowsus,bukse
473,Gürtel::N,gwregys,belte
474,Mütze::N,cap,lue
475,Schuh::N,esgid,sko
476,Stiefel::N,botasen,støvel
477,Ring::N,modrwy,ring
478,Band::N,rhuban,band
479,Kamm::N,crib,kam
480,Spiegel::N,drych,speil
481,Riemen::N,strap,rem
482,Schnur::N,llinyn,snor
483,Leine::N,tennyn,line
484,Decke::N,blanced,teppe
485,Decke::N,gwrthban,teppe
486,Kissen::N,clustog,pute
487,Kissen::N,gobennydd,pute
488,Tuch::N,sgarff,tøy
489,Handtuch::N,tywel,håndkle
490,Handtuch::N,lliain sychu,håndkle
491,Kraft::N,grym,kraft
492,Stärke::N,nerth,styrke
493,Stärke::N,cryfder,styrke
494,Gesundheit::N,iechyd,helse
495,Gesundheit::N,iechyd,sunnhet
496,Krankheit::N,afiechyd,syke
497,Krankheit::N,afiechyd,sykdom
498,Krankheit::N,anhwylder,syke
499,Krankheit::N,anhwylder,sykdom
500,Schmerz::N,poen,smerte
501,Schmerz::N,gwayw,smerte
502,Wunde::N,clwyf,sår
503,Fieber::N,twymyn,feber
504,Arznei::N,meddyginiaeth,medisin
505,Arznei::N,meddyginiaeth,legemiddel
506,Brücke::N,pont,bro
507,Brunnen::N,ffynnon,brønn
508,Weide::N,porfa,beite
509,Pfad::N,llwybr,sti
510,Weg::N,ffordd,vei
511,Straße::N,heol,gate
512,Straße::N,ffordd,gate
513,Dorf::N,pentref,landsby
514,Stadt::N,tref,by
515,Brief::N,llythyr,brev
516,Buch::N,llyfr,bok
517,Buchstabe::N,llythyren,bokstav
518,Zeitung::N,papur newydd,avis
519,Leben::N,bywyd,liv
520,Tod::N,marwolaeth,død
521,Grab::N,bedd,grav
522,Kirche::N,eglwys,kirke
523,Sünde::N,pechod,synd
524,Gott::N,duw,gud
525,Arbeiter::N,gweithiwr,arbeider
526,Chef::N,pennaeth,sjef
527,Meister::N,meistr,mester
528,Arzt::N,meddyg,lege
529,Lehrer::N,athro,lærer
530,Geld::N,pres,penger
531,Geld::N,arian,penger
532,Geschäft::N,busnes,forretning
533,Laden::N,siop,butikk
534,Preis::N,pris,pris
535,Ware::N,nwydd,vare
536,Nutzen::N,elw,nytte
537,Nutzen::N,budd,nytte
538,Reichtum::N,cyfoeth,rikdom
539,Welt::N,byd,verden
540,Land::N,gwlad,land
541,Staat::N,gwladwriaeth,stat
542,König::N,brenin,konge
543,Macht::N,grym,makt
544,Macht::N,awdurdod,makt
545,Grenze::N,ffin,grense
546,Grenze::N,goror,grense
547,Krieg::N,rhyfel,krig
548,Feind::N,gelyn,fiende
549,Gewalt::N,ffyrnigrwydd,vold
550,Kampf::N,brwydr,kamp
551,Bogen[Waffe]::N,bwa,bue
552,Pfeil::N,saeth,pil
553,Gewehr::N,dryll,gevær
554,Fehler::N,gwall,feil
555,Fehler::N,camgymeriad,feil
556,Lüge::N,celwydd,løgn
557,Lüge::N,anwiredd,løgn
558,Schaden::N,niwed,skade
559,Schaden::N,difrod,skade
560,Unglück::N,anffawd,uhell
561,Schuld::N,bai,skyld
562,Alter::N,oed,alder
563,Schluss::N,diwedd,slutt
564,Zeit::N,amser,tid
565,Tag::N,dydd,dag
566,Tag::N,diwrnod,dag
567,Morgen::N,bore,morgen
568,Mittag::N,nawn,middag
569,Abend::N,noswaith,aften
570,Nacht::N,nos,natt
571,Woche::N,wythnos,uke
572,Monat::N,mis,måned
573,Jahr::N,blwyddyn,år
574,Frühling::N,gwanwyn,vår
575,Sommer::N,haf,sommer
576,Herbst::N,hydref,høst
577,Winter::N,gaeaf,vinter
578,Januar::N,Ionawr,januar
579,Februar::N,Chwefror,februar
580,März::N,Mawrth,mars
581,April::N,Ebrill,april
582,Mai::N,Mai,mai
583,Juni::N,Mehefin,juni
584,Juli::N,Gorffennaf,juli
585,August::N,Awst,august
586,September::N,Medi,september
587,Oktober::N,Hydref,oktober
588,November::N,Tachwedd,november
589,Dezember::N,Rhagfyr,desember
590,Montag::N,dydd Llun,mandag
591,Dienstag::N,dydd Mawrth,tirsdag
592,Mittwoch::N,dydd Mercher,onsdag
593,Donnerstag::N,dydd Iau,torsdag
594,Freitag::N,dydd Gwener,fredag
595,Samstag::N,dydd Sadwrn,lørdag
596,Sonntag::N,dydd Sul,søndag
597,groß::A,mawr,stor
598,klein::A,bach,liten
599,lang::A,hir,lang
600,kurz::A,byr,kort
601,kurz::A,cwta,kort
602,breit::A,llydan,bred
603,schmal::A,cul,smal
604,dicht::A,dwys,tett
605,dick[Gegenstand]::A,trwchus,tykk
606,dünn::A,tenau,tynn
607,fein::A,main,fin
608,fest::A,cadarn,fast
609,flach::A,gwastad,flat
610,glatt::A,llyfn,glatt
611,hart::A,caled,hard
612,weich::A,meddal,myk
613,weich::A,meddal,bløt
614,rund::A,crwn,rund
615,spitz::A,pigfain,spiss
616,scharf::A,miniog,kvass
617,stumpf::A,pŵl,stubb
618,schwer::A,trwm,tung
619,schön::A,teg,pen
620,schön::A,teg,vakker
621,schön::A,hardd,pen
622,schön::A,hardd,vakker
623,schön::A,prydferth,pen
624,schön::A,prydferth,vakker
625,heiß::A,poeth,het
626,warm::A,twym,varm
627,warm::A,cynnes,varm
628,kalt::A,oer,kald
629,kühl::A,oeraidd,kjølig
630,frisch::A,iach,fersk
631,feucht::A,llaith,fuktig
632,nass::A,gwlyb,våt
633,trocken::A,sych,tørr
634,voll::A,llawn,full
635,leer::A,gwag,tom
636,offen::A,agored,åpen
637,geschlossen::A,caead,lukket
638,geschlossen::A,caeëdig,lukket
639,sauber::A,glân,ren
640,schmutzig::A,budr,skitten
641,schmutzig::A,brwnt,skitten
642,roh::A,amrwd,rå
643,reif::A,aeddfed,moden
644,lecker::A,blasus,lekker
645,lecker::A,danteithiol,lekker
646,süß::A,melys,søt
647,bitter::A,chwerw,besk
648,bitter::A,chwerw,bitter
649,sauer::A,sur,sur
650,hell::A,disglair,lys
651,dunkel::A,tywyll,mørk
652,schwarz::A,du,svart
653,weiß::A,gwyn,hvit
654,rot::A,coch,rød
655,gelb::A,melyn,gul
656,blau::A,glas,blå
657,grün::A,gwyrdd,grønn
658,grau::A,llwyd,grå
659,bunt::A,lliwgar,broket
660,billig::A,rhad,billig
661,teuer::A,drud,dyr
662,wertvoll::A,gwerthfawr,verdifull
663,blind::A,dall,blind
664,taub::A,byddar,døv
665,kräftig::A,nerthol,kraftig
666,kräftig::A,grymus,kraftig
667,stark::A,cryf,sterk
668,stark::A,cadarn,sterk
669,schwach::A,gwan,svak
670,fett::A,tew,fet
671,schlank::A,main,slank
672,hübsch::A,tlws,pen
673,böse::A,drwg,slem
674,dumm::A,twp,dum
675,faul::A,diog,lat
676,faul::A,diog,doven
677,fleißig::A,dyfal,flittig
678,geizig::A,crintach,gjerrig
679,geizig::A,cybyddlyd,gjerrig
680,klug::A,deallus,klok
681,geschickt::A,medrus,hendig
682,geschickt::A,medrus,skikket
683,geschickt::A,deheuig,hendig
684,geschickt::A,deheuig,skikket
685,lieb::A,hoff,kjær
686,lieb::A,hoff,snill
687,lieb::A,annwyl,kjær
688,lieb::A,annwyl,snill
689,lustig::A,llon,morsom
690,sanft::A,mwyn,blid
691,hungrig::A,newynog,sulten
692,krank::A,sâl,syk
693,krank::A,gwael,syk
694,nackt::A,noeth,naken
695,traurig::A,trist,sørgmodig
696,lebendig::A,yn fyw,levende
697,gut::A,da,god
698,schlecht::A,drwg,dårlig
699,schlecht::A,gwael,dårlig
700,richtig::A,cywir,riktig
701,schlimm::A,enbyd,slem
702,wahr::A,gwir,sann
703,alt::A,hen,gammel
704,neu::A,newydd,ny
705,ehemalig::A,blaenorol,forhenværende
706,alt[Lebewesen]::A,oedrannus,gammel
707,jung::A,ifanc,ung
708,arm::A,tlawd,fattig
709,reich::A,cyfoethog,rik
710,bekannt::A,cynefin,kjent
711,bekannt::A,cyfarwydd,kjent
712,berühmt::A,enwog,berømt
713,fremd::A,estron,fremmed
714,verschieden::A,gwahanol,forskjellig
715,nah::A,agos,nær
716,fern::A,pell,fjern
717,linker::A,aswy,venstre
718,linker::A,chwith,venstre
719,rechter::A,de,høyre
720,rechter::A,deau,høyre
721,anderer::A,arall,annen
722,erster::A,cyntaf,første
723,zweiter::A,ail,annen
724,dritter::A,trydydd,tredje
725,letzter::A,olaf,sist
726,allein::ADV,unig,alene
727,allein::ADV,ar ei ben ei hun,alene
728,auf einmal::ADV,ar yr un pryd,med ett
729,zusammen::ADV,ynghyd,sammen
730,zusammen::ADV,gyda'i gilydd,sammen
731,lange::ADV,amser hir,lenge
732,plötzlich::ADV,yn sydyn,plutselig
733,sofort::ADV,ar unwaith,straks
734,später::ADV,yn ddiweddarach,senere
735,jetzt::ADV,yn awr,nå
736,heute::ADV,heddiw,i dag
737,morgen::ADV,yfory,i morgen
738,bald::ADV,yn fuan,snart
739,bald::ADV,gyda hyn,snart
740,dann::ADV,yna,så
741,dann::ADV,y pryd hwnnw,så
742,gestern::ADV,ddoe,i går
743,einst::ADV,gynt,engang
744,damals::ADV,ar y pryd,den gang
745,damals::ADV,bryd hynny,den gang
746,danach::ADV,wedyn,deretter
747,vorher::ADV,o'r blaen,før
748,vorher::ADV,o'r blaen,i forveien
749,zuerst::ADV,yn gyntaf,først
750,einmal::ADV,unwaith,en gang
751,manchmal::ADV,weithiau,somme tider
752,manchmal::ADV,ar brydiau,somme tider
753,oft::ADV,yn aml,ofte
754,oft::ADV,yn fynych,ofte
755,immer::ADV,bob amser,alltid
756,niemals::ADV,ni ... byth,aldri
757,niemals::ADV,ni ... erioed,aldri
758,hier::ADV,yma,her
759,hierhin::ADV,hyd yma,hit
760,von hier::ADV,oddi yma,herfra
761,dort::ADV,acw,der
762,dorthin::ADV,tuag yno,dit
763,geradeaus::ADV,syth ymlaen,rett fram
764,vorwärts::ADV,ymlaen,fram
765,vorwärts::ADV,ymlaen,framover
766,rückwärts::ADV,yn ôl,baklengs
767,zurück::ADV,yn ôl,tilbake
768,unten::ADV,isod,nede
769,unten::ADV,oddi tanodd,nede
770,hinab::ADV,i lawr,ned
771,hinab::ADV,i lawr,nedover
772,hinab::ADV,i waered,ned
773,hinab::ADV,i waered,nedover
774,oben::ADV,fry,oppe
775,oben::ADV,fry,ovenpå
776,hinauf::ADV,i fyny,opp
777,hinauf::ADV,i fyny,oppover
778,hinauf::ADV,i'r lan,opp
779,hinauf::ADV,i'r lan,oppover
780,überall::ADV,ym mhobman,overalt
781,nicht::ADV,ni,ikke
782,nicht::ADV,nid,ikke
783,ein wenig::ADV,tipyn,litt
784,ein wenig::ADV,ychydig,litt
785,kaum::ADV,prin,neppe
786,sehr::ADV,iawn,svært
787,so::ADV,fel,så
788,so::ADV,felly,så
789,noch::ADV,eto,enda
790,nur::ADV,yn unig,bare
791,schon::ADV,eisoes,alt
792,schon::ADV,eisoes,allerede
793,schon::ADV,yn barod,alt
794,schon::ADV,yn barod,allerede
795,wieder::ADV,drachefn,igjen
796,vergebens::ADV,yn ofer,forgjeves
797,vor::PRP,o flaen,foran
798,vor::PRP,o flaen,utenfor
799,hinter::PRP,ar ôl,bak
800,hinter::PRP,ar ôl,bakom
801,unter::PRP,islaw,under
802,durch::PRP,trwy,gjennom
803,durch::PRP,trwy,igjennom
804,neben::PRP,ar bwys,ved siden av
805,zwischen::PRP,rhwng,mellom
806,zwischen::PRP,cydrhwng,mellom
807,wegen::PRP,o achos,på grunn av
808,wegen::PRP,oherwydd,på grunn av
809,dies::PRN,hyn,dette
810,das::PRN,hynny,det
811,alles::PRN,popeth,alt
812,ich::PRN,fi,jeg
813,du::PRN,ti,du
814,er::PRN,fe,han
815,wir::PRN,ni,vi
816,ihr::PRN,chi,dere
817,sie::PRN,hwy,de
818,was::FPRN,pa beth,hva
819,wer::FPRN,pwy,hvem
820,wo::FADV,ble,hvor
821,wo::FADV,ym mha le,hvor
822,wohin::FADV,i ble,hvor ... hen
823,wohin::FADV,i ba le,hvor ... hen
824,wie::FADV,sut,hvordan
