,Concept_ID,sl,ab
67,Wasser::N,vôda,аӡы
68,Stein::N,kámen,ахаҳə
69,Boden::N,tlà,адгьыл
70,Erde::N,pŕst,адгьыл
71,Erde::N,zêmlja,адгьыл
72,Staub::N,práh,асаба
73,Rauch::N,dìm,алҩа
74,Funke::N,ískra,акəиц
75,Funke::N,ískra,ацҧхь
76,Feuer::N,ôgenj,амца
77,Licht::N,lúč,алашара
78,Schatten::N,sénca,ашəшьыра
79,Wetter::N,vrême,амш
80,Nebel::N,meglà,анаҟəа
81,Wolke::N,oblák,аҧсҭҳəа
82,Regen::N,dèž,ақəа
83,Schnee::N,snég,асы
84,Eis::N,léd,аҵаа
85,Frost::N,zmrzál,аҵаа
86,Kälte::N,mràz,ахьҭа
87,Hitze::N,pripéka,ашоура
88,Raureif::N,ívje,аҵааҧшқа
89,Raureif::N,slána,аҵааҧшқа
90,Regenbogen::N,mávrica,ацəаҟəа
91,Donner::N,gròm,адыд
92,Strömung::N,strúja,аиасра
93,Strömung::N,strúja,амҩасра
94,Tropfen::N,káplja,ацəыкəбар
95,Schaum::N,péna,ашəах
96,Schmutz::N,nesnága,алымт
97,See::N,jézero,аӡиа
98,Sumpf::N,močvírje,аӡмах
99,Moor::N,bárje,
100,Wiese::N,trávnik,адəы
101,Wald::N,lés,абна
102,Wald::N,gòzd,абна
103,Hügel::N,brég,ахəы
104,Hügel::N,goríca,ахəы
105,Anhöhe::N,gríč,аҳаракыра
106,Anhöhe::N,višína,аҳаракыра
107,Berg::N,gôra,ашьха
108,Berg::N,planína,ашьха
109,Gipfel::N,vŕh,ацəқəа
110,Höhle::N,jáma,аҳаҧы
111,Höhle::N,votlína,аҳаҧы
112,Abhang::N,pobóčje,анаара
113,Quelle::N,izvír,аҵҵырҭа
114,Bach::N,pôtok,акəараҷҷа
115,Fluss::N,réka,аӡиас
116,Ufer::N,brég,ахықə
117,Küste::N,obála,ахықə
118,Küste::N,obréžje,ахықə
119,Festland::N,celína,абарра
120,Festland::N,kopnína,абарра
121,Meer::N,mórje,амшын
122,Bucht::N,zalív,аӡбжьахала
123,Insel::N,ôtok,адгьылбжьаха
124,Blume::N,cvetlíca,ашəҭ
125,Gras::N,tráva,аҳасакьын
126,Wurzel::N,korenína,адац
127,Baum::N,drevó,аҵла
128,Stamm::N,dêblo,ашьапы
129,Rinde::N,lúbje,ацəа
130,Rinde::N,skórja,ацəа
131,Ast::N,véja,амахə
132,Ast::N,véja,амахəҭа
133,Zweig::N,véja,амахə
134,Zweig::N,véja,амахəҭа
135,Blatt::N,líst,абҕьы
136,Birke::N,bréza,аҵааҵла
137,Kiefer[Baum]::N,bòr,амза
138,Weide[Baum]::N,vŕba,аҧслыш
139,Tanne::N,hója,аҧсаӡ
140,Horn::N,róg,атəыҩа
141,Feder::N,peró,ахӡы
142,Fell::N,kŕzno,ацəа
143,Flügel::N,krílo,амҵəыжəа
144,Klaue::N,párkelj,ашьапхыц
145,Kralle::N,krémpelj,
146,Schwanz::N,rèp,аҵыхəа
147,Ei::N,jájce,акəтаӷь
148,Nest::N,gnézdo,аҭра
149,Nest::N,gnézdo,аҵысҭра
150,Bau::N,brlòg,аҭыҩра
151,Tier::N,živál,аҧстəы
152,Tier::N,živál,агыгшəыг
153,Herde::N,čréda,агəарҭа
154,Kuh::N,kráva,ажə
155,Bulle::N,bìk,ацə
156,Pferd::N,kònj,аҽы
157,Schaf::N,ôvca,ауаса
158,Schwein::N,svínja,аҳəа
159,Hund::N,pès,ала
160,Katze::N,máčka,ацгəы
161,Bär::N,mêdved,амшə
162,Eichhörnchen::N,véverica,аеш
163,Elch::N,lós,аҽаҩа
164,Fuchs::N,lisíca,абгахəыҷы
165,Hase::N,zájec,ажьа
166,Maus::N,mìš,аҳəынаҧ
167,Wolf::N,vólk,абгаду
168,Vogel::N,ptìč,аҧсаатə
169,Vogel::N,ptíca,аҧсаатə
170,Schwarm::N,játa,
171,Huhn::N,kokóš,акəты
172,Hahn::N,petêlin,арбаҕь
173,Gans::N,gós,аҟыз
174,Adler::N,ôrel,ауарба
175,Ente::N,ráca,акəата
176,Eule::N,sôva,аты
177,Kranich::N,žerjàv,апҟа
178,Krähe::N,vrána,аҟəараан
179,Kuckuck::N,kúkavica,акəыкəу
180,Schwan::N,labód,агьад
181,Fisch::N,ríba,аҧсыӡ
182,Barsch::N,ostríž,ацəыбла
183,Hecht::N,ščúka,ахиаала
184,Schlange[Tier]::N,káča,амаҭ
185,Wurm::N,čr̀v,ахəа
186,Wurm::N,čr̀v,ахəац
187,Wurm::N,glísta,ахəа
188,Wurm::N,glísta,ахəац
189,Spinne::N,pájek,абызкаҭаҳа
190,Ameise::N,mrávlja,ашышкамс
191,Laus::N,úš,аҵа
192,Mücke::N,komár,акəыбры
193,Fliege::N,múha,амҵ
194,Schmetterling::N,metúlj,аҧарҧалыкь
195,Beere::N,jágoda,аргуц
196,Apfel::N,jábolko,аҵəа
197,Pilz::N,góba,акəкəбаа
198,Zwiebel::N,čebúla,аџьымшьы
199,Zwiebel::N,čebúla,аџьымшьхы
200,Saat::N,séme,ажəла
201,Korn::N,zŕno,арыц
202,Heu::N,senó,аҭəа
203,Schale::N,lupína,ацəа
204,Grube::N,jáma,ажра
205,Grube::N,jáma,атыша
206,Falle::N,pást,арыҧҟьа
207,Schlinge::N,zánka,аҟəараҟəантə
208,Schlinge::N,pêtlja,аҟəараҟəантə
209,Spur::N,sléd,ашьҭа
210,Asche::N,pepél,ахəа
211,Dreck::N,bláto,аҳəынҵəа
212,Dreck::N,bláto,аҟьамсар
213,Eisen::N,želézo,аиха
214,Gold::N,zlató,ахьы
215,Silber::N,srebró,аразны
216,Kohle::N,ógel,арацəа
217,Glas::N,stêklo,асаркьа
218,Lehm::N,ílo,анышəаҧшь
219,Sand::N,pések,аҧслымӡ
220,Mensch::N,člôvek,ауаҩы
221,Mann::N,móž,ахаҵа
222,Mann::N,môški,ахаҵа
223,Frau::N,gospá,аҧҳəыс
224,Frau::N,žénska,аҧҳəыс
225,Kind::N,déte,ахəыҷы
226,Kind::N,otròk,ахəыҷы
227,Junge::N,fànt,аҷкəын
228,Junge::N,fànt,ахаҵарҧыс
229,Junge::N,déček,аҷкəын
230,Junge::N,déček,ахаҵарҧыс
231,Mädchen::N,deklè,аӡӷаб
232,Mädchen::N,déklica,аӡӷаб
233,Familie::N,družína,аҭаацəа
234,Großvater::N,dèd,абду
235,Großvater::N,dédek,абду
236,Großmutter::N,bábica,анду
237,Eltern::N,stárši,ани аби
238,Vater::N,ôče,аб
239,Mutter::N,máma,ан
240,Sohn::N,sín,аҧа
241,Tochter::N,hčí,аҧҳа
242,Tochter::N,hčérka,аҧҳа
243,Bruder::N,bràt,аиашьа
244,Schwester::N,sêstra,Аҳəшьа
245,Onkel::N,újec,абиашьа
246,Onkel::N,újec,аншьа
247,Onkel::N,stríc,абиашьа
248,Onkel::N,stríc,аншьа
249,Tante::N,têta,абиаҳəшьа
250,Tante::N,strína,абиаҳəшьа
251,Ehemann::N,móž,ахаҵа
252,Ehemann::N,móž,аҧшəма
253,Ehemann::N,sopróg,ахаҵа
254,Ehemann::N,sopróg,аҧшəма
255,Ehefrau::N,žêna,аҧҳəыс
256,Ehefrau::N,sopróga,аҧҳəыс
257,Freude::N,rádost,агəырӷьара
258,Freude::N,vesêlje,агəырӷьара
259,Gelächter::N,sméh,ачча
260,Gelächter::N,sméh,аччара
261,Gelächter::N,grohòt,ачча
262,Gelächter::N,grohòt,аччара
263,Glück::N,sréča,аразҟы
264,Kummer::N,gorjé,агəырҩа
265,Wunsch::N,žêlja,агəхəтəы
266,Wunsch::N,žêlja,аҭахра
267,Lust::N,poželênje,агəазыҳəара
268,Geist::N,dúša,аҧсы
269,Gedanke::N,mísel,ахəыцырҭа
270,Gedächtnis::N,pámet,агəынкылара
271,Sinn::N,pomèn,аҵакы
272,Sinn::N,smísel,аҵакы
273,Grund::N,vzròk,амзыз
274,Wahrheit::N,resníca,аиаша
275,Gespräch::N,pogóvor,аиҿцәажәара
276,Märchen::N,právljica,алакə
277,Erzählung::N,povést,ажәабжь
278,Nachricht::N,sporočílo,адырраҭара
279,Neuigkeit::N,novóst,ажәабжь ҿыц
280,Name::N,imé,ахьӡ
281,Rätsel::N,ugánka,ацуфара
282,Rede::N,góvor,ажәа
283,Sprache::N,jêzik,абызшəа
284,Stimme::N,glás,абжьы
285,Wort::N,beséda,ажәа
286,Zeichen::N,znák,адырга
287,Ruf::N,klíc,аҿҭы
288,Lärm::N,hrúp,ашьҭыбжь
289,Lärm::N,trúšč,ашьҭыбжь
290,Laut::N,glás,ашьҭыбжь
291,Ton::N,tón,атон
292,Lied::N,pésem,ашəа
293,Ruhe::N,pokòj,аҭынчра
294,Leute::N,ljudjé,ауаа
295,Volk::N,národ,ажəлар
296,Arbeit::N,délo,аусура
297,Gast::N,gòst,асас
298,Geschenk::N,darílo,аҳамҭа
299,Geschenk::N,darílo,аҿанҵа
300,Spiel::N,ígra,ахəмарра
301,Gesellschaft::N,drúžba,агəыҧ
302,Hilfe::N,pomóč,ацхыраара
303,Freund::N,prijátelj,аҩыза
304,Kamerad::N,továriš,Аҧхнагьла
305,Angelegenheit::N,zadéva,аус
306,Anzahl::N,števílo,ахыҧхьаӡара
307,Art::N,vŕsta,ахкы
308,Stück::N,kós,аҽыҭ
309,Teil::N,dél,ахəҭа
310,Hälfte::N,polovíca,абжа
311,Kreis::N,króg,агьагьа
312,Kreis::N,kolobár,агьагьа
313,Kreuz::N,kríž,аџьар
314,Linie::N,próga,аицтәар
315,Strich::N,čŕta,ацəаҳəа
316,Abstand::N,preslédek,абжьара
317,Entfernung::N,oddáljenost,абжьара
318,Gegend::N,kràj,аҭыҧ
319,Gegend::N,dežêla,аҭыҧ
320,Platz::N,prôstor,аҭыҧ
321,Ort::N,mésto,аҭыҧ
322,Seite::N,bòk,аган
323,Seite::N,strán,аган
324,Mitte::N,sredína,агəҭа
325,Gegenstand::N,prédmet,амаҭəар
326,Sache::N,réč,
327,Sache::N,stvár,
328,Rand::N,kràj,аҵкар
329,Kante::N,rób,авардым
330,Ecke::N,vogál,акəакь
331,Spitze::N,óst,аҧынҵа
332,Ende::N,kônec,анаӡара
333,Loch::N,lúknja,акылҵəара
334,Winkel::N,kót,агҿаҩра
335,Winkel::N,kót,акəындхə
336,Winkel::N,kót,акəакь
337,Muster::N,vzórec,аҟҟа
338,Größe::N,veličína,изаҟароу
339,Länge::N,dolžína,аура
340,Höhe::N,vršína,агылара
341,Gewicht::N,téža,акапан
342,Menge::N,količína,
343,Haufen::N,kùp,ачаҟəа
344,Haufen::N,kopíca,ачаҟəа
345,Reihe::N,níz,ацəаҳəа
346,Reihe::N,vŕsta,ацəаҳəа
347,Boot::N,čóln,анышь
348,Ruder::N,vêslo,ажəҩа
349,Schlitten::N,saní,ашəаҩауардын
350,Ski::N,smučí,ашəаҩа
351,Ski::N,smučí,ашьахаха
352,Lagerfeuer::N,táborni ôgenj,еиқуу амца
353,Last::N,tôvor,ахьанҭара
354,Gang::N,hòd,аныҟəара
355,Schritt::N,korák,ашьаҿа
356,Norden::N,séver,аҩада
357,Süden::N,júg,алада
358,Westen::N,zapàd,амраҭашəара
359,Osten::N,vzhòd,амрагылара
360,Holz::N,lés,амҿымаҭəахə
361,Brett::N,deskà,аӷəы
362,Platte::N,plôča,ахаҳәцәы
363,Stütze::N,opóra,аҵаргəа
364,Stütze::N,opóra,агəышьаҟа
365,Stütze::N,zaslómba,аҵаргəа
366,Stütze::N,zaslómba,агəышьаҟа
367,Stange::N,gréd,акьат
368,Stock::N,pálica,алаба
369,Stab::N,pálica,акьат
370,Rohr::N,cév,абыкь
371,Haus::N,híša,аҩны
372,Heim::N,dóm,аҭаацəа
373,Ofen::N,péč,аҳақə
374,Ofen::N,péč,ауаџьаҟ
375,Ofen::N,péč,афрына
376,Fußboden::N,pòd,адашьма
377,Tisch::N,míza,аишәа
378,Stuhl::N,stòl,аҟəардə
379,Wiege::N,zíbel,агара
380,Bett::N,póstelja,акаруаҭ
381,Regal::N,políca,акыӷəра
382,Kiste::N,zabòj,аидчаҧала
383,Fenster::N,ôkno,аҧенџьыр
384,Tür::N,vráta,ашə
385,Tor::N,velíka vráta,агəашə
386,Zaun::N,ográja,аанда
387,Dach::N,stréha,ахыб
388,Leiter::N,léstev,амардуан
389,Besen::N,mêtla,аҧссага
390,Spaten::N,lopáta,ажыга
391,Schaufel::N,lopáta,аҭəарӷəы
392,Gabel::N,vílice,ачқьыҧ
393,Löffel::N,žlíca,амҳаҵə
394,Messer::N,nòž,аҳəызба
395,Nagel::N,žebèlj,аҵəымӷ
396,Netz::N,mréža,акаҭа
397,Haken::N,kljúka,аҵəаҳə
398,Griff::N,ročáj,амаа
399,Griff::N,oprijèm,амаа
400,Schloss::N,ključávnica,асаҧаҭ
401,Bild::N,slíka,асахьа
402,Figur::N,figúra,афигура
403,Figur::N,postáva,афигура
404,Puppe::N,lútka,акьанџьа
405,Beutel::N,môšnja,асакь
406,Bündel::N,cúla,аҿаҳəара
407,Bündel::N,svéženj,аҿаҳəара
408,Tasche::N,tórba,арҭмаҟ
409,Tasche::N,tobôlec,арҭмаҟ
410,Eimer::N,vêdro,аведра
411,Deckel::N,pokròv,ахҩа
412,Deckel::N,poklópec,ахҩа
413,Geschirr::N,posóda,ачысмаҭəа
414,Sack::N,vréča,асакь
415,Tasse::N,skodélica,аҵəца
416,Topf::N,lônec,акаструлиа
417,Kessel::N,kôtel,ачуан
418,Essen::N,hrána,
419,Nahrung::N,živílo,афатə
420,Speise::N,jéd,афатə
421,Fleisch::N,mesó,акəац
422,Getreide::N,žíto,ачакуа
423,Brei::N,káša,ақашь
424,Brot::N,krùh,ача
425,Scheibe::N,réženj,аҽыҭ
426,Scheibe::N,réženj,аҿаҵа
427,Fett::N,mást,ашша
428,Fett::N,maščôba,ашша
429,Butter::N,máslo,ахəша
430,Öl::N,ólje,азеҭ
431,Salz::N,sól,аџьыка
432,Suppe::N,júha,асуҧ
433,Honig::N,méd,ацха
434,Milch::N,mléko,ахш
435,Tee::N,čáj,ачаи
436,Leder::N,úsnje,ацəа
437,Wolle::N,vólna,аласа
438,Stoff::N,blagó,Аба
439,Nadel::N,ígla,агəыр
440,Faden::N,nít,арахəыц
441,Knopf::N,gúmb,аҳəынҵəра
442,Knoten::N,vôzel,аиқəҳəала
443,Farbe::N,bárva,ашəыга
444,Kleidung::N,obléka,амаҭəа
445,Hemd::N,srájca,акьаҿ
446,Kragen::N,ovrátnik,ахəда
447,Ärmel::N,rokáv,амаӷра
448,Hose::N,hláče,аиқəа
449,Gürtel::N,pás,амаҟа
450,Mütze::N,kápa,ахылҧа
451,Mütze::N,čépica,ахылҧа
452,Schuh::N,čévelj,аимаа
453,Stiefel::N,škórenj,амагə
454,Ring::N,pŕstan,амацəаз
455,Band::N,trák,алента
456,Kamm::N,glavník,ахҳəа
457,Spiegel::N,zrcálo,асаркьа
458,Spiegel::N,ogledálo,асаркьа
459,Riemen::N,jêrmen,аа
460,Schnur::N,vŕvca,ашаха
461,Leine::N,konôpec,аҕура
462,Decke::N,odéja,ахыза
463,Kissen::N,blazína,ахчы
464,Tuch::N,pŕt,акасы
465,Tuch::N,rúta,акасы
466,Handtuch::N,brisáča,ампахьшьы
467,Kraft::N,síla,амч
468,Stärke::N,jákost,амч
469,Gesundheit::N,zdrávje,агəабзиара
470,Krankheit::N,bolézen,ачымазара
471,Schmerz::N,ból,ахьаа
472,Schmerz::N,bolečína,ахьаа
473,Wunde::N,rána,ахəра
474,Fieber::N,vročína,ашоура
475,Arznei::N,lék,ахəшə
476,Arznei::N,zdravílo,ахəшə
477,Brücke::N,móst,ацҳа
478,Brunnen::N,vodnják,аҵыџь
479,Weide::N,páša,аҳəырҭа
480,Pfad::N,stezà,амхəасҭа
481,Weg::N,pót,амҩа
482,Straße::N,césta,амҩа
483,Dorf::N,vás,ақыҭа
484,Stadt::N,mésto,ақалақь
485,Brief::N,písmo,ашəҟəы
486,Buch::N,knjíga,ашəҟəы
487,Buchstabe::N,čŕka,анбан
488,Zeitung::N,čásnik,агазеҭ
489,Leben::N,življênje,аҧсҭазаара
490,Tod::N,smŕt,аҧсра
491,Grab::N,gròb,анышəынҭра
492,Kirche::N,cérkev,ауахəама
493,Sünde::N,gréh,агəнаҳа
494,Gott::N,bóg,анцəа
495,Arbeiter::N,délavec,аусуҩ
496,Chef::N,šéf,Аиҳабы
497,Meister::N,mójster,аҟаза
498,Arzt::N,zdravník,аҳақьым
499,Lehrer::N,učítelj,арҵаҩы
500,Geld::N,denár,аҧара
501,Geschäft::N,kupčíja,
502,Laden::N,trgovína,амагазин
503,Preis::N,céna,ахə
504,Ware::N,róba,атауар
505,Nutzen::N,príd,ақьар
506,Reichtum::N,bogástvo,абеиара
507,Welt::N,svét,адунеи
508,Land::N,dežêla,атəыла
509,Staat::N,držáva,аҳəынҭқарра
510,König::N,králj,акрал
511,Macht::N,oblást,амчра
512,Grenze::N,mêja,аҳəаа
513,Krieg::N,vôjna,аибашьра
514,Feind::N,sovrážnik,Аҕа
515,Gewalt::N,nasílje,ақəымчра
516,Kampf::N,bòj,ақəҧара
517,Kampf::N,bórba,ақəҧара
518,Bogen[Waffe]::N,lók,ахыц
519,Pfeil::N,puščíca,ахəымпал
520,Gewehr::N,púška,ашəақь
521,Fehler::N,zmóta,агха
522,Lüge::N,láž,амц
523,Schaden::N,okvára,аҧырхага
524,Unglück::N,nesréča,арыцҳара
525,Schuld::N,krívda,ахара
526,Alter::N,dôba,ақəра
527,Schluss::N,kônec,анҵəамҭа
528,Zeit::N,čàs,аамта
529,Tag::N,dán,амш
530,Morgen::N,jútro,ашара
531,Morgen::N,jútro,ашьыбжь
532,Mittag::N,póldan,шьыбжьон
533,Abend::N,večér,ахəылҧаз
534,Abend::N,večér,ахəлбыҽха
535,Nacht::N,nóč,аҵх
536,Woche::N,téden,амчыбжь
537,Monat::N,mésec,
538,Jahr::N,léto,
539,Frühling::N,pomlád,ааҕын
540,Sommer::N,polétje,аҧхын
541,Herbst::N,jesén,ҭагалан
542,Herbst::N,jesén,хкаарачан
543,Winter::N,zíma,аӡын
544,Januar::N,jánuar,ианвар
545,Februar::N,fébruar,февраль
546,März::N,márec,март
547,April::N,apríl,апрель
548,Mai::N,máj,маи
549,Juni::N,júnij,иуун
550,Juli::N,júlij,иууль
551,August::N,avgúst,август
552,September::N,septêmber,сентиабр
553,Oktober::N,október,октиабр
554,November::N,novêmber,ноиабр
555,Dezember::N,decémber,декабр
556,Montag::N,ponedéljek,ашəахьа
557,Dienstag::N,tôrek,аҩаша
558,Mittwoch::N,sréda,ахаша
559,Donnerstag::N,četŕtek,аҧшьаша
560,Freitag::N,pétek,ахəаша
561,Samstag::N,sobóta,асабша
562,Sonntag::N,nedélja,амҽыша
563,groß::A,vêlik,аду
564,klein::A,májhen,амаҷ
565,lang::A,dólg,ахəхəа
566,kurz::A,krátek,акьаҿ
567,breit::A,širòk,аиужь
568,breit::A,širòk,аиҵых
569,schmal::A,ózek,аҭшəа
570,dicht::A,góst,аилач
571,dick[Gegenstand]::A,dêbel,ажəпа
572,dünn::A,tánek,
573,fein::A,drôben,апа
574,fein::A,drôben,аҵаӷа
575,fein::A,drôben,аӡа
576,fest::A,tŕden,аҟаца
577,fest::A,tŕden,аӷəӷəаҟаца
578,flach::A,plán,ақəаҟьа
579,flach::A,plán,аҧаҟьа
580,flach::A,plòsk,ақəаҟьа
581,flach::A,plòsk,аҧаҟьа
582,glatt::A,gládek,аимаҩзы
583,hart::A,tŕd,акьакьа
584,weich::A,mehák,атата
585,rund::A,okrógel,акəмпыл
586,spitz::A,šílast,аҵар
587,scharf::A,óster,аҵар
588,stumpf::A,tóp,ацагə
589,stumpf::A,skŕhan,ацагə
590,schwer::A,têžek,ахьанҭа
591,schön::A,lép,аҧшӡа
592,schön::A,krásen,аҧшӡа
593,heiß::A,vròč,ашы
594,warm::A,tôpel,аҧха
595,kalt::A,mŕzel,ахьшəашəа
596,kalt::A,hláden,ахьшəашəа
597,kühl::A,hláden,ахьшəашəа
598,kühl::A,hláden,ицәыхьшәашәоу
599,frisch::A,svéž,цқьа
600,feucht::A,vlážen,ацəаак
601,nass::A,móker,абааӡа
602,trocken::A,súh,Аба
603,trocken::A,súh,аҩа
604,voll::A,póln,азна
605,leer::A,prázen,аҭацəы
606,offen::A,odpŕt,аарта
607,geschlossen::A,zapŕt,ихҩоу
608,geschlossen::A,zapŕt,иаркыу
609,sauber::A,číst,ацқьа
610,sauber::A,líčen,ацқьа
611,schmutzig::A,umázan,аҟьашь
612,roh::A,suròv,
613,reif::A,zrèl,Арҭ
614,reif::A,zrèl,аҟала
615,reif::A,zrèl,иҟалахьоу
616,lecker::A,okúsen,ахаа
617,süß::A,sládek,азла
618,bitter::A,grenák,аша
619,sauer::A,kísel,аҵəҵəы
620,hell::A,svetèl,алаша
621,dunkel::A,temèn,алашьца
622,schwarz::A,čŕn,аиқуаҵәа
623,weiß::A,bél,ашкəакəа
624,rot::A,rdèč,аҟаҧшь
625,gelb::A,žólt,аҩеижь
626,gelb::A,rumèn,аҩеижь
627,blau::A,móder,аҽҵәа
628,grün::A,zelèn,ашьацҧшҭəала
629,grün::A,zelèn,аеҵəа
630,grau::A,sív,ацəыш
631,bunt::A,písan,Аилыҕраа
632,bunt::A,písan,аҕраҷкəын
633,billig::A,pocéni,амариа
634,teuer::A,drág,амҩан
635,wertvoll::A,dragocén,кыр иаҕсоу
636,wertvoll::A,dragocén,акыр иаҕсоу
637,blind::A,slép,алашə
638,taub::A,glúh,адагəа
639,kräftig::A,močán,аӷəӷəа
640,stark::A,ják,абаҟа
641,schwach::A,šíbek,акəада
642,fett::A,dêbel,аҧсыла
643,schlank::A,vítek,акала
644,schlank::A,vítek,акьалантар
645,schlank::A,vítek,аиҿартə
646,hübsch::A,lép,аҧшӡа
647,böse::A,zèl,абааҧсы
648,böse::A,hudôben,абааҧсы
649,dumm::A,glúp,агаӡа
650,dumm::A,bédast,агаӡа
651,faul::A,lén,аашьа
652,fleißig::A,marljív,иҟубҷоу
653,geizig::A,škŕt,акы
654,geizig::A,škŕt,акаҷбеи
655,geizig::A,škŕt,аҟəџьыр
656,klug::A,pámeten,аҟəыш
657,klug::A,pámeten,аҟəыӷа
658,geschickt::A,spréten,напҟазала
659,lieb::A,míl,алашара
660,lieb::A,ljúb,алашара
661,lustig::A,vesél,алах-ҿых
662,lustig::A,vesél,игурҕьаччо
663,lustig::A,vesél,агурҕьа
664,lustig::A,vesél,агурҿыхага
665,sanft::A,láhek,атата
666,sanft::A,láhek,аҟəымшəышə
667,sanft::A,láhek,ақьыҧш
668,hungrig::A,láčen,амлашь
669,krank::A,bolán,ачымазаҩ
670,nackt::A,nág,аҟьантаз
671,traurig::A,túžen,алахьеиқəҵага
672,lebendig::A,žív,абза
673,gut::A,dóber,абзиа
674,schlecht::A,malopríden,-хəарҭам
675,richtig::A,pravílen,иашоу
676,schlimm::A,húd,абааҧсы
677,wahr::A,resníčen,агəҭылса
678,wahr::A,resníčen,абзиаҵəҟьа
679,alt::A,stàr,Ажə
680,neu::A,nòv,аҿыц
681,ehemalig::A,nekdánji,анкьатәи
682,alt[Lebewesen]::A,stàr,абырг
683,alt[Lebewesen]::A,stàr,ақабада
684,alt[Lebewesen]::A,stàr,Ажə
685,jung::A,mlád,аҟата
686,arm::A,ubóg,ананамга
687,arm::A,réven,ананамга
688,reich::A,bogàt,абеиа
689,bekannt::A,znán,адыр
690,berühmt::A,sláven,адыр
691,berühmt::A,znamenít,адыр
692,fremd::A,túj,атəым
693,verschieden::A,razlíčen,Еиуа-еиҧшым
694,nah::A,blížnji,ааигəа
695,fern::A,dáleč,ахара
696,linker::A,lévi,арма
697,rechter::A,désni,арҕьа
698,anderer::A,drúgi,даҽа
699,anderer::A,drúgi,даҽакы
700,erster::A,pŕvi,актәи
701,zweiter::A,drúgi,аҩбатəи
702,dritter::A,trétji,ахҕатәи
703,letzter::A,poslédnji,аҵыхəтəантəи
704,allein::ADV,sám,мацара
705,auf einmal::ADV,obênem,зныкала
706,auf einmal::ADV,obênem,зныкҟьара
707,zusammen::ADV,skúpaj,аиц...
708,lange::ADV,dólgo,акыраамҭа
709,plötzlich::ADV,náglo,иаалырҟьаны
710,plötzlich::ADV,nenádoma,иаалырҟьаны
711,sofort::ADV,prècej,иаразнакҵәҟьа
712,später::ADV,poznêje,уажəшьҭаншəа
713,jetzt::ADV,zdàj,уажәы
714,heute::ADV,dánes,иахьа
715,morgen::ADV,jútri,уаҵәы
716,bald::ADV,kmálu,иласны
717,dann::ADV,nató,нас
718,gestern::ADV,včéraj,иацы
719,einst::ADV,nékdaj,зны
720,damals::ADV,tedàj,усҟан
721,damals::ADV,takràt,усҟан
722,danach::ADV,potèm,нас
723,vorher::ADV,poprèj,уаанӡа
724,zuerst::ADV,spŕva,азнаказы
725,zuerst::ADV,spŕva,аҧхьа
726,einmal::ADV,ênkrat,зны
727,manchmal::ADV,včásih,зны-зынла
