,Concept_ID,no,ca
81,Funke::N,gnist,guspira
82,Funke::N,gnist,centella
83,Feuer::N,ild,foc
84,Licht::N,lys,llum
85,Schatten::N,skygge,ombra
86,Wetter::N,vær,temps
87,Nebel::N,tåke,boira
88,Wolke::N,sky,núvol
89,Regen::N,regn,pluja
90,Schnee::N,snø,neu
91,Eis::N,is,gel
92,Eis::N,is,glaç
93,Frost::N,frost,glaçada
94,Kälte::N,kulde,fred
95,Hitze::N,hete,calor
96,Raureif::N,rimfrost,gebre
97,Regenbogen::N,regnbue,arc iris
98,Donner::N,torden,tro
99,Strömung::N,strømning,corrent
100,Tropfen::N,dråpe,gota
101,Schaum::N,skum,escuma
102,Schmutz::N,søl,brutícia
103,Schmutz::N,skitt,brutícia
104,See::N,sjø,llac
105,Sumpf::N,sump,pantà
106,Sumpf::N,myrlende,pantà
107,Moor::N,myr,pantà
108,Moor::N,myrhei,pantà
109,Wiese::N,eng,prat
110,Wiese::N,eng,prada
111,Wald::N,skog,bosc
112,Hügel::N,haug,puig
113,Hügel::N,haug,pujol
114,Hügel::N,bakke,puig
115,Hügel::N,bakke,pujol
116,Anhöhe::N,haug,turó
117,Anhöhe::N,bakke,turó
118,Berg::N,berg,muntanya
119,Berg::N,fjell,muntanya
120,Gipfel::N,topp,cim
121,Höhle::N,hule,cova
122,Abhang::N,li,coster
123,Abhang::N,skråning,coster
124,Quelle::N,kilde,font
125,Bach::N,bekk,riera
126,Fluss::N,elv,riu
127,Ufer::N,bredd,riba
128,Küste::N,kyst,costa
129,Festland::N,fastland,terra ferma
130,Meer::N,hav,mar
131,Bucht::N,bukt,cala
132,Bucht::N,bukt,badia
133,Insel::N,øy,illa
134,Blume::N,blomst,flor
135,Gras::N,gress,herba
136,Wurzel::N,rot,rel
137,Wurzel::N,rot,arrel
138,Baum::N,tre,arbre
139,Stamm::N,stamme,tronc
140,Rinde::N,bark,escorça
141,Ast::N,gren,branca
142,Zweig::N,kvist,ram
143,Blatt::N,blad,fulla
144,Birke::N,bjørk,bedoll
145,Kiefer[Baum]::N,furu,pi
146,Weide[Baum]::N,selje,salze
147,Weide[Baum]::N,piletre,salze
148,Tanne::N,gran,avet
149,Horn::N,horn,corn
150,Horn::N,horn,banya
151,Feder::N,fjær,ploma
152,Fell::N,skinn,pell
153,Flügel::N,vinge,ala
154,Klaue::N,klauv,urpa
155,Kralle::N,klo,grapa
156,Schwanz::N,hale,cua
157,Ei::N,egg,ou
158,Nest::N,rede,niu
159,Bau::N,hi,cau
160,Tier::N,dyr,animāl
161,Herde::N,flokk,ramat
162,Kuh::N,ku,vaca
163,Bulle::N,tyr,toro
164,Pferd::N,hest,cavāll
165,Schaf::N,får,be
166,Schaf::N,får,ovella
167,Schwein::N,gris,bacó
168,Hund::N,hund,ca
169,Hund::N,hund,gos
170,Katze::N,katt,gat
171,Bär::N,bjørn,ós
172,Eichhörnchen::N,ekorn,esquirol
173,Elch::N,elg,ant
174,Fuchs::N,rev,guilla
175,Hase::N,hare,llebre
176,Maus::N,mus,ratolí
177,Wolf::N,ulv,llop
178,Wolf::N,varg,llop
179,Vogel::N,fugl,au
180,Vogel::N,fugl,ocēll
181,Schwarm::N,sverm,bandada
182,Huhn::N,høne,gallina
183,Hahn::N,hane,gall
184,Gans::N,gås,oca
185,Adler::N,ørn,àguila
186,Ente::N,and,ànec
187,Eule::N,ugle,òliba
188,Eule::N,ugle,mussol
189,Kranich::N,trane,grua
190,Krähe::N,kråke,cornella
191,Kuckuck::N,gjøk,cucut
192,Schwan::N,svane,cigne
193,Fisch::N,fisk,peix
194,Barsch::N,abbor,perca
195,Hecht::N,gjedde,lluç
196,Schlange[Tier]::N,orm,serp
197,Schlange[Tier]::N,slange,serp
198,Wurm::N,orm,cuc
199,Wurm::N,mark,cuc
200,Spinne::N,edderkopp,aranya
201,Ameise::N,maur,formiga
202,Laus::N,lus,poll
203,Mücke::N,mygg,mosquit
204,Fliege::N,flue,mosca
205,Schmetterling::N,sommerfugl,papallona
206,Beere::N,bær,baia
207,Apfel::N,eple,poma
208,Pilz::N,sopp,bolet
209,Zwiebel::N,løk,ceba
210,Saat::N,sæd,sembra
211,Korn::N,korn,gra
212,Heu::N,høy,fenc
213,Schale::N,skall,closca
214,Grube::N,grop,sot
215,Grube::N,grop,clot
216,Falle::N,felle,trampa
217,Schlinge::N,snare,baga
218,Spur::N,spor,traça
219,Asche::N,aske,cendra
220,Dreck::N,møkk,llot
221,Dreck::N,skitt,llot
222,Eisen::N,jern,ferro
223,Gold::N,gull,or
224,Silber::N,sølv,plata
225,Kohle::N,kol,carbó
226,Kohle::N,kull,carbó
227,Glas::N,glass,vidre
228,Lehm::N,leire,fang
229,Lehm::N,leire,argila
230,Sand::N,sand,arena
231,Mensch::N,menneske,humà
232,Mensch::N,menneske,persona
233,Mann::N,mann,home
234,Frau::N,kvinne,dona
235,Kind::N,barn,nen
236,Junge::N,gutt,noi
237,Mädchen::N,pike,noia
238,Mädchen::N,jente,noia
239,Familie::N,familie,família
240,Großvater::N,bestefar,avi
241,Großmutter::N,bestemor,àvia
242,Eltern::N,foreldre,pares
243,Vater::N,far,pare
244,Mutter::N,mor,mare
245,Sohn::N,sønn,fill
246,Tochter::N,datter,filla
247,Bruder::N,bror,germà
248,Schwester::N,søster,germana
249,Onkel::N,onkel,oncle
250,Tante::N,tante,tia
251,Ehemann::N,ektemann,espòs
252,Ehefrau::N,hustru,muller
253,Freude::N,glede,goig
254,Freude::N,glede,alegria
255,Gelächter::N,latter,riallada
256,Glück::N,lykke,felicitat
257,Kummer::N,sorg,pena
258,Wunsch::N,ønske,desig
259,Lust::N,lyst,ganes
260,Geist::N,ånd,ment
261,Geist::N,ånd,esperit
262,Gedanke::N,tanke,pensament
263,Gedächtnis::N,minne,memòria
264,Gedächtnis::N,hukommelse,memòria
265,Verstand::N,forstand,raó
266,Verstand::N,forstand,seny
267,Sinn::N,mening,solta
268,Sinn::N,mening,sentit
269,Sinn::N,betydning,solta
270,Sinn::N,betydning,sentit
271,Grund::N,grunn,raó
272,Grund::N,grunn,causa
273,Wahrheit::N,sannhet,veritāt
274,Gespräch::N,samtale,conversa
275,Märchen::N,eventyr,conte
276,Erzählung::N,fortelling,narració
277,Nachricht::N,melding,missatge
278,Neuigkeit::N,nyhet,novetat
279,Name::N,navn,nom
280,Rätsel::N,gåte,endevinalla
281,Rede::N,tale,discurs
282,Sprache::N,språk,llēngua
283,Stimme::N,stemme,veu
284,Wort::N,ord,mot
285,Wort::N,ord,paraula
286,Zeichen::N,tegn,signe
287,Zeichen::N,tegn,senyal
288,Ruf::N,rop,crida
289,Lärm::N,bråk,sorōll
290,Laut::N,lyd,so
291,Ton::N,tone,to
292,Lied::N,vise,cançó
293,Ruhe::N,ro,calma
294,Ruhe::N,ro,silenci
295,Leute::N,folk,gent
296,Volk::N,folk,poble
297,Arbeit::N,arbeid,labor
298,Arbeit::N,arbeid,treball
299,Gast::N,gjest,hoste
300,Geschenk::N,gave,regal
301,Geschenk::N,gave,obsequi
302,Spiel::N,lek,joc
303,Spiel::N,spill,joc
304,Gesellschaft::N,selskap,companyia
305,Hilfe::N,hjelp,ajut
306,Freund::N,venn,amīc
307,Kamerad::N,kamerat,company
308,Kamerad::N,kamerat,camarada
309,Angelegenheit::N,sak,afer
310,Angelegenheit::N,sak,assumpte
311,Angelegenheit::N,anliggende,afer
312,Angelegenheit::N,anliggende,assumpte
313,Anzahl::N,antall,nombre
314,Anzahl::N,antall,quantitat
315,Art::N,art,tipus
316,Art::N,art,classe
317,Art::N,slag,tipus
318,Art::N,slag,classe
319,Stück::N,stykke,peça
320,Teil::N,del,part
321,Hälfte::N,halvdel,meitat
322,Kreis::N,ring,cercle
323,Kreis::N,sirkel,cercle
324,Kreuz::N,kors,creu
325,Kreuz::N,kryss,creu
326,Linie::N,linje,línia
327,Strich::N,strek,traç
328,Strich::N,strek,ratlla
329,Abstand::N,avstand,distància
330,Entfernung::N,avstand,distància
331,Gegend::N,strøk,regió
332,Gegend::N,strøk,contrada
333,Platz::N,plass,cabuda
334,Ort::N,sted,lloc
335,Seite::N,side,banda
336,Seite::N,side,costāt
337,Mitte::N,midte,mig
338,Mitte::N,midte,centre
339,Gegenstand::N,gjenstand,objecte
340,Sache::N,sak,cosa
341,Rand::N,rand,vora
342,Rand::N,rand,marge
343,Kante::N,kant,caire
344,Kante::N,kant,cantell
345,Ecke::N,hjørne,cantonada
346,Spitze::N,spiss,punta
347,Ende::N,ende,cap
348,Loch::N,hull,forāt
349,Winkel::N,vinkel,racó
350,Muster::N,mønster,dibuix
351,Muster::N,mønster,disseny
352,Größe::N,størrelse,grandària
353,Länge::N,lengde,longitud
354,Höhe::N,høyde,altura
355,Höhe::N,høyde,altitud
356,Gewicht::N,vekt,pes
357,Menge::N,mengde,quantitat
358,Haufen::N,haug,pila
359,Haufen::N,bunke,pila
360,Reihe::N,rekke,fila
361,Boot::N,båt,bot
362,Boot::N,båt,barca
363,Ruder::N,åre,rem
364,Schlitten::N,slede,trineu
365,Schlitten::N,kjelke,trineu
366,Ski::N,ski,esquí
367,Lagerfeuer::N,leirbål,foc de campament
368,Last::N,bør,càrrega
369,Last::N,last,càrrega
370,Gang::N,gang,marxa
371,Schritt::N,steg,pas
372,Schritt::N,skritt,pas
373,Norden::N,nord,nord
374,Süden::N,sør,sud
375,Westen::N,vest,oest
376,Westen::N,vest,occident
377,Osten::N,øst,est
378,Osten::N,øst,orient
379,Holz::N,tre,fusta
380,Brett::N,fjøl,taula
381,Brett::N,brett,taula
382,Platte::N,plate,placa
383,Stütze::N,støtte,suport
384,Stange::N,stang,vara
385,Stock::N,pinne,pal
386,Stab::N,stav,bastó
387,Stab::N,kjepp,bastó
388,Rohr::N,rør,tub
389,Haus::N,hus,casa
390,Heim::N,hjem,llar
391,Ofen::N,ovn,estufa
392,Fußboden::N,gulv,terra
393,Tisch::N,bord,taula
394,Stuhl::N,stol,cadira
395,Wiege::N,vogge,bressol
396,Bett::N,seng,llit
397,Regal::N,reol,prestatgeria
398,Regal::N,hylle,prestatgeria
399,Kiste::N,kasse,caixa
400,Fenster::N,vindu,finestra
401,Tür::N,dør,porta
402,Tor::N,port,portal
403,Zaun::N,gjerde,tanca
404,Dach::N,tak,teulada
405,Leiter::N,stige,escala
406,Leiter::N,stige,escala de mà
407,Besen::N,kost,escombra
408,Spaten::N,spade,pala
409,Schaufel::N,skuffe,pala
410,Gabel::N,gaffel,forquilla
411,Löffel::N,skje,cullera
412,Messer::N,kniv,coltell
413,Nagel::N,spiker,clau
414,Netz::N,nett,filat
415,Haken::N,krok,ganxo
416,Griff::N,tak,puny
417,Griff::N,tak,mànec
418,Griff::N,håndtak,puny
419,Griff::N,håndtak,mànec
420,Schloss::N,lås,pany
421,Bild::N,bilde,imatge
422,Figur::N,figur,figura
423,Puppe::N,dukke,nina
424,Beutel::N,pose,bossa
425,Bündel::N,bylt,feix
426,Bündel::N,bylt,paquet
427,Tasche::N,veske,bossa
428,Eimer::N,bøtte,galleda
429,Deckel::N,lokk,tapa
430,Deckel::N,lokk,tapadora
431,Geschirr::N,kjøkkentøy,vaixella
432,Sack::N,sekk,sac
433,Sack::N,sekk,saca
434,Tasse::N,kopp,tassa
435,Topf::N,gryte,pot
436,Topf::N,gryte,olla
437,Kessel::N,kjele,caldera
438,Essen::N,mål,àpat
439,Essen::N,mål,menjada
440,Nahrung::N,mat,aliment
441,Nahrung::N,næring,aliment
442,Speise::N,matrett,plat
443,Fleisch::N,kjøtt,carn
444,Getreide::N,korn,cereals
445,Brei::N,grøt,puré
446,Brot::N,brød,pa
447,Scheibe::N,skive,tall
448,Scheibe::N,skive,llesca
449,Fett::N,fett,greix
450,Butter::N,smør,mantega
451,Öl::N,olje,oli
452,Salz::N,salt,sal
453,Suppe::N,suppe,sopa
454,Honig::N,honning,mel
455,Milch::N,melk,llet
456,Tee::N,te,te
457,Leder::N,lær,cuir
458,Leder::N,skinn,cuir
459,Wolle::N,ull,llana
460,Stoff::N,tøy,tela
461,Stoff::N,stoff,tela
462,Nadel::N,nål,agulla
463,Faden::N,tråd,fil
464,Knopf::N,knapp,botó
465,Knoten::N,knute,nus
466,Farbe::N,farge,pintura
467,Kleidung::N,påkledning,roba
468,Kleidung::N,påkledning,vestits
469,Hemd::N,skjorte,camisa
470,Kragen::N,krage,coll
471,Ärmel::N,erme,màniga
472,Hose::N,bukse,pantalōns
473,Gürtel::N,belte,cinturó
474,Mütze::N,lue,gorra
475,Schuh::N,sko,sabata
476,Stiefel::N,støvel,bota
477,Ring::N,ring,anell
478,Band::N,band,veta
479,Band::N,band,cinta
480,Kamm::N,kam,pinta
481,Spiegel::N,speil,mirāll
482,Riemen::N,rem,corretja
483,Schnur::N,snor,corda
484,Leine::N,line,corretja
485,Decke::N,teppe,manta
486,Decke::N,teppe,flassada
487,Kissen::N,pute,coixí
488,Tuch::N,tøy,mocador
489,Handtuch::N,håndkle,tovallola
490,Kraft::N,kraft,força
491,Stärke::N,styrke,vigor
492,Gesundheit::N,helse,salut
493,Gesundheit::N,sunnhet,salut
494,Krankheit::N,syke,malaltia
495,Krankheit::N,sykdom,malaltia
496,Schmerz::N,smerte,dolor
497,Wunde::N,sår,ferida
498,Fieber::N,feber,febre
499,Arznei::N,medisin,medicament
500,Arznei::N,legemiddel,medicament
501,Brücke::N,bro,pont
502,Brunnen::N,brønn,pou
503,Weide::N,beite,pastura
504,Pfad::N,sti,senda
505,Pfad::N,sti,sender
506,Weg::N,vei,camí
507,Straße::N,gate,carretera
508,Dorf::N,landsby,poble
509,Stadt::N,by,ciutāt
510,Brief::N,brev,carta
511,Buch::N,bok,llibre
512,Buchstabe::N,bokstav,lletra
513,Zeitung::N,avis,diāri
514,Leben::N,liv,vida
515,Tod::N,død,mort
516,Grab::N,grav,tomba
517,Kirche::N,kirke,església
518,Sünde::N,synd,pecat
519,Gott::N,gud,déu
520,Arbeiter::N,arbeider,obrer
521,Chef::N,sjef,cap
522,Meister::N,mester,mestre
523,Arzt::N,lege,metge
524,Lehrer::N,lærer,mestre
525,Geld::N,penger,dinērs
526,Geschäft::N,forretning,negoci
527,Laden::N,butikk,tenda
528,Laden::N,butikk,botiga
529,Preis::N,pris,preu
530,Ware::N,vare,mercaderia
531,Nutzen::N,nytte,profit
532,Reichtum::N,rikdom,riquesa
533,Welt::N,verden,món
534,Land::N,land,país
535,Staat::N,stat,estat
536,König::N,konge,rei
537,Macht::N,makt,poder
538,Macht::N,makt,potència
539,Grenze::N,grense,frontera
540,Krieg::N,krig,guerra
541,Feind::N,fiende,enemic
542,Gewalt::N,vold,violència
543,Kampf::N,kamp,lluita
544,Bogen[Waffe]::N,bue,arc
545,Pfeil::N,pil,fletxa
546,Gewehr::N,gevær,fusell
547,Gewehr::N,gevær,escopeta
548,Fehler::N,feil,falta
549,Lüge::N,løgn,mentida
550,Schaden::N,skade,dany
551,Unglück::N,uhell,desgràcia
552,Schuld::N,skyld,culpa
553,Alter::N,alder,edat
554,Schluss::N,slutt,fi
555,Schluss::N,slutt,final
556,Zeit::N,tid,temps
557,Tag::N,dag,dia
558,Morgen::N,morgen,matí
559,Mittag::N,middag,migdia
560,Abend::N,aften,vespre
561,Nacht::N,natt,nit
562,Woche::N,uke,setmana
563,Monat::N,måned,mes
564,Jahr::N,år,any
565,Frühling::N,vår,primavera
566,Sommer::N,sommer,estīu
567,Herbst::N,høst,tardor
568,Winter::N,vinter,hivērn
569,Januar::N,januar,gener
570,Februar::N,februar,febrer
571,März::N,mars,març
572,April::N,april,abril
573,Mai::N,mai,maig
574,Juni::N,juni,juny
575,Juli::N,juli,juliol
576,August::N,august,agost
577,September::N,september,setembre
578,Oktober::N,oktober,octubre
579,November::N,november,novembre
580,Dezember::N,desember,desembre
581,Montag::N,mandag,dilluns
582,Dienstag::N,tirsdag,dimarts
583,Mittwoch::N,onsdag,dimecres
584,Donnerstag::N,torsdag,dijous
585,Freitag::N,fredag,divendres
586,Samstag::N,lørdag,dissabte
587,Sonntag::N,søndag,diumenge
588,groß::A,stor,gros
589,klein::A,liten,petīt
590,lang::A,lang,llarg
591,kurz::A,kort,curt
592,breit::A,bred,ample
593,schmal::A,smal,estret
594,dicht::A,tett,dens
595,dick[Gegenstand]::A,tykk,gruixūt
596,dünn::A,tynn,prim
597,fein::A,fin,fi
598,fest::A,fast,ferm
599,fest::A,fast,sòlid
600,flach::A,flat,pla
601,glatt::A,glatt,llis
602,hart::A,hard,dur
603,weich::A,myk,tou
604,weich::A,bløt,tou
605,rund::A,rund,rodó
606,spitz::A,spiss,punxegut
607,scharf::A,kvass,agut
608,stumpf::A,stubb,rom
609,stumpf::A,stubb,esmussat
610,schwer::A,tung,pesāt
611,schön::A,pen,bonīc
612,schön::A,vakker,bonīc
613,heiß::A,het,calēnt
614,warm::A,varm,càlid
615,kalt::A,kald,fred
616,kühl::A,kjølig,fresc
617,frisch::A,fersk,fresc
618,feucht::A,fuktig,humit
619,nass::A,våt,mullat
620,trocken::A,tørr,sec
621,voll::A,full,ple
622,leer::A,tom,buit
623,offen::A,åpen,obert
624,geschlossen::A,lukket,tancat
625,sauber::A,ren,net
626,schmutzig::A,skitten,brut
627,roh::A,rå,cru
628,reif::A,moden,madur
629,lecker::A,lekker,deliciós
630,süß::A,søt,dolç
631,bitter::A,besk,amarg
632,bitter::A,bitter,amarg
633,sauer::A,sur,agre
634,hell::A,lys,clar
635,dunkel::A,mørk,fosc
636,schwarz::A,svart,negre
637,weiß::A,hvit,blanc
638,rot::A,rød,vermēll
639,gelb::A,gul,groc
640,blau::A,blå,blau
641,grün::A,grønn,verd
642,grau::A,grå,gris
643,bunt::A,broket,multicolor
644,billig::A,billig,barat
645,teuer::A,dyr,car
646,wertvoll::A,verdifull,preciós
647,blind::A,blind,cec
648,taub::A,døv,sord
649,kräftig::A,kraftig,fort
650,kräftig::A,kraftig,vigorós
651,stark::A,sterk,fort
652,schwach::A,svak,feble
653,fett::A,fet,gras
654,schlank::A,slank,esvelt
655,hübsch::A,pen,maco
656,böse::A,slem,dolent
657,dumm::A,dum,ximple
658,dumm::A,dum,estúpid
659,faul::A,lat,gandūl
660,faul::A,lat,mandrós
661,faul::A,doven,gandūl
662,faul::A,doven,mandrós
663,fleißig::A,flittig,diligēnt
664,geizig::A,gjerrig,avar
665,klug::A,klok,intel·ligent
666,geschickt::A,hendig,hàbil
667,geschickt::A,skikket,hàbil
668,lieb::A,kjær,amat
669,lieb::A,kjær,estimat
670,lieb::A,snill,amat
671,lieb::A,snill,estimat
672,lustig::A,morsom,alegre
673,sanft::A,blid,suau
674,hungrig::A,sulten,afamat
675,krank::A,syk,malālt
676,nackt::A,naken,nu
677,traurig::A,sørgmodig,trist
678,lebendig::A,levende,viu
679,gut::A,god,bo
680,schlecht::A,dårlig,dolēnt
681,richtig::A,riktig,just
682,richtig::A,riktig,correcte
683,schlimm::A,slem,greu
684,wahr::A,sann,vertader
685,wahr::A,sann,veritable
686,alt::A,gammel,vell
687,neu::A,ny,nou
688,ehemalig::A,forhenværende,antic
689,alt[Lebewesen]::A,gammel,vell
690,jung::A,ung,jove
691,arm::A,fattig,pobre
692,reich::A,rik,ric
693,bekannt::A,kjent,conegut
694,berühmt::A,berømt,famós
695,fremd::A,fremmed,estrany
696,verschieden::A,forskjellig,diferent
697,nah::A,nær,pròxim
698,fern::A,fjern,llunyà
699,fern::A,fjern,distant
700,linker::A,venstre,esquerre
701,rechter::A,høyre,dret
702,anderer::A,annen,altre
703,erster::A,første,primer
704,zweiter::A,annen,segon
705,dritter::A,tredje,tercer
706,letzter::A,sist,últim
707,allein::ADV,alene,sol
708,auf einmal::ADV,med ett,d'una vegada
709,zusammen::ADV,sammen,junt
710,lange::ADV,lenge,molt de temps
711,plötzlich::ADV,plutselig,de cop
712,plötzlich::ADV,plutselig,de sobte
713,sofort::ADV,straks,de seguida
714,später::ADV,senere,més tard
715,jetzt::ADV,nå,ara
716,heute::ADV,i dag,avūi
717,morgen::ADV,i morgen,demà
718,bald::ADV,snart,aviāt
719,dann::ADV,så,després
720,gestern::ADV,i går,ahir
721,einst::ADV,engang,anteriorment
722,damals::ADV,den gang,llavōrs
723,damals::ADV,den gang,aleshores
724,danach::ADV,deretter,després
725,vorher::ADV,før,abāns
726,vorher::ADV,i forveien,abāns
727,zuerst::ADV,først,primer
728,einmal::ADV,en gang,una vegada
729,manchmal::ADV,somme tider,de vegades
730,oft::ADV,ofte,sovint
731,immer::ADV,alltid,sempre
732,niemals::ADV,aldri,no ... mai
733,hier::ADV,her,aquí
734,hierhin::ADV,hit,per aquí
735,von hier::ADV,herfra,des d'aquí
736,dort::ADV,der,allí
737,dorthin::ADV,dit,hi
738,geradeaus::ADV,rett fram,tot dret
739,vorwärts::ADV,fram,endavānt
740,vorwärts::ADV,framover,endavānt
741,rückwärts::ADV,baklengs,endarrera
742,zurück::ADV,tilbake,darrere
743,unten::ADV,nede,a baix
744,hinab::ADV,ned,cap avall
745,hinab::ADV,nedover,cap avall
746,oben::ADV,oppe,dalt
747,oben::ADV,ovenpå,dalt
748,hinauf::ADV,opp,cap amunt
749,hinauf::ADV,oppover,cap amunt
750,überall::ADV,overalt,pertot
751,überall::ADV,overalt,per tot arreu
752,nicht::ADV,ikke,no
753,ein wenig::ADV,litt,una mica
754,kaum::ADV,neppe,a penes
755,sehr::ADV,svært,molt
756,so::ADV,så,així
757,noch::ADV,enda,encara
758,nur::ADV,bare,només
759,schon::ADV,alt,ja
760,schon::ADV,allerede,ja
761,wieder::ADV,igjen,de nou
762,vergebens::ADV,forgjeves,en va
763,vor::PRP,foran,davānt
764,vor::PRP,foran,enfront de
765,vor::PRP,utenfor,davānt
766,vor::PRP,utenfor,enfront de
767,hinter::PRP,bak,darrera
768,hinter::PRP,bakom,darrera
769,unter::PRP,under,sota
770,durch::PRP,gjennom,per
771,durch::PRP,igjennom,per
772,neben::PRP,ved siden av,al costāt de
773,zwischen::PRP,mellom,entre
774,wegen::PRP,på grunn av,a causa de
775,dies::PRN,dette,aquest
776,das::PRN,det,això
777,alles::PRN,alt,tot
778,ich::PRN,jeg,jo
779,du::PRN,du,tu
780,er::PRN,han,ell
781,wir::PRN,vi,nosaltres
782,ihr::PRN,dere,vosaltres
783,sie::PRN,de,ells
784,sie::PRN,de,elles
785,was::FPRN,hva,què
786,wer::FPRN,hvem,qui
787,wo::FADV,hvor,on
788,wohin::FADV,hvor ... hen,cap a on
789,wie::FADV,hvordan,com
790,warum::FADV,hvorfor,per què
791,wieviel::FNUM,hvor mye,quant
792,eins::NUM,en,u
793,eins::NUM,ett,u
794,zwei::NUM,to,dos
795,drei::NUM,tre,tres
796,vier::NUM,fire,quatre
797,fünf::NUM,fem,cinc
798,sechs::NUM,seks,sis
799,sieben::NUM,sju,set
800,acht::NUM,åtte,vuit
801,neun::NUM,ni,nou
802,zehn::NUM,ti,deu
803,elf::NUM,elleve,onze
804,zwölf::NUM,tolv,dotze
805,zwanzig::NUM,tjue,vint
806,dreißig::NUM,tretti,trenta
807,vierzig::NUM,førti,quaranta
808,fünfzig::NUM,femti,cinquanta
809,sechzig::NUM,seksti,seixanta
810,siebzig::NUM,sytti,setanta
811,achtzig::NUM,åtti,vuitanta
812,neunzig::NUM,nitti,noranta
813,hundert::NUM,hundre,cent
814,tausend::NUM,tusen,mil
815,und::CNJ,og,i
816,oder::CNJ,eller,o
817,stehen::V,stå,estar de peu
818,sitzen::V,sitte,seure
819,liegen::V,ligge,jeure
820,hängen::V,henge,penjar
821,werden::V,bli,fer-se
822,werden::V,bli,posar-se
823,passieren::V,skje,succeir
824,passieren::V,hende,succeir
825,beginnen::V,begynne,iniciar-se
826,enden::V,ende,acabar-se
827,enden::V,ende,terminar-se
828,enden::V,slutte,acabar-se
829,enden::V,slutte,terminar-se
830,wechseln::V,veksle,canviar
831,aufgehen[Sonne]::V,stå opp,sortir
832,untergehen[Sonne]::V,gå ned,posar-se
833,scheinen[Sonne]::V,skinne,brillar
834,donnern::V,tordne,tronar
835,wehen::V,blåse,bufar
836,strömen::V,strømme,afluir
837,fließen::V,flyte,fluir
838,sich drehen::V,dreie seg,girar
839,schwanken::V,svaie,vacil·lar
840,schwingen::V,svinge,oscil·lar
841,fallen::V,falle,caure
842,fallen::V,falle,tombar
843,brennen::V,brenne,cremar
844,rauchen::V,ryke,fumejar
845,regnen::V,regne,ploure
846,gefrieren::V,fryse,gelar-se
847,tauen::V,tine,fondre's
848,schmelzen::V,smelte,fondre's
849,trocknen::V,tørre,assecar-se
850,sieden::V,koke,bullir
851,faulen::V,råtne,podrir-se
852,verfaulen::V,råtne,podrir-se
853,reißen::V,briste,trencar-se
854,versinken::V,synke,enfonsar-se
855,versinken::V,synke ned,enfonsar-se
856,vergehen::V,forløpe,passar
857,erscheinen::V,synes,aparèixer
858,verschwinden::V,forsvinne,desaparèixer
859,sinken::V,synke,baixar
860,sinken::V,synke,descendir
861,abnehmen::V,avta,decréixer
862,abnehmen::V,minske,decréixer
863,zunehmen::V,tilta,augmentar
864,steigen::V,stige,pujar
865,wachsen::V,gro,créixer
