,Concept_ID,ml,ba
86,Hitze::N,ചൂട്,эҫелек
87,Raureif::N,കോടമഞ്ഞ്,ҡырау
88,Regenbogen::N,മഴവില്ല്,йәйғор
89,Donner::N,ഇടി,күк күкрәү
90,Strömung::N,പ്രവാഹം,ағым
91,Tropfen::N,തുള്ളി,тамсы
92,Schaum::N,നുര,күбек
93,Schmutz::N,അഴുക്ക്,батҡаҡ
94,See::N,തടാകം,күл
95,Sumpf::N,ചതുപ്പുനിലം,һаҙлык
96,Moor::N,പാഴ്നിലം,һаҙ
97,Wiese::N,പുൽത്തകിടി,болон
98,Wald::N,വനം,урман
99,Wald::N,കാട്,урман
100,Hügel::N,കുന്ന്,түбә
101,Anhöhe::N,ഉയർന്ന ഭൂമി,түбә
102,Anhöhe::N,ഉയർന്ന ഭൂമി,ҡалҡыулыҡ
103,Berg::N,പർവ്വതം,тау
104,Gipfel::N,ഉച്ചകോടി,түбә
105,Höhle::N,ഗുഹ,мәмерйә
106,Abhang::N,ചരിവ്,ипкен
107,Quelle::N,ഉറവിടം,шишмә
108,Bach::N,അരുവി,шишмә
109,Fluss::N,നദി,йылға
110,Ufer::N,തീരം,яр
111,Küste::N,കടൽത്തീരം,яр буйы
112,Festland::N,കര,ҡоро ер
113,Meer::N,കടൽ,диңгез
114,Bucht::N,ഉൾക്കടല്,бухта
115,Insel::N,ദ്വീപ്,үтрау
116,Blume::N,പൂവ്,сәскә
117,Gras::N,പുല്ല്,үлән
118,Wurzel::N,വേര്,тамыр
119,Baum::N,മരം,ағас
120,Stamm::N,തായ്ത്തടി,олон
121,Stamm::N,തായ്ത്തടി,көбәк
122,Rinde::N,പട്ട,ҡабыҡ
123,Ast::N,ശാഖ,ботаҡ
124,Zweig::N,ശാഖ,ботаҡ
125,Zweig::N,ശാഖ,тармаҡ
126,Blatt::N,ഇല,япраҡ
127,Birke::N,പൂവരശ്,ҡайын
128,Kiefer[Baum]::N,പൈൻമരം,ҡарғай
129,Weide[Baum]::N,വില്ലോ,тал
130,Tanne::N,ദേവദാരു,шыршы
131,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,мөғөҙ
132,Feder::N,തൂവൽ,ҡауырһын
133,Fell::N,മൃദുരോമം,тире
134,Flügel::N,ചിറക്,ҡанат
135,Klaue::N,നഖം,тырнаҡ
136,Kralle::N,നഖം,аяҡ
137,Schwanz::N,വാൽ,ҡойроҡ
138,Ei::N,മുട്ട,йомортҡа
139,Nest::N,കൂട്,оя
140,Bau::N,മാളം,оң
141,Tier::N,മൃഗം,жайуан
142,Tier::N,മൃഗം,йыртҡыс
143,Herde::N,കൂട്ടം,көтөү
144,Kuh::N,പശു,һыйыр
145,Bulle::N,കാള,үгеҙ
146,Pferd::N,കുതിര,ат
147,Schaf::N,ആട്,һарыҡ
148,Schwein::N,പന്നി,сусҡа
149,Hund::N,നായ്,эт
150,Katze::N,പൂച്ച,бесәй
151,Bär::N,കരടി,айыу
152,Eichhörnchen::N,അണ്ണാൻ,тейен
153,Elch::N,കടമാന്,мышы
154,Fuchs::N,കുറുക്കൻ,төлкө
155,Hase::N,മുയൽ,ҡуян
156,Maus::N,ചുണ്ടലി,сысҡан
157,Wolf::N,ചെന്നായ,бүре
158,Vogel::N,പക്ഷി,ҡош
159,Schwarm::N,കൂട്ടം,көтөү
160,Huhn::N,കോഴി,тауыҡ
161,Hahn::N,പൂവൻകോഴി,әтәс
162,Gans::N,അരയന്നം,ҡаҙ
163,Adler::N,കഴുകൻ,бөркөт
164,Ente::N,താറാവ്,өйрәк
165,Eule::N,മൂങ്ങ,өкө
166,Eule::N,മൂങ്ങ,ябалаҡ
167,Kranich::N,കൊക്ക്,торна
168,Krähe::N,കാക്ക,ҡарға
169,Kuckuck::N,കുയിൽ,кәкүк
170,Schwan::N,അരയന്നം,аҡҡош
171,Fisch::N,മത്സ്യം,балыҡ
172,Barsch::N,ഒരിനം മത്സ്യം,алабуға
173,Hecht::N,ഒരു മത്സ്യം,суртан
174,Schlange[Tier]::N,പാമ്പ്,йылан
175,Wurm::N,വിര,селяүсен
176,Spinne::N,ചിലന്തി,үрмәксе
177,Ameise::N,ഉറുമ്പ്,ҡырмыҫҡа
178,Laus::N,പേന്,бет
179,Mücke::N,മശകം,серәкәй
180,Fliege::N,ഈച്ച,себен
181,Schmetterling::N,ചിത്രശലഭം,күбәләк
182,Beere::N,ബെറി,еләк
183,Apfel::N,ആപ്പിൾ,алма
184,Pilz::N,കൂൺ,бәшмәк
185,Zwiebel::N,സവാള,һуган
186,Saat::N,വിത്ത്,орлоҡ
187,Korn::N,ധാന്യം,иген
188,Heu::N,വയ്ക്കോൽ,бесән
189,Schale::N,തൊലി,ҡабыҡ
190,Grube::N,കുഴി,соҡор
191,Falle::N,കെണി,тоҙак
192,Falle::N,കെണി,ҡапҡан
193,Schlinge::N,കുടുക്ക്,тоҙак
194,Spur::N,ചുവട്,әҫер
195,Asche::N,ചാരം,көл
196,Dreck::N,അഴുക്ക്,батҡаҡ
197,Eisen::N,ഇരുമ്പ്,тимер
198,Gold::N,സ്വർണ്ണം,алтын
199,Silber::N,വെള്ളി,көмөш
200,Kohle::N,കൽക്കരി,күмер
201,Glas::N,ഗ്ലാസ്,быяла
202,Lehm::N,കളിമണ്ണ്,балсыҡ
203,Sand::N,മണൽ,ҡом
204,Mensch::N,മനുഷ്യർ,кеше
205,Mann::N,പുരുഷൻ,ир
206,Frau::N,സ്ത്രീ,ҡатын
207,Kind::N,കുഞ്ഞ്,бала
208,Junge::N,ആൺകുട്ടി,малай
209,Mädchen::N,പെൺകുട്ടി,ҡыҙ
210,Mädchen::N,പെൺകുട്ടി,ҡыҙыҡай
211,Familie::N,കുടുംബം,ғаилә
212,Großvater::N,അപ്പൂപ്പൻ,олатай
213,Großmutter::N,അമ്മുമ്മ,әбәй
214,Eltern::N,മാതാപിതാക്കള്,ата-әсә
215,Vater::N,അച്ഛൻ,атай
216,Mutter::N,അമ്മ,әсә
217,Sohn::N,മകൻ,ул
218,Tochter::N,മകൾ,ҡыҙ
219,Bruder::N,ചേട്ടൻ,агай
220,Bruder::N,അനിയൻ,агай
221,Schwester::N,ചേച്ചി,алай
222,Schwester::N,ചേച്ചി,һеңле
223,Schwester::N,അനിയത്തി,алай
224,Schwester::N,അനിയത്തി,һеңле
225,Onkel::N,അമ്മാവൻ,ағай
226,Tante::N,മാമി,апай
227,Ehemann::N,ഭർത്താവ്,ир
228,Ehefrau::N,ഭാര്യ,ҡатын
229,Freude::N,ആഹ്ലാദം,шатлыҡ
230,Freude::N,ആഹ്ലാദം,ҡыуаныс
231,Gelächter::N,ചിരിയുടെ ശബ്ദം,көлөү
232,Glück::N,സന്തോഷം,бәхет
233,Glück::N,സന്തുഷ്ടി,бәхет
234,Kummer::N,ശോകം,ҡайғы
235,Wunsch::N,ആഗ്രഹം,теләк
236,Lust::N,ആഗ്രഹം,әүәҫлек
237,Geist::N,ചുറുചുറുക്ക്,аң
238,Geist::N,ചുറുചുറുക്ക്,рух
239,Gedanke::N,ചിന്ത,уй
240,Gedanke::N,ചിന്ത,фекер
241,Gedächtnis::N,ഓർമ്മശക്തി,хәтер
242,Verstand::N,മനസ്സ്,аҡыл
243,Sinn::N,അർത്ഥം,мәғәня
244,Grund::N,കാരണം,сәбәп
245,Wahrheit::N,സത്യം,дөрөҫлөк
246,Gespräch::N,സല്ലാപം,әңгәмә
247,Märchen::N,യക്ഷിക്കഥ,әкиәт
248,Erzählung::N,കഥ,хикәйә
249,Nachricht::N,സന്ദേശം,хәбәр
250,Neuigkeit::N,വാർത്ത,яңылыҡ
251,Name::N,പേര്,исем
252,Rätsel::N,പ്രഹേളിക,йомаҡ
253,Rede::N,സംസാരം,телмәр
254,Sprache::N,ഭാഷ,тел
255,Sprache::N,ഭാഷ,телмәр
256,Stimme::N,സ്വരം,тауыш
257,Wort::N,വാക്ക്,һүҙ
258,Zeichen::N,സംജ്ഞ,билдә
259,Ruf::N,വിളി,саҡырыу
260,Lärm::N,ആരവം,шаулау
261,Laut::N,ശബ്ദം,тауыш
262,Ton::N,സ്വരഭേദം,яңғырау
263,Lied::N,പാട്ട്,йыр
264,Ruhe::N,നിശ്ചലത,ял
265,Ruhe::N,നിശ്ചലത,тыныслыҡ
266,Leute::N,ജനങ്ങൾ,кешеләр
267,Volk::N,രാഷ്ടം,халҡ
268,Arbeit::N,ജോലി,эш
269,Gast::N,അതിലി,ҡунаҡ
270,Geschenk::N,സമ്മാനം,бүләк
271,Spiel::N,കളി,уйын
272,Gesellschaft::N,കൂട്ടായ്മ,йәмғиәт
273,Hilfe::N,സഹായം,ярҙам
274,Freund::N,സുഹൃത്ത്,дуҫ
275,Kamerad::N,കൂട്ടാളി,иптәш
276,Angelegenheit::N,കാര്യം,әш
277,Anzahl::N,എണ്ണം,һан
278,Art::N,തരം,төр
279,Stück::N,കഷണം,киҫәк
280,Teil::N,ഭാഗം,өлөш
281,Hälfte::N,പകുതി,ярты
282,Kreis::N,വൃത്തം,түңәрәк
283,Kreuz::N,കുരിശടയാളം,тәре
284,Linie::N,വര,һыҙыҡ
285,Linie::N,രേഖ,һыҙыҡ
286,Strich::N,പക്ഷാഘാതം,һыҙат
287,Abstand::N,വിടവ്,ара
288,Entfernung::N,അകലം,алыҫлыҡ
289,Gegend::N,പ്രദേശം,урын
290,Platz::N,ഇടം,арауыҡ
291,Ort::N,സ്ഥലം,ерҙәр
292,Ort::N,സ്ഥലം,урындар
293,Ort::N,സ്ഥലം,эш урыны
294,Seite::N,വശം,яҡ
295,Mitte::N,മധ്യസ്ഥാനം,урталыҡ
296,Gegenstand::N,സാധനം,нәмә
297,Sache::N,വസ്തു,нәмә
298,Sache::N,വസ്തു,әйбер
299,Rand::N,തൊങ്ങൽ,сит
300,Kante::N,അറ്റം,ҡабырға
301,Kante::N,അറ്റം,ян
302,Ecke::N,മൂല,мөйөш
303,Spitze::N,അഗ്രം,ос
304,Ende::N,അവസാനം,аҙаҡ
305,Loch::N,ദ്വാരം,тишек
306,Winkel::N,കോൺ,мөйөш
307,Muster::N,ക്രമം,биҙәк
308,Größe::N,വലുപ്പം,ҙурлыҡ
309,Länge::N,നീളം,оҙонлоҡ
310,Höhe::N,ഉയരം,бейеклек
311,Gewicht::N,കട്ടി,үлсәү
312,Menge::N,അളവ്,һан
313,Haufen::N,കൂമ്പാരം,өйөм
314,Reihe::N,വരി,рәт
315,Boot::N,ബോട്ട്,кәмә
316,Ruder::N,പങ്കായം,ишкәк
317,Schlitten::N,ഉരുളില്ലാവണ്ടി,сана
318,Ski::N,ഹിമപാദുകം,саңгы
319,Lagerfeuer::N,തീ,костер
320,Last::N,ഭാരം,ауырлыҡ
321,Gang::N,നടത്തം,барыу
322,Schritt::N,ചുവട്,аҙым
323,Norden::N,വടക്ക്,төньяҡ
324,Süden::N,തെക്ക്,көньяҡ
325,Westen::N,പടിഞ്ഞാറ്,көнбайыш
326,Osten::N,കിഴക്ക്,көнсығыш
327,Holz::N,തടി,үағас
328,Brett::N,ബോർഡ്,таҡта
329,Platte::N,തകിട്,плита
330,Stütze::N,താങ്ങ്,терәк
331,Stange::N,കമ്പ്,кәртә
332,Stock::N,വടി,таяҡ
333,Stab::N,കുറുവടി,ҡолға
334,Rohr::N,കുഴൽ,торба
335,Haus::N,വീട്,өй
336,Haus::N,വീട്,йорт
337,Heim::N,വീട്,өй
338,Ofen::N,സ്റ്റൌ,мейес
339,Fußboden::N,തറ,енес
340,Tisch::N,മേശ,өҫтәл
341,Stuhl::N,കസേര,ултырғыс
342,Wiege::N,തൊട്ടിൽ,бишек
343,Bett::N,കിടക്ക,карауат
344,Regal::N,ഷെൽഫ്,кәштә
345,Kiste::N,പെട്ടി,йәшинк
346,Fenster::N,ജനൽ,тәҙрә
347,Tür::N,വാതിൽ,ишек
348,Tor::N,കവാടം,ҡапҡа
349,Zaun::N,വേലി,ҡойма
350,Dach::N,മേൽക്കുര,түбә
351,Dach::N,മേൽക്കുര,ҡыйыҡ
352,Leiter::N,ഏണി,баҫҡыс
353,Besen::N,ചൂല്,һепертке
354,Spaten::N,തൂമ്പ,көрәк
355,Schaufel::N,തൂമ്പ,көрәк
356,Gabel::N,മുൾക്കത്തി,сәнске
357,Löffel::N,സ്പൂൺ,ҡалаҡ
358,Messer::N,കത്തി,бысаҡ
359,Nagel::N,ആണി,сөй
360,Netz::N,വല,ау
361,Haken::N,കൊളുത്ത്,ыргаҡ
362,Griff::N,കൈപ്പിടി,тотҡа
363,Schloss::N,പൂട്ട്,йоҙаҡ
364,Bild::N,ചിത്രം,картина
365,Figur::N,കണക്ക്,һын
366,Puppe::N,പാവ,ҡурсаҡ
367,Beutel::N,ബാഗ്,тоҡ
368,Bündel::N,കെട്ട്,төргәк
369,Tasche::N,ബാഗ്,сумка
370,Eimer::N,ബക്കറ്റ്,биҙрә
371,Deckel::N,ഉറ,ҡапҡас
372,Geschirr::N,പിഞ്ഞാണം,һауыт-һаба
373,Sack::N,ചാക്ക്,тоҡ
374,Tasse::N,കപ്പ്,сынаяҡ
375,Topf::N,പാത്രം,кәстрүл
376,Kessel::N,കെറ്റ്ല്,ҡаҙан
377,Essen::N,ആഹാരസമയം,ашау
378,Nahrung::N,ഭക്ഷണം,аҙыҡ
379,Speise::N,ഡിഷ്,аш
380,Fleisch::N,മാംസം,ит
381,Getreide::N,ചോളം,иген
382,Getreide::N,ചോളം,ашлыҡ
383,Brei::N,കഞ്ഞി,бутҡа
384,Brot::N,റോട്ടി,икмәк
385,Scheibe::N,തുണ്ട്,телем
386,Fett::N,കൊഴുപ്പ്,май
387,Butter::N,വെണ്ണ,май
388,Öl::N,എണ്ണ,май буяуы
389,Salz::N,ഉപ്പ്,тоҙ
390,Suppe::N,സൂപ്പ്,һурпа
391,Honig::N,തേൻ,бал
392,Milch::N,പാൽ,һөт
393,Tee::N,ചായ,сәй
394,Leder::N,തുകൽ,күн
395,Wolle::N,കമ്പിളി,йөн
396,Stoff::N,തുണി,туҡыма
397,Nadel::N,സൂചി,энә
398,Faden::N,നൂല്,еп
399,Knopf::N,ബട്ടൺ,төймә
400,Knoten::N,കുരുക്ക്,төйөн
401,Farbe::N,പെയിൻറ്,буяу
402,Kleidung::N,വസ്ത്രങ്ങൾ,кейем
403,Hemd::N,ഷർട്ട്,күлдәк
404,Kragen::N,കുപ്പായക്കഴുത്ത്,яға
405,Ärmel::N,കുപ്പായക്കൈ,ең
406,Hose::N,ട്രൌസർ,салбар
407,Gürtel::N,ബെൽറ്റ്,ҡайыш
408,Mütze::N,തൊപ്പി,бүрк
409,Schuh::N,ഷൂ,туфли
410,Stiefel::N,ബൂട്ട്,итек
411,Ring::N,മോതിരം,йөҙөк
412,Ring::N,മോതിരം,балдаҡ
413,Band::N,റിബൺ,таҫма
414,Kamm::N,ചീപ്പ്,тараҡ
415,Spiegel::N,കണ്ണാടി,көзгө
416,Riemen::N,സ്ട്രാപ്പ്,ҡайыш
417,Schnur::N,ചരട്,бау
418,Leine::N,കെട്ടാനുള്ള തോൽവാർ,бау
419,Decke::N,പുതപ്പ്,одеяд
420,Kissen::N,തലയിണ,мендәр
421,Tuch::N,സ്കാർഫ്,яулыҡ
422,Handtuch::N,തോർത്ത്,таҫтамал
423,Kraft::N,ശക്തി,көс
424,Stärke::N,ശക്തി,көс
425,Gesundheit::N,ആരോഗ്യം,һаулыҡ
426,Krankheit::N,അസുഖം,сир
427,Krankheit::N,അസുഖം,ауырыу
428,Schmerz::N,വേദന,һыҙлау
429,Schmerz::N,വേദന,әрнеү
430,Wunde::N,മുറിവ്,йәрәхәт
431,Fieber::N,പനി,тапма
432,Fieber::N,പനി,биҙгәк
433,Arznei::N,മരുന്ന്,дарыу
434,Brücke::N,പാലം,күпер
435,Brunnen::N,കിണർ,ҡоҙоҡ
436,Weide::N,മേച്ചൽ,көтөүлек
437,Pfad::N,വഴി,һуҡмаҡ
438,Weg::N,വഴി,юл
439,Straße::N,റോഡ്,урам
440,Dorf::N,ഗ്രാമം,ауыл
441,Stadt::N,നഗരം,ҡала
442,Brief::N,കത്ത്,хат
443,Buch::N,പുസ്തകം,китап
444,Buch::N,പുസ്തകം,кенәгә
445,Buchstabe::N,അക്ഷരം,хәреф
446,Zeitung::N,വർത്തമാനപത്രം,гәзит
447,Leben::N,ജീവൻ,йәшәү
448,Tod::N,മരണം,үлем
449,Grab::N,ശവക്കുഴി,ҡәбер
450,Kirche::N,പള്ളി,сиркәү
451,Sünde::N,പാപം,гөнаһ
452,Gott::N,ദൈവം,алла
453,Gott::N,ദൈവം,хоҙай
454,Arbeiter::N,ജോലിക്കാരൻ,эшсе
455,Chef::N,മേധാവി,башлыҡ
456,Meister::N,യജമാനൻ,оҫта
457,Arzt::N,ഡോക്ടർ,врач
458,Lehrer::N,അധ്യാപകൻ,уҡытыусы
459,Geld::N,പണം,аҡса
460,Geschäft::N,ബിസിനസ്,эш
461,Laden::N,കട,магазин
462,Preis::N,വില,хаҡ
463,Ware::N,ചരക്ക്,тауар
464,Nutzen::N,ലാഭം,файҙа
465,Reichtum::N,ധനം,байлыҡ
466,Welt::N,ലോകം,донъя
467,Land::N,രാജ്യം,ил
468,Staat::N,രാജ്യം,дәүләт
469,König::N,രാജാവ്,король
470,Macht::N,അധികാരം,власть
471,Grenze::N,അതിർത്തി,сик
472,Krieg::N,യുദ്ധം,һуғыш
473,Feind::N,ശത്രു,йылан
474,Gewalt::N,അക്രമം,көслөк
475,Kampf::N,പോരാട്ടം,көрәш
476,Bogen[Waffe]::N,വില്ല്,йәйә
477,Pfeil::N,അമ്പ്,уҡ
478,Gewehr::N,തോക്ക്,мылтыҡ
479,Fehler::N,പിശക്,хата
480,Lüge::N,കള്ളം,ялған
481,Schaden::N,കേടുപാട്,зыян
482,Schaden::N,കേടുപാട്,зарар
483,Unglück::N,ദൌർഭാഗ്യം,ҡаза
484,Schuld::N,തെറ്റ്,ғәйеп
485,Alter::N,വയസ്സ്,йәш
486,Schluss::N,നിഗമനം,һуң
487,Schluss::N,നിഗമനം,аҙаҡ
488,Zeit::N,സമയം,мәл
489,Zeit::N,സമയം,заман
490,Tag::N,ദിവസം,көн
491,Morgen::N,പ്രഭാതം,иртә
492,Morgen::N,പ്രഭാതം,иртәнсәк
493,Mittag::N,ഉച്ച,төш
494,Abend::N,സായാഹ്നം,кис
495,Nacht::N,രാത്രി,төн
496,Woche::N,ആഴ്ച,аҙна
497,Monat::N,മാസം,ай
498,Jahr::N,വർഷം,йыл
499,Frühling::N,വസന്തം,яҙ
500,Sommer::N,വേനൽ,йәй
501,Herbst::N,ശരത്കാലം,көз
502,Winter::N,ശൈത്യം,ҡыш
503,Januar::N,ജനുവരി,ғинуар
504,Februar::N,ഫെബ്രുവരി,февраль
505,März::N,മാർച്ച്,март
506,April::N,ഏപ്രിൾ മാസം,апрель
507,Mai::N,മെയ് മാസം,май
508,Juni::N,ജൂൺ,июнь
509,Juli::N,ജൂലൈ,июль
510,August::N,ആഗസ്റ്റ്,август
511,September::N,സെപ്തംബർ,сентябрь
512,Oktober::N,ഒക്ടോബർ,октябрь
513,November::N,നവംബർ,ноябрь
514,Dezember::N,ഡിസംബർ,декабрь
515,Montag::N,തിങ്കളാഴ്ച,дүшәмбе
516,Dienstag::N,ചൊവ്വ,шишәмбе
517,Mittwoch::N,ബുധനാഴ്ച,шаршамбы
518,Donnerstag::N,വ്യാഴാഴ്ച,кесаҙна
519,Freitag::N,വെള്ളിയാഴ്ച,йома
520,Samstag::N,ശനിയാഴ്ച,шәмбе
521,Sonntag::N,ഞായറാഴ്ച,йәкшәмбе
522,groß::A,വലിയ,ҙур
523,klein::A,ചെറിയ,бәләкәс
524,lang::A,നീണ്ട,оҙон
525,kurz::A,ഹ്രസ്വമായ,ҡыҫҡа
526,breit::A,വിശാലമായ,киң
527,schmal::A,ഇടുങ്ങിയ,тар
528,dicht::A,നിബിഡമായ,йыш
529,dicht::A,നിബിഡമായ,ҡуйы
530,dick[Gegenstand]::A,തടിച്ച,ҡалын
531,dünn::A,മെലിഞ്ഞ,йоҡа
532,dünn::A,മെലിഞ്ഞ,нәҙек
533,fein::A,നേർത്ത,нескә
534,fest::A,ഉറപ്പുള്ള,ныҡ
535,flach::A,പരന്ന,яҫы
536,flach::A,പരന്ന,ялпаҡ
537,glatt::A,മിനുസമുള്ള,шыма
538,hart::A,കട്ടിയുള്ള,ҡаты
539,weich::A,മൃദുവായ,йомшаҡ
540,rund::A,വട്ടത്തിലുള്ള,түңәрәк
541,spitz::A,മുനയുള്ള,осло түбәле
542,scharf::A,മൂർച്ചയുള്ള,үткер
543,stumpf::A,തുറന്നടിക്കുന്ന,утмәҫ
544,schwer::A,ഭാരമുള്ള,ауыр
545,schön::A,മനോഹരമായ,матур
546,heiß::A,ചൂടുള്ള,эҫе
547,warm::A,ചൂടുള്ള,йылы
548,kalt::A,തണുത്ത,һыуыҡ
549,kühl::A,തണുപ്പുള്ള,һалҡынса
550,frisch::A,ശുദ്ധമായ,һалҡынса
551,feucht::A,ഈറനുള്ള,еүеш
552,feucht::A,ഈറനുള്ള,дымлы
553,nass::A,നനഞ്ഞ,еүеш
554,trocken::A,വരണ്ട,кипкән
555,voll::A,നിറയെ,тулы
556,leer::A,ഒഴിഞ്ഞ,буш
557,offen::A,തുറന്ന,асыҡ
558,geschlossen::A,അടച്ച,ябыҡ
559,sauber::A,വൃത്തിയുള്ള,таҙа
560,schmutzig::A,അഴുക്കുനിറഞ്ഞ,бысраҡ
561,roh::A,അസംസ്കൃതമായ,сей
562,reif::A,പഴുത്ത,өлгөрғән
563,lecker::A,രുചികരമായ,тәмле
564,süß::A,മധുരമുള്ള,тямле
565,süß::A,മധുരമുള്ള,тәм-том
566,bitter::A,കടുത്ത,әсе
567,sauer::A,പുളിപ്പുള്ള,әсе
568,hell::A,ജ്വലിക്കുന്ന,яҡты
569,dunkel::A,ഇരുണ്ട,ҡараңғы
570,schwarz::A,കറുത്ത,ҡара
571,weiß::A,വെളുത്ത,аҡ
572,rot::A,ചുവന്ന,матур
573,rot::A,ചുവന്ന,һылыу
574,rot::A,ചുവന്ന,сибәр
575,gelb::A,മഞ്ഞനിറമായ,һары
576,blau::A,നീലനിറമുള്ള,күк
577,grün::A,പച്ചനിറമുള്ള,йәшел
578,grau::A,ചാരനിറത്തിലുള്ള,буҙ
579,bunt::A,വർണ്ണശബളമായ,сыбар
580,bunt::A,വർണ്ണശബളമായ,ала-ҡола
581,billig::A,വിലകുറഞ്ഞ,арзан
582,teuer::A,ചെലവേറിയ,ҡыйбатлы
583,wertvoll::A,വിലപിടിപ്പുള്ള,ҡиммәтле
584,blind::A,അന്ധനായ,һуҡыр
585,taub::A,കേൾവിക്കുറവുള്ള,һаңғырау
586,kräftig::A,ശക്തിയുള്ള,көслө
587,kräftig::A,ശക്തിയുള്ള,ҡеүәтле
588,stark::A,ബലമുള്ള,көслө
589,stark::A,ബലമുള്ള,ҡеүәтле
590,schwach::A,ക്ഷീണിച്ച,көсһөҙ
591,fett::A,കൊഴുപ്പുള്ള,һимеҙ
592,schlank::A,മെലിഞ്ഞ,зифа
593,hübsch::A,മനോഹരമായ,матур
594,böse::A,പാപിയായ,асыулы
595,dumm::A,വിവരംകെട്ട,иҫәр
596,faul::A,അലസനായ,иренсәк
597,fleißig::A,അദ്ധ്വാനശീലമുള്ള,тырыш
598,geizig::A,പിശുക്കനായ,һаран
599,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,аҡыллы
600,geschickt::A,പ്രതിഭാശാലി,оҫта
601,lieb::A,പ്രിയപ്പെട്ട,яғымлы
602,lustig::A,ആനന്ദകരമായ,күңелле
603,sanft::A,സൌമ്യമായ,йыуаш
604,hungrig::A,വിശപ്പുള്ള,ас
605,krank::A,അസുഖമുള്ള,сирле
606,krank::A,അസുഖമുള്ള,ауырыу
607,nackt::A,നഡമായ,яланғас
