,Concept_ID,he,kk
96,Schaum::N,קצף,көбік
97,Schmutz::N,לכלוך,кір
98,See::N,אגם,көл
99,Sumpf::N,בצה,саз
100,Moor::N,בצה,саз
101,Wiese::N,מרעה,шалғын
102,Wald::N,יער,орман
103,Hügel::N,תל,төбе
104,Hügel::N,תל,белес
105,Hügel::N,תל,белес-белес
106,Anhöhe::N,מעלה,дөң
107,Anhöhe::N,מעלה,адыр
108,Anhöhe::N,מעלה,қырат
109,Berg::N,הר,тау
110,Gipfel::N,פסגה,төбе
111,Höhle::N,מערה,үңгір
112,Abhang::N,מדרון,бауыр
113,Abhang::N,שפוע,бауыр
114,Quelle::N,מעין,қайнар
115,Bach::N,נחל,жылға
116,Fluss::N,נהר,өзен
117,Ufer::N,גדה,жиек
118,Küste::N,חוף,жиегі
119,Küste::N,חוף,жағалау
120,Festland::N,יבשה,құрылық
121,Meer::N,ים,теңіз
122,Bucht::N,מפרץ,шығанақ
123,Insel::N,אי,арал
124,Blume::N,פרח,гүл
125,Gras::N,דשא,от
126,Wurzel::N,שרש,түбір
127,Baum::N,עץ,ағаш
128,Baum::N,עץ,дарақ
129,Stamm::N,גזע,сояу
130,Stamm::N,גזע,оқпан
131,Rinde::N,קלפת עץ,қабық
132,Ast::N,ענף,бұтақ
133,Zweig::N,ענף,шыбық
134,Blatt::N,עלה,жапырақ
135,Birke::N,שדר,қайың
136,Kiefer[Baum]::N,ארן,қарағай
137,Weide[Baum]::N,ערבה,тал
138,Tanne::N,אשוח,шырша
139,Horn::N,קרן,мүйіз
140,Feder::N,נוצה,қаламұш
141,Fell::N,פרוה,тері
142,Flügel::N,כנף,қанат
143,Klaue::N,טלף,тырнақ
144,Kralle::N,טפר,аяқ
145,Schwanz::N,זנב,құйрық
146,Ei::N,ביצה,жұмыртқа
147,Nest::N,קן,ұя
148,Bau::N,מחלה,жатақ
149,Tier::N,חיה,айуан
150,Tier::N,חיה,жануар
151,Herde::N,עדר,пада
152,Kuh::N,פרה,сиыр
153,Bulle::N,פר,өгіз
154,Pferd::N,סוס,жылқы
155,Schaf::N,כבשה,қой
156,Schwein::N,חזיר,шошқа
157,Hund::N,כלב,ит
158,Katze::N,חתול,мысық
159,Bär::N,דב,аю
160,Eichhörnchen::N,סנאי,тиін
161,Elch::N,דישון,бұғы
162,Fuchs::N,שועל,түлкі
163,Hase::N,ארנב,қоян
164,Maus::N,עכבר,қаптесер
165,Wolf::N,זאב,бөрі
166,Wolf::N,זאב,қасқыр
167,Vogel::N,צפור,құс
168,Schwarm::N,נחיל,топ
169,Schwarm::N,נחיל,үйір
170,Schwarm::N,להקה,топ
171,Schwarm::N,להקה,үйір
172,Huhn::N,תרנגלת,тауық
173,Huhn::N,תרנגלת,мекиен
174,Hahn::N,תרנגול,әтеш
175,Hahn::N,תרנגול,қораз
176,Gans::N,אוז,қаз
177,Adler::N,עיט,бүркіт
178,Ente::N,ברוז,үйрек
179,Eule::N,ינשוף,жапалақ
180,Kranich::N,עגור,тырна
181,Kranich::N,כרוכיה,тырна
182,Krähe::N,עורב,қарға
183,Kuckuck::N,קוקיה,көкек
184,Schwan::N,ברבור,аққу
185,Fisch::N,דג,балық
186,Barsch::N,אוקונוס,алабұға
187,Hecht::N,זאב הים,шортан
188,Schlange[Tier]::N,נחש,жылан
189,Wurm::N,תולעת,шұбалшаң
190,Spinne::N,עכביש,өрмекші
191,Ameise::N,נמלה,қүмырска
192,Laus::N,כנה,бит
193,Mücke::N,יתוש,маса
194,Fliege::N,זבוב,шыбын
195,Schmetterling::N,פרפר,көбелек
196,Beere::N,ענבה,жидек
197,Apfel::N,תפוח,алма
198,Pilz::N,פטריה,қозықұйрық
199,Pilz::N,פטריה,саңыраукулақ
200,Zwiebel::N,בצל,жуа
201,Saat::N,זרעים,тұқым
202,Korn::N,גרעין,дән
203,Heu::N,חציר,шөп
204,Schale::N,קלפה,қабық
205,Schale::N,קלפה,қабығы
206,Grube::N,בור,ор
207,Grube::N,שוחה,ор
208,Falle::N,מלכדת,дұзақ
209,Falle::N,מלכדת,қақпан
210,Schlinge::N,לולאה,ілмек
211,Spur::N,עקבה,із
212,Asche::N,אפר,күл
213,Dreck::N,זהמה,былғаныш
214,Eisen::N,ברזל,темір
215,Gold::N,זהב,алтын
216,Silber::N,כסף,күміс
217,Kohle::N,פחם,көмір
218,Glas::N,זכוכית,шыны
219,Lehm::N,חרסית,балшық
220,Sand::N,חול,құм
221,Mensch::N,אדם,адам
222,Mann::N,איש,еркек
223,Mann::N,איש,ер адам
224,Mann::N,גבר,еркек
225,Mann::N,גבר,ер адам
226,Frau::N,אשה,бике
227,Frau::N,אשה,қатын
228,Frau::N,גברת,бике
229,Frau::N,גברת,қатын
230,Kind::N,ילד,бала
231,Kind::N,ילד,перзент
232,Junge::N,ילד,бала
233,Junge::N,ילד,ер бала
234,Mädchen::N,נערה,қыз
235,Familie::N,משפחה,жанұя
236,Großvater::N,סבא,ата
237,Großmutter::N,סבתא,әже
238,Großmutter::N,סבתא,әжей
239,Eltern::N,הורים,ата-аналар
240,Vater::N,אב,әке
241,Mutter::N,אם,ана
242,Sohn::N,בן,ұл
243,Tochter::N,בת,қызым
244,Bruder::N,אח,бауырым
245,Schwester::N,אחות,әпке
246,Onkel::N,דוד,көке
247,Tante::N,דודה,тәте
248,Ehemann::N,איש,ер
249,Ehemann::N,בעל,ер
250,Ehefrau::N,אשה,зайып
251,Freude::N,שמחה,қуаныш
252,Freude::N,שמחה,сүйініш
253,Freude::N,שמחה,шат-думан
254,Freude::N,שמחה,қуаныштылық
255,Gelächter::N,צחוק,күлу
256,Glück::N,אשר,бақыт
257,Glück::N,אשר,бақыттылық
258,Kummer::N,יגון,аза
259,Kummer::N,יגון,қайғы
260,Kummer::N,יגון,қасырет
261,Kummer::N,עגמה,аза
262,Kummer::N,עגמה,қайғы
263,Kummer::N,עגמה,қасырет
264,Wunsch::N,אחול,мүдде
265,Wunsch::N,משאלה,мүдде
266,Lust::N,חשק,тәбет
267,Lust::N,חשק,ынтызар
268,Lust::N,חשק,құштарлық
269,Lust::N,תשוקה,тәбет
270,Lust::N,תשוקה,ынтызар
271,Lust::N,תשוקה,құштарлық
272,Geist::N,רוח,рух
273,Gedanke::N,מחשבה,ой
274,Gedächtnis::N,זכרון,ес
275,Gedächtnis::N,זכרון,жады
276,Gedächtnis::N,זכרון,ақыл-ес
277,Verstand::N,שכל,ақыл
278,Verstand::N,שכל,парасат
279,Sinn::N,מובן,мән
280,Sinn::N,מובן,маныз
281,Sinn::N,מובן,мағына
282,Sinn::N,מובן,мән-мағына
283,Sinn::N,משמעות,мән
284,Sinn::N,משמעות,маныз
285,Sinn::N,משמעות,мағына
286,Sinn::N,משמעות,мән-мағына
287,Grund::N,סבה,себеп
288,Wahrheit::N,אמת,рас
289,Gespräch::N,דיון,әңгіме
290,Märchen::N,אגדה,ертеп
291,Märchen::N,אגדה,ертек
292,Erzählung::N,ספור,әңгіме
293,Nachricht::N,ידיעה,хабар
294,Neuigkeit::N,חדשה,жаңалық
295,Name::N,שם,ат
296,Name::N,שם,атау
297,Rätsel::N,תעלומה,жұмбақ
298,Rede::N,נאום,сөз
299,Sprache::N,לשון,тіл
300,Stimme::N,קול,үн
301,Stimme::N,קול,әуен
302,Stimme::N,קול,дауыс
303,Wort::N,מלה,сөз
304,Zeichen::N,סימן,ишара
305,Ruf::N,קריאה,айғай
306,Lärm::N,רעש,айғай-шу
307,Lärm::N,רעש,айғай-ұйғай
308,Laut::N,הגה,дыбыс
309,Laut::N,הגה,дауыс
310,Ton::N,צליל,әуен
311,Lied::N,שיר,ән
312,Lied::N,שיר,жыр
313,Lied::N,שיר,ән-жыр
314,Ruhe::N,שלוה,тыныштық
315,Leute::N,אנשים,кісілер
316,Volk::N,עם,халық
317,Arbeit::N,עבודה,еңбек
318,Gast::N,אורח,қонақ
319,Gast::N,אורח,мейман
320,Geschenk::N,מתנה,қадия
321,Spiel::N,משחק,ойын
322,Gesellschaft::N,חברה,қауым
323,Gesellschaft::N,חברה,жұртшылық
324,Hilfe::N,עזרה,жэрдем
325,Freund::N,חבר,дос
326,Freund::N,ידיד,дос
327,Kamerad::N,רע,дос-жар
328,Angelegenheit::N,ענין,жұмыс
329,Anzahl::N,מספר,сан
330,Anzahl::N,מספר,саны
331,Art::N,סוג,түр
332,Stück::N,חתיכה,тілім
333,Teil::N,פרק,үлес
334,Teil::N,פרק,бөлшек
335,Hälfte::N,חצי,жарты
336,Kreis::N,מעגל,шеңбер
337,Kreuz::N,צלב,крест
338,Linie::N,קו,сызық
339,Strich::N,קו קצר,сызық
340,Abstand::N,מרחק,ара
341,Abstand::N,מרחק,аралық
342,Entfernung::N,מרחק,аралық
343,Gegend::N,נוף,өңір
344,Platz::N,שטח,орны
345,Ort::N,אתר,орын
346,Ort::N,מקום,орын
347,Seite::N,צד,жақ
348,Seite::N,צד,бүйір
349,Mitte::N,אמצע,ортасы
350,Gegenstand::N,אוביקט,зат
351,Gegenstand::N,אוביקט,нәрсе
352,Sache::N,דבר,бұйым
353,Rand::N,פרור,шет
354,Rand::N,פרור,шеті
355,Kante::N,קצה,қыр
356,Kante::N,קצה,қыры
357,Ecke::N,פנה,қыры
358,Ecke::N,פנה,бұрыш
359,Spitze::N,קצה,ұшы
360,Ende::N,סוף,аяқ
361,Ende::N,סוף,соңы
362,Loch::N,חר,тесік
363,Winkel::N,פנה,мүйіс
364,Muster::N,תבנית,мәнер
365,Größe::N,גדל,ауқым
366,Größe::N,גדל,көлемдік
367,Länge::N,ארך,бой
368,Länge::N,ארך,ұзындық
369,Höhe::N,קומה,жоғарылық
370,Höhe::N,קומה,биіктік
371,Höhe::N,גבה,жоғарылық
372,Höhe::N,גבה,биіктік
373,Gewicht::N,משקל,салмақ
374,Menge::N,כמות,мөлшер
375,Haufen::N,ערמה,үйме
376,Haufen::N,ערמה,үйінді
377,Reihe::N,רצף,сап
378,Boot::N,סירה,қайық
379,Ruder::N,משוט,ескек
380,Schlitten::N,מזחלת,шана
381,Ski::N,מגלשים,шаңғы
382,Lagerfeuer::N,מדורה,алау
383,Last::N,משא,ауырлық
384,Last::N,משא,ауыр зат
385,Gang::N,הליכה,жүріс
386,Schritt::N,צעד,адым
387,Norden::N,צפון,солтүстік
388,Norden::N,צפון,терістік
389,Süden::N,דרום,оңтүстік
390,Westen::N,מערב,батыс
391,Osten::N,מזרח,күншығыс
392,Holz::N,עץ,ағаш
393,Holz::N,עץ,сүрек
394,Brett::N,קרש,тақта
395,Platte::N,לוח,тақта
396,Stütze::N,משען,тіреу
397,Stange::N,מוט,қада
398,Stock::N,מקל,сойыл
399,Stab::N,מוט,сырық
400,Rohr::N,צנור,құбыр
401,Haus::N,בית,үй
402,Heim::N,בית,үйлі
403,Heim::N,בית,шаңырақ
404,Ofen::N,תנור,ошақ
405,Ofen::N,תנור,пеш
406,Fußboden::N,רצפה,еден
407,Tisch::N,שלחן,үстел
408,Stuhl::N,כסא,орындық
409,Wiege::N,ערש,бесік
410,Bett::N,מטה,кереует
411,Regal::N,מדף,сөре
412,Kiste::N,תבה,жәшік
413,Kiste::N,ארגז,жәшік
414,Fenster::N,חלון,терезе
415,Tür::N,דלת,есік
416,Tor::N,שער,дарбаза
417,Zaun::N,גדר,дуал
418,Dach::N,גג,шатыр
419,Leiter::N,סלם,саты
420,Leiter::N,סלם,басқыш
421,Besen::N,מטאטא,сыпырғыш
422,Spaten::N,את,күрек
423,Schaufel::N,את,қалақ
424,Gabel::N,מזלג,аша
425,Gabel::N,מזלג,шанышқы
426,Löffel::N,כף,қасық
427,Messer::N,סכין,пышақ
428,Nagel::N,מסמר,мық
429,Nagel::N,מסמר,шеге
430,Netz::N,רשת,керегекөз
431,Haken::N,וו,ілмек
432,Haken::N,קרס,ілмек
433,Griff::N,ידית,сап
434,Griff::N,ידית,тұтқа
435,Schloss::N,מנעול,құлып
436,Schloss::N,מנעול,бекіткіш
437,Bild::N,תמונה,сурет
438,Figur::N,פסל,тұлға
439,Puppe::N,בבה,қуыршақ
440,Beutel::N,שק,қапшық
441,Bündel::N,צרור,байлам
442,Tasche::N,שקית,дорба
443,Eimer::N,דלי,шелек
444,Deckel::N,מכסה,жапқыш
445,Geschirr::N,כלים,ыдыс
446,Sack::N,שק,қап
447,Tasse::N,ספל,шыныаяқ
448,Topf::N,סיר,кәстрөл
449,Kessel::N,קנקן,қазан
450,Essen::N,אכל,ас
451,Essen::N,ארוחה,ас
452,Nahrung::N,הזנה,ас
453,Nahrung::N,הזנה,тамақ
454,Nahrung::N,תזונה,ас
455,Nahrung::N,תזונה,тамақ
456,Speise::N,מאכל,тағам
457,Speise::N,ארוחה,тағам
458,Fleisch::N,בשר,ет
459,Getreide::N,דגן,дәнді
460,Brei::N,מחית,ботқа
461,Brot::N,לחם,күлше
462,Scheibe::N,עגול,тілім
463,Scheibe::N,פרוסה,тілім
464,Fett::N,שמן,май
465,Butter::N,חמאה,май
466,Öl::N,שמן,май
467,Salz::N,מלח,тұз
468,Suppe::N,מרק,көже
469,Honig::N,דבש,бал
470,Milch::N,חלב,сүт
471,Tee::N,תה,шай
472,Leder::N,עור,көн
473,Wolle::N,צמר,жүн
474,Stoff::N,בד,мата
475,Stoff::N,בד,кездеме
476,Stoff::N,אריג,мата
477,Stoff::N,אריג,кездеме
478,Nadel::N,מחט,ине
479,Faden::N,חוט,жіп
480,Knopf::N,כפתור,түйме
481,Knoten::N,קשר,түйін
482,Farbe::N,צבע,рең
483,Kleidung::N,בגדים,киім
484,Hemd::N,חלצה,жейде
485,Kragen::N,צוארון,жаға
486,Ärmel::N,שרוול,жең
487,Hose::N,מכנסים,шалбар
488,Gürtel::N,חגורה,белбеу
489,Mütze::N,כובע,қалпақ
490,Schuh::N,נעל,кебіс
491,Stiefel::N,מגף,етік
492,Ring::N,טבעת,жүзік
493,Band::N,סרט,таспа
494,Kamm::N,מסרק,тарақ
495,Spiegel::N,מראה,айна
496,Riemen::N,רצועה,қайыс
497,Schnur::N,חבל,жіп
498,Leine::N,מושכות,тізгін
499,Decke::N,שמיכה,көрпе
500,Kissen::N,כרית,жастық
501,Tuch::N,צעיף,орамал
502,Handtuch::N,מגבת,сүлгі
503,Kraft::N,כוח,қуат
504,Kraft::N,כוח,қарқын
505,Kraft::N,כוח,әл-шама
506,Kraft::N,כוח,әл-дәрмен
507,Stärke::N,און,әл
508,Stärke::N,און,күш
509,Gesundheit::N,בריאות,денсаулык
510,Krankheit::N,מחלה,ауру
511,Schmerz::N,כאב,ауру
512,Wunde::N,פציעה,зақым
513,Wunde::N,פציעה,жарақат
514,Fieber::N,חם,безгек
515,Fieber::N,חם,қалтырау
516,Fieber::N,חם,қызу көтерілуі
517,Arznei::N,תרופה,дәрі
518,Arznei::N,תרופה,дәрі-дәрмек
519,Brücke::N,גשר,көпір
520,Brunnen::N,באר,құдық
521,Weide::N,אחו,өріс
522,Weide::N,אחו,жайылым
523,Weide::N,מרעה,өріс
524,Weide::N,מרעה,жайылым
525,Pfad::N,שביל,жол
526,Pfad::N,מדרכה,жол
527,Weg::N,דרך,жол
528,Straße::N,כביש,жол
529,Dorf::N,כפר,ауыл
530,Stadt::N,עיר,қала
531,Stadt::N,עיר,шаһар
532,Brief::N,מכתב,хат
533,Brief::N,מכתב,жазу
534,Buch::N,ספר,кітап
535,Buchstabe::N,אות,әріп
536,Buchstabe::N,אות,қаріп
537,Zeitung::N,עתון,газет
538,Leben::N,חיים,өмір
539,Leben::N,חיים,тіршілік
540,Tod::N,מות,опат
541,Grab::N,קבר,мола
542,Grab::N,קבר,мазар
543,Kirche::N,כנסיה,шіркеу
544,Sünde::N,חטא,күнә
545,Gott::N,אל,алла
546,Gott::N,אל,құдай
547,Gott::N,אל,тәңірі
548,Gott::N,אל,пәруардігер
549,Gott::N,אל,жаратқан тәңірі
550,Arbeiter::N,פועל,жүмысшы
551,Chef::N,ראש,басшы
552,Chef::N,ראש,жұмыс басқарушысы
553,Chef::N,מנהל,басшы
554,Chef::N,מנהל,жұмыс басқарушысы
555,Meister::N,ממחה,шебер
556,Meister::N,ממחה,өнерпаз
557,Arzt::N,רופא,дәрігер
558,Lehrer::N,מורה,мұғалім
559,Geld::N,כסף,пұл
560,Geschäft::N,עסקה,бизнес
561,Laden::N,חנות,дүкен
562,Preis::N,מחיר,ақы
563,Preis::N,מחיר,құны
564,Preis::N,מחיר,нарық
565,Ware::N,סחורה,тауар
566,Nutzen::N,תועלת,пайда
567,Reichtum::N,עשר,бақ-дәулет
568,Welt::N,עולם,әлем
569,Welt::N,עולם,жиһан
570,Land::N,ארץ,аймақ
571,Staat::N,מדינה,мемлекет
572,König::N,מלך,патша
573,Macht::N,כוח,өкімет
574,Macht::N,כוח,қожалық
575,Grenze::N,גבול,шек
576,Krieg::N,מלחמה,соғыс
577,Feind::N,אויב,жау
578,Feind::N,אויב,дұшпан
579,Gewalt::N,אלימות,зорлык
580,Gewalt::N,אלימות,зорлық-зомбылык
581,Kampf::N,קרב,күрес
582,Kampf::N,קרב,алыспақ
583,Kampf::N,לחימה,күрес
584,Kampf::N,לחימה,алыспақ
585,Bogen[Waffe]::N,קשת,саржа
586,Pfeil::N,חץ,жебе
587,Gewehr::N,רובה,қару
588,Fehler::N,טעות,әбес
589,Fehler::N,טעות,қаталық
590,Lüge::N,שקר,өтірік
591,Schaden::N,נזק,зиян
592,Schaden::N,נזק,зарар
593,Unglück::N,מזל רע,пәле
594,Unglück::N,מזל רע,қасырет
595,Unglück::N,מזל רע,ауыртпалық
596,Schuld::N,אשמה,айыптылық
597,Alter::N,גיל,жас
598,Alter::N,גיל,жас шамасы
599,Schluss::N,סיום,ада
600,Schluss::N,סיום,бітуі
601,Zeit::N,זמן,уақыт
602,Tag::N,יום,күн
603,Morgen::N,בקר,таң
604,Morgen::N,בקר,таңертең
605,Mittag::N,צהרים,талтүс
606,Abend::N,ערב,кеш
607,Nacht::N,לילה,түн
608,Woche::N,שבוע,апта
609,Monat::N,חדש,ай
610,Jahr::N,שנה,жыл
611,Frühling::N,אביב,көктем
612,Sommer::N,קיץ,жаз
613,Herbst::N,סתו,күз
614,Winter::N,חרף,қыс
615,Januar::N,ינואר,каңтар
616,Februar::N,פברואר,ақпан
617,März::N,מרץ,наурыз
618,April::N,אפריל,сәуір
619,Mai::N,מאי,мамыр
620,Juni::N,יוני,маусым
621,Juli::N,יולי,шілде
622,August::N,אוגוסט,сүмбіле
623,August::N,אוגוסט,тамыз
624,September::N,ספטמבר,қыркүйек
625,Oktober::N,אוקטובר,ақырап
626,November::N,נובמבר,қараша
627,Dezember::N,דצמבר,желтоқсан
628,Montag::N,יום שני,дүйсенбі
629,Dienstag::N,יום שלישי,сейсенбі
630,Mittwoch::N,יום רביעי,сәрсенбі
631,Donnerstag::N,יום חמישי,бейсенбі
632,Freitag::N,יום ששי,жұма
633,Samstag::N,יום שבת,сенбі
634,Sonntag::N,יום ראשון,жексембі
635,groß::A,גדול,алпамсадай
636,klein::A,קטן,кішкене
637,klein::A,קטן,қарғадай
638,lang::A,ארך,сопақ
639,lang::A,ארך,сорайған
640,kurz::A,קצר,кеспелтек
641,breit::A,רחב,айдынды
642,schmal::A,צר,қысық
643,dicht::A,צפוף,жиі
644,dick[Gegenstand]::A,עבה,шомбал
645,dünn::A,דק,жұқа
646,dünn::A,דק,жіңішке
647,fein::A,מעדן,қаңылтақ
648,fest::A,מוצק,берік
649,fest::A,מוצק,мызғымас
650,flach::A,שטוח,жалпак
651,glatt::A,חלק,типыл
652,hart::A,קשיח,қатты
653,weich::A,רך,жұмсақ
654,rund::A,עגל,домалақ
655,spitz::A,חד,үшкір
656,scharf::A,חד,сүйрік
657,stumpf::A,קהה,доғал
658,stumpf::A,קהה,өтпейтін
659,schwer::A,כבד,салмақты
660,schön::A,יפה,сұлу
661,heiß::A,חם,ыссы
662,warm::A,חם,жылы
663,kalt::A,קר,аязды
664,kühl::A,צונן,салқын
665,frisch::A,טרי,таза
666,frisch::A,טרי,жаңа
667,feucht::A,לח,нам
668,feucht::A,לח,дымқылды
669,nass::A,רטוב,сулы
670,trocken::A,יבש,құрғақ
671,voll::A,מלא,толы
672,leer::A,ריק,бос
673,offen::A,פתוח,ашып қойылған
674,geschlossen::A,סגור,жабулы
675,sauber::A,נקי,дақсыз
676,sauber::A,נקי,мұнтаздай
677,schmutzig::A,מלכלך,айғыз
678,schmutzig::A,מלכלך,сатпақ
679,schmutzig::A,מלכלך,сатал-сатал
680,roh::A,חי,шикі
681,reif::A,בשל,піскен
682,lecker::A,טעים,дәмді
683,süß::A,מתוק,тәтті
684,bitter::A,מר,ащы
685,sauer::A,חמוץ,қышқыл
686,hell::A,בהיר,жарық
687,hell::A,בהיר,жарқын
688,dunkel::A,עמום,қараңғы
689,schwarz::A,שחר,қара
690,weiß::A,לבן,ақ
691,rot::A,אדם,қызыл
692,gelb::A,צהב,сары
693,blau::A,כחל,көк
694,grün::A,ירק,жасыл
695,grau::A,אפר,бозамық
696,bunt::A,צבעוני,алабажак
697,billig::A,זול,арзан
698,teuer::A,יקר,бағалы
699,wertvoll::A,יקר ערך,құнды
700,wertvoll::A,יקר ערך,қымбат
701,blind::A,עור,көзсіз
702,blind::A,עור,көр
703,blind::A,עור,көр_соқыр
704,taub::A,חרש,керең
705,taub::A,חרש,саңырау
706,kräftig::A,חסן,қуатты
707,kräftig::A,חסן,қарымды
708,stark::A,חזק,білекті
709,schwach::A,חלש,әлсіз
710,schwach::A,חלש,күшсіз
711,schwach::A,חלש,қайратсыз
712,fett::A,שמן,семіз
713,schlank::A,רזה,ашаң
714,hübsch::A,יפה תאר,ажарлы
715,hübsch::A,יפה תאר,шырайлы
716,böse::A,רשע,өш
717,böse::A,רשע,сұм
718,böse::A,רשע,жауыз
719,dumm::A,טפש,көкми
720,dumm::A,טפש,ақымақ
721,dumm::A,טפש,миы жоқ
722,faul::A,עצלן,жалқау
723,faul::A,עצלן,еріншек
724,fleißig::A,חרוץ,ұқыпты
725,geizig::A,קמצן,сараң
726,klug::A,נבון,жетік
727,klug::A,נבון,ақылды
728,klug::A,פקח,жетік
729,klug::A,פקח,ақылды
730,geschickt::A,מימן,шебер
731,lieb::A,יקר,абзал
732,lieb::A,יקר,айналайын
733,lieb::A,אהוב,абзал
734,lieb::A,אהוב,айналайын
735,lustig::A,עליז,көңілді
736,sanft::A,עדין,жуас
737,hungrig::A,רעב,аш
738,krank::A,חולה,кеселді
739,nackt::A,ערום,жалаңаш
740,traurig::A,עצוב,қапа
741,lebendig::A,חי,тірі
742,lebendig::A,חי,жанды
743,gut::A,טוב,жақсы
744,schlecht::A,גרוע,жаман
745,richtig::A,נכון,дұрыс
746,schlimm::A,רע,жаман
747,wahr::A,אמתי,нағыз
748,alt::A,ישן,ескі
749,neu::A,חדש,жаңа
750,ehemalig::A,לשעבר,өткен
751,ehemalig::A,לשעבר,бұрынғы
752,alt[Lebewesen]::A,זקן,кексе
753,jung::A,צעיר,науша
754,arm::A,עני,кедей
755,arm::A,עני,дәулетсіз
756,reich::A,עשיר,малды
757,bekannt::A,ידוע,таныс
758,bekannt::A,ידוע,көзтаныс
759,berühmt::A,מפרסם,атақты
760,fremd::A,זר,бөтен
761,verschieden::A,שונה,түрлі
762,nah::A,קרוב,жуық
763,nah::A,קרוב,етене
764,fern::A,רחוק,алыс
765,fern::A,רחוק,алыстағы
766,linker::A,שמאלי,сол
767,linker::A,שמאלי,солшыл
768,rechter::A,ימין,оң
769,anderer::A,אחר,өзге
770,anderer::A,אחר,былайғы
771,erster::A,ראשון,алғашқы
772,zweiter::A,שני,екінші
773,dritter::A,שלישי,үшінші
774,letzter::A,אחרון,артқы
775,letzter::A,אחרון,кейінгі
776,allein::ADV,לבד,серіксіз
777,auf einmal::ADV,בו-זמנית,бірден
778,zusammen::ADV,ביחד,бірлесіп
779,lange::ADV,הרבה זמן,ұзақ
780,plötzlich::ADV,לפתע,кенет
781,plötzlich::ADV,פתאום,кенет
782,sofort::ADV,מיד,әне-міне дегенше
783,später::ADV,לאחר זמן,артынан
784,später::ADV,יותר מאחר,артынан
785,jetzt::ADV,עכשיו,енді
786,jetzt::ADV,עכשיו,қазір
787,heute::ADV,היום,бүгін
788,morgen::ADV,מחר,ертең
789,bald::ADV,בקרוב,тез
790,dann::ADV,אחר-כך,онан соң
