,Concept_ID,fi,no
1232,fischen::V,kalastaa,fiske
1233,fassen::V,pyydystää,fange
1234,fassen::V,saalistaa,fange
1235,hüten::V,paimentaa,vokte
1236,treiben::V,ajaa,drive
1237,anbinden::V,kytkeä,feste
1238,füttern::V,ruokkia,fore
1239,melken::V,lypsää,melke
1240,hacken::V,hakata,hakke
1241,gießen::V,kastella,helle
1242,reifen::V,kypsyä,modne
1243,zubereiten::V,valmistaa,lage
1244,zubereiten::V,valmistaa,tilberede
1245,kochen::V,keittää,koke
1246,backen::V,leipoa,bake
1247,braten::V,paistaa,steke
1248,umrühren::V,hämmentää,røre om
1249,stricken::V,kutoa,strikke
1250,stricken::V,neuloa,strikke
1251,nähen::V,ommella,sy
1252,färben::V,värjätä,farge
1253,färben::V,värittää,farge
1254,reinigen::V,puhdistaa,rense
1255,reinigen::V,puhdistaa,gjøre ren
1256,waschen::V,pestä,vaske
1257,abwischen::V,pyyhkiä,tørke av
1258,spülen::V,huuhtoa,spyle
1259,spülen::V,huuhtoa,skylle
1260,fegen::V,pyyhkäistä,feie
1261,kehren::V,lakaista,koste
1262,baden::V,kylpeä,bade
1263,sich waschen::V,peseytyä,vaske seg
1264,ausziehen::V,riisua,ta av
1265,anziehen::V,pukea ylleen,ta på
1266,sich anziehen::V,pukeutua,kle på seg
1267,kämmen::V,kammata,gre
1268,kämmen::V,kammata,kjemme
1269,schmücken::V,koristaa,pynte
1270,schmücken::V,koristaa,smykke
1271,schmücken::V,kaunistaa,pynte
1272,schmücken::V,kaunistaa,smykke
1273,sagen::V,sanoa,si
1274,sprechen::V,puhua,snakke
1275,reden::V,keskustella,tale
1276,reden::V,keskustella,snakke
1277,sich unterhalten::V,jutella,samtale
1278,fragen::V,kysyä,spørre
1279,bitten::V,pyytää,be
1280,erzählen::V,kertoa,fortelle
1281,mitteilen::V,ilmoittaa,meddele
1282,nennen::V,kutsua,kalle
1283,nennen::V,nimittää,kalle
1284,rufen::V,kutsua,rope
1285,prahlen::V,kerskailla,skryte
1286,übersetzen::V,kääntää,oversette
1287,denken::V,miettiä,tenke
1288,denken::V,ajatella,tenke
1289,glauben::V,uskoa,tro
1290,bemerken::V,huomata,bemerke
1291,bemerken::V,huomata,legge merke til
1292,erkennen::V,tunnistaa,gjenkjenne
1293,begreifen::V,ymmärtää,begripe
1294,verstehen::V,ymmärtää,forstå
1295,verstehen::V,ymmärtää,skjønne
1296,lernen::V,oppia,lære
1297,wissen::V,tietää,vite
1298,sich erinnern an::V,muistaa,huske på
1299,vergessen::V,unohtaa,glemme
1300,messen::V,mitata,måle
1301,zählen::V,laskea,telle
1302,rechnen::V,laskea,regne
1303,lesen::V,lukea,lese
1304,malen::V,maalata,male
1305,zeichnen::V,piirtää,tegne
1306,zeichnen::V,piirustaa,tegne
1307,schreiben::V,kirjoittaa,skrive
1308,besitzen::V,omistaa,eie
1309,besitzen::V,omistaa,inneha
1310,kaufen::V,ostaa,kjøpe
1311,verkaufen::V,myydä,selge
1312,bezahlen::V,maksaa,betale
1313,zahlen::V,maksaa,betale
1314,beherrschen::V,hallita,beherske
1315,ertragen::V,kestää,orke
