,Concept_ID,en,ba
629,fremd::A,foreign,сит
630,verschieden::A,different,төрлө
631,nah::A,near,яҡын
632,fern::A,far,алыҫ
633,fern::A,far,йыраҡ
634,linker::A,left,һул
635,rechter::A,right,уң
636,anderer::A,other,бутән
637,erster::A,first,тәүге
638,zweiter::A,second,икенсе
639,dritter::A,third,өсөнсө
640,letzter::A,last,һуңғы
641,allein::ADV,alone,бер үҙе
642,allein::ADV,alone,яңғыҙ
643,auf einmal::ADV,at once,бер юлы
644,zusammen::ADV,together,бергә
645,lange::ADV,long,оҙаҡ
646,plötzlich::ADV,suddenly,ҡапыл
647,sofort::ADV,instantly,шунда уҡ
648,später::ADV,later,һуңыраҡ
649,jetzt::ADV,now,хәҙер
650,heute::ADV,today,бөгөн
651,morgen::ADV,tomorrow,иртәгә
652,bald::ADV,soon,тиҙҙән
653,dann::ADV,then,һуңынан
654,gestern::ADV,yesterday,кисә
655,einst::ADV,once,ҡасандыр
656,einst::ADV,once,бер баҡыт
657,damals::ADV,at that time,ул саҡта
658,danach::ADV,afterwards,һуңынан
659,vorher::ADV,before,элек
660,zuerst::ADV,at first,башта
661,einmal::ADV,once,бер
662,manchmal::ADV,sometimes,ҡайһы берҙә
663,oft::ADV,often,йыш
664,immer::ADV,always,һәр ҡасан
665,niemals::ADV,never,бер ҡасан да
666,niemals::ADV,never,бер ваҡытта ла
667,hier::ADV,here,бында
668,hierhin::ADV,hither,бында
669,hierhin::ADV,to here,бында
670,hierhin::ADV,here,бында
671,von hier::ADV,hence,бынан
672,von hier::ADV,hence,ошонан
673,dort::ADV,there,шунда
674,dort::ADV,there,тегендә
675,dorthin::ADV,thither,шунда
676,dorthin::ADV,thither,тегеләй
677,dorthin::ADV,there,шунда
678,dorthin::ADV,there,тегеләй
679,dorthin::ADV,to there,шунда
680,dorthin::ADV,to there,тегеләй
681,geradeaus::ADV,ahead,тура
682,vorwärts::ADV,forward,алға
683,rückwärts::ADV,backward,кирегә
684,zurück::ADV,back,кирегә
685,unten::ADV,below,түбәндә
686,hinab::ADV,down,түбәнгә
687,oben::ADV,above,юғарыла
688,hinauf::ADV,up,юғарыға
689,überall::ADV,everywhere,бөтә урында
690,nicht::ADV,not,тугел
691,ein wenig::ADV,a little,аҙ
692,kaum::ADV,hardly,көскә
693,kaum::ADV,hardly,саҡ-саҡ
694,sehr::ADV,very,ифат
695,so::ADV,so,шулай
696,noch::ADV,still,йәнә
697,nur::ADV,only,бары
698,schon::ADV,already,инде
699,wieder::ADV,again,тағы
700,vergebens::ADV,in vain,бушҡа
701,vor::PRP,in front of,алдында
702,hinter::PRP,behind,артында
703,unter::PRP,under,аҫтында
704,durch::PRP,through,үтә
705,neben::PRP,next to,эргәһендә
706,zwischen::PRP,between,араһында
707,wegen::PRP,because of,өсөн
708,wegen::PRP,because of,сәбәпле
709,dies::PRN,this,был
710,dies::PRN,this,ошо
711,das::PRN,that,ул
712,alles::PRN,everything,бөтә
713,ich::PRN,I,мин
714,du::PRN,you,һин
715,du::PRN,thou,һин
716,er::PRN,he,ул
717,wir::PRN,we,беҙ
718,ihr::PRN,you,һеҙ
719,sie::PRN,they,улар
720,was::FPRN,what,ә
721,was::FPRN,what,ни
722,was::FPRN,what,нәмә
723,wer::FPRN,who,ҡем
724,wo::FADV,where,ҡайҙа
725,wohin::FADV,where ... to,ҡайҙа
726,wohin::FADV,where to,ҡайҙа
727,wohin::FADV,where,ҡайҙа
728,wie::FADV,how,инидәй
729,warum::FADV,why,ин өсөн
730,wieviel::FNUM,how much,күпме
731,eins::NUM,one,бер
732,zwei::NUM,two,ике
733,zwei::NUM,two,икәү
734,drei::NUM,three,өс
735,vier::NUM,four,дүрт
736,fünf::NUM,five,биш
737,sechs::NUM,six,алты
738,sieben::NUM,seven,ете
739,acht::NUM,eight,һигеҙ
740,neun::NUM,nine,туғыҙ
741,zehn::NUM,ten,ун
742,elf::NUM,eleven,ун бер
743,zwölf::NUM,twelve,ун ике
744,zwanzig::NUM,twenty,егерме
745,dreißig::NUM,thirty,утыҙ
746,vierzig::NUM,forty,ҡырҡ
747,fünfzig::NUM,fifty,илле
748,sechzig::NUM,sixty,алтмыш
749,siebzig::NUM,seventy,етмеш
750,achtzig::NUM,eighty,һикһән
751,neunzig::NUM,ninety,туҡһан
752,hundert::NUM,a hundred,йөҙ
753,tausend::NUM,a thousand,мең
754,und::CNJ,and,да
755,oder::CNJ,or,йәки
756,stehen::V,stand,тороу
757,sitzen::V,sit,ултырыу
758,liegen::V,lie,ятыу
759,hängen::V,hang,аҫылынып тороу
760,werden::V,become,булыу
761,passieren::V,happen,булыу
762,beginnen::V,begin,башлау
763,enden::V,end,бөтөү
764,enden::V,end,тамамланыү
765,wechseln::V,change,үҙгәреү
766,aufgehen[Sonne]::V,rise,ҡалҡыу
767,untergehen[Sonne]::V,set,байыу
768,scheinen[Sonne]::V,shine,яҡтыртып тороу
769,donnern::V,thunder,күкрәү
770,wehen::V,blow,иҫеү
771,strömen::V,stream,ташыу
772,fließen::V,flow,ағыу
773,sich drehen::V,revolve,әйләнеү
774,schwanken::V,sway,тирбәлеү
775,schwingen::V,swing,бәүетеү
776,fallen::V,fall,йығылыу
777,brennen::V,burn,яныу
778,rauchen::V,smoke,төтәү
779,regnen::V,rain,ямғыр яуа
780,gefrieren::V,freeze,туңыү
781,tauen::V,thaw,иреү
782,schmelzen::V,melt,иреү
783,trocknen::V,dry,кибеү
784,sieden::V,boil,ҡайнау
785,faulen::V,rot,сереу
786,verfaulen::V,decay,сереу
787,reißen::V,snap,өҙөү
788,reißen::V,snap,йыртылыу
789,versinken::V,sink,батыу
790,vergehen::V,pass,үтеү
791,erscheinen::V,appear,килеп сығыу
792,verschwinden::V,disappear,юғалыу
793,sinken::V,drop,түбәнәйеү
794,abnehmen::V,decrease,кәметеү
795,zunehmen::V,increase,артыу
796,steigen::V,rise,күтәрелеү
797,wachsen::V,grow,үҫеү
798,glänzen::V,shine,ялтырау
799,funkeln::V,sparkle,баҙлау
800,lärmen::V,be noisy,шаулау
801,läuten::V,chime,ҡағыу
802,klingeln::V,ring,ҡағыу
803,klingeln::V,ring,шылтыратыу
804,klirren::V,tinkle,шылтыратыу
805,brausen::V,roar,ҡотороноу
806,rauschen::V,rustle,шыптырлау
807,klingen::V,sound,яңғырау
808,bellen::V,bark,өрөү
809,heulen::V,howl,олоу
810,blasen::V,blow,өрөү
