,Concept_ID,zh,bg
642,geizig::A,吝啬,скъпернически
643,klug::A,聪明,умен
644,klug::A,聪明,разумен
645,geschickt::A,灵巧,умел
646,geschickt::A,灵巧,сръчен
647,lieb::A,可爱,мил
648,lieb::A,可爱,драг
649,lustig::A,快乐,весел
650,sanft::A,柔和,нежен
651,sanft::A,柔和,кротък
652,hungrig::A,饥饿,гладен
653,krank::A,患病,болен
654,nackt::A,裸体,гол
655,traurig::A,悲哀,тъжен
656,traurig::A,悲哀,печален
657,lebendig::A,活,жив
658,gut::A,好,добър
659,schlecht::A,坏,лош
660,richtig::A,正确,правилен
661,schlimm::A,糟糕,лош
662,wahr::A,真,верен
663,wahr::A,真,истински
664,alt::A,旧,стар
665,alt::A,旧,древен
666,neu::A,新,нов
667,ehemalig::A,以前,бивш
668,alt[Lebewesen]::A,老,стар
669,jung::A,年轻,млад
670,arm::A,贫穷,беден
671,reich::A,富裕,богат
672,bekannt::A,出名,познат
673,bekannt::A,出名,известен
674,berühmt::A,著名,почут
675,berühmt::A,著名,известен
676,fremd::A,陌生,чужд
677,verschieden::A,不同,разен
678,verschieden::A,不同,различен
679,nah::A,近,близък
680,fern::A,遥远,далечен
681,linker::A,左,ляв
682,rechter::A,右,прав
683,anderer::A,别的,друг
684,erster::A,第一,пръв
685,erster::A,第一,първи
686,zweiter::A,第二,втори
687,dritter::A,第三,трети
688,letzter::A,最后,последен
689,allein::ADV,单独,само
690,auf einmal::ADV,同时,същевременно
691,zusammen::ADV,一起,заедно
692,lange::ADV,许久,дълго
693,plötzlich::ADV,忽然,изведнъж
694,sofort::ADV,立刻,веднага
695,später::ADV,以后,по-късно
696,jetzt::ADV,现在,сега
697,heute::ADV,今天,днес
698,morgen::ADV,明天,утре
699,bald::ADV,即将,скоро
700,dann::ADV,然后,после
701,dann::ADV,然后,тогава
702,gestern::ADV,昨天,вчера
703,einst::ADV,曾经,някога
704,damals::ADV,当时,тогава
705,danach::ADV,随后,после
706,danach::ADV,随后,след това
707,vorher::ADV,事先,преди
708,vorher::ADV,事先,преди това
709,zuerst::ADV,首先,най-напред
710,einmal::ADV,一次,веднъж
711,einmal::ADV,一次,един път
712,manchmal::ADV,有时,понякога
713,oft::ADV,时常,често
714,immer::ADV,总是,винаги
715,niemals::ADV,从未,никога
716,hier::ADV,这里,тук
717,hier::ADV,这里,тука
718,hierhin::ADV,到这里,насам
719,von hier::ADV,由此,оттук
720,von hier::ADV,由此,оттука
721,dort::ADV,那里,там
722,dorthin::ADV,到那里,натам
