,Concept_ID,ku,et
153,Herde::N,hoz,kari
154,Kuh::N,çêlek,lehm
155,Bulle::N,ga,pull
156,Pferd::N,hesp,hobune
157,Schaf::N,mîh,lammas
158,Schwein::N,beraz,siga
159,Hund::N,seh,koer
160,Katze::N,pişîk,kass
161,Bär::N,hirç,karu
162,Eichhörnchen::N,pilûr,orav
163,Elch::N,pazkovî,põder
164,Fuchs::N,rovî,rebane
165,Hase::N,kîroşk,jänes
166,Maus::N,mişk,hiir
167,Wolf::N,gur,hunt
168,Vogel::N,çûk,lind
169,Schwarm::N,lufik,parv
170,Huhn::N,mirîşk,kana
171,Hahn::N,dîk,kukk
172,Gans::N,qaz,hani
173,Adler::N,eylo,kotkas
174,Ente::N,werdek,part
175,Eule::N,bûm,kakk
176,Eule::N,bûm,öökull
177,Eule::N,kund,kakk
178,Eule::N,kund,öökull
179,Kranich::N,quling,kurg
180,Krähe::N,qijik,vares
181,Kuckuck::N,pepûk,kägu
182,Schwan::N,qû,luik
183,Fisch::N,masî,kala
184,Barsch::N,okûn,ahven
185,Hecht::N,mesîyê lûf,haug
186,Schlange[Tier]::N,mar,uss
187,Wurm::N,kurm,uss
188,Wurm::N,kurm,vagel
189,Spinne::N,pîrê,ämblik
190,Ameise::N,mîro,sipelgas
191,Ameise::N,gêrîk,sipelgas
192,Laus::N,spi,täi
193,Mücke::N,mêş,sääsk
194,Fliege::N,mêş,kärbes
195,Schmetterling::N,perperîk,liblikas
196,Beere::N,hirç,mari
197,Apfel::N,sêv,õun
198,Pilz::N,bîrov,seen
199,Zwiebel::N,pîvaz,sibul
200,Saat::N,tov,seeme
201,Korn::N,dexl,iva
202,Korn::N,dexl,tera
203,Heu::N,sap,hein
204,Schale::N,qaşik,koor
205,Grube::N,çahl,kaevand
206,Falle::N,dafik,lõks
207,Falle::N,dafik,püünis
208,Schlinge::N,dahf,aas
209,Spur::N,rêç,jälg
210,Asche::N,xweli,tuhk
211,Dreck::N,gemarî,saast
212,Dreck::N,gemarî,mustus
213,Eisen::N,hesing,raud
214,Gold::N,zêr,kuld
215,Silber::N,zîv,hõbe
216,Kohle::N,komir,süsi
217,Glas::N,qedeh,klaas
218,Lehm::N,kelpîç,savi
219,Sand::N,qûm,liiv
220,Mensch::N,mirov,inimene
221,Mann::N,mêr,mees
222,Frau::N,jin,naine
223,Kind::N,zarok,laps
224,Junge::N,kur,poiss
225,Mädchen::N,keç,tüdruk
226,Mädchen::N,keçik,tüdruk
227,Familie::N,malbat,perekond
228,Großvater::N,bapîr,vanaisa
229,Großmutter::N,pîrik,vanaema
230,Eltern::N,bavudê,vanemad
231,Vater::N,bav,isa
232,Mutter::N,dê,ema
233,Mutter::N,dayik,ema
234,Sohn::N,kur,poeg
235,Tochter::N,keç,tütar
236,Bruder::N,bira,vend
237,Schwester::N,xweh,õde
238,Onkel::N,am,onu
239,Onkel::N,xal,onu
240,Tante::N,metik,tädi
241,Tante::N,xaltîk,tädi
242,Ehemann::N,mêr,mees
243,Ehemann::N,mêr,abikaasa
244,Ehefrau::N,kulfet,naine
245,Ehefrau::N,kulfet,abikaasa
246,Freude::N,kêfxweşî,rõõm
247,Gelächter::N,pîrqînî,naer
248,Glück::N,bext,õnn
249,Kummer::N,derd,mure
250,Kummer::N,derd,kurbus
251,Wunsch::N,daxwaz,soov
252,Wunsch::N,xwestek,soov
253,Lust::N,şewq,himu
254,Geist::N,aqil,vaim
255,Gedanke::N,fikir,mõte
256,Gedächtnis::N,aqil,mälu
257,Verstand::N,fêm,aru
258,Verstand::N,fêm,mõistus
259,Sinn::N,aqil,tähendus
260,Grund::N,asas,põhjus
261,Wahrheit::N,rastî,tõde
262,Gespräch::N,guftûgo,kõne
263,Gespräch::N,guftûgo,vestlus
264,Märchen::N,çirok,muinasjutt
265,Erzählung::N,çirok,jutustus
266,Erzählung::N,vegotin,jutustus
267,Nachricht::N,nûçe,teade
268,Neuigkeit::N,hewal,uudis
269,Name::N,nav,nimi
270,Name::N,paşnav,nimi
271,Rätsel::N,tiştonek,mõistatus
272,Rede::N,gotar,kõne
273,Rede::N,axavtin,kõne
274,Sprache::N,ziman,keel
275,Stimme::N,pejn,hääl
276,Wort::N,gotin,sõna
277,Zeichen::N,şanek,märk
278,Ruf::N,hawar,hüüe
279,Lärm::N,xarbalix,müra
280,Laut::N,deng,hääl
281,Laut::N,hês,hääl
282,Ton::N,awaz,toon
283,Lied::N,sitran,laul
284,Ruhe::N,rihetî,rahu
285,Ruhe::N,rihetî,vaikus
286,Leute::N,xelk,inimesed
287,Volk::N,xelk,rahvas
288,Arbeit::N,xebat,töö
289,Gast::N,mêvan,külaline
290,Geschenk::N,diyarî,kingitus
291,Spiel::N,lîstik,mäng
292,Gesellschaft::N,komal,selts
293,Hilfe::N,alîkarî,abi
294,Freund::N,heval,sõber
295,Kamerad::N,heval,sõber
296,Angelegenheit::N,pirsgirêk,asi
297,Anzahl::N,çend,arv
298,Anzahl::N,çend,hulk
299,Art::N,çeh,liik
300,Stück::N,lib,tükk
301,Stück::N,parçe,tükk
302,Teil::N,parçe,osa
303,Hälfte::N,nîvî,pool
304,Kreis::N,çemil,ring
305,Kreuz::N,xaç,rist
306,Linie::N,xezik,joon
307,Strich::N,xezik,joon
308,Abstand::N,dûrahî,vahe
309,Entfernung::N,dûrahî,kaugus
310,Entfernung::N,dûrahî,vahemaa
311,Gegend::N,dever,ümbrus
312,Platz::N,çih,ruum
313,Ort::N,dever,paik
314,Seite::N,rûpel,pool
315,Mitte::N,nav,keskpaik
316,Mitte::N,nabênê,keskpaik
317,Gegenstand::N,tişt,ese
318,Sache::N,tişt,ese
319,Rand::N,kevî,äär
320,Rand::N,kevî,serv
321,Kante::N,kevî,kant
322,Ecke::N,qunç,nurk
323,Spitze::N,derzî,teravik
324,Ende::N,talî,ots
325,Ende::N,talî,jupp
326,Loch::N,qul,auk
327,Winkel::N,kurnîşk,nurk
328,Muster::N,desen,muster
329,Größe::N,mezinî,suurus
330,Länge::N,dirêjahî,pikkus
331,Höhe::N,bilindayî,kõrgus
332,Gewicht::N,giranî,kaal
333,Gewicht::N,giranî,raskus
334,Menge::N,qas,arv
335,Menge::N,qas,hulk
336,Haufen::N,lod,hunnik
337,Reihe::N,rêz,rivi
338,Boot::N,kelek,paat
339,Ruder::N,bêrik,aer
340,Schlitten::N,xîjik,saan
341,Ski::N,lakan,suusk
342,Lagerfeuer::N,agir,lõke
343,Last::N,bar,koorem
344,Gang::N,fîtêz,käik
345,Schritt::N,gav,samm
346,Norden::N,bakur,põhi
347,Süden::N,başur,lõuna
348,Westen::N,rojava,lääs
349,Osten::N,rojhilat,ida
350,Holz::N,dep,puu
351,Brett::N,dep,saelaud
352,Platte::N,dep,plaat
353,Stütze::N,destek,tugi
354,Stange::N,sing,latt
355,Stange::N,sing,teivas
356,Stock::N,çam,kepp
357,Stab::N,qat,varras
358,Rohr::N,borî,toru
359,Haus::N,mal,maja
360,Haus::N,xanî,maja
361,Heim::N,mal,kodu
362,Ofen::N,sobe,ahi
363,Fußboden::N,binpê,põrand
364,Tisch::N,mase,laud
365,Stuhl::N,kursî,tool
366,Wiege::N,derguş,häll
367,Wiege::N,derguş,kätki
368,Bett::N,qerewêle,voodi
369,Regal::N,rêbaz,riiul
370,Kiste::N,sindoq,kast
371,Fenster::N,çam,aken
372,Fenster::N,şibeke,aken
373,Tür::N,derî,uks
374,Tor::N,derge,värav
375,Zaun::N,hejik,aed
376,Zaun::N,hejik,tara
377,Dach::N,sere xanî,katus
378,Leiter::N,pêling,redel
379,Besen::N,melkes,luud
380,Spaten::N,mer,labidas
381,Schaufel::N,bêr,kühvel
382,Gabel::N,çetel,kahvel
383,Löffel::N,kevçî,lusikas
384,Messer::N,kêr,nuga
385,Nagel::N,bizmar,nael
386,Netz::N,tor,võrk
387,Haken::N,çenqel,haak
388,Haken::N,çenqel,konks
389,Griff::N,destî,sang
390,Griff::N,destî,käepide
391,Schloss::N,qonax,lukk
392,Bild::N,dimen,pilt
393,Figur::N,figûr,kuju
394,Figur::N,figûr,kujund
395,Puppe::N,bûk,nukk
396,Beutel::N,kîsik,paun
397,Bündel::N,pêçek,kimp
398,Tasche::N,bêrîk,kott
399,Eimer::N,dewl,pang
400,Eimer::N,dewl,ämber
401,Deckel::N,devik,kaas
402,Geschirr::N,ferax,nõud
403,Sack::N,tûr,kott
404,Tasse::N,kada,tass
405,Topf::N,beroş,pada
406,Kessel::N,şîril,pada
407,Essen::N,xwarin,söök
408,Nahrung::N,xwarin,toit
409,Speise::N,xwarin,roog
410,Fleisch::N,goşt,liha
411,Getreide::N,zad,teravili
412,Brei::N,hewdêl,puder
413,Brot::N,,sai
414,Brot::N,,leib
415,Scheibe::N,parçe,viil
416,Scheibe::N,parçe,viilukas
417,Fett::N,rûn,rasv
418,Butter::N,rûn,või
419,Öl::N,rûn,õli
420,Salz::N,xwe,sool
421,Suppe::N,şorbe,supp
422,Honig::N,hingiv,mesi
423,Milch::N,şîr,piim
424,Tee::N,çay,tee
425,Leder::N,çerm,nahk
426,Wolle::N,herî,vill
427,Stoff::N,paç,kangas
428,Nadel::N,derzî,nõel
429,Faden::N,ta,niit
430,Knopf::N,bişkok,nööp
431,Knoten::N,girêk,sõlm
432,Farbe::N,boyax,värv
433,Kleidung::N,çil,riided
434,Kleidung::N,çil,riietus
435,Hemd::N,qutik,särk
436,Hemd::N,miltan,särk
437,Kragen::N,stûvang,krae
438,Ärmel::N,hûçik,varrukas
439,Hose::N,şewel,püksid
440,Gürtel::N,qayiş,vöö
441,Mütze::N,fîno,müts
442,Schuh::N,şêkal,king
443,Stiefel::N,gizme,saabas
444,Stiefel::N,çizme,saabas
445,Ring::N,xelek,sõrmus
446,Band::N,band,lint
447,Kamm::N,şeh,kamm
448,Spiegel::N,eynik,peegel
449,Riemen::N,qayiş,rihm
450,Schnur::N,doxin,nöör
451,Leine::N,şirît,jalutusrihm
452,Decke::N,bataniye,tekk
453,Kissen::N,balgî,padi
454,Tuch::N,şar,kalev
455,Handtuch::N,dezmal,käterätik
456,Kraft::N,hêz,jõud
457,Kraft::N,qewet,jõud
458,Stärke::N,xurtî,tugevus
459,Gesundheit::N,nojdarî,tervis
460,Krankheit::N,nexweşî,haigus
461,Schmerz::N,êş,valu
462,Wunde::N,kul,haav
463,Fieber::N,ta,palavik
464,Arznei::N,derman,ravim
465,Brücke::N,kopî,sild
466,Brunnen::N,çal,kaev
467,Brunnen::N,kani,kaev
468,Weide::N,beyar,karjamaa
469,Pfad::N,xaçirek,rada
470,Weg::N,rê,tee
471,Straße::N,rê,tee
472,Dorf::N,gund,küla
473,Stadt::N,baçar,linn
474,Brief::N,name,kiri
475,Buch::N,kitêb,raamat
476,Buch::N,pirtûk,raamat
477,Buchstabe::N,herf,täht
478,Zeitung::N,rojname,ajaleht
479,Leben::N,jiyan,elu
480,Tod::N,mirin,surm
481,Grab::N,mezel,haud
482,Kirche::N,gilyas,kirik
483,Sünde::N,guneh,patt
484,Gott::N,xwedê,jumal
485,Arbeiter::N,hîşçî,tööline
486,Chef::N,bêg,ülemus
487,Chef::N,bêg,juhataja
488,Meister::N,hoste,meister
489,Arzt::N,doktor,arst
490,Lehrer::N,mamoste,õpetaja
491,Geld::N,pere,raha
492,Geschäft::N,firoşgeh,äri
493,Laden::N,dikan,pood
494,Laden::N,dikan,kauplus
495,Preis::N,buha,hind
496,Ware::N,tişt,kaup
497,Nutzen::N,fêde,tulu
498,Nutzen::N,fêde,kasulikkus
499,Reichtum::N,serwet,rikkus
500,Welt::N,dinya,maailm
501,Land::N,welat,maa
502,Staat::N,dewlet,riik
503,König::N,şah,kuningas
504,König::N,qral,kuningas
505,Macht::N,qewet,võim
506,Macht::N,destihilat,võim
507,Grenze::N,kevî,piir
508,Krieg::N,çeng,sõda
509,Krieg::N,sêwaş,sõda
510,Feind::N,dijmin,vaenlane
511,Gewalt::N,zor,väevõim
512,Kampf::N,şer,võitlus
513,Bogen[Waffe]::N,kêvan,vibu
514,Pfeil::N,çîrik,nool
515,Gewehr::N,tifing,püss
516,Fehler::N,şaşî,viga
517,Lüge::N,derew,vale
518,Schaden::N,xisar,kahju
519,Unglück::N,bêbextî,häda
520,Unglück::N,bêbextî,õnnetus
521,Schuld::N,suç,süü
522,Alter::N,temen,iga
523,Schluss::N,girtin,lõpp
524,Zeit::N,çax,aeg
525,Tag::N,roj,päev
526,Morgen::N,sibeh,hommik
527,Mittag::N,nîro,lõuna
528,Mittag::N,nîro,keskpäev
529,Abend::N,êvar,õhtu
530,Nacht::N,şev,öö
531,Woche::N,heftî,nädal
532,Monat::N,meh,kuu
533,Jahr::N,sal,aasta
534,Frühling::N,bihar,kevad
535,Sommer::N,havîn,suvi
536,Herbst::N,payîz,sügis
537,Winter::N,zistan,talv
538,Januar::N,çile,jaanuar
539,Februar::N,sibat,veebruar
540,März::N,adar,märts
541,April::N,nîsan,aprill
542,Mai::N,gûlan,mai
543,Juni::N,hezîran,juuni
544,Juli::N,tîmeh,juuli
545,August::N,tebax,august
546,September::N,îlon,september
547,Oktober::N,çotmeh,oktoober
548,November::N,mijdar,november
549,Dezember::N,kanûn,detsember
550,Montag::N,duşemb,esmaspäev
551,Dienstag::N,sêşem,teisipäev
552,Mittwoch::N,çarşemb,kesknädal
553,Donnerstag::N,pêşemb,neljapäev
554,Freitag::N,în,reede
555,Samstag::N,şemî,laupäev
556,Sonntag::N,yekşemb,pühapäev
557,groß::A,mezin,suur
558,klein::A,çûçik,väike
559,klein::A,çûçik,pisike
560,lang::A,dirêj,pikk
561,kurz::A,kin,lühike
562,breit::A,fireh,lai
563,schmal::A,tenik,kitsas
564,dicht::A,gir,tihe
565,dick[Gegenstand]::A,şîşman,jäme
566,dünn::A,zirav,õhuke
567,dünn::A,zirav,peenike
568,fein::A,tenik,peen
569,fein::A,tenik,õhuke
570,fest::A,saxlem,püsiv
571,fest::A,saxlem,kindel
572,flach::A,pahn,lame
573,flach::A,pahn,tasane
574,glatt::A,dûz,sile
575,glatt::A,şayîk,sile
576,hart::A,hişk,kõva
577,weich::A,nerm,pehme
578,rund::A,gilover,ümar
579,spitz::A,pîj,torkav
580,scharf::A,tûj,terav
581,stumpf::A,ne tûj,nüri
582,schwer::A,giran,raske
583,schön::A,xweş,kena
584,schön::A,xweşik,kena
585,heiß::A,kelandî,kuum
586,heiß::A,kelandî,palav
587,warm::A,germ,soe
588,kalt::A,sar,külm
589,kühl::A,jemîrî,jahe
590,frisch::A,ter,värske
591,feucht::A,şil,niiske
592,nass::A,şilek,märg
593,trocken::A,zuwa,kuiv
594,voll::A,tijî,täis
595,leer::A,vala,tühi
596,offen::A,vekirî,avatud
597,offen::A,vekirî,lahtine
598,geschlossen::A,asê,suletud
599,sauber::A,pakij,puhas
600,schmutzig::A,lewitî,räpane
601,schmutzig::A,lewitî,määrdunud
602,roh::A,xav,toores
603,reif::A,gihaştî,küps
604,lecker::A,xweş,hõrk
605,lecker::A,xweş,maitsev
606,süß::A,şîrîn,magus
607,bitter::A,tahl,mõru
608,sauer::A,tirş,hapu
609,hell::A,ronî,hele
610,dunkel::A,tarî,pime
611,schwarz::A,reş,must
612,weiß::A,sipî,valge
613,rot::A,sor,punane
614,gelb::A,zer,kollane
615,blau::A,şîn,sinine
616,grün::A,şîn,roheline
617,grau::A,gewr,hall
618,bunt::A,rengîn,kirju
619,bunt::A,rengîn,värviline
620,billig::A,erzan,odav
621,teuer::A,biha,kallis
622,wertvoll::A,hêja,väärtuslik
623,wertvoll::A,giranbiha,väärtuslik
624,blind::A,kor,pime
625,taub::A,kerr,kurt
626,kräftig::A,gir,jõuline
627,kräftig::A,xurt,jõuline
628,stark::A,xurt,tugev
629,schwach::A,kesad,nõrk
630,schwach::A,kesad,jõuetu
631,fett::A,qelew,rasvane
632,schlank::A,zirav,sale
633,hübsch::A,xweşik,kena
634,böse::A,xerab,tige
635,böse::A,aciz,tige
636,dumm::A,gêj,juhm
637,dumm::A,gêj,rumal
638,faul::A,têmbêl,laisk
639,fleißig::A,jêhatî,virk
640,fleißig::A,jêhatî,hoolas
641,geizig::A,destgirtî,ihne
642,klug::A,baqil,tark
643,klug::A,baqil,arukas
644,klug::A,baqil,mõistlik
645,geschickt::A,zîrek,osav
646,geschickt::A,ziring,osav
647,lieb::A,delal,armas
648,lustig::A,kêfxweş,lõbus
649,sanft::A,nazenîn,õrn
650,hungrig::A,birçî,näljane
651,krank::A,nexweş,haige
652,nackt::A,rût,alasti
653,nackt::A,tazî,alasti
654,traurig::A,xemgîn,kurb
655,lebendig::A,bisaxî,elus
656,gut::A,baş,hea
657,schlecht::A,xerab,halb
658,richtig::A,rast,õige
659,richtig::A,saxlem,õige
660,schlimm::A,nebaş,paha
661,wahr::A,rast,tõene
662,alt::A,pîr,vana
663,alt::A,kevn,vana
664,neu::A,nû,uus
665,ehemalig::A,kevnar,endine
666,ehemalig::A,peşidar,endine
667,alt[Lebewesen]::A,pîr,vana
668,jung::A,xort,noor
669,arm::A,feqîr,vaene
670,arm::A,desteng,vaene
671,reich::A,dewlemend,rikas
672,bekannt::A,naskirî,teada
673,bekannt::A,naskirî,tuttav
674,berühmt::A,navdar,tuntud
675,fremd::A,xerîb,võõras
676,verschieden::A,çîhê,erinev
677,nah::A,nêzîk,lähedane
678,fern::A,dûr,kauge
679,linker::A,çepê,vasak
680,rechter::A,rastê,parem
681,anderer::A,yê din,muu
682,anderer::A,yê din,teine
683,erster::A,yekemîn,esimene
684,zweiter::A,duda,teine
685,dritter::A,sisêya,kolmas
686,letzter::A,paşîn,viimane
687,allein::ADV,tenê,üksi
688,auf einmal::ADV,jar kê,korraga
689,auf einmal::ADV,jar kê,ühekorraga
690,zusammen::ADV,tev,koos
691,zusammen::ADV,tev,üheskoos
692,zusammen::ADV,bi hev re,koos
693,zusammen::ADV,bi hev re,üheskoos
694,lange::ADV,dirêj,kaua
695,plötzlich::ADV,ji nişkave,äkki
696,plötzlich::ADV,ji nişkave,järsku
697,sofort::ADV,yekser,kohe
698,später::ADV,paşiyê,hiljem
699,jetzt::ADV,nuha,nüüd
700,heute::ADV,îro,täna
701,morgen::ADV,sibeh,homme
702,bald::ADV,nêzîk,pea
703,bald::ADV,nêzîk,varsti
704,dann::ADV,paşê,siis
705,gestern::ADV,do,eile
706,einst::ADV,jar ke,vanasti
707,damals::ADV,hîngî,tookord
708,danach::ADV,piştra,seejärel
709,vorher::ADV,pîşî,enne
710,zuerst::ADV,bere,enne
711,zuerst::ADV,bere,esmalt
712,einmal::ADV,çarik,kord
713,einmal::ADV,çarik,üks kord
714,manchmal::ADV,çarna,mõnikord
715,oft::ADV,gelek çaran,tihti
716,oft::ADV,gelek çaran,sageli
717,immer::ADV,daîm,ikka
718,immer::ADV,daîm,alati
719,niemals::ADV,tu çar,mitte kunagi
720,hier::ADV,li vir,siin
721,hierhin::ADV,vir,siia
722,von hier::ADV,ji vir,siit
723,dort::ADV,li wê derê,seal
724,dorthin::ADV,wêda,sinna
725,geradeaus::ADV,rastê rast,otse edasi
726,vorwärts::ADV,ber bi pêş,edasi
727,rückwärts::ADV,paşpê,tagurpidi
728,zurück::ADV,paşdo,tagasi
729,zurück::ADV,paşvê,tagasi
730,unten::ADV,jêrî,all
731,unten::ADV,jêrî,allpool
732,hinab::ADV,berjêr,alla
733,oben::ADV,banî,ülal
734,hinauf::ADV,banî,üles
735,überall::ADV,li her derê,kõikjal
736,nicht::ADV,ne,ei
737,nicht::ADV,ne,mitte
738,nicht::ADV,nîn,ei
739,nicht::ADV,nîn,mitte
740,nicht::ADV,tine,ei
741,nicht::ADV,tine,mitte
742,ein wenig::ADV,hebkî,veidi
743,ein wenig::ADV,hebkî,natuke
744,kaum::ADV,tema,vaevalt
745,kaum::ADV,himangi,vaevalt
746,sehr::ADV,gelek,väga
747,so::ADV,weha,nii
748,noch::ADV,hêj,veel
749,noch::ADV,dîsa,veel
750,nur::ADV,tenê,ainult
751,nur::ADV,bes,ainult
752,schon::ADV,hew,juba
753,wieder::ADV,jar din,jälle
754,wieder::ADV,dîsa,jälle
755,vergebens::ADV,deya çun,asjata
756,vergebens::ADV,îfleh bûn,asjata
757,vor::PRP,li ber,ees
758,hinter::PRP,li pişt,taha
759,unter::PRP,li bin,all
760,durch::PRP,kura,läbi
761,durch::PRP,kura,kaudu
762,neben::PRP,li ba,kõrval
763,zwischen::PRP,nabeyne,vahel
764,zwischen::PRP,di nav...da,vahel
765,wegen::PRP,ji bo,tõttu
766,wegen::PRP,ji bo,pärast
767,wegen::PRP,ji ber,tõttu
768,wegen::PRP,ji ber,pärast
769,dies::PRN,ev,see
770,das::PRN,ev,see
771,alles::PRN,hemû,kõik
772,ich::PRN,ez,mina
773,du::PRN,tu,sina
774,er::PRN,wî,tema
775,wir::PRN,êm,me
776,ihr::PRN,hûn,te
777,sie::PRN,we,nad
778,was::FPRN,çi,mis
779,wer::FPRN,ki,kes
780,wo::FADV,li ku dere,kus
781,wohin::FADV,li ku dere,kuhu
782,wie::FADV,çawa,kuidas
783,warum::FADV,çima,miks
784,wieviel::FNUM,çend,mitu
785,wieviel::FNUM,çend,kui palju
786,eins::NUM,yek,üks
787,zwei::NUM,didu,kaks
788,drei::NUM,sisê,kolm
789,vier::NUM,çar,neli
790,fünf::NUM,penç,viis
791,sechs::NUM,şeş,kuus
792,sieben::NUM,heft,seitse
793,acht::NUM,heşt,kaheksa
794,neun::NUM,neh,üheksa
795,zehn::NUM,deh,kümme
796,elf::NUM,yazdeh,üksteist
797,zwölf::NUM,diwazdeh,kaksteist
798,zwanzig::NUM,bîst,kakskümmend
799,dreißig::NUM,sih,kolmkümmend
800,vierzig::NUM,çil,nelikümmend
801,fünfzig::NUM,pençi,viiskümmend
802,sechzig::NUM,şêst,kuuskümmend
803,siebzig::NUM,heftê,seitsekümmend
804,achtzig::NUM,heştê,kaheksakümmend
805,neunzig::NUM,nod,üheksakümmend
806,hundert::NUM,sêd,sada
807,tausend::NUM,hezar,tuhat
808,und::CNJ,û,ja
809,oder::CNJ,an,või
810,oder::CNJ,yan,või
811,stehen::V,sekinîn,seisma
812,sitzen::V,rûniştin,istuma
813,liegen::V,paldan,lamama
814,hängen::V,darve kirin,rippuma
815,werden::V,bûn,saama
816,werden::V,bûn,hakkama
817,passieren::V,hatin holê,juhtuma
818,passieren::V,hatin serê kesî,juhtuma
819,beginnen::V,li dest pêkirin,algama
820,beginnen::V,li dest pêkirin,hakkama
821,enden::V,xalas bû,lõppema
822,wechseln::V,guherandin,vahelduma
823,wechseln::V,dêgiş kirin,vahelduma
824,aufgehen[Sonne]::V,hilatin,tõusma
