,Concept_ID,fr,xal
796,gestern::ADV,hier,өцклдүр
797,einst::ADV,jadis,нег саамд
798,einst::ADV,autrefois,нег саамд
799,damals::ADV,alors,тиигхд
800,damals::ADV,à l'époque,тиигхд
801,danach::ADV,après,тегәд
802,danach::ADV,ensuite,тегәд
803,vorher::ADV,auparavant,урд
804,zuerst::ADV,d'abord,түрүләд
805,zuerst::ADV,premièrement,түрүләд
806,einmal::ADV,une fois,нег дәкҗ
807,manchmal::ADV,parfois,зәрмдән
808,manchmal::ADV,quelquefois,зәрмдән
809,oft::ADV,souvent,хара биш
810,oft::ADV,souvent,хатяр биш
811,oft::ADV,souvent,дару-дарунь
812,immer::ADV,toujours,оньдинд
813,niemals::ADV,ne ... jamais,кезә чмгн биш
814,hier::ADV,ici,энд
815,hier::ADV,ici,энүнд
816,hierhin::ADV,par ici,нааран
817,von hier::ADV,d'ici,эндәс
818,dort::ADV,là,тенд
819,dort::ADV,là-bas,тенд
820,dorthin::ADV,y,тиигән
821,dorthin::ADV,par là,тиигән
822,geradeaus::ADV,tout droit,шуд
823,vorwärts::ADV,en avant,уралан
824,rückwärts::ADV,en arrière,гедргән
825,zurück::ADV,de retour,хәрү
826,unten::ADV,en bas,дор
827,unten::ADV,au-dessous,дор
828,hinab::ADV,en bas,дор
829,hinab::ADV,en bas,доракшан
830,hinab::ADV,vers le bas,дор
831,hinab::ADV,vers le bas,доракшан
832,oben::ADV,dessus,деер
833,oben::ADV,en haut,деер
834,hinauf::ADV,en haut,өөдән
835,hinauf::ADV,en haut,деер
836,hinauf::ADV,vers le haut,өөдән
837,hinauf::ADV,vers le haut,деер
838,überall::ADV,partout,альд болв чигн
839,nicht::ADV,ne ... pas,эс
840,nicht::ADV,ne ... pas,биш
841,nicht::ADV,ne ... pas,бичә
842,ein wenig::ADV,un peu,баахн
843,ein wenig::ADV,un peu,баахнар
844,kaum::ADV,à peine,әрә
845,sehr::ADV,très,йир
846,so::ADV,si,иигҗ
847,so::ADV,ainsi,иигҗ
848,noch::ADV,encore,ода чигн
849,nur::ADV,seulement,һанцхн
850,nur::ADV,ne ... que,һанцхн
851,schon::ADV,déjà,одх
852,wieder::ADV,de nouveau,бас
853,vergebens::ADV,en vain,киидән
854,vor::PRP,devant,урд
855,hinter::PRP,derrière,ца
856,unter::PRP,sous,дор
857,unter::PRP,au-dessous de,дор
858,durch::PRP,par,ивт
859,durch::PRP,par,дундаһур
860,durch::PRP,à travers,ивт
861,durch::PRP,à travers,дундаһур
862,neben::PRP,à côté de,хаҗуд
863,zwischen::PRP,entre,хоорнд
864,wegen::PRP,à cause de,көлтә
865,wegen::PRP,à cause de,деерәс
866,dies::PRN,ceci,эн
867,das::PRN,ce,тер
868,das::PRN,cela,тер
869,alles::PRN,tout,цуһар
870,ich::PRN,je,би
871,ich::PRN,moi,би
872,du::PRN,tu,чи
873,du::PRN,toi,чи
874,er::PRN,il,тер
875,er::PRN,lui,тер
876,wir::PRN,nous,мадн
877,ihr::PRN,vous,та
878,sie::PRN,ils,тедн
879,sie::PRN,elles,тедн
880,was::FPRN,que,юн
881,was::FPRN,quoi,юн
882,wer::FPRN,qui,кен
883,wo::FADV,où,хама
884,wohin::FADV,où,хамаран
885,wie::FADV,comment,яһҗ
886,wie::FADV,comment,яһад
887,warum::FADV,pourquoi,юңгад
888,wieviel::FNUM,combien,кедү
889,eins::NUM,un,негн
890,zwei::NUM,deux,хойр
891,drei::NUM,trois,һурвн
892,vier::NUM,quatre,дөрвн
893,fünf::NUM,cinq,тавн
894,sechs::NUM,six,зурһан
895,sieben::NUM,sept,долан
896,acht::NUM,huit,нәәмн
897,neun::NUM,neuf,йисн
898,zehn::NUM,dix,арвн
899,elf::NUM,onze,арвн негн
900,zwölf::NUM,douze,арвн хойр
901,zwanzig::NUM,vingt,хөрн
902,dreißig::NUM,trente,һучн
903,vierzig::NUM,quarante,дөчн
904,fünfzig::NUM,cinquante,тәвн
905,sechzig::NUM,soixante,җирн
906,siebzig::NUM,soixante-dix,далн
907,achtzig::NUM,quatre-vingt,найн
908,neunzig::NUM,quatre-vingt-dix,йирн
909,hundert::NUM,cent,зун
910,tausend::NUM,mille,миңһн
911,und::CNJ,et,болн
912,oder::CNJ,ou,эс гиҗ
913,oder::CNJ,ou,эс гихлә
914,stehen::V,être debout,зогсх
915,sitzen::V,être assis,суух
916,liegen::V,être couché,кевтх
917,hängen::V,pendre,өлгәтә бәәх
918,werden::V,devenir,болх
919,passieren::V,se passer,болх
920,beginnen::V,commencer,эклх
921,enden::V,finir,төгсх
922,enden::V,se terminer,төгсх
923,wechseln::V,changer,хүврх
924,wechseln::V,alterner,хүврх
925,aufgehen[Sonne]::V,se lever,һарх
926,untergehen[Sonne]::V,se coucher,орх
927,untergehen[Sonne]::V,se coucher,сүүрлх
928,scheinen[Sonne]::V,briller,герлтх
929,donnern::V,tonner,күрҗңнх
930,wehen::V,souffler,сальклх
931,strömen::V,affluer,һооҗх
932,fließen::V,couler,урсх
933,sich drehen::V,tourner,эргх
934,schwanken::V,osciller,дәәвлх
935,schwanken::V,chanceler,дәәвлх
936,schwingen::V,vibrer,нәәхлх
937,schwingen::V,osciller,нәәхлх
938,fallen::V,tomber,унх
939,fallen::V,tomber,киисх
940,brennen::V,brûler,шатх
941,brennen::V,flamber,шатх
942,rauchen::V,fumer,ута һарһх
943,regnen::V,pleuvoir,орх
944,gefrieren::V,geler,мөстх
945,tauen::V,dégeler,хәәлх
946,schmelzen::V,fondre,хәәлх
947,schmelzen::V,fondre,хәәлгдх
948,trocknen::V,sécher,эврх
949,sieden::V,bouillir,буслх
950,faulen::V,pourrir,үмкәрх
951,faulen::V,se putréfier,үмкәрх
952,verfaulen::V,pourrir,илҗрх
953,reißen::V,rompre,тасрх
954,reißen::V,se déchirer,тасрх
955,versinken::V,s'enfoncer,чивх
956,vergehen::V,passer,болх
957,erscheinen::V,apparaître,һарх
958,verschwinden::V,disparaître,уга болх
959,sinken::V,descendre,татгдх
960,sinken::V,s'abaisser,татгдх
961,abnehmen::V,diminuer,хасгдх
962,zunehmen::V,augmenter,өсх
963,steigen::V,monter,немх
964,wachsen::V,croître,өсх
965,wachsen::V,croître,урһх
966,glänzen::V,briller,гилвкх
967,funkeln::V,étinceler,цәклх
968,lärmen::V,faire du bruit,шууглдх
969,läuten::V,sonner,хоңх
970,klingeln::V,sonner,җиңнулх
971,klirren::V,cliqueter,җиңнх
972,brausen::V,mugir,догшрхх
973,rauschen::V,bruire,сарҗңнх
974,klingen::V,sonner,ә һарх
975,bellen::V,aboyer,хуцх
976,heulen::V,hurler,уульх
977,blasen::V,souffler,үләх
978,pfeifen::V,siffler,ишкрх
979,schreien::V,crier,хәәкрх
980,stöhnen::V,gémir,түңшх
981,zittern::V,trembler,дагҗннх
982,leben::V,vivre,бәәх
983,geboren werden::V,naître,төрх
984,atmen::V,respirer,әмсхлх
985,trinken::V,boire,уух
986,essen::V,manger,идх
987,schlucken::V,avaler,зальгх
988,müde werden::V,se lasser,көшх
989,müde werden::V,se fatiguer,көшх
990,einschlafen::V,s'endormir,унтх
991,schlafen::V,dormir,нөөрсх
992,aufwachen::V,se réveiller,серх
993,aufstehen::V,se lever,босх
994,sich erholen::V,se reposer,амрх
995,sich erholen::V,se détendre,амрх
996,krank werden::V,tomber malade,гемтх
997,krank sein::V,être malade,шалтглх
998,schmerzen::V,faire mal,өвдх
999,husten::V,tousser,ханях
1000,genesen::V,guérir,эдгх
1001,genesen::V,se remettre,эдгх
1002,sterben::V,mourir,үкх
1003,sterben::V,mourir,өңгрх
