,Concept_ID,uk,ml
134,Schwanz::N,хвіст,വാൽ
135,Ei::N,яйце,മുട്ട
136,Nest::N,гніздо,കൂട്
137,Bau::N,лігво,മാളം
138,Tier::N,тварина,മൃഗം
139,Herde::N,стадо,കൂട്ടം
140,Kuh::N,корова,പശു
141,Bulle::N,бик,കാള
142,Bulle::N,бугай,കാള
143,Pferd::N,кінь,കുതിര
144,Schaf::N,вівця,ആട്
145,Schwein::N,свиня,പന്നി
146,Hund::N,собака,നായ്
147,Katze::N,кішка,പൂച്ച
148,Bär::N,ведмідь,കരടി
149,Eichhörnchen::N,білка,അണ്ണാൻ
150,Elch::N,лось,കടമാന്
151,Fuchs::N,лисиця,കുറുക്കൻ
152,Hase::N,заєць,മുയൽ
153,Maus::N,миша,ചുണ്ടലി
154,Wolf::N,вовк,ചെന്നായ
155,Vogel::N,птах,പക്ഷി
156,Schwarm::N,зграя,കൂട്ടം
157,Huhn::N,курка,കോഴി
158,Hahn::N,півень,പൂവൻകോഴി
159,Gans::N,гуска,അരയന്നം
160,Adler::N,орел,കഴുകൻ
161,Ente::N,качка,താറാവ്
162,Eule::N,сова,മൂങ്ങ
163,Kranich::N,журавель,കൊക്ക്
164,Krähe::N,ворона,കാക്ക
165,Kuckuck::N,зозуля,കുയിൽ
166,Schwan::N,лебідь,അരയന്നം
167,Fisch::N,риба,മത്സ്യം
168,Barsch::N,окунь,ഒരിനം മത്സ്യം
169,Hecht::N,щука,ഒരു മത്സ്യം
170,Schlange[Tier]::N,змія,പാമ്പ്
171,Wurm::N,черв’як,വിര
172,Spinne::N,павук,ചിലന്തി
173,Ameise::N,мурашка,ഉറുമ്പ്
174,Laus::N,воша,പേന്
175,Mücke::N,комар,മശകം
176,Fliege::N,муха,ഈച്ച
177,Schmetterling::N,метелик,ചിത്രശലഭം
178,Beere::N,ягода,ബെറി
179,Apfel::N,яблуко,ആപ്പിൾ
180,Pilz::N,гриб,കൂൺ
181,Zwiebel::N,цибуля,സവാള
182,Saat::N,сім’я,വിത്ത്
183,Korn::N,зерно,ധാന്യം
184,Heu::N,сіно,വയ്ക്കോൽ
185,Schale::N,шкірка,തൊലി
186,Grube::N,яма,കുഴി
187,Falle::N,пастка,കെണി
188,Schlinge::N,петля,കുടുക്ക്
189,Spur::N,слід,ചുവട്
190,Asche::N,зола,ചാരം
191,Asche::N,попіл,ചാരം
192,Dreck::N,бруд,അഴുക്ക്
193,Eisen::N,залізо,ഇരുമ്പ്
194,Gold::N,золото,സ്വർണ്ണം
195,Silber::N,срібло,വെള്ളി
196,Kohle::N,вугілля,കൽക്കരി
197,Glas::N,скло,ഗ്ലാസ്
198,Lehm::N,глина,കളിമണ്ണ്
199,Sand::N,пісок,മണൽ
200,Mensch::N,людина,മനുഷ്യർ
201,Mann::N,чоловік,പുരുഷൻ
202,Frau::N,жінка,സ്ത്രീ
203,Kind::N,дитина,കുഞ്ഞ്
204,Junge::N,хлопець,ആൺകുട്ടി
205,Mädchen::N,дівчина,പെൺകുട്ടി
206,Familie::N,сім’я,കുടുംബം
207,Familie::N,родина,കുടുംബം
208,Großvater::N,дідусь,അപ്പൂപ്പൻ
209,Großmutter::N,бабуся,അമ്മുമ്മ
210,Eltern::N,батьки,മാതാപിതാക്കള്
211,Vater::N,батько,അച്ഛൻ
212,Mutter::N,мати,അമ്മ
213,Sohn::N,син,മകൻ
214,Tochter::N,дочка,മകൾ
215,Bruder::N,брат,ചേട്ടൻ
216,Bruder::N,брат,അനിയൻ
217,Schwester::N,сестра,ചേച്ചി
218,Schwester::N,сестра,അനിയത്തി
219,Onkel::N,дядько,അമ്മാവൻ
220,Tante::N,тітка,മാമി
221,Ehemann::N,чоловік,ഭർത്താവ്
222,Ehefrau::N,жінка,ഭാര്യ
223,Ehefrau::N,дружина,ഭാര്യ
224,Freude::N,радощі,ആഹ്ലാദം
225,Gelächter::N,сміх,ചിരിയുടെ ശബ്ദം
226,Glück::N,щастя,സന്തോഷം
227,Glück::N,щастя,സന്തുഷ്ടി
228,Kummer::N,горе,ശോകം
229,Wunsch::N,бажання,ആഗ്രഹം
230,Lust::N,бажання,ആഗ്രഹം
231,Geist::N,дух,ചുറുചുറുക്ക്
232,Gedanke::N,думка,ചിന്ത
233,Gedächtnis::N,пам’ять,ഓർമ്മശക്തി
234,Verstand::N,розум,മനസ്സ്
235,Sinn::N,зміст,അർത്ഥം
236,Sinn::N,значення,അർത്ഥം
237,Grund::N,причина,കാരണം
238,Wahrheit::N,правда,സത്യം
239,Gespräch::N,розмова,സല്ലാപം
240,Märchen::N,байка,യക്ഷിക്കഥ
241,Erzählung::N,повість,കഥ
242,Erzählung::N,оповідання,കഥ
243,Nachricht::N,повідомлення,സന്ദേശം
244,Neuigkeit::N,новина,വാർത്ത
245,Name::N,ім’я,പേര്
246,Rätsel::N,загадка,പ്രഹേളിക
247,Rede::N,промова,സംസാരം
248,Sprache::N,мова,ഭാഷ
249,Stimme::N,голос,സ്വരം
250,Wort::N,слово,വാക്ക്
251,Zeichen::N,знак,സംജ്ഞ
252,Ruf::N,оклик,വിളി
253,Lärm::N,шум,ആരവം
254,Laut::N,звук,ശബ്ദം
255,Ton::N,тон,സ്വരഭേദം
256,Lied::N,пісня,പാട്ട്
257,Ruhe::N,спокій,നിശ്ചലത
258,Leute::N,люди,ജനങ്ങൾ
259,Volk::N,народ,രാഷ്ടം
260,Arbeit::N,робота,ജോലി
261,Gast::N,гість,അതിലി
262,Geschenk::N,подарунок,സമ്മാനം
263,Spiel::N,гра,കളി
264,Gesellschaft::N,товариство,കൂട്ടായ്മ
265,Hilfe::N,допомога,സഹായം
266,Freund::N,друг,സുഹൃത്ത്
267,Freund::N,приятель,സുഹൃത്ത്
268,Kamerad::N,товариш,കൂട്ടാളി
269,Angelegenheit::N,справа,കാര്യം
270,Anzahl::N,число,എണ്ണം
271,Art::N,рід,തരം
272,Stück::N,кусок,കഷണം
273,Teil::N,частина,ഭാഗം
274,Hälfte::N,половина,പകുതി
275,Kreis::N,круг,വൃത്തം
276,Kreis::N,коло,വൃത്തം
277,Kreuz::N,хрест,കുരിശടയാളം
278,Linie::N,лінія,വര
279,Linie::N,лінія,രേഖ
280,Strich::N,штрих,പക്ഷാഘാതം
281,Abstand::N,проміжок,വിടവ്
282,Entfernung::N,відстань,അകലം
283,Gegend::N,місцевість,പ്രദേശം
284,Platz::N,площа,ഇടം
285,Ort::N,місце,സ്ഥലം
286,Seite::N,сторона,വശം
287,Mitte::N,середина,മധ്യസ്ഥാനം
288,Gegenstand::N,предмет,സാധനം
289,Sache::N,річ,വസ്തു
290,Rand::N,край,തൊങ്ങൽ
291,Kante::N,ребро,അറ്റം
292,Ecke::N,ріг,മൂല
293,Spitze::N,кінчик,അഗ്രം
294,Ende::N,кінець,അവസാനം
295,Loch::N,діра,ദ്വാരം
296,Winkel::N,куток,കോൺ
297,Muster::N,узор,ക്രമം
298,Größe::N,розмір,വലുപ്പം
299,Länge::N,довжина,നീളം
300,Höhe::N,висота,ഉയരം
301,Gewicht::N,вага,കട്ടി
302,Menge::N,кількість,അളവ്
303,Haufen::N,купа,കൂമ്പാരം
304,Reihe::N,ряд,വരി
305,Boot::N,човен,ബോട്ട്
306,Ruder::N,весло,പങ്കായം
307,Schlitten::N,сани,ഉരുളില്ലാവണ്ടി
308,Ski::N,лижа,ഹിമപാദുകം
309,Lagerfeuer::N,вогнище,തീ
310,Last::N,тягар,ഭാരം
311,Last::N,вантаж,ഭാരം
312,Gang::N,хід,നടത്തം
313,Schritt::N,крок,ചുവട്
314,Norden::N,північ,വടക്ക്
315,Süden::N,південь,തെക്ക്
316,Westen::N,захід,പടിഞ്ഞാറ്
317,Osten::N,схід,കിഴക്ക്
318,Holz::N,дрова,തടി
319,Brett::N,дошка,ബോർഡ്
320,Platte::N,плита,തകിട്
321,Stütze::N,підпірка,താങ്ങ്
322,Stange::N,жердина,കമ്പ്
323,Stock::N,палиця,വടി
324,Stab::N,палиця,കുറുവടി
325,Rohr::N,труба,കുഴൽ
326,Haus::N,дім,വീട്
327,Haus::N,хата,വീട്
328,Heim::N,житло,വീട്
329,Ofen::N,піч,സ്റ്റൌ
330,Fußboden::N,підлога,തറ
331,Tisch::N,стіл,മേശ
332,Stuhl::N,стілець,കസേര
333,Wiege::N,колиска,തൊട്ടിൽ
334,Bett::N,ліжко,കിടക്ക
335,Bett::N,постіль,കിടക്ക
336,Regal::N,полиця,ഷെൽഫ്
337,Kiste::N,ящик,പെട്ടി
338,Fenster::N,вікно,ജനൽ
339,Tür::N,двері,വാതിൽ
340,Tor::N,ворота,കവാടം
341,Zaun::N,паркан,വേലി
342,Zaun::N,огорожа,വേലി
343,Dach::N,дах,മേൽക്കുര
344,Leiter::N,драбина,ഏണി
345,Besen::N,мітла,ചൂല്
346,Spaten::N,заступ,തൂമ്പ
347,Schaufel::N,совок,തൂമ്പ
348,Schaufel::N,лопата,തൂമ്പ
349,Gabel::N,виделка,മുൾക്കത്തി
350,Löffel::N,ложка,സ്പൂൺ
351,Messer::N,ніж,കത്തി
352,Nagel::N,цвях,ആണി
353,Netz::N,сіть,വല
354,Haken::N,крюк,കൊളുത്ത്
355,Griff::N,ручка,കൈപ്പിടി
356,Griff::N,держак,കൈപ്പിടി
357,Schloss::N,замок,പൂട്ട്
358,Bild::N,картина,ചിത്രം
359,Figur::N,фігура,കണക്ക്
360,Puppe::N,лялька,പാവ
361,Beutel::N,мішечок,ബാഗ്
362,Beutel::N,торбинка,ബാഗ്
363,Bündel::N,в’язка,കെട്ട്
364,Tasche::N,сумка,ബാഗ്
365,Eimer::N,відро,ബക്കറ്റ്
366,Deckel::N,кришка,ഉറ
367,Geschirr::N,посуд,പിഞ്ഞാണം
368,Sack::N,мішок,ചാക്ക്
369,Tasse::N,чашка,കപ്പ്
370,Topf::N,горщик,പാത്രം
371,Kessel::N,котел,കെറ്റ്ല്
372,Essen::N,їжа,ആഹാരസമയം
373,Nahrung::N,харч,ഭക്ഷണം
374,Speise::N,страва,ഡിഷ്
375,Fleisch::N,м’ясо,മാംസം
376,Getreide::N,хліб,ചോളം
377,Getreide::N,збіжжя,ചോളം
378,Brei::N,каша,കഞ്ഞി
379,Brot::N,хліб,റോട്ടി
380,Scheibe::N,скибочка,തുണ്ട്
381,Fett::N,жир,കൊഴുപ്പ്
382,Butter::N,масло,വെണ്ണ
383,Öl::N,олія,എണ്ണ
384,Salz::N,сіль,ഉപ്പ്
385,Suppe::N,суп,സൂപ്പ്
386,Honig::N,мед,തേൻ
387,Milch::N,молоко,പാൽ
388,Tee::N,чай,ചായ
389,Leder::N,шкіра,തുകൽ
390,Wolle::N,шерсть,കമ്പിളി
391,Stoff::N,тканина,തുണി
392,Nadel::N,голка,സൂചി
393,Faden::N,нитка,നൂല്
394,Knopf::N,ґудзик,ബട്ടൺ
395,Knoten::N,вузол,കുരുക്ക്
396,Farbe::N,фарба,പെയിൻറ്
397,Kleidung::N,одяг,വസ്ത്രങ്ങൾ
398,Kleidung::N,убрання,വസ്ത്രങ്ങൾ
399,Hemd::N,сорочка,ഷർട്ട്
400,Kragen::N,комір,കുപ്പായക്കഴുത്ത്
401,Ärmel::N,рукав,കുപ്പായക്കൈ
402,Hose::N,брюки,ട്രൌസർ
403,Gürtel::N,пояс,ബെൽറ്റ്
404,Mütze::N,шапка,തൊപ്പി
405,Schuh::N,ботинок,ഷൂ
406,Stiefel::N,чобіт,ബൂട്ട്
407,Ring::N,кільце,മോതിരം
408,Band::N,стрічка,റിബൺ
409,Kamm::N,гребінець,ചീപ്പ്
410,Spiegel::N,дзеркало,കണ്ണാടി
411,Riemen::N,ремінь,സ്ട്രാപ്പ്
412,Schnur::N,вірьовка,ചരട്
413,Leine::N,шворка,കെട്ടാനുള്ള തോൽവാർ
414,Decke::N,ковдра,പുതപ്പ്
415,Kissen::N,подушка,തലയിണ
416,Tuch::N,хустка,സ്കാർഫ്
417,Handtuch::N,рушник,തോർത്ത്
418,Kraft::N,сила,ശക്തി
419,Stärke::N,сила,ശക്തി
420,Gesundheit::N,здоров’я,ആരോഗ്യം
421,Krankheit::N,хвороба,അസുഖം
422,Schmerz::N,біль,വേദന
423,Wunde::N,рана,മുറിവ്
424,Fieber::N,гарячка,പനി
425,Arznei::N,ліки,മരുന്ന്
426,Brücke::N,міст,പാലം
427,Brunnen::N,колодязь,കിണർ
428,Weide::N,пасовище,മേച്ചൽ
429,Pfad::N,стежка,വഴി
430,Weg::N,шлях,വഴി
431,Weg::N,дорога,വഴി
432,Straße::N,вулиця,റോഡ്
433,Dorf::N,село,ഗ്രാമം
434,Stadt::N,місто,നഗരം
435,Brief::N,лист,കത്ത്
436,Buch::N,книга,പുസ്തകം
437,Buch::N,книжка,പുസ്തകം
438,Buchstabe::N,буква,അക്ഷരം
439,Buchstabe::N,літера,അക്ഷരം
440,Zeitung::N,газета,വർത്തമാനപത്രം
441,Leben::N,життя,ജീവൻ
442,Tod::N,смерть,മരണം
443,Grab::N,могила,ശവക്കുഴി
444,Kirche::N,церква,പള്ളി
445,Sünde::N,гріх,പാപം
446,Gott::N,бог,ദൈവം
447,Arbeiter::N,робітник,ജോലിക്കാരൻ
448,Chef::N,хазяїн,മേധാവി
449,Meister::N,умілець,യജമാനൻ
450,Arzt::N,лікар,ഡോക്ടർ
451,Lehrer::N,вчитель,അധ്യാപകൻ
452,Geld::N,гроші,പണം
453,Geschäft::N,заняття,ബിസിനസ്
454,Laden::N,магазин,കട
455,Laden::N,крамниця,കട
456,Preis::N,ціна,വില
457,Ware::N,товар,ചരക്ക്
458,Nutzen::N,вигода,ലാഭം
459,Nutzen::N,користь,ലാഭം
460,Reichtum::N,багатство,ധനം
461,Welt::N,світ,ലോകം
462,Land::N,країна,രാജ്യം
463,Staat::N,держава,രാജ്യം
464,König::N,король,രാജാവ്
465,Macht::N,влада,അധികാരം
466,Grenze::N,кордон,അതിർത്തി
467,Krieg::N,війна,യുദ്ധം
468,Feind::N,ворог,ശത്രു
469,Gewalt::N,насильство,അക്രമം
470,Kampf::N,бій,പോരാട്ടം
471,Kampf::N,боротьба,പോരാട്ടം
472,Bogen[Waffe]::N,лук,വില്ല്
473,Pfeil::N,стріла,അമ്പ്
474,Gewehr::N,рушниця,തോക്ക്
475,Gewehr::N,гвинтівка,തോക്ക്
476,Fehler::N,помилка,പിശക്
477,Lüge::N,брехня,കള്ളം
478,Schaden::N,шкода,കേടുപാട്
479,Schaden::N,збиток,കേടുപാട്
480,Unglück::N,нещастя,ദൌർഭാഗ്യം
481,Schuld::N,провина,തെറ്റ്
482,Alter::N,вік,വയസ്സ്
483,Alter::N,літа,വയസ്സ്
484,Schluss::N,кінець,നിഗമനം
485,Zeit::N,час,സമയം
486,Tag::N,день,ദിവസം
487,Morgen::N,ранок,പ്രഭാതം
488,Mittag::N,південь,ഉച്ച
489,Abend::N,вечір,സായാഹ്നം
490,Nacht::N,ніч,രാത്രി
491,Woche::N,тиждень,ആഴ്ച
492,Monat::N,місяць,മാസം
493,Jahr::N,рік,വർഷം
494,Frühling::N,весна,വസന്തം
495,Sommer::N,літо,വേനൽ
496,Herbst::N,осінь,ശരത്കാലം
497,Winter::N,зима,ശൈത്യം
498,Januar::N,січень,ജനുവരി
499,Februar::N,лютий,ഫെബ്രുവരി
500,März::N,березень,മാർച്ച്
501,April::N,квітень,ഏപ്രിൾ മാസം
502,Mai::N,травень,മെയ് മാസം
503,Juni::N,червень,ജൂൺ
504,Juli::N,липень,ജൂലൈ
505,August::N,серпень,ആഗസ്റ്റ്
506,September::N,вересень,സെപ്തംബർ
507,Oktober::N,жовтень,ഒക്ടോബർ
508,November::N,листопад,നവംബർ
509,Dezember::N,грудень,ഡിസംബർ
510,Montag::N,понеділок,തിങ്കളാഴ്ച
511,Dienstag::N,вівторок,ചൊവ്വ
512,Mittwoch::N,середа,ബുധനാഴ്ച
513,Donnerstag::N,четвер,വ്യാഴാഴ്ച
514,Freitag::N,п’ятниця,വെള്ളിയാഴ്ച
515,Samstag::N,субота,ശനിയാഴ്ച
516,Sonntag::N,неділя,ഞായറാഴ്ച
517,groß::A,великий,വലിയ
518,klein::A,малий,ചെറിയ
519,klein::A,маленький,ചെറിയ
520,lang::A,довгий,നീണ്ട
521,kurz::A,короткий,ഹ്രസ്വമായ
522,breit::A,широкий,വിശാലമായ
523,schmal::A,вузький,ഇടുങ്ങിയ
524,dicht::A,густий,നിബിഡമായ
525,dick[Gegenstand]::A,товстий,തടിച്ച
526,dünn::A,тонкий,മെലിഞ്ഞ
527,fein::A,дрібний,നേർത്ത
528,fest::A,міцний,ഉറപ്പുള്ള
529,flach::A,плоский,പരന്ന
530,glatt::A,рівний,മിനുസമുള്ള
531,glatt::A,гладенький,മിനുസമുള്ള
532,hart::A,твердий,കട്ടിയുള്ള
533,weich::A,м’який,മൃദുവായ
534,rund::A,круглий,വട്ടത്തിലുള്ള
535,spitz::A,гострокінцевий,മുനയുള്ള
536,scharf::A,гострий,മൂർച്ചയുള്ള
537,stumpf::A,тупий,തുറന്നടിക്കുന്ന
538,schwer::A,важкий,ഭാരമുള്ള
539,schön::A,вродливий,മനോഹരമായ
540,heiß::A,жаркий,ചൂടുള്ള
541,heiß::A,гарячий,ചൂടുള്ള
542,warm::A,теплий,ചൂടുള്ള
543,kalt::A,холодний,തണുത്ത
544,kühl::A,прохолодний,തണുപ്പുള്ള
545,frisch::A,свіжий,ശുദ്ധമായ
546,feucht::A,вогкий,ഈറനുള്ള
547,nass::A,мокрий,നനഞ്ഞ
548,trocken::A,сухий,വരണ്ട
549,voll::A,повний,നിറയെ
550,leer::A,пустий,ഒഴിഞ്ഞ
551,offen::A,відкритий,തുറന്ന
552,geschlossen::A,закритий,അടച്ച
553,geschlossen::A,зачинений,അടച്ച
554,sauber::A,чистий,വൃത്തിയുള്ള
555,sauber::A,охайний,വൃത്തിയുള്ള
556,schmutzig::A,брудний,അഴുക്കുനിറഞ്ഞ
557,roh::A,сирий,അസംസ്കൃതമായ
558,reif::A,зрілий,പഴുത്ത
559,lecker::A,смачний,രുചികരമായ
560,süß::A,солодкий,മധുരമുള്ള
561,bitter::A,гіркий,കടുത്ത
562,sauer::A,кислий,പുളിപ്പുള്ള
563,hell::A,світлий,ജ്വലിക്കുന്ന
564,dunkel::A,темний,ഇരുണ്ട
565,schwarz::A,чорний,കറുത്ത
566,weiß::A,сивий,വെളുത്ത
567,rot::A,червоний,ചുവന്ന
568,gelb::A,жовтий,മഞ്ഞനിറമായ
569,blau::A,синій,നീലനിറമുള്ള
570,grün::A,зелений,പച്ചനിറമുള്ള
571,grau::A,сірий,ചാരനിറത്തിലുള്ള
572,bunt::A,барвистий,വർണ്ണശബളമായ
573,billig::A,дешевий,വിലകുറഞ്ഞ
574,teuer::A,дорогий,ചെലവേറിയ
575,wertvoll::A,цінний,വിലപിടിപ്പുള്ള
576,blind::A,сліпий,അന്ധനായ
577,taub::A,глухий,കേൾവിക്കുറവുള്ള
578,kräftig::A,могутній,ശക്തിയുള്ള
579,stark::A,сильний,ബലമുള്ള
580,schwach::A,слабкий,ക്ഷീണിച്ച
581,fett::A,жирний,കൊഴുപ്പുള്ള
582,fett::A,товстий,കൊഴുപ്പുള്ള
583,schlank::A,тонкий,മെലിഞ്ഞ
584,schlank::A,стрункий,മെലിഞ്ഞ
585,hübsch::A,чарівний,മനോഹരമായ
586,böse::A,злий,പാപിയായ
587,böse::A,лихий,പാപിയായ
588,dumm::A,дурний,വിവരംകെട്ട
589,faul::A,ледачий,അലസനായ
590,fleißig::A,старанний,അദ്ധ്വാനശീലമുള്ള
591,geizig::A,скупий,പിശുക്കനായ
592,klug::A,мудрий,ബുദ്ധിസാമർഥ്യമുള്ള
593,klug::A,розумний,ബുദ്ധിസാമർഥ്യമുള്ള
594,geschickt::A,умілий,പ്രതിഭാശാലി
595,lieb::A,милий,പ്രിയപ്പെട്ട
596,lustig::A,веселий,ആനന്ദകരമായ
597,sanft::A,лагідний,സൌമ്യമായ
598,hungrig::A,голодний,വിശപ്പുള്ള
599,krank::A,слабий,അസുഖമുള്ള
600,nackt::A,голий,നഡമായ
601,traurig::A,сумний,വിഷമമുള്ള
602,lebendig::A,живий,ഉപജീവനം
603,gut::A,добрий,നല്ല
604,schlecht::A,поганий,മോശമായ
605,schlecht::A,кепський,മോശമായ
606,richtig::A,правильний,ശരിയായ
607,schlimm::A,бридкий,വൃത്തികെട്ട
608,wahr::A,справжній,ശരിയായ
609,alt::A,старий,പഴയ
610,neu::A,новий,പുതിയ
611,ehemalig::A,колишній,മുൻ
612,alt[Lebewesen]::A,старий,വയസ്സുള്ള
613,jung::A,молодий,കൌമാരമായ
614,arm::A,бідний,പാവപ്പെട്ട
615,reich::A,багатий,സമ്പന്നമായ
616,bekannt::A,знайомий,പരിചിതമായ
617,berühmt::A,славетний,പ്രശസ്തനായ
618,fremd::A,чужий,വൈദേശികമായ
619,verschieden::A,різний,വ്യത്യസ്തമായ
620,nah::A,близький,അരികത്തുള്ള
621,fern::A,далекий,അകലെയുള്ള
622,linker::A,лівий,അവശേഷിച്ച
623,rechter::A,правий,വലത്തേ
624,anderer::A,інакший,മറ്റുള്ള
625,erster::A,перший,ആദ്യത്തെ
626,zweiter::A,другий,രണ്ടാം
627,dritter::A,третій,മൂന്നാമത്
628,letzter::A,останній,അവസാനത്തെ
629,allein::ADV,сам,തനിച്ചുള്ള
630,allein::ADV,один,തനിച്ചുള്ള
631,auf einmal::ADV,відразу,ഉടന്
632,zusammen::ADV,разом,ഒരുമിച്ച
633,zusammen::ADV,спільно,ഒരുമിച്ച
634,lange::ADV,довго,നീണ്ട_കാലത്തേയ്ക്ക്
635,plötzlich::ADV,раптом,പെട്ടെന്ന്
636,sofort::ADV,зараз,തത്ക്ഷണം
637,später::ADV,пізніше,പിന്നീട്
638,jetzt::ADV,тепер,ഇപ്പോൾ
639,heute::ADV,сьогодні,ഇന്ന്
640,morgen::ADV,завтра,നാളെ
641,bald::ADV,незабаром,ഉടനെ
642,dann::ADV,потім,അപ്പോൾ
643,gestern::ADV,вчора,ഇന്നലെ
644,einst::ADV,колись,പണ്ടൊരിക്കല്
