,Concept_ID,ka,myv
470,Salz::N,მარილი,сал
471,Suppe::N,სუფი,ям
472,Honig::N,თაფლი,медь
473,Milch::N,რძე,ловсо
474,Tee::N,ჩაი,чай
475,Leder::N,ტყავი,киське
476,Wolle::N,მატყლი,пона
477,Stoff::N,ქსოვილი,коцт
478,Nadel::N,ნემსი,салмукс
479,Faden::N,ძაფი,суре
480,Faden::N,მკედი,суре
481,Knopf::N,ღილი,пов
482,Knoten::N,ნასკვი,сюлмо
483,Farbe::N,საღებავი,артомапель
484,Kleidung::N,ტანსაცმელი,оршамот
485,Hemd::N,ხალათი,панар
486,Hemd::N,პერანგი,панар
487,Kragen::N,საყელო,сиве
488,Ärmel::N,სახელო,ожа
489,Hose::N,შარვალი,понкст
490,Gürtel::N,ქამარი,каркс
491,Mütze::N,ქუდი,чапка
492,Schuh::N,ფეხსაცმელი,туфля
493,Stiefel::N,ჩექმა,кем
494,Ring::N,ბეჭედი,суркс
495,Band::N,ბაფთი,лента
496,Kamm::N,სავარცხელი,сурсеме
497,Spiegel::N,სარკე,чавачамо
498,Riemen::N,ღვედი,кшнань каркс
499,Schnur::N,ლარი,пикс
500,Leine::N,ჯაჭვი,ведьме
501,Decke::N,საბანი,вельтямо
502,Kissen::N,ბალიში,тодов
503,Tuch::N,მაუდი,паця
504,Tuch::N,თავშალი,паця
505,Handtuch::N,ხელსახოცი,нардамо
506,Kraft::N,ძალა,вий
507,Stärke::N,ღონე,виевчи
508,Gesundheit::N,ჯანმრთელობა,шумбрачи
509,Krankheit::N,სენი,орма
510,Krankheit::N,სენი,сэредема
511,Krankheit::N,ავადმყოფობა,орма
512,Krankheit::N,ავადმყოფობა,сэредема
513,Schmerz::N,ტკივილი,сэредькс
514,Wunde::N,იარი,керявкс
515,Wunde::N,ჭრილობა,керявкс
516,Fieber::N,ციება,маштыкс
517,Arznei::N,წამალი,ормаменькс
518,Brücke::N,ხიდი,сэдь
519,Brücke::N,ხიდი,мадамо
520,Brunnen::N,ჭა,лисьма
521,Weide::N,საძოვარი,ракшань ванома тарка
522,Pfad::N,ბილიკი,ян
523,Weg::N,გზა,ки
524,Straße::N,შარაგზა,ки
525,Dorf::N,დაბა,веле
526,Dorf::N,სოფელი,веле
527,Stadt::N,ქალაქი,ош
528,Brief::N,წერილი,сёрма
529,Buch::N,წიგნი,книга
530,Buchstabe::N,ასო,буква
531,Zeitung::N,გაზეთი,газета
532,Leben::N,სიცოცხლე,эрямо
533,Tod::N,სიკვდილი,кулома
534,Grab::N,სამარე,калмо
535,Grab::N,საფლავი,калмо
536,Kirche::N,ეკლესია,церькова
537,Sünde::N,ცოდვა,чумочи
538,Gott::N,ღმერთი,паз
539,Arbeiter::N,მუშა,робочей
540,Chef::N,გამგე,прявт
541,Meister::N,ოსტატი,кол тевень тенця
542,Arzt::N,ექიმი,врач
543,Arzt::N,მკურნალი,врач
544,Lehrer::N,მასწავლებელი,учитель
545,Lehrer::N,მასწავლებელი,тонавтыця
546,Geld::N,ფული,ярмак
547,Geschäft::N,საქმე,ладязь тев
548,Geschäft::N,ბიზნესი,ладязь тев
549,Laden::N,დუქანი,лавка
550,Laden::N,მაღაზია,лавка
551,Preis::N,ფასი,питне
552,Ware::N,საქონელი,миевкс
553,Ware::N,საქონელი,рамавкс
554,Nutzen::N,ხეირი,паро
555,Nutzen::N,ხეირი,лезэ
556,Reichtum::N,სიმდიდრე,сюпавчи
557,Welt::N,მსოფლიო,мир
558,Welt::N,მსოფლიო,мастор ланго
559,Land::N,მხარე,мастор
560,Land::N,ქვეყანა,мастор
561,Staat::N,სახელმწიფო,государства
562,König::N,მეფე,король
563,Macht::N,ძლიერება,азорксчи
564,Grenze::N,ზღვარი,буен тешкс
565,Krieg::N,ომი,война
566,Feind::N,მტერი,душман
567,Gewalt::N,სისასტიკე,нарьгамо
568,Kampf::N,ბრძოლა,тюрема
569,Bogen[Waffe]::N,მშვილდი,нал
570,Pfeil::N,ისარი,нал
571,Pfeil::N,მახვილი,нал
572,Gewehr::N,თოფი,ружия
573,Gewehr::N,თოფი,винтовка
574,Gewehr::N,შაშხანა,ружия
575,Gewehr::N,შაშხანა,винтовка
576,Fehler::N,შეცდომა,ильведькс
577,Fehler::N,შეცდომა,ильведевкс
578,Lüge::N,სიცრუე,манчема
579,Lüge::N,სიცრუე,кенгелема
580,Schaden::N,ვნება,зыян
581,Unglück::N,ხიფათი,зыян
582,Unglück::N,უბედურება,зыян
583,Schuld::N,ბრალი,чумочи
584,Alter::N,ასაკი,шка
585,Schluss::N,ბოლო,пе
586,Schluss::N,დასასრული,пе
587,Zeit::N,დრო,шка
588,Zeit::N,დრო,пинге
589,Tag::N,დღე,чи
590,Morgen::N,დილა,валске
591,Mittag::N,შუადღე,чикуншка
592,Abend::N,საღამო,чокшнэ
593,Nacht::N,ღამე,ве
594,Woche::N,კვირა,недля
595,Monat::N,თვე,ков
596,Jahr::N,წელი,ие
597,Frühling::N,გაზაფხული,тундо
598,Sommer::N,ზაფხული,кизэ
599,Herbst::N,შემოდგომა,сёксь
600,Winter::N,ზამთარი,теле
601,Januar::N,იანვარი,якшамков
602,Februar::N,თებერვალი,февраль
603,März::N,მარტი,март
604,April::N,აპრილი,апрель
605,Mai::N,მაისი,май
606,Juni::N,ივნისი,июнь
607,Juli::N,ივლისი,июль
608,August::N,აგვისტო,август
609,September::N,სექტემბერი,сентября
610,Oktober::N,ოქტომბერი,октября
611,November::N,ნოემბერი,ноября
612,Dezember::N,დეკემბერი,декабря
613,Montag::N,ორშაბათი,пондельник
614,Dienstag::N,სამშაბათი,овторник
615,Mittwoch::N,ოთხშაბათი,серёда
616,Donnerstag::N,ხუთშაბათი,цетьверьг
617,Freitag::N,პარასკევი,пеця
618,Samstag::N,შაბათი,субута
619,Samstag::N,შაბათი,шлямочи
620,Sonntag::N,კვირა,недлячи
621,groß::A,დიდი,ине
622,groß::A,დიდი,покш
623,klein::A,მცირე,вишка
624,klein::A,პატარა,вишка
625,lang::A,გრძელი,кувака
626,kurz::A,მოკლე,нурькине
627,breit::A,ფართო,келей
628,breit::A,განიერი,келей
629,schmal::A,ვიწრო,теине
630,schmal::A,წვრილი,теине
