,Concept_ID,fr,fa
560,Schmerz::N,douleur,درد
561,Wunde::N,plaie,زخم
562,Wunde::N,blessure,زخم
563,Fieber::N,fièvre,تب
564,Arznei::N,remède,دارو
565,Arznei::N,médecine,دارو
566,Brücke::N,pont,پل
567,Brunnen::N,puits,چاه
568,Weide::N,pâturage,چراگاه
569,Pfad::N,sentier,راه
570,Weg::N,voie,راه
571,Weg::N,voie,طریق
572,Weg::N,chemin,راه
573,Weg::N,chemin,طریق
574,Straße::N,route,راه
575,Straße::N,route,جاده
576,Dorf::N,village,ده
577,Dorf::N,village,روستا
578,Stadt::N,cité,شهر
579,Stadt::N,ville,شهر
580,Brief::N,lettre,نامه
581,Buch::N,livre,کتاب
582,Buchstabe::N,lettre,حرف
583,Buchstabe::N,caractère,حرف
584,Zeitung::N,journal,روزنامه
585,Leben::N,vie,عمر
586,Leben::N,vie,زندگی
587,Tod::N,mort,مرگ
588,Grab::N,tombe,گور
589,Grab::N,tombe,مزار
590,Kirche::N,église,کلیسا
591,Sünde::N,péché,بزه
592,Sünde::N,péché,گناه
593,Gott::N,dieu,خدا
594,Arbeiter::N,ouvrier,کارگر
595,Arbeiter::N,travailleur,کارگر
596,Chef::N,chef,رئیس
597,Chef::N,patron,رئیس
598,Meister::N,maître,استاد
599,Arzt::N,médecin,پزشک
600,Lehrer::N,professeur,معلم
601,Lehrer::N,professeur,آموزگار
602,Lehrer::N,instituteur,معلم
603,Lehrer::N,instituteur,آموزگار
604,Geld::N,argent,پول
605,Geschäft::N,affaire,کار
606,Geschäft::N,affaire,بیزنس
607,Geschäft::N,commerce,کار
608,Geschäft::N,commerce,بیزنس
609,Laden::N,magasin,دکان
610,Laden::N,magasin,مغازه
611,Laden::N,boutique,دکان
612,Laden::N,boutique,مغازه
613,Preis::N,prix,بها
614,Preis::N,prix,قیمت
615,Ware::N,marchandise,جنس
616,Ware::N,marchandise,کالا
617,Nutzen::N,profit,مزیت
618,Nutzen::N,profit,امتیاز
619,Reichtum::N,richesse,مال
620,Reichtum::N,richesse,ثروت
621,Welt::N,monde,دنیا
622,Land::N,pays,کشور
623,Land::N,pays,مملکت
624,Staat::N,État,دولت
625,König::N,roi,شاه
626,König::N,roi,پادشاه
627,Macht::N,pouvoir,قدرت
628,Macht::N,pouvoir,اختیار
629,Macht::N,puissance,قدرت
630,Macht::N,puissance,اختیار
631,Grenze::N,frontière,مرز
632,Krieg::N,guerre,جنگ
