,Concept_ID,no,os
68,Stern::N,stjerne,стъалы
69,Luft::N,luft,уӕлдӕф
70,Wind::N,vind,дымгӕ
71,Welle::N,bølge,уылӕн
72,Wasser::N,vann,дон
73,Stein::N,stein,дур
74,Boden::N,bakke,зӕхх
75,Erde::N,jord,сыджыт
76,Staub::N,støv,рыг
77,Rauch::N,røyk,фӕздӕг
78,Funke::N,gnist,цӕхӕр
79,Feuer::N,ild,зынг
80,Licht::N,lys,рухс
81,Schatten::N,skygge,аууон
82,Wetter::N,vær,боныхъӕд
83,Nebel::N,tåke,мигъ
84,Wolke::N,sky,ӕврагъ
85,Regen::N,regn,уарын
86,Schnee::N,snø,мит
87,Eis::N,is,их
88,Frost::N,frost,ихæн
89,Kälte::N,kulde,уазал
90,Hitze::N,hete,ӕнтӕф
91,Raureif::N,rimfrost,халас
92,Regenbogen::N,regnbue,арвырон
93,Regenbogen::N,regnbue,арвырдын
94,Donner::N,torden,æрвнæрын
95,Strömung::N,strømning,цыд
96,Tropfen::N,dråpe,æртах
97,Schaum::N,skum,фынк
98,Schmutz::N,søl,цъыф
99,Schmutz::N,skitt,цъыф
100,See::N,sjø,цад
101,Sumpf::N,sump,цъыфдзаст
102,Sumpf::N,myrlende,цъыфдзаст
103,Moor::N,myr,цъыфдзаст
104,Moor::N,myrhei,цъыфдзаст
105,Wiese::N,eng,уыгӕрдӕн
106,Wald::N,skog,хъӕд
107,Hügel::N,haug,обау
108,Hügel::N,haug,къуыбыр
109,Hügel::N,bakke,обау
110,Hügel::N,bakke,къуыбыр
111,Anhöhe::N,haug,уæлвæз
112,Anhöhe::N,haug,уæлхох
113,Anhöhe::N,bakke,уæлвæз
114,Anhöhe::N,bakke,уæлхох
115,Berg::N,berg,хох
116,Berg::N,fjell,хох
117,Gipfel::N,topp,цъупп
118,Höhle::N,hule,лӕгӕт
119,Abhang::N,li,къул
120,Abhang::N,skråning,къул
121,Quelle::N,kilde,суадон
122,Bach::N,bekk,мӕсчъыдон
123,Fluss::N,elv,дон
124,Fluss::N,elv,цӕугӕдон
125,Ufer::N,bredd,был
126,Küste::N,kyst,донбыл
127,Festland::N,fastland,сурзæхх
128,Meer::N,hav,денджыз
129,Bucht::N,bukt,донбакæлæн
130,Insel::N,øy,сакъадах
131,Blume::N,blomst,дидинӕг
132,Gras::N,gress,кӕрдӕг
133,Wurzel::N,rot,уидаг
134,Baum::N,tre,бӕлас
135,Stamm::N,stamme,хӕтӕл
136,Rinde::N,bark,цъар
137,Ast::N,gren,арх
138,Zweig::N,kvist,къалиу
139,Blatt::N,blad,сыф
140,Birke::N,bjørk,бæрз
141,Kiefer[Baum]::N,furu,нӕзы
142,Weide[Baum]::N,selje,хӕрис
143,Weide[Baum]::N,piletre,хӕрис
144,Tanne::N,gran,наз
145,Horn::N,horn,сыкъа
146,Feder::N,fjær,сис
147,Fell::N,skinn,царм
148,Flügel::N,vinge,базыр
149,Klaue::N,klauv,ных
150,Kralle::N,klo,дзӕмбы
151,Schwanz::N,hale,къӕдзил
152,Ei::N,egg,айк
153,Nest::N,rede,ахстон
154,Bau::N,hi,хуынкъ
155,Tier::N,dyr,сырд
156,Tier::N,dyr,цӕрӕгой
157,Herde::N,flokk,дзуг
158,Herde::N,flokk,рӕгъау
159,Kuh::N,ku,хъуг
160,Bulle::N,tyr,гал
161,Pferd::N,hest,бӕх
162,Schaf::N,får,фыс
163,Schwein::N,gris,хуы
164,Hund::N,hund,куыдз
165,Katze::N,katt,гӕды
166,Bär::N,bjørn,арс
167,Eichhörnchen::N,ekorn,æхсæрæг
168,Elch::N,elg,цæгатаг саг
169,Fuchs::N,rev,рувас
170,Hase::N,hare,тæрхъус
171,Maus::N,mus,мыст
172,Wolf::N,ulv,бирӕгъ
173,Wolf::N,varg,бирӕгъ
174,Vogel::N,fugl,цъиу
175,Vogel::N,fugl,маргъ
176,Schwarm::N,sverm,бал
177,Huhn::N,høne,карк
178,Hahn::N,hane,уасӕг
179,Gans::N,gås,хъаз
180,Adler::N,ørn,цӕргӕс
181,Ente::N,and,ацц
182,Eule::N,ugle, уыг
183,Eule::N,ugle,сидахъ
184,Kranich::N,trane,зырнæг
185,Kranich::N,trane,хърихъупп
186,Krähe::N,kråke,халон
187,Kuckuck::N,gjøk,гаккук
188,Schwan::N,svane,доныхъаз
189,Fisch::N,fisk,кӕсаг
190,Barsch::N,abbor,окунь
191,Hecht::N,gjedde,хихор кӕсаг
192,Schlange[Tier]::N,orm,калм
193,Schlange[Tier]::N,slange,калм
194,Wurm::N,orm,зулкъ
195,Wurm::N,orm,къуыдыргалм
196,Wurm::N,mark,зулкъ
197,Wurm::N,mark,къуыдыргалм
198,Spinne::N,edderkopp,хӕлуарӕг
199,Ameise::N,maur,мæлдзыг
200,Laus::N,lus,сыст
201,Mücke::N,mygg,къогъо
202,Fliege::N,flue,бындз
203,Schmetterling::N,sommerfugl,гæлæбу
204,Beere::N,bær,гагадыргъ
205,Apfel::N,eple,фӕткъуы
206,Pilz::N,sopp,зокъо
207,Pilz::N,sopp,къозо
208,Zwiebel::N,løk,хъӕдындз
209,Saat::N,sæd,тауинаг
210,Saat::N,sæd,мыггаг
211,Korn::N,korn,мыггаг
212,Korn::N,korn,тауинаг
213,Heu::N,høy,хос
214,Schale::N,skall,цъар
215,Grube::N,grop,урм
216,Grube::N,grop,къахт
217,Grube::N,grop,дзыхъхъ
218,Falle::N,felle,цъысым
219,Falle::N,felle,къӕппӕг
220,Schlinge::N,snare,цасм
221,Spur::N,spor,фæд
222,Asche::N,aske,фӕнык
223,Asche::N,aske,ӕртхутӕг
224,Dreck::N,møkk,цъыф
225,Dreck::N,skitt,цъыф
226,Eisen::N,jern,ӕфсӕйнаг
227,Gold::N,gull,сыгъзӕрин
228,Silber::N,sølv,ӕвзист
229,Kohle::N,kol,ӕвзалы
230,Kohle::N,kull,ӕвзалы
231,Glas::N,glass,авг
232,Lehm::N,leire,ӕлыг
233,Sand::N,sand,змис
234,Mensch::N,menneske,лӕг
235,Mensch::N,menneske,адӕймаг
236,Mensch::N,menneske,удгоймаг
237,Mann::N,mann,лӕг
238,Mann::N,mann,нӕлгоймаг
239,Frau::N,kvinne,сылгоймаг
240,Kind::N,barn,сывӕллон
241,Junge::N,gutt,лӕппу
242,Mädchen::N,pike,чызг
243,Mädchen::N,jente,чызг
244,Familie::N,familie,бинонтæ
245,Großvater::N,bestefar,фыдыфыд
246,Großvater::N,bestefar,мадыфыд
247,Großmutter::N,bestemor,фыды мад
248,Großmutter::N,bestemor,мады мад
249,Eltern::N,foreldre,ныййарджытæ
250,Vater::N,far,фыд
251,Mutter::N,mor,мад
252,Sohn::N,sønn,фырт
253,Tochter::N,datter,чызг
254,Bruder::N,bror,ӕфсымӕр
255,Schwester::N,søster,хо
256,Onkel::N,onkel,фыдыфсымӕр
257,Tante::N,tante,мадыхо
258,Ehemann::N,ektemann,мой
259,Ehefrau::N,hustru,ус
260,Freude::N,glede,цин
261,Freude::N,glede,циндзинад
262,Gelächter::N,latter,худын
263,Gelächter::N,latter,худт
264,Gelächter::N,latter,худæг
265,Glück::N,lykke,амонд
266,Kummer::N,sorg,хъыг
267,Wunsch::N,ønske,бӕллиц
268,Lust::N,lyst,монц
269,Geist::N,ånd,уд
270,Gedanke::N,tanke,хъуыды
271,Gedächtnis::N,minne,мысæн
272,Gedächtnis::N,minne,мысын
273,Gedächtnis::N,minne,зæрдылдарын
274,Gedächtnis::N,hukommelse,мысæн
275,Gedächtnis::N,hukommelse,мысын
276,Gedächtnis::N,hukommelse,зæрдылдарын
277,Verstand::N,forstand,зонд
278,Sinn::N,mening,нысаниуæг
279,Sinn::N,betydning,нысаниуæг
280,Grund::N,grunn,ӕфсон
281,Wahrheit::N,sannhet,æцæг
282,Gespräch::N,samtale,ныхас
283,Märchen::N,eventyr,аргъау
284,Erzählung::N,fortelling,радзырд
285,Nachricht::N,melding,уац
286,Neuigkeit::N,nyhet,хабар
287,Name::N,navn,ном
288,Rätsel::N,gåte,уыци-уыци
289,Rätsel::N,gåte,базон-базон
290,Rede::N,tale,раныхас
291,Sprache::N,språk,ӕвзаг
292,Stimme::N,stemme,хъӕлӕс
293,Wort::N,ord,дзырд
294,Zeichen::N,tegn,нысан
295,Ruf::N,rop,сидт
296,Lärm::N,bråk,уынæр
297,Laut::N,lyd,зӕл
298,Laut::N,lyd,мыр
299,Ton::N,tone,мыр
300,Lied::N,vise,зарӕг
301,Ruhe::N,ro,æнцой
302,Leute::N,folk,адӕм
303,Volk::N,folk,адӕм
304,Arbeit::N,arbeid,фӕллой
305,Gast::N,gjest,уазӕг
306,Geschenk::N,gave,хуын
307,Spiel::N,lek,хъазт
308,Spiel::N,spill,хъазт
309,Gesellschaft::N,selskap,дзыллæ
310,Gesellschaft::N,selskap,æхсæнад
311,Hilfe::N,hjelp,æххуыс
312,Hilfe::N,hjelp,ахъаз
313,Freund::N,venn,лымӕн
314,Kamerad::N,kamerat,ӕмбал
315,Angelegenheit::N,sak,хъуыддаг
316,Angelegenheit::N,anliggende,хъуыддаг
317,Anzahl::N,antall,бӕрц
318,Art::N,art,хуыз
319,Art::N,art,хуызад
320,Art::N,slag,хуыз
321,Art::N,slag,хуызад
322,Stück::N,stykke,кæрдих
323,Stück::N,stykke,комдзаг
324,Teil::N,del,хай
325,Hälfte::N,halvdel,æрдæг
326,Hälfte::N,halvdel,æмбис
327,Kreis::N,ring,зиллакк
328,Kreis::N,sirkel,зиллакк
329,Kreuz::N,kors,дзуар
330,Kreuz::N,kryss,дзуар
331,Linie::N,linje,хахх
332,Strich::N,strek,хахх
333,Abstand::N,avstand,æхсæнуат
334,Entfernung::N,avstand,дæрддзæг
335,Entfernung::N,avstand,дардцæг
336,Gegend::N,strøk,ран
337,Platz::N,plass,бууат
338,Ort::N,sted,ран
339,Ort::N,sted,бынат
340,Seite::N,side,фахс
341,Mitte::N,midte,астӕу
342,Gegenstand::N,gjenstand,дзаума
343,Sache::N,sak,дзаума
344,Rand::N,rand,кӕрон
345,Kante::N,kant,фӕрск
346,Ecke::N,hjørne,тигъ
347,Ecke::N,hjørne,фисын
348,Spitze::N,spiss,бырынкъ
349,Ende::N,ende,кӕрон
350,Loch::N,hull,хуынкъ
351,Winkel::N,vinkel,къуым
352,Muster::N,mønster,нывæфтыд
353,Muster::N,mønster,кæдзист
354,Größe::N,størrelse,ас
355,Länge::N,lengde,дӕргъ
356,Höhe::N,høyde,бæрзонд
357,Höhe::N,høyde,бæрзæнд
358,Höhe::N,høyde,бæрзонддзинад
359,Gewicht::N,vekt,уӕз
360,Menge::N,mengde,бӕрц
361,Haufen::N,haug,кӕри
362,Haufen::N,bunke,кӕри
363,Reihe::N,rekke,рӕнхъ
364,Boot::N,båt,чема
365,Ruder::N,åre,къохар
366,Schlitten::N,slede,дзоныгъ
367,Schlitten::N,kjelke,дзоныгъ
368,Ski::N,ski,къахдзоныгътæ
369,Ski::N,ski,лыжæтæ
370,Lagerfeuer::N,leirbål,арт
371,Last::N,bør,уаргъ
372,Last::N,last,уаргъ
373,Gang::N,gang,цыд
374,Schritt::N,steg,санчъех
375,Schritt::N,steg,къахдзӕф
376,Schritt::N,skritt,санчъех
377,Schritt::N,skritt,къахдзӕф
378,Norden::N,nord,цæгат
379,Süden::N,sør,хуссар
380,Westen::N,vest,ныгуылæн
381,Osten::N,øst,скæсæн
382,Holz::N,tre,хъӕдӕрмӕг
383,Brett::N,fjøl,фæйнæг
384,Brett::N,brett,фæйнæг
385,Platte::N,plate,къӕй
386,Stütze::N,støtte,быцæу
387,Stange::N,stang,хъил
388,Stock::N,pinne,лӕдзӕг
389,Stab::N,stav,хъил
390,Stab::N,kjepp,хъил
391,Rohr::N,rør,хӕтӕл
392,Haus::N,hus,хӕдзар
393,Heim::N,hjem,къона
394,Ofen::N,ovn,пец
395,Fußboden::N,gulv,астӕрд
396,Tisch::N,bord,стъол
397,Stuhl::N,stol,бандон
398,Wiege::N,vogge,авдæн
399,Bett::N,seng,сынтӕг
400,Regal::N,reol,тӕрхӕг
401,Regal::N,reol,уӕлвӕйнӕг
402,Regal::N,hylle,тӕрхӕг
403,Regal::N,hylle,уӕлвӕйнӕг
404,Kiste::N,kasse,асыкк
405,Fenster::N,vindu,рудзынг
406,Fenster::N,vindu,фæрссаг
407,Tür::N,dør,дуар
408,Tor::N,port,кулдуар
409,Zaun::N,gjerde,æмбонд
410,Zaun::N,gjerde,быру
411,Zaun::N,gjerde,гæрæн
412,Dach::N,tak,уӕлхӕдзар
413,Leiter::N,stige,асин
414,Besen::N,kost,уисой
415,Spaten::N,spade,бел
416,Schaufel::N,skuffe,æвгæнæн
417,Schaufel::N,skuffe,кæфой
418,Gabel::N,gaffel,вилкæ
419,Löffel::N,skje,уидыг
420,Messer::N,kniv,кард
421,Nagel::N,spiker,зӕгӕл
422,Netz::N,nett,хыз
423,Haken::N,krok,хæдз
424,Haken::N,krok,хæбырæгъ
425,Griff::N,tak,фистон
426,Griff::N,håndtak,фистон
427,Schloss::N,lås,гуыдыр
428,Bild::N,bilde,ныв
429,Figur::N,figur,кæрдгæныв
430,Puppe::N,dukke,чындз
431,Beutel::N,pose,дзӕкъул
432,Bündel::N,bylt,баст
433,Tasche::N,veske,хызын
434,Tasche::N,veske,дзæкъул
435,Eimer::N,bøtte,къæрта
436,Eimer::N,bøtte,чъыбыла
437,Eimer::N,bøtte,ведра
438,Deckel::N,lokk,сæр
439,Deckel::N,lokk,æмбæрзæн
440,Geschirr::N,kjøkkentøy,мигæнæн
441,Geschirr::N,kjøkkentøy,мигæнæнтæ
442,Sack::N,sekk,голлаг
443,Tasse::N,kopp,пиала
444,Tasse::N,kopp,къус
445,Topf::N,gryte,аг
446,Topf::N,gryte,чысыл аг
447,Kessel::N,kjele,аг
448,Essen::N,mål,хӕрд
449,Nahrung::N,mat,хойраг
450,Nahrung::N,næring,хойраг
451,Speise::N,matrett,хӕринаг
452,Fleisch::N,kjøtt,дзидза
453,Fleisch::N,kjøtt,фыдызгъӕл
454,Getreide::N,korn,халсар
455,Brei::N,grøt,кас
456,Brot::N,brød,дзул
457,Scheibe::N,skive,къӕбӕр
458,Fett::N,fett,сой
459,Butter::N,smør,нӕлхӕ
460,Öl::N,olje,зети
461,Salz::N,salt,цӕхх
462,Suppe::N,suppe,бас
463,Honig::N,honning,мыд
464,Milch::N,melk,ӕхсыр
465,Tee::N,te,цай
466,Leder::N,lær,мæскуы
467,Leder::N,skinn,мæскуы
468,Wolle::N,ull,фӕсмын
469,Stoff::N,tøy,хъуымац
470,Stoff::N,stoff,хъуымац
471,Nadel::N,nål,судзин
472,Faden::N,tråd,ӕндах
473,Knopf::N,knapp,цӕппӕр
474,Knoten::N,knute,ӕлхынцъ
475,Farbe::N,farge,ахорæн
476,Kleidung::N,påkledning,дарӕс
477,Hemd::N,skjorte,хӕдон
478,Kragen::N,krage,æфцæггот
479,Ärmel::N,erme,дыс
480,Hose::N,bukse,хæлаф
481,Hose::N,bukse,æддаг хæлаф
482,Hose::N,bukse,салбар
483,Gürtel::N,belte,рон
484,Mütze::N,lue,худ
485,Schuh::N,sko,басмахъ
486,Stiefel::N,støvel,цырыхъхъ
487,Ring::N,ring,къухдарӕн
488,Band::N,band,лент
489,Kamm::N,kam,сӕрвасӕн
490,Spiegel::N,speil,айдæн
491,Spiegel::N,speil,кæсæн
492,Riemen::N,rem,гӕрз
493,Schnur::N,snor,бӕндӕн
494,Leine::N,line,
495,Decke::N,teppe,хъӕццул
496,Kissen::N,pute,баз
497,Tuch::N,tøy,кæлмæрзæн
498,Tuch::N,tøy,кæрдæн
499,Handtuch::N,håndkle,хисæрфæн
500,Kraft::N,kraft,тых
501,Kraft::N,kraft,хъомыс
502,Stärke::N,styrke,тых
503,Stärke::N,styrke,æхсар
504,Gesundheit::N,helse,æнæниздзинад
505,Gesundheit::N,sunnhet,æнæниздзинад
506,Krankheit::N,syke,низ
507,Krankheit::N,syke,рын
508,Krankheit::N,sykdom,низ
509,Krankheit::N,sykdom,рын
510,Schmerz::N,smerte,рис
511,Wunde::N,sår,цӕф
512,Fieber::N,feber,ризӕг
513,Fieber::N,feber,тӕфсӕг
514,Arznei::N,medisin,хос
515,Arznei::N,legemiddel,хос
516,Brücke::N,bro,хид
517,Brunnen::N,brønn,цъай
518,Weide::N,beite,хизæн
519,Weide::N,beite,хизæнуат
520,Weide::N,beite,сæрвæт
521,Pfad::N,sti,къахвæндаг
522,Pfad::N,sti,къахвæд
523,Weg::N,vei,фӕндаг
524,Straße::N,gate,фӕндаг
525,Dorf::N,landsby,хъӕу
526,Stadt::N,by,сахар
527,Brief::N,brev,фыстӕг
528,Buch::N,bok,чиныг
529,Buchstabe::N,bokstav,дамгъӕ
530,Zeitung::N,avis,газет
531,Leben::N,liv,цард
532,Leben::N,liv,цӕрӕнбон
533,Tod::N,død,мæлæт
534,Tod::N,død,адзал
535,Grab::N,grav,ингӕн
536,Kirche::N,kirke,аргъуан
537,Sünde::N,synd,тæригъæд
538,Gott::N,gud,хуыцау
539,Arbeiter::N,arbeider,кусæг
540,Chef::N,sjef,ӕмцег
541,Meister::N,mester,мастер
542,Meister::N,mester,дæсны
543,Arzt::N,lege,хосгæнæг
544,Arzt::N,lege,дохтыр
545,Lehrer::N,lærer,ахуыргæнæг
546,Geld::N,penger,ӕхца
547,Geschäft::N,forretning,бизнес
548,Geschäft::N,forretning,хъуыддаг
549,Laden::N,butikk,дукани
550,Preis::N,pris,аргъ
551,Ware::N,vare,базайраг
552,Nutzen::N,nytte,пайда
553,Reichtum::N,rikdom,хъæздыгдзинад
554,Reichtum::N,rikdom,исбон
555,Reichtum::N,rikdom,мулк
556,Welt::N,verden,дуне
557,Land::N,land,бӕстӕ
558,Staat::N,stat,паддзахад
559,König::N,konge,къарол
560,Macht::N,makt,хицаудзинад
561,Grenze::N,grense,арӕн
562,Krieg::N,krig,хӕст
563,Feind::N,fiende,знаг
564,Feind::N,fiende,фыдгул
565,Feind::N,fiende,фыдзæрдæ
566,Feind::N,fiende,сон
567,Gewalt::N,vold,тыхми
568,Gewalt::N,vold,тыхдзинад
569,Kampf::N,kamp,хæст
570,Kampf::N,kamp,хъæбысæйхæст
571,Kampf::N,kamp,тох
572,Bogen[Waffe]::N,bue,ӕрдын
573,Pfeil::N,pil,фат
574,Gewehr::N,gevær,топп
575,Fehler::N,feil,рӕдыд
576,Lüge::N,løgn,мӕнг
577,Lüge::N,løgn,гӕдыдзинад
578,Schaden::N,skade,зиан
579,Unglück::N,uhell,бæллæх
580,Schuld::N,skyld,азым
581,Alter::N,alder,кар
582,Schluss::N,slutt,кæрон
583,Zeit::N,tid,рӕстӕг
584,Tag::N,dag,бон
585,Morgen::N,morgen,райсом
586,Mittag::N,middag,æмбисбон
587,Abend::N,aften,изӕр
588,Nacht::N,natt,ӕхсӕв
589,Woche::N,uke,къуыри
590,Monat::N,måned,мӕй
591,Jahr::N,år,аз
592,Jahr::N,år,афӕдз
593,Frühling::N,vår,уалдзæг
594,Sommer::N,sommer,сӕрд
595,Herbst::N,høst,фæззæг
596,Winter::N,vinter,зымӕг
597,Januar::N,januar,январь
598,Februar::N,februar,февраль
599,März::N,mars,мартъи
600,April::N,april,апрель
601,Mai::N,mai,май
602,Juni::N,juni,июнь
603,Juli::N,juli,июль
604,August::N,august,август
605,September::N,september,сентябрь
606,Oktober::N,oktober,октябрь
607,November::N,november,ноябрь
608,Dezember::N,desember,декабрь
609,Montag::N,mandag,къуырисæр
610,Dienstag::N,tirsdag,дыццæг
611,Mittwoch::N,onsdag,æртыццæг
612,Donnerstag::N,torsdag,цыппæрæм
613,Freitag::N,fredag,майрæмбон
614,Samstag::N,lørdag,сабат
615,Sonntag::N,søndag,хуыцаубон
616,groß::A,stor,дынджыр
617,klein::A,liten,гыццыл
618,lang::A,lang,даргъ
619,kurz::A,kort,цыбыр
620,breit::A,bred,фӕтӕн
621,schmal::A,smal,нарӕг
622,schmal::A,smal,уынгӕг
623,dicht::A,tett,бæзджын
624,dicht::A,tett,тар
625,dick[Gegenstand]::A,tykk,сӕвджын
626,dünn::A,tynn,тæнæг
627,fein::A,fin,лыстӕг
628,fest::A,fast,фидар
629,fest::A,fast,хъӕддых
630,flach::A,flat,тъӕпӕн
631,glatt::A,glatt,лӕгъз
632,hart::A,hard,хъӕбӕр
633,weich::A,myk,фӕлмӕн
634,weich::A,bløt,фӕлмӕн
635,rund::A,rund,тымбыл
636,spitz::A,spiss,цыргъбырынкъ
637,spitz::A,spiss,цыргъфындз
638,scharf::A,kvass,цыргъ
639,stumpf::A,stubb,къуымых
640,schwer::A,tung,уӕззау
641,schön::A,pen,аив
642,schön::A,pen,рӕсугъд
643,schön::A,vakker,аив
644,schön::A,vakker,рӕсугъд
645,heiß::A,het,тӕвд
646,warm::A,varm,хъарм
647,kalt::A,kald,уазал
648,kühl::A,kjølig,сатæг
649,kühl::A,kjølig,уазалгомау
650,frisch::A,fersk,сатæг
651,feucht::A,fuktig,уымӕл
652,nass::A,våt,хуылыдз
653,trocken::A,tørr,хус
654,voll::A,full,дзаг
655,voll::A,full,йедзаг 
656,leer::A,tom,афтид
657,offen::A,åpen,гом
658,geschlossen::A,lukket,æхгæд
659,sauber::A,ren,сыгъдæг
660,schmutzig::A,skitten,чъиллон
661,roh::A,rå,хом
662,reif::A,moden,рӕгъӕд
663,lecker::A,lekker,хӕрзад
664,süß::A,søt,адджын
665,bitter::A,besk,судзаг
666,bitter::A,bitter,судзаг
667,sauer::A,sur,туаг
668,hell::A,lys,рухс
669,dunkel::A,mørk,талынг
670,schwarz::A,svart,сау
671,weiß::A,hvit,урс
672,rot::A,rød,сырх
673,gelb::A,gul,бур
674,blau::A,blå,цъӕх
675,grün::A,grønn,цъӕх
676,grün::A,grønn,кӕрдӕгхуыз
677,grau::A,grå,цъӕх
678,grau::A,grå,фӕныкхуыз
679,bunt::A,broket,хъулон
680,bunt::A,broket,гæрæм
681,billig::A,billig,аслам
682,teuer::A,dyr,зынаргъ
683,wertvoll::A,verdifull,зынаргъ
684,blind::A,blind,куырм
685,taub::A,døv,къуырма
686,kräftig::A,kraftig,домбай
687,kräftig::A,kraftig,тыхджын
688,stark::A,sterk,тыхджын
689,schwach::A,svak,ӕнӕбон
690,fett::A,fet,нард
691,schlank::A,slank,гуырвидыц
692,schlank::A,slank,хæрзконд
693,schlank::A,slank,рæхснæг
694,schlank::A,slank,сагамад
695,hübsch::A,pen,аив
696,hübsch::A,pen,рӕсугъд
697,böse::A,slem,фыдзӕрдӕ
698,dumm::A,dum,ӕдылы
699,faul::A,lat,зивӕг
700,faul::A,lat,зивӕггӕнаг
701,faul::A,doven,зивӕг
702,faul::A,doven,зивӕггӕнаг
703,fleißig::A,flittig,æнæзивæг
704,fleißig::A,flittig,æнувыд
705,geizig::A,gjerrig,чъынды
706,geizig::A,gjerrig,æлгъин
707,geizig::A,gjerrig,мæрддзæст
708,klug::A,klok,зондджын
709,geschickt::A,hendig,хӕрзарӕхст
710,geschickt::A,skikket,хӕрзарӕхст
711,lieb::A,kjær,уарзон
712,lieb::A,snill,уарзон
713,lustig::A,morsom,хъӕлдзӕг
714,sanft::A,blid,мынчын
715,hungrig::A,sulten,ӕххормаг
716,krank::A,syk,нӕфӕразгӕ
717,nackt::A,naken,бӕгънӕг
718,traurig::A,sørgmodig,ӕрхӕндӕг
719,lebendig::A,levende,цардӕгас
720,gut::A,god,хорз
721,schlecht::A,dårlig,цауд
722,richtig::A,riktig,раст
723,schlimm::A,slem,ӕвзӕр
724,wahr::A,sann,ӕцӕг
725,alt::A,gammel,зӕронд
726,neu::A,ny,ног
727,ehemalig::A,forhenværende,раздӕры
728,alt[Lebewesen]::A,gammel,ацӕргӕ
729,jung::A,ung,ӕрыгон
730,arm::A,fattig,мӕгуыр
731,reich::A,rik,хъӕздыг
732,bekannt::A,kjent,зонгӕ
733,berühmt::A,berømt,номдзыд
734,fremd::A,fremmed,æцæгæлон
735,verschieden::A,forskjellig,æндæр æмæ æндæр
736,verschieden::A,forskjellig,алы
737,verschieden::A,forskjellig,алыхуызон
738,nah::A,nær,хӕстӕг
739,fern::A,fjern,дард
740,fern::A,fjern,дӕрддаг
741,linker::A,venstre,галиу
742,rechter::A,høyre,рахиз
743,anderer::A,annen,иннӕ
744,anderer::A,annen,ӕндӕр
745,erster::A,første,фыццаг
746,erster::A,første,фыццӕгӕм
747,zweiter::A,annen,дыккаг
748,zweiter::A,annen,дыккæгæм
749,dritter::A,tredje,æртыккаг
750,dritter::A,tredje,æртыккæгæм
751,letzter::A,sist,фӕстаг
752,allein::ADV,alene,иунæг
753,auf einmal::ADV,med ett,уайтагъд
754,auf einmal::ADV,med ett,æвиппайды
755,auf einmal::ADV,med ett,æваст
756,zusammen::ADV,sammen,иумӕ
757,lange::ADV,lenge,бирæ рæстæг
758,plötzlich::ADV,plutselig,æвиппайды
759,plötzlich::ADV,plutselig,æваст
760,sofort::ADV,straks,уыцы сахат
761,sofort::ADV,straks,уайтагъд
762,später::ADV,senere,фæстæдæр
763,jetzt::ADV,nå,ныр
764,heute::ADV,i dag,абон
765,morgen::ADV,i morgen,райсом
766,bald::ADV,snart,тагъд
767,bald::ADV,snart,рæхджы
768,dann::ADV,så,стæй
769,gestern::ADV,i går,знон
770,einst::ADV,engang,кӕддӕр
