,Concept_ID,el,it
107,Raureif::N,πάχνη,brina
108,Regenbogen::N,ουράνιο τόξο,arcobaleno
109,Donner::N,βροντή,tuono
110,Strömung::N,ρεύμα,corrente
111,Tropfen::N,στάλα,goccia
112,Schaum::N,αφρός,spuma
113,Schaum::N,αφρός,schiuma
114,Schmutz::N,βρωμιά,sudiciume
115,See::N,λίμνη,lago
116,Sumpf::N,βάλτος,palude
117,Moor::N,έλος,torbiera
118,Wiese::N,λιβάδι,prato
119,Wald::N,δάσος,bosco
120,Wald::N,δάσος,foresta
121,Hügel::N,λόφος,colle
122,Hügel::N,λόφος,collina
123,Anhöhe::N,ύψωμα,altura
124,Berg::N,όρος,monte
125,Berg::N,όρος,montagna
126,Berg::N,βουνό,monte
127,Berg::N,βουνό,montagna
128,Gipfel::N,κορυφή,cima
129,Höhle::N,σπηλιά,grotta
130,Höhle::N,σπηλιά,caverna
131,Abhang::N,πλαγιά,pendìo
132,Quelle::N,πηγή,sorgente
133,Quelle::N,βρύση,sorgente
134,Bach::N,ρυάκι,ruscello
135,Fluss::N,ποτάμι,fiume
136,Fluss::N,ποταμός,fiume
137,Ufer::N,όχθη,riva
138,Küste::N,ακτή,costa
139,Küste::N,ακρογιαλιά,costa
140,Festland::N,στεριά,terraferma
141,Meer::N,θάλασσα,mare
142,Bucht::N,κόλπος,cala
143,Insel::N,νησί,ìsola
144,Insel::N,νήσος,ìsola
145,Blume::N,άνθος,fiore
146,Blume::N,λουλούδι,fiore
147,Gras::N,χόρτο,erba
148,Gras::N,χορτάρι,erba
149,Wurzel::N,ρίζα,radice
150,Baum::N,δέντρο,àlbero
151,Stamm::N,κορμός,tronco
152,Rinde::N,φλούδα,corteccia
153,Ast::N,κλαδί,ramo
154,Zweig::N,κλαδί,ramo
155,Zweig::N,κλάδος,ramo
156,Blatt::N,φύλλο,foglia
157,Birke::N,σημύδα,betulla
158,Kiefer[Baum]::N,πεύκο,pino
159,Weide[Baum]::N,ιτιά,sàlice
160,Tanne::N,έλατο,abete
161,Horn::N,κέρας,corno
162,Horn::N,κέρατο,corno
163,Feder::N,φτερό,penna
164,Fell::N,δέρμα,manto
165,Fell::N,δέρμα,pelame
166,Fell::N,τομάρι,manto
167,Fell::N,τομάρι,pelame
168,Flügel::N,πτερύγιο,ala
169,Klaue::N,κουλό,grinfia
170,Kralle::N,νύχι,unghia
171,Kralle::N,νύχι,artiglio
172,Schwanz::N,ουρά,coda
173,Ei::N,αβγό,uovo
174,Nest::N,φωλιά,nido
175,Bau::N,φωλιά,covo
176,Tier::N,ζώο,bestia
177,Tier::N,ζώο,animale
178,Herde::N,κοπάδι,gregge
179,Kuh::N,αγελάδα,vacca
180,Bulle::N,ταύρος,toro
181,Pferd::N,άλογο,cavallo
182,Schaf::N,πρόβατο,pècora
183,Schwein::N,γουρούνι,porco
184,Schwein::N,γουρούνι,maiale
185,Hund::N,σκυλί,cane
186,Hund::N,σκύλος,cane
187,Katze::N,γάτα,gatta
188,Bär::N,άρκτος,orso
189,Bär::N,αρκούδα,orso
190,Eichhörnchen::N,βερβερίτσα,scoiàttolo
191,Elch::N,άλκη,alce
192,Fuchs::N,αλεπού,volpe
193,Hase::N,λαγός,lepre
194,Maus::N,ποντικός,topo
195,Maus::N,ποντικός,sorcio
196,Wolf::N,λύκος,lupo
197,Vogel::N,πουλί,uccello
198,Schwarm::N,σμήνος,stormo
199,Huhn::N,κότα,gallina
200,Huhn::N,όρνιθα,gallina
201,Hahn::N,πετεινός,gallo
202,Gans::N,χήνα,oca
203,Adler::N,αετός,àquila
204,Ente::N,πάπια,ànatra
205,Eule::N,κουκουβάγια,gufo
206,Eule::N,κουκουβάγια,civetta
207,Kranich::N,γερανός,gru
208,Krähe::N,καρακάξα,cornacchia
209,Kuckuck::N,κούκος,cuccù
210,Kuckuck::N,κούκος,cùculo
211,Schwan::N,κύκνος,cigno
212,Fisch::N,ψάρι,pesce
213,Barsch::N,πέρκα,pèrsico
214,Hecht::N,λούτσος,luccio
215,Schlange[Tier]::N,φίδι,serpente
216,Wurm::N,σκουλήκι,baco
217,Wurm::N,σκουλήκι,verme
218,Spinne::N,αράχνη,ragno
219,Ameise::N,μυρμήγκι,formica
220,Laus::N,ψείρα,pidocchio
221,Mücke::N,κουνούπι,zanzara
222,Fliege::N,μύγα,mosca
223,Schmetterling::N,πεταλούδα,farfalla
224,Beere::N,ρόγα,bacca
225,Apfel::N,μήλο,mela
226,Pilz::N,μανιτάρι,fungo
227,Zwiebel::N,κρεμμύδι,cipolla
228,Saat::N,σπόρος,semente
229,Korn::N,σπυρί,grano
230,Heu::N,σανός,fieno
231,Schale::N,τσόφλι,buccia
232,Grube::N,λάκκος,cava
233,Grube::N,λάκκος,fossa
234,Falle::N,παγίδα,tràppola
235,Schlinge::N,θηλειά,laccio
236,Spur::N,ίχνος,traccia
237,Asche::N,στάχτη,cenere
238,Dreck::N,βρωμιά,fango
239,Eisen::N,σίδερο,ferro
240,Gold::N,μάλαμα,oro
241,Gold::N,χρυσάφι,oro
242,Silber::N,ασήμι,argento
243,Silber::N,άργυρος,argento
244,Kohle::N,κάρβουνο,carbone
245,Glas::N,γυαλί,vetro
246,Lehm::N,πηλός,argilla
247,Sand::N,άμμος,arena
248,Sand::N,άμμος,sabbia
249,Mensch::N,άνθρωπος,uomo
250,Mensch::N,άνθρωπος,èssere umano
251,Mann::N,άνδρας,uomo
252,Frau::N,γυναίκα,donna
253,Kind::N,παιδί,bambino
254,Junge::N,αγόρι,ragazzo
255,Mädchen::N,κοπέλα,ragazza
256,Mädchen::N,κορίτσι,ragazza
257,Familie::N,οικογένεια,famiglia
258,Großvater::N,παππούς,nonno
259,Großmutter::N,γιαγιά,nonna
260,Eltern::N,γονείς,genitori
261,Vater::N,πατέρας,padre
262,Mutter::N,μητέρα,madre
263,Sohn::N,γιος,figlio
264,Tochter::N,κόρη,figlia
265,Bruder::N,αδελφός,fratello
266,Schwester::N,αδελφή,sorella
267,Onkel::N,θείος,zio
268,Tante::N,θεία,zia
269,Ehemann::N,σύζυγος,marito
270,Ehefrau::N,σύζυγος,moglie
271,Freude::N,χαρά,gioia
272,Freude::N,χαρά,piacere
273,Gelächter::N,γέλια,risata
274,Glück::N,ευτυχία,felicità
275,Kummer::N,έγνοια,afflizione
276,Wunsch::N,επιθυμία,desiderio
277,Lust::N,όρεξη,voglia
278,Geist::N,πνέυμα,mente
279,Geist::N,πνέυμα,spìrito
280,Gedanke::N,σκέψη,idea
281,Gedanke::N,σκέψη,pensiero
282,Gedächtnis::N,μνήμη,memoria
283,Verstand::N,νους,intelletto
284,Sinn::N,νόημα,senso
285,Sinn::N,νόημα,significato
286,Grund::N,λόγος,causa
287,Grund::N,λόγος,motivo
288,Grund::N,λόγος,ragione
289,Wahrheit::N,αλήθεια,verità
290,Gespräch::N,συνομιλία,discorso
291,Gespräch::N,συνομιλία,conversazione
292,Märchen::N,παραμύθι,fiaba
293,Märchen::N,παραμύθι,fàvola
294,Erzählung::N,διήγημα,racconto
295,Erzählung::N,διήγημα,narrazione
296,Nachricht::N,είδηση,messaggio
297,Neuigkeit::N,νέο,notizia
298,Name::N,όνομα,nome
299,Rätsel::N,αίνιγμα,indovinello
300,Rede::N,λόγος,discorso
301,Rede::N,ομιλία,discorso
302,Sprache::N,γλώσσα,lingua
303,Sprache::N,γλώσσα,linguaggio
304,Stimme::N,φωνή,voce
305,Wort::N,λέξη,parola
306,Zeichen::N,σημείο,segno
307,Zeichen::N,σημείο,segnale
308,Ruf::N,κραυγή,chiamata
309,Lärm::N,θόρυβος,chiasso
310,Lärm::N,θόρυβος,strèpito
311,Laut::N,ήχος,suono
312,Ton::N,ήχος,tono
313,Ton::N,τόνος,tono
314,Lied::N,τραγούδι,canto
315,Lied::N,τραγούδι,canzone
316,Ruhe::N,ησυχία,calma
317,Ruhe::N,ησυχία,tranquillità
318,Leute::N,κόσμος,gente
319,Leute::N,άνθρωποι,gente
320,Volk::N,λαός,pòpolo
321,Arbeit::N,εργασία,lavoro
322,Gast::N,επισκέπτης,òspite
323,Gast::N,επισκέπτης,invitato
324,Geschenk::N,δώρο,regalo
325,Spiel::N,παιχνίδι,gioco
326,Gesellschaft::N,κοινωνία,compagnìa
327,Hilfe::N,βοήθεια,aiuto
328,Hilfe::N,βοήθεια,soccorso
329,Freund::N,φίλος,amico
330,Kamerad::N,σύντροφος,camerata
331,Angelegenheit::N,υπόθεση,affare
332,Angelegenheit::N,υπόθεση,faccenda
333,Anzahl::N,αριθμός,nùmero
334,Anzahl::N,αριθμός,quantità
335,Art::N,είδος,tipo
336,Art::N,είδος,specie
337,Stück::N,κομμάτι,pezzo
338,Teil::N,μέρος,parte
339,Hälfte::N,μισό,metà
340,Kreis::N,κύκλος,cìrcolo
341,Kreuz::N,σταυρός,croce
342,Linie::N,γραμμή,lìnea
343,Strich::N,γραμμή,tratto
344,Abstand::N,απόσταση,distanza
345,Entfernung::N,απόσταση,distanza
346,Entfernung::N,απόσταση,lontananza
347,Gegend::N,περιοχή,regione
348,Gegend::N,τοποθεσία,regione
349,Platz::N,χώρος,posto
350,Platz::N,χώρος,spazio
351,Ort::N,τόπος,luogo
352,Ort::N,τόπος,località
353,Seite::N,πλευρά,lato
354,Seite::N,πλευρά,parte
355,Mitte::N,μέση,mezzo
356,Mitte::N,μέση,centro
357,Gegenstand::N,αντικείμενο,oggetto
358,Sache::N,πράγμα,cosa
359,Rand::N,άκρη,orlo
360,Rand::N,άκρη,bordo
361,Rand::N,χείλος,orlo
362,Rand::N,χείλος,bordo
363,Kante::N,άκρη,spìgolo
364,Ecke::N,γωνιά,canto
365,Spitze::N,μύτη,punta
366,Ende::N,άκρη,capo
367,Ende::N,άκρη,estremità
368,Loch::N,τρύπα,buco
369,Winkel::N,γωνία,àngolo
370,Muster::N,σχέδιο,disegno
371,Größe::N,μέγεθος,taglia
372,Größe::N,μέγεθος,grandezza
373,Länge::N,μήκος,lunghezza
374,Höhe::N,ύψος,altezza
375,Gewicht::N,βάρος,peso
376,Menge::N,ποσότητα,quantità
377,Haufen::N,σωρός,cùmulo
378,Haufen::N,σωρός,mucchio
379,Reihe::N,αράδα,fila
380,Boot::N,βάρκα,barca
381,Boot::N,βάρκα,battello
382,Ruder::N,κουπί,remo
383,Schlitten::N,έλκηθρο,slitta
384,Ski::N,σκι,sci
385,Lagerfeuer::N,φωτιά,falò
386,Lagerfeuer::N,φωτιά,fuoco di bivacco
387,Last::N,φορτίο,càrico
388,Gang::N,δρόμος,andata
389,Schritt::N,βήμα,passo
390,Norden::N,βορράς,nord
391,Norden::N,βορράς,settentrione
392,Süden::N,νότος,sud
393,Süden::N,νότος,meridione
394,Westen::N,δύση,òvest
395,Westen::N,δύση,occidente
396,Osten::N,ανατολή,est
397,Osten::N,ανατολή,oriente
398,Holz::N,ξύλο,legno
399,Brett::N,σανίδι,asse
400,Brett::N,σανίδι,tàvola
401,Platte::N,πλάκα,lastra
402,Platte::N,πλάκα,piastra
403,Stütze::N,στήριγμα,supporto
404,Stange::N,ραβδί,sbarra
405,Stange::N,ραβδί,pèrtica
406,Stange::N,κοντός,sbarra
407,Stange::N,κοντός,pèrtica
408,Stock::N,ξύλο,verga
409,Stock::N,ξύλο,bastone
410,Stock::N,ξύλο,bacchetta
411,Stock::N,μπαστούνι,verga
412,Stock::N,μπαστούνι,bastone
413,Stock::N,μπαστούνι,bacchetta
414,Stab::N,ραβδί,asta
415,Rohr::N,σωλήνας,tubo
416,Haus::N,σπίτι,casa
417,Heim::N,σπίτι,casa
418,Ofen::N,σόμπα,stufa
419,Ofen::N,θερμάστρα,stufa
420,Fußboden::N,πάτωμα,pavimento
421,Tisch::N,τραπέζι,tàvolo
422,Stuhl::N,καρέκλα,sedia
423,Wiege::N,κούνια,culla
424,Bett::N,κρεβάτι,letto
425,Regal::N,ράφι,scaffale
426,Kiste::N,κιβώτιο,cassa
427,Fenster::N,παράθυρο,finestra
428,Tür::N,πόρτα,porta
429,Tor::N,πύλη,portone
430,Zaun::N,φράχτης,recinto
431,Dach::N,στέγη,tetto
432,Leiter::N,σκάλα,scala
433,Leiter::N,σκάλα,scala a pioli
434,Leiter::N,κλίμακα,scala
435,Leiter::N,κλίμακα,scala a pioli
436,Besen::N,σκούπα,scopa
437,Spaten::N,φτυάρι,vanga
438,Schaufel::N,φτυάρι,pala
439,Gabel::N,πιρούνι,forchetta
440,Löffel::N,κουτάλι,cucchiaio
441,Messer::N,μαχαίρι,coltello
442,Nagel::N,καρφί,chiodo
443,Netz::N,δίχτυ,rete
444,Haken::N,γάντζος,uncino
445,Haken::N,αγκίστρι,uncino
446,Griff::N,λαβή,mànico
447,Griff::N,λαβή,maniglia
448,Schloss::N,κλειδαριά,serratura
449,Bild::N,εικόνα,quadro
450,Bild::N,εικόνα,immàgine
451,Figur::N,ανάστημα,figura
452,Puppe::N,κούκλα,bàmbola
453,Beutel::N,πουγγί,borsa
454,Beutel::N,πουγγί,sacchetto
455,Bündel::N,δεμάτι,fascio
456,Bündel::N,δεμάτι,fagotto
457,Tasche::N,τσάντα,borsa
458,Eimer::N,κουβάς,secchio
459,Deckel::N,καπάκι,coperchio
460,Geschirr::N,σκεύη,stoviglie
461,Sack::N,σάκος,sacco
462,Tasse::N,φλιτζάνι,tazza
463,Topf::N,χύτρα,pèntola
464,Kessel::N,καζάνι,paiolo
465,Kessel::N,καζάνι,calderone
466,Essen::N,φαγητό,pasto
467,Essen::N,φαγητό,mangiare
468,Nahrung::N,τροφή,cibo
469,Nahrung::N,τροφή,alimento
470,Speise::N,φαγητό,piatto
471,Fleisch::N,κρέας,carne
472,Getreide::N,σιτάρι,cereali
473,Brei::N,χυλός,purè
474,Brei::N,χυλός,pappa
475,Brot::N,ψωμί,pane
476,Brot::N,άρτος,pane
477,Scheibe::N,φέτα,fetta
478,Scheibe::N,φέτα,trancia
479,Fett::N,πάχος,grasso
480,Butter::N,βούτυρο,burro
481,Öl::N,λάδι,olio
482,Salz::N,αλάτι,sale
483,Suppe::N,σούπα,zuppa
484,Suppe::N,σούπα,minestra
485,Honig::N,μέλι,miele
486,Milch::N,γάλα,latte
487,Tee::N,τσάι,tè
488,Leder::N,πετσί,pelle
489,Wolle::N,μαλλί,lana
490,Stoff::N,ύφασμα,panno
491,Stoff::N,ύφασμα,tessuto
492,Nadel::N,βελόνα,ago
493,Faden::N,κλωστή,filo
494,Knopf::N,κουμπί,bottone
495,Knoten::N,κόμπος,nodo
496,Farbe::N,μπογιά,pittura
497,Kleidung::N,ρούχα,vestiti
498,Kleidung::N,ρούχα,vestiario
499,Kleidung::N,ενδυμασία,vestiti
500,Kleidung::N,ενδυμασία,vestiario
501,Hemd::N,πουκάμισο,camicia
502,Kragen::N,κολάρο,bàvero
503,Kragen::N,κολάρο,colletto
504,Ärmel::N,μανίκι,mànica
505,Hose::N,πανταλόνι,calzoni
506,Gürtel::N,ζώνη,cintura
507,Mütze::N,σκούφος,berretto
508,Schuh::N,παπούτσι,scarpa
509,Stiefel::N,μπότα,stivale
510,Ring::N,δαχτυλίδι,anello
511,Band::N,κορδέλα,nastro
512,Band::N,κορδέλα,fettuccia
513,Kamm::N,χτένα,pèttine
514,Spiegel::N,καθρέφτης,specchio
515,Riemen::N,λουρί,cinghia
516,Schnur::N,κορδόνι,corda
517,Leine::N,σχοινί,guinzaglio
518,Decke::N,κουβέρτα,coperta
519,Kissen::N,μαξιλάρι,cuscino
520,Kissen::N,μαξιλάρι,guanciale
521,Tuch::N,πανί,fazzoletto
522,Tuch::N,μαντήλι,fazzoletto
523,Handtuch::N,πετσέτα,asciugamano
524,Kraft::N,δύναμη,forza
525,Stärke::N,ισχύς,forza
526,Stärke::N,ισχύς,vigore
527,Stärke::N,ισχύς,fortezza
528,Stärke::N,δύναμη,forza
529,Stärke::N,δύναμη,vigore
530,Stärke::N,δύναμη,fortezza
531,Gesundheit::N,υγεία,salute
532,Krankheit::N,αρρώστια,malattìa
533,Schmerz::N,πόνος,dolore
534,Wunde::N,πληγή,piaga
535,Wunde::N,πληγή,ferita
536,Fieber::N,πυρετός,febbre
537,Arznei::N,φάρμακο,fàrmaco
538,Arznei::N,φάρμακο,medicina
539,Brücke::N,γέφυρα,ponte
540,Brunnen::N,πηγάδι,pozzo
541,Weide::N,βοσκή,pàscolo
542,Pfad::N,μονοπάτι,sentiero
543,Weg::N,δρόμος,via
544,Weg::N,δρόμος,cammino
545,Straße::N,οδός,strada
546,Straße::N,δρόμος,strada
547,Dorf::N,χωριό,paese
548,Dorf::N,χωριό,villaggio
549,Stadt::N,πόλη,città
550,Brief::N,γράμμα,lèttera
551,Brief::N,επιστολή,lèttera
552,Buch::N,βιβλίο,libro
553,Buchstabe::N,γράμμα,lèttera
554,Zeitung::N,εφημερίδα,giornale
555,Leben::N,ζωή,vita
556,Leben::N,βίος,vita
557,Tod::N,θάνατος,morte
558,Grab::N,τάφος,tomba
559,Grab::N,τάφος,sepolcro
560,Kirche::N,εκκλησία,chiesa
561,Sünde::N,αμαρτία,peccato
562,Gott::N,θεός,dio
563,Arbeiter::N,εργάτης,operaio
564,Arbeiter::N,εργάτης,lavoratore
565,Chef::N,προϊστάμενος,capo
566,Chef::N,προϊστάμενος,padrone
567,Meister::N,μάστορας,mastro
568,Meister::N,μάστορας,maestro
569,Meister::N,αρχιτεχνίτης,mastro
570,Meister::N,αρχιτεχνίτης,maestro
571,Arzt::N,γιατρός,mèdico
572,Arzt::N,γιατρός,dottore
573,Lehrer::N,δάσκαλος,professore
574,Geld::N,λεφτά,soldi
575,Geld::N,λεφτά,denaro
576,Geld::N,χρήματα,soldi
577,Geld::N,χρήματα,denaro
578,Geschäft::N,συναλλαγή,affare
579,Geschäft::N,συναλλαγή,negozio
580,Laden::N,μαγαζί,negozio
581,Laden::N,κατάστημα,negozio
582,Preis::N,τιμή,prezzo
583,Ware::N,εμπόρευμα,merce
584,Nutzen::N,όφελος,ùtile
585,Nutzen::N,όφελος,profitto
586,Reichtum::N,πλούτος,ricchezza
587,Welt::N,κόσμος,mondo
588,Land::N,χώρα,paese
589,Staat::N,κράτος,Stato
590,Staat::N,πολιτεία,Stato
591,König::N,βασιλιάς,re
592,Macht::N,εξουσία,potere
593,Grenze::N,σύνορα,confine
594,Grenze::N,σύνορα,frontiera
595,Krieg::N,πόλεμος,guerra
596,Feind::N,εχθρός,nemico
597,Gewalt::N,βία,violenza
598,Kampf::N,αγώνας,lotta
599,Bogen[Waffe]::N,τόξο,arco
600,Pfeil::N,σαΐτα,freccia
601,Gewehr::N,τουφέκι,fucile
602,Fehler::N,λάθος,errore
603,Fehler::N,λάθος,sbaglio
604,Fehler::N,σφάλμα,errore
605,Fehler::N,σφάλμα,sbaglio
606,Lüge::N,ψέμα,bugìa
607,Lüge::N,ψέμα,menzogna
608,Lüge::N,ψεύδος,bugìa
609,Lüge::N,ψεύδος,menzogna
610,Schaden::N,ζημία,danno
611,Unglück::N,δυστυχία,sfortuna
612,Schuld::N,ενοχή,colpa
613,Schuld::N,φταίξιμο,colpa
614,Alter::N,ηλικία,età
615,Schluss::N,τέλος,fine
616,Zeit::N,χρόνος,tempo
617,Tag::N,μέρα,giorno
618,Tag::N,μέρα,giornata
619,Tag::N,ημέρα,giorno
620,Tag::N,ημέρα,giornata
621,Morgen::N,πρωί,mattina
622,Mittag::N,μεσημέρι,mezzogiorno
623,Abend::N,βράδυ,sera
624,Abend::N,βράδυ,serata
625,Nacht::N,νύχτα,notte
626,Woche::N,εβδομάδα,settimana
627,Monat::N,μήνας,mese
628,Jahr::N,έτος,anno
629,Jahr::N,χρόνος,anno
630,Frühling::N,άνοιξη,primavera
631,Sommer::N,καλοκαίρι,estate
632,Herbst::N,φθινόπωρο,autunno
633,Winter::N,χειμώνας,inverno
634,Januar::N,Ιανουάριος,gennaio
635,Februar::N,Φεβρουάριος,febbraio
636,März::N,Μάρτιος,marzo
637,April::N,Απρίλιος,aprile
638,Mai::N,Μάιος,maggio
639,Juni::N,Ιούνιος,giugno
640,Juli::N,Ιούλιος,luglio
641,August::N,Αύγουστος,agosto
642,September::N,Σεπτέμβριος,settembre
643,Oktober::N,Οκτώβριος,ottobre
644,November::N,Νοέμβριος,novembre
645,Dezember::N,Δεκέμβριος,dicembre
646,Montag::N,Δευτέρα,lunedì
647,Dienstag::N,Τρίτη,martedì
648,Mittwoch::N,Τετάρτη,mercoledì
649,Donnerstag::N,Πέμπτη,giovedì
650,Freitag::N,Παρασκευή,venerdì
651,Samstag::N,Σάββατο,sàbato
652,Sonntag::N,Κυριακή,domenica
653,groß::A,μεγάλος,grande
654,klein::A,μικρός,pìccolo
655,lang::A,μακρύς,lungo
656,kurz::A,κοντός,corto
657,breit::A,φαρδύς,largo
658,schmal::A,στενός,stretto
659,dicht::A,πυκνός,denso
660,dick[Gegenstand]::A,παχύς,spesso
661,dick[Gegenstand]::A,χοντρός,spesso
662,dünn::A,ψιλός,sottile
663,dünn::A,λεπτός,sottile
664,fein::A,ψιλός,fine
665,fein::A,ψιλός,delicato
666,fest::A,στερεός,sodo
667,fest::A,στερεός,fisso
668,flach::A,επίπεδος,piano
669,flach::A,επίπεδος,piatto
670,glatt::A,λείος,liscio
671,glatt::A,ομαλός,liscio
672,hart::A,σκληρός,duro
673,weich::A,μαλακός,molle
674,rund::A,στρογγυλός,rotondo
675,spitz::A,μυτερός,aguzzo
676,spitz::A,μυτερός,appuntito
677,scharf::A,κοφτερός,affilato
678,scharf::A,κοφτερός,tagliente
679,stumpf::A,αμβλύς,smussato
680,schwer::A,βαρύς,pesante
681,schön::A,ωραίος,bello
682,schön::A,όμορφος,bello
683,heiß::A,ζεστός,caldo
684,heiß::A,ζεστός,bollente
685,warm::A,θερμός,caldo
686,kalt::A,κρύος,freddo
687,kalt::A,ψυχρός,freddo
688,kühl::A,δροσερός,fresco
689,frisch::A,νωπός,fresco
690,frisch::A,φρέσκος,fresco
691,feucht::A,υγρός,ùmido
692,nass::A,βρεγμένος,bagnato
693,trocken::A,ξηρός,secco
694,trocken::A,στεγνός,secco
695,voll::A,γεμάτος,pieno
696,leer::A,άδειος,vuoto
697,offen::A,ανοιχτός,aperto
698,geschlossen::A,κλειστός,chiuso
699,sauber::A,καθαρός,netto
700,sauber::A,καθαρός,pulito
701,schmutzig::A,βρώμικος,sporco
702,schmutzig::A,βρώμικος,sùdicio
703,schmutzig::A,λερωμένος,sporco
704,schmutzig::A,λερωμένος,sùdicio
705,roh::A,ωμός,crudo
706,reif::A,ώριμος,maturo
707,lecker::A,νόστιμος,ghiotto
708,lecker::A,νόστιμος,squisito
709,süß::A,γλυκός,dolce
710,bitter::A,πικρός,amaro
711,sauer::A,ξινός,aspro
712,sauer::A,ξινός,acerbo
713,hell::A,φωτεινός,chiaro
714,dunkel::A,σκοτεινός,buio
715,dunkel::A,σκοτεινός,oscuro
716,schwarz::A,μαύρος,nero
717,schwarz::A,μελανός,nero
718,weiß::A,άσπρος,bianco
719,rot::A,κόκκινος,rosso
720,gelb::A,κίτρινος,giallo
721,blau::A,μπλε,blu
722,blau::A,μπλε,azzurro
723,blau::A,γαλανός,blu
724,blau::A,γαλανός,azzurro
725,grün::A,πράσινος,verde
726,grau::A,γκρίζος,grigio
727,bunt::A,ποικιλόχρωπος,variopinto
728,billig::A,φτηνός,a buon prezzo
729,billig::A,φτηνός,a buon mercato
730,teuer::A,ακριβός,caro
731,wertvoll::A,πολύτιμος,prezioso
732,blind::A,τυφλός,cieco
733,taub::A,κουφός,sordo
734,kräftig::A,δυνατός,forte
735,kräftig::A,δυνατός,robusto
736,stark::A,γερός,forte
737,stark::A,γερός,vigoroso
738,schwach::A,αδύνατος,dèbole
739,fett::A,παχύς,grasso
