,Concept_ID,es,fr
85,Schnee::N,nieve,neige
86,Eis::N,hielo,glace
87,Frost::N,helada,gel
88,Frost::N,helada,gelée
89,Kälte::N,frío,froid
90,Hitze::N,calor,chaleur
91,Raureif::N,escarcha,givre
92,Regenbogen::N,arco iris,arc-en-ciel
93,Donner::N,trueno,tonnerre
94,Strömung::N,corriente,courant
95,Tropfen::N,gota,goutte
96,Schaum::N,espuma,écume
97,Schaum::N,espuma,mousse
98,Schmutz::N,suciedad,boue
99,Schmutz::N,suciedad,saleté
100,See::N,lago,lac
101,Sumpf::N,pantano,marais
102,Sumpf::N,pantano,marécage
103,Moor::N,turbera,tourbière
104,Wiese::N,prado,pré
105,Wiese::N,pradera,pré
106,Wald::N,bosque,bois
107,Wald::N,bosque,forêt
108,Hügel::N,colina,coteau
109,Hügel::N,colina,colline
110,Anhöhe::N,cerro,éminence
111,Anhöhe::N,cerro,élévation
112,Berg::N,monte,mont
113,Berg::N,monte,montagne
114,Berg::N,montaña,mont
115,Berg::N,montaña,montagne
116,Gipfel::N,cima,cime
117,Gipfel::N,cima,sommet
118,Gipfel::N,cumbre,cime
119,Gipfel::N,cumbre,sommet
120,Höhle::N,cueva,caverne
121,Höhle::N,caverna,caverne
122,Abhang::N,cuesta,pente
123,Abhang::N,cuesta,versant
124,Abhang::N,declive,pente
125,Abhang::N,declive,versant
126,Quelle::N,fuente,source
127,Quelle::N,fuente,fontaine
128,Quelle::N,manantial,source
129,Quelle::N,manantial,fontaine
130,Bach::N,arroyo,ruisseau
131,Fluss::N,río,fleuve
132,Fluss::N,río,rivière
133,Ufer::N,orilla,bord
134,Ufer::N,orilla,rivage
135,Küste::N,costa,côte
136,Festland::N,tierra firme,terre ferme
137,Meer::N,mar,mer
138,Bucht::N,cala,baie
139,Bucht::N,bahía,baie
140,Insel::N,isla,île
141,Blume::N,flor,fleur
142,Gras::N,hierba,herbe
143,Wurzel::N,raíz,racine
144,Baum::N,árbol,arbre
145,Stamm::N,tronco,tronc
146,Rinde::N,corteza,écorce
147,Ast::N,rama,branche
148,Zweig::N,ramo,rameau
149,Blatt::N,hoja,feuille
150,Birke::N,abedul,bouleau
151,Kiefer[Baum]::N,pino,pin
152,Weide[Baum]::N,sauce,saule
153,Tanne::N,abeto,sapin
154,Horn::N,asta,corne
155,Horn::N,cuerno,corne
156,Feder::N,pluma,plume
157,Fell::N,piel,peau
158,Flügel::N,ala,aile
159,Klaue::N,garra,serre
160,Kralle::N,uña,ongle
161,Kralle::N,uña,griffe
162,Kralle::N,garra,ongle
163,Kralle::N,garra,griffe
164,Schwanz::N,cola,queue
165,Ei::N,huevo,œuf
166,Nest::N,nido,nid
167,Bau::N,madriguera,terrier
168,Tier::N,animal,animal
169,Herde::N,rebaño,troupeau
170,Kuh::N,vaca,vache
171,Bulle::N,toro,taureau
172,Pferd::N,caballo,cheval
173,Schaf::N,oveja,mouton
174,Schwein::N,cerdo,porc
175,Schwein::N,cerdo,cochon
176,Hund::N,perro,chien
177,Katze::N,gato,chat
178,Bär::N,oso,ours
179,Eichhörnchen::N,ardilla,écureuil
180,Elch::N,alce,élan
181,Fuchs::N,zorro,renard
182,Hase::N,liebre,lièvre
183,Maus::N,ratón,souris
184,Wolf::N,lobo,loup
185,Vogel::N,ave,oiseau
186,Vogel::N,pájaro,oiseau
187,Schwarm::N,bandada,nuée
188,Schwarm::N,bandada,volée
189,Huhn::N,gallina,poule
190,Hahn::N,gallo,coq
191,Gans::N,oca,oie
192,Gans::N,ganso,oie
193,Adler::N,águila,aigle
194,Ente::N,pato,canard
195,Eule::N,lechuza,hibou
196,Kranich::N,grulla,grue
197,Krähe::N,corneja,corneille
198,Kuckuck::N,cuco,coucou
199,Schwan::N,cisne,cygne
200,Fisch::N,pez,poisson
201,Barsch::N,perca,perche
202,Hecht::N,lucio,brochet
203,Schlange[Tier]::N,serpiente,serpent
204,Wurm::N,gusano,ver
205,Spinne::N,araña,araignée
206,Ameise::N,hormiga,fourmi
207,Laus::N,piojo,pou
208,Mücke::N,mosquito,moucheron
209,Fliege::N,mosca,mouche
210,Schmetterling::N,mariposa,papillon
211,Beere::N,baya,baie
212,Apfel::N,manzana,pomme
213,Pilz::N,seta,champignon
214,Pilz::N,hongo,champignon
215,Zwiebel::N,cebolla,oignon
216,Saat::N,siembra,semence
217,Korn::N,grano,grain
218,Heu::N,heno,foin
219,Schale::N,cáscara,pelure
220,Grube::N,foso,fosse
221,Falle::N,trampa,piège
222,Schlinge::N,lazo,lacs
223,Spur::N,huella,trace
224,Asche::N,ceniza,cendre
225,Dreck::N,suciedad,crotte
226,Eisen::N,hierro,fer
227,Gold::N,oro,or
228,Silber::N,plata,argent
229,Kohle::N,carbón,charbon
230,Glas::N,vidrio,verre
231,Glas::N,cristal,verre
232,Lehm::N,barro,glaise
233,Sand::N,arena,sable
234,Mensch::N,hombre,homme
235,Mensch::N,ser humano,homme
236,Mann::N,hombre,homme
237,Frau::N,mujer,femme
238,Kind::N,niño,enfant
239,Junge::N,chico,garçon
240,Junge::N,muchacho,garçon
241,Mädchen::N,chica,fille
242,Mädchen::N,chica,jeune fille
243,Mädchen::N,muchacha,fille
244,Mädchen::N,muchacha,jeune fille
245,Familie::N,familia,famille
246,Großvater::N,abuelo,grand-père
247,Großmutter::N,abuela,grand-mère
248,Eltern::N,padres,parents
249,Vater::N,padre,père
250,Mutter::N,madre,mère
251,Sohn::N,hijo,fils
252,Tochter::N,hija,fille
253,Bruder::N,hermano,frère
254,Schwester::N,hermana,sœur
255,Onkel::N,tío,oncle
256,Tante::N,tía,tante
257,Ehemann::N,esposo,mari
258,Ehemann::N,esposo,époux
259,Ehefrau::N,esposa,femme
260,Ehefrau::N,esposa,épouse
261,Freude::N,placer,joie
262,Freude::N,placer,plaisir
263,Freude::N,alegría,joie
264,Freude::N,alegría,plaisir
265,Gelächter::N,risa,rires
266,Gelächter::N,carcajada,rires
267,Glück::N,felicidad,bonheur
268,Kummer::N,pena,peine
269,Kummer::N,pena,chagrin
270,Wunsch::N,deseo,désir
271,Lust::N,ganas,envie
272,Geist::N,mente,esprit
273,Geist::N,espíritu,esprit
274,Gedanke::N,idea,idée
275,Gedanke::N,idea,pensée
276,Gedanke::N,pensamiento,idée
277,Gedanke::N,pensamiento,pensée
278,Gedächtnis::N,memoria,mémoire
279,Verstand::N,razón,raison
280,Verstand::N,entendimiento,raison
281,Sinn::N,sentido,sens
282,Sinn::N,significado,sens
283,Grund::N,causa,cause
284,Grund::N,causa,raison
285,Wahrheit::N,verdad,vérité
286,Gespräch::N,conversación,conversation
287,Märchen::N,cuento,conte
288,Märchen::N,cuento,conte de fées
289,Erzählung::N,cuento,conte
290,Erzählung::N,cuento,narration
291,Erzählung::N,narración,conte
292,Erzählung::N,narración,narration
293,Nachricht::N,mensaje,message
294,Neuigkeit::N,noticia,nouvelle
295,Name::N,nombre,nom
296,Rätsel::N,acertijo,énigme
297,Rätsel::N,acertijo,devinette
298,Rätsel::N,adivinanza,énigme
299,Rätsel::N,adivinanza,devinette
300,Rede::N,discurso,parole
301,Rede::N,discurso,discours
302,Sprache::N,lengua,langue
303,Sprache::N,lengua,langage
304,Stimme::N,voz,voix
305,Wort::N,palabra,mot
306,Zeichen::N,señal,signe
307,Ruf::N,llamada,cri
308,Ruf::N,llamada,appel
309,Lärm::N,ruido,bruit
310,Lärm::N,barullo,bruit
311,Laut::N,sonido,son
312,Ton::N,tono,ton
313,Lied::N,canción,chant
314,Lied::N,canción,chanson
315,Ruhe::N,calma,calme
316,Ruhe::N,calma,tranquillité
317,Ruhe::N,silencio,calme
318,Ruhe::N,silencio,tranquillité
319,Leute::N,gente,gens
320,Volk::N,pueblo,peuple
321,Arbeit::N,trabajo,travail
322,Gast::N,huésped,hôte
323,Gast::N,huésped,invité
324,Gast::N,invitado,hôte
325,Gast::N,invitado,invité
326,Geschenk::N,regalo,cadeau
327,Geschenk::N,regalo,présent
328,Spiel::N,juego,jeu
329,Gesellschaft::N,compañía,compagnie
330,Hilfe::N,ayuda,aide
331,Hilfe::N,ayuda,secours
332,Hilfe::N,socorro,aide
333,Hilfe::N,socorro,secours
334,Freund::N,amigo,ami
335,Kamerad::N,camarada,copain
336,Kamerad::N,camarada,camarade
337,Kamerad::N,compañero,copain
338,Kamerad::N,compañero,camarade
339,Angelegenheit::N,asunto,affaire
340,Anzahl::N,cantidad,nombre
341,Art::N,tipo,sorte
342,Art::N,tipo,espèce
343,Art::N,clase,sorte
344,Art::N,clase,espèce
345,Stück::N,pieza,morceau
346,Teil::N,parte,part
347,Teil::N,parte,partie
348,Hälfte::N,mitad,moitié
349,Kreis::N,círculo,cercle
350,Kreuz::N,cruz,croix
351,Linie::N,línea,ligne
352,Strich::N,raya,trait
353,Strich::N,trazo,trait
354,Abstand::N,distancia,écart
355,Entfernung::N,distancia,distance
356,Gegend::N,región,région
357,Gegend::N,región,contrée
358,Gegend::N,comarca,région
359,Gegend::N,comarca,contrée
360,Platz::N,espacio,place
361,Ort::N,sitio,lieu
362,Ort::N,sitio,endroit
363,Seite::N,lado,côté
364,Seite::N,costado,côté
365,Mitte::N,medio,milieu
366,Mitte::N,centro,milieu
367,Gegenstand::N,objeto,objet
368,Sache::N,cosa,chose
369,Rand::N,borde,bord
370,Kante::N,borde,arête
371,Ecke::N,esquina,coin
372,Ecke::N,esquina,tournant
373,Spitze::N,punta,cime
374,Spitze::N,punta,pointe
375,Ende::N,cabo,bout
376,Ende::N,extremo,bout
377,Loch::N,agujero,trou
378,Loch::N,abertura,trou
379,Winkel::N,ángulo,coin
380,Winkel::N,ángulo,réduit
381,Muster::N,dibujo,dessin
382,Größe::N,tamaño,grandeur
383,Länge::N,longitud,longueur
384,Höhe::N,altura,hauteur
385,Höhe::N,altura,altitude
386,Höhe::N,altitud,hauteur
387,Höhe::N,altitud,altitude
388,Gewicht::N,peso,poids
389,Menge::N,cantidad,quantité
390,Haufen::N,montón,tas
391,Reihe::N,fila,file
392,Reihe::N,fila,rangée
393,Boot::N,bote,canot
394,Boot::N,bote,bateau
395,Boot::N,barca,canot
396,Boot::N,barca,bateau
397,Ruder::N,remo,rame
398,Ruder::N,remo,aviron
399,Schlitten::N,trineo,traîneau
400,Ski::N,esquí,ski
401,Lagerfeuer::N,hoguera,feu de camp
402,Last::N,carga,charge
403,Last::N,carga,fardeau
404,Gang::N,marcha,tour
405,Gang::N,marcha,marche
406,Schritt::N,paso,pas
407,Norden::N,norte,nord
408,Süden::N,sur,sud
409,Westen::N,oeste,ouest
410,Westen::N,oeste,occident
411,Osten::N,este,est
412,Osten::N,este,orient
413,Holz::N,madera,bois
414,Brett::N,tabla,planche
415,Platte::N,placa,plaque
416,Platte::N,plancha,plaque
417,Stütze::N,sostén,appui
418,Stütze::N,sostén,soutien
419,Stütze::N,soporte,appui
420,Stütze::N,soporte,soutien
421,Stange::N,vara,barre
422,Stange::N,vara,perche
423,Stange::N,percha,barre
424,Stange::N,percha,perche
425,Stock::N,palo,canne
426,Stock::N,bastón,canne
427,Stab::N,vara,bâton
428,Stab::N,bastón,bâton
429,Rohr::N,tubo,tube
430,Rohr::N,tubo,tuyau
431,Haus::N,casa,maison
432,Heim::N,hogar,maison
433,Ofen::N,estufa,poêle
434,Fußboden::N,suelo,plancher
435,Tisch::N,mesa,table
436,Stuhl::N,silla,chaise
437,Wiege::N,cuna,berceau
438,Bett::N,cama,lit
439,Regal::N,estantería,étagère
440,Kiste::N,caja,caisse
441,Fenster::N,ventana,fenêtre
442,Tür::N,puerta,porte
443,Tor::N,puerta,porte
444,Tor::N,puerta,portail
445,Zaun::N,valla,clôture
446,Zaun::N,cercado,clôture
447,Dach::N,techo,toit
448,Dach::N,tejado,toit
449,Leiter::N,escalera,échelle
450,Besen::N,escoba,balai
451,Spaten::N,pala,bêche
452,Schaufel::N,pala,pelle
453,Schaufel::N,paleta,pelle
454,Gabel::N,tenedor,fourchette
455,Löffel::N,cuchara,cuiller
456,Messer::N,cuchillo,couteau
457,Nagel::N,clavo,clou
458,Netz::N,red,filet
459,Haken::N,gancho,croc
460,Haken::N,gancho,crochet
461,Haken::N,corchete,croc
462,Haken::N,corchete,crochet
463,Griff::N,asa,prise
464,Griff::N,asa,manche
465,Griff::N,mango,prise
466,Griff::N,mango,manche
467,Schloss::N,cerradura,serrure
468,Bild::N,imagen,image
469,Bild::N,imagen,tableau
470,Figur::N,figura,figure
471,Puppe::N,muñeca,poupée
472,Beutel::N,bolsa,sac
473,Beutel::N,bolsa,petit sac
474,Bündel::N,haz,paquet
475,Bündel::N,haz,faisceau
476,Tasche::N,bolso,sac
477,Eimer::N,cubo,seau
478,Deckel::N,tapa,couvercle
479,Deckel::N,tapadera,couvercle
480,Geschirr::N,vajilla,vaisselle
481,Sack::N,saco,sac
482,Tasse::N,taza,tasse
483,Topf::N,olla,pot
484,Topf::N,olla,marmite
485,Topf::N,marmita,pot
486,Topf::N,marmita,marmite
487,Kessel::N,caldera,chaudron
488,Essen::N,comida,repas
489,Essen::N,comida,manger
490,Nahrung::N,alimento,nourriture
491,Speise::N,plato,plat
492,Fleisch::N,carne,viande
493,Getreide::N,cereales,blé
494,Getreide::N,cereales,céréales
495,Brei::N,puré,purée
496,Brei::N,puré,bouillie
497,Brei::N,papilla,purée
498,Brei::N,papilla,bouillie
499,Brot::N,pan,pain
500,Scheibe::N,lonja,tranche
501,Scheibe::N,rebanada,tranche
502,Fett::N,grasa,graisse
503,Butter::N,mantequilla,beurre
504,Öl::N,aceite,huile
505,Salz::N,sal,sel
506,Suppe::N,sopa,soupe
507,Suppe::N,sopa,potage
508,Honig::N,miel,miel
509,Milch::N,leche,lait
510,Tee::N,té,thé
511,Leder::N,cuero,cuir
512,Wolle::N,lana,laine
513,Stoff::N,tela,tissu
514,Stoff::N,tela,étoffe
515,Stoff::N,tejido,tissu
516,Stoff::N,tejido,étoffe
517,Nadel::N,aguja,aiguille
518,Faden::N,hilo,fil
519,Knopf::N,botón,bouton
520,Knoten::N,nudo,nœud
521,Farbe::N,pintura,peinture
522,Kleidung::N,ropa,vêtements
523,Kleidung::N,ropa,habillement
524,Kleidung::N,vestidos,vêtements
525,Kleidung::N,vestidos,habillement
526,Hemd::N,camisa,chemise
527,Kragen::N,cuello,col
528,Ärmel::N,manga,manche
529,Hose::N,pantalón,pantalon
530,Gürtel::N,cinturón,ceinture
531,Mütze::N,gorro,bonnet
532,Mütze::N,gorro,casquette
533,Schuh::N,zapato,soulier
534,Schuh::N,zapato,chaussure
535,Stiefel::N,bota,botte
536,Ring::N,anillo,bague
537,Band::N,cinta,ruban
538,Kamm::N,peine,peigne
539,Spiegel::N,espejo,glace
540,Spiegel::N,espejo,miroir
541,Riemen::N,correa,lanière
542,Riemen::N,correa,courroie
543,Schnur::N,cuerda,corde
544,Schnur::N,cuerda,ficelle
545,Leine::N,correa,laisse
546,Decke::N,manta,couverture
547,Kissen::N,almohada,oreiller
548,Tuch::N,pañuelo,drap
549,Tuch::N,pañuelo,fichu
550,Handtuch::N,toalla,serviette
551,Handtuch::N,toalla,essuie-mains
552,Kraft::N,fuerza,force
553,Stärke::N,fuerza,vigueur
554,Gesundheit::N,salud,santé
555,Krankheit::N,enfermedad,maladie
556,Schmerz::N,dolor,douleur
557,Wunde::N,llaga,plaie
558,Wunde::N,llaga,blessure
559,Wunde::N,herida,plaie
560,Wunde::N,herida,blessure
561,Fieber::N,fiebre,fièvre
562,Arznei::N,medicina,remède
563,Arznei::N,medicina,médecine
564,Arznei::N,medicamento,remède
565,Arznei::N,medicamento,médecine
566,Brücke::N,puente,pont
567,Brunnen::N,pozo,puits
568,Weide::N,pasto,pâturage
569,Pfad::N,sendero,sentier
570,Weg::N,camino,voie
571,Weg::N,camino,chemin
572,Straße::N,vía,route
573,Straße::N,carretera,route
574,Dorf::N,aldea,village
575,Dorf::N,pueblo,village
576,Stadt::N,ciudad,cité
577,Stadt::N,ciudad,ville
578,Brief::N,carta,lettre
579,Buch::N,libro,livre
580,Buchstabe::N,letra,lettre
581,Buchstabe::N,letra,caractère
582,Buchstabe::N,carácter,lettre
583,Buchstabe::N,carácter,caractère
584,Zeitung::N,diario,journal
585,Zeitung::N,periódico,journal
586,Leben::N,vida,vie
587,Tod::N,muerte,mort
588,Grab::N,tumba,tombe
589,Grab::N,sepulcro,tombe
590,Kirche::N,iglesia,église
591,Sünde::N,pecado,péché
592,Gott::N,dios,dieu
593,Arbeiter::N,obrero,ouvrier
594,Arbeiter::N,obrero,travailleur
595,Arbeiter::N,trabajador,ouvrier
596,Arbeiter::N,trabajador,travailleur
597,Chef::N,jefe,chef
598,Chef::N,jefe,patron
599,Meister::N,maestro,maître
600,Arzt::N,médico,médecin
601,Lehrer::N,profesor,professeur
602,Lehrer::N,profesor,instituteur
603,Geld::N,dinero,argent
604,Geschäft::N,negocio,affaire
605,Geschäft::N,negocio,commerce
606,Laden::N,tienda,magasin
607,Laden::N,tienda,boutique
608,Preis::N,precio,prix
609,Ware::N,mercancía,marchandise
610,Nutzen::N,provecho,profit
611,Reichtum::N,riqueza,richesse
612,Welt::N,mundo,monde
613,Land::N,país,pays
614,Staat::N,Estado,État
615,König::N,rey,roi
616,Macht::N,poder,pouvoir
617,Macht::N,poder,puissance
618,Macht::N,potencia,pouvoir
619,Macht::N,potencia,puissance
620,Grenze::N,frontera,frontière
621,Krieg::N,guerra,guerre
622,Feind::N,enemigo,ennemi
623,Gewalt::N,violencia,violence
624,Kampf::N,lucha,lutte
625,Kampf::N,lucha,combat
626,Kampf::N,combate,lutte
627,Kampf::N,combate,combat
628,Bogen[Waffe]::N,arco,arc
629,Pfeil::N,flecha,flèche
630,Gewehr::N,fusil,fusil
631,Gewehr::N,escopeta,fusil
632,Fehler::N,error,faute
633,Fehler::N,error,erreur
634,Lüge::N,mentira,mensonge
635,Schaden::N,daño,dégât
636,Schaden::N,daño,dommage
637,Unglück::N,desgracia,malheur
638,Schuld::N,culpa,faute
639,Schuld::N,culpa,culpabilité
640,Alter::N,edad,âge
641,Schluss::N,fin,fin
642,Schluss::N,final,fin
643,Zeit::N,tiempo,temps
644,Tag::N,día,jour
645,Tag::N,día,journée
646,Morgen::N,mañana,matin
647,Morgen::N,mañana,matinée
648,Mittag::N,mediodía,midi
649,Abend::N,noche,soir
650,Abend::N,noche,soirée
651,Nacht::N,noche,nuit
652,Woche::N,semana,semaine
653,Monat::N,mes,mois
654,Jahr::N,año,an
655,Jahr::N,año,année
656,Frühling::N,primavera,printemps
657,Sommer::N,verano,été
658,Herbst::N,otoño,automne
659,Winter::N,invierno,hiver
660,Januar::N,enero,janvier
661,Februar::N,febrero,février
662,März::N,marzo,mars
663,April::N,abril,avril
664,Mai::N,mayo,mai
665,Juni::N,junio,juin
666,Juli::N,julio,juillet
667,August::N,agosto,août
668,September::N,septiembre,septembre
669,Oktober::N,octubre,octobre
670,November::N,noviembre,novembre
671,Dezember::N,diciembre,décembre
672,Montag::N,lunes,lundi
673,Dienstag::N,martes,mardi
674,Mittwoch::N,miércoles,mercredi
675,Donnerstag::N,jueves,jeudi
676,Freitag::N,viernes,vendredi
677,Samstag::N,sábado,samedi
678,Sonntag::N,domingo,dimanche
679,groß::A,grande,grand
680,klein::A,pequeño,petit
681,lang::A,largo,long
682,kurz::A,corto,court
683,breit::A,ancho,large
684,schmal::A,estrecho,étroit
685,dicht::A,denso,dense
686,dick[Gegenstand]::A,grueso,épais
687,dünn::A,fino,mince
688,dünn::A,delgado,mince
689,fein::A,fino,fin
690,fein::A,fino,menu
691,fein::A,delicado,fin
692,fein::A,delicado,menu
693,fest::A,firme,ferme
694,fest::A,firme,solide
695,fest::A,sólido,ferme
696,fest::A,sólido,solide
697,flach::A,plano,plat
698,glatt::A,liso,poli
699,glatt::A,liso,lisse
700,hart::A,duro,dur
701,weich::A,muelle,mou
702,rund::A,redondo,rond
703,spitz::A,agudo,aigu
704,spitz::A,agudo,pointu
705,spitz::A,apuntado,aigu
706,spitz::A,apuntado,pointu
707,scharf::A,agudo,tranchant
708,scharf::A,afilado,tranchant
709,stumpf::A,sin filo,mousse
710,stumpf::A,sin filo,émoussé
711,schwer::A,pesado,lourd
712,schwer::A,pesado,pesant
713,schön::A,bello,beau
714,schön::A,hermoso,beau
715,heiß::A,caluroso,chaud
716,heiß::A,caluroso,très chaud
717,warm::A,cálido,chaud
718,warm::A,caliente,chaud
719,kalt::A,frío,froid
720,kühl::A,fresco,frais
721,frisch::A,fresco,frais
722,feucht::A,húmedo,humide
723,nass::A,mojado,mouillé
724,trocken::A,seco,sec
725,voll::A,lleno,plein
726,voll::A,lleno,rempli
727,leer::A,vacío,vide
728,offen::A,abierto,ouvert
729,geschlossen::A,cerrado,clos
730,geschlossen::A,cerrado,fermé
731,sauber::A,limpio,net
732,sauber::A,limpio,propre
733,schmutzig::A,sucio,sale
734,schmutzig::A,sucio,crasseux
735,roh::A,crudo,cru
736,roh::A,crudo,brut
737,reif::A,maduro,mûr
738,lecker::A,rico,délicieux
739,lecker::A,rico,appétissant
740,lecker::A,sabroso,délicieux
741,lecker::A,sabroso,appétissant
742,süß::A,dulce,doux
743,bitter::A,amargo,amer
744,sauer::A,agrio,aigre
745,hell::A,claro,clair
746,dunkel::A,oscuro,sombre
747,schwarz::A,negro,noir
748,weiß::A,blanco,blanc
749,rot::A,rojo,rouge
750,gelb::A,amarillo,jaune
751,blau::A,azul,bleu
752,grün::A,verde,vert
753,grau::A,gris,gris
754,bunt::A,multicolor,multicolore
755,billig::A,barato,bon marché
756,teuer::A,caro,cher
757,wertvoll::A,valioso,précieux
758,wertvoll::A,precioso,précieux
759,blind::A,ciego,aveugle
760,taub::A,sordo,sourd
761,kräftig::A,fuerte,fort
762,kräftig::A,fuerte,vigoureux
763,stark::A,fuerte,fort
764,stark::A,fuerte,puissant
765,stark::A,vigoroso,fort
766,stark::A,vigoroso,puissant
767,schwach::A,débil,faible
768,fett::A,obeso,gras
769,schlank::A,esbelto,svelte
770,hübsch::A,mono,joli
771,hübsch::A,guapo,joli
772,böse::A,malo,mauvais
773,dumm::A,tonto,sot
774,dumm::A,tonto,bête
775,dumm::A,estúpido,sot
776,dumm::A,estúpido,bête
777,faul::A,vago,fainéant
778,faul::A,vago,paresseux
779,faul::A,perezoso,fainéant
780,faul::A,perezoso,paresseux
781,fleißig::A,aplicado,appliqué
782,fleißig::A,diligente,appliqué
783,geizig::A,avaro,avare
784,klug::A,sensato,intelligent
785,klug::A,inteligente,intelligent
786,geschickt::A,hábil,habile
787,lieb::A,querido,cher
788,lieb::A,querido,gentil
789,lustig::A,alegre,gai
790,lustig::A,alegre,joyeux
791,sanft::A,suave,doux
792,hungrig::A,hambriento,affamé
793,krank::A,enfermo,malade
794,nackt::A,desnudo,nu
795,traurig::A,triste,triste
796,lebendig::A,vivo,vivant
797,lebendig::A,viviente,vivant
798,gut::A,bueno,bon
799,schlecht::A,malo,mauvais
800,richtig::A,justo,juste
801,richtig::A,justo,correct
802,richtig::A,correcto,juste
803,richtig::A,correcto,correct
804,schlimm::A,malo,grave
805,schlimm::A,malo,mauvais
806,schlimm::A,grave,grave
807,schlimm::A,grave,mauvais
808,wahr::A,verídico,vrai
809,wahr::A,verídico,véritable
810,wahr::A,verdadero,vrai
811,wahr::A,verdadero,véritable
812,alt::A,viejo,vieux
813,neu::A,nuevo,neuf
814,neu::A,nuevo,nouveau
815,ehemalig::A,antiguo,ancien
816,alt[Lebewesen]::A,viejo,âgé
817,alt[Lebewesen]::A,viejo,vieux
818,jung::A,joven,jeune
819,arm::A,pobre,pauvre
820,reich::A,rico,riche
821,bekannt::A,conocido,connu
822,berühmt::A,famoso,fameux
823,berühmt::A,famoso,célèbre
824,berühmt::A,célebre,fameux
825,berühmt::A,célebre,célèbre
826,fremd::A,extraño,étranger
827,verschieden::A,diverso,différent
828,verschieden::A,distinto,différent
829,verschieden::A,diferente,différent
830,nah::A,cercano,lié
831,nah::A,cercano,proche
832,fern::A,lejano,éloigné
833,fern::A,lejano,lointain
834,linker::A,izquierdo,gauche
835,rechter::A,derecho,droit
836,anderer::A,otro,autre
837,erster::A,primero,premier
838,zweiter::A,segundo,second
839,zweiter::A,segundo,deuxième
840,dritter::A,tercero,troisième
841,letzter::A,último,dernier
842,allein::ADV,a solo,seul
843,auf einmal::ADV,de una vez,à la fois
844,zusammen::ADV,juntos,ensemble
845,lange::ADV,mucho tiempo,longtemps
846,plötzlich::ADV,de repente,tout à coup
847,sofort::ADV,en seguida,immédiatement
848,später::ADV,más tarde,plus tard
849,jetzt::ADV,ahora,maintenant
850,heute::ADV,hoy,aujourd'hui
851,morgen::ADV,mañana,demain
852,bald::ADV,pronto,bientôt
853,bald::ADV,en breve,bientôt
854,dann::ADV,luego,puis
855,dann::ADV,luego,ensuite
856,dann::ADV,entonces,puis
857,dann::ADV,entonces,ensuite
858,gestern::ADV,ayer,hier
859,einst::ADV,antaño,jadis
