,Concept_ID,sah,lbe
196,Beere::N,отон,хӏаллил ахъулсса
197,Apfel::N,яблоко,гьивч
198,Pilz::N,тэллэй,ттуккул иис
199,Zwiebel::N,луук,лаччул чсмусул бакӏ
200,Saat::N,сиэмэ,гьанна
201,Korn::N,сиэмэ,къама
202,Heu::N,от,ххулув
203,Schale::N,хах,ккиртту
204,Grube::N,дьаама,кӏаланг
205,Falle::N,сохсо,къатӏа
206,Schlinge::N,уктаа,хӏатӏ
207,Spur::N,суол,ша
208,Asche::N,күл,лах
209,Dreck::N,бадараан,кьяркьи
210,Dreck::N,бадараан,венп
211,Eisen::N,тимир,мах
212,Gold::N,көмүс,муси
213,Gold::N,кыһыл көмүс,муси
214,Silber::N,көмүс,арцу
215,Silber::N,үрүҥ көмүс,арцу
216,Kohle::N,чох,кӏалаш
217,Kohle::N,чох,хъуручӏ
218,Glas::N,өстүөкүлэ,пюрун
219,Lehm::N,туой,сина аьрщи
220,Sand::N,кумах,къун
221,Mensch::N,киһи,инсан
222,Mann::N,эр,чув
223,Mann::N,эр,адимина
224,Frau::N,дьахтар,щарсса
225,Frau::N,дьахтар,хъамитайпа
226,Kind::N,оҕо,чӏиви оьрчӏ
227,Junge::N,уол,оьрчӏ
228,Junge::N,уол,бурхьин оьрчӏ
229,Mädchen::N,кыыс оҕо,душ
230,Familie::N,кэргэн,кулпат
231,Großvater::N,эһэ,ттатта
232,Großvater::N,эһэ,ниттил ппу
233,Großmutter::N,эбэ,буттал нину
234,Eltern::N,аҕа-ийэ,нину-ппу
235,Vater::N,аҕа,ппу
236,Mutter::N,ийэ,нину
237,Sohn::N,уол,арс
238,Tochter::N,кыыс,душ
239,Bruder::N,убай,уссу
240,Bruder::N,быраат,уссу
241,Schwester::N,аҕас,ссу
242,Schwester::N,балыс,ссу
243,Onkel::N,таай,буттауссу
244,Onkel::N,абаҕа,буттауссу
245,Tante::N,эдьиий,буттал ссу
246,Ehemann::N,эр,лас
247,Ehefrau::N,ойох,щар
248,Ehefrau::N,ойох,щарсса
249,Freude::N,үөрүү,шадшиву
250,Freude::N,үөрүү,ххаришиву
251,Gelächter::N,күлүү,хъяхъаву
252,Glück::N,дьол,талихӏ
253,Glück::N,соргу,талихӏ
254,Kummer::N,кутурҕан,дард
255,Wunsch::N,баҕарыы,мурад
256,Lust::N,баҕа,гьавас
257,Lust::N,баҕа,ччаву
258,Geist::N,тыын,рухӏ
259,Gedanke::N,санаа,пикри
260,Gedächtnis::N,өй,дакӏний личӏаву
261,Verstand::N,өй,аькьлу
262,Sinn::N,суолта,мяъна
263,Grund::N,төрүөт,багьана
264,Wahrheit::N,кырдьык,тӏайламур
265,Wahrheit::N,кырдьык,хӏакьмур
266,Gespräch::N,бэсиэдэ,ихтилат
267,Gespräch::N,кэпсэтии,ихтилат
268,Märchen::N,остуоруйа,магьа
269,Erzählung::N,кэпсээн,хавар
270,Nachricht::N,биллэриллии,хавар
271,Neuigkeit::N,сонун,хавар
272,Name::N,аат,цӏа
273,Rätsel::N,таабырын,ссигьа
274,Rede::N,этии,гъалгъа
275,Sprache::N,тыл,маз
276,Stimme::N,куолас,чӏу
277,Stimme::N,куолас,чӏукӏа
278,Wort::N,тыл,махъ
279,Zeichen::N,бэлиэ,лишан
280,Ruf::N,ыҥырыы,
281,Lärm::N,айдаан,чӏу
282,Laut::N,тыас,чӏу
283,Ton::N,дорҕоон,чӏу
284,Lied::N,ырыа,балай
285,Ruhe::N,уу чуумпу,дигьалагру
286,Leute::N,дьон,инсантал
287,Volk::N,дьон,ил
288,Volk::N,дьон,халкь
289,Volk::N,норуот,ил
290,Volk::N,норуот,халкь
291,Arbeit::N,үлэ,заву
292,Gast::N,ыалдьыт,хъамаличу
293,Geschenk::N,бэлэх,бухчакарши
294,Geschenk::N,бэлэх,лажинккакку
295,Spiel::N,оонньуу,тӏуркӏу
296,Gesellschaft::N,общество,жямат
297,Gesellschaft::N,общество,ккуран
298,Hilfe::N,көмө,кумаг
299,Freund::N,доҕор,дус
300,Kamerad::N,атас,хӏаласу
301,Angelegenheit::N,дьыала,иш
302,Anzahl::N,ахсаан,аьдад
303,Art::N,биис,жинс
304,Stück::N,кырбас,касак
305,Teil::N,ирээт,бутӏа
306,Hälfte::N,аҥар,дачӏи
307,Kreis::N,төгүрүк,кюрщан
308,Kreis::N,төгүрүмтэ,кюрщан
309,Kreuz::N,кириэс,ххач
310,Linie::N,сурааһын,щва
311,Strich::N,сурааһын,щва
312,Abstand::N,арыт,манзил
313,Entfernung::N,ыраах,манзил
314,Gegend::N,сир,кӏану
315,Platz::N,арыт,
316,Ort::N,сир,кӏану
317,Seite::N,өрүт,чул
318,Seite::N,өрүт,чулухалу
319,Seite::N,сирэй,чул
320,Seite::N,сирэй,чулухалу
321,Mitte::N,орто,дя
322,Gegenstand::N,предмет,зат
323,Sache::N,мал,зат
324,Rand::N,кытыы,зума
325,Rand::N,ойоҕос,зума
326,Kante::N,кырыы,
327,Ecke::N,муннук,мурцӏу
328,Spitze::N,чыпчаал,мицӏ
329,Ende::N,төбө,зума
330,Loch::N,тэһэҕэс,ккутӏ
331,Loch::N,дьөлөҕөс,ккутӏ
332,Winkel::N,муннук,мурцӏу
333,Muster::N,оһуор,накьич
334,Größe::N,кээмэй,
335,Länge::N,уста,лахъишиву
336,Höhe::N,үрдүк,лахъшиву
337,Gewicht::N,ыйааһын,дуццин
338,Gewicht::N,ыйааһын,кӏушиву
339,Menge::N,ахсаан,
340,Haufen::N,чөмчөх,бакӏу
341,Reihe::N,кэккэ,кьюкьа
342,Boot::N,оҥочо,луткка
343,Ruder::N,эрдии,весло
344,Ruder::N,эрдии,чӏатӏа
345,Schlitten::N,сыарҕа,чана
346,Schlitten::N,сыарҕа,санкка
347,Ski::N,хайыһар,лижарду
348,Lagerfeuer::N,кутаа,къавтӏн
349,Last::N,ыарахан,гьиву
350,Gang::N,хаамыы,нанаву
351,Schritt::N,хардыы,ша
352,Norden::N,хоту,ухссав
353,Norden::N,хоту,ухссавнил чулухалу
354,Süden::N,соҕуруу,кьилва
355,Westen::N,арҕаа,баргълагавал
356,Westen::N,арҕаа,баргълагавал чул
357,Osten::N,илин,баргъбуккай чулухалу
358,Holz::N,мас,тӏама
359,Brett::N,дуоска,тахта
360,Brett::N,хаптаһын,тахта
361,Platte::N,билиитэ,гъуни
362,Stütze::N,тулааһын,гьалакӏу
363,Stange::N,ураҕас,къазихъ
364,Stock::N,мас,ттархь
365,Stock::N,баалкы,ттархь
366,Stab::N,ураҕас,ччантӏакъу
367,Rohr::N,турба,бургъу
368,Haus::N,дьиэ,къатта
369,Heim::N,дьиэ,къатта
370,Ofen::N,оһох,пач
371,Fußboden::N,муоста,чӏанкъатта
372,Tisch::N,остуол,усттул
373,Stuhl::N,устуул,кӏану
374,Wiege::N,биһик,оьрчӏал кӏану
375,Bett::N,кырабаат,тах
376,Regal::N,долбуур,чӏаму
377,Kiste::N,дьааһык,яшикӏ
378,Kiste::N,дьааһык,къурши
379,Fenster::N,түннүк,чӏавахьулу
380,Tür::N,аан,нуз
381,Tür::N,аан,нузкьун
382,Tor::N,аан,къапу
383,Tor::N,аан,дарваза
384,Zaun::N,соппулуот,дайгьузанну
385,Dach::N,кырыыса,магъи
386,Dach::N,кырыыса,цӏиялу
387,Leiter::N,кирилиэс,чуртту
388,Besen::N,миинньик,чӏатлу
389,Spaten::N,күрдьэх,бил
390,Schaufel::N,күрдьэх,чӏатӏа
391,Gabel::N,биилкэ,гьиссилу
392,Löffel::N,луоска,къуса
393,Messer::N,быһах,чӏила
394,Nagel::N,тоһоҕо,мяр
395,Netz::N,илим,къери
396,Haken::N,көхө,къича
397,Griff::N,ук,куяму
398,Griff::N,тутаах,куяму
399,Schloss::N,күлүүс,кьункьула
400,Bild::N,хартыына,сурат
401,Figur::N,фигура,
402,Puppe::N,куукула,ссихьу
403,Beutel::N,мөһөөччук,чантай
404,Bündel::N,баайыы,гьи
405,Bündel::N,баайыы,къар
406,Tasche::N,суумка,
407,Eimer::N,биэдэрэ,бадра
408,Deckel::N,хаппах,къапаза
409,Geschirr::N,иһит,пюрунчӏул
410,Geschirr::N,иһит,тӏахӏникӏичӏу
411,Sack::N,куул,къап
412,Sack::N,куул,дарваг
413,Tasse::N,сэлиэнэй,пижан
414,Tasse::N,сэлиэнэй,пинжан
415,Tasse::N,сэлиэнэй,инкираччатӏи
416,Tasse::N,сэлиэнэй,цинцилттал бушкъап
417,Topf::N,көстүрүүҥкэ,кӏункӏур
418,Kessel::N,хочуол,чаг
419,Kessel::N,хочуол,кӏункӏур
420,Essen::N,аһылык,дукия
421,Essen::N,аһылык,дукин
422,Nahrung::N,ас,дукра
423,Speise::N,аһылык,дукра
424,Fleisch::N,эт,дикӏ
425,Getreide::N,злактар,къама
426,Brei::N,хааһы,ккурч
427,Brot::N,килиэп,ччатӏ
428,Scheibe::N,куһуок,парча
429,Fett::N,сыа,аьгъушиву
430,Butter::N,арыы,нагь
431,Butter::N,арыы,лагаву
432,Öl::N,арыы,
433,Salz::N,туус,цӏву
434,Suppe::N,мин,накь
435,Honig::N,мүөт,ницӏ
436,Milch::N,үүт,накӏ
437,Tee::N,чэй,чяй
438,Leder::N,тирии,бурчу
439,Wolle::N,түү,ппал
440,Stoff::N,таҥас,янна
441,Nadel::N,иннэ,ххалаххи
442,Faden::N,сап,ххал
443,Knopf::N,тимэх,банд
444,Knoten::N,түмүк,къурхъ
445,Farbe::N,кырааска,сир
446,Kleidung::N,таҥас,янна
447,Kleidung::N,таҥас,лаххия
448,Hemd::N,ырбаахы,гьухъа
449,Kragen::N,саҕа,дарвач
450,Ärmel::N,сиэх,кахха
451,Hose::N,ыстаан,хӏажак
452,Hose::N,бүрүүкэ,хӏажак
453,Gürtel::N,кур,мухӏлу
454,Mütze::N,бэргэһэ,кьяпа
455,Schuh::N,бачыыҥка,
456,Stiefel::N,саппыкы,чакма
457,Ring::N,биһилэх,кӏисса
458,Band::N,лиэнтэ,линт
459,Kamm::N,тараах,ттарал
460,Spiegel::N,сиэркилэ,дагьани
461,Riemen::N,кур,эн
462,Schnur::N,быа,хьхьа
463,Leine::N,тэһиин,
464,Decke::N,суорҕан,виргъан
465,Kissen::N,сыттык,кӏаралу
466,Tuch::N,былаат,карщи
467,Handtuch::N,соттор,калихьу
468,Handtuch::N,соттор,лажинлихьу
469,Kraft::N,сыра,эллаж
470,Stärke::N,күүс,гуж
471,Gesundheit::N,доруобуйа,цӏуллу-сагъшиву
472,Krankheit::N,ыарыы,къашайшиву
473,Schmerz::N,ыарыы,къюву
474,Wunde::N,баас,щаву
475,Fieber::N,түрүлгэн,кӏиришиву
476,Fieber::N,лихорадка,кӏиришиву
477,Fieber::N,температура,кӏиришиву
478,Arznei::N,эмп,дару
479,Brücke::N,күргэ,ламу
480,Brunnen::N,холуодьас,къуй
481,Weide::N,мэччирэҥ,бизантту
482,Pfad::N,ыллык,жегъир ххуллу
483,Weg::N,суол,ххуллу
484,Straße::N,суол,ххуллу
485,Dorf::N,дэриэбинэ,щар
486,Dorf::N,дэриэбинэ,шяравалу
487,Stadt::N,куорат,шагьру
488,Brief::N,сурук,чагъар
489,Buch::N,кинигэ,лу
490,Buchstabe::N,буква,хӏарп
491,Zeitung::N,хаһыат,кказит
492,Leben::N,тыын,оьрму
493,Tod::N,өлүү,ажал
494,Tod::N,өлүү,бивкӏу
495,Tod::N,өлүү,ивчӏаву
496,Grab::N,иин,гьав
497,Kirche::N,таҥара дьиэтэ,килиса
498,Sünde::N,айыы,бунагъ
499,Gott::N,тангара,зал
500,Arbeiter::N,үлэһит,зузала
501,Chef::N,баһылык,ялувма
502,Chef::N,начальник,ялувма
503,Meister::N,уус,усттар
504,Meister::N,маастар,усттар
505,Arzt::N,врач,хӏакин
506,Lehrer::N,учуутал,учитель
507,Geld::N,харчы,арцу
508,Geschäft::N,идэ,даву
509,Laden::N,маҕаһыын,ттучан
510,Preis::N,сыана,багъа
511,Ware::N,табаар,хъус
512,Nutzen::N,туһа,хайр
513,Nutzen::N,туһа,мюнпат
514,Reichtum::N,баай,давлат
515,Reichtum::N,баай,аваданшиву
516,Welt::N,аан дойду,дуниял
517,Land::N,дойду,билаят
518,Staat::N,государство,паччахӏлугъ
519,König::N,король,
520,Macht::N,былаас,власть
521,Grenze::N,кыраныысса,дазу
522,Krieg::N,сэрии,дяъви
523,Feind::N,өстөөх,душман
524,Gewalt::N,күүһүлээһин,къия
525,Kampf::N,охсуһуу,лачӏуи уккаву
526,Bogen[Waffe]::N,ох,ккуртта
527,Pfeil::N,ох,чӏатӏаракӏ
528,Gewehr::N,саа,ттупанг
529,Fehler::N,сыыһа,гъалатӏ
530,Lüge::N,сымыйа,щялмахъ
531,Schaden::N,хоромньу,зарал
532,Unglück::N,алдьархай,бала
533,Schuld::N,буруй,тахсир
534,Alter::N,саас,оьрму
535,Schluss::N,тиһэх,ахир
536,Zeit::N,бириэмэ,чӏун
537,Tag::N,күн,кьини
538,Morgen::N,сарсыарда,кӏюрх
539,Mittag::N,күн ортото,ахттайн
540,Mittag::N,күн ортото,дяахттайн
541,Mittag::N,күн ортото,ахттайн чӏун
542,Abend::N,киэһэ,маркӏачӏан
543,Nacht::N,түүн,хьхьу
544,Woche::N,нэдиэлэ,нюжмар
545,Monat::N,ый,барз
546,Jahr::N,сыл,шин
547,Jahr::N,дьыл,шин
548,Frühling::N,саас,инт
549,Sommer::N,сайын,гъи
550,Herbst::N,күһүн,ссут
551,Winter::N,кыһын,кӏи
552,Januar::N,тохсунньу,цалчинмур барз
553,Februar::N,олунньу,кӏилчинмур барз
554,März::N,кулун тутар,шамилчинмур барз
555,April::N,муус устар ый,апрель
556,April::N,муус устар ый,мукьилчинмур барз
557,Mai::N,ыам ыйа,май
558,Mai::N,ыам ыйа,ххюлчинмур барз
559,Juni::N,бэс ыйа,июнь
560,Juni::N,бэс ыйа,ряххилчинмур барз
561,Juli::N,от ыйа,июль
562,Juli::N,от ыйа,Арулчинмур барз
563,August::N,атырдьах ыйа,мяйлчинмур барз
564,September::N,балаҕан ыйа,урчӏилчинмур барз
565,Oktober::N,алтынньы,ацӏилчинмур барз
566,November::N,сэтинньи,ацӏния цалчинмур барз
567,Dezember::N,ахсынньы,ацӏния кӏилчинмур барз
568,Montag::N,бэнидиэнньик,итин
569,Montag::N,бэнидиэнньик,итин кьини
570,Dienstag::N,оптуорунньук,тталат
571,Dienstag::N,оптуорунньук,тталат кьини
572,Mittwoch::N,сэрэдэ,арвахӏ
573,Donnerstag::N,чэппиэр,хамис
574,Freitag::N,бээтинсэ,нюжмар
575,Freitag::N,бээтинсэ,нюжмар кьини
576,Samstag::N,субуота,ххуллун
577,Samstag::N,субуота,ххуллун кьини
578,Sonntag::N,баскыһыанньа,алхӏат
579,Sonntag::N,баскыһыанньа,алхӏат кьини
580,groß::A,бөдөҥ,бугъарасса
581,groß::A,улахан,бугъарасса
582,klein::A,кыр,чӏивисса
583,lang::A,уһун,лахъисса
584,kurz::A,кылгас,кутӏасса
585,breit::A,кэтит,уттасса
586,schmal::A,кыараҕас,уттакӏюласса
587,dicht::A,хойуу,ццунсса
588,dick[Gegenstand]::A,суон,ганзсса
589,dick[Gegenstand]::A,хойуу,ганзсса
590,dünn::A,чараас,кӏюласса
591,fein::A,бытархай,
592,fein::A,синньигес,
593,fest::A,бөҕө,цӏакьсса
594,fest::A,бөҕө,кьянкьасса
595,fest::A,кытаанах,цӏакьсса
596,fest::A,кытаанах,кьянкьасса
597,flach::A,хаптаҕай,баягъисса
598,flach::A,хаптаҕай,цӏубакъасса
599,flach::A,хаптаҕай,куртӏ дакъасса
600,glatt::A,кылааккай,дюрчӏусса
601,hart::A,хатан,кьянкьасса
602,hart::A,кытаанах,кьянкьасса
603,weich::A,сымнаҕас,кӏукӏлусса
604,rund::A,төгүрүк,ккурккисса
605,spitz::A,сытыы,ярксса
606,spitz::A,сытыы,дайлсса
607,spitz::A,сытыы,мицӏ бусса
608,spitz::A,уһуктаах,ярксса
609,spitz::A,уһуктаах,дайлсса
610,spitz::A,уһуктаах,мицӏ бусса
611,scharf::A,сытыы,ярксса
612,scharf::A,сытыы,дайлсса
613,scharf::A,сытыы,мицӏ бусса
614,stumpf::A,сыппах,къуркъасса
615,schwer::A,ыарахан,кӏусса
616,schön::A,кыраһыабай,аьнтӏикӏасса
617,heiß::A,итии,кӏирисса
618,warm::A,ичигэс,гъелисса
619,kalt::A,тымныы,дяркъусса
620,kühl::A,сөрүүн,дюхлулсса
621,frisch::A,ыраас,цӏусса
622,frisch::A,сөрүүн,цӏусса
623,frisch::A,тымныы,цӏусса
624,feucht::A,сииктээх,атилсса
625,feucht::A,сииктээх,хъавтусса
626,nass::A,инчэҕэй,атилсса
627,nass::A,инчэҕэй,хъавтусса
628,trocken::A,кураан,кьавкьсса
629,trocken::A,кураан,кьакьан бувсса
630,voll::A,толору,бувцӏусса
631,leer::A,иччитэх,бачӏвасса
632,offen::A,аһаҕас,тӏивтӏусса
633,geschlossen::A,бүтэй,лавкьусса
634,sauber::A,сэбэр,марцӏсса
635,schmutzig::A,кирдээх,чапалсса
636,roh::A,сиикэй,шакъавхьсса
637,reif::A,буспут,дирсса
638,reif::A,сиппит-хоппут,дирсса
639,lecker::A,минньигэс,нахӏусса
640,lecker::A,минньигэс,тӏааьнсса
641,süß::A,минньигэс,нацӏусса
642,bitter::A,аһыы,кьурчӏисса
643,sauer::A,аһыы,туршсса
644,hell::A,сырдык,чаннасса
645,dunkel::A,хараҥа,цӏансса
646,schwarz::A,хара,лухӏисса
647,weiß::A,үрүҥ,кӏяласса
648,weiß::A,маҥан,кӏяласса
649,rot::A,кыһыл,ятӏулсса
650,gelb::A,саһархай,хъахъисса
651,blau::A,күөх,някӏсса
652,grün::A,күөх,щюлисса
653,grün::A,от күөҕэ,щюлисса
654,grau::A,сиэрэй,оьрусса
655,bunt::A,эриэн,оьрчӏикӏурисса
656,billig::A,чэпчэки,кьювкьусса
657,teuer::A,сыаналаах,ххирасса
658,wertvoll::A,сыаналаах,багьасса
659,blind::A,хараҕа суох,мурчӏисса
660,taub::A,дьүлэй,къюкӏсса
661,kräftig::A,модун,гужсса
662,stark::A,күүстээх,кьянкьасса
663,schwach::A,мөлтөх,заэвсса
664,fett::A,эмис,бучсса
665,schlank::A,дьылҕан,бювхъусса
666,schlank::A,дьыпсаҕай,бювхъусса
667,hübsch::A,олус кэрэ,янусса
668,hübsch::A,көрүөхтэн үчүгэй,янусса
669,böse::A,өһүөннээх,оьсса
670,dumm::A,акаары,ахӏмакьсса
671,faul::A,нэс,танмалсса
672,faul::A,нэс,курчӏилсса
673,fleißig::A,кыһамньылаах,хӏарачат бусса
674,geizig::A,иҥсэлээх,янттарцӏансса
675,klug::A,өйдөөх,аькьлу бусса
676,geschickt::A,наһаа дьоҕурдаах,паргалсса
677,lieb::A,тапталлаах,аьзизсса
678,lustig::A,көрдөөх,тяхъасса
679,sanft::A,намчы,иминсса
680,sanft::A,сымнаҕас,иминсса
681,hungrig::A,аччык,ккашилсса
682,krank::A,ыалдьар,къашавайсса
683,nackt::A,сыгынньах,кӏачӏасса
684,traurig::A,санаарҕабыллаах,пашмансса
685,lebendig::A,тыыннаах,уттавасса
686,gut::A,үтүө,ххуйсса
687,gut::A,үчүгэй,ххуйсса
688,schlecht::A,куһаҕан,оьккисса
689,richtig::A,сөп,саргъунсса
690,schlimm::A,сидьиҥ,оьккисса
691,schlimm::A,быдьар,оьккисса
692,wahr::A,кырдьык,хӏакьсса
693,alt::A,былыргы,кугьнасса
694,neu::A,саҥа,цӏусса
695,ehemalig::A,урукку,хъхъичӏвасса
696,alt[Lebewesen]::A,кырдьаҕас,агьилсса
697,jung::A,эдэр,чӏавасса
698,jung::A,эдэр,жагьилсса
699,arm::A,дьадаҥы,мискинсса
700,reich::A,баай,авадансса
701,bekannt::A,билэр,дусъсса
702,berühmt::A,аатырбыт,машгьурсса
703,fremd::A,атын,чил
704,verschieden::A,араас,личӏи-личӏисса
705,nah::A,чугас,гъансса
706,fern::A,ыраах,архсса
707,linker::A,хаҥас,кияхсса
