,Concept_ID,pt,ja
109,Hügel::N,colina,丘
110,Anhöhe::N,alto,高み
111,Anhöhe::N,outeiro,高み
112,Berg::N,monte,山
113,Berg::N,montanha,山
114,Gipfel::N,pico,頂上
115,Höhle::N,caverna,洞窟
116,Abhang::N,encosta,斜面
117,Quelle::N,fonte,泉
118,Bach::N,regato,小川
119,Bach::N,ribeiro,小川
120,Fluss::N,rio,川
121,Ufer::N,beira,岸
122,Küste::N,costa,海岸
123,Festland::N,terra firme,陸
124,Meer::N,mar,海
125,Bucht::N,baía,湾
126,Insel::N,ilha,島
127,Blume::N,flor,花
128,Gras::N,erva,草
129,Wurzel::N,raiz,根
130,Baum::N,árvore,木
131,Stamm::N,tronco,幹
132,Rinde::N,casca,皮層
133,Ast::N,ramo,枝
134,Zweig::N,galho,小枝
135,Blatt::N,folha,葉
136,Birke::N,bétula,樺
137,Kiefer[Baum]::N,pinheiro,松
138,Weide[Baum]::N,salgueiro,柳
139,Tanne::N,abeto,樅
140,Horn::N,corno,角
141,Horn::N,chifre,角
142,Feder::N,pena,羽根
143,Fell::N,pele,毛皮
144,Flügel::N,asa,羽
145,Klaue::N,pata,鉤爪
146,Kralle::N,unha,爪
147,Kralle::N,garra,爪
148,Schwanz::N,rabo,尻尾
149,Schwanz::N,cauda,尻尾
150,Ei::N,ovo,卵
151,Nest::N,ninho,巣
152,Bau::N,toca,穴
153,Bau::N,covil,穴
154,Tier::N,animal,動物
155,Herde::N,rebanho,群れ
156,Kuh::N,vaca,牛
157,Bulle::N,touro,雄牛
158,Pferd::N,cavalo,馬
159,Schaf::N,ovelha,羊
160,Schwein::N,porco,豚
161,Hund::N,cão,犬
162,Katze::N,gata,猫
163,Bär::N,urso,熊
164,Eichhörnchen::N,esquilo,栗鼠
165,Elch::N,alce,ヘラジカ
166,Fuchs::N,raposa,狐
167,Hase::N,lebre,兎
168,Maus::N,rato,鼠
169,Wolf::N,lobo,狼
170,Vogel::N,ave,鳥
171,Vogel::N,pássaro,鳥
172,Schwarm::N,bando,群れ
173,Schwarm::N,enxame,群れ
174,Huhn::N,galinha,鶏
175,Hahn::N,galo,雄鶏
176,Gans::N,ganso,ガチョウ
177,Adler::N,águia,鷲
178,Ente::N,pata,鴨
179,Eule::N,mocho,フクロウ
180,Eule::N,coruja,フクロウ
181,Kranich::N,grou,鶴
182,Krähe::N,gralha,烏
183,Kuckuck::N,cuco,郭公
184,Schwan::N,cisne,白鳥
185,Fisch::N,peixe,魚
186,Barsch::N,perca,鱸
187,Hecht::N,lúcio,川魳
188,Schlange[Tier]::N,serpente,蛇
189,Wurm::N,verme,虫
190,Spinne::N,aranha,蜘蛛
191,Ameise::N,formiga,蟻
192,Laus::N,piolho,虱
193,Mücke::N,mosquito,蚊
194,Fliege::N,mosca,蝿
195,Schmetterling::N,borboleta,蝶
196,Beere::N,bago,漿果
197,Apfel::N,maçã,林檎
198,Pilz::N,fungo,茸
199,Pilz::N,cogumelo,茸
200,Zwiebel::N,cebola,玉葱
201,Saat::N,sementeira,種
202,Korn::N,grão,粒
203,Heu::N,feno,干し草
204,Schale::N,casca,皮
205,Grube::N,cova,穴
206,Grube::N,fossa,穴
207,Falle::N,armadilha,わな
208,Schlinge::N,laço,輪
209,Spur::N,pista,跡
210,Spur::N,vestígio,跡
211,Asche::N,cinza,灰
212,Dreck::N,sujidade,泥
213,Eisen::N,ferro,鉄
214,Gold::N,ouro,金
215,Silber::N,prata,銀
216,Kohle::N,carvão,炭
217,Glas::N,vidro,ガラス
218,Lehm::N,barro,ローム
219,Lehm::N,argila,ローム
220,Sand::N,areia,砂
221,Mensch::N,homem,人
222,Mensch::N,pessoa,人
223,Mann::N,homem,男
224,Mann::N,homem,男性
225,Frau::N,mulher,女
226,Frau::N,mulher,女性
227,Kind::N,filho,子
228,Kind::N,filho,子供
229,Kind::N,criança,子
230,Kind::N,criança,子供
231,Junge::N,rapaz,男の子
232,Junge::N,menino,男の子
233,Mädchen::N,menina,女の子
234,Mädchen::N,rapariga,女の子
235,Familie::N,família,家族
236,Großvater::N,avô,祖父
237,Großvater::N,avô,おじいさん
238,Großmutter::N,avó,祖母
239,Großmutter::N,avó,おばあさん
240,Eltern::N,pais,親
241,Eltern::N,pais,両親
242,Vater::N,pai,父
243,Vater::N,pai,お父さん
244,Mutter::N,mãe,母
245,Mutter::N,mãe,お母さん
246,Sohn::N,filho,息子
247,Sohn::N,filho,息子さん
248,Tochter::N,filha,娘
249,Tochter::N,filha,お嬢さん
250,Bruder::N,irmão,弟
251,Schwester::N,irmã,妹
252,Onkel::N,tio,伯父
253,Onkel::N,tio,伯父さん
254,Tante::N,tia,叔母
255,Tante::N,tia,叔母さん
256,Ehemann::N,esposo,夫
257,Ehemann::N,esposo,主人
258,Ehefrau::N,esposa,妻
259,Ehefrau::N,esposa,奥さん
260,Freude::N,prazer,喜び
261,Freude::N,alegria,喜び
262,Gelächter::N,risada,笑い
263,Gelächter::N,gargalhada,笑い
264,Glück::N,felicidade,幸せ
265,Kummer::N,aflição,悩み
266,Kummer::N,desgosto,悩み
267,Wunsch::N,desejo,希望
268,Lust::N,vontade,気
269,Geist::N,mente,精神
270,Geist::N,espírito,精神
271,Gedanke::N,ideia,考え
272,Gedanke::N,pensamento,考え
273,Gedächtnis::N,memória,記憶
274,Verstand::N,razão,理解力
275,Verstand::N,inteligência,理解力
276,Sinn::N,sentido,意味
277,Sinn::N,significado,意味
278,Grund::N,causa,理由
279,Grund::N,motivo,理由
280,Wahrheit::N,verdade,真実
281,Gespräch::N,conversa,会話
282,Gespräch::N,conversação,会話
283,Märchen::N,conto,童話
284,Erzählung::N,conto,物語
285,Erzählung::N,narrativa,物語
286,Nachricht::N,mensagem,報告
287,Neuigkeit::N,notícia,ニュース
288,Neuigkeit::N,novidade,ニュース
289,Name::N,nome,名前
290,Rätsel::N,adivinha,謎
291,Rede::N,oração,演説
292,Rede::N,discurso,演説
293,Sprache::N,língua,言語
294,Stimme::N,voz,声
295,Wort::N,palavra,言葉
296,Zeichen::N,marca,記号
297,Ruf::N,grito,呼び声
298,Ruf::N,chamada,呼び声
299,Lärm::N,ruído,騒音
300,Lärm::N,barulho,騒音
301,Laut::N,som,音
302,Ton::N,tom,音
303,Lied::N,canção,歌
304,Ruhe::N,calma,静けさ
305,Ruhe::N,silêncio,静けさ
306,Leute::N,gente,人々
307,Leute::N,pessoas,人々
308,Volk::N,povo,民族
309,Volk::N,nação,民族
310,Arbeit::N,trabalho,仕事
311,Gast::N,hóspede,客
312,Gast::N,convidado,客
313,Geschenk::N,prenda,贈り物
314,Geschenk::N,presente,贈り物
315,Spiel::N,jogo,遊び
316,Gesellschaft::N,companhia,社会
317,Hilfe::N,ajuda,援助
318,Hilfe::N,socorro,援助
319,Freund::N,amigo,友達
320,Kamerad::N,camarada,同志
321,Angelegenheit::N,assunto,件
322,Anzahl::N,número,数
323,Anzahl::N,quantidade,数
324,Art::N,tipo,種類
325,Art::N,espécie,種類
326,Stück::N,pedaço,部分
327,Teil::N,peça,部分
328,Teil::N,parte,部分
329,Hälfte::N,metade,半分
330,Kreis::N,círculo,円
331,Kreuz::N,cruz,十字
332,Linie::N,linha,線
333,Strich::N,traço,線
334,Abstand::N,distância,距離
335,Entfernung::N,distância,距離
336,Gegend::N,área,辺
337,Gegend::N,área,地域
338,Gegend::N,região,辺
339,Gegend::N,região,地域
340,Platz::N,lugar,ゆとり
341,Ort::N,sítio,所
342,Ort::N,sítio,場所
343,Seite::N,lado,横
344,Mitte::N,meio,真ん中
345,Gegenstand::N,objecto,物件
346,Sache::N,coisa,物
347,Rand::N,bordo,端
348,Rand::N,margem,端
349,Kante::N,borda,縁
350,Kante::N,aresta,縁
351,Ecke::N,esquina,角
352,Spitze::N,ponta,先頭
353,Ende::N,cabo,端
354,Ende::N,extremo,端
355,Loch::N,furo,穴
356,Loch::N,buraco,穴
357,Winkel::N,canto,片隅
358,Winkel::N,ângulo,片隅
359,Muster::N,padrão,模様
360,Muster::N,desenho,模様
361,Größe::N,tamanho,大きさ
362,Länge::N,comprimento,長さ
363,Höhe::N,altura,高さ
364,Höhe::N,altitude,高さ
365,Gewicht::N,peso,重さ
366,Menge::N,quantidade,量
367,Haufen::N,pilha,堆積
368,Reihe::N,fila,並び
369,Boot::N,barco,ボート
370,Ruder::N,remo,オール
371,Schlitten::N,trenó,そり
372,Ski::N,esqui,スキー
373,Lagerfeuer::N,fogueira,篝火
374,Last::N,carga,荷物
375,Gang::N,curso,歩み
376,Gang::N,caminhada,歩み
377,Schritt::N,passo,歩
378,Norden::N,norte,北
379,Süden::N,sul,南
380,Westen::N,oeste,西
381,Westen::N,ocidente,西
382,Osten::N,este,東
383,Osten::N,leste,東
384,Osten::N,oriente,東
385,Holz::N,madeira,木
386,Holz::N,madeira,木材
387,Brett::N,tábua,板
388,Brett::N,prancha,板
389,Platte::N,laje,盤
390,Platte::N,chapa,盤
391,Stütze::N,apoio,支柱
392,Stütze::N,suporte,支柱
393,Stange::N,vara,棒
394,Stange::N,barra,棒
395,Stock::N,pau,杖
396,Stock::N,bengala,杖
397,Stab::N,bastão,棒
398,Rohr::N,cano,管
399,Haus::N,casa,家
400,Heim::N,lar,家
401,Heim::N,casa,家
402,Ofen::N,estufa,ストーブ
403,Ofen::N,aquecedor,ストーブ
404,Fußboden::N,piso,床
405,Tisch::N,mesa,机
406,Stuhl::N,cadeira,椅子
407,Wiege::N,berço,揺籃
408,Bett::N,cama,ベッド
409,Regal::N,estante,棚
410,Regal::N,prateleira,棚
411,Kiste::N,caixa,箱
412,Fenster::N,janela,窓
413,Tür::N,porta,戸
414,Tür::N,porta,ドア
415,Tor::N,portão,門
416,Zaun::N,cerca,垣根
417,Zaun::N,vedação,垣根
418,Dach::N,telhado,屋根
419,Leiter::N,escada,梯子
420,Leiter::N,escada móvel,梯子
421,Besen::N,vassoura,ほうき
422,Spaten::N,pá,スコップ
423,Schaufel::N,pá,シャベル
424,Gabel::N,garfo,フォーク
425,Löffel::N,colher,スプーン
426,Messer::N,faca,ナイフ
427,Nagel::N,cravo,釘
428,Netz::N,rede,網
429,Haken::N,gancho,鉤
430,Haken::N,gancho,フック
431,Griff::N,asa,取っ手
432,Griff::N,cabo,取っ手
433,Schloss::N,fechadura,錠
434,Bild::N,imagem,絵
435,Figur::N,figura,像
436,Puppe::N,boneca,人形
437,Beutel::N,saco,袋
438,Beutel::N,bolsa,袋
439,Bündel::N,fardo,束
440,Bündel::N,fardo,包み
441,Tasche::N,saco,かばん
442,Tasche::N,bolso,かばん
443,Eimer::N,balde,バケツ
444,Deckel::N,tampa,蓋
445,Geschirr::N,louça,食器
446,Sack::N,saca,袋
447,Tasse::N,chávena,カップ
448,Topf::N,tacho,鍋
449,Topf::N,panela,鍋
450,Kessel::N,caldeira,釜
451,Essen::N,refeição,食事
452,Nahrung::N,comida,食物
453,Nahrung::N,alimento,食物
454,Speise::N,prato,料理
455,Fleisch::N,carne,肉
456,Getreide::N,cereais,麦
457,Getreide::N,cereais,穀物
458,Brei::N,puré,粥
459,Brot::N,pão,パン
460,Scheibe::N,fatia,枚
461,Scheibe::N,fatia,切れ
462,Fett::N,banha,脂肪
463,Fett::N,gordura,脂肪
464,Butter::N,manteiga,バター
465,Öl::N,azeite,油
466,Salz::N,sal,塩
467,Suppe::N,sopa,スープ
468,Suppe::N,caldo,スープ
469,Honig::N,mel,蜂蜜
470,Milch::N,leite,牛乳
471,Tee::N,chá,茶
472,Tee::N,chá,お茶
473,Leder::N,couro,革
474,Wolle::N,lã,毛糸
475,Stoff::N,pano,布
476,Stoff::N,tecido,布
477,Nadel::N,agulha,針
478,Faden::N,fio,糸
479,Knopf::N,botão,ボタン
480,Knoten::N,nó,結び目
481,Farbe::N,corante,ペンキ
482,Kleidung::N,roupa,衣服
483,Kleidung::N,vestuário,衣服
484,Hemd::N,camisa,シャツ
485,Kragen::N,gola,襟
486,Ärmel::N,manga,袖
487,Hose::N,calça,ズボン
488,Gürtel::N,cinto,帯
489,Gürtel::N,cinto,ベルト
490,Mütze::N,boné,帽子
491,Mütze::N,barrete,帽子
492,Schuh::N,sapato,靴
493,Stiefel::N,bota,ブーツ
494,Ring::N,anel,輪
495,Band::N,fita,リボン
496,Band::N,faixa,リボン
497,Kamm::N,pente,櫛
498,Spiegel::N,espelho,鏡
499,Riemen::N,correia,緒
500,Schnur::N,corda,紐
501,Schnur::N,cordel,紐
502,Leine::N,trela,綱
503,Decke::N,cobertor,掛け布団
504,Kissen::N,almofada,枕
505,Tuch::N,pano,スカーフ
506,Handtuch::N,toalha,タオル
507,Kraft::N,força,力
508,Stärke::N,força,強さ
509,Gesundheit::N,saúde,健康
510,Krankheit::N,doença,病気
511,Krankheit::N,enfermidade,病気
512,Schmerz::N,dor,痛み
513,Wunde::N,chaga,傷
514,Wunde::N,ferida,傷
515,Fieber::N,febre,熱
516,Arznei::N,remédio,薬
517,Brücke::N,ponte,橋
518,Brunnen::N,poço,井戸
519,Weide::N,pastagem,牧場
520,Pfad::N,senda,小路
521,Pfad::N,trilho,小路
522,Weg::N,caminho,道
523,Straße::N,via,街道
524,Straße::N,estrada,街道
525,Dorf::N,aldeia,村
526,Stadt::N,cidade,町
527,Stadt::N,cidade,都市
528,Brief::N,carta,手紙
529,Buch::N,livro,本
530,Buchstabe::N,letra,文字
531,Zeitung::N,jornal,新聞
532,Leben::N,vida,生活
533,Tod::N,morte,死
534,Grab::N,túmulo,墓
535,Grab::N,sepultura,墓
536,Kirche::N,igreja,教会
537,Sünde::N,pecado,罪
538,Gott::N,deus,神
539,Arbeiter::N,operário,労働者
540,Arbeiter::N,trabalhador,労働者
541,Chef::N,chefe,上司
542,Chef::N,patrão,上司
543,Meister::N,mestre,達人
544,Meister::N,mestre,マイスター
545,Arzt::N,médico,医者
546,Lehrer::N,professor,先生
547,Geld::N,dinheiro,金
548,Geschäft::N,negócio,取り引き
549,Laden::N,loja,店
550,Preis::N,preço,値段
551,Ware::N,mercadoria,商品
552,Nutzen::N,proveito,利益
553,Reichtum::N,riqueza,豊かさ
554,Welt::N,mundo,世界
555,Land::N,país,国
556,Staat::N,Estado,国家
557,König::N,rei,国王
558,Macht::N,poder,権力
559,Macht::N,potência,権力
560,Grenze::N,fronteira,国境
561,Krieg::N,guerra,戦争
562,Feind::N,inimigo,敵
563,Gewalt::N,violência,暴力
564,Kampf::N,luta,戦い
565,Kampf::N,combate,戦い
566,Bogen[Waffe]::N,arco,弓
567,Pfeil::N,seta,矢
568,Pfeil::N,flecha,矢
569,Gewehr::N,espingarda,銃
570,Fehler::N,erro,間違い
571,Fehler::N,falha,間違い
572,Lüge::N,mentira,嘘
573,Schaden::N,dano,損害
574,Schaden::N,estrago,損害
575,Unglück::N,desgraça,不幸
576,Schuld::N,culpa,罪
577,Alter::N,idade,年
578,Alter::N,idade,年齢
579,Schluss::N,fim,終わり
580,Zeit::N,tempo,時
581,Zeit::N,tempo,時間
582,Tag::N,dia,日
583,Morgen::N,manhã,朝
584,Mittag::N,meio-dia,昼
585,Abend::N,noite,晩
586,Abend::N,noite,夕方
587,Abend::N,tardinha,晩
588,Abend::N,tardinha,夕方
589,Nacht::N,noite,夜
590,Woche::N,semana,週
591,Monat::N,mês,月
592,Jahr::N,ano,年
593,Frühling::N,primavera,春
594,Sommer::N,verão,夏
595,Herbst::N,outono,秋
596,Winter::N,inverno,冬
597,Januar::N,Janeiro,一月
598,Februar::N,Fevereiro,二月
599,März::N,Março,三月
600,April::N,Abril,四月
601,Mai::N,Maio,五月
602,Juni::N,Junho,六月
603,Juli::N,Julho,七月
604,August::N,Agosto,八月
605,September::N,Setembro,九月
606,Oktober::N,Outubro,十月
607,November::N,Novembro,十一月
608,Dezember::N,Dezembro,十二月
609,Montag::N,segunda-feira,月曜日
610,Dienstag::N,terça-feira,火曜日
611,Mittwoch::N,quarta-feira,水曜日
612,Donnerstag::N,quinta-feira,木曜日
613,Freitag::N,sexta-feira,金曜日
614,Samstag::N,sábado,土曜日
615,Sonntag::N,domingo,日曜日
616,groß::A,grande,大きい
617,klein::A,pequeno,小さい
618,lang::A,comprido,長い
619,kurz::A,curto,短い
620,breit::A,largo,広い
621,schmal::A,estreito,狭い
622,dicht::A,denso,密な
623,dick[Gegenstand]::A,grosso,厚い
624,dünn::A,delgado,薄い
625,fein::A,fino,細い
626,fein::A,subtil,細い
627,fest::A,firme,硬い
628,fest::A,sólido,硬い
629,flach::A,plano,平らな
630,glatt::A,liso,滑らかな
631,hart::A,duro,堅い
632,weich::A,mole,柔らかい
633,rund::A,redondo,丸い
634,spitz::A,agudo,尖った
635,scharf::A,afiado,鋭い
636,stumpf::A,rombo,鈍い
637,schwer::A,pesado,重い
638,schön::A,belo,綺麗な
639,schön::A,bonito,綺麗な
640,heiß::A,quente,熱い
641,warm::A,quente,温かい
642,kalt::A,frio,寒い
643,kalt::A,frio,冷たい
644,kühl::A,fresco,涼しい
645,frisch::A,fresco,ひんやりした
646,feucht::A,húmido,湿った
647,nass::A,molhado,濡れた
648,trocken::A,seco,乾いた
649,voll::A,cheio,いっぱいの
650,leer::A,vazio,空の
651,offen::A,aberto,開いた
652,geschlossen::A,fechado,閉まった
653,sauber::A,limpo,清潔な
654,schmutzig::A,sujo,汚い
655,roh::A,cru,生の
656,reif::A,maduro,熟した
657,lecker::A,delicioso,美味しい
658,süß::A,doce,甘い
659,bitter::A,amargo,苦い
660,sauer::A,azedo,酸っぱい
661,hell::A,claro,明るい
662,dunkel::A,escuro,暗い
663,dunkel::A,sombrio,暗い
664,schwarz::A,preto,黒い
665,weiß::A,branco,白い
666,rot::A,vermelho,赤い
667,gelb::A,amarelo,黄色い
668,blau::A,azul,青い
669,grün::A,verde,緑の
670,grau::A,cinzento,灰色の
671,bunt::A,colorido,色取り取りの
672,billig::A,barato,安い
673,teuer::A,caro,高い
674,wertvoll::A,valioso,貴重な
675,wertvoll::A,precioso,貴重な
676,blind::A,cego,盲目の
677,taub::A,surdo,耳が聞こえない
678,kräftig::A,forte,強力な
679,kräftig::A,poderoso,強力な
680,stark::A,forte,強い
681,stark::A,robusto,強い
682,schwach::A,débil,弱い
683,fett::A,gordo,太った
684,schlank::A,esbelto,ほっそりした
685,hübsch::A,giro,素敵な
686,hübsch::A,bonito,素敵な
687,böse::A,mau,悪い
688,dumm::A,parvo,馬鹿な
689,dumm::A,estúpido,馬鹿な
690,faul::A,preguiçoso,怠惰な
691,fleißig::A,aplicado,勤勉な
692,fleißig::A,diligente,勤勉な
693,geizig::A,avarento,けちな
694,klug::A,prudente,賢い
695,klug::A,prudente,頭のいい
696,klug::A,inteligente,賢い
697,klug::A,inteligente,頭のいい
698,geschickt::A,hábil,器用な
699,lieb::A,caro,愛らしい
700,lieb::A,querido,愛らしい
701,lustig::A,alegre,楽しい
702,sanft::A,suave,温和な
703,sanft::A,brando,温和な
704,hungrig::A,faminto,空腹の
705,krank::A,doente,病気の
706,krank::A,enfermo,病気の
707,nackt::A,nu,裸の
708,nackt::A,despido,裸の
709,traurig::A,triste,悲しい
710,lebendig::A,vivo,生きた
711,gut::A,bom,良い
712,schlecht::A,mau,悪い
713,schlecht::A,mau,駄目な
714,schlecht::A,ruim,悪い
715,schlecht::A,ruim,駄目な
716,richtig::A,justo,正しい
717,richtig::A,correcto,正しい
718,schlimm::A,mau,ひどい
719,schlimm::A,grave,ひどい
720,wahr::A,verdadeiro,本当の
721,alt::A,velho,古い
722,alt::A,antigo,古い
723,neu::A,novo,新しい
724,ehemalig::A,antigo,以前の
725,alt[Lebewesen]::A,velho,年を取った
726,jung::A,jovem,若い
727,arm::A,pobre,貧乏な
728,reich::A,rico,裕福な
729,bekannt::A,conhecido,有名な
730,berühmt::A,famoso,有名な
731,berühmt::A,célebre,有名な
732,fremd::A,alheio,見知らぬ
733,fremd::A,estranho,見知らぬ
734,verschieden::A,diverso,色々な
735,verschieden::A,diferente,色々な
736,nah::A,próximo,近い
737,fern::A,remoto,遠い
738,fern::A,distante,遠い
739,linker::A,esquerdo,左の
740,rechter::A,direito,右の
741,anderer::A,outro,別の
742,erster::A,primeiro,一番目
743,zweiter::A,segundo,二番目
744,dritter::A,terceiro,三番目
745,letzter::A,final,最後の
746,letzter::A,último,最後の
747,allein::ADV,só,一人で
748,auf einmal::ADV,de vez,同時に
749,zusammen::ADV,juntos,一緒に
750,lange::ADV,muito tempo,長い間
751,plötzlich::ADV,de repente,急に
752,sofort::ADV,imediatamente,すぐに
753,später::ADV,mais tarde,後で
754,jetzt::ADV,agora,今
755,heute::ADV,hoje,今日
756,morgen::ADV,amanhã,明日
757,bald::ADV,logo,間もなく
758,bald::ADV,breve,間もなく
759,dann::ADV,então,それから
760,dann::ADV,depois,それから
761,gestern::ADV,ontem,昨日
762,einst::ADV,antigamente,過去に
763,damals::ADV,então,あの時
764,danach::ADV,logo,その後で
765,danach::ADV,depois,その後で
766,vorher::ADV,antes,以前に
767,zuerst::ADV,primeiro,まず
768,zuerst::ADV,primeiro,最初に
769,einmal::ADV,uma vez,一回
770,manchmal::ADV,às vezes,時々
771,oft::ADV,muitas vezes,よく
772,immer::ADV,sempre,いつも
773,niemals::ADV,nunca,一度も...ない
774,hier::ADV,cá,こちら
775,hier::ADV,aqui,こちら
776,hierhin::ADV,para cá,ここへ
777,hierhin::ADV,para cá,こちらへ
778,von hier::ADV,daqui,ここから
779,dort::ADV,lá,そちら
780,dort::ADV,ali,そちら
781,dorthin::ADV,lá,そこへ
782,dorthin::ADV,lá,そちらへ
783,dorthin::ADV,para lá,そこへ
784,dorthin::ADV,para lá,そちらへ
785,geradeaus::ADV,em frente,真っ直ぐに
786,vorwärts::ADV,avante,前へ
787,rückwärts::ADV,para trás,後ろへ
788,zurück::ADV,atrás,後ろへ
789,unten::ADV,debaixo,下に
790,unten::ADV,em baixo,下に
791,hinab::ADV,para baixo,下へ
792,oben::ADV,em cima,上に
793,hinauf::ADV,para cima,上へ
794,überall::ADV,em toda parte,どこでも
795,nicht::ADV,não,ない
796,ein wenig::ADV,um pouco,少し
797,ein wenig::ADV,um pouco,ちょっと
798,ein wenig::ADV,um bocado,少し
799,ein wenig::ADV,um bocado,ちょっと
800,kaum::ADV,apenas,ほとんど～ない
801,sehr::ADV,muito,とても
802,so::ADV,tão,こう
803,so::ADV,assim,こう
804,noch::ADV,ainda,まだ
805,nur::ADV,só,～だけ
806,nur::ADV,apenas,～だけ
807,nur::ADV,somente,～だけ
808,schon::ADV,já,もう
809,wieder::ADV,outra vez,再び
810,vergebens::ADV,em vão,無駄に
811,vor::PRP,diante de,前に
812,hinter::PRP,atrás de,後ろに
813,unter::PRP,sob,下に
814,unter::PRP,debaixo de,下に
815,durch::PRP,por,通して
816,durch::PRP,através de,通して
817,neben::PRP,junto de,横に
818,neben::PRP,ao lado de,横に
819,zwischen::PRP,entre,間に
820,wegen::PRP,por,為に
821,wegen::PRP,por,せいで
822,wegen::PRP,por causa de,為に
823,wegen::PRP,por causa de,せいで
824,dies::PRN,isto,これ
825,das::PRN,isso,それ
826,das::PRN,aquilo,それ
827,alles::PRN,todo,全部
828,ich::PRN,eu,私
829,du::PRN,tu,あなた
830,er::PRN,ele,彼
831,wir::PRN,nós,私達
832,ihr::PRN,vós,あなた達
833,ihr::PRN,vocês,あなた達
834,sie::PRN,eles,彼ら
835,was::FPRN,quê,何
836,wer::FPRN,quem,誰
837,wer::FPRN,quem,どなた
838,wo::FADV,onde,どこ
839,wo::FADV,onde,どこに
840,wohin::FADV,aonde,どこへ
841,wohin::FADV,para onde,どこへ
842,wie::FADV,como,どう
843,warum::FADV,porquê,何故
844,warum::FADV,porquê,どうして
845,warum::FADV,por que,何故
846,warum::FADV,por que,どうして
847,wieviel::FNUM,quanto,どのくらい
848,eins::NUM,um,一
849,zwei::NUM,dois,二
850,zwei::NUM,dois,二つ
851,drei::NUM,três,三
852,drei::NUM,três,三つ
853,vier::NUM,quatro,四
854,vier::NUM,quatro,四つ
855,fünf::NUM,cinco,五
856,fünf::NUM,cinco,五つ
857,sechs::NUM,seis,六
858,sechs::NUM,seis,六つ
859,sieben::NUM,sete,七
860,sieben::NUM,sete,七つ
861,acht::NUM,oito,八
862,acht::NUM,oito,八つ
863,neun::NUM,nove,九
864,neun::NUM,nove,九つ
