,Concept_ID,mdf,et
463,Kleidung::N,щам,riietus
464,Hemd::N,па́нар,särk
465,Kragen::N,сиве,krae
466,Ärmel::N,ожа,varrukas
467,Hose::N,понкст,püksid
468,Gürtel::N,каркс,vöö
469,Mütze::N,вазь,müts
470,Schuh::N,башма́к,king
471,Stiefel::N,кя́ме,saabas
472,Ring::N,суркс,sõrmus
473,Band::N,керькс,lint
474,Band::N,лента,lint
475,Kamm::N,сюрьхцем,kamm
476,Spiegel::N,ванома,peegel
477,Riemen::N,шнань каркс,rihm
478,Schnur::N,пикс,nöör
479,Schnur::N,карькскя,nöör
480,Leine::N,вядьме,jalutusrihm
481,Decke::N,вельхкс,tekk
482,Kissen::N,тоду,padi
483,Tuch::N,руця́,kalev
484,Handtuch::N,на́рдама,käterätik
485,Kraft::N,вий,jõud
486,Stärke::N,вииши,tugevus
487,Gesundheit::N,шумбраши́,tervis
488,Krankheit::N,урма́,haigus
489,Krankheit::N,сярядема,haigus
490,Schmerz::N,маряма,valu
491,Wunde::N,керф,haav
492,Fieber::N,маштыкс,palavik
493,Arznei::N,надо́бья,ravim
494,Arznei::N,пъчка́фтома,ravim
495,Brücke::N,седь,sild
496,Brunnen::N,эши,kaev
497,Weide::N,ванома васта,karjamaa
498,Pfad::N,ян,rada
499,Pfad::N,киня́,rada
500,Weg::N,ки,tee
501,Straße::N,ки,tee
502,Dorf::N,веле,küla
503,Stadt::N,ош,linn
504,Brief::N,сёрма,kiri
505,Buch::N,книга,raamat
506,Buchstabe::N,бу́ква,täht
507,Zeitung::N,газе́та,ajaleht
508,Leben::N,эряф,elu
509,Leben::N,эряма,elu
510,Tod::N,кулома́,surm
511,Grab::N,калма,haud
512,Kirche::N,це́рькав,kirik
513,Sünde::N,пежеть,patt
514,Sünde::N,муворкс,patt
515,Gott::N,шкай,jumal
516,Arbeiter::N,трудендай,tööline
517,Arbeiter::N,работник,tööline
518,Chef::N,азор,ülemus
519,Chef::N,азор,juhataja
520,Chef::N,оцюня,ülemus
521,Chef::N,оцюня,juhataja
522,Meister::N,мастяр,meister
523,Arzt::N,врач,arst
524,Arzt::N,доктор,arst
525,Lehrer::N,учи́тель,õpetaja
526,Geld::N,ярмакт,raha
527,Geschäft::N,ладяфкс,äri
528,Geschäft::N,ладяф тев,äri
529,Laden::N,ла́вка,pood
530,Laden::N,ла́вка,kauplus
531,Preis::N,питне,hind
532,Ware::N,миф,kaup
533,Ware::N,ра́маф,kaup
534,Nutzen::N,пара,tulu
535,Nutzen::N,пара,kasulikkus
536,Nutzen::N,лезкс,tulu
537,Nutzen::N,лезкс,kasulikkus
538,Reichtum::N,ко́зяши,rikkus
539,Welt::N,свет,maailm
540,Land::N,мастор,maa
541,Staat::N,государства,riik
542,König::N,король,kuningas
543,Macht::N,азорондама,võim
544,Macht::N,азорксши,võim
545,Grenze::N,ёткаян,piir
546,Krieg::N,война́,sõda
547,Feind::N,душман,vaenlane
548,Feind::N,каршек тюри,vaenlane
549,Gewalt::N,наругама,väevõim
550,Kampf::N,тюрема́,võitlus
551,Bogen[Waffe]::N,нал,vibu
552,Pfeil::N,нал,nool
553,Gewehr::N,винто́вка,püss
554,Fehler::N,эльбядькс,viga
555,Lüge::N,васькафнема,vale
556,Schaden::N,зия́н,kahju
557,Unglück::N,зия́н,häda
558,Unglück::N,зия́н,õnnetus
559,Schuld::N,муворши,süü
560,Alter::N,эряф кизот,iga
561,Alter::N,эряфонь пинге,iga
562,Schluss::N,пе,lõpp
563,Zeit::N,пинге,aeg
564,Tag::N,ши,päev
565,Morgen::N,шобдава,hommik
566,Mittag::N,шикучка,lõuna
567,Mittag::N,шикучка,keskpäev
568,Abend::N,иля́дь,õhtu
569,Nacht::N,ве,öö
570,Woche::N,недя́ля,nädal
571,Monat::N,ков,kuu
572,Jahr::N,киза,aasta
573,Frühling::N,тунда́,kevad
574,Sommer::N,киза,suvi
575,Herbst::N,сёксе,sügis
576,Winter::N,тяла,talv
577,Januar::N,кельмеков,jaanuar
578,Februar::N,уфайков,veebruar
579,März::N,марайков,märts
580,April::N,шудиков,aprill
581,Mai::N,панжиков,mai
582,Juni::N,лямбеков,juuni
583,Juli::N,псиков,juuli
584,August::N,сёроньков,august
585,September::N,тюжягов,september
586,Oktober::N,кельмазаков,oktoober
587,November::N,эйндамков,november
588,Dezember::N,кучкаков,detsember
589,Montag::N,одговши,esmaspäev
590,Dienstag::N,ша́вши,teisipäev
591,Mittwoch::N,вержи,kesknädal
592,Donnerstag::N,шува́ланя,neljapäev
593,Freitag::N,пя́денця,reede
594,Samstag::N,ёткши,laupäev
595,Sonntag::N,таргоши,pühapäev
596,groß::A,оцю,suur
597,klein::A,ёмла,väike
598,klein::A,ёмла,pisike
599,lang::A,кува́ка,pikk
600,kurz::A,нюрьхкя́ня,lühike
601,breit::A,кели,lai
602,schmal::A,тяйня,kitsas
603,dicht::A,сиде,tihe
604,dicht::A,туста,tihe
605,dick[Gegenstand]::A,эчке,jäme
606,dünn::A,шува́ня,õhuke
607,dünn::A,шува́ня,peenike
608,fein::A,шува́ня,peen
609,fein::A,шува́ня,õhuke
610,fest::A,кеме,püsiv
611,fest::A,кеме,kindel
612,flach::A,лапш,lame
613,flach::A,лапш,tasane
614,glatt::A,вадяв,sile
615,glatt::A,такор,sile
616,hart::A,калгода,kõva
617,weich::A,ляпе,pehme
618,rund::A,кру́глай,ümar
619,spitz::A,ботаз,torkav
620,spitz::A,оржа,torkav
621,scharf::A,оржа,terav
622,stumpf::A,ношка,nüri
623,schwer::A,стака,raske
624,schön::A,мазы,kena
625,heiß::A,пси,kuum
626,heiß::A,пси,palav
627,warm::A,лямбе,soe
628,kalt::A,кельме,külm
629,kühl::A,эше,jahe
630,frisch::A,свежай,värske
631,feucht::A,летьке,niiske
632,nass::A,начка,märg
633,trocken::A,коське,kuiv
634,voll::A,пяшксе,täis
635,leer::A,шава,tühi
636,offen::A,панжада,avatud
637,offen::A,панжада,lahtine
638,offen::A,виде,avatud
639,offen::A,виде,lahtine
640,geschlossen::A,пякстаф,suletud
641,geschlossen::A,сёлгф,suletud
642,sauber::A,ару,puhas
643,schmutzig::A,рда́зу,räpane
644,schmutzig::A,рда́зу,määrdunud
645,schmutzig::A,пя́ндра,räpane
646,schmutzig::A,пя́ндра,määrdunud
647,roh::A,верок,toores
648,reif::A,ке́нерьф,küps
649,lecker::A,танцти,hõrk
650,lecker::A,танцти,maitsev
651,süß::A,ламбама,magus
652,bitter::A,сяпи,mõru
653,sauer::A,шапама,hapu
654,hell::A,валда,hele
655,dunkel::A,шобда,pime
656,schwarz::A,равжа,must
657,weiß::A,акша,valge
658,rot::A,якстерь,punane
659,gelb::A,тюжя́,kollane
660,blau::A,сенем,sinine
661,grün::A,пиже,roheline
662,grün::A,сянгяря,roheline
663,grau::A,уле,hall
664,bunt::A,сёрмав,kirju
665,bunt::A,сёрмав,värviline
666,billig::A,у́цез,odav
667,billig::A,аф пи́тни,odav
668,teuer::A,пи́тни,kallis
669,wertvoll::A,питни,väärtuslik
670,blind::A,сокор,pime
671,taub::A,пярав,kurt
672,kräftig::A,пяк вии,jõuline
673,stark::A,вии,tugev
674,schwach::A,лафча,nõrk
675,schwach::A,лафча,jõuetu
676,fett::A,куя́,rasvane
677,schlank::A,виде ронга,sale
678,hübsch::A,мазы,kena
679,böse::A,кяжи,tige
680,dumm::A,аф ёню,juhm
681,dumm::A,аф ёню,rumal
682,dumm::A,шава пря,juhm
683,dumm::A,шава пря,rumal
684,faul::A,нола,laisk
685,fleißig::A,ку́лхцонды,virk
686,fleißig::A,ку́лхцонды,hoolas
687,geizig::A,кирьжя,ihne
688,geizig::A,жаднай,ihne
689,klug::A,ёню,tark
690,klug::A,ёню,arukas
691,klug::A,ёню,mõistlik
692,klug::A,пря́ви,tark
693,klug::A,пря́ви,arukas
694,klug::A,пря́ви,mõistlik
695,geschickt::A,маштозь тиф,osav
696,lieb::A,цебярь,armas
697,lustig::A,ра́хси,lõbus
698,sanft::A,сетьме,õrn
699,hungrig::A,вача,näljane
700,hungrig::A,вачеда,näljane
701,krank::A,сяряди,haige
702,nackt::A,штада,alasti
703,nackt::A,кърхтапа,alasti
704,traurig::A,ла́жнай,kurb
705,lebendig::A,эряй,elus
706,gut::A,пара,hea
707,gut::A,цебярь,hea
708,schlecht::A,кальдяв,halb
709,richtig::A,виде,õige
710,schlimm::A,кальдяв,paha
711,wahr::A,афкуксонь,tõene
712,alt::A,ташта,vana
713,neu::A,од,uus
714,ehemalig::A,и́нгольдень,endine
715,alt[Lebewesen]::A,сире,vana
716,jung::A,од,noor
717,arm::A,а́шу,vaene
718,reich::A,козя,rikas
719,bekannt::A,содаф,teada
720,bekannt::A,содаф,tuttav
721,berühmt::A,содавикс,tuntud
722,fremd::A,лия,võõras
723,fremd::A,аф содаф,võõras
724,verschieden::A,аф фкя ла́цонь,erinev
725,nah::A,мала,lähedane
726,nah::A,аф ичкоздень,lähedane
727,fern::A,и́чкоздень,kauge
728,fern::A,куна́рдонь,kauge
729,linker::A,кержи,vasak
730,rechter::A,види,parem
731,anderer::A,лия,muu
732,anderer::A,лия,teine
733,erster::A,васенце,esimene
734,zweiter::A,омбоце,teine
735,dritter::A,колмоце,kolmas
736,letzter::A,ме́кольце,viimane
737,allein::ADV,ськамонза,üksi
738,auf einmal::ADV,вихцок,korraga
739,auf einmal::ADV,вихцок,ühekorraga
740,zusammen::ADV,марс,koos
741,zusammen::ADV,марс,üheskoos
742,zusammen::ADV,ма́рса,koos
743,zusammen::ADV,ма́рса,üheskoos
744,lange::ADV,кува́тьс,kaua
745,plötzlich::ADV,а́пак учт,äkki
746,plötzlich::ADV,а́пак учт,järsku
747,sofort::ADV,тяникиге,kohe
748,später::ADV,ме́ле,hiljem
749,jetzt::ADV,тяни,nüüd
750,heute::ADV,тячи,täna
751,morgen::ADV,ва́нды,homme
752,bald::ADV,курок,pea
753,bald::ADV,курок,varsti
754,dann::ADV,меле,siis
755,dann::ADV,сяда меле,siis
756,gestern::ADV,ися́к,eile
757,einst::ADV,весть,vanasti
758,einst::ADV,мзя́рда-бди,vanasti
759,damals::ADV,эста,tookord
760,danach::ADV,меле,seejärel
761,vorher::ADV,инголи,enne
762,zuerst::ADV,ва́сенда,enne
763,zuerst::ADV,ва́сенда,esmalt
764,einmal::ADV,весть,kord
765,einmal::ADV,весть,üks kord
766,manchmal::ADV,лия́ста,mõnikord
767,manchmal::ADV,ко́ста-ко́ста,mõnikord
768,oft::ADV,си́деста,tihti
769,oft::ADV,си́деста,sageli
770,immer::ADV,фалу,ikka
771,immer::ADV,фалу,alati
772,immer::ADV,най,ikka
773,immer::ADV,най,alati
774,niemals::ADV,аф мзя́рдонга,mitte kunagi
775,hier::ADV,тяса,siin
776,hierhin::ADV,сей,siia
777,hierhin::ADV,тяза,siia
778,von hier::ADV,тя́ста,siit
779,dort::ADV,тоса,seal
780,dorthin::ADV,тов,sinna
781,dorthin::ADV,тоза,sinna
782,geradeaus::ADV,ви́деста,otse edasi
783,vorwärts::ADV,и́нголи,edasi
784,rückwärts::ADV,ме́ки,tagurpidi
785,zurück::ADV,ме́ки,tagasi
786,unten::ADV,ала,all
787,unten::ADV,ала,allpool
788,hinab::ADV,алу,alla
789,oben::ADV,вяре,ülal
790,hinauf::ADV,вяри,üles
791,überall::ADV,се́мбе ва́стова,kõikjal
792,nicht::ADV,аф,ei
793,nicht::ADV,аф,mitte
794,ein wenig::ADV,аф лама,veidi
795,ein wenig::ADV,аф лама,natuke
796,kaum::ADV,а́ньцек,vaevalt
797,sehr::ADV,пяк,väga
798,so::ADV,ста́не,nii
799,noch::ADV,нинге,veel
800,nur::ADV,аньцек,ainult
801,schon::ADV,ни,juba
802,wieder::ADV,та́га,jälle
803,vergebens::ADV,стак,asjata
804,vor::PRP,инголе,ees
805,hinter::PRP,фтала,taha
806,hinter::PRP,мельге,taha
807,unter::PRP,ала,all
808,durch::PRP,пачк,läbi
