,Concept_ID,no,he
101,Wald::N,skog,יער
102,Hügel::N,haug,תל
103,Hügel::N,bakke,תל
104,Anhöhe::N,haug,מעלה
105,Anhöhe::N,bakke,מעלה
106,Berg::N,berg,הר
107,Berg::N,fjell,הר
108,Gipfel::N,topp,פסגה
109,Höhle::N,hule,מערה
110,Abhang::N,li,מדרון
111,Abhang::N,li,שפוע
112,Abhang::N,skråning,מדרון
113,Abhang::N,skråning,שפוע
114,Quelle::N,kilde,מעין
115,Bach::N,bekk,נחל
116,Fluss::N,elv,נהר
117,Ufer::N,bredd,גדה
118,Küste::N,kyst,חוף
119,Festland::N,fastland,יבשה
120,Meer::N,hav,ים
121,Bucht::N,bukt,מפרץ
122,Insel::N,øy,אי
123,Blume::N,blomst,פרח
124,Gras::N,gress,דשא
125,Wurzel::N,rot,שרש
126,Baum::N,tre,עץ
127,Stamm::N,stamme,גזע
128,Rinde::N,bark,קלפת עץ
129,Ast::N,gren,ענף
130,Zweig::N,kvist,ענף
131,Blatt::N,blad,עלה
132,Birke::N,bjørk,שדר
133,Kiefer[Baum]::N,furu,ארן
134,Weide[Baum]::N,selje,ערבה
135,Weide[Baum]::N,piletre,ערבה
136,Tanne::N,gran,אשוח
137,Horn::N,horn,קרן
138,Feder::N,fjær,נוצה
139,Fell::N,skinn,פרוה
140,Flügel::N,vinge,כנף
141,Klaue::N,klauv,טלף
142,Kralle::N,klo,טפר
143,Schwanz::N,hale,זנב
144,Ei::N,egg,ביצה
145,Nest::N,rede,קן
146,Bau::N,hi,מחלה
147,Tier::N,dyr,חיה
148,Herde::N,flokk,עדר
149,Kuh::N,ku,פרה
150,Bulle::N,tyr,פר
151,Pferd::N,hest,סוס
152,Schaf::N,får,כבשה
153,Schwein::N,gris,חזיר
154,Hund::N,hund,כלב
155,Katze::N,katt,חתול
156,Bär::N,bjørn,דב
157,Eichhörnchen::N,ekorn,סנאי
158,Elch::N,elg,דישון
159,Fuchs::N,rev,שועל
160,Hase::N,hare,ארנב
161,Maus::N,mus,עכבר
162,Wolf::N,ulv,זאב
163,Wolf::N,varg,זאב
164,Vogel::N,fugl,צפור
165,Schwarm::N,sverm,נחיל
166,Schwarm::N,sverm,להקה
167,Huhn::N,høne,תרנגלת
168,Hahn::N,hane,תרנגול
169,Gans::N,gås,אוז
170,Adler::N,ørn,עיט
171,Ente::N,and,ברוז
172,Eule::N,ugle,ינשוף
173,Kranich::N,trane,עגור
174,Kranich::N,trane,כרוכיה
175,Krähe::N,kråke,עורב
176,Kuckuck::N,gjøk,קוקיה
177,Schwan::N,svane,ברבור
178,Fisch::N,fisk,דג
179,Barsch::N,abbor,אוקונוס
180,Hecht::N,gjedde,זאב הים
181,Schlange[Tier]::N,orm,נחש
182,Schlange[Tier]::N,slange,נחש
183,Wurm::N,orm,תולעת
184,Wurm::N,mark,תולעת
185,Spinne::N,edderkopp,עכביש
186,Ameise::N,maur,נמלה
187,Laus::N,lus,כנה
188,Mücke::N,mygg,יתוש
189,Fliege::N,flue,זבוב
190,Schmetterling::N,sommerfugl,פרפר
191,Beere::N,bær,ענבה
192,Apfel::N,eple,תפוח
193,Pilz::N,sopp,פטריה
194,Zwiebel::N,løk,בצל
195,Saat::N,sæd,זרעים
196,Korn::N,korn,גרעין
197,Heu::N,høy,חציר
198,Schale::N,skall,קלפה
199,Grube::N,grop,בור
200,Grube::N,grop,שוחה
201,Falle::N,felle,מלכדת
202,Schlinge::N,snare,לולאה
203,Spur::N,spor,עקבה
204,Asche::N,aske,אפר
205,Dreck::N,møkk,זהמה
206,Dreck::N,skitt,זהמה
207,Eisen::N,jern,ברזל
208,Gold::N,gull,זהב
209,Silber::N,sølv,כסף
210,Kohle::N,kol,פחם
211,Kohle::N,kull,פחם
212,Glas::N,glass,זכוכית
213,Lehm::N,leire,חרסית
214,Sand::N,sand,חול
215,Mensch::N,menneske,אדם
216,Mann::N,mann,איש
217,Mann::N,mann,גבר
218,Frau::N,kvinne,אשה
219,Frau::N,kvinne,גברת
220,Kind::N,barn,ילד
221,Junge::N,gutt,ילד
222,Mädchen::N,pike,נערה
223,Mädchen::N,jente,נערה
224,Familie::N,familie,משפחה
225,Großvater::N,bestefar,סבא
226,Großmutter::N,bestemor,סבתא
227,Eltern::N,foreldre,הורים
228,Vater::N,far,אב
229,Mutter::N,mor,אם
230,Sohn::N,sønn,בן
231,Tochter::N,datter,בת
232,Bruder::N,bror,אח
233,Schwester::N,søster,אחות
234,Onkel::N,onkel,דוד
235,Tante::N,tante,דודה
236,Ehemann::N,ektemann,איש
237,Ehemann::N,ektemann,בעל
238,Ehefrau::N,hustru,אשה
239,Freude::N,glede,שמחה
240,Gelächter::N,latter,צחוק
241,Glück::N,lykke,אשר
242,Kummer::N,sorg,יגון
243,Kummer::N,sorg,עגמה
244,Wunsch::N,ønske,אחול
245,Wunsch::N,ønske,משאלה
246,Lust::N,lyst,חשק
247,Lust::N,lyst,תשוקה
248,Geist::N,ånd,רוח
249,Gedanke::N,tanke,מחשבה
250,Gedächtnis::N,minne,זכרון
251,Gedächtnis::N,hukommelse,זכרון
252,Verstand::N,forstand,שכל
253,Sinn::N,mening,מובן
254,Sinn::N,mening,משמעות
255,Sinn::N,betydning,מובן
256,Sinn::N,betydning,משמעות
257,Grund::N,grunn,סבה
258,Wahrheit::N,sannhet,אמת
259,Gespräch::N,samtale,דיון
260,Märchen::N,eventyr,אגדה
261,Erzählung::N,fortelling,ספור
262,Nachricht::N,melding,ידיעה
263,Neuigkeit::N,nyhet,חדשה
264,Name::N,navn,שם
265,Rätsel::N,gåte,תעלומה
266,Rede::N,tale,נאום
267,Sprache::N,språk,לשון
268,Stimme::N,stemme,קול
269,Wort::N,ord,מלה
270,Zeichen::N,tegn,סימן
271,Ruf::N,rop,קריאה
272,Lärm::N,bråk,רעש
273,Laut::N,lyd,הגה
274,Ton::N,tone,צליל
275,Lied::N,vise,שיר
276,Ruhe::N,ro,שלוה
277,Leute::N,folk,אנשים
278,Volk::N,folk,עם
279,Arbeit::N,arbeid,עבודה
280,Gast::N,gjest,אורח
281,Geschenk::N,gave,מתנה
282,Spiel::N,lek,משחק
283,Spiel::N,spill,משחק
284,Gesellschaft::N,selskap,חברה
285,Hilfe::N,hjelp,עזרה
286,Freund::N,venn,חבר
287,Freund::N,venn,ידיד
288,Kamerad::N,kamerat,רע
289,Angelegenheit::N,sak,ענין
290,Angelegenheit::N,anliggende,ענין
291,Anzahl::N,antall,מספר
292,Art::N,art,סוג
293,Art::N,slag,סוג
294,Stück::N,stykke,חתיכה
295,Teil::N,del,פרק
296,Hälfte::N,halvdel,חצי
297,Kreis::N,ring,מעגל
298,Kreis::N,sirkel,מעגל
299,Kreuz::N,kors,צלב
300,Kreuz::N,kryss,צלב
301,Linie::N,linje,קו
302,Strich::N,strek,קו קצר
303,Abstand::N,avstand,מרחק
304,Entfernung::N,avstand,מרחק
305,Gegend::N,strøk,נוף
306,Platz::N,plass,שטח
307,Ort::N,sted,אתר
308,Ort::N,sted,מקום
309,Seite::N,side,צד
310,Mitte::N,midte,אמצע
311,Gegenstand::N,gjenstand,אוביקט
312,Sache::N,sak,דבר
313,Rand::N,rand,פרור
314,Kante::N,kant,קצה
315,Ecke::N,hjørne,פנה
316,Spitze::N,spiss,קצה
317,Ende::N,ende,סוף
318,Loch::N,hull,חר
319,Winkel::N,vinkel,פנה
320,Muster::N,mønster,תבנית
321,Größe::N,størrelse,גדל
322,Länge::N,lengde,ארך
323,Höhe::N,høyde,קומה
324,Höhe::N,høyde,גבה
325,Gewicht::N,vekt,משקל
326,Menge::N,mengde,כמות
327,Haufen::N,haug,ערמה
328,Haufen::N,bunke,ערמה
329,Reihe::N,rekke,רצף
330,Boot::N,båt,סירה
331,Ruder::N,åre,משוט
332,Schlitten::N,slede,מזחלת
333,Schlitten::N,kjelke,מזחלת
334,Ski::N,ski,מגלשים
335,Lagerfeuer::N,leirbål,מדורה
336,Last::N,bør,משא
337,Last::N,last,משא
338,Gang::N,gang,הליכה
339,Schritt::N,steg,צעד
340,Schritt::N,skritt,צעד
341,Norden::N,nord,צפון
342,Süden::N,sør,דרום
343,Westen::N,vest,מערב
344,Osten::N,øst,מזרח
345,Holz::N,tre,עץ
346,Brett::N,fjøl,קרש
347,Brett::N,brett,קרש
348,Platte::N,plate,לוח
349,Stütze::N,støtte,משען
350,Stange::N,stang,מוט
351,Stock::N,pinne,מקל
352,Stab::N,stav,מוט
353,Stab::N,kjepp,מוט
354,Rohr::N,rør,צנור
355,Haus::N,hus,בית
356,Heim::N,hjem,בית
357,Ofen::N,ovn,תנור
358,Fußboden::N,gulv,רצפה
359,Tisch::N,bord,שלחן
360,Stuhl::N,stol,כסא
361,Wiege::N,vogge,ערש
362,Bett::N,seng,מטה
363,Regal::N,reol,מדף
364,Regal::N,hylle,מדף
365,Kiste::N,kasse,תבה
366,Kiste::N,kasse,ארגז
367,Fenster::N,vindu,חלון
368,Tür::N,dør,דלת
369,Tor::N,port,שער
370,Zaun::N,gjerde,גדר
371,Dach::N,tak,גג
372,Leiter::N,stige,סלם
373,Besen::N,kost,מטאטא
374,Spaten::N,spade,את
375,Schaufel::N,skuffe,את
376,Gabel::N,gaffel,מזלג
377,Löffel::N,skje,כף
378,Messer::N,kniv,סכין
379,Nagel::N,spiker,מסמר
380,Netz::N,nett,רשת
381,Haken::N,krok,וו
382,Haken::N,krok,קרס
383,Griff::N,tak,ידית
384,Griff::N,håndtak,ידית
385,Schloss::N,lås,מנעול
386,Bild::N,bilde,תמונה
387,Figur::N,figur,פסל
388,Puppe::N,dukke,בבה
389,Beutel::N,pose,שק
390,Bündel::N,bylt,צרור
391,Tasche::N,veske,שקית
392,Eimer::N,bøtte,דלי
393,Deckel::N,lokk,מכסה
394,Geschirr::N,kjøkkentøy,כלים
395,Sack::N,sekk,שק
396,Tasse::N,kopp,ספל
397,Topf::N,gryte,סיר
398,Kessel::N,kjele,קנקן
399,Essen::N,mål,אכל
400,Essen::N,mål,ארוחה
401,Nahrung::N,mat,הזנה
402,Nahrung::N,mat,תזונה
403,Nahrung::N,næring,הזנה
404,Nahrung::N,næring,תזונה
405,Speise::N,matrett,מאכל
406,Speise::N,matrett,ארוחה
407,Fleisch::N,kjøtt,בשר
408,Getreide::N,korn,דגן
409,Brei::N,grøt,מחית
410,Brot::N,brød,לחם
411,Scheibe::N,skive,עגול
412,Scheibe::N,skive,פרוסה
413,Fett::N,fett,שמן
414,Butter::N,smør,חמאה
415,Öl::N,olje,שמן
416,Salz::N,salt,מלח
417,Suppe::N,suppe,מרק
418,Honig::N,honning,דבש
419,Milch::N,melk,חלב
420,Tee::N,te,תה
421,Leder::N,lær,עור
422,Leder::N,skinn,עור
423,Wolle::N,ull,צמר
424,Stoff::N,tøy,בד
425,Stoff::N,tøy,אריג
426,Stoff::N,stoff,בד
427,Stoff::N,stoff,אריג
428,Nadel::N,nål,מחט
429,Faden::N,tråd,חוט
430,Knopf::N,knapp,כפתור
431,Knoten::N,knute,קשר
432,Farbe::N,farge,צבע
433,Kleidung::N,påkledning,בגדים
434,Hemd::N,skjorte,חלצה
435,Kragen::N,krage,צוארון
436,Ärmel::N,erme,שרוול
437,Hose::N,bukse,מכנסים
438,Gürtel::N,belte,חגורה
439,Mütze::N,lue,כובע
440,Schuh::N,sko,נעל
441,Stiefel::N,støvel,מגף
442,Ring::N,ring,טבעת
443,Band::N,band,סרט
444,Kamm::N,kam,מסרק
445,Spiegel::N,speil,מראה
446,Riemen::N,rem,רצועה
447,Schnur::N,snor,חבל
448,Leine::N,line,מושכות
449,Decke::N,teppe,שמיכה
450,Kissen::N,pute,כרית
451,Tuch::N,tøy,צעיף
452,Handtuch::N,håndkle,מגבת
453,Kraft::N,kraft,כוח
454,Stärke::N,styrke,און
455,Gesundheit::N,helse,בריאות
456,Gesundheit::N,sunnhet,בריאות
457,Krankheit::N,syke,מחלה
458,Krankheit::N,sykdom,מחלה
459,Schmerz::N,smerte,כאב
460,Wunde::N,sår,פציעה
461,Fieber::N,feber,חם
462,Arznei::N,medisin,תרופה
463,Arznei::N,legemiddel,תרופה
464,Brücke::N,bro,גשר
465,Brunnen::N,brønn,באר
466,Weide::N,beite,אחו
467,Weide::N,beite,מרעה
468,Pfad::N,sti,שביל
469,Pfad::N,sti,מדרכה
470,Weg::N,vei,דרך
471,Straße::N,gate,כביש
472,Dorf::N,landsby,כפר
473,Stadt::N,by,עיר
474,Brief::N,brev,מכתב
475,Buch::N,bok,ספר
476,Buchstabe::N,bokstav,אות
477,Zeitung::N,avis,עתון
478,Leben::N,liv,חיים
479,Tod::N,død,מות
480,Grab::N,grav,קבר
481,Kirche::N,kirke,כנסיה
482,Sünde::N,synd,חטא
483,Gott::N,gud,אל
484,Arbeiter::N,arbeider,פועל
485,Chef::N,sjef,ראש
486,Chef::N,sjef,מנהל
487,Meister::N,mester,ממחה
488,Arzt::N,lege,רופא
489,Lehrer::N,lærer,מורה
490,Geld::N,penger,כסף
491,Geschäft::N,forretning,עסקה
492,Laden::N,butikk,חנות
493,Preis::N,pris,מחיר
494,Ware::N,vare,סחורה
495,Nutzen::N,nytte,תועלת
496,Reichtum::N,rikdom,עשר
497,Welt::N,verden,עולם
498,Land::N,land,ארץ
499,Staat::N,stat,מדינה
500,König::N,konge,מלך
501,Macht::N,makt,כוח
502,Grenze::N,grense,גבול
503,Krieg::N,krig,מלחמה
504,Feind::N,fiende,אויב
505,Gewalt::N,vold,אלימות
506,Kampf::N,kamp,קרב
507,Kampf::N,kamp,לחימה
508,Bogen[Waffe]::N,bue,קשת
509,Pfeil::N,pil,חץ
510,Gewehr::N,gevær,רובה
511,Fehler::N,feil,טעות
512,Lüge::N,løgn,שקר
513,Schaden::N,skade,נזק
514,Unglück::N,uhell,מזל רע
515,Schuld::N,skyld,אשמה
516,Alter::N,alder,גיל
517,Schluss::N,slutt,סיום
518,Zeit::N,tid,זמן
519,Tag::N,dag,יום
520,Morgen::N,morgen,בקר
521,Mittag::N,middag,צהרים
522,Abend::N,aften,ערב
523,Nacht::N,natt,לילה
524,Woche::N,uke,שבוע
525,Monat::N,måned,חדש
526,Jahr::N,år,שנה
527,Frühling::N,vår,אביב
528,Sommer::N,sommer,קיץ
529,Herbst::N,høst,סתו
530,Winter::N,vinter,חרף
531,Januar::N,januar,ינואר
532,Februar::N,februar,פברואר
533,März::N,mars,מרץ
534,April::N,april,אפריל
535,Mai::N,mai,מאי
536,Juni::N,juni,יוני
537,Juli::N,juli,יולי
538,August::N,august,אוגוסט
539,September::N,september,ספטמבר
540,Oktober::N,oktober,אוקטובר
541,November::N,november,נובמבר
542,Dezember::N,desember,דצמבר
543,Montag::N,mandag,יום שני
544,Dienstag::N,tirsdag,יום שלישי
545,Mittwoch::N,onsdag,יום רביעי
546,Donnerstag::N,torsdag,יום חמישי
547,Freitag::N,fredag,יום ששי
548,Samstag::N,lørdag,יום שבת
549,Sonntag::N,søndag,יום ראשון
550,groß::A,stor,גדול
551,klein::A,liten,קטן
552,lang::A,lang,ארך
553,kurz::A,kort,קצר
554,breit::A,bred,רחב
555,schmal::A,smal,צר
556,dicht::A,tett,צפוף
557,dick[Gegenstand]::A,tykk,עבה
558,dünn::A,tynn,דק
559,fein::A,fin,מעדן
560,fest::A,fast,מוצק
561,flach::A,flat,שטוח
562,glatt::A,glatt,חלק
563,hart::A,hard,קשיח
564,weich::A,myk,רך
565,weich::A,bløt,רך
566,rund::A,rund,עגל
567,spitz::A,spiss,חד
568,scharf::A,kvass,חד
569,stumpf::A,stubb,קהה
570,schwer::A,tung,כבד
571,schön::A,pen,יפה
572,schön::A,vakker,יפה
573,heiß::A,het,חם
574,warm::A,varm,חם
575,kalt::A,kald,קר
576,kühl::A,kjølig,צונן
577,frisch::A,fersk,טרי
578,feucht::A,fuktig,לח
579,nass::A,våt,רטוב
580,trocken::A,tørr,יבש
581,voll::A,full,מלא
582,leer::A,tom,ריק
583,offen::A,åpen,פתוח
584,geschlossen::A,lukket,סגור
585,sauber::A,ren,נקי
586,schmutzig::A,skitten,מלכלך
587,roh::A,rå,חי
588,reif::A,moden,בשל
589,lecker::A,lekker,טעים
590,süß::A,søt,מתוק
591,bitter::A,besk,מר
592,bitter::A,bitter,מר
593,sauer::A,sur,חמוץ
594,hell::A,lys,בהיר
595,dunkel::A,mørk,עמום
596,schwarz::A,svart,שחר
597,weiß::A,hvit,לבן
598,rot::A,rød,אדם
599,gelb::A,gul,צהב
600,blau::A,blå,כחל
601,grün::A,grønn,ירק
602,grau::A,grå,אפר
603,bunt::A,broket,צבעוני
604,billig::A,billig,זול
605,teuer::A,dyr,יקר
606,wertvoll::A,verdifull,יקר ערך
607,blind::A,blind,עור
608,taub::A,døv,חרש
609,kräftig::A,kraftig,חסן
610,stark::A,sterk,חזק
611,schwach::A,svak,חלש
612,fett::A,fet,שמן
613,schlank::A,slank,רזה
614,hübsch::A,pen,יפה תאר
615,böse::A,slem,רשע
616,dumm::A,dum,טפש
617,faul::A,lat,עצלן
618,faul::A,doven,עצלן
619,fleißig::A,flittig,חרוץ
620,geizig::A,gjerrig,קמצן
621,klug::A,klok,נבון
622,klug::A,klok,פקח
623,geschickt::A,hendig,מימן
624,geschickt::A,skikket,מימן
625,lieb::A,kjær,יקר
626,lieb::A,kjær,אהוב
627,lieb::A,snill,יקר
628,lieb::A,snill,אהוב
629,lustig::A,morsom,עליז
630,sanft::A,blid,עדין
631,hungrig::A,sulten,רעב
632,krank::A,syk,חולה
633,nackt::A,naken,ערום
634,traurig::A,sørgmodig,עצוב
635,lebendig::A,levende,חי
636,gut::A,god,טוב
637,schlecht::A,dårlig,גרוע
638,richtig::A,riktig,נכון
639,schlimm::A,slem,רע
640,wahr::A,sann,אמתי
641,alt::A,gammel,ישן
642,neu::A,ny,חדש
643,ehemalig::A,forhenværende,לשעבר
644,alt[Lebewesen]::A,gammel,זקן
645,jung::A,ung,צעיר
646,arm::A,fattig,עני
647,reich::A,rik,עשיר
648,bekannt::A,kjent,ידוע
649,berühmt::A,berømt,מפרסם
650,fremd::A,fremmed,זר
651,verschieden::A,forskjellig,שונה
652,nah::A,nær,קרוב
653,fern::A,fjern,רחוק
654,linker::A,venstre,שמאלי
655,rechter::A,høyre,ימין
656,anderer::A,annen,אחר
657,erster::A,første,ראשון
658,zweiter::A,annen,שני
659,dritter::A,tredje,שלישי
660,letzter::A,sist,אחרון
661,allein::ADV,alene,לבד
662,auf einmal::ADV,med ett,בו-זמנית
663,zusammen::ADV,sammen,ביחד
664,lange::ADV,lenge,הרבה זמן
665,plötzlich::ADV,plutselig,לפתע
666,plötzlich::ADV,plutselig,פתאום
667,sofort::ADV,straks,מיד
668,später::ADV,senere,לאחר זמן
669,später::ADV,senere,יותר מאחר
670,jetzt::ADV,nå,עכשיו
671,heute::ADV,i dag,היום
672,morgen::ADV,i morgen,מחר
673,bald::ADV,snart,בקרוב
674,dann::ADV,så,אחר-כך
675,gestern::ADV,i går,אתמול
676,einst::ADV,engang,לפנים
677,damals::ADV,den gang,אז
678,danach::ADV,deretter,אחר-כך
679,vorher::ADV,før,לפני זה
680,vorher::ADV,i forveien,לפני זה
681,zuerst::ADV,først,קדם
682,einmal::ADV,en gang,פעם
683,manchmal::ADV,somme tider,לפעמים
684,oft::ADV,ofte,לעתים קרובות
685,immer::ADV,alltid,תמיד
686,niemals::ADV,aldri,אף פעם
687,hier::ADV,her,כאן
688,hierhin::ADV,hit,פה
689,von hier::ADV,herfra,מפה
690,dort::ADV,der,שם
691,dorthin::ADV,dit,שם
692,geradeaus::ADV,rett fram,ישר
693,vorwärts::ADV,fram,קדימה
694,vorwärts::ADV,framover,קדימה
695,rückwärts::ADV,baklengs,לאחור
696,zurück::ADV,tilbake,בחזרה
697,zurück::ADV,tilbake,אחורנית
698,unten::ADV,nede,למטה
699,hinab::ADV,ned,למטה
700,hinab::ADV,nedover,למטה
701,oben::ADV,oppe,מעל
702,oben::ADV,oppe,למעלה
703,oben::ADV,ovenpå,מעל
704,oben::ADV,ovenpå,למעלה
705,hinauf::ADV,opp,למעלה
706,hinauf::ADV,oppover,למעלה
707,überall::ADV,overalt,בכל מקום
708,nicht::ADV,ikke,לא
709,ein wenig::ADV,litt,קצת
710,kaum::ADV,neppe,בקשי
711,sehr::ADV,svært,מאוד
712,so::ADV,så,כך
713,so::ADV,så,ככה
714,noch::ADV,enda,עוד
715,noch::ADV,enda,עדין
716,nur::ADV,bare,רק
717,schon::ADV,alt,כבר
718,schon::ADV,allerede,כבר
719,wieder::ADV,igjen,שוב
720,vergebens::ADV,forgjeves,לריק
721,vergebens::ADV,forgjeves,לשוא
722,vor::PRP,foran,מול
723,vor::PRP,utenfor,מול
724,hinter::PRP,bak,מאחורי
725,hinter::PRP,bakom,מאחורי
726,unter::PRP,under,מתחת
727,durch::PRP,gjennom,דרך
728,durch::PRP,igjennom,דרך
729,neben::PRP,ved siden av,ליד
730,neben::PRP,ved siden av,על-יד
731,zwischen::PRP,mellom,בין
732,wegen::PRP,på grunn av,בשל
733,wegen::PRP,på grunn av,בגלל
734,dies::PRN,dette,זה
735,das::PRN,det,זה
736,alles::PRN,alt,הכל
737,ich::PRN,jeg,אני
738,du::PRN,du,את
739,du::PRN,du,אתה
740,er::PRN,han,הוא
741,wir::PRN,vi,אנחנו
742,ihr::PRN,dere,לה
743,sie::PRN,de,הם
744,was::FPRN,hva,מה
745,wer::FPRN,hvem,מי
746,wo::FADV,hvor,איפה
747,wohin::FADV,hvor ... hen,לאן
748,wie::FADV,hvordan,איך
749,warum::FADV,hvorfor,למה
750,wieviel::FNUM,hvor mye,כמה
751,eins::NUM,en,אחד
752,eins::NUM,ett,אחד
753,zwei::NUM,to,שתים
754,drei::NUM,tre,שלושה
755,vier::NUM,fire,ארבעה
756,fünf::NUM,fem,חמשה
757,sechs::NUM,seks,ששה
758,sieben::NUM,sju,שבעה
759,acht::NUM,åtte,שמונה
760,neun::NUM,ni,תשעה
761,zehn::NUM,ti,עשרה
762,elf::NUM,elleve,אחת עשרה
763,zwölf::NUM,tolv,שתים עשרה
764,zwanzig::NUM,tjue,עשרים
765,dreißig::NUM,tretti,שלושים
766,vierzig::NUM,førti,ארבעים
767,fünfzig::NUM,femti,חמשים
768,sechzig::NUM,seksti,ששים
769,siebzig::NUM,sytti,שבעים
770,achtzig::NUM,åtti,שמונים
771,neunzig::NUM,nitti,תשעים
772,hundert::NUM,hundre,מאה
773,tausend::NUM,tusen,אלף
774,und::CNJ,og,ו
775,oder::CNJ,eller,או
776,stehen::V,stå,עמד
777,sitzen::V,sitte,ישב
778,liegen::V,ligge,שכב
779,hängen::V,henge,היה תלוי
780,werden::V,bli,הפך ל
781,passieren::V,skje,קרה
782,passieren::V,hende,קרה
783,beginnen::V,begynne,התחיל
784,enden::V,ende,הסתים
785,enden::V,slutte,הסתים
786,wechseln::V,veksle,השתנה
787,aufgehen[Sonne]::V,stå opp,זרח
788,untergehen[Sonne]::V,gå ned,שקע
789,scheinen[Sonne]::V,skinne,בהק
790,donnern::V,tordne,רעם
791,wehen::V,blåse,נשב
792,strömen::V,strømme,זרם
793,fließen::V,flyte,זרם
794,sich drehen::V,dreie seg,הסתובב
795,schwanken::V,svaie,התנודד
796,schwingen::V,svinge,התנענע
797,fallen::V,falle,נפל
798,brennen::V,brenne,בער
799,rauchen::V,ryke,עשן
800,regnen::V,regne,ירד גשם
801,gefrieren::V,fryse,קפא
802,tauen::V,tine,נמס
803,schmelzen::V,smelte,התיך
804,trocknen::V,tørre,התיבש
805,sieden::V,koke,רתח
806,faulen::V,råtne,רקב
807,verfaulen::V,råtne,רקב
808,reißen::V,briste,נקרע
809,versinken::V,synke,טבע
810,versinken::V,synke ned,טבע
811,vergehen::V,forløpe,עבר
812,erscheinen::V,synes,נגלה
813,erscheinen::V,synes,הופיע
814,verschwinden::V,forsvinne,נעלם
815,sinken::V,synke,ירד
816,abnehmen::V,avta,הפחית
817,abnehmen::V,minske,הפחית
818,zunehmen::V,tilta,רבה
819,steigen::V,stige,עלה
820,wachsen::V,gro,גדל
821,wachsen::V,vokse,גדל
822,glänzen::V,skinne,נצץ
823,glänzen::V,skinne,בהק
824,funkeln::V,tindre,נצנץ
825,lärmen::V,bråke,רעש
826,läuten::V,ringe,צלצל
827,klingeln::V,ringe,צלצל
828,klirren::V,klirre,קרקש
829,brausen::V,bruse,געש
