,Concept_ID,az,ar
213,Glas::N,şüşə,زجاج
214,Lehm::N,gil,طين
215,Lehm::N,palçıq,طين
216,Sand::N,qum,رمل
217,Mensch::N,adam,إنسان
218,Mensch::N,insan,إنسان
219,Mann::N,kişi,رجل
220,Frau::N,qadın,امرأة
221,Kind::N,uşaq,طفل
222,Junge::N,oğlan,ولد
223,Mädchen::N,qız,بنت
224,Familie::N,ailə,عائلة
225,Großvater::N,baba,جد
226,Großmutter::N,nənə,جدة
227,Eltern::N,valideyn,أبوان
228,Eltern::N,valideyn,والدان
229,Vater::N,ata,أب
230,Mutter::N,ana,أم
231,Sohn::N,oğul,إبن
232,Tochter::N,qız,بنت
233,Tochter::N,qız,إبنة
234,Bruder::N,qardaş,أخ
235,Bruder::N,qardaş,شقيق
236,Schwester::N,bacı,أخت
237,Onkel::N,əmi,عم
238,Onkel::N,dayı,عم
239,Tante::N,bibi,عمة
240,Ehemann::N,ər,زوج
241,Ehefrau::N,arvad,زوجة
242,Freude::N,nəşə,فرح
243,Freude::N,nəşə,سرور
244,Freude::N,sevinc,فرح
245,Freude::N,sevinc,سرور
246,Gelächter::N,gülüş,قهقهة
247,Gelächter::N,qəhqəhə,قهقهة
248,Glück::N,səadət,سعادة
249,Glück::N,xoşbəxtlik,سعادة
250,Kummer::N,qəm,غم
251,Kummer::N,kədər,غم
252,Wunsch::N,arzu,منية
253,Lust::N,həvəs,شهوة
254,Geist::N,ruh,روح
255,Gedanke::N,fikir,فكرة
256,Gedanke::N,düşüncə,فكرة
257,Gedächtnis::N,xatir,ذاكرة
258,Gedächtnis::N,hafizə,ذاكرة
259,Verstand::N,ağıl,عقل
260,Sinn::N,məna,معنى
261,Grund::N,səbəb,سبب
262,Wahrheit::N,haqq,حقيقة
263,Wahrheit::N,doğruluq,حقيقة
264,Gespräch::N,söhbət,محادثة
265,Gespräch::N,qonuşma,محادثة
266,Märchen::N,nağıl,خرافة
267,Erzählung::N,hekayə,قصة
268,Erzählung::N,hekayə,حكاية
269,Nachricht::N,xəbər,خبر
270,Neuigkeit::N,xəbər,خبر جديد
271,Neuigkeit::N,yenilik,خبر جديد
272,Name::N,ad,اسم
273,Rätsel::N,tapmaca,لغز
274,Rede::N,nitq,خطبة
275,Sprache::N,dil,لغة
276,Stimme::N,səs,صوت
277,Wort::N,söz,كلمة
278,Wort::N,kəlmə,كلمة
279,Zeichen::N,nişan,رمز
280,Zeichen::N,nişan,إشارة
281,Ruf::N,çığırtı,نداء
282,Lärm::N,gurultu,صخب
283,Lärm::N,gurultu,ضجة
284,Laut::N,səs,صوت
285,Ton::N,ton,نغمة
286,Lied::N,mahnı,أغنية
287,Ruhe::N,sakitlik,هدوء
288,Leute::N,xalq,ناس
289,Volk::N,millət,شعب
290,Arbeit::N,iş,عمل
291,Arbeit::N,əmək,عمل
292,Gast::N,qonaq,ضيف
293,Gast::N,müsafir,ضيف
294,Geschenk::N,hədiyyə,هدية
295,Spiel::N,oyun,لعب
296,Spiel::N,tamaşa,لعب
297,Gesellschaft::N,cəmiyyet,صحبة
298,Hilfe::N,kömək,عون
299,Hilfe::N,kömək,مساعدة
300,Hilfe::N,yardım,عون
301,Hilfe::N,yardım,مساعدة
302,Freund::N,dost,صديق
303,Kamerad::N,yoldaş,زميل
304,Angelegenheit::N,iş,أمر
305,Angelegenheit::N,iş,شأن
306,Anzahl::N,say,عدد
307,Art::N,çeşid,نوع
308,Stück::N,dənə,قطعة
309,Stück::N,parça,قطعة
310,Teil::N,qisim,قسم
311,Hälfte::N,yarım,نصف
312,Kreis::N,dairə,دائرة
313,Kreuz::N,xaç,صليب
314,Linie::N,xətt,خط
315,Strich::N,cızıq,شرطة
316,Abstand::N,məsafə,مسافة
317,Entfernung::N,məsafə,بعد
318,Entfernung::N,uzaqlıq,بعد
319,Gegend::N,bölgə,ناحية
320,Platz::N,yer,فراغ
321,Ort::N,yer,مكان
322,Seite::N,yan,جانب
323,Seite::N,tərəf,جانب
324,Mitte::N,orta,وسط
325,Gegenstand::N,şey,موضوع
326,Sache::N,şey,شيء
327,Rand::N,kənar,حافة
328,Kante::N,tiyə,حافة
329,Kante::N,kənar,حافة
330,Ecke::N,bucaq,ركن
331,Spitze::N,uc,سن
332,Ende::N,son,طرف
333,Ende::N,axır,طرف
334,Loch::N,deşik,ثقب
335,Winkel::N,guşə,زاوية
336,Muster::N,ülgü,عينة
337,Größe::N,böyüklük,حجم
338,Länge::N,uzunluq,طول
339,Höhe::N,yüksəklik,علو
340,Höhe::N,yüksəklik,ارتفاع
341,Gewicht::N,çəki,وزن
342,Gewicht::N,ağırlıq,وزن
343,Menge::N,miqdar,كمية
344,Haufen::N,yığın,كوم
345,Reihe::N,səf,صف
346,Reihe::N,sıra,صف
347,Boot::N,qayıq,قارب
348,Boot::N,qayıq,زورق
349,Ruder::N,kürək,مجذاف
350,Schlitten::N,kirşə,مزلقة
351,Ski::N,xizək,زلاجة
352,Lagerfeuer::N,düşərgə tonqalı,نار المخيم
353,Last::N,yük,حمل
354,Gang::N,yeriş,مشية
355,Schritt::N,addım,خطوة
356,Norden::N,şimal,شمال
357,Süden::N,cənub,جنوب
358,Westen::N,qərb,غرب
359,Osten::N,şərq,شرق
360,Holz::N,ağac,خشب
361,Holz::N,taxta,خشب
362,Brett::N,taxta,لوح
363,Platte::N,lövhə,صفيحة
364,Stütze::N,dayaq,سند
365,Stütze::N,dayaq,دعامة
366,Stütze::N,dəstək,سند
367,Stütze::N,dəstək,دعامة
368,Stange::N,şüvül,عود
369,Stock::N,dəyənək,عصا
370,Stab::N,əsa,قضيب
371,Stab::N,şüvül,قضيب
372,Rohr::N,boru,أنبوبة
373,Rohr::N,truba,أنبوبة
374,Haus::N,ev,دار
375,Haus::N,ev,بيت
376,Heim::N,ev,بيت
377,Heim::N,ev,مسكن
378,Ofen::N,peç,مدفأة
379,Ofen::N,soba,مدفأة
380,Fußboden::N,döşəmə,أرضية
381,Tisch::N,masa,مائدة
382,Stuhl::N,stul,كرسي
383,Wiege::N,beşik,مهد
384,Bett::N,yataq,سرير
385,Regal::N,rəf,رف
386,Kiste::N,yeşik,صندوق
387,Kiste::N,sandıq,صندوق
388,Fenster::N,pəncərə,شباك
389,Fenster::N,pəncərə,نافذة
390,Tür::N,qapı,باب
391,Tor::N,darvaza,بوابة
392,Zaun::N,çəpər,سياج
393,Dach::N,dam,سطح
394,Leiter::N,nərdivan,سلم
395,Besen::N,süpürgə,مكنسة
396,Spaten::N,kürək,مسحاة
397,Schaufel::N,kürək,مجرفة
398,Gabel::N,çəngəl,شوكة
399,Löffel::N,qaşıq,ملعقة
400,Messer::N,bıçaq,سكين
401,Nagel::N,mıx,مسمار
402,Netz::N,tor,شبكة
403,Haken::N,çəngəl,خطاف
404,Haken::N,çəngəl,صنارة
405,Griff::N,qulp,قبضة
406,Griff::N,tutacaq,قبضة
407,Schloss::N,qıfıl,قفل
408,Bild::N,rəsm,صورة
409,Figur::N,şəkil,تمثال
410,Figur::N,heykəl,تمثال
411,Puppe::N,kukla,دمية
412,Puppe::N,gəlincik,دمية
413,Beutel::N,kisə,كيس
414,Beutel::N,torba,كيس
415,Bündel::N,bağlama,ربطة
416,Tasche::N,çanta,شنطة
417,Tasche::N,çanta,محفظة
418,Eimer::N,vedrə,سطل
419,Eimer::N,vedrə,جردل
420,Eimer::N,çəllək,سطل
421,Eimer::N,çəllək,جردل
422,Deckel::N,qapaq,سداد
423,Geschirr::N,qab-qazan,أوان
424,Sack::N,çuval,زكيبة
425,Tasse::N,fincan,فنجان
426,Topf::N,qazan,قدر
427,Topf::N,qazan,طنجرة
428,Kessel::N,qazan,قدر
429,Kessel::N,qazan,غلاية
430,Essen::N,yemək,طعام
431,Nahrung::N,qida,غذاء
432,Speise::N,xörək,أكل
433,Fleisch::N,ət,لحم
434,Getreide::N,taxıl,حبوب
435,Brei::N,aş,عصيدة
436,Brei::N,sıyıq,عصيدة
437,Brot::N,çörək,خبز
438,Scheibe::N,dilim,شريحة
439,Fett::N,yağ,سمن
440,Butter::N,kərə yağı,زبدة
441,Öl::N,yağ,زيت
442,Salz::N,duz,ملح
443,Suppe::N,şorba,حساء
444,Suppe::N,şorba,شربة
445,Honig::N,bal,عسل
446,Milch::N,süd,حليب
447,Tee::N,çay,شاي
448,Leder::N,dəri,جلد
449,Wolle::N,yun,صوف
450,Stoff::N,qumaş,قماش
451,Nadel::N,iynə,إبرة
452,Faden::N,sap,خيط
453,Knopf::N,düymə,زر
454,Knoten::N,düyün,عقدة
455,Farbe::N,boya,صبغة
456,Kleidung::N,geyim,ملابس
457,Hemd::N,köynək,قميص
458,Kragen::N,yaxa,ياقة
459,Ärmel::N,qol,كم
460,Hose::N,şalvar,سروال
461,Hose::N,şalvar,بنطلون
462,Gürtel::N,kəmər,حزام
463,Mütze::N,şapka,طاقية
464,Schuh::N,tufli,حذاء
465,Schuh::N,ayaqqabı,حذاء
466,Stiefel::N,çəkmə,جزمة
467,Stiefel::N,çəkmə,حذاء طويل
468,Ring::N,üzük,حلقة
469,Band::N,lent,شريط
470,Kamm::N,daraq,مشط
471,Spiegel::N,güzgü,مرآة
472,Riemen::N,qayış,سير
473,Schnur::N,ip,حبل
474,Schnur::N,ip,دوبارة
475,Leine::N,kəmsik,قيد
476,Decke::N,ədyal,بطانية
477,Decke::N,yorğan,بطانية
478,Kissen::N,yastıq,وسادة
479,Tuch::N,şarf,منديل
480,Tuch::N,kaşne,منديل
481,Handtuch::N,dəsmal,فوطة
482,Handtuch::N,dəsmal,منشفة
483,Kraft::N,güc,قدرة
484,Stärke::N,qüvvət,قوة
485,Gesundheit::N,sağlamlıq,صحة
486,Krankheit::N,xəstəlik,مرض
487,Schmerz::N,ağrı,ألم
488,Schmerz::N,ağrı,وجع
489,Schmerz::N,sancı,ألم
490,Schmerz::N,sancı,وجع
491,Wunde::N,yara,جرح
492,Fieber::N,isitmə,حمى
493,Fieber::N,qızdırma,حمى
494,Arznei::N,ilaç,دواء
495,Arznei::N,dərman,دواء
496,Brücke::N,körpü,جسر
497,Brunnen::N,quyu,بئر
498,Weide::N,otlaq,مرعى
499,Pfad::N,cığır,درب
500,Weg::N,yol,سكة
501,Straße::N,küçə,طريق
502,Dorf::N,kənd,قرية
503,Stadt::N,şəhər,مدينة
504,Brief::N,məktub,خطاب
505,Brief::N,məktub,مكتوب
506,Buch::N,kitab,كتاب
507,Buchstabe::N,hərf,حرف
508,Zeitung::N,qəzet,جريدة
509,Leben::N,həyat,عيش
510,Leben::N,həyat,حياة
511,Tod::N,ölüm,موت
512,Tod::N,ölüm,وفاة
513,Grab::N,qəbir,قبر
514,Kirche::N,kilsə,كنيسة
515,Sünde::N,günah,خطيئة
516,Gott::N,tanrı,إله
517,Arbeiter::N,işçi,عامل
518,Chef::N,şef,رئيس
519,Chef::N,rəis,رئيس
520,Meister::N,usta,أسطى
521,Arzt::N,həkim,طبيب
522,Arzt::N,doktor,طبيب
523,Lehrer::N,müəllim,مدرس
524,Geld::N,pul,نقود
525,Geschäft::N,ticarət,صفقة
526,Laden::N,dükan,دكان
527,Preis::N,qiymət,سعر
528,Ware::N,mal,بضاعة
529,Nutzen::N,fayda,فائدة
530,Reichtum::N,zənginlik,غنى
531,Reichtum::N,zənginlik,ثروة
532,Welt::N,aləm,عالم
533,Welt::N,aləm,دنيا
534,Welt::N,dünya,عالم
535,Welt::N,dünya,دنيا
536,Land::N,ölkə,بلد
537,Staat::N,dövlət,دولة
538,König::N,kral,ملك
539,König::N,məlik,ملك
540,Macht::N,qüdrət,سلطة
541,Grenze::N,hüdud,حدود
542,Grenze::N,sərhət,حدود
543,Krieg::N,hərb,حرب
544,Krieg::N,müharibə,حرب
545,Feind::N,düşmən,عدو
546,Gewalt::N,cəbr,عنف
547,Kampf::N,savaş,قتال
548,Bogen[Waffe]::N,yay,قوس
549,Pfeil::N,ox,سهم
550,Gewehr::N,tüfəng,بندقية
551,Fehler::N,xəta,خطأ
552,Lüge::N,yalan,كذب
553,Schaden::N,ziyan,تلف
554,Unglück::N,bəla,نحس
555,Schuld::N,təqsir,ذنب
556,Alter::N,yaş,سن
557,Alter::N,yaş,عمر
558,Schluss::N,son,ختام
559,Schluss::N,son,نهاية
560,Zeit::N,vaxt,وقت
561,Zeit::N,zaman,وقت
562,Tag::N,gün,يوم
563,Morgen::N,sabah,صباح
564,Mittag::N,günorta,ظهر
565,Abend::N,axşam,مساء
566,Nacht::N,gecə,ليلة
567,Woche::N,həftə,أسبوع
568,Monat::N,ay,شهر
569,Jahr::N,il,عام
570,Jahr::N,il,سنة
571,Frühling::N,yaz,ربيع
572,Frühling::N,bahar,ربيع
573,Sommer::N,yay,صيف
574,Herbst::N,payız,خريف
575,Winter::N,qış,شتاء
576,Januar::N,Janvar,يناير
577,Januar::N,Janvar,كانون الثاني
578,Februar::N,Fevral,شباط
579,Februar::N,Fevral,فبراير
580,März::N,Mart,آذار
581,März::N,Mart,مارس
582,April::N,Aprel,نيسان
583,Mai::N,May,مايو
584,Juni::N,İyun,يونيو
585,Juni::N,İyun,حزيران
586,Juli::N,İyul,تموز
587,Juli::N,İyul,يوليو
588,August::N,Avqust,آب
589,August::N,Avqust,أغسطس
590,September::N,Sentyabr,أيلول
591,September::N,Sentyabr,سبتمبر
592,Oktober::N,Oktyabr,أكتوبر
593,Oktober::N,Oktyabr,تشرين الأول
594,November::N,Noyabr,نوفمبر
595,November::N,Noyabr,تشرين الثاني
596,Dezember::N,Dekabr,ديسمبر
597,Dezember::N,Dekabr,كانون الأول
598,Montag::N,bazar ertəsi,يوم الاثنين
599,Dienstag::N,çərşənbə axşamı,يوم الثلاثاء
600,Mittwoch::N,çərşənbə,يوم الأربعاء
601,Donnerstag::N,cüme axşamı,يوم الخميس
602,Freitag::N,cüme,يوم الجمعة
603,Samstag::N,şənbə,يوم السبت
604,Sonntag::N,bazar,يوم الأحد
605,groß::A,böyük,كبير
606,klein::A,kiçik,صغير
607,lang::A,uzun,طويل
608,kurz::A,qısa,قصير
609,breit::A,enli,واسع
610,breit::A,geniş,واسع
611,schmal::A,dar,ضيق
612,dicht::A,sıx,كث
613,dicht::A,sıx,كثيف
614,dick[Gegenstand]::A,qalın,غليظ
615,dünn::A,nazik,رفيع
616,fein::A,incə,رقيق
617,fest::A,bərk,متين
618,fest::A,möhkəm,متين
619,flach::A,düz,سهل
620,flach::A,düz,منبسط
621,glatt::A,hamar,ناعم
622,hart::A,sərt,صلب
623,hart::A,sərt,جامد
624,weich::A,yumşaq,لين
625,rund::A,yuvarlaq,مستدير
626,spitz::A,uclu,مدبب
627,spitz::A,sivri,مدبب
628,scharf::A,kəskin,حاد
629,stumpf::A,küt,ثالم
630,schwer::A,ağır,ثقيل
631,schön::A,gözəl,جميل
632,schön::A,gəşəng,جميل
633,heiß::A,isti,حار
634,heiß::A,isti,ساخن
635,warm::A,ilıq,دافئ
636,kalt::A,soyuq,بارد
637,kühl::A,sərin,قر
638,frisch::A,təzə,طازج
639,feucht::A,nəm,رطب
640,nass::A,yaş,مبلول
641,trocken::A,quru,جاف
642,voll::A,dolu,ملء
643,leer::A,boş,خال
644,leer::A,boş,فارغ
645,offen::A,açıq,مفتوح
646,geschlossen::A,qapalı,مغلق
647,sauber::A,təmiz,نظيف
648,schmutzig::A,kirli,قذر
649,roh::A,çiy,نيء
650,reif::A,yetişmiş,ناضج
651,lecker::A,dadlı,لذيذ
652,lecker::A,ləzzətli,لذيذ
653,süß::A,şirin,حلو
654,bitter::A,acı,مر
655,sauer::A,turş,حامض
656,hell::A,aydın,نير
657,dunkel::A,qaranlıq,مظلم
658,schwarz::A,qara,أسود
659,weiß::A,ağ,أبيض
660,rot::A,qırmızı,أحمر
661,gelb::A,sarı,أصفر
662,blau::A,göy,أزرق
663,blau::A,mavi,أزرق
664,grün::A,yaşıl,أخضر
665,grau::A,boz,رمادي
666,bunt::A,əlvan,ملوب
667,bunt::A,rəngli,ملوب
668,billig::A,ucuz,رخيص
669,teuer::A,bahalı,غال
670,wertvoll::A,qiymətli,ثمين
671,blind::A,kor,أعمى
672,taub::A,kar,أصم
673,taub::A,kar,أطرش
674,kräftig::A,güclü,قوي
675,stark::A,qüvvətli,قوي
676,schwach::A,zəif,ضعيف
677,schwach::A,gücsüz,ضعيف
678,fett::A,şişman,سمين
679,schlank::A,zərif,أهيف
680,hübsch::A,göyçək,جميل
681,böse::A,fəna,رديء
682,dumm::A,axmaq,أبله
683,dumm::A,axmaq,أحمق
684,faul::A,tənbəl,كسلان
685,fleißig::A,çalışqan,مجتهد
686,geizig::A,xəsis,بخيل
687,klug::A,ağıllı,ذكي
688,klug::A,ağıllı,عاقل
689,geschickt::A,bacarıqlı,ماهر
690,lieb::A,əziz,عزيز
691,lieb::A,sevimli,عزيز
692,lustig::A,məzəli,مرح
693,lustig::A,gülməli,مرح
694,sanft::A,mülayim,حليم
695,hungrig::A,ac,جائع
696,krank::A,xəstə,مريض
697,nackt::A,çılpaq,عار
698,traurig::A,qəmgin,حزين
699,traurig::A,kədərli,حزين
700,lebendig::A,canlı,حي
701,gut::A,yaxşı,جيد
702,schlecht::A,pis,سيء
703,richtig::A,doğru,صحيح
704,schlimm::A,fəna,خبيث
705,wahr::A,gərçək,حق
706,alt::A,əski,قديم
707,alt::A,köhnə,قديم
708,neu::A,yeni,جديد
709,ehemalig::A,əvvəlki,سابق
710,alt[Lebewesen]::A,qoca,مسن
711,jung::A,gənc,شاب
712,jung::A,gənc,صغير
713,arm::A,kasıb,فقير
714,arm::A,yoxsul,فقير
715,reich::A,zəngin,غني
716,bekannt::A,tanış,معلوم
717,berühmt::A,məşhur,مشهور
718,fremd::A,yad,أجنبي
719,verschieden::A,dürlü,مختلف
720,nah::A,yaxın,قريب
721,fern::A,uzaq,بعيد
722,linker::A,sol,يسار
723,rechter::A,sağ,يمين
724,anderer::A,başqa,آخر
725,erster::A,birinci,أول
726,zweiter::A,ikinci,ثان
727,dritter::A,üçüncü,ثالث
728,letzter::A,sonuncu,أخير
729,letzter::A,axırıncı,أخير
730,allein::ADV,tək,وحده
731,allein::ADV,yalqız,وحده
732,auf einmal::ADV,birdən,بالمرة
733,zusammen::ADV,birlikdə,معا
734,lange::ADV,uzun,مدة طويلة
735,plötzlich::ADV,qəfildən,فجأة
736,sofort::ADV,həmən,حالا
737,sofort::ADV,həmən,فورا
738,sofort::ADV,dərhal,حالا
739,sofort::ADV,dərhal,فورا
740,später::ADV,sonra,فيما بعد
741,jetzt::ADV,indi,الآن
742,jetzt::ADV,indi,حاليا
743,heute::ADV,bugün,اليوم
744,morgen::ADV,sabah,غدا
745,bald::ADV,yaxında,قريبا
746,bald::ADV,tezliklə,قريبا
747,dann::ADV,onda,ثم
748,gestern::ADV,dünən,أمس
749,gestern::ADV,dünən,البارحة
750,einst::ADV,əvvəllər,قديما
751,damals::ADV,o vaxt,حينئذ
752,danach::ADV,sonra,ثم
753,danach::ADV,sonra,بعد ذلك
754,vorher::ADV,qabaqcadan,من قبل
755,vorher::ADV,qabaqcadan,قبل ذلك
756,zuerst::ADV,əvvəl,أولا
757,einmal::ADV,bir dəfə,مرة
758,manchmal::ADV,hərdənbir,أحيانا
759,oft::ADV,tez-tez,كثيرا
760,oft::ADV,çox vaxt,كثيرا
761,immer::ADV,daimi,دائما
762,immer::ADV,həmişə,دائما
763,niemals::ADV,əsla,لا أبدا
764,niemals::ADV,heç bir zaman,لا أبدا
765,hier::ADV,bura,هنا
766,hier::ADV,burada,هنا
767,hierhin::ADV,buraya,إلى هنا
768,von hier::ADV,buradan,من هنا
769,dort::ADV,ora,هناك
770,dort::ADV,orada,هناك
771,dorthin::ADV,oraya,إلى هناك
772,geradeaus::ADV,düz,إلى الأمام
773,vorwärts::ADV,irəli,إلى الأمام
774,rückwärts::ADV,geri,إلى الوراء
775,zurück::ADV,geriyə,عودا
776,zurück::ADV,geriyə,إلى الخلف
777,unten::ADV,aşağıda,تحت
778,unten::ADV,aşağıda,في الأسفل
779,hinab::ADV,aşağı,إلى تحت
780,oben::ADV,yuxarıda,فوق
781,oben::ADV,yuxarıda,في الأعلى
782,hinauf::ADV,yuxarı,إلى فوق
783,hinauf::ADV,yuxarı,إلى الأعلى
784,überall::ADV,hər yerdə,في كل مكان
