,Concept_ID,pl,ja
205,Gold::N,złoto,金
206,Silber::N,srebro,銀
207,Kohle::N,węgiel,炭
208,Glas::N,szkło,ガラス
209,Lehm::N,glina,ローム
210,Sand::N,piasek,砂
211,Mensch::N,człowiek,人
212,Mann::N,mężczyzna,男
213,Mann::N,mężczyzna,男性
214,Frau::N,kobieta,女
215,Frau::N,kobieta,女性
216,Kind::N,dziecko,子
217,Kind::N,dziecko,子供
218,Junge::N,chłopak,男の子
219,Junge::N,chłopiec,男の子
220,Mädchen::N,dziewczynka,女の子
221,Familie::N,rodzina,家族
222,Großvater::N,dziadek,祖父
223,Großvater::N,dziadek,おじいさん
224,Großmutter::N,babka,祖母
225,Großmutter::N,babka,おばあさん
226,Eltern::N,rodzice,親
227,Eltern::N,rodzice,両親
228,Vater::N,ojciec,父
229,Vater::N,ojciec,お父さん
230,Mutter::N,matka,母
231,Mutter::N,matka,お母さん
232,Sohn::N,syn,息子
233,Sohn::N,syn,息子さん
234,Tochter::N,córka,娘
235,Tochter::N,córka,お嬢さん
236,Bruder::N,brat,弟
237,Schwester::N,siostra,妹
238,Onkel::N,wuj,伯父
239,Onkel::N,wuj,伯父さん
240,Onkel::N,stryj,伯父
241,Onkel::N,stryj,伯父さん
242,Tante::N,ciotka,叔母
243,Tante::N,ciotka,叔母さん
244,Ehemann::N,mąż,夫
245,Ehemann::N,mąż,主人
246,Ehefrau::N,żona,妻
247,Ehefrau::N,żona,奥さん
248,Freude::N,radość,喜び
249,Gelächter::N,śmiech,笑い
250,Glück::N,szczęście,幸せ
251,Kummer::N,zmartwienie,悩み
252,Wunsch::N,życzenie,希望
253,Lust::N,chęć,気
254,Lust::N,ochota,気
255,Geist::N,duch,精神
256,Gedanke::N,myśl,考え
257,Gedächtnis::N,pamięć,記憶
258,Verstand::N,rozum,理解力
259,Sinn::N,zmysł,意味
260,Grund::N,powód,理由
261,Wahrheit::N,prawda,真実
262,Gespräch::N,rozmowa,会話
263,Märchen::N,bajka,童話
264,Erzählung::N,opowiadanie,物語
265,Nachricht::N,wiadomość,報告
266,Neuigkeit::N,nowina,ニュース
267,Name::N,imię,名前
268,Rätsel::N,zagadka,謎
269,Rede::N,mowa,演説
270,Sprache::N,język,言語
271,Stimme::N,głos,声
272,Wort::N,słowo,言葉
273,Zeichen::N,znak,記号
274,Ruf::N,wołanie,呼び声
275,Lärm::N,hałas,騒音
276,Lärm::N,zgiełk,騒音
277,Laut::N,dźwięk,音
278,Ton::N,ton,音
279,Ton::N,dźwięk,音
280,Lied::N,pieśń,歌
281,Lied::N,piosenka,歌
282,Ruhe::N,spokój,静けさ
283,Leute::N,ludzie,人々
284,Volk::N,naród,民族
285,Arbeit::N,praca,仕事
286,Arbeit::N,robota,仕事
287,Gast::N,gość,客
288,Geschenk::N,prezent,贈り物
289,Geschenk::N,podarunek,贈り物
290,Spiel::N,gra,遊び
291,Spiel::N,zabawa,遊び
292,Gesellschaft::N,towarzystwo,社会
293,Hilfe::N,pomoc,援助
294,Freund::N,przyjaciel,友達
295,Kamerad::N,kolega,同志
296,Angelegenheit::N,sprawa,件
297,Anzahl::N,ilość,数
298,Art::N,rodzaj,種類
299,Stück::N,kawałek,部分
300,Teil::N,część,部分
301,Hälfte::N,połowa,半分
302,Kreis::N,krąg,円
303,Kreuz::N,krzyż,十字
304,Linie::N,linia,線
305,Strich::N,kreska,線
306,Abstand::N,odstęp,距離
307,Entfernung::N,odległość,距離
308,Gegend::N,okolica,辺
309,Gegend::N,okolica,地域
310,Platz::N,miejsce,ゆとり
311,Ort::N,miejsce,所
312,Ort::N,miejsce,場所
313,Seite::N,bok,横
314,Seite::N,strona,横
315,Mitte::N,środek,真ん中
316,Gegenstand::N,przedmiot,物件
317,Sache::N,rzecz,物
318,Rand::N,skraj,端
319,Rand::N,krawędź,端
320,Kante::N,kant,縁
321,Kante::N,krawędź,縁
322,Ecke::N,róg,角
323,Spitze::N,ostrze,先頭
324,Ende::N,koniec,端
325,Loch::N,dziura,穴
326,Winkel::N,kąt,片隅
327,Winkel::N,kącik,片隅
328,Muster::N,wzór,模様
329,Größe::N,rozmiar,大きさ
330,Größe::N,wielkość,大きさ
331,Länge::N,długość,長さ
332,Höhe::N,wysokość,高さ
333,Gewicht::N,ciężar,重さ
334,Menge::N,ilość,量
335,Haufen::N,kupa,堆積
336,Reihe::N,rząd,並び
337,Reihe::N,szereg,並び
338,Boot::N,łódź,ボート
339,Boot::N,łódka,ボート
340,Ruder::N,wiosło,オール
341,Schlitten::N,sanki,そり
342,Ski::N,narta,スキー
343,Lagerfeuer::N,ognisko,篝火
344,Last::N,ciężar,荷物
345,Last::N,brzemię,荷物
346,Gang::N,chód,歩み
347,Schritt::N,krok,歩
348,Norden::N,północ,北
349,Süden::N,południe,南
350,Westen::N,zachód,西
351,Osten::N,wschód,東
352,Holz::N,drzewo,木
353,Holz::N,drzewo,木材
354,Brett::N,deska,板
355,Platte::N,płyta,盤
356,Stütze::N,podpora,支柱
357,Stange::N,drąg,棒
358,Stange::N,żerdź,棒
359,Stock::N,kij,杖
360,Stock::N,laska,杖
361,Stab::N,pręt,棒
362,Rohr::N,rura,管
363,Haus::N,dom,家
364,Heim::N,dom,家
365,Ofen::N,piec,ストーブ
366,Fußboden::N,podłoga,床
367,Tisch::N,stół,机
368,Stuhl::N,krzesło,椅子
369,Wiege::N,kołyska,揺籃
370,Bett::N,łóżko,ベッド
371,Bett::N,pościel,ベッド
372,Regal::N,regał,棚
373,Kiste::N,skrzynia,箱
374,Fenster::N,okno,窓
375,Tür::N,drzwi,戸
376,Tür::N,drzwi,ドア
377,Tor::N,brama,門
378,Zaun::N,płot,垣根
379,Zaun::N,parkan,垣根
380,Dach::N,dach,屋根
381,Leiter::N,drabina,梯子
382,Besen::N,miotła,ほうき
383,Spaten::N,rydel,スコップ
384,Schaufel::N,łopata,シャベル
385,Gabel::N,widelec,フォーク
386,Löffel::N,łyżka,スプーン
387,Messer::N,nóż,ナイフ
388,Nagel::N,gwóźdź,釘
389,Netz::N,sieć,網
390,Haken::N,hak,鉤
391,Haken::N,hak,フック
392,Griff::N,chwyt,取っ手
393,Schloss::N,zamek,錠
394,Bild::N,obraz,絵
395,Figur::N,figura,像
396,Puppe::N,lalka,人形
397,Beutel::N,torba,袋
398,Bündel::N,wiązka,束
399,Bündel::N,wiązka,包み
400,Tasche::N,torba,かばん
401,Eimer::N,kubeł,バケツ
402,Eimer::N,wiadro,バケツ
403,Deckel::N,przykrywka,蓋
404,Geschirr::N,statki,食器
405,Geschirr::N,naczynia,食器
406,Sack::N,worek,袋
407,Tasse::N,filiżanka,カップ
408,Topf::N,garnek,鍋
409,Kessel::N,kocioł,釜
410,Essen::N,jedzenie,食事
411,Nahrung::N,pokarm,食物
412,Nahrung::N,pożywienie,食物
413,Speise::N,potrawa,料理
414,Speise::N,jedzenie,料理
415,Fleisch::N,mięso,肉
416,Getreide::N,zboże,麦
417,Getreide::N,zboże,穀物
418,Brei::N,kasza,粥
419,Brot::N,chleb,パン
420,Scheibe::N,kromka,枚
421,Scheibe::N,kromka,切れ
422,Fett::N,tłuszcz,脂肪
423,Butter::N,masło,バター
424,Öl::N,olej,油
425,Salz::N,sól,塩
426,Suppe::N,zupa,スープ
427,Honig::N,miód,蜂蜜
428,Milch::N,mleko,牛乳
429,Tee::N,herbata,茶
430,Tee::N,herbata,お茶
431,Leder::N,skóra,革
432,Wolle::N,wełna,毛糸
433,Stoff::N,tkanina,布
434,Stoff::N,materiał,布
435,Nadel::N,igła,針
436,Faden::N,nić,糸
437,Faden::N,nitka,糸
438,Knopf::N,guzik,ボタン
439,Knoten::N,węzeł,結び目
440,Farbe::N,farba,ペンキ
441,Kleidung::N,odzież,衣服
442,Hemd::N,koszula,シャツ
443,Kragen::N,kołnierz,襟
444,Ärmel::N,rękaw,袖
445,Hose::N,spodnie,ズボン
446,Gürtel::N,pasek,帯
447,Gürtel::N,pasek,ベルト
448,Mütze::N,czapka,帽子
449,Schuh::N,but,靴
450,Schuh::N,bucik,靴
451,Stiefel::N,but,ブーツ
452,Stiefel::N,kozak,ブーツ
453,Ring::N,pierścień,輪
454,Band::N,wstęga,リボン
455,Kamm::N,grzebień,櫛
456,Spiegel::N,lustro,鏡
457,Riemen::N,rzemień,緒
458,Schnur::N,sznur,紐
459,Leine::N,smycz,綱
460,Decke::N,kołdra,掛け布団
461,Kissen::N,poduszka,枕
462,Tuch::N,chustka,スカーフ
463,Handtuch::N,ręcznik,タオル
464,Kraft::N,moc,力
465,Kraft::N,siła,力
466,Stärke::N,moc,強さ
467,Stärke::N,siła,強さ
468,Gesundheit::N,zdrowie,健康
469,Krankheit::N,choroba,病気
470,Schmerz::N,ból,痛み
471,Wunde::N,rana,傷
472,Fieber::N,gorączka,熱
473,Arznei::N,lekarstwo,薬
474,Brücke::N,most,橋
475,Brunnen::N,studnia,井戸
476,Weide::N,pastwisko,牧場
477,Pfad::N,ścieżka,小路
478,Weg::N,droga,道
479,Straße::N,ulica,街道
480,Dorf::N,wieś,村
481,Stadt::N,miasto,町
482,Stadt::N,miasto,都市
483,Brief::N,list,手紙
484,Buch::N,książka,本
485,Buchstabe::N,litera,文字
486,Zeitung::N,gazeta,新聞
487,Zeitung::N,dziennik,新聞
488,Leben::N,życie,生活
489,Tod::N,śmierć,死
490,Grab::N,grób,墓
491,Kirche::N,kościół,教会
492,Sünde::N,grzech,罪
493,Gott::N,bóg,神
494,Arbeiter::N,robotnik,労働者
495,Chef::N,szef,上司
496,Meister::N,mistrz,達人
497,Meister::N,mistrz,マイスター
498,Meister::N,majster,達人
499,Meister::N,majster,マイスター
500,Arzt::N,lekarz,医者
501,Lehrer::N,nauczyciel,先生
502,Geld::N,pieniądze,金
503,Geschäft::N,sprawa,取り引き
504,Geschäft::N,interes,取り引き
505,Laden::N,sklep,店
506,Preis::N,cena,値段
507,Ware::N,towar,商品
508,Nutzen::N,pożytek,利益
509,Reichtum::N,bogactwo,豊かさ
510,Welt::N,świat,世界
511,Land::N,kraj,国
512,Staat::N,państwo,国家
513,König::N,król,国王
514,Macht::N,władza,権力
515,Grenze::N,granica,国境
516,Krieg::N,wojna,戦争
517,Feind::N,wróg,敵
518,Gewalt::N,władza,暴力
519,Kampf::N,bój,戦い
520,Kampf::N,walka,戦い
521,Bogen[Waffe]::N,łuk,弓
522,Pfeil::N,strzała,矢
523,Gewehr::N,karabin,銃
524,Fehler::N,błąd,間違い
525,Lüge::N,kłamstwo,嘘
526,Schaden::N,szkoda,損害
527,Unglück::N,nieszczęście,不幸
528,Schuld::N,wina,罪
529,Alter::N,wiek,年
530,Alter::N,wiek,年齢
531,Schluss::N,koniec,終わり
532,Schluss::N,zakończenie,終わり
533,Zeit::N,czas,時
534,Zeit::N,czas,時間
535,Tag::N,dzień,日
536,Morgen::N,ranek,朝
537,Morgen::N,poranek,朝
538,Mittag::N,południe,昼
539,Abend::N,wieczór,晩
540,Abend::N,wieczór,夕方
541,Nacht::N,noc,夜
542,Woche::N,tydzień,週
543,Monat::N,miesiąc,月
544,Jahr::N,rok,年
545,Frühling::N,wiosna,春
546,Sommer::N,lato,夏
547,Herbst::N,jesień,秋
548,Winter::N,zima,冬
549,Januar::N,styczeń,一月
550,Februar::N,luty,二月
551,März::N,marzec,三月
552,April::N,kwiecień,四月
553,Mai::N,maj,五月
554,Juni::N,czerwiec,六月
555,Juli::N,lipiec,七月
556,August::N,sierpień,八月
557,September::N,wrzesień,九月
558,Oktober::N,październik,十月
559,November::N,listopad,十一月
560,Dezember::N,grudzień,十二月
561,Montag::N,poniedziałek,月曜日
562,Dienstag::N,wtorek,火曜日
563,Mittwoch::N,środa,水曜日
564,Donnerstag::N,czwartek,木曜日
565,Freitag::N,piątek,金曜日
566,Samstag::N,sobota,土曜日
567,Sonntag::N,niedziela,日曜日
568,groß::A,duży,大きい
569,groß::A,wielki,大きい
570,klein::A,mały,小さい
571,lang::A,długi,長い
572,kurz::A,krótki,短い
573,breit::A,szeroki,広い
574,schmal::A,wąski,狭い
575,dicht::A,gęsty,密な
576,dick[Gegenstand]::A,gruby,厚い
577,dünn::A,cienki,薄い
578,fein::A,drobny,細い
579,fest::A,mocny,硬い
580,fest::A,twardy,硬い
581,flach::A,płaski,平らな
582,glatt::A,gładki,滑らかな
583,hart::A,twardy,堅い
584,weich::A,miękki,柔らかい
585,rund::A,okrągły,丸い
586,spitz::A,spiczasty,尖った
587,scharf::A,ostry,鋭い
588,stumpf::A,tępy,鈍い
589,schwer::A,ciężki,重い
590,schön::A,ładny,綺麗な
591,schön::A,piękny,綺麗な
592,heiß::A,gorący,熱い
593,warm::A,ciepły,温かい
594,kalt::A,zimny,寒い
595,kalt::A,zimny,冷たい
596,kühl::A,chłodny,涼しい
597,frisch::A,świeży,ひんやりした
598,feucht::A,wilgotny,湿った
599,nass::A,mokry,濡れた
600,trocken::A,suchy,乾いた
601,voll::A,pełny,いっぱいの
602,leer::A,pusty,空の
603,leer::A,próżny,空の
604,offen::A,otwarty,開いた
605,geschlossen::A,zamknięty,閉まった
606,sauber::A,czysty,清潔な
607,schmutzig::A,brudny,汚い
608,roh::A,surowy,生の
609,reif::A,dojrzały,熟した
610,lecker::A,smaczny,美味しい
611,süß::A,słodki,甘い
612,bitter::A,gorzki,苦い
613,sauer::A,kwaśny,酸っぱい
614,hell::A,jasny,明るい
615,dunkel::A,ciemny,暗い
616,schwarz::A,czarny,黒い
617,weiß::A,biały,白い
618,rot::A,czerwony,赤い
619,gelb::A,żółty,黄色い
620,blau::A,błękitny,青い
621,blau::A,niebieski,青い
622,grün::A,zielony,緑の
623,grau::A,szary,灰色の
624,bunt::A,barwny,色取り取りの
625,billig::A,tani,安い
626,teuer::A,drogi,高い
627,wertvoll::A,cenny,貴重な
628,blind::A,ślepy,盲目の
629,taub::A,głuchy,耳が聞こえない
630,kräftig::A,mocny,強力な
631,stark::A,silny,強い
632,schwach::A,słaby,弱い
633,fett::A,tłusty,太った
634,schlank::A,smukły,ほっそりした
635,hübsch::A,ładny,素敵な
636,böse::A,zły,悪い
637,dumm::A,głupi,馬鹿な
638,faul::A,leniwy,怠惰な
639,fleißig::A,pilny,勤勉な
640,geizig::A,skąpy,けちな
641,klug::A,mądry,賢い
642,klug::A,mądry,頭のいい
643,geschickt::A,zręczny,器用な
644,lieb::A,miły,愛らしい
645,lustig::A,wesoły,楽しい
646,sanft::A,łagodny,温和な
647,hungrig::A,głodny,空腹の
648,krank::A,chory,病気の
649,nackt::A,nagi,裸の
650,traurig::A,smutny,悲しい
651,lebendig::A,żywy,生きた
652,gut::A,dobry,良い
653,schlecht::A,zły,悪い
654,schlecht::A,zły,駄目な
655,richtig::A,słuszny,正しい
656,richtig::A,właściwy,正しい
657,schlimm::A,zły,ひどい
658,wahr::A,prawdziwy,本当の
659,alt::A,stary,古い
660,neu::A,nowy,新しい
661,ehemalig::A,były,以前の
662,alt[Lebewesen]::A,stary,年を取った
663,jung::A,młody,若い
664,arm::A,ubogi,貧乏な
665,arm::A,biedny,貧乏な
666,reich::A,bogaty,裕福な
667,bekannt::A,znany,有名な
668,berühmt::A,słynny,有名な
669,fremd::A,obcy,見知らぬ
670,fremd::A,cudzy,見知らぬ
671,verschieden::A,różny,色々な
672,nah::A,bliski,近い
673,fern::A,daleki,遠い
674,linker::A,lewy,左の
675,rechter::A,prawy,右の
676,anderer::A,inny,別の
677,erster::A,pierwszy,一番目
678,zweiter::A,drugi,二番目
679,dritter::A,trzeci,三番目
680,letzter::A,ostatni,最後の
681,allein::ADV,sam,一人で
682,auf einmal::ADV,naraz,同時に
683,zusammen::ADV,razem,一緒に
684,lange::ADV,długo,長い間
685,plötzlich::ADV,nagle,急に
686,sofort::ADV,natychmiast,すぐに
687,später::ADV,później,後で
688,jetzt::ADV,teraz,今
689,jetzt::ADV,obecnie,今
690,heute::ADV,dziś,今日
691,heute::ADV,dzisiaj,今日
692,morgen::ADV,jutro,明日
693,bald::ADV,wkrótce,間もなく
694,dann::ADV,potem,それから
695,gestern::ADV,wczoraj,昨日
696,einst::ADV,kiedyś,過去に
697,einst::ADV,niegdyś,過去に
698,damals::ADV,wtedy,あの時
699,damals::ADV,wówczas,あの時
700,danach::ADV,następnie,その後で
701,vorher::ADV,przedtem,以前に
702,zuerst::ADV,naprzód,まず
703,zuerst::ADV,naprzód,最初に
704,zuerst::ADV,najpierw,まず
705,zuerst::ADV,najpierw,最初に
706,einmal::ADV,raz,一回
707,manchmal::ADV,czasem,時々
708,oft::ADV,często,よく
709,immer::ADV,zawsze,いつも
710,niemals::ADV,nigdy,一度も...ない
711,hier::ADV,tu,こちら
712,hier::ADV,tutaj,こちら
713,hierhin::ADV,tu,ここへ
714,hierhin::ADV,tu,こちらへ
715,von hier::ADV,stąd,ここから
716,dort::ADV,tam,そちら
717,dorthin::ADV,tam,そこへ
718,dorthin::ADV,tam,そちらへ
719,geradeaus::ADV,prosto,真っ直ぐに
720,vorwärts::ADV,naprzód,前へ
721,rückwärts::ADV,wstecz,後ろへ
722,zurück::ADV,z powrotem,後ろへ
723,unten::ADV,u dołu,下に
724,unten::ADV,na dole,下に
725,hinab::ADV,na_dół,下へ
726,hinab::ADV,w_dół,下へ
727,oben::ADV,w górze,上に
728,oben::ADV,na górze,上に
729,hinauf::ADV,w górę,上へ
730,hinauf::ADV,na górę,上へ
731,überall::ADV,wszędzie,どこでも
732,nicht::ADV,nie,ない
733,ein wenig::ADV,trochę,少し
734,ein wenig::ADV,trochę,ちょっと
735,kaum::ADV,ledwie,ほとんど～ない
736,kaum::ADV,prawie nie,ほとんど～ない
737,sehr::ADV,bardzo,とても
738,so::ADV,tak,こう
739,noch::ADV,jeszcze,まだ
740,nur::ADV,tylko,～だけ
741,schon::ADV,już,もう
742,wieder::ADV,znów,再び
743,wieder::ADV,znowu,再び
744,vergebens::ADV,na próżno,無駄に
745,vor::PRP,przed,前に
746,hinter::PRP,za,後ろに
747,unter::PRP,pod,下に
748,durch::PRP,przez,通して
749,neben::PRP,obok,横に
750,zwischen::PRP,między,間に
751,wegen::PRP,z powodu,為に
752,wegen::PRP,z powodu,せいで
753,dies::PRN,to,これ
754,das::PRN,to,それ
755,alles::PRN,wszystko,全部
756,ich::PRN,ja,私
757,du::PRN,ty,あなた
758,er::PRN,on,彼
759,wir::PRN,my,私達
760,ihr::PRN,wy,あなた達
761,sie::PRN,oni,彼ら
762,was::FPRN,co,何
763,wer::FPRN,kto,誰
764,wer::FPRN,kto,どなた
765,wo::FADV,gdzie,どこ
766,wo::FADV,gdzie,どこに
767,wohin::FADV,dokąd,どこへ
768,wie::FADV,jak,どう
769,warum::FADV,dlaczego,何故
770,warum::FADV,dlaczego,どうして
771,wieviel::FNUM,ile,どのくらい
772,eins::NUM,jeden,一
773,zwei::NUM,dwa,二
774,zwei::NUM,dwa,二つ
775,drei::NUM,trzy,三
776,drei::NUM,trzy,三つ
777,vier::NUM,cztery,四
778,vier::NUM,cztery,四つ
779,fünf::NUM,pięć,五
780,fünf::NUM,pięć,五つ
781,sechs::NUM,sześć,六
782,sechs::NUM,sześć,六つ
783,sieben::NUM,siedem,七
784,sieben::NUM,siedem,七つ
785,acht::NUM,osiem,八
786,acht::NUM,osiem,八つ
787,neun::NUM,dziewięć,九
788,neun::NUM,dziewięć,九つ
789,zehn::NUM,dziesięć,十
790,elf::NUM,jedenaście,十一
791,zwölf::NUM,dwanaście,十二
792,zwanzig::NUM,dwadzieścia,二十
793,dreißig::NUM,trzydzieści,三十
794,vierzig::NUM,czterdzieści,四十
795,fünfzig::NUM,pięćdziesiąt,五十
796,sechzig::NUM,sześćdziesiąt,六十
797,siebzig::NUM,siedemdziesiąt,七十
798,achtzig::NUM,osiemdziesiąt,八十
799,neunzig::NUM,dziewięćdziesiąt,九十
800,hundert::NUM,sto,百
801,tausend::NUM,tysiąc,千
802,und::CNJ,i,-と
803,und::CNJ,i,そして
804,oder::CNJ,lub,或いは
805,oder::CNJ,albo,或いは
806,stehen::V,stać,立っている
807,sitzen::V,siedzieć,座っている
808,liegen::V,leżeć,横になっている
809,hängen::V,wisieć,掛かっている
810,werden::V,zostać,なる
811,werden::V,stać się,なる
812,passieren::V,dziać się,起こる
813,passieren::V,zdarzyć się,起こる
814,beginnen::V,zacząć się,始まる
815,enden::V,kończyć się,終わる
816,wechseln::V,zmienić się,変わる
817,aufgehen[Sonne]::V,wzejść,出る
818,untergehen[Sonne]::V,zajść,沈む
819,scheinen[Sonne]::V,świecić,輝く
820,donnern::V,grzmieć,雷が鳴る
821,wehen::V,wiać,吹く
822,strömen::V,płynąć,流れる
823,strömen::V,lać się,流れる
824,fließen::V,ciec,流れる
825,fließen::V,płynąć,流れる
826,sich drehen::V,obracać się,回転する
827,schwanken::V,chwiać się,揺れる
828,schwingen::V,wahać się,振動する
829,fallen::V,padać,落ちる
830,brennen::V,palić się,燃える
831,rauchen::V,dymić,煙を出す
832,rauchen::V,dymić się,煙を出す
833,regnen::V,padać,雨が降る
834,gefrieren::V,zamarznąć,凍る
835,tauen::V,tajać,溶ける
