,Concept_ID,pl,ga
168,Weide[Baum]::N,wierzba,saileach
169,Tanne::N,jodła,giúis
170,Horn::N,róg,adharc
171,Feder::N,pióro,cleite
172,Fell::N,futro,clúmh
173,Flügel::N,skrzydło,eite
174,Flügel::N,skrzydło,sciathán
175,Klaue::N,szpon,crúb
176,Klaue::N,szpon,crobh
177,Kralle::N,pazur,crobh
178,Schwanz::N,ogon,eireaball
179,Ei::N,jajko,ubh
180,Nest::N,gniazdo,nead
181,Bau::N,nora,brocais
182,Tier::N,zwierzę,ainmhí
183,Tier::N,zwierzę,beithíoch
184,Herde::N,stado,tréad
185,Herde::N,trzoda,tréad
186,Kuh::N,krowa,bó
187,Bulle::N,byk,tarbh
188,Pferd::N,koń,each
189,Pferd::N,koń,capall
190,Schaf::N,owca,caora
191,Schwein::N,świnia,muc
192,Hund::N,pies,madra
193,Katze::N,kot,cat
194,Katze::N,kotka,cat
195,Bär::N,niedźwiedż,béar
196,Eichhörnchen::N,wiewiórka,iora
197,Elch::N,łóś,eilc
198,Fuchs::N,lis,sionnach
199,Fuchs::N,lis,madra rua
200,Hase::N,zając,giorria
201,Maus::N,mysz,luch
202,Wolf::N,wilk,mac tíre
203,Vogel::N,ptak,éan
204,Schwarm::N,stado,saithe
205,Huhn::N,kura,cearc
206,Hahn::N,kogut,coileach
207,Gans::N,gęś,gé
208,Adler::N,orzeł,iolar
209,Ente::N,kaczka,lacha
210,Eule::N,sowa,ulchabhán
211,Kranich::N,żuraw,grús
212,Krähe::N,wrona,caróg
213,Krähe::N,wrona,préachán
214,Kuckuck::N,kukułka,cuach
215,Schwan::N,łabędż,eala
216,Fisch::N,ryba,iasc
217,Barsch::N,okoń,péirse
218,Hecht::N,szczupak,liús
219,Schlange[Tier]::N,wąż,nathair
220,Schlange[Tier]::N,żmija,nathair
221,Wurm::N,robak,péist
222,Spinne::N,pająk,damhán alla
223,Ameise::N,mrówka,seangán
224,Laus::N,wesz,míol
225,Mücke::N,komar,muiscít
226,Mücke::N,komar,corrmhíol
227,Fliege::N,mucha,cuil
228,Fliege::N,mucha,cuileog
229,Schmetterling::N,motyl,féileacán
230,Beere::N,jagoda,caor
231,Apfel::N,jabłko,úll
232,Pilz::N,grzyb,beacán
233,Pilz::N,grzyb,muisiriún
234,Zwiebel::N,cebula,oinniún
235,Saat::N,siew,síol
236,Korn::N,ziarno,gráinne
237,Heu::N,siano,féar
238,Schale::N,łupina,scaimh
239,Grube::N,dół,poll
240,Grube::N,jama,poll
241,Falle::N,pułapka,gaiste
242,Schlinge::N,sidła,sealán
243,Spur::N,ślad,rian
244,Asche::N,popiół,luaith
245,Dreck::N,brud,salachar
246,Eisen::N,żelazo,iarann
247,Gold::N,złoto,ór
248,Silber::N,srebro,airgead
249,Kohle::N,węgiel,gual
250,Glas::N,szkło,gloine
251,Lehm::N,glina,cré
252,Sand::N,piasek,gaineamh
253,Mensch::N,człowiek,duine
254,Mann::N,mężczyzna,fear
255,Frau::N,kobieta,bean
256,Kind::N,dziecko,gasúr
257,Kind::N,dziecko,páiste
258,Junge::N,chłopak,buachaill
259,Junge::N,chłopiec,buachaill
260,Mädchen::N,dziewczynka,cailín
261,Familie::N,rodzina,teaghlach
262,Familie::N,rodzina,comhluadar
263,Großvater::N,dziadek,seanathair
264,Großmutter::N,babka,seanmháthair
265,Eltern::N,rodzice,tuismitheoirí
266,Vater::N,ojciec,athair
267,Mutter::N,matka,máthair
268,Sohn::N,syn,mac
269,Tochter::N,córka,iníon
270,Bruder::N,brat,deartháir
271,Schwester::N,siostra,deirfiúr
272,Onkel::N,wuj,uncail
273,Onkel::N,stryj,uncail
274,Tante::N,ciotka,aintín
275,Ehemann::N,mąż,fear céile
276,Ehefrau::N,żona,bean chéile
277,Freude::N,radość,áthas
278,Gelächter::N,śmiech,gáire
279,Glück::N,szczęście,séan
280,Glück::N,szczęście,sonas
281,Kummer::N,zmartwienie,brón
282,Kummer::N,zmartwienie,buairt
283,Wunsch::N,życzenie,guí
284,Wunsch::N,życzenie,achainí
285,Lust::N,chęć,fonn
286,Lust::N,ochota,fonn
287,Geist::N,duch,meon
288,Geist::N,duch,spiorad
289,Gedanke::N,myśl,smaoineamh
290,Gedächtnis::N,pamięć,cuimhne
291,Verstand::N,rozum,ciall
292,Verstand::N,rozum,intinn
293,Sinn::N,zmysł,brí
294,Sinn::N,zmysł,ciall
295,Grund::N,powód,fáth
296,Wahrheit::N,prawda,fírinne
297,Gespräch::N,rozmowa,comhrá
298,Märchen::N,bajka,scéal
299,Erzählung::N,opowiadanie,scéal
300,Nachricht::N,wiadomość,teachtaireacht
301,Neuigkeit::N,nowina,scéala
302,Name::N,imię,ainm
303,Rätsel::N,zagadka,tomhas
304,Rede::N,mowa,óráid
305,Rede::N,mowa,aitheasc
306,Sprache::N,język,teanga
307,Stimme::N,głos,guth
308,Wort::N,słowo,focal
309,Zeichen::N,znak,comhartha
310,Ruf::N,wołanie,glaoch
311,Lärm::N,hałas,torann
312,Lärm::N,zgiełk,torann
313,Laut::N,dźwięk,fuaim
314,Ton::N,ton,ton
315,Ton::N,dźwięk,ton
316,Lied::N,pieśń,amhrán
317,Lied::N,piosenka,amhrán
318,Ruhe::N,spokój,suaimhneas
319,Leute::N,ludzie,muintir
320,Volk::N,naród,pobal
321,Arbeit::N,praca,obair
322,Arbeit::N,robota,obair
323,Gast::N,gość,aoi
324,Geschenk::N,prezent,féirín
325,Geschenk::N,prezent,bronntanas
326,Geschenk::N,podarunek,féirín
327,Geschenk::N,podarunek,bronntanas
328,Spiel::N,gra,cluiche
329,Spiel::N,zabawa,cluiche
330,Gesellschaft::N,towarzystwo,comhluadar
331,Hilfe::N,pomoc,cúnamh
332,Hilfe::N,pomoc,cabhair
333,Freund::N,przyjaciel,cara
334,Kamerad::N,kolega,comrádaí
335,Angelegenheit::N,sprawa,ábhar
336,Anzahl::N,ilość,líon
337,Art::N,rodzaj,sórt
338,Art::N,rodzaj,saghas
339,Stück::N,kawałek,píosa
340,Teil::N,część,cuid
341,Teil::N,część,páirt
342,Hälfte::N,połowa,leath
343,Kreis::N,krąg,ciorcal
344,Kreuz::N,krzyż,cros
345,Linie::N,linia,líne
346,Strich::N,kreska,stríoc
347,Abstand::N,odstęp,achar
348,Entfernung::N,odległość,fad
349,Gegend::N,okolica,ceantar
350,Platz::N,miejsce,áit
351,Platz::N,miejsce,spás
352,Ort::N,miejsce,áit
353,Seite::N,bok,taobh
354,Seite::N,strona,taobh
355,Mitte::N,środek,lár
356,Gegenstand::N,przedmiot,ball
357,Gegenstand::N,przedmiot,ábhar
358,Sache::N,rzecz,ní
359,Sache::N,rzecz,rud
360,Rand::N,skraj,imeall
361,Rand::N,skraj,ciumhais
362,Rand::N,krawędź,imeall
363,Rand::N,krawędź,ciumhais
364,Kante::N,kant,corr
365,Kante::N,kant,colbha
366,Kante::N,krawędź,corr
367,Kante::N,krawędź,colbha
368,Ecke::N,róg,coirnéal
369,Spitze::N,ostrze,gob
370,Spitze::N,ostrze,barr
371,Ende::N,koniec,ceann
372,Ende::N,koniec,foirceann
373,Loch::N,dziura,poll
374,Winkel::N,kąt,cúinne
375,Winkel::N,kąt,uillinn
376,Winkel::N,kącik,cúinne
377,Winkel::N,kącik,uillinn
378,Muster::N,wzór,patrún
379,Größe::N,rozmiar,méid
380,Größe::N,rozmiar,toise
381,Größe::N,wielkość,méid
382,Größe::N,wielkość,toise
383,Länge::N,długość,fad
384,Höhe::N,wysokość,airde
385,Gewicht::N,ciężar,meáchan
386,Menge::N,ilość,méid
387,Haufen::N,kupa,cnap
388,Reihe::N,rząd,líne
389,Reihe::N,rząd,sraith
390,Reihe::N,szereg,líne
391,Reihe::N,szereg,sraith
392,Boot::N,łódź,bád
393,Boot::N,łódka,bád
394,Ruder::N,wiosło,rámh
395,Ruder::N,wiosło,maide rámha
396,Schlitten::N,sanki,carr sleamhnáin
397,Ski::N,narta,scí
398,Lagerfeuer::N,ognisko,tine champa
399,Last::N,ciężar,ualach
400,Last::N,brzemię,ualach
401,Gang::N,chód,siúlóid
402,Schritt::N,krok,céim
403,Schritt::N,krok,coiscéim
404,Norden::N,północ,tuaisceart
405,Süden::N,południe,deisceart
406,Westen::N,zachód,iarthar
407,Osten::N,wschód,oirthear
408,Holz::N,drzewo,adhmad
409,Brett::N,deska,clár
410,Platte::N,płyta,leac
411,Stütze::N,podpora,taca
412,Stange::N,drąg,polla
413,Stange::N,drąg,cuaille
414,Stange::N,żerdź,polla
415,Stange::N,żerdź,cuaille
416,Stock::N,kij,bata
417,Stock::N,kij,maide
418,Stock::N,laska,bata
419,Stock::N,laska,maide
420,Stab::N,pręt,maide
421,Stab::N,pręt,bachall
422,Rohr::N,rura,píopa
423,Haus::N,dom,teach
424,Heim::N,dom,baile
425,Ofen::N,piec,sornóg
426,Fußboden::N,podłoga,urlár
427,Tisch::N,stół,bord
428,Tisch::N,stół,tábla
429,Stuhl::N,krzesło,cathaoir
430,Wiege::N,kołyska,cliabhán
431,Bett::N,łóżko,leaba
432,Bett::N,pościel,leaba
433,Regal::N,regał,seilf
434,Kiste::N,skrzynia,bosca
435,Fenster::N,okno,fuinneoig
436,Tür::N,drzwi,doras
437,Tor::N,brama,geata
438,Zaun::N,płot,fál
439,Zaun::N,płot,claí
440,Zaun::N,parkan,fál
441,Zaun::N,parkan,claí
442,Dach::N,dach,díon
443,Leiter::N,drabina,dréimire
444,Besen::N,miotła,scuab
445,Spaten::N,rydel,spád
446,Spaten::N,rydel,rámhainn
447,Schaufel::N,łopata,sluasaid
448,Gabel::N,widelec,forc
449,Gabel::N,widelec,gabhlóg
450,Löffel::N,łyżka,spúnóg
451,Messer::N,nóż,scian
452,Nagel::N,gwóźdź,tairne
453,Netz::N,sieć,líon
454,Netz::N,sieć,eangach
455,Haken::N,hak,croch
456,Griff::N,chwyt,cos
457,Griff::N,chwyt,hanla
458,Schloss::N,zamek,glas
459,Bild::N,obraz,pictiúr
460,Figur::N,figura,fíor
461,Puppe::N,lalka,bábóg
462,Beutel::N,torba,mála
463,Beutel::N,torba,mealbhóg
464,Bündel::N,wiązka,beart
465,Tasche::N,torba,mála
466,Eimer::N,kubeł,buicéad
467,Eimer::N,wiadro,buicéad
468,Deckel::N,przykrywka,clár
469,Deckel::N,przykrywka,claibín
470,Geschirr::N,statki,soithí
471,Geschirr::N,statki,gréithe
472,Geschirr::N,naczynia,soithí
473,Geschirr::N,naczynia,gréithe
474,Sack::N,worek,sac
475,Sack::N,worek,mála
476,Tasse::N,filiżanka,cupán
477,Topf::N,garnek,pota
478,Kessel::N,kocioł,citeal
479,Essen::N,jedzenie,béile
480,Nahrung::N,pokarm,bia
481,Nahrung::N,pożywienie,bia
482,Speise::N,potrawa,mias
483,Speise::N,jedzenie,mias
484,Fleisch::N,mięso,feoil
485,Getreide::N,zboże,grán
486,Getreide::N,zboże,arbhar
487,Brei::N,kasza,brúitín
488,Brot::N,chleb,arán
489,Scheibe::N,kromka,píosa
490,Scheibe::N,kromka,slisne
491,Fett::N,tłuszcz,saill
492,Fett::N,tłuszcz,méathras
493,Butter::N,masło,im
494,Öl::N,olej,ola
495,Salz::N,sól,salann
496,Suppe::N,zupa,sú
497,Suppe::N,zupa,anraith
498,Honig::N,miód,mil
499,Milch::N,mleko,bainne
500,Tee::N,herbata,tae
501,Leder::N,skóra,leathar
502,Wolle::N,wełna,olann
503,Stoff::N,tkanina,éadach
504,Stoff::N,materiał,éadach
505,Nadel::N,igła,snáthaid
506,Faden::N,nić,snáth
507,Faden::N,nitka,snáth
508,Knopf::N,guzik,cnaipe
509,Knoten::N,węzeł,snaidhm
510,Farbe::N,farba,péint
511,Kleidung::N,odzież,éadaí
512,Hemd::N,koszula,léine
513,Kragen::N,kołnierz,bóna
514,Ärmel::N,rękaw,muinchille
515,Hose::N,spodnie,bríste
516,Hose::N,spodnie,treabhsar
517,Gürtel::N,pasek,crios
518,Mütze::N,czapka,caipín
519,Schuh::N,but,bróg
520,Schuh::N,bucik,bróg
521,Stiefel::N,but,buatais
522,Stiefel::N,kozak,buatais
523,Ring::N,pierścień,fáinne
524,Band::N,wstęga,ribín
525,Kamm::N,grzebień,cíor
526,Spiegel::N,lustro,scáthán
527,Riemen::N,rzemień,iall
528,Riemen::N,rzemień,strapa
529,Schnur::N,sznur,téad
530,Schnur::N,sznur,sreangán
531,Leine::N,smycz,iall
532,Decke::N,kołdra,pluid
533,Decke::N,kołdra,blaincéad
534,Kissen::N,poduszka,piliúr
535,Kissen::N,poduszka,adhartán
536,Tuch::N,chustka,scaif
537,Handtuch::N,ręcznik,tuáille
538,Kraft::N,moc,fórsa
539,Kraft::N,siła,fórsa
540,Stärke::N,moc,neart
541,Stärke::N,siła,neart
542,Gesundheit::N,zdrowie,sláinte
543,Krankheit::N,choroba,tinneas
544,Krankheit::N,choroba,breoiteacht
545,Schmerz::N,ból,pian
546,Wunde::N,rana,goin
547,Fieber::N,gorączka,fiabhras
548,Arznei::N,lekarstwo,cógas
549,Brücke::N,most,droichead
550,Brunnen::N,studnia,tobar
551,Weide::N,pastwisko,féarach
552,Pfad::N,ścieżka,cosán
553,Pfad::N,ścieżka,conair
554,Weg::N,droga,slí
555,Weg::N,droga,bealach
556,Straße::N,ulica,bóthar
557,Dorf::N,wieś,sráidbhaile
558,Stadt::N,miasto,baile
559,Stadt::N,miasto,cathair
560,Brief::N,list,litir
561,Buch::N,książka,cín
562,Buch::N,książka,leabhar
563,Buchstabe::N,litera,litir
564,Zeitung::N,gazeta,nuachtán
565,Zeitung::N,dziennik,nuachtán
566,Leben::N,życie,saol
567,Leben::N,życie,beatha
568,Tod::N,śmierć,bás
569,Grab::N,grób,uaigh
570,Kirche::N,kościół,eaglais
571,Sünde::N,grzech,peaca
572,Gott::N,bóg,dia
573,Arbeiter::N,robotnik,oibrí
574,Chef::N,szef,saoiste
575,Chef::N,szef,ceannasaí
576,Meister::N,mistrz,máistir
577,Meister::N,majster,máistir
578,Arzt::N,lekarz,lia
579,Arzt::N,lekarz,dochtúir
580,Lehrer::N,nauczyciel,oide
581,Lehrer::N,nauczyciel,múinteoir
582,Geld::N,pieniądze,airgead
583,Geschäft::N,sprawa,gnó
584,Geschäft::N,interes,gnó
585,Laden::N,sklep,siopa
586,Preis::N,cena,praghas
587,Ware::N,towar,earra
588,Nutzen::N,pożytek,tairbhe
589,Reichtum::N,bogactwo,rachmas
590,Reichtum::N,bogactwo,saibhreas
591,Welt::N,świat,domhan
592,Land::N,kraj,tír
593,Staat::N,państwo,stát
594,König::N,król,rí
595,Macht::N,władza,cumhacht
596,Grenze::N,granica,críoch
597,Grenze::N,granica,teorainn
598,Krieg::N,wojna,cogadh
599,Feind::N,wróg,namhaid
600,Gewalt::N,władza,foréigean
601,Kampf::N,bój,troid
602,Kampf::N,walka,troid
603,Bogen[Waffe]::N,łuk,bogha
604,Pfeil::N,strzała,saighead
605,Gewehr::N,karabin,gunna
606,Fehler::N,błąd,botún
607,Fehler::N,błąd,meancóg
608,Lüge::N,kłamstwo,bréag
609,Lüge::N,kłamstwo,éitheach
610,Schaden::N,szkoda,dochar
611,Schaden::N,szkoda,damáiste
612,Unglück::N,nieszczęście,drochrath
613,Schuld::N,wina,locht
614,Schuld::N,wina,milleán
615,Alter::N,wiek,aois
616,Schluss::N,koniec,deireadh
617,Schluss::N,zakończenie,deireadh
618,Zeit::N,czas,am
619,Zeit::N,czas,aimsir
620,Tag::N,dzień,lá
621,Morgen::N,ranek,maidin
622,Morgen::N,poranek,maidin
623,Mittag::N,południe,nóin
624,Abend::N,wieczór,tráthnóna
625,Nacht::N,noc,oíche
626,Woche::N,tydzień,seachtain
627,Monat::N,miesiąc,mí
628,Jahr::N,rok,bliain
629,Frühling::N,wiosna,earrach
630,Sommer::N,lato,samhradh
631,Herbst::N,jesień,fómhar
632,Winter::N,zima,geimhreadh
633,Januar::N,styczeń,Eanáir
634,Februar::N,luty,Feabhra
635,März::N,marzec,Márta
636,April::N,kwiecień,Aibreán
637,Mai::N,maj,Bealtaine
638,Juni::N,czerwiec,Meitheamh
639,Juli::N,lipiec,Iúil
640,August::N,sierpień,Lúnasa
641,September::N,wrzesień,Meán Fómhair
642,Oktober::N,październik,Deireadh Fómhair
643,November::N,listopad,Samhain
644,November::N,listopad,Mí na Samhna
645,Dezember::N,grudzień,Mí na Nollag
646,Montag::N,poniedziałek,Luan
647,Montag::N,poniedziałek,Dé Luain
648,Dienstag::N,wtorek,Máirt
649,Dienstag::N,wtorek,Dé Máirt
650,Mittwoch::N,środa,Céadaoin
651,Mittwoch::N,środa,Dé Céadaoin
652,Donnerstag::N,czwartek,Déardaoin
653,Freitag::N,piątek,Aoine
654,Freitag::N,piątek,Dé hAoine
655,Samstag::N,sobota,Satharn
656,Samstag::N,sobota,Dé Sathairn
657,Sonntag::N,niedziela,Domhnach
658,Sonntag::N,niedziela,Dé Domhnaigh
659,groß::A,duży,mór
660,groß::A,wielki,mór
661,klein::A,mały,beag
662,lang::A,długi,fada
663,kurz::A,krótki,gearr
664,kurz::A,krótki,gairid
665,breit::A,szeroki,leathan
666,breit::A,szeroki,fairsing
667,schmal::A,wąski,cúng
668,dicht::A,gęsty,dlúth
669,dick[Gegenstand]::A,gruby,tiubh
670,dünn::A,cienki,caol
671,dünn::A,cienki,tanaí
672,fein::A,drobny,scáinte
673,fein::A,drobny,fíneálta
674,fest::A,mocny,daingean
675,fest::A,twardy,daingean
676,flach::A,płaski,cothrom
677,glatt::A,gładki,mín
678,glatt::A,gładki,sleamhain
679,hart::A,twardy,crua
680,weich::A,miękki,bog
681,rund::A,okrągły,cruinn
682,spitz::A,spiczasty,gobach
683,spitz::A,spiczasty,biorach
684,scharf::A,ostry,géar
685,scharf::A,ostry,faobhrach
686,stumpf::A,tępy,maol
687,schwer::A,ciężki,trom
688,schön::A,ładny,álainn
689,schön::A,piękny,álainn
690,heiß::A,gorący,te
691,warm::A,ciepły,te
692,kalt::A,zimny,fuar
693,kühl::A,chłodny,fionnuar
694,frisch::A,świeży,úr
695,frisch::A,świeży,friseáilte
696,feucht::A,wilgotny,tais
697,nass::A,mokry,fliuch
698,trocken::A,suchy,tirim
699,voll::A,pełny,lán
700,leer::A,pusty,folamh
701,leer::A,próżny,folamh
702,offen::A,otwarty,oscailte
703,geschlossen::A,zamknięty,dúnta
704,geschlossen::A,zamknięty,druidte
705,sauber::A,czysty,glan
706,schmutzig::A,brudny,salach
707,roh::A,surowy,amh
708,reif::A,dojrzały,aibí
709,lecker::A,smaczny,blasta
710,süß::A,słodki,milis
711,bitter::A,gorzki,searbh
712,sauer::A,kwaśny,géar
713,sauer::A,kwaśny,searbh
714,hell::A,jasny,geal
715,hell::A,jasny,soilseach
716,dunkel::A,ciemny,dorcha
717,schwarz::A,czarny,dubh
718,weiß::A,biały,bán
719,rot::A,czerwony,dearg
720,gelb::A,żółty,buí
721,blau::A,błękitny,gorm
722,blau::A,niebieski,gorm
723,grün::A,zielony,glas
724,grün::A,zielony,uaine
725,grau::A,szary,liath
726,bunt::A,barwny,ildathach
727,bunt::A,barwny,dathannach
728,billig::A,tani,saor
729,teuer::A,drogi,daor
730,teuer::A,drogi,costasach
731,wertvoll::A,cenny,luachmhar
732,blind::A,ślepy,dall
733,blind::A,ślepy,caoch
734,taub::A,głuchy,bodhar
735,kräftig::A,mocny,cumhachtach
736,stark::A,silny,tréan
737,stark::A,silny,láidir
738,schwach::A,słaby,lag
739,schwach::A,słaby,fann
740,fett::A,tłusty,ramhar
741,schlank::A,smukły,caol
742,schlank::A,smukły,seang
743,hübsch::A,ładny,álainn
744,hübsch::A,ładny,dathúil
745,böse::A,zły,olc
746,dumm::A,głupi,dúr
747,dumm::A,głupi,amaideach
748,faul::A,leniwy,falsa
749,faul::A,leniwy,leisciúil
750,fleißig::A,pilny,dícheallach
751,geizig::A,skąpy,barainneach
752,geizig::A,skąpy,sprionlaithe
753,klug::A,mądry,cliste
754,geschickt::A,zręczny,oilte
755,geschickt::A,zręczny,ealaíonta
756,lieb::A,miły,dil
757,lieb::A,miły,dílis
758,lustig::A,wesoły,aerach
759,lustig::A,wesoły,meidhreach
760,sanft::A,łagodny,bog
761,sanft::A,łagodny,séimh
762,hungrig::A,głodny,ocrach
763,krank::A,chory,tinn
764,krank::A,chory,breoite
765,nackt::A,nagi,nocht
766,traurig::A,smutny,brónach
767,lebendig::A,żywy,beo
768,gut::A,dobry,maith
769,schlecht::A,zły,dona
770,schlecht::A,zły,droch-
771,richtig::A,słuszny,ceart
772,richtig::A,właściwy,ceart
773,schlimm::A,zły,gránna
774,schlimm::A,zły,tubaisteach
775,wahr::A,prawdziwy,fíor
776,alt::A,stary,sean
777,neu::A,nowy,úr
778,neu::A,nowy,nua
779,ehemalig::A,były,iar-
780,ehemalig::A,były,sean-
781,alt[Lebewesen]::A,stary,sean
782,alt[Lebewesen]::A,stary,aosta
783,jung::A,młody,óg
784,arm::A,ubogi,bocht
785,arm::A,biedny,bocht
786,reich::A,bogaty,saibhir
787,reich::A,bogaty,rachmasach
788,bekannt::A,znany,atá eolas air
789,berühmt::A,słynny,cailiúil
790,berühmt::A,słynny,clúiteach
791,fremd::A,obcy,coimhthíoch
792,fremd::A,cudzy,coimhthíoch
793,verschieden::A,różny,éagsúil
794,verschieden::A,różny,difriúil
795,nah::A,bliski,gar
796,nah::A,bliski,deas
797,fern::A,daleki,i bhfad uainn
798,fern::A,daleki,i bhfad i gcéin
799,linker::A,lewy,clé
800,rechter::A,prawy,deas
801,anderer::A,inny,eile
802,erster::A,pierwszy,céad
803,zweiter::A,drugi,dóú
804,zweiter::A,drugi,dara
805,dritter::A,trzeci,tríú
806,dritter::A,trzeci,treas
807,letzter::A,ostatni,déanach
808,letzter::A,ostatni,deireanach
809,allein::ADV,sam,i d'aonar
810,auf einmal::ADV,naraz,ag an am céanna
811,zusammen::ADV,razem,le chéile
812,zusammen::ADV,razem,in eineacht
813,lange::ADV,długo,fada
814,plötzlich::ADV,nagle,go tobann
