,Concept_ID,fi,et
331,Angelegenheit::N,asia,asi
332,Anzahl::N,lukumäärä,arv
333,Anzahl::N,lukumäärä,hulk
334,Art::N,laji,liik
335,Stück::N,pala,tükk
336,Stück::N,kappale,tükk
337,Teil::N,osa,osa
338,Hälfte::N,puoli,pool
339,Kreis::N,ympyrä,ring
340,Kreuz::N,risti,rist
341,Linie::N,viiva,joon
342,Strich::N,piirto,joon
343,Abstand::N,väli,vahe
344,Abstand::N,väljyys,vahe
345,Entfernung::N,etäisyys,kaugus
346,Entfernung::N,etäisyys,vahemaa
347,Gegend::N,seutu,ümbrus
348,Platz::N,tila,ruum
349,Ort::N,kohta,paik
350,Ort::N,paikka,paik
351,Seite::N,sivu,pool
352,Seite::N,kylki,pool
353,Mitte::N,keskus,keskpaik
354,Mitte::N,puoliväli,keskpaik
355,Gegenstand::N,kalu,ese
356,Gegenstand::N,esine,ese
357,Sache::N,asia,ese
358,Rand::N,ääri,äär
359,Rand::N,ääri,serv
360,Rand::N,syrjä,äär
361,Rand::N,syrjä,serv
362,Kante::N,särmä,kant
363,Ecke::N,nurkka,nurk
364,Spitze::N,terä,teravik
365,Spitze::N,kärki,teravik
366,Ende::N,pää,ots
367,Ende::N,pää,jupp
368,Ende::N,perä,ots
369,Ende::N,perä,jupp
370,Loch::N,kolo,auk
371,Loch::N,reikä,auk
372,Winkel::N,kulma,nurk
373,Muster::N,kuvio,muster
374,Größe::N,koko,suurus
375,Größe::N,suuruus,suurus
376,Länge::N,pituus,pikkus
377,Höhe::N,korkeus,kõrgus
378,Gewicht::N,paino,kaal
379,Gewicht::N,paino,raskus
380,Menge::N,määrä,arv
381,Menge::N,määrä,hulk
382,Haufen::N,kasa,hunnik
383,Reihe::N,rivi,rivi
384,Boot::N,vene,paat
385,Ruder::N,airo,aer
386,Schlitten::N,reki,saan
387,Schlitten::N,kelkka,saan
388,Ski::N,suksi,suusk
389,Lagerfeuer::N,nuotio,lõke
390,Last::N,kuorma,koorem
391,Gang::N,kulku,käik
392,Gang::N,käynti,käik
393,Schritt::N,askel,samm
394,Norden::N,pohjoinen,põhi
395,Süden::N,etelä,lõuna
396,Westen::N,länsi,lääs
397,Osten::N,itä,ida
398,Holz::N,puu,puu
399,Brett::N,lauta,saelaud
400,Platte::N,levy,plaat
401,Stütze::N,noja,tugi
402,Stange::N,tanko,latt
403,Stange::N,tanko,teivas
404,Stock::N,keppi,kepp
405,Stab::N,sauva,varras
406,Stab::N,seiväs,varras
407,Rohr::N,putki,toru
408,Haus::N,talo,maja
409,Heim::N,koti,kodu
410,Ofen::N,uuni,ahi
411,Fußboden::N,lattia,põrand
412,Tisch::N,pöytä,laud
413,Stuhl::N,tuoli,tool
414,Wiege::N,kehto,häll
415,Wiege::N,kehto,kätki
416,Bett::N,sänky,voodi
417,Regal::N,hylly,riiul
418,Kiste::N,arkku,kast
419,Kiste::N,kirstu,kast
420,Kiste::N,laatikko,kast
421,Fenster::N,ikkuna,aken
422,Tür::N,ovi,uks
423,Tor::N,portti,värav
424,Zaun::N,aita,aed
425,Zaun::N,aita,tara
426,Dach::N,katto,katus
427,Leiter::N,tikkaat,redel
428,Leiter::N,tikapuut,redel
429,Besen::N,luuta,luud
430,Spaten::N,lapio,labidas
431,Schaufel::N,lapio,kühvel
432,Gabel::N,haarukka,kahvel
433,Löffel::N,lusikka,lusikas
434,Messer::N,veitsi,nuga
435,Nagel::N,naula,nael
436,Netz::N,verkko,võrk
437,Haken::N,haka,haak
