,Concept_ID,sk,mhr
201,Fliege::N,mucha,ка́рме
202,Schmetterling::N,motýľ,лы́ве
203,Beere::N,bobuľa,мӧр
204,Apfel::N,jablko,олма́
205,Pilz::N,hríb,по́ҥго
206,Zwiebel::N,cibuľa,шога́н
207,Saat::N,osivo,нӧ́шмӧ
208,Saat::N,osivo,туш
209,Korn::N,zrno,шу́рно
210,Heu::N,seno,шу́до
211,Schale::N,šupa,шӱм
212,Schale::N,škrupina,шӱм
213,Grube::N,jama,выне́м
214,Falle::N,pasca,лӧ́дӧ
215,Falle::N,klepec,лӧ́дӧ
216,Schlinge::N,slučka,о́птыш
217,Schlinge::N,slučka,шӧрга́лтыш
218,Spur::N,stopa,кыша́
219,Asche::N,popol,ло́мыж
220,Dreck::N,kal,лавыра́
221,Dreck::N,blato,лавыра́
222,Eisen::N,železo,кӱ́ртньӧ
223,Gold::N,zlato,шӧ́ртньӧ
224,Silber::N,striebro,ший
225,Kohle::N,uhlie,мландышӱ́й
226,Glas::N,sklo,янда́
227,Lehm::N,íl,шун
228,Lehm::N,hlina,шун
229,Sand::N,piesok,ошма́
230,Mensch::N,človek,еҥ
231,Mensch::N,človek,айде́ме
232,Mann::N,muž,пӧръе́ҥ
233,Mann::N,chlap,пӧръе́ҥ
234,Frau::N,žena,ӱдырама́ш
235,Kind::N,dieťa,аза́
236,Junge::N,chlapec,рве́зе
237,Mädchen::N,dievka,ӱдыра́ш
238,Familie::N,rodina,еш
239,Großvater::N,dedo,коча́
240,Großvater::N,starý otec,коча́
241,Großmutter::N,babička,кова́
242,Großmutter::N,stará mať,кова́
243,Eltern::N,rodičia,ача́-ава́
244,Vater::N,otec,ача́
245,Mutter::N,mať,ава́
246,Mutter::N,matka,ава́
247,Sohn::N,syn,э́рге
248,Tochter::N,dcéra,ӱ́дыр
249,Bruder::N,brat,иза́
250,Bruder::N,brat,шо́льо
251,Schwester::N,sestra,ака́
252,Onkel::N,ujo,иза́
253,Onkel::N,strýko,иза́
254,Tante::N,teta,кока́
255,Tante::N,tetka,кока́
256,Ehemann::N,muž,мари́й
257,Ehemann::N,manžel,мари́й
258,Ehefrau::N,žena,ва́те
259,Ehefrau::N,manželka,ва́те
260,Freude::N,radosť,куа́н
261,Freude::N,radosť,куаныма́ш
262,Gelächter::N,smiech,во́штылтыш
263,Glück::N,šťastie,пиа́л
264,Kummer::N,žiaľ,о́йго
265,Kummer::N,zármutok,о́йго
266,Wunsch::N,prianie,ку́мыл
267,Lust::N,chuť,ку́мыл
268,Geist::N,duch,ӧрт
269,Geist::N,duch,чон
270,Gedanke::N,myšlienka,ой
271,Gedanke::N,myšlienka,шоныма́ш
272,Gedächtnis::N,pamäť,шарныма́ш
273,Verstand::N,rozum,уш
274,Sinn::N,zmysel,смысл
275,Grund::N,dôvod,ама́л
276,Grund::N,príčina,ама́л
277,Wahrheit::N,pravda,чын
278,Gespräch::N,reč,мутланыма́ш
279,Gespräch::N,rozhovor,мутланыма́ш
280,Märchen::N,rozprávka,йома́к
281,Erzählung::N,poviedka,ойлыма́ш
282,Nachricht::N,správa,увертарыма́ш
283,Neuigkeit::N,novinka,уве́р
284,Name::N,meno,лӱм
285,Rätsel::N,záhada,ту́што
286,Rätsel::N,hádanka,ту́што
287,Rede::N,reč,ойлыма́ш
288,Sprache::N,reč,йы́лме
289,Sprache::N,jazyk,йы́лме
290,Stimme::N,hlas,йӱк
291,Wort::N,slovo,ой
292,Wort::N,slovo,мут
293,Zeichen::N,znak,ти́ште
294,Zeichen::N,znak,знак
295,Ruf::N,volanie,ӱжма́ш
296,Ruf::N,zavolanie,ӱжма́ш
297,Lärm::N,hluk,лӱшкыма́ш
298,Lärm::N,hluk,йӱк-йӱа́н
299,Lärm::N,hurhaj,лӱшкыма́ш
300,Lärm::N,hurhaj,йӱк-йӱа́н
301,Laut::N,zvuk,йӱк
302,Ton::N,tón,йӱксе́м
303,Ton::N,zvuk,йӱксе́м
304,Lied::N,pieseň,му́ро
305,Ruhe::N,pokoj,ты́мык
306,Leute::N,ľudia,еҥ-влак
307,Volk::N,ľud,ка́лык
308,Volk::N,národ,ка́лык
309,Arbeit::N,práca,паша́
310,Arbeit::N,robota,паша́
311,Gast::N,hosť,уна́
312,Geschenk::N,dar,пӧле́к
313,Spiel::N,hra,мо́дыш
314,Spiel::N,hra,модма́ш
315,Gesellschaft::N,spoločnosť,тӱшка́
316,Hilfe::N,pomoc,по́лыш
317,Freund::N,priateľ,таҥ
318,Freund::N,priateľ,йолта́ш
319,Kamerad::N,kamarát,таҥ
320,Angelegenheit::N,vec,паша́
321,Angelegenheit::N,záležitosť,паша́
322,Anzahl::N,počet,чот
323,Anzahl::N,množstvo,чот
324,Art::N,druh,вид
325,Stück::N,kus,ка́тыш
326,Stück::N,kus,ла́стык
327,Stück::N,kúsok,ка́тыш
328,Stück::N,kúsok,ла́стык
329,Teil::N,časť,ужа́ш
330,Hälfte::N,polka,пел
331,Hälfte::N,polka,пе́ле
332,Hälfte::N,polovica,пел
333,Hälfte::N,polovica,пе́ле
334,Kreis::N,kruh,ты́ртыш
335,Kreuz::N,kríž,ыре́с
336,Linie::N,línia,ли́ний
337,Strich::N,čiara,коре́ш
338,Abstand::N,vzdialenosť,кокла́
339,Entfernung::N,vzdialenosť,тора́
340,Entfernung::N,vzdialenosť,ку́жыт
341,Gegend::N,kraj,кунде́м
342,Gegend::N,krajina,кунде́м
343,Platz::N,miesto,ку́мдык
344,Ort::N,miesto,вер
345,Ort::N,miesto,о́лмо
346,Seite::N,bok,ӧ́рдыж
347,Seite::N,strana,ӧ́рдыж
348,Mitte::N,stred,покше́л
349,Gegenstand::N,predmet,наста́
350,Sache::N,vec,наста́
351,Rand::N,kraj,тӱр
352,Rand::N,okraj,тӱр
353,Kante::N,hrana,тӱр
354,Ecke::N,roh,лук
355,Spitze::N,hrot,вуй
356,Spitze::N,špička,вуй
357,Ende::N,koniec,муча́ш
358,Loch::N,diera,рож
359,Winkel::N,kút,лук
360,Muster::N,vzor,пеза́к
361,Muster::N,vzor,узо́р
362,Muster::N,vzor,ӱ́лгӧ
363,Muster::N,vzorka,пеза́к
364,Muster::N,vzorka,узо́р
365,Muster::N,vzorka,ӱ́лгӧ
366,Größe::N,veľkosť,кӱ́кшыт
367,Länge::N,dĺžka,ку́тыш
368,Höhe::N,výška,кӱ́кшыт
369,Gewicht::N,váha,не́лыт
370,Menge::N,množstvo,чот
371,Haufen::N,hŕba,кы́шыл
372,Reihe::N,rad,рада́м
373,Boot::N,čln,пуш
374,Ruder::N,veslo,эшка́к
375,Schlitten::N,sane,тер
376,Schlitten::N,sane,изде́р
377,Ski::N,lyža,е́че
378,Lagerfeuer::N,táborák,туло́то
379,Last::N,ťarcha,нӧ́лтыш
380,Last::N,bremeno,нӧ́лтыш
381,Gang::N,chôdza,ошкылма́ш
382,Schritt::N,krok,о́шкыл
383,Norden::N,sever,йӱдйыма́л
384,Süden::N,juh,кечывалве́л
385,Westen::N,západ,касве́л
386,Osten::N,východ,эрве́л
387,Holz::N,drevo,пу
388,Brett::N,doska,оҥа́
389,Platte::N,doska,аста́р
390,Platte::N,platňa,аста́р
391,Stütze::N,opora,чара́к
392,Stange::N,tyč,лома́ш
393,Stock::N,palica,тоя́
394,Stab::N,palica,вара́
395,Stab::N,palica,кашта́
396,Rohr::N,rúra,пуч
397,Haus::N,dom,пӧрт
398,Heim::N,domov,мӧ́ҥгӧ
399,Ofen::N,pec,комака́
400,Ofen::N,kachle,комака́
401,Fußboden::N,dlážka,кӱва́р
402,Fußboden::N,podlaha,кӱва́р
403,Tisch::N,stôl,ӱсте́л
404,Stuhl::N,stolička,пӱке́н
405,Wiege::N,kolíska,шепка́
406,Bett::N,lôžko,ва́кшыш
407,Bett::N,posteľ,ва́кшыш
408,Regal::N,regál,шӧ́рлык
