,Concept_ID,ps,ar
176,Maus::N,مږک,فأرة
177,Wolf::N,لېوه,ذئب
178,Vogel::N,مرغه,طير
179,Schwarm::N,سېل,سرب
180,Huhn::N,چرګه,دجاجة
181,Hahn::N,چرګ,ديك
182,Gans::N,بته,وزة
183,Adler::N,عقاب,نسر
184,Ente::N,ایلۍ,بطة
185,Eule::N,ګونګی,بوم
186,Kranich::N,کلنګ,كركي
187,Krähe::N,کارغه,غراب
188,Kuckuck::N,فاخته,وقواق
189,Schwan::N,قو,إوز عراقي
190,Fisch::N,کب,سمك
191,Fisch::N,ماهی,سمك
192,Schlange[Tier]::N,مار,حية
193,Schlange[Tier]::N,مار,ثعبان
194,Wurm::N,چینجی,دودة
195,Spinne::N,غڼه,عنكبوت
196,Spinne::N,تارکښ,عنكبوت
197,Ameise::N,مېږی,نملة
198,Laus::N,سپږه,قملة
199,Mücke::N,ماشی,ناموسة
200,Fliege::N,مچ,ذبابة
201,Schmetterling::N,پتنګ,فراشة
202,Beere::N,مېوۍ,حبة
203,Apfel::N,مڼه,تفاح
204,Pilz::N,خرېړی,فطر
205,Zwiebel::N,پیاز,بصل
206,Saat::N,تخم,زرع
207,Korn::N,تخم,حبة
208,Korn::N,دانه,حبة
209,Heu::N,بوس,دريس
210,Heu::N,پروړه,دريس
211,Schale::N,پوستکی,قشرة
212,Grube::N,کنده,نقرة
213,Falle::N,دام,فخ
214,Falle::N,دام,مصيدة
215,Falle::N,لومه,فخ
216,Falle::N,لومه,مصيدة
217,Schlinge::N,کړۍ,عروة
218,Spur::N,نښه,أثر
219,Asche::N,آس,رماد
220,Asche::N,ایره,رماد
221,Dreck::N,ناپاکي,قذر
222,Eisen::N,اوسپنه,حديد
223,Gold::N,سره زر,ذهب
224,Silber::N,نقره,فضة
225,Silber::N,سپین زر,فضة
226,Kohle::N,سکور,فحم
227,Kohle::N,سکاره,فحم
228,Glas::N,ښيښه,زجاج
229,Lehm::N,خټه,طين
230,Sand::N,شګه,رمل
231,Mensch::N,انسان,إنسان
232,Mann::N,سړی,رجل
233,Mann::N,نارینه,رجل
234,Frau::N,ښځه,امرأة
235,Kind::N,بچی,طفل
236,Kind::N,ماشوم,طفل
237,Junge::N,هلک,ولد
238,Mädchen::N,نجلۍ,بنت
239,Familie::N,کورنۍ,عائلة
240,Großvater::N,بابا,جد
241,Großmutter::N,انا,جدة
242,Eltern::N,مور او پلار,أبوان
243,Eltern::N,مور او پلار,والدان
244,Vater::N,پلار,أب
245,Mutter::N,مور,أم
246,Sohn::N,زوی,إبن
247,Tochter::N,لور,بنت
248,Tochter::N,لور,إبنة
249,Bruder::N,ورور,أخ
250,Bruder::N,ورور,شقيق
251,Schwester::N,خور,أخت
252,Onkel::N,تره,عم
253,Onkel::N,ماما,عم
254,Tante::N,خاله,عمة
255,Ehemann::N,مېړه,زوج
256,Ehefrau::N,مېرمن,زوجة
257,Freude::N,خوشحالي,فرح
258,Freude::N,خوشحالي,سرور
259,Gelächter::N,خندا,قهقهة
260,Glück::N,بخت,سعادة
261,Kummer::N,غم,غم
262,Wunsch::N,هيله,منية
263,Wunsch::N,غوښتنه,منية
264,Lust::N,شوق,شهوة
265,Lust::N,مینه,شهوة
266,Geist::N,روح,روح
267,Gedanke::N,فکر,فكرة
268,Gedächtnis::N,یاد,ذاكرة
269,Gedächtnis::N,حافظه,ذاكرة
270,Verstand::N,عقل,عقل
271,Verstand::N,شعور,عقل
272,Sinn::N,معنی,معنى
273,Grund::N,علت,سبب
274,Grund::N,اساس,سبب
275,Wahrheit::N,حقیقت,حقيقة
276,Gespräch::N,مرکه,محادثة
277,Gespräch::N,خبرې اترې,محادثة
278,Märchen::N,افسانه,خرافة
279,Erzählung::N,قصه,قصة
280,Erzählung::N,قصه,حكاية
281,Erzählung::N,کیسه,قصة
282,Erzählung::N,کیسه,حكاية
283,Nachricht::N,خبر,خبر
284,Neuigkeit::N,نوی خبر,خبر جديد
285,Name::N,نوم,اسم
286,Rätsel::N,کیسۍ,لغز
287,Rätsel::N,چیستان,لغز
288,Rede::N,وینا,خطبة
289,Sprache::N,ژبه,لغة
290,Stimme::N,غږ,صوت
291,Stimme::N,اواز,صوت
292,Wort::N,لغت,كلمة
293,Wort::N,کلمه,كلمة
294,Zeichen::N,نښه,رمز
295,Zeichen::N,نښه,إشارة
296,Zeichen::N,اشاره,رمز
297,Zeichen::N,اشاره,إشارة
298,Ruf::N,ږغ,نداء
299,Ruf::N,بلنه,نداء
300,Lärm::N,غالمغال,صخب
301,Lärm::N,غالمغال,ضجة
302,Laut::N,ږغ,صوت
303,Ton::N,اواز,نغمة
304,Lied::N,غزله,أغنية
305,Lied::N,سندره,أغنية
306,Ruhe::N,ارامي,هدوء
307,Leute::N,خلک,ناس
308,Volk::N,ولس,شعب
309,Arbeit::N,کار,عمل
310,Gast::N,مېلمه,ضيف
311,Geschenk::N,تحفه,هدية
312,Geschenk::N,سوغات,هدية
313,Spiel::N,لوبه,لعب
314,Gesellschaft::N,ډله,صحبة
315,Hilfe::N,کومک,عون
316,Hilfe::N,کومک,مساعدة
317,Hilfe::N,مرسته,عون
318,Hilfe::N,مرسته,مساعدة
319,Freund::N,ملګری,صديق
320,Kamerad::N,انډيوال,زميل
321,Angelegenheit::N,موضوع,أمر
322,Angelegenheit::N,موضوع,شأن
323,Anzahl::N,شمېر,عدد
324,Anzahl::N,تعداد,عدد
325,Art::N,ډول,نوع
326,Stück::N,ټوټه,قطعة
327,Teil::N,برخه,قسم
328,Hälfte::N,نیم,نصف
329,Kreis::N,دایره,دائرة
330,Kreuz::N,صلیب,صليب
331,Linie::N,خط,خط
332,Linie::N,لیکه,خط
333,Strich::N,کرښه,شرطة
334,Abstand::N,فاصله,مسافة
335,Entfernung::N,واټن,بعد
336,Gegend::N,سیمه,ناحية
337,Gegend::N,منطقه,ناحية
338,Platz::N,ځای,فراغ
339,Ort::N,ځای,مكان
340,Seite::N,مخ,جانب
341,Seite::N,اړخ,جانب
342,Mitte::N,وسط,وسط
343,Mitte::N,مینځ,وسط
344,Gegenstand::N,شی,موضوع
345,Sache::N,شی,شيء
346,Sache::N,څيز,شيء
347,Rand::N,څنډه,حافة
348,Rand::N,کناره,حافة
349,Kante::N,اړخ,حافة
350,Ecke::N,ګوټ,ركن
351,Spitze::N,څوکه,سن
352,Ende::N,څوکه,طرف
353,Loch::N,سوری,ثقب
354,Winkel::N,کنج,زاوية
355,Winkel::N,کوتی,زاوية
356,Muster::N,نمونه,عينة
357,Größe::N,قد,حجم
358,Größe::N,لويوالی,حجم
359,Länge::N,طول,طول
360,Länge::N,اوږد والی,طول
361,Höhe::N,جګوالی,علو
362,Höhe::N,جګوالی,ارتفاع
363,Gewicht::N,وزن,وزن
364,Menge::N,اندازه,كمية
365,Haufen::N,کوټه,كوم
366,Reihe::N,صف,صف
367,Reihe::N,کتار,صف
368,Boot::N,قايق,قارب
369,Boot::N,قايق,زورق
370,Ruder::N,چپه,مجذاف
371,Schlitten::N,ښویېدونی,مزلقة
372,Ski::N,سکي,زلاجة
373,Lagerfeuer::N,اور,نار المخيم
374,Last::N,بار,حمل
375,Last::N,پېټی,حمل
376,Gang::N,تګ,مشية
377,Schritt::N,ګام,خطوة
378,Norden::N,شمال,شمال
379,Süden::N,سوېل,جنوب
380,Westen::N,لوېدېځ,غرب
381,Osten::N,شرق,شرق
382,Osten::N,ختیځ,شرق
383,Holz::N,لرګی,خشب
384,Brett::N,تخته,لوح
385,Platte::N,تخته,صفيحة
386,Stütze::N,تکیوان,سند
387,Stütze::N,تکیوان,دعامة
388,Stange::N,ډاګه,عود
389,Stock::N,لرګی,عصا
390,Stab::N,چيخله,قضيب
391,Rohr::N,نل,أنبوبة
392,Haus::N,کور,دار
393,Haus::N,کور,بيت
394,Heim::N,کور,بيت
395,Heim::N,کور,مسكن
396,Ofen::N,تودنۍ,مدفأة
397,Fußboden::N,غولی,أرضية
398,Tisch::N,مېز,مائدة
399,Stuhl::N,چوکۍ,كرسي
400,Wiege::N,زانګو,مهد
401,Bett::N,کټ,سرير
402,Bett::N,چپرکټ,سرير
403,Regal::N,تاخچۍ,رف
404,Kiste::N,صندوق,صندوق
405,Fenster::N,کړکۍ,شباك
406,Fenster::N,کړکۍ,نافذة
407,Tür::N,دروازه,باب
408,Tor::N,دروازه,بوابة
409,Zaun::N,کټاره,سياج
410,Dach::N,بام,سطح
411,Leiter::N,زينه,سلم
412,Besen::N,جارو,مكنسة
413,Spaten::N,یوم,مسحاة
414,Schaufel::N,بېلچه,مجرفة
415,Gabel::N,پنجه,شوكة
416,Löffel::N,کاشوغه,ملعقة
417,Messer::N,چاقو,سكين
418,Nagel::N,ميخ,مسمار
419,Netz::N,جال,شبكة
420,Haken::N,څنګک,خطاف
421,Haken::N,څنګک,صنارة
422,Griff::N,لاستی,قبضة
423,Schloss::N,کلپ,قفل
424,Bild::N,رسم,صورة
425,Figur::N,قدوقامت,تمثال
426,Puppe::N,ګوډۍ,دمية
427,Beutel::N,کڅوړه,كيس
428,Bündel::N,دسته,ربطة
429,Tasche::N,بکس,شنطة
430,Tasche::N,بکس,محفظة
431,Tasche::N,توبره,شنطة
432,Tasche::N,توبره,محفظة
433,Eimer::N,سطل,سطل
434,Eimer::N,سطل,جردل
435,Deckel::N,سرپوښ,سداد
436,Geschirr::N,لوښی,أوان
437,Sack::N,جوال,زكيبة
438,Tasse::N,پیاله,فنجان
439,Topf::N,دېګی,قدر
440,Topf::N,دېګی,طنجرة
441,Kessel::N,دېګ,قدر
442,Kessel::N,دېګ,غلاية
443,Essen::N,خوراک,طعام
444,Nahrung::N,خوراک,غذاء
445,Speise::N,خواړه,أكل
446,Fleisch::N,غوښه,لحم
447,Getreide::N,غله,حبوب
448,Brei::N,اوګره,عصيدة
449,Brot::N,ډوډۍ,خبز
450,Scheibe::N,مړۍ,شريحة
451,Fett::N,غوړي,سمن
452,Butter::N,کوچ,زبدة
453,Öl::N,تېل,زيت
454,Salz::N,مالګه,ملح
455,Suppe::N,شوربا,حساء
456,Suppe::N,شوربا,شربة
457,Honig::N,شات,عسل
458,Milch::N,شوده,حليب
459,Tee::N,چای,شاي
460,Leder::N,څرمن,جلد
461,Wolle::N,پشم,صوف
462,Stoff::N,ټوټه,قماش
463,Nadel::N,ستن,إبرة
464,Faden::N,تار,خيط
465,Knopf::N,تڼۍ,زر
466,Knopf::N,تکمه,زر
