,Concept_ID,da,os
84,Frost::N,frost,ихæн
85,Kälte::N,kulde,уазал
86,Hitze::N,hede,ӕнтӕф
87,Raureif::N,rimfrost,халас
88,Regenbogen::N,regnbue,арвырон
89,Regenbogen::N,regnbue,арвырдын
90,Donner::N,torden,æрвнæрын
91,Strömung::N,strømning,цыд
92,Tropfen::N,dråbe,æртах
93,Schaum::N,skum,фынк
94,Schmutz::N,snavs,цъыф
95,See::N,sø,цад
96,Sumpf::N,sump,цъыфдзаст
97,Moor::N,mose,цъыфдзаст
98,Wiese::N,eng,уыгӕрдӕн
99,Wald::N,skov,хъӕд
100,Hügel::N,høj,обау
101,Hügel::N,høj,къуыбыр
102,Hügel::N,bakke,обау
103,Hügel::N,bakke,къуыбыр
104,Anhöhe::N,høj,уæлвæз
105,Anhöhe::N,høj,уæлхох
106,Anhöhe::N,bakke,уæлвæз
107,Anhöhe::N,bakke,уæлхох
108,Berg::N,bjerg,хох
109,Gipfel::N,top,цъупп
110,Höhle::N,hule,лӕгӕт
111,Abhang::N,skrænt,къул
112,Abhang::N,skråning,къул
113,Quelle::N,kilde,суадон
114,Bach::N,bæk,мӕсчъыдон
115,Fluss::N,flod,дон
116,Fluss::N,flod,цӕугӕдон
117,Ufer::N,bred,был
118,Küste::N,kyst,донбыл
119,Festland::N,fastland,сурзæхх
120,Meer::N,hav,денджыз
121,Bucht::N,bugt,донбакæлæн
122,Insel::N,ø,сакъадах
123,Blume::N,blomst,дидинӕг
124,Gras::N,græs,кӕрдӕг
125,Wurzel::N,rod,уидаг
126,Baum::N,træ,бӕлас
127,Stamm::N,stamme,хӕтӕл
128,Rinde::N,bark,цъар
129,Ast::N,gren,арх
130,Zweig::N,kvist,къалиу
131,Blatt::N,blad,сыф
132,Birke::N,birk,бæрз
133,Kiefer[Baum]::N,fyrretræ,нӕзы
134,Weide[Baum]::N,piletræ,хӕрис
135,Tanne::N,gran,наз
136,Horn::N,horn,сыкъа
137,Feder::N,fjer,сис
138,Fell::N,skind,царм
139,Flügel::N,vinge,базыр
140,Klaue::N,klov,ных
141,Kralle::N,klo,дзӕмбы
142,Schwanz::N,hale,къӕдзил
143,Ei::N,æg,айк
144,Nest::N,rede,ахстон
145,Bau::N,bo,хуынкъ
146,Tier::N,dyr,сырд
147,Tier::N,dyr,цӕрӕгой
148,Herde::N,flok,дзуг
149,Herde::N,flok,рӕгъау
150,Kuh::N,ko,хъуг
151,Bulle::N,tyr,гал
152,Pferd::N,hest,бӕх
153,Schaf::N,får,фыс
154,Schwein::N,gris,хуы
155,Hund::N,hund,куыдз
156,Katze::N,kat,гӕды
157,Bär::N,bjørn,арс
158,Eichhörnchen::N,egern,æхсæрæг
159,Elch::N,elg,цæгатаг саг
160,Fuchs::N,ræv,рувас
161,Hase::N,hare,тæрхъус
162,Maus::N,mus,мыст
163,Wolf::N,ulv,бирӕгъ
164,Vogel::N,fugl,цъиу
165,Vogel::N,fugl,маргъ
166,Schwarm::N,sværm,бал
167,Huhn::N,høne,карк
168,Hahn::N,hane,уасӕг
169,Gans::N,gås,хъаз
170,Adler::N,ørn,цӕргӕс
171,Ente::N,and,ацц
172,Eule::N,ugle, уыг
173,Eule::N,ugle,сидахъ
174,Kranich::N,trane,зырнæг
175,Kranich::N,trane,хърихъупп
176,Krähe::N,krage,халон
177,Kuckuck::N,gøg,гаккук
178,Schwan::N,svane,доныхъаз
179,Fisch::N,fisk,кӕсаг
180,Barsch::N,aborre,окунь
181,Hecht::N,gedde,хихор кӕсаг
182,Schlange[Tier]::N,slange,калм
183,Wurm::N,orm,зулкъ
184,Wurm::N,orm,къуыдыргалм
185,Spinne::N,edderkop,хӕлуарӕг
186,Ameise::N,myre,мæлдзыг
187,Laus::N,lus,сыст
188,Mücke::N,myg,къогъо
189,Fliege::N,flue,бындз
190,Schmetterling::N,sommerfugl,гæлæбу
191,Beere::N,bær,гагадыргъ
192,Apfel::N,æble,фӕткъуы
193,Pilz::N,svamp,зокъо
194,Pilz::N,svamp,къозо
195,Zwiebel::N,løg,хъӕдындз
196,Saat::N,sæd,тауинаг
197,Saat::N,sæd,мыггаг
198,Korn::N,korn,мыггаг
199,Korn::N,korn,тауинаг
200,Heu::N,hø,хос
201,Schale::N,skræl,цъар
202,Grube::N,grav,урм
203,Grube::N,grav,къахт
204,Grube::N,grav,дзыхъхъ
205,Falle::N,fælde,цъысым
206,Falle::N,fælde,къӕппӕг
207,Schlinge::N,snare,цасм
208,Spur::N,spor,фæд
209,Asche::N,aske,фӕнык
210,Asche::N,aske,ӕртхутӕг
211,Dreck::N,snavs,цъыф
212,Eisen::N,jern,ӕфсӕйнаг
213,Gold::N,guld,сыгъзӕрин
214,Silber::N,sølv,ӕвзист
215,Kohle::N,kul,ӕвзалы
216,Glas::N,glas,авг
217,Lehm::N,ler,ӕлыг
218,Sand::N,sand,змис
219,Mensch::N,mennesge,лӕг
220,Mensch::N,mennesge,адӕймаг
221,Mensch::N,mennesge,удгоймаг
222,Mann::N,mand,лӕг
223,Mann::N,mand,нӕлгоймаг
224,Frau::N,kvinde,сылгоймаг
225,Kind::N,barn,сывӕллон
226,Junge::N,dreng,лӕппу
227,Mädchen::N,pige,чызг
228,Familie::N,familie,бинонтæ
229,Großvater::N,bedstefar,фыдыфыд
230,Großvater::N,bedstefar,мадыфыд
231,Großmutter::N,bedstemor,фыды мад
232,Großmutter::N,bedstemor,мады мад
233,Eltern::N,forældre,ныййарджытæ
234,Vater::N,far,фыд
235,Mutter::N,mor,мад
236,Sohn::N,søn,фырт
237,Tochter::N,datter,чызг
238,Bruder::N,bror,ӕфсымӕр
239,Schwester::N,søster,хо
240,Onkel::N,onkel,фыдыфсымӕр
241,Tante::N,tante,мадыхо
242,Ehemann::N,ægtemand,мой
243,Ehefrau::N,hustru,ус
244,Freude::N,glæde,цин
245,Freude::N,glæde,циндзинад
246,Gelächter::N,latter,худын
247,Gelächter::N,latter,худт
248,Gelächter::N,latter,худæг
249,Glück::N,lykke,амонд
250,Kummer::N,sorg,хъыг
251,Wunsch::N,ønske,бӕллиц
252,Lust::N,lyst,монц
253,Geist::N,ånd,уд
254,Gedanke::N,tanke,хъуыды
255,Gedächtnis::N,hukommelse,мысæн
256,Gedächtnis::N,hukommelse,мысын
257,Gedächtnis::N,hukommelse,зæрдылдарын
258,Verstand::N,forstand,зонд
259,Sinn::N,mening,нысаниуæг
260,Sinn::N,betydning,нысаниуæг
261,Grund::N,grund,ӕфсон
262,Wahrheit::N,sandhed,æцæг
263,Gespräch::N,samtale,ныхас
264,Märchen::N,eventyr,аргъау
265,Erzählung::N,fortælling,радзырд
266,Nachricht::N,efterretning,уац
267,Neuigkeit::N,nyhed,хабар
268,Name::N,navn,ном
269,Rätsel::N,gåde,уыци-уыци
270,Rätsel::N,gåde,базон-базон
271,Rede::N,tale,раныхас
272,Sprache::N,sprog,ӕвзаг
273,Stimme::N,stemme,хъӕлӕс
274,Wort::N,ord,дзырд
275,Zeichen::N,tegn,нысан
276,Ruf::N,råb,сидт
277,Lärm::N,larm,уынæр
278,Laut::N,lyd,зӕл
279,Laut::N,lyd,мыр
280,Ton::N,tone,мыр
281,Lied::N,sang,зарӕг
282,Ruhe::N,ro,æнцой
283,Ruhe::N,hvile,æнцой
284,Leute::N,folk,адӕм
285,Leute::N,mennesker,адӕм
286,Volk::N,folk,адӕм
287,Arbeit::N,arbejde,фӕллой
288,Gast::N,gæst,уазӕг
289,Geschenk::N,gave,хуын
290,Spiel::N,leg,хъазт
291,Gesellschaft::N,selskab,дзыллæ
292,Gesellschaft::N,selskab,æхсæнад
293,Hilfe::N,hjælp,æххуыс
294,Hilfe::N,hjælp,ахъаз
295,Freund::N,ven,лымӕн
296,Kamerad::N,kammerat,ӕмбал
297,Angelegenheit::N,sag,хъуыддаг
298,Angelegenheit::N,anliggende,хъуыддаг
299,Anzahl::N,antal,бӕрц
300,Art::N,art,хуыз
301,Art::N,art,хуызад
302,Stück::N,stykke,кæрдих
303,Stück::N,stykke,комдзаг
304,Teil::N,del,хай
305,Hälfte::N,halvdel,æрдæг
306,Hälfte::N,halvdel,æмбис
307,Kreis::N,cirkel,зиллакк
308,Kreuz::N,kors,дзуар
309,Kreuz::N,kryds,дзуар
310,Linie::N,linie,хахх
311,Strich::N,streg,хахх
312,Abstand::N,afstand,æхсæнуат
313,Entfernung::N,afstand,дæрддзæг
314,Entfernung::N,afstand,дардцæг
315,Gegend::N,egn,ран
316,Platz::N,plads,бууат
317,Ort::N,sted,ран
318,Ort::N,sted,бынат
319,Seite::N,side,фахс
320,Mitte::N,midte,астӕу
321,Gegenstand::N,genstand,дзаума
322,Sache::N,sag,дзаума
323,Rand::N,rand,кӕрон
324,Kante::N,kant,фӕрск
325,Ecke::N,hjørne,тигъ
326,Ecke::N,hjørne,фисын
327,Spitze::N,spids,бырынкъ
328,Ende::N,ende,кӕрон
329,Loch::N,hul,хуынкъ
330,Winkel::N,vinkel,къуым
331,Muster::N,mønster,нывæфтыд
332,Muster::N,mønster,кæдзист
333,Größe::N,størrelse,ас
334,Länge::N,længde,дӕргъ
335,Höhe::N,højde,бæрзонд
336,Höhe::N,højde,бæрзæнд
337,Höhe::N,højde,бæрзонддзинад
338,Gewicht::N,vægt,уӕз
339,Menge::N,mængde,бӕрц
340,Haufen::N,bunke,кӕри
341,Reihe::N,række,рӕнхъ
342,Boot::N,båd,чема
343,Ruder::N,åre,къохар
344,Schlitten::N,kælk,дзоныгъ
345,Schlitten::N,slæde,дзоныгъ
346,Ski::N,ski,къахдзоныгътæ
347,Ski::N,ski,лыжæтæ
348,Lagerfeuer::N,lejrbål,арт
349,Last::N,last,уаргъ
350,Last::N,byrde,уаргъ
351,Gang::N,gang,цыд
352,Schritt::N,skridt,санчъех
353,Schritt::N,skridt,къахдзӕф
354,Norden::N,nord,цæгат
355,Süden::N,syd,хуссар
356,Westen::N,vest,ныгуылæн
357,Osten::N,øst,скæсæн
358,Holz::N,træ,хъӕдӕрмӕг
359,Brett::N,bræt,фæйнæг
360,Platte::N,plade,къӕй
361,Stütze::N,støtte,быцæу
362,Stange::N,stang,хъил
363,Stock::N,stok,лӕдзӕг
364,Stab::N,stav,хъил
365,Rohr::N,rør,хӕтӕл
366,Haus::N,hus,хӕдзар
367,Heim::N,hjem,къона
368,Ofen::N,ovn,пец
369,Fußboden::N,gulv,астӕрд
370,Tisch::N,bord,стъол
371,Stuhl::N,stol,бандон
372,Wiege::N,vugge,авдæн
373,Bett::N,seng,сынтӕг
374,Regal::N,reol,тӕрхӕг
375,Regal::N,reol,уӕлвӕйнӕг
376,Kiste::N,kasse,асыкк
377,Fenster::N,vindue,рудзынг
378,Fenster::N,vindue,фæрссаг
379,Tür::N,dør,дуар
380,Tor::N,port,кулдуар
381,Zaun::N,stakit,æмбонд
382,Zaun::N,stakit,быру
383,Zaun::N,stakit,гæрæн
384,Dach::N,tag,уӕлхӕдзар
385,Leiter::N,stige,асин
386,Besen::N,kost,уисой
387,Spaten::N,spade,бел
388,Schaufel::N,skovl,æвгæнæн
389,Schaufel::N,skovl,кæфой
390,Gabel::N,gaffel,вилкæ
391,Löffel::N,ske,уидыг
392,Messer::N,kniv,кард
393,Nagel::N,søm,зӕгӕл
394,Netz::N,net,хыз
395,Haken::N,krog,хæдз
396,Haken::N,krog,хæбырæгъ
397,Griff::N,tag,фистон
398,Griff::N,håndtag,фистон
399,Schloss::N,lås,гуыдыр
400,Bild::N,billede,ныв
401,Figur::N,figur,кæрдгæныв
402,Puppe::N,dukke,чындз
403,Beutel::N,pose,дзӕкъул
404,Bündel::N,bylt,баст
405,Bündel::N,bundt,баст
406,Tasche::N,taske,хызын
407,Tasche::N,taske,дзæкъул
408,Eimer::N,spand,къæрта
409,Eimer::N,spand,чъыбыла
410,Eimer::N,spand,ведра
411,Deckel::N,låg,сæр
412,Deckel::N,låg,æмбæрзæн
413,Geschirr::N,husgeråd,мигæнæн
414,Geschirr::N,husgeråd,мигæнæнтæ
415,Sack::N,sæk,голлаг
416,Tasse::N,kop,пиала
417,Tasse::N,kop,къус
418,Topf::N,gryde,аг
419,Topf::N,gryde,чысыл аг
420,Kessel::N,kedel,аг
421,Essen::N,måltid,хӕрд
422,Nahrung::N,mad,хойраг
423,Nahrung::N,næring,хойраг
424,Speise::N,ret,хӕринаг
425,Fleisch::N,kød,дзидза
426,Fleisch::N,kød,фыдызгъӕл
427,Getreide::N,korn,халсар
428,Brei::N,grød,кас
429,Brot::N,brød,дзул
430,Scheibe::N,skive,къӕбӕр
431,Fett::N,fedt,сой
432,Butter::N,smør,нӕлхӕ
433,Öl::N,olie,зети
434,Salz::N,salt,цӕхх
435,Suppe::N,suppe,бас
436,Honig::N,honning,мыд
437,Milch::N,mælk,ӕхсыр
438,Tee::N,te,цай
439,Leder::N,skind,мæскуы
440,Wolle::N,uld,фӕсмын
441,Stoff::N,stof,хъуымац
442,Nadel::N,nål,судзин
443,Faden::N,tråd,ӕндах
444,Knopf::N,knap,цӕппӕр
445,Knoten::N,knude,ӕлхынцъ
446,Farbe::N,farve,ахорæн
447,Kleidung::N,påklædning,дарӕс
448,Hemd::N,skjorte,хӕдон
449,Kragen::N,krave,æфцæггот
450,Ärmel::N,ærme,дыс
451,Hose::N,bukser,хæлаф
452,Hose::N,bukser,æддаг хæлаф
453,Hose::N,bukser,салбар
454,Gürtel::N,bælte,рон
455,Mütze::N,hue,худ
456,Schuh::N,sko,басмахъ
457,Stiefel::N,støvle,цырыхъхъ
458,Ring::N,ring,къухдарӕн
459,Band::N,bånd,лент
460,Kamm::N,kam,сӕрвасӕн
461,Spiegel::N,spejl,айдæн
462,Spiegel::N,spejl,кæсæн
463,Riemen::N,rem,гӕрз
464,Schnur::N,snor,бӕндӕн
465,Leine::N,snor,
466,Decke::N,tæppe,хъӕццул
467,Kissen::N,pude,баз
468,Tuch::N,sjaltørklæde,кæлмæрзæн
469,Tuch::N,sjaltørklæde,кæрдæн
470,Handtuch::N,håndklæde,хисæрфæн
471,Kraft::N,kraft,тых
472,Kraft::N,kraft,хъомыс
473,Stärke::N,styrke,тых
474,Stärke::N,styrke,æхсар
475,Gesundheit::N,sundhed,æнæниздзинад
476,Krankheit::N,sygdom,низ
477,Krankheit::N,sygdom,рын
478,Schmerz::N,smerte,рис
479,Wunde::N,sår,цӕф
480,Fieber::N,feber,ризӕг
481,Fieber::N,feber,тӕфсӕг
482,Arznei::N,medicin,хос
483,Arznei::N,lægemiddel,хос
484,Brücke::N,bro,хид
485,Brunnen::N,brønd,цъай
486,Weide::N,græsgang,хизæн
487,Weide::N,græsgang,хизæнуат
488,Weide::N,græsgang,сæрвæт
489,Pfad::N,sti,къахвæндаг
490,Pfad::N,sti,къахвæд
491,Weg::N,vej,фӕндаг
492,Straße::N,gade,фӕндаг
493,Dorf::N,landsby,хъӕу
494,Stadt::N,by,сахар
495,Brief::N,brev,фыстӕг
496,Buch::N,bog,чиныг
497,Buchstabe::N,bogstav,дамгъӕ
498,Zeitung::N,avis,газет
499,Leben::N,liv,цард
500,Leben::N,liv,цӕрӕнбон
501,Tod::N,død,мæлæт
502,Tod::N,død,адзал
503,Grab::N,grav,ингӕн
504,Kirche::N,kirke,аргъуан
505,Sünde::N,synd,тæригъæд
506,Gott::N,gud,хуыцау
507,Arbeiter::N,arbejder,кусæг
508,Chef::N,chef,ӕмцег
509,Meister::N,mester,мастер
510,Meister::N,mester,дæсны
511,Arzt::N,læge,хосгæнæг
512,Arzt::N,læge,дохтыр
513,Lehrer::N,lærer,ахуыргæнæг
514,Geld::N,penge,ӕхца
515,Geschäft::N,forretning,бизнес
516,Geschäft::N,forretning,хъуыддаг
517,Laden::N,butik,дукани
518,Laden::N,forretning,дукани
519,Preis::N,pris,аргъ
520,Ware::N,vare,базайраг
521,Nutzen::N,nytte,пайда
522,Reichtum::N,rigdom,хъæздыгдзинад
523,Reichtum::N,rigdom,исбон
524,Reichtum::N,rigdom,мулк
525,Welt::N,verden,дуне
526,Land::N,land,бӕстӕ
527,Staat::N,stat,паддзахад
528,König::N,konge,къарол
529,Macht::N,magt,хицаудзинад
530,Grenze::N,grænse,арӕн
531,Krieg::N,krig,хӕст
532,Feind::N,fjende,знаг
533,Feind::N,fjende,фыдгул
534,Feind::N,fjende,фыдзæрдæ
535,Feind::N,fjende,сон
536,Gewalt::N,vold,тыхми
537,Gewalt::N,vold,тыхдзинад
538,Kampf::N,kamp,хæст
539,Kampf::N,kamp,хъæбысæйхæст
540,Kampf::N,kamp,тох
541,Bogen[Waffe]::N,bue,ӕрдын
542,Pfeil::N,pil,фат
543,Gewehr::N,gevær,топп
544,Fehler::N,fejl,рӕдыд
545,Lüge::N,løgn,мӕнг
546,Lüge::N,løgn,гӕдыдзинад
547,Schaden::N,skade,зиан
548,Unglück::N,uheld,бæллæх
549,Unglück::N,ulykke,бæллæх
550,Schuld::N,skyld,азым
551,Alter::N,alder,кар
552,Schluss::N,slut,кæрон
553,Schluss::N,slutning,кæрон
554,Zeit::N,tid,рӕстӕг
555,Tag::N,dag,бон
556,Morgen::N,morgen,райсом
557,Mittag::N,middag,æмбисбон
558,Abend::N,aften,изӕр
559,Nacht::N,nat,ӕхсӕв
560,Woche::N,uge,къуыри
561,Monat::N,måned,мӕй
562,Jahr::N,år,аз
563,Jahr::N,år,афӕдз
564,Frühling::N,forår,уалдзæг
565,Sommer::N,sommer,сӕрд
566,Herbst::N,efterår,фæззæг
567,Winter::N,vinter,зымӕг
568,Januar::N,januar,январь
569,Februar::N,februar,февраль
570,März::N,marts,мартъи
571,April::N,april,апрель
572,Mai::N,maj,май
573,Juni::N,juni,июнь
574,Juli::N,juli,июль
575,August::N,august,август
576,September::N,september,сентябрь
577,Oktober::N,oktober,октябрь
578,November::N,november,ноябрь
579,Dezember::N,december,декабрь
580,Montag::N,mandag,къуырисæр
581,Dienstag::N,tirsdag,дыццæг
582,Mittwoch::N,onsdag,æртыццæг
583,Donnerstag::N,torsdag,цыппæрæм
584,Freitag::N,fredag,майрæмбон
585,Samstag::N,lørdag,сабат
586,Sonntag::N,søndag,хуыцаубон
587,groß::A,stor,дынджыр
588,klein::A,lille,гыццыл
589,lang::A,lang,даргъ
590,kurz::A,kort,цыбыр
591,breit::A,bred,фӕтӕн
592,schmal::A,smal,нарӕг
593,schmal::A,smal,уынгӕг
594,dicht::A,tæt,бæзджын
595,dicht::A,tæt,тар
596,dick[Gegenstand]::A,tyk,сӕвджын
597,dünn::A,tynd,тæнæг
598,fein::A,fin,лыстӕг
599,fest::A,fast,фидар
600,fest::A,fast,хъӕддых
601,flach::A,flad,тъӕпӕн
602,glatt::A,glat,лӕгъз
603,hart::A,hård,хъӕбӕр
604,weich::A,blød,фӕлмӕн
605,rund::A,rund,тымбыл
606,spitz::A,spids,цыргъбырынкъ
607,spitz::A,spids,цыргъфындз
608,scharf::A,skarp,цыргъ
609,stumpf::A,sløv,къуымых
610,stumpf::A,stump,къуымых
611,schwer::A,tung,уӕззау
612,schön::A,skøn,аив
613,schön::A,skøn,рӕсугъд
614,heiß::A,hed,тӕвд
615,warm::A,varm,хъарм
616,kalt::A,kold,уазал
617,kühl::A,kølig,сатæг
618,kühl::A,kølig,уазалгомау
619,frisch::A,frisk,сатæг
620,feucht::A,fugtig,уымӕл
621,nass::A,våd,хуылыдз
622,trocken::A,tør,хус
623,voll::A,fuld,дзаг
624,voll::A,fuld,йедзаг 
625,leer::A,tom,афтид
626,offen::A,åben,гом
627,geschlossen::A,lukket,æхгæд
628,sauber::A,ren,сыгъдæг
629,schmutzig::A,snavset,чъиллон
630,roh::A,rå,хом
631,reif::A,moden,рӕгъӕд
632,lecker::A,lækker,хӕрзад
633,süß::A,sød,адджын
634,bitter::A,bitter,судзаг
635,sauer::A,sur,туаг
636,hell::A,lys,рухс
637,dunkel::A,mørk,талынг
638,schwarz::A,sort,сау
639,weiß::A,hvid,урс
640,rot::A,rød,сырх
641,gelb::A,gul,бур
642,blau::A,blå,цъӕх
643,grün::A,grøn,цъӕх
644,grün::A,grøn,кӕрдӕгхуыз
645,grau::A,grå,цъӕх
646,grau::A,grå,фӕныкхуыз
647,bunt::A,broget,хъулон
648,bunt::A,broget,гæрæм
649,billig::A,billig,аслам
650,teuer::A,dyr,зынаргъ
651,wertvoll::A,værdifuld,зынаргъ
652,blind::A,blind,куырм
653,taub::A,døv,къуырма
654,kräftig::A,kraftig,домбай
655,kräftig::A,kraftig,тыхджын
656,stark::A,stærk,тыхджын
657,schwach::A,svag,ӕнӕбон
658,fett::A,fed,нард
659,schlank::A,slank,гуырвидыц
660,schlank::A,slank,хæрзконд
661,schlank::A,slank,рæхснæг
662,schlank::A,slank,сагамад
663,hübsch::A,køn,аив
664,hübsch::A,køn,рӕсугъд
665,böse::A,ond,фыдзӕрдӕ
666,böse::A,slem,фыдзӕрдӕ
667,dumm::A,dum,ӕдылы
668,faul::A,doven,зивӕг
669,faul::A,doven,зивӕггӕнаг
670,fleißig::A,flittig,æнæзивæг
671,fleißig::A,flittig,æнувыд
672,geizig::A,gerrig,чъынды
673,geizig::A,gerrig,æлгъин
674,geizig::A,gerrig,мæрддзæст
675,klug::A,klog,зондджын
676,geschickt::A,dygtig,хӕрзарӕхст
677,geschickt::A,behændig,хӕрзарӕхст
678,lieb::A,rar,уарзон
679,lustig::A,lystig,хъӕлдзӕг
680,sanft::A,blid,мынчын
681,hungrig::A,sulten,ӕххормаг
682,krank::A,syg,нӕфӕразгӕ
683,nackt::A,nøgen,бӕгънӕг
684,traurig::A,bedrøvet,ӕрхӕндӕг
685,lebendig::A,levende,цардӕгас
686,gut::A,god,хорз
687,schlecht::A,dårlig,цауд
688,richtig::A,rigtig,раст
689,schlimm::A,slem,ӕвзӕр
690,wahr::A,sand,ӕцӕг
691,alt::A,gammel,зӕронд
692,neu::A,ny,ног
693,ehemalig::A,forhenværende,раздӕры
694,alt[Lebewesen]::A,gammel,ацӕргӕ
695,jung::A,ung,ӕрыгон
696,arm::A,fattig,мӕгуыр
697,reich::A,rig,хъӕздыг
698,bekannt::A,kendt,зонгӕ
699,berühmt::A,berømt,номдзыд
700,fremd::A,fremmed,æцæгæлон
701,verschieden::A,forskellig,æндæр æмæ æндæр
702,verschieden::A,forskellig,алы
703,verschieden::A,forskellig,алыхуызон
704,nah::A,nær,хӕстӕг
705,fern::A,fjern,дард
706,fern::A,fjern,дӕрддаг
707,linker::A,venstre,галиу
708,rechter::A,højre,рахиз
709,anderer::A,anden,иннӕ
710,anderer::A,anden,ӕндӕр
711,erster::A,første,фыццаг
712,erster::A,første,фыццӕгӕм
713,zweiter::A,anden,дыккаг
714,zweiter::A,anden,дыккæгæм
715,dritter::A,tredje,æртыккаг
716,dritter::A,tredje,æртыккæгæм
717,letzter::A,sidste,фӕстаг
718,allein::ADV,alene,иунæг
719,auf einmal::ADV,på én gang,уайтагъд
720,auf einmal::ADV,på én gang,æвиппайды
721,auf einmal::ADV,på én gang,æваст
722,zusammen::ADV,sammen,иумӕ
723,lange::ADV,længe,бирæ рæстæг
724,plötzlich::ADV,pludselig,æвиппайды
725,plötzlich::ADV,pludselig,æваст
726,sofort::ADV,straks,уыцы сахат
727,sofort::ADV,straks,уайтагъд
728,später::ADV,senere,фæстæдæр
729,jetzt::ADV,nu,ныр
730,heute::ADV,i dag,абон
731,morgen::ADV,i morgen,райсом
732,bald::ADV,snart,тагъд
733,bald::ADV,snart,рæхджы
734,dann::ADV,så,стæй
735,gestern::ADV,i går,знон
736,einst::ADV,engang,кӕддӕр
737,damals::ADV,dengang,уæд
738,danach::ADV,derefter,стæй
739,danach::ADV,derefter,уый фæстæ
740,vorher::ADV,før,раздæр
741,vorher::ADV,forud,раздæр
742,zuerst::ADV,først,фыццаг
743,einmal::ADV,en gang,иу хатт
744,manchmal::ADV,sommetider,хатт
745,oft::ADV,ofte,арæх
746,immer::ADV,altid,ӕдзух
747,niemals::ADV,aldrig,никуы
748,niemals::ADV,aldrig,никæд
749,hier::ADV,her,ам
750,hierhin::ADV,hid,ардӕм
751,hierhin::ADV,herhen,ардӕм
752,von hier::ADV,herfra,ардыгæй
753,dort::ADV,der,уым
754,dorthin::ADV,derhen,уырдӕм
755,geradeaus::ADV,lige ud,æргом
756,vorwärts::ADV,fremad,размӕ
757,rückwärts::ADV,baglæns,фӕстӕмӕ
758,zurück::ADV,tilbage,фӕстӕмӕ
759,unten::ADV,nede,дæлæ
760,unten::ADV,nede,дæлейы
761,unten::ADV,nede,бынæй
762,unten::ADV,forneden,дæлæ
763,unten::ADV,forneden,дæлейы
764,unten::ADV,forneden,бынæй
765,hinab::ADV,ned,дӕлӕмӕ
766,hinab::ADV,ned,уырдыгмӕ
767,hinab::ADV,nedad,дӕлӕмӕ
768,hinab::ADV,nedad,уырдыгмӕ
