,Concept_ID,sl,kn
73,Feuer::N,ôgenj,ಬೆಂಕಿ
74,Licht::N,lúč,ಬೆಳಕು
75,Schatten::N,sénca,ನೆರಳು
76,Wetter::N,vrême,ಹವ
77,Nebel::N,meglà,ಮಂಜು
78,Wolke::N,oblák,ಮೋಡ
79,Regen::N,dèž,ಮಳೆ
80,Schnee::N,snég,ಹಿಮ
81,Eis::N,léd,ಮಂಜುಗಡ್ಡೆ
82,Frost::N,zmrzál,ಮಂಜು
83,Kälte::N,mràz,ಹಿಮ
84,Hitze::N,pripéka,ಉಷ್ಣ
85,Raureif::N,ívje,ಇಬ್ಬನಿ
86,Raureif::N,slána,ಇಬ್ಬನಿ
87,Regenbogen::N,mávrica,ಇಂದ್ರಚಾಪ
88,Donner::N,gròm,ಗುಡುಗು
89,Strömung::N,strúja,ಪ್ರವಾಹ
90,Tropfen::N,káplja,ತೊಟ್ಟು
91,Schaum::N,péna,ನೊರೆ
92,Schmutz::N,nesnága,ಕಸ
93,See::N,jézero,ಸರೋವರ
94,Sumpf::N,močvírje,ಜೌಗುಸ್ಥಳ
95,Moor::N,bárje,ಬಂಜರು ಭೂಮಿ
96,Wiese::N,trávnik,ಹುಲ್ಲುಗಾವಲು
97,Wald::N,lés,ಕಾಡು
98,Wald::N,gòzd,ಕಾಡು
99,Hügel::N,brég,ಗುಡ್ಡೆ
100,Hügel::N,goríca,ಗುಡ್ಡೆ
101,Anhöhe::N,gríč,ದಿಬ್ಬ
102,Anhöhe::N,višína,ದಿಬ್ಬ
103,Berg::N,gôra,ಮಲೆ
104,Berg::N,gôra,ಪರ್ವತ
105,Berg::N,planína,ಮಲೆ
106,Berg::N,planína,ಪರ್ವತ
107,Gipfel::N,vŕh,ಶೃಂಗ
108,Höhle::N,jáma,ಗುಹೆ
109,Höhle::N,votlína,ಗುಹೆ
110,Abhang::N,pobóčje,ಇಳಿಜಾರು
111,Quelle::N,izvír,ಮೂಲ
112,Bach::N,pôtok,ತೊರೆ
113,Fluss::N,réka,ನದಿ
114,Ufer::N,brég,ತೀರ
115,Küste::N,obála,ದಂಡೆ
116,Küste::N,obréžje,ದಂಡೆ
117,Festland::N,celína,ಭೂಮಿ
118,Festland::N,kopnína,ಭೂಮಿ
119,Meer::N,mórje,ಕಡಲು
120,Bucht::N,zalív,ಖಾರಿ
121,Insel::N,ôtok,ದ್ವೀಪ
122,Blume::N,cvetlíca,ಸುಮ
123,Gras::N,tráva,ಹುಲ್ಲು
124,Wurzel::N,korenína,ಬೇರು
125,Baum::N,drevó,ಮರ
126,Stamm::N,dêblo,ಕಾಂಡ
127,Rinde::N,lúbje,ತೂಗಟಿ
128,Rinde::N,skórja,ತೂಗಟಿ
129,Ast::N,véja,ಶಾಖೆ
130,Zweig::N,véja,ರೆಂಬೆ
131,Blatt::N,líst,ಎಲೆ
132,Birke::N,bréza,ಬರ್ಚ್ ಮರ
133,Kiefer[Baum]::N,bòr,ದೇವದಾರು ಮರ
134,Weide[Baum]::N,vŕba,ವಿಲೋಮರ
135,Tanne::N,hója,ಭದ್ರದಾರು
136,Horn::N,róg,ಕೊಂಬು
137,Feder::N,peró,ಪುಕ್ಕ
138,Fell::N,kŕzno,ರೋಮ
139,Flügel::N,krílo,ರೆಕ್ಕೆ
140,Klaue::N,párkelj,ಪಂಜ
141,Kralle::N,krémpelj,ಉಗುರು
142,Schwanz::N,rèp,ಬಾಲ
143,Ei::N,jájce,ಮೊಟ್ಟೆ
144,Nest::N,gnézdo,ಗೂಡು
145,Bau::N,brlòg,ಅಡಗುದಾಣ
146,Tier::N,živál,ಪ್ರಾಣಿ
147,Herde::N,čréda,ಗುಂಪು
148,Kuh::N,kráva,ಹಸು
149,Bulle::N,bìk,ಗೂಳಿ
150,Pferd::N,kònj,ಕುದುರೆ
151,Schaf::N,ôvca,ಕುರಿ
152,Schwein::N,svínja,ಹಂದಿ
153,Hund::N,pès,ನಾಯಿ
154,Katze::N,máčka,ಬೆಕ್ಕು
155,Bär::N,mêdved,ಕರಡಿ
156,Eichhörnchen::N,véverica,ಉಡುತೆ
157,Elch::N,lós,ಕಡವೆ
158,Fuchs::N,lisíca,ನರಿ
159,Hase::N,zájec,ಮೊಲ
160,Maus::N,mìš,ಇಲಿ
161,Wolf::N,vólk,ತೋಳ
162,Vogel::N,ptìč,ಪಕ್ಷಿ
163,Vogel::N,ptíca,ಪಕ್ಷಿ
164,Schwarm::N,játa,ಗುಂಪು
165,Huhn::N,kokóš,ಚಿಕ್
166,Hahn::N,petêlin,ಹುಂಜ
167,Gans::N,gós,ವರಟೆ
168,Adler::N,ôrel,ಗರುಡ
169,Ente::N,ráca,ಬಾತು
170,Eule::N,sôva,ಗೂಬೆ
171,Kranich::N,žerjàv,ಕೊಕ್ಕರ
172,Krähe::N,vrána,ಕಾಗೆ
173,Kuckuck::N,kúkavica,ಕೋಗಿಲೆ
174,Schwan::N,labód,ಹಂಸಪಕ್ಷಿ
175,Fisch::N,ríba,ಮೀನು
176,Barsch::N,ostríž,ಪರ್ಚ್ ಮೀನು
177,Hecht::N,ščúka,ಪೈಕ್ ಮೀನು
178,Schlange[Tier]::N,káča,ಹಾವು
179,Wurm::N,čr̀v,ಹುಳು
180,Wurm::N,glísta,ಹುಳು
181,Spinne::N,pájek,ಊರ್ಣನಾಭ
182,Ameise::N,mrávlja,ಇರುವೆ
183,Laus::N,úš,ಹೇನು
184,Mücke::N,komár,ಸೊಳ್ಳೆ
185,Fliege::N,múha,ನೊಣ
186,Schmetterling::N,metúlj,ಪತಂಗ
187,Beere::N,jágoda,ನಯವಣ್ಣು
188,Apfel::N,jábolko,ಸೇಬು
189,Pilz::N,góba,ಅಣಬೆ
190,Zwiebel::N,čebúla,ನೀರುಳ್ಳಿ
191,Saat::N,séme,ಬಿತ್ತ
192,Korn::N,zŕno,ಬೀಜ
193,Heu::N,senó,ಕರಡ
194,Schale::N,lupína,ಹೊಟ್ಟು
195,Grube::N,jáma,ಗುಂಡಿ
196,Falle::N,pást,ಬೋನು
197,Schlinge::N,zánka,ಉರುಲು
198,Schlinge::N,pêtlja,ಉರುಲು
199,Spur::N,sléd,ಜಾಡು
200,Asche::N,pepél,ಬೂದಿ
201,Dreck::N,bláto,ಹೊಲಸು
202,Eisen::N,želézo,ಕಬ್ಬಿಣ
203,Gold::N,zlató,ಚಿನ್ನ
204,Silber::N,srebró,ಬೆಳ್ಳಿ
205,Kohle::N,ógel,ಕಲ್ಲಿದ್ದಲು
206,Glas::N,stêklo,ಗಾಜು
207,Lehm::N,ílo,ಜೇಡಿಮಣ್ಣು
208,Sand::N,pések,ಮರಳು
209,Mensch::N,člôvek,ಪುರುಷ
210,Mann::N,móž,ಆಳು
211,Mann::N,môški,ಆಳು
212,Frau::N,gospá,ಹೆಣ್ಣು
213,Frau::N,žénska,ಹೆಣ್ಣು
214,Kind::N,déte,ಮಗು
215,Kind::N,otròk,ಮಗು
216,Junge::N,fànt,ಹುಡುಗ
217,Junge::N,déček,ಹುಡುಗ
218,Mädchen::N,deklè,ಹುಡುಗಿ
219,Mädchen::N,déklica,ಹುಡುಗಿ
220,Familie::N,družína,ಕುಟುಂಬ
221,Großvater::N,dèd,ಅಜ್ಜ
222,Großvater::N,dédek,ಅಜ್ಜ
223,Großmutter::N,bábica,ಅಮ್ಮ
224,Eltern::N,stárši,ಹೆತ್ತವರು
225,Vater::N,ôče,ತಂದೆ
226,Mutter::N,máma,ಅಮ್ಮ
227,Sohn::N,sín,ಮಗ 
228,Tochter::N,hčí,ಮಗಳು
229,Tochter::N,hčérka,ಮಗಳು
230,Bruder::N,bràt,ತಮ್ಮ
231,Schwester::N,sêstra,ತಂಗಿ
232,Onkel::N,újec,ಸೋದರಮಾವ
233,Onkel::N,újec,ದೊಡ್ಡಪ್ಪ
234,Onkel::N,stríc,ಸೋದರಮಾವ
235,Onkel::N,stríc,ದೊಡ್ಡಪ್ಪ
236,Tante::N,têta,ಚಿಕ್ಕಮ್ಮ
237,Tante::N,strína,ಚಿಕ್ಕಮ್ಮ
238,Ehemann::N,móž,ಗಂಡ
239,Ehemann::N,sopróg,ಗಂಡ
240,Ehefrau::N,žêna,ಹೆಂಡತಿ
241,Ehefrau::N,sopróga,ಹೆಂಡತಿ
242,Freude::N,rádost,ನಲಿವು
243,Freude::N,vesêlje,ನಲಿವು
244,Gelächter::N,sméh,ನಗೆ
245,Gelächter::N,grohòt,ನಗೆ
246,Glück::N,sréča,ಆನಂದ
247,Kummer::N,gorjé,ದುಃಖ
248,Wunsch::N,žêlja,ಬಯಕೆ
249,Lust::N,poželênje,ಇಷ್ಟ
250,Geist::N,dúša,ಆತ್ಮ
251,Gedanke::N,mísel,ಯೋಚನೆ
252,Gedächtnis::N,pámet,ಸ್ಮರಣೆ
253,Sinn::N,pomèn,ಅರ್ಥ
254,Sinn::N,smísel,ಅರ್ಥ
255,Grund::N,vzròk,ಕಾರಣ
256,Wahrheit::N,resníca,ಸತ್ಯ
257,Gespräch::N,pogóvor,ಸಂಭಾಷಣೆ
258,Märchen::N,právljica,ಸುಳ್ಳು ಕಥೆ
259,Erzählung::N,povést,ಕಥೆ
260,Nachricht::N,sporočílo,ಸಂದೇಶ
261,Neuigkeit::N,novóst,ಸುದ್ದಿ
262,Name::N,imé,ಹೆಸರು
263,Rätsel::N,ugánka,ಒಗಟು
264,Rede::N,góvor,ಮಾತು
265,Sprache::N,jêzik,ಭಾಷೆ
266,Stimme::N,glás,ಧ್ವನಿ
267,Wort::N,beséda,ಮಾತು
268,Zeichen::N,znák,ಗುರುತು
269,Ruf::N,klíc,ಕೂಗು
270,Lärm::N,hrúp,ಸದ್ದು
271,Lärm::N,trúšč,ಸದ್ದು
272,Laut::N,glás,ಶಬ್ದ
273,Ton::N,tón,ನಾದ
274,Lied::N,pésem,ಗಾನ
275,Ruhe::N,pokòj,ಶಾಂತಿ
276,Leute::N,ljudjé,ಮಂದಿ
277,Volk::N,národ,ಜನಾಂಗ
278,Arbeit::N,délo,ಕೆಲಸ
279,Gast::N,gòst,ಅತಿಥಿ
280,Geschenk::N,darílo,ಕಾಣಿಕೆ
281,Spiel::N,ígra,ಆಟ
282,Gesellschaft::N,drúžba,ಸಂಗ
283,Hilfe::N,pomóč,ಸಹಾಯ
284,Freund::N,prijátelj,ಸ್ನೇಹಿತ
285,Kamerad::N,továriš,ಜೊತೆಗಾರ
286,Angelegenheit::N,zadéva,ವಿಚಾರ
287,Anzahl::N,števílo,ಎಣಿಕೆ
288,Art::N,vŕsta,ತರ
289,Stück::N,kós,ತುಂಡು
290,Teil::N,dél,ಭಾಗ
291,Hälfte::N,polovíca,ಅರ್ಧ
292,Kreis::N,króg,ವೃತ್ತ
293,Kreis::N,kolobár,ವೃತ್ತ
294,Kreuz::N,kríž,ಶಿಲುಬೆ
295,Linie::N,próga,ರೀಖೆ
296,Strich::N,čŕta,ಗೀಟು
297,Abstand::N,preslédek,ಅಂತರ
298,Entfernung::N,oddáljenost,ದೂರ
299,Gegend::N,kràj,ವಿಸ್ತೀರ್ಣ
300,Gegend::N,dežêla,ವಿಸ್ತೀರ್ಣ
301,Platz::N,prôstor,ಅಂತರ
302,Ort::N,mésto,ಸ್ಥಳ
303,Seite::N,bòk,ಪಕ್ಷ
304,Seite::N,strán,ಪಕ್ಷ
305,Mitte::N,sredína,ನಡು
306,Gegenstand::N,prédmet,ವಸ್ತು
307,Sache::N,réč,ವಸ್ತು
308,Sache::N,stvár,ವಸ್ತು
309,Rand::N,kràj,ಅಂಚು
310,Kante::N,rób,ಅಂಚು
311,Ecke::N,vogál,ಮೂಲೆ
312,Spitze::N,óst,ತುದಿ
313,Ende::N,kônec,ಕೊನೆ
314,Loch::N,lúknja,ತೂತು
315,Winkel::N,kót,ಕೋನ
316,Muster::N,vzórec,ನಮೂನೆ
317,Größe::N,veličína,ಪ್ರಮಾಣ
318,Länge::N,dolžína,ಉದ್ದ
319,Höhe::N,vršína,ಎತ್ತರ
320,Gewicht::N,téža,ತೂಕ
321,Menge::N,količína,ಮೊತ್ತ
322,Haufen::N,kùp,ರಾಶಿ
323,Haufen::N,kopíca,ರಾಶಿ
324,Reihe::N,níz,ಸಾಲು
325,Reihe::N,vŕsta,ಸಾಲು
326,Boot::N,čóln,ದೋಣಿ
327,Ruder::N,vêslo,ಹುಟ್ಟು
328,Schlitten::N,saní,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
329,Ski::N,smučí,ಜಾರುಪಟ್ಟಿ
330,Lagerfeuer::N,táborni ôgenj,ಶಿಬಿರಾಗ್ನಿ
331,Last::N,tôvor,ಹೊರೆ
332,Gang::N,hòd,ತಿರುಗಾಟ
333,Schritt::N,korák,ಹೆಜ್ಜೆ
334,Norden::N,séver,ಉತ್ತರ
335,Süden::N,júg,ದಕ್ಷಿಣ
336,Westen::N,zapàd,ಪಶ್ಚಿಮ
337,Osten::N,vzhòd,ಮೂಡಲು
338,Holz::N,lés,ಚೌಬೀನೆ
339,Brett::N,deskà,ಹಲಗೆ
340,Platte::N,plôča,ಹಲಗೆ
341,Stütze::N,opóra,ಆಸರೆ
342,Stütze::N,zaslómba,ಆಸರೆ
343,Stange::N,gréd,ಕಂಬ
344,Stock::N,pálica,ಕೋಲು
345,Stab::N,pálica,ದೊಣ್ಣೆ
346,Rohr::N,cév,ನಳಿಕೆ
347,Haus::N,híša,ಮನೆ
348,Heim::N,dóm,ಗೃಹ
349,Ofen::N,péč,ಒಲೆ
350,Fußboden::N,pòd,ನೆಲ
351,Tisch::N,míza,ಮೇಜು
352,Stuhl::N,stòl,ಕುರ್ಚಿ
353,Wiege::N,zíbel,ತೊಟ್ಟಿಲು
354,Bett::N,póstelja,ಹಾಸಿಗೆ
355,Regal::N,políca,ಬೀರು
356,Kiste::N,zabòj,ಪಟ್ಟಿಗೆ
357,Fenster::N,ôkno,ಕಿಟಕಿ
358,Tür::N,vráta,ಬಾಗಿಲು
359,Tor::N,velíka vráta,ಹೆಬ್ಬಾಗಿಲು
360,Zaun::N,ográja,ಬೇಲಿ
361,Dach::N,stréha,ಮಾಳಿಗೆ
362,Leiter::N,léstev,ಏಣಿ
363,Besen::N,mêtla,ಪೊರಕೆ
364,Spaten::N,lopáta,ಗುದ್ದಲಿ
365,Schaufel::N,lopáta,ಸನಿಕೆ
366,Gabel::N,vílice,ಕವಲು
367,Löffel::N,žlíca,ಚಮಚ
368,Messer::N,nòž,ಚಾಕು
369,Nagel::N,žebèlj,ಆಣಿ
370,Netz::N,mréža,ಬಲೆ
371,Haken::N,kljúka,ಕೊಂಡಿ
372,Griff::N,ročáj,ಹಿಡಿ
373,Griff::N,oprijèm,ಹಿಡಿ
374,Schloss::N,ključávnica,ವೀಗ
375,Bild::N,slíka,ಚಿತ್ರ
376,Figur::N,figúra,ಆಕಾರ
377,Figur::N,postáva,ಆಕಾರ
378,Puppe::N,lútka,ಗೊಂಬೆ
379,Beutel::N,môšnja,ಸಂಚಿ
380,Bündel::N,cúla,ಕಟ್ಟು
381,Bündel::N,svéženj,ಕಟ್ಟು
382,Tasche::N,tórba,ಚೀಲ
383,Tasche::N,tobôlec,ಚೀಲ
384,Eimer::N,vêdro,ಬಾನೆ
385,Deckel::N,pokròv,ಮುಚ್ಚಳ
386,Deckel::N,poklópec,ಮುಚ್ಚಳ
387,Geschirr::N,posóda,ಭಕ್ಷ್ಯಗಳು
388,Sack::N,vréča,ಮೂಟೆ
389,Tasse::N,skodélica,ಬಟ್ಟಲು
390,Topf::N,lônec,ಮಡಕೆ
391,Kessel::N,kôtel,ಕೆಟಲ್
392,Essen::N,hrána,ಊಟ
393,Nahrung::N,živílo,ಆಹಾರ
394,Speise::N,jéd,ಊಟ
395,Fleisch::N,mesó,ಮಾಂಸ
396,Getreide::N,žíto,ಧಾನ್ಯ
397,Brei::N,káša,ಗಂಜಿ
398,Brot::N,krùh,ರೊಟ್ಟಿ
399,Scheibe::N,réženj,ಹೋಳು
400,Fett::N,mást,ಕೊಬ್ಬು
401,Fett::N,maščôba,ಕೊಬ್ಬು
402,Butter::N,máslo,ಬೆಣ್ಣೆ
403,Öl::N,ólje,ಎಣ್ಣೆ
404,Salz::N,sól,ಉಪ್ಪು
405,Suppe::N,júha,ಎಸರು
406,Honig::N,méd,ಮಧು
407,Milch::N,mléko,ಹಾಲು
408,Tee::N,čáj,ಚಹ
409,Leder::N,úsnje,ಚಕ್ಕಳ
410,Wolle::N,vólna,ಉಣ್ಣೆ
411,Stoff::N,blagó,ಬಟ್ಟೆ
412,Nadel::N,ígla,ಸೂಜಿ
413,Faden::N,nít,ದಾರ
414,Knopf::N,gúmb,ಗುಂಡು
415,Knoten::N,vôzel,ಗಂಟು
416,Farbe::N,bárva,ಬಣ್ಣ
417,Kleidung::N,obléka,ಅರಿವೆ
418,Hemd::N,srájca,ಅಂಗಿ
419,Kragen::N,ovrátnik,ಕುತ್ತಿಗೆಪಟ್ಟಿ
420,Ärmel::N,rokáv,ತೋಳು
421,Hose::N,hláče,ಇಜಾರ
422,Gürtel::N,pás,ಬೆಲ್ಟು
423,Mütze::N,kápa,ಟೋಪಿ
424,Mütze::N,čépica,ಟೋಪಿ
425,Schuh::N,čévelj,ಪಾದರಕ್ಷೆ
426,Stiefel::N,škórenj,ಬೂಟು
427,Ring::N,pŕstan,ಉಂಗುರ
428,Band::N,trák,ರಿಬ್ಬನ್
429,Kamm::N,glavník,ಹಣಿಗೆ
430,Spiegel::N,zrcálo,ಕನ್ನಡಿ
431,Spiegel::N,ogledálo,ಕನ್ನಡಿ
432,Riemen::N,jêrmen,ಬಾರು
433,Schnur::N,vŕvca,ಹುರಿ
434,Leine::N,konôpec,ಹಗ್ಗ
435,Decke::N,odéja,ಕಂಬಳಿ
436,Kissen::N,blazína,ದಿಂಬು
437,Tuch::N,pŕt,ಕೊರಳ ಬಟ್ಟೆ
438,Tuch::N,rúta,ಕೊರಳ ಬಟ್ಟೆ
439,Handtuch::N,brisáča,ಚೌಕ
440,Kraft::N,síla,ಬಲ
441,Stärke::N,jákost,ಶಕ್ತಿ
442,Gesundheit::N,zdrávje,ಆರೋಗ್ಯ
443,Krankheit::N,bolézen,ರೋಗ
444,Schmerz::N,ból,ನೋವು
445,Schmerz::N,bolečína,ನೋವು
446,Wunde::N,rána,ಗಾಯ
447,Fieber::N,vročína,ಜ್ವರ
448,Arznei::N,lék,ಔಷಧ
449,Arznei::N,zdravílo,ಔಷಧ
450,Brücke::N,móst,ಸೇತುವೆ
451,Brunnen::N,vodnják,ಬಾವಿ
452,Weide::N,páša,ಗೋಮಾಳ
453,Pfad::N,stezà,ದಾರಿ
454,Weg::N,pót,ಹಾದಿ
455,Straße::N,césta,ರಸ್ತೆ
456,Dorf::N,vás,ಹಳ್ಳಿ
457,Stadt::N,mésto,ಪಟ್ಟಣ
458,Brief::N,písmo,ಕಾಗದ
459,Buch::N,knjíga,ಪುಸ್ತಕ
460,Buchstabe::N,čŕka,ಅಕ್ಷರ
461,Zeitung::N,čásnik,ವಾರ್ತಾಪತ್ರಿಕೆ
462,Leben::N,življênje,ಜೀವನ
463,Tod::N,smŕt,ಮರಣ
464,Grab::N,gròb,ಗೋರಿ
465,Kirche::N,cérkev,ಚರ್ಚು
466,Sünde::N,gréh,ಪಾಪ
467,Gott::N,bóg,ದೇವರು
468,Arbeiter::N,délavec,ಕೆಲಸಗಾರ
469,Chef::N,šéf,ದಣಿ
470,Meister::N,mójster,ಶಿಕ್ಷಕ
471,Arzt::N,zdravník,ವೈದ್ಯ
472,Lehrer::N,učítelj,ಉಪಾಧ್ಯಾಯ
473,Geld::N,denár,ಹಣ
474,Geschäft::N,kupčíja,ವಾಣಿಜ್ಯ
475,Laden::N,trgovína,ಅಂಗಡಿ
476,Preis::N,céna,ಬೆಲೆ
477,Ware::N,róba,ಸರಕು
478,Nutzen::N,príd,ಲಾಭ
479,Reichtum::N,bogástvo,ಸಂಪತ್ತು
480,Welt::N,svét,ಭೂಲೋಕ
481,Land::N,dežêla,ದೇಶ
482,Staat::N,držáva,ರಾಜ್ಯ
483,König::N,králj,ರಾಜ
484,Macht::N,oblást,ಅಧಿಕಾರ
485,Grenze::N,mêja,ಗಡಿ
486,Krieg::N,vôjna,ಯುದ್ಧ
487,Feind::N,sovrážnik,ಶತ್ರು
488,Gewalt::N,nasílje,ಹಿಂಸೆ
489,Kampf::N,bòj,ಹೋರಾಟ
490,Kampf::N,bórba,ಹೋರಾಟ
491,Bogen[Waffe]::N,lók,ಬಿಲ್ಲು
492,Pfeil::N,puščíca,ಅಂಬು
493,Gewehr::N,púška,ಬಂದೂಕು
494,Fehler::N,zmóta,ತಪ್ಪು
495,Lüge::N,láž,ಸುಳ್ಳು
496,Schaden::N,okvára,ಹಾನಿ
497,Unglück::N,nesréča,ಅಪಾಯ
498,Schuld::N,krívda,ದೋಷ
499,Alter::N,dôba,ಮುಪ್ಪು
500,Schluss::N,kônec,ಮುಕ್ತಾಯ
501,Zeit::N,čàs,ಕಾಲ
502,Tag::N,dán,ದಿನ
503,Morgen::N,jútro,ಮುಂಜಾನೆ
504,Mittag::N,póldan,ನಡುಹಗಲು
505,Abend::N,večér,ಸಂಜೆ
506,Nacht::N,nóč,ರಾತ್ರಿ
507,Woche::N,téden,ವಾರ
508,Monat::N,mésec,ತಿಂಗಳು
509,Jahr::N,léto,ಸಂವತ್ಸರ
510,Frühling::N,pomlád,ವಸಂತ
511,Sommer::N,polétje,ಬಿಸಿಲುಕಾಲ
512,Herbst::N,jesén,ಶರತ್ಕಾಲ
513,Winter::N,zíma,ಚಳಿಗಾಲ
514,Januar::N,jánuar,ನಾಲ್ಚಳಿ
515,Februar::N,fébruar,ಅಯ್ಚಳಿ
516,März::N,márec,ಮೊಬ್ಬೇಸಿಗೆ
517,April::N,apríl,ಇಬ್ಬೇಸಿಗೆ
518,Mai::N,máj,ಮುಬ್ಬೇಸಿಗೆ
519,Juni::N,júnij,ಮೊಮ್ಮಳೆ
520,Juli::N,júlij,ಇಮ್ಮಳೆ
521,August::N,avgúst,ಮುಮ್ಮಳೆ
522,September::N,septêmber,ನಾಲ್ಮಳೆ
523,Oktober::N,október,ಮೊಚ್ಚಳಿ
524,November::N,novêmber,ಇಚ್ಚಳಿ
525,Dezember::N,decémber,ಮುಚ್ಚಳಿ
526,Montag::N,ponedéljek,ಸೋಮುವಾರ
527,Dienstag::N,tôrek,ಮಂಗಳವಾರ
528,Mittwoch::N,sréda,ಬುಧವಾರ
529,Donnerstag::N,četŕtek,ಗುರುವಾರ
530,Freitag::N,pétek,ಶುಕ್ರವಾರ
531,Samstag::N,sobóta,ಶನಿವಾರ
532,Sonntag::N,nedélja,ಭಾನುವಾರ
533,groß::A,vêlik,ದೊಡ್ಡ
534,klein::A,májhen,ಪುಟ್ಟ
535,lang::A,dólg,ದೀರ್ಘ
536,kurz::A,krátek,ಚಕ್ಕ
537,breit::A,širòk,ಅಗಲವಾದ
538,schmal::A,ózek,ಇಕ್ಕಟ್ಟಾದ
539,dicht::A,góst,ದಟ್ಟ
540,dick[Gegenstand]::A,dêbel,ದಟ್ಟ
541,dünn::A,tánek,ತೆಳು
542,fein::A,drôben,ಕೋಮಲ
543,fest::A,tŕden,ಘನ
544,flach::A,plán,ಚಪ್ಪಟೆ
545,flach::A,plòsk,ಚಪ್ಪಟೆ
546,glatt::A,gládek,ನಯ
547,hart::A,tŕd,ಗಟ್ಟಿ
548,weich::A,mehák,ಮೃದುವಾದ
549,rund::A,okrógel,ವರ್ತುಳ
550,spitz::A,šílast,ಮೊನಚಾದ
551,scharf::A,óster,ತೀಕ್ಷ್ಣ
552,stumpf::A,tóp,ಮೊಂಡು
553,stumpf::A,skŕhan,ಮೊಂಡು
554,schwer::A,têžek,ಭಾರಿ
555,schön::A,lép,ಸುಂದರ
556,schön::A,krásen,ಸುಂದರ
557,heiß::A,vròč,ಬಿಸಿ
558,warm::A,tôpel,ಬಿಸಿ
559,kalt::A,mŕzel,ತಣ್ಣನೆಯ
560,kalt::A,hláden,ತಣ್ಣನೆಯ
561,kühl::A,hláden,ತಂಪಾದ
562,frisch::A,svéž,ನಿರ್ಮಲ
563,feucht::A,vlážen,ಒದ್ದೆಯಾದ
