,Concept_ID,fi,udm
355,Gegend::N,seutu,инты
356,Platz::N,tila,инты
357,Ort::N,kohta,инты
358,Ort::N,kohta,места
359,Ort::N,paikka,инты
360,Ort::N,paikka,места
361,Seite::N,sivu,пал
362,Seite::N,kylki,пал
363,Mitte::N,keskus,шор
364,Mitte::N,puoliväli,шор
365,Gegenstand::N,kalu,арбери
366,Gegenstand::N,esine,арбери
367,Sache::N,asia,котыр
368,Rand::N,ääri,дур
369,Rand::N,ääri,шаер
370,Rand::N,syrjä,дур
371,Rand::N,syrjä,шаер
372,Kante::N,särmä,дур
373,Ecke::N,nurkka,сэрег
374,Spitze::N,terä,йыл
375,Spitze::N,kärki,йыл
376,Ende::N,pää,пум
377,Ende::N,perä,пум
378,Loch::N,kolo,пась
379,Loch::N,reikä,пась
380,Winkel::N,kulma,сэрег
381,Muster::N,kuvio,пужы
382,Größe::N,koko,быдӟала
383,Größe::N,suuruus,быдӟала
384,Länge::N,pituus,кузьдала
385,Höhe::N,korkeus,ӝуждала
386,Gewicht::N,paino,сектала
387,Gewicht::N,paino,секытлык
388,Menge::N,määrä,лыд
389,Menge::N,määrä,лыдпус
390,Haufen::N,kasa,люк
391,Reihe::N,rivi,чур
392,Boot::N,vene,пыж
393,Boot::N,vene,лодка
394,Ruder::N,airo,полыс
395,Schlitten::N,reki,додьы
396,Schlitten::N,kelkka,додьы
397,Ski::N,suksi,куас
398,Lagerfeuer::N,nuotio,тылскем
399,Last::N,kuorma,секыт
400,Gang::N,kulku,ветлон
401,Gang::N,käynti,ветлон
402,Schritt::N,askel,вамыш
403,Norden::N,pohjoinen,уйпал
404,Süden::N,etelä,лымшор
405,Westen::N,länsi,шунды пуксён
406,Osten::N,itä,шунды ӝужан
407,Holz::N,puu,пу
408,Brett::N,lauta,пул
409,Platte::N,levy,плита
410,Stütze::N,noja,пыкет
411,Stange::N,tanko,пуӵ
412,Stock::N,keppi,боды
413,Stab::N,sauva,пуӵ
414,Stab::N,sauva,боды
415,Stab::N,seiväs,пуӵ
416,Stab::N,seiväs,боды
417,Rohr::N,putki,труба
418,Haus::N,talo,юрт
419,Heim::N,koti,корка
420,Ofen::N,uuni,гур
421,Fußboden::N,lattia,выж
422,Tisch::N,pöytä,ӝӧк
423,Stuhl::N,tuoli,пукон
424,Wiege::N,kehto,кӧкы
425,Wiege::N,kehto,зыбка
426,Bett::N,sänky,валес
427,Regal::N,hylly,ӝажы
428,Kiste::N,arkku,ящик
429,Kiste::N,kirstu,ящик
430,Kiste::N,laatikko,ящик
431,Fenster::N,ikkuna,укно
