,Concept_ID,no,ce
120,Küste::N,kyst,йист
121,Festland::N,fastland,латта
122,Meer::N,hav,xӏорд
123,Bucht::N,bukt,чож
124,Insel::N,øy,гӏайре
125,Blume::N,blomst,зезаг
126,Gras::N,gress,буц
127,Wurzel::N,rot,орам
128,Baum::N,tre,дитт
129,Stamm::N,stamme,гӏад
130,Stamm::N,stamme,тайпа
131,Rinde::N,bark,кевстиг
132,Ast::N,gren,га
133,Zweig::N,kvist,га
134,Blatt::N,blad,гӏа
135,Birke::N,bjørk,дакх
136,Kiefer[Baum]::N,furu,бага
137,Weide[Baum]::N,selje,дак
138,Weide[Baum]::N,piletre,дак
139,Tanne::N,gran,база
140,Horn::N,horn,маӏа
141,Feder::N,fjær,пелаг
142,Fell::N,skinn,цӏока
143,Flügel::N,vinge,тӏам
144,Klaue::N,klauv,мӏара
145,Kralle::N,klo,тlод
146,Schwanz::N,hale,цӏога
147,Ei::N,egg,xӏoa
148,Nest::N,rede,бен
149,Bau::N,hi,lуьрг
150,Tier::N,dyr,дийнат
151,Herde::N,flokk,жа
152,Kuh::N,ku,етт
153,Bulle::N,tyr,сту
154,Pferd::N,hest,говр
155,Schaf::N,får,жий
156,Schaf::N,får,уьстагӏ
157,Schwein::N,gris,хьакха
158,Hund::N,hund,жӏаьла
159,Katze::N,katt,цициг
160,Bär::N,bjørn,ча
161,Eichhörnchen::N,ekorn,тарсал
162,Elch::N,elg,сай
163,Fuchs::N,rev,цхьогал
164,Hase::N,hare,пхьагал
165,Maus::N,mus,дахка
166,Wolf::N,ulv,борз
167,Wolf::N,varg,борз
168,Vogel::N,fugl,олхазар
169,Schwarm::N,sverm,
170,Huhn::N,høne,котам
171,Hahn::N,hane,нӏаьна
172,Hahn::N,hane,боргӏал
173,Gans::N,gås,гӏаз
174,Adler::N,ørn,aьрзу
175,Ente::N,and,бад
176,Eule::N,ugle,бухӏа
177,Kranich::N,trane,гӏаргӏули
178,Krähe::N,kråke,къиг
179,Kuckuck::N,gjøk,aттйокх
180,Schwan::N,svane,гӏургӏаз
181,Fisch::N,fisk,чӏара
182,Barsch::N,abbor,окунь
183,Hecht::N,gjedde,гӏазкхийн чӏара
184,Schlange[Tier]::N,orm,лаьхьа
185,Schlange[Tier]::N,slange,лаьхьа
186,Wurm::N,orm,нӏаьна
187,Wurm::N,mark,нӏаьна
188,Spinne::N,edderkopp,гезг
189,Ameise::N,maur,зингат
190,Laus::N,lus,меза
191,Laus::N,lus,гӏениг
192,Mücke::N,mygg,чуьрк
193,Fliege::N,flue,моза
194,Schmetterling::N,sommerfugl,полла
195,Beere::N,bær,цӏазам
196,Apfel::N,eple,ӏаж
197,Pilz::N,sopp,жӏаьлин нускал
198,Zwiebel::N,løk,xох
199,Saat::N,sæd,чlу
200,Korn::N,korn,буьртиг
201,Heu::N,høy,йол
202,Schale::N,skall,пардо
203,Grube::N,grop,ор
204,Falle::N,felle,кӏело
205,Schlinge::N,snare,
206,Spur::N,spor,лар
207,Asche::N,aske,чим
208,Dreck::N,møkk,мода
209,Dreck::N,skitt,мода
210,Eisen::N,jern,эчиг
211,Gold::N,gull,деши
212,Silber::N,sølv,дети
213,Kohle::N,kol,кӏора
214,Kohle::N,kull,кӏора
215,Glas::N,glass,aнгали
216,Lehm::N,leire,поппар
217,Sand::N,sand,гӏум
218,Mensch::N,menneske,адам
219,Mann::N,mann,майра
220,Frau::N,kvinne,зуда
221,Kind::N,barn,бер
222,Junge::N,gutt,жимха
223,Mädchen::N,pike,жима йоӏ
224,Mädchen::N,jente,жима йоӏ
225,Familie::N,familie,доьзал
226,Großvater::N,bestefar,ненада
227,Großmutter::N,bestemor,денана
228,Eltern::N,foreldre,да-нана
229,Vater::N,far,да
230,Mutter::N,mor,нана
231,Sohn::N,sønn,кӏант
232,Tochter::N,datter,йоӏ
233,Bruder::N,bror,ваша
234,Schwester::N,søster,йиша
235,Onkel::N,onkel,деваша
236,Tante::N,tante,дейиша
237,Ehemann::N,ektemann,майра
238,Ehefrau::N,hustru,зуда
239,Freude::N,glede,самукъа
240,Freude::N,glede,хазахетар
241,Gelächter::N,latter,белам
242,Glück::N,lykke,ирс
243,Kummer::N,sorg,бала
244,Wunsch::N,ønske,лаам
245,Lust::N,lyst,лаам
246,Geist::N,ånd,са
247,Gedanke::N,tanke,ойла
248,Gedächtnis::N,minne,диццадалар
249,Gedächtnis::N,hukommelse,диццадалар
250,Verstand::N,forstand,хьекъал
251,Sinn::N,mening,маьӏна
252,Sinn::N,betydning,маьӏна
253,Grund::N,grunn,бахьана
254,Wahrheit::N,sannhet,бакъдерг
255,Gespräch::N,samtale,къамел
256,Märchen::N,eventyr,туьйра
257,Erzählung::N,fortelling,дийцар
258,Nachricht::N,melding,хаам
259,Neuigkeit::N,nyhet,керланиг
260,Name::N,navn,цӏе
261,Rätsel::N,gåte,хӏетал-метал
262,Rede::N,tale,къамел
263,Sprache::N,språk,мотт
264,Stimme::N,stemme,aз
265,Wort::N,ord,дош
266,Zeichen::N,tegn,билгало
267,Ruf::N,rop,кхайкхар
268,Lärm::N,bråk,гӏовгӏа
269,Laut::N,lyd,аз
270,Ton::N,tone,aз
271,Lied::N,vise,илли
272,Ruhe::N,ro,тийналла
273,Leute::N,folk,нах
274,Volk::N,folk,халкъ
275,Arbeit::N,arbeid,болх
276,Gast::N,gjest,хьаша
277,Geschenk::N,gave,совгӏат
278,Spiel::N,lek,ловзар
279,Spiel::N,spill,ловзар
280,Gesellschaft::N,selskap,юкъаралла
281,Hilfe::N,hjelp,гӏо
282,Freund::N,venn,доттагl
283,Kamerad::N,kamerat,накъост
284,Angelegenheit::N,sak,гӏуллакх
285,Angelegenheit::N,anliggende,гӏуллакх
286,Anzahl::N,antall,терахь
287,Art::N,art,
288,Art::N,slag,
289,Stück::N,stykke,юьхк
290,Teil::N,del,дакъа
291,Hälfte::N,halvdel,ах
292,Kreis::N,ring,го
293,Kreis::N,sirkel,го
294,Kreuz::N,kors,жӏара
295,Kreuz::N,kryss,жӏара
296,Linie::N,linje,сиз
297,Strich::N,strek,сиз
298,Abstand::N,avstand,юкъ
299,Entfernung::N,avstand,
300,Gegend::N,strøk,мeттиг
301,Platz::N,plass,майда
302,Ort::N,sted,меттиг
303,Seite::N,side,aгӏo
304,Mitte::N,midte,юкъ
305,Gegenstand::N,gjenstand,хӏума
306,Sache::N,sak,хӏума
307,Rand::N,rand,йист
308,Kante::N,kant,йист
309,Ecke::N,hjørne,са
310,Spitze::N,spiss,ралла
311,Ende::N,ende,юьхьиг
312,Loch::N,hull,ӏуьрг
313,Winkel::N,vinkel,са
314,Muster::N,mønster,дагар
315,Muster::N,mønster,тӏамар
316,Größe::N,størrelse,барам
317,Länge::N,lengde,йохалла
318,Höhe::N,høyde,локхалла
319,Gewicht::N,vekt,йозалла
320,Menge::N,mengde,дукхалла
321,Haufen::N,haug,сал
322,Haufen::N,haug,оьла
323,Haufen::N,bunke,сал
324,Haufen::N,bunke,оьла
325,Reihe::N,rekke,рагӏ
326,Reihe::N,rekke,могӏа
327,Boot::N,båt,кема
328,Ruder::N,åre,пийсиг
329,Schlitten::N,slede,салаз
330,Schlitten::N,kjelke,салаз
331,Ski::N,ski,когсалаз
332,Lagerfeuer::N,leirbål,цӏе
333,Last::N,bør,дукъ
334,Last::N,last,дукъ
335,Gang::N,gang,лелар
336,Schritt::N,steg,гӏулч
337,Schritt::N,skritt,гӏулч
338,Norden::N,nord,къилбаседе
339,Süden::N,sør,къилбе
340,Westen::N,vest,малхбузе
341,Osten::N,øst,малхбале
342,Holz::N,tre,дечиг
343,Brett::N,fjøl,у
344,Brett::N,brett,у
345,Platte::N,plate,у
346,Stütze::N,støtte,гӏopтоp
347,Stange::N,stang,гӏуркх
348,Stock::N,pinne,ӏаса
349,Stab::N,stav,гӏаж
350,Stab::N,kjepp,гӏаж
351,Rohr::N,rør,биргӏа
352,Haus::N,hus,цӏа
353,Heim::N,hjem,кхерч
354,Ofen::N,ovn,кхерч
355,Fußboden::N,gulv,цӏенкъа
356,Tisch::N,bord,шун
357,Stuhl::N,stol,гӏант
358,Wiege::N,vogge,ага
359,Bett::N,seng,маьнга
360,Regal::N,reol,терхи
361,Regal::N,hylle,терхи
362,Kiste::N,kasse,яьшка
363,Fenster::N,vindu,кор
364,Tür::N,dør,неӏ
365,Tor::N,port,ков
366,Zaun::N,gjerde,керт
367,Dach::N,tak,тхов
368,Leiter::N,stige,лами
369,Besen::N,kost,нуй
370,Spaten::N,spade,бел
371,Schaufel::N,skuffe,аьшкал
372,Gabel::N,gaffel,мӏара
373,Löffel::N,skje,ӏайг
374,Messer::N,kniv,урс
375,Nagel::N,spiker,хьостам
376,Netz::N,nett,бой
377,Haken::N,krok,мӏара
378,Griff::N,tak,
379,Griff::N,håndtak,
380,Schloss::N,lås,чӏега
381,Bild::N,bilde,сурт
382,Figur::N,figur,
383,Puppe::N,dukke,тайниг
384,Beutel::N,pose,гали
385,Bündel::N,bylt,кочар
386,Tasche::N,veske,тӏоьрмиг
387,Eimer::N,bøtte,чийлик
388,Deckel::N,lokk,негӏар
389,Geschirr::N,kjøkkentøy,пхьегӏа
390,Sack::N,sekk,гали
391,Tasse::N,kopp,кад
392,Topf::N,gryte,яй
393,Kessel::N,kjele,яй
394,Essen::N,mål,юург
395,Nahrung::N,mat,кхача
396,Nahrung::N,næring,кхача
397,Speise::N,matrett,юург
398,Fleisch::N,kjøtt,жижиг
399,Getreide::N,korn,буьртиг
400,Brei::N,grøt,xудар
401,Brot::N,brød,бепиг
402,Brot::N,brød,кхаллар
403,Scheibe::N,skive,цастар
404,Fett::N,fett,мохь
405,Butter::N,smør,налха
406,Öl::N,olje,даьтта
407,Salz::N,salt,туьха
408,Suppe::N,suppe,чорпа
409,Honig::N,honning,моз
410,Milch::N,melk,шура
411,Tee::N,te,чай
412,Leder::N,lær,цӏока
413,Leder::N,skinn,цӏока
414,Wolle::N,ull,тӏapгӏa
415,Stoff::N,tøy,кӏади
416,Stoff::N,stoff,кӏади
417,Nadel::N,nål,маха
418,Faden::N,tråd,тай
419,Knopf::N,knapp,нуьйда
420,Knoten::N,knute,шад
421,Farbe::N,farge,сир
422,Farbe::N,farge,басар
423,Kleidung::N,påkledning,бедар
424,Hemd::N,skjorte,коч
425,Kragen::N,krage,кач
426,Ärmel::N,erme,пхьош
427,Hose::N,bukse,хеча
428,Gürtel::N,belte,доьхка
429,Mütze::N,lue,куй
430,Schuh::N,sko,мача
431,Stiefel::N,støvel,этка
432,Ring::N,ring,чӏуг
433,Band::N,band,лента
434,Kamm::N,kam,ехк
435,Spiegel::N,speil,куьзга
436,Riemen::N,rem,доьхка
437,Schnur::N,snor,муш
438,Leine::N,line,кочатосу доьхка
439,Decke::N,teppe,юргӏа
440,Kissen::N,pute,гIайба
441,Tuch::N,tøy,исхар
442,Handtuch::N,håndkle,гата
443,Kraft::N,kraft,гӏора
444,Stärke::N,styrke,гӏап
445,Gesundheit::N,helse,могашалла
446,Gesundheit::N,sunnhet,могашалла
447,Krankheit::N,syke,цамгар
448,Krankheit::N,sykdom,цамгар
449,Schmerz::N,smerte,лазар
450,Wunde::N,sår,чов
451,Fieber::N,feber,xорша
452,Arznei::N,medisin,молха
453,Arznei::N,legemiddel,молха
454,Brücke::N,bro,тӏай
455,Brunnen::N,brønn,гӏу
456,Weide::N,beite,дак
457,Pfad::N,sti,тача
458,Weg::N,vei,некъ
459,Straße::N,gate,урам
460,Dorf::N,landsby,юрт
461,Stadt::N,by,гӏала
462,Brief::N,brev,кехат
463,Buch::N,bok,жайна
464,Buchstabe::N,bokstav,элп
465,Zeitung::N,avis,газет
466,Leben::N,liv,дахар
467,Tod::N,død,далар
468,Tod::N,død,ӏожалла
469,Grab::N,grav,каш
470,Kirche::N,kirke,килс
471,Sünde::N,synd,къа
472,Gott::N,gud,дела
473,Arbeiter::N,arbeider,белхало
474,Chef::N,sjef,хьаькам
475,Meister::N,mester,говзанча
476,Arzt::N,lege,лор
477,Lehrer::N,lærer,хьехархо
478,Geld::N,penger,aхча
479,Geschäft::N,forretning,туька
480,Laden::N,butikk,туька
481,Preis::N,pris,мах
482,Ware::N,vare,хlума
483,Nutzen::N,nytte,пайда
484,Reichtum::N,rikdom,хьал
485,Welt::N,verden,дуьне
486,Land::N,land,мохк
487,Staat::N,stat,пачхьалкх
488,König::N,konge,паччахь
489,Macht::N,makt,ӏедал
490,Grenze::N,grense,доза
491,Krieg::N,krig,тӏом
492,Feind::N,fiende,мостагӏ
493,Gewalt::N,vold,гӏело
494,Kampf::N,kamp,къийсам
495,Bogen[Waffe]::N,bue,
496,Pfeil::N,pil,пха
497,Gewehr::N,gevær,топ
498,Fehler::N,feil,гӏалат
499,Lüge::N,løgn,аьшпаш
500,Schaden::N,skade,зен
501,Unglück::N,uhell,бала
502,Schuld::N,skyld,бехк
503,Alter::N,alder,хан
504,Schluss::N,slutt,чакхе
505,Zeit::N,tid,хан
506,Tag::N,dag,де
507,Morgen::N,morgen,ӏуьйре
508,Mittag::N,middag,делкъе
509,Abend::N,aften,суьйре
510,Nacht::N,natt,буьйса
511,Woche::N,uke,кӏира
512,Monat::N,måned,бутт
513,Jahr::N,år,шо
514,Frühling::N,vår,бӏаьсте
515,Sommer::N,sommer,аьхке
516,Herbst::N,høst,гуьйре
517,Winter::N,vinter,ӏа
518,Januar::N,januar,январь
519,Februar::N,februar,февраль
520,März::N,mars,март
521,April::N,april,апрель
522,Mai::N,mai,май
523,Juni::N,juni,июнь
524,Juli::N,juli,июль
525,August::N,august,август
526,September::N,september,сентябрь
527,Oktober::N,oktober,октябрь
528,November::N,november,ноябрь
529,Dezember::N,desember,декабрь
530,Montag::N,mandag,оршот
531,Dienstag::N,tirsdag,шинара
532,Mittwoch::N,onsdag,кхаара
533,Donnerstag::N,torsdag,еара
534,Freitag::N,fredag,пӏераска
535,Samstag::N,lørdag,шот
536,Sonntag::N,søndag,кӏиранде
537,groß::A,stor,доккха
538,klein::A,liten,кегий
539,lang::A,lang,еха
540,kurz::A,kort,доца
541,breit::A,bred,шуьйра
542,schmal::A,smal,готта
543,dicht::A,tett,луьста
544,dick[Gegenstand]::A,tykk,стомма
545,dünn::A,tynn,дуткъа
546,fein::A,fin,ховха
547,fest::A,fast,чӏогӏа
548,flach::A,flat,чӏапа
549,glatt::A,glatt,шера
550,hart::A,hard,чӏогӏa
551,weich::A,myk,кӏеда
552,weich::A,bløt,кӏеда
553,rund::A,rund,горга
554,spitz::A,spiss,ира
555,scharf::A,kvass,ира
556,stumpf::A,stubb,аьртa
557,schwer::A,tung,деза
558,schön::A,pen,хаза
559,schön::A,vakker,хаза
560,heiß::A,het,довха
561,warm::A,varm,довха
562,kalt::A,kald,шийла
563,kühl::A,kjølig,шийла
564,frisch::A,fersk,керла
565,feucht::A,fuktig,тӏуьна
566,nass::A,våt,тӏеда
567,trocken::A,tørr,eкъа
568,voll::A,full,дуьзна
569,leer::A,tom,яьсса
570,offen::A,åpen,диллина
571,geschlossen::A,lukket,дӏакъевлина
572,geschlossen::A,lukket,дӏачӏагӏдина
573,sauber::A,ren,цӏена
574,schmutzig::A,skitten,боьха
575,roh::A,rå,буьйда
576,reif::A,moden,хилла
577,lecker::A,lekker,чоме
578,süß::A,søt,мерза
579,bitter::A,besk,къаьхьа
580,bitter::A,bitter,къаьхьа
581,sauer::A,sur,муьста
582,hell::A,lys,сирла
583,dunkel::A,mørk,бодане
584,schwarz::A,svart,ӏаьржа
585,weiß::A,hvit,кӏайн
586,rot::A,rød,цӏен
587,gelb::A,gul,можа
588,blau::A,blå,сийна
589,grün::A,grønn,баьццара
590,grau::A,grå,cира
591,grau::A,grå,мокха
592,bunt::A,broket,къорза
593,billig::A,billig,дораха
594,teuer::A,dyr,деза
595,wertvoll::A,verdifull,мехала
596,blind::A,blind,бӏаьрзе
597,taub::A,døv,къора
598,kräftig::A,kraftig,нуьцкъала
599,stark::A,sterk,зоьртала
600,stark::A,sterk,нуьцкъала
601,schwach::A,svak,гӏорасиза
602,fett::A,fet,дерстана
603,schlank::A,slank,куц долу
604,hübsch::A,pen,хаза
605,böse::A,slem,вон
606,dumm::A,dum,сонта
607,faul::A,lat,мало ен
608,faul::A,doven,мало ен
609,fleißig::A,flittig,тӏера
610,geizig::A,gjerrig,пис
611,geizig::A,gjerrig,сутара
612,klug::A,klok,хьекъале
613,geschickt::A,hendig,тӏахъаьлла
614,geschickt::A,skikket,тӏахъаьлла
615,lieb::A,kjær,хьоме
616,lieb::A,snill,хьоме
617,lustig::A,morsom,самукъане
618,sanft::A,blid,кlеда
619,hungrig::A,sulten,меца
620,krank::A,syk,цомгуш долу
621,nackt::A,naken,дерзана
622,traurig::A,sørgmodig,самукъане воцу
623,lebendig::A,levende,дийна
624,gut::A,god,дика
625,schlecht::A,dårlig,вон
626,richtig::A,riktig,нийса
627,schlimm::A,slem,вон
628,wahr::A,sann,бакъдолу
629,alt::A,gammel,къена
630,neu::A,ny,керла
631,ehemalig::A,forhenværende,хилла
632,alt[Lebewesen]::A,gammel,къена
633,jung::A,ung,къона
634,arm::A,fattig,къен
635,reich::A,rik,хьоле
636,bekannt::A,kjent,девзаш долу
637,berühmt::A,berømt,цӏеяхана
638,fremd::A,fremmed,нехан
639,verschieden::A,forskjellig,тайп-тайпанара
640,nah::A,nær,гергара
641,fern::A,fjern,гена
642,fern::A,fjern,генара
643,linker::A,venstre,аьрру
644,rechter::A,høyre,аьтту
645,anderer::A,annen,кхин
646,erster::A,første,хьалхара
647,zweiter::A,annen,шолгIа
648,dritter::A,tredje,кхоалгӏа
649,letzter::A,sist,тӏаьххьара
650,allein::ADV,alene,цхьаъ
651,auf einmal::ADV,med ett,цу сохьтта
652,zusammen::ADV,sammen,цхьана
653,lange::ADV,lenge,дукха
654,plötzlich::ADV,plutselig,цIеххьана
655,sofort::ADV,straks,цу сохьтта
656,später::ADV,senere,тӏаьхьо
657,jetzt::ADV,nå,хӏинца
658,heute::ADV,i dag,тахана
659,morgen::ADV,i morgen,кхана
660,bald::ADV,snart,кеста
661,dann::ADV,så,тӏаккха
662,gestern::ADV,i går,селхана
663,einst::ADV,engang,цкъа
664,damals::ADV,den gang,хӏетахьь
665,danach::ADV,deretter,тӏаккха
666,vorher::ADV,før,хьалхa
667,vorher::ADV,i forveien,хьалхa
668,zuerst::ADV,først,хьалха
669,einmal::ADV,en gang,цкъа
670,manchmal::ADV,somme tider,цкъаццкъа
671,oft::ADV,ofte,кест-кеста
672,immer::ADV,alltid,даим
673,niemals::ADV,aldri,цкъа а
674,hier::ADV,her,кхузахь
675,hierhin::ADV,hit,кхуза
676,von hier::ADV,herfra,кхузара
677,dort::ADV,der,цигахь
678,dorthin::ADV,dit,цига
679,geradeaus::ADV,rett fram,нийса дӏа
680,vorwärts::ADV,fram,хьалха
681,vorwärts::ADV,framover,хьалха
682,rückwärts::ADV,baklengs,юха
683,zurück::ADV,tilbake,юха
684,unten::ADV,nede,лахахь
685,hinab::ADV,ned,охьа
686,hinab::ADV,nedover,охьа
687,oben::ADV,oppe,лакхахь
688,oben::ADV,ovenpå,лакхахь
689,hinauf::ADV,opp,хьала
690,hinauf::ADV,oppover,хьала
691,überall::ADV,overalt,массанхьа
692,nicht::ADV,ikke,ца
693,ein wenig::ADV,litt,кӏеззиг
694,kaum::ADV,neppe,халла
695,sehr::ADV,svært,вуно
696,so::ADV,så,
697,noch::ADV,enda,кхин
698,nur::ADV,bare,бен ...ца
699,schon::ADV,alt,хӏинцале
700,schon::ADV,allerede,хӏинцале
701,wieder::ADV,igjen,юха а
702,vergebens::ADV,forgjeves,эрна
703,vor::PRP,foran,хьалха
704,vor::PRP,utenfor,хьалха
705,hinter::PRP,bak,тӏехьа
706,hinter::PRP,bakom,тӏехьа
707,unter::PRP,under,кIелахь
708,durch::PRP,gjennom,чекх
709,durch::PRP,igjennom,чекх
710,neben::PRP,ved siden av,юххе
711,zwischen::PRP,mellom,юккъехь
712,wegen::PRP,på grunn av,дуьхьа
713,dies::PRN,dette,и
714,dies::PRN,dette,иза
715,das::PRN,det,и
716,das::PRN,det,иза
717,alles::PRN,alt,дерриг
718,ich::PRN,jeg,cо
719,du::PRN,du,хьо
720,er::PRN,han,и
721,er::PRN,han,иза
722,wir::PRN,vi,тхо
723,wir::PRN,vi,вай
724,ihr::PRN,dere,шу
725,sie::PRN,de,уьш
726,was::FPRN,hva,хӏун
727,wer::FPRN,hvem,мила
728,wo::FADV,hvor,мичaхь
729,wohin::FADV,hvor ... hen,мича
730,wie::FADV,hvordan,муха
731,warum::FADV,hvorfor,хӏунда
732,wieviel::FNUM,hvor mye,мел
733,wieviel::FNUM,hvor mye,маса
734,eins::NUM,en,цхьаъ
735,eins::NUM,ett,цхьаъ
736,zwei::NUM,to,шиъ
737,drei::NUM,tre,кхоъ
738,vier::NUM,fire,диъ
739,fünf::NUM,fem,пхиъ
740,sechs::NUM,seks,ялх
741,sieben::NUM,sju,ворхӏ
742,acht::NUM,åtte,бархӏ
743,neun::NUM,ni,исс
744,zehn::NUM,ti,итт
745,elf::NUM,elleve,цхьайтта
746,zwölf::NUM,tolv,шийтта
747,zwanzig::NUM,tjue,ткъа
748,dreißig::NUM,tretti,ткъе итт
749,vierzig::NUM,førti,шовзткъа
750,fünfzig::NUM,femti,шовзткъе итт
751,sechzig::NUM,seksti,кхузткъа
752,siebzig::NUM,sytti,кхузткъе итт
753,achtzig::NUM,åtti,дезткъа
754,neunzig::NUM,nitti,дезткъе итт
755,hundert::NUM,hundre,бӏе
756,tausend::NUM,tusen,эзар
757,und::CNJ,og,a
758,oder::CNJ,eller,я
759,stehen::V,stå,латта
760,sitzen::V,sitte,хиъна ӏан
761,liegen::V,ligge,ӏилла
762,hängen::V,henge,кхаза
763,werden::V,bli,хила
764,passieren::V,skje,хила
765,passieren::V,hende,хила
766,beginnen::V,begynne,доло
767,enden::V,ende,дӏадерза
768,enden::V,slutte,дӏадерза
769,wechseln::V,veksle,хийца
770,aufgehen[Sonne]::V,stå opp,кхета
771,untergehen[Sonne]::V,gå ned,чубуза
772,scheinen[Sonne]::V,skinne,серло яла
773,donnern::V,tordne,къекъа
774,wehen::V,blåse,хьекха
775,strömen::V,strømme,эха
776,fließen::V,flyte,охьаэха
777,sich drehen::V,dreie seg,хьийза
778,schwanken::V,svaie,леста
779,schwingen::V,svinge,лесто
780,fallen::V,falle,охьакхета
781,brennen::V,brenne,дага
782,rauchen::V,ryke,оза
783,regnen::V,regne,догlа догlу
784,gefrieren::V,fryse,гӏоро
785,tauen::V,tine,даша
786,schmelzen::V,smelte,лала
787,trocknen::V,tørre,дакъо
788,sieden::V,koke,кхехка
789,faulen::V,råtne,дахкадала
790,verfaulen::V,råtne,дахкадала
791,reißen::V,briste,хеда
792,versinken::V,synke,хичудаха
793,versinken::V,synke ned,хичудаха
794,vergehen::V,forløpe,дlаэха
795,erscheinen::V,synes,схьадала
796,erscheinen::V,synes,ӏоттадала
797,verschwinden::V,forsvinne,къайладала
798,sinken::V,synke,лахдала
799,abnehmen::V,avta,
800,abnehmen::V,minske,
801,zunehmen::V,tilta,лакхадала
802,steigen::V,stige,хьаладала
803,wachsen::V,gro,кхиа
804,wachsen::V,vokse,кхиа
805,glänzen::V,skinne,лепа
806,funkeln::V,tindre,къега
807,lärmen::V,bråke,гӏовгӏаян
808,läuten::V,ringe,детта
809,klingeln::V,ringe,дека
810,klirren::V,klirre,дека
811,brausen::V,bruse,хьаьдда даха
812,rauschen::V,suse,леста
813,klingen::V,lyde,дека
814,klingen::V,klinge,дека
815,bellen::V,gjø,лета
816,bellen::V,bjeffe,лета
