,Concept_ID,mrj,ab
89,Hitze::N,шокшы,ашоура
90,Raureif::N,пöрш,аҵааҧшқа
91,Regenbogen::N,шанавӹл,ацəаҟəа
92,Donner::N,хӹдӹртӹш,адыд
93,Strömung::N,йогы,аиасра
94,Strömung::N,йогы,амҩасра
95,Tropfen::N,капльы,ацəыкəбар
96,Tropfen::N,капльык,ацəыкəбар
97,Schaum::N,шонг,ашəах
98,Schmutz::N,лявӹрӓ,алымт
99,See::N,йӓр,аӡиа
100,Sumpf::N,лӱкӹ,аӡмах
101,Moor::N,куп,
102,Wiese::N,алык,адəы
103,Wald::N,шӹргӹ,абна
104,Hügel::N,пӱгӹрикӓ,ахəы
105,Anhöhe::N,кӱкшикӓ,аҳаракыра
106,Berg::N,кырык,ашьха
107,Gipfel::N,неркӓ,ацəқəа
108,Höhle::N,ы́раж,аҳаҧы
109,Abhang::N,полом,анаара
110,Quelle::N,вӹдсӹнзӓ,аҵҵырҭа
111,Bach::N,ӓнгӹр,акəараҷҷа
112,Fluss::N,вӹд,аӡиас
113,Ufer::N,сир,ахықə
114,Küste::N,сир,ахықə
115,Festland::N,мӱлӓндӹ,абарра
116,Meer::N,тангыж,амшын
117,Bucht::N,вӹдъял,аӡбжьахала
118,Insel::N,острок,адгьылбжьаха
119,Blume::N,пеледӹш,ашəҭ
120,Gras::N,шуды,аҳасакьын
121,Wurzel::N,важ,адац
122,Baum::N,пушӓнгӹ,аҵла
123,Stamm::N,пушӓнгӹ тӹнг,ашьапы
124,Rinde::N,каргыж,ацəа
125,Ast::N,укш,амахə
126,Ast::N,укш,амахəҭа
127,Zweig::N,укш,амахə
128,Zweig::N,укш,амахəҭа
129,Blatt::N,листӹ,абҕьы
130,Birke::N,куги,аҵааҵла
131,Kiefer[Baum]::N,йӓктӹ,амза
132,Weide[Baum]::N,уа,аҧслыш
133,Tanne::N,кож,аҧсаӡ
134,Horn::N,шур,атəыҩа
135,Feder::N,пын,ахӡы
136,Fell::N,кавашты,ацəа
137,Flügel::N,шылдыр,амҵəыжəа
138,Klaue::N,кӹч,ашьапхыц
139,Kralle::N,лапа,
140,Schwanz::N,пач,аҵыхəа
141,Ei::N,мыны,акəтаӷь
142,Nest::N,пӹжӓш,аҭра
143,Nest::N,пӹжӓш,аҵысҭра
144,Bau::N,ыраж,аҭыҩра
145,Tier::N,во́льык,аҧстəы
146,Tier::N,во́льык,агыгшəыг
147,Herde::N,кӹтö,агəарҭа
148,Kuh::N,ышкал,ажə
149,Bulle::N,ӱшкӱж,ацə
150,Pferd::N,имни,аҽы
151,Schaf::N,шарык,ауаса
152,Schwein::N,сасна,аҳəа
153,Hund::N,пи,ала
154,Katze::N,коти,ацгəы
155,Bär::N,мöскӓ,амшə
156,Eichhörnchen::N,ур,аеш
157,Elch::N,шарды,аҽаҩа
158,Fuchs::N,рӹвӹж,абгахəыҷы
159,Hase::N,морен,ажьа
160,Maus::N,каля,аҳəынаҧ
161,Wolf::N,пирӹ,абгаду
162,Vogel::N,кек,аҧсаатə
163,Schwarm::N,цуца,
164,Huhn::N,цӹвӹ,акəты
165,Hahn::N,ӓптӓн,арбаҕь
166,Gans::N,комбы,аҟыз
167,Adler::N,кучкыж,ауарба
168,Ente::N,лыды,акəата
169,Eule::N,тымана,аты
170,Kranich::N,тырня,апҟа
171,Kranich::N,тыртня,апҟа
172,Krähe::N,лудыгарак,аҟəараан
173,Kuckuck::N,куку,акəыкəу
174,Schwan::N,йӱксӹ,агьад
175,Fisch::N,кол,аҧсыӡ
176,Barsch::N,алангы,ацəыбла
177,Hecht::N,нуж,ахиаала
178,Hecht::N,нужгол,ахиаала
179,Schlange[Tier]::N,кӹшкы,амаҭ
180,Wurm::N,шукш,ахəа
181,Wurm::N,шукш,ахəац
182,Spinne::N,ӓнгӹремшӹ,абызкаҭаҳа
183,Ameise::N,кыткы,ашышкамс
184,Laus::N,ти,аҵа
185,Mücke::N,кужнер,акəыбры
186,Mücke::N,кужынер,акəыбры
187,Fliege::N,шӹнгӓ,амҵ
188,Schmetterling::N,лӹпӹ,аҧарҧалыкь
189,Beere::N,мöр,аргуц
190,Apfel::N,олма,аҵəа
191,Pilz::N,понгы,акəкəбаа
192,Zwiebel::N,охыра,аџьымшьы
193,Zwiebel::N,охыра,аџьымшьхы
194,Saat::N,нӱшмӹ,ажəла
195,Saat::N,нӱшмӱ,ажəла
196,Korn::N,пӹрцӹ,арыц
197,Heu::N,шуды,аҭəа
198,Schale::N,аваха,ацəа
199,Schale::N,карлангы,ацəа
200,Grube::N,йӓм,ажра
201,Grube::N,йӓм,атыша
202,Falle::N,лӱдӹ,арыҧҟьа
203,Falle::N,лӱдӹш,арыҧҟьа
204,Schlinge::N,онгы,аҟəараҟəантə
205,Spur::N,кишӓ,ашьҭа
206,Asche::N,ломых,ахəа
207,Asche::N,ломпыж,ахəа
208,Dreck::N,лявӹрӓ,аҳəынҵəа
209,Dreck::N,лявӹрӓ,аҟьамсар
210,Eisen::N,кӹртни,аиха
211,Gold::N,шöртни,ахьы
212,Gold::N,шöртньӹ,ахьы
213,Silber::N,ши,аразны
214,Kohle::N,шӱ,арацəа
215,Glas::N,охоница,асаркьа
216,Lehm::N,шун,анышəаҧшь
217,Sand::N,ошма,аҧслымӡ
218,Mensch::N,эдем,ауаҩы
219,Mann::N,пӱэргӹ,ахаҵа
220,Frau::N,ӹдӹрӓмӓш,аҧҳəыс
221,Kind::N,ӓзӓ,ахəыҷы
222,Kind::N,шачшы,ахəыҷы
223,Junge::N,рвезӹ,аҷкəын
224,Junge::N,рвезӹ,ахаҵарҧыс
225,Junge::N,ӹрвезӹ,аҷкəын
226,Junge::N,ӹрвезӹ,ахаҵарҧыс
227,Mädchen::N,ӹдӹрӓш,аӡӷаб
228,Familie::N,йиш,аҭаацəа
229,Familie::N,семня,аҭаацəа
230,Großvater::N,тьоти,абду
231,Großmutter::N,папа,анду
232,Eltern::N,ӓтя-ӓвӓ,ани аби
233,Vater::N,ӓтя,аб
234,Mutter::N,ӓвӓ,ан
235,Sohn::N,эргӹ,аҧа
236,Tochter::N,ӹдӹр,аҧҳа
237,Bruder::N,ӹза,аиашьа
238,Schwester::N,ӓкӓ,Аҳəшьа
239,Onkel::N,кугуза,абиашьа
240,Onkel::N,кугуза,аншьа
241,Tante::N,куака,абиаҳəшьа
242,Ehemann::N,мары,ахаҵа
243,Ehemann::N,мары,аҧшəма
244,Ehefrau::N,вӓтӹ,аҧҳəыс
245,Freude::N,ӹвӹртӹмӓш,агəырӷьара
246,Gelächter::N,ваштылмаш,ачча
247,Gelächter::N,ваштылмаш,аччара
248,Glück::N,пиӓл,аразҟы
249,Kummer::N,ясы,агəырҩа
250,Wunsch::N,охата,агəхəтəы
251,Wunsch::N,охата,аҭахра
252,Wunsch::N,шанымаш,агəхəтəы
253,Wunsch::N,шанымаш,аҭахра
254,Lust::N,шӓр,агəазыҳəара
255,Lust::N,охата,агəазыҳəара
256,Lust::N,шанымаш,агəазыҳəара
257,Geist::N,тух,аҧсы
258,Gedanke::N,шанымаш,ахəыцырҭа
259,Gedächtnis::N,ӓш,агəынкылара
260,Verstand::N,ыш,ахшыҩ
261,Sinn::N,кын,аҵакы
262,Grund::N,вир,амзыз
263,Wahrheit::N,тöр,аиаша
264,Gespräch::N,хытырымаш,аиҿцәажәара
265,Märchen::N,ямак,алакə
266,Erzählung::N,шайыштмаш,ажәабжь
267,Nachricht::N,увертӓрӹмӓш,адырраҭара
268,Neuigkeit::N,увер,ажәабжь ҿыц
269,Name::N,лӹм,ахьӡ
270,Rätsel::N,тышты,ацуфара
271,Rede::N,шая,ажәа
272,Rede::N,шамак,ажәа
273,Sprache::N,йӹлмӹ,абызшəа
274,Stimme::N,юк,абжьы
275,Wort::N,шамак,ажәа
276,Zeichen::N,палӹ,адырга
277,Ruf::N,сӹгӹрӹмӓш,аҿҭы
278,Lärm::N,юкланымащ,ашьҭыбжь
279,Laut::N,юк,ашьҭыбжь
280,Ton::N,юк,атон
281,Lied::N,мыры,ашəа
282,Ruhe::N,тыр,аҭынчра
283,Leute::N,эдемвлӓ,ауаа
284,Volk::N,халык,ажəлар
285,Arbeit::N,пӓшӓ,аусура
286,Gast::N,хына,асас
287,Geschenk::N,подарка,аҳамҭа
288,Geschenk::N,подарка,аҿанҵа
289,Spiel::N,мадыш,ахəмарра
290,Gesellschaft::N,йӓл,агəыҧ
291,Gesellschaft::N,йӓлвлӓ,агəыҧ
292,Hilfe::N,палшык,ацхыраара
293,Freund::N,тӓнг,аҩыза
294,Kamerad::N,тос,Аҧхнагьла
295,Angelegenheit::N,дела,аус
296,Angelegenheit::N,йела,аус
297,Angelegenheit::N,йыла,аус
298,Angelegenheit::N,пӓшӓ,аус
299,Anzahl::N,шот,ахыҧхьаӡара
300,Art::N,цӹре,ахкы
301,Stück::N,лаштык,аҽыҭ
302,Teil::N,пай,ахəҭа
303,Teil::N,часть,ахəҭа
304,Hälfte::N,пел,абжа
305,Kreis::N,тӹртӹш,агьагьа
306,Kreuz::N,крестӹ,аџьар
307,Abstand::N,ло,абжьара
308,Entfernung::N,ло,абжьара
309,Gegend::N,вӓр,аҭыҧ
310,Platz::N,вӓр,аҭыҧ
311,Ort::N,вӓр,аҭыҧ
312,Seite::N,öрдӹж,аган
313,Mitte::N,ло,агəҭа
314,Gegenstand::N,хӓдӹр,амаҭəар
315,Sache::N,хӓдӹр,
316,Rand::N,шöр,аҵкар
317,Kante::N,шöр,авардым
318,Ecke::N,лык,акəакь
319,Spitze::N,вуй,аҧынҵа
320,Ende::N,вуй,анаӡара
321,Ende::N,мычаш,анаӡара
322,Loch::N,ыраж,акылҵəара
323,Winkel::N,лык,агҿаҩра
324,Winkel::N,лык,акəындхə
325,Winkel::N,лык,акəакь
326,Muster::N,тӹрлец,аҟҟа
327,Größe::N,кӱкшӹц,изаҟароу
328,Länge::N,кыт,аура
329,Höhe::N,кӱкшӹц,агылара
330,Gewicht::N,нелӹц,акапан
331,Menge::N,шот,
332,Haufen::N,ара,ачаҟəа
333,Reihe::N,ряд,ацəаҳəа
334,Boot::N,пыш,анышь
335,Ruder::N,вешлӓ,ажəҩа
336,Schlitten::N,тир,ашəаҩауардын
337,Ski::N,ечӹ,ашəаҩа
338,Ski::N,ечӹ,ашьахаха
339,Lagerfeuer::N,тыл,еиқуу амца
340,Last::N,нелӹц,ахьанҭара
341,Gang::N,ход,аныҟəара
342,Schritt::N,ашкыл,ашьаҿа
343,Norden::N,йыдпелвел,аҩада
344,Süden::N,кечӹвӓлвел,алада
345,Westen::N,кечӹ шӹцмӹ,амраҭашəара
346,Osten::N,ирвел,амрагылара
347,Osten::N,кечӹ лӱлтмӹ,амрагылара
348,Holz::N,пушӓнгӹ,амҿымаҭəахə
349,Brett::N,ханга,аӷəы
350,Platte::N,плитӓ,ахаҳәцәы
351,Stütze::N,цӓрӓк,аҵаргəа
352,Stütze::N,цӓрӓк,агəышьаҟа
353,Stange::N,равы,акьат
354,Stange::N,намаш,акьат
355,Stock::N,панды,алаба
356,Stab::N,равы,акьат
357,Rohr::N,пыч,абыкь
358,Haus::N,пöрт,аҩны
359,Heim::N,пöрт,аҭаацəа
360,Ofen::N,камака,аҳақə
361,Ofen::N,камака,ауаџьаҟ
362,Ofen::N,камака,афрына
363,Fußboden::N,седӹрӓ,адашьма
364,Tisch::N,стöл,аишәа
365,Stuhl::N,пöкен,аҟəардə
366,Wiege::N,шипкӓ,агара
367,Bett::N,койка,акаруаҭ
368,Bett::N,кравать,акаруаҭ
369,Regal::N,полицӓ,акыӷəра
370,Kiste::N,шӱ́ндӹк,аидчаҧала
371,Fenster::N,окня,аҧенџьыр
372,Tür::N,амаса,ашə
373,Tor::N,хапка,агəашə
374,Zaun::N,забор,аанда
375,Dach::N,левӓш,ахыб
376,Leiter::N,ташкалтыш,амардуан
377,Besen::N,сало,аҧссага
378,Besen::N,салко,аҧссага
379,Spaten::N,кольмы,ажыга
380,Schaufel::N,лоток,аҭəарӷəы
381,Gabel::N,ви́лка,ачқьыҧ
382,Löffel::N,савала,амҳаҵə
383,Messer::N,кӹзӹ,аҳəызба
384,Nagel::N,пыда,аҵəымӷ
385,Netz::N,вӓпш,акаҭа
386,Haken::N,крӱк,аҵəаҳə
387,Haken::N,кагак,аҵəаҳə
388,Griff::N,кычем,амаа
389,Schloss::N,замок,асаҧаҭ
390,Schloss::N,сыравач,асаҧаҭ
391,Bild::N,картин,асахьа
392,Figur::N,кӓн,афигура
393,Puppe::N,поханя,акьанџьа
394,Beutel::N,мешӓк,асакь
395,Bündel::N,топ,аҿаҳəара
396,Bündel::N,пидӹш,аҿаҳəара
397,Bündel::N,кӹлдӹш,аҿаҳəара
398,Tasche::N,сумкы,арҭмаҟ
399,Eimer::N,ведӹрӓ,аведра
400,Deckel::N,комдыш,ахҩа
401,Geschirr::N,ӓтӹ,ачысмаҭəа
402,Sack::N,мешӓк,асакь
403,Tasse::N,цӓшкӓ,аҵəца
404,Topf::N,ми́ска,акаструлиа
405,Kessel::N,пад,ачуан
406,Essen::N,качкыш,
407,Essen::N,качкыш-йӱш,
408,Nahrung::N,качкыш,афатə
409,Nahrung::N,качкыш-йӱш,афатə
410,Speise::N,няня,афатə
411,Fleisch::N,пай,акəац
412,Getreide::N,киндӹ,ачакуа
413,Brei::N,шӹрӓш,ақашь
414,Brot::N,сыкыр,ача
415,Scheibe::N,ламыт,аҽыҭ
416,Scheibe::N,ламыт,аҿаҵа
417,Scheibe::N,лаштык,аҽыҭ
418,Scheibe::N,лаштык,аҿаҵа
419,Fett::N,кая,ашша
420,Butter::N,ӱ,ахəша
421,Öl::N,ӱ,азеҭ
422,Salz::N,санзал,аџьыка
423,Suppe::N,лем,асуҧ
424,Honig::N,мӱ,ацха
425,Milch::N,шӹшер,ахш
426,Tee::N,чӓй,ачаи
427,Leder::N,шарга,ацəа
428,Leder::N,кавашты,ацəа
429,Wolle::N,миж,аласа
430,Stoff::N,матер,Аба
431,Stoff::N,матери,Аба
432,Nadel::N,им,агəыр
433,Faden::N,шӹртӹ,арахəыц
434,Knopf::N,полдыш,аҳəынҵəра
435,Knoten::N,пӱкшем,аиқəҳəала
436,Farbe::N,чиӓ,ашəыга
437,Farbe::N,крӓскӓ,ашəыга
438,Kleidung::N,выргем,амаҭəа
439,Hemd::N,тыгыр,акьаҿ
440,Kragen::N,шӱ,ахəда
441,Ärmel::N,шокш,амаӷра
442,Hose::N,ялаш,аиқəа
443,Gürtel::N,ӹштӹ,амаҟа
444,Mütze::N,упш,ахылҧа
445,Schuh::N,ту́фльы,аимаа
446,Stiefel::N,кем,амагə
447,Ring::N,шӓргӓш,амацəаз
448,Band::N,лемтӓ,алента
449,Kamm::N,шерге,ахҳəа
450,Spiegel::N,тӹгӹр,асаркьа
451,Riemen::N,прӓжӓ,аа
452,Schnur::N,кӓндӹра,ашаха
453,Leine::N,керем,аҕура
454,Decke::N,одеял,ахыза
455,Kissen::N,кӹпцӹк,ахчы
456,Tuch::N,савыц,акасы
457,Handtuch::N,шӹргӹсавыц,ампахьшьы
458,Handtuch::N,шӹргӹмсавыц,ампахьшьы
459,Kraft::N,ви,амч
460,Stärke::N,ви,амч
461,Gesundheit::N,шу,агəабзиара
462,Gesundheit::N,шулык,агəабзиара
463,Krankheit::N,мыж,ачымазара
464,Schmerz::N,карштыш,ахьаа
465,Wunde::N,шушыр,ахəра
466,Fieber::N,ӱштӹмыж,ашоура
467,Arznei::N,лекӓрцӹ,ахəшə
468,Brücke::N,кӹвер,ацҳа
469,Brunnen::N,вӹдсӹнзӓ,аҵыџь
470,Weide::N,ныр,аҳəырҭа
471,Pfad::N,ялгорны,амхəасҭа
472,Weg::N,корны,амҩа
473,Straße::N,корны,амҩа
474,Dorf::N,сола,ақыҭа
475,Stadt::N,города,ақалақь
476,Brief::N,сирмӓш,ашəҟəы
477,Buch::N,книгӓ,ашəҟəы
478,Buchstabe::N,буква́,анбан
479,Zeitung::N,газет,агазеҭ
480,Zeitung::N,кайзет,агазеҭ
481,Leben::N,житя,аҧсҭазаара
482,Tod::N,смöрт,аҧсра
483,Grab::N,шӹгер,анышəынҭра
484,Grab::N,мыгилӓ,анышəынҭра
485,Grab::N,шӹгерлӓ,анышəынҭра
486,Kirche::N,церкӹ,ауахəама
487,Sünde::N,сулык,агəнаҳа
488,Gott::N,йымы,анцəа
489,Arbeiter::N,пӓшӓзӹ,аусуҩ
490,Chef::N,вуй,Аиҳабы
491,Meister::N,мастар,аҟаза
492,Arzt::N,доктор,аҳақьым
493,Lehrer::N,тымдышы,арҵаҩы
494,Geld::N,окса,аҧара
495,Geschäft::N,торге́йӹмӓш,
496,Laden::N,лапка,амагазин
497,Laden::N,магазин,амагазин
498,Preis::N,ӓк,ахə
499,Ware::N,товар,атауар
500,Nutzen::N,пайда,ақьар
501,Reichtum::N,перке,абеиара
502,Welt::N,сӓндӓлӹк,адунеи
503,Welt::N,свет,адунеи
504,Land::N,сӓндӓлӹк,атəыла
505,Staat::N,кугижӓншӹ,аҳəынҭқарра
506,König::N,король,акрал
507,Macht::N,власть,амчра
508,Grenze::N,пӹсмӓн,аҳəаа
509,Krieg::N,вырсы,аибашьра
510,Feind::N,тышман,Аҕа
511,Gewalt::N,ви,ақəымчра
512,Kampf::N,кредӓлмӓш,ақəҧара
513,Bogen[Waffe]::N,янгеж,ахыц
514,Pfeil::N,пикш,ахəымпал
515,Gewehr::N,пичӓл,ашəақь
516,Fehler::N,самынь,агха
517,Lüge::N,шая,амц
518,Schaden::N,вре́дӓ,аҧырхага
519,Unglück::N,пёда,арыцҳара
520,Unglück::N,тымаша,арыцҳара
521,Schuld::N,вуйнамат,ахара
522,Alter::N,иӓш,ақəра
523,Alter::N,игечӹ,ақəра
524,Schluss::N,пӹтӓртӹш,анҵəамҭа
525,Zeit::N,веремӓ,аамта
526,Tag::N,кечӹ,амш
527,Morgen::N,ир,ашара
528,Morgen::N,ир,ашьыбжь
529,Morgen::N,ирок,ашара
530,Morgen::N,ирок,ашьыбжь
531,Mittag::N,кечӹвӓл,шьыбжьон
532,Abend::N,вады,ахəылҧаз
533,Abend::N,вады,ахəлбыҽха
534,Nacht::N,йыд,аҵх
535,Woche::N,ӓрня,амчыбжь
536,Monat::N,тӹ́лзӹ,
537,Jahr::N,год,
538,Frühling::N,шошым,ааҕын
539,Sommer::N,кӓнгӹж,аҧхын
540,Herbst::N,шӹжӹ,ҭагалан
541,Herbst::N,шӹжӹ,хкаарачан
542,Winter::N,тел,аӡын
543,Winter::N,телӹ,аӡын
544,Januar::N,январ,ианвар
545,Januar::N,январь,ианвар
546,Februar::N,февраль,февраль
547,März::N,март,март
548,April::N,апрель,апрель
549,Mai::N,май,маи
550,Juni::N,июнь,иуун
551,Juli::N,июль,иууль
552,August::N,август,август
553,September::N,сентябрь,сентиабр
554,Oktober::N,октябрь,октиабр
555,November::N,ноябрь,ноиабр
556,Dezember::N,декавыр,декабр
557,Montag::N,шачмы,ашəахьа
558,Dienstag::N,кышкыжмы,аҩаша
559,Mittwoch::N,вӹрчегӹ,ахаша
560,Donnerstag::N,изӓрня,аҧшьаша
561,Freitag::N,когарня,ахəаша
562,Samstag::N,кукшыгечӹ,асабша
563,Sonntag::N,рушӓрня,амҽыша
564,groß::A,кого,аду
565,klein::A,изи,амаҷ
566,lang::A,кужы,ахəхəа
567,kurz::A,кӹтӹк,акьаҿ
568,breit::A,кымда,аиужь
569,breit::A,кымда,аиҵых
570,schmal::A,ӓнгӹсӹр,аҭшəа
571,dicht::A,шӹре,аилач
572,dick[Gegenstand]::A,кӹжгӹ,ажəпа
573,dünn::A,вӹцкӹж,
574,fein::A,пыльга,апа
575,fein::A,пыльга,аҵаӷа
576,fein::A,пыльга,аӡа
577,fest::A,цаткыды,аҟаца
578,fest::A,цаткыды,аӷəӷəаҟаца
579,flach::A,тӓлякӓ,ақəаҟьа
580,flach::A,тӓлякӓ,аҧаҟьа
581,glatt::A,ягылгы,аимаҩзы
582,hart::A,пингӹдӹ,акьакьа
583,weich::A,пышкыды,атата
584,rund::A,тӹртӹш,акəмпыл
585,spitz::A,кашар,аҵар
586,scharf::A,кашар,аҵар
587,stumpf::A,нӹшкӹ,ацагə
588,schwer::A,нелӹ,ахьанҭа
589,schön::A,цевер,аҧшӡа
590,schön::A,олмыдшы,аҧшӡа
591,heiß::A,шокшы,ашы
592,warm::A,шокшы,аҧха
593,kalt::A,ӱштӹ,ахьшəашəа
594,kühl::A,юалгы,ахьшəашəа
595,kühl::A,юалгы,ицәыхьшәашәоу
596,kühl::A,йонгата,ахьшəашəа
597,kühl::A,йонгата,ицәыхьшәашәоу
598,frisch::A,йонгата,цқьа
599,feucht::A,ӹлӹкшӹ,ацəаак
600,feucht::A,вӹдӹжгӹ,ацəаак
601,nass::A,начкы,абааӡа
602,trocken::A,кукшы,Аба
603,trocken::A,кукшы,аҩа
604,voll::A,темшӹ,азна
605,voll::A,темыман,азна
606,leer::A,йӓрӓ,аҭацəы
607,offen::A,виш,аарта
608,geschlossen::A,чӱчмӹ,ихҩоу
609,geschlossen::A,чӱчмӹ,иаркыу
610,geschlossen::A,тӹкӹлӓлтшӹ,ихҩоу
611,geschlossen::A,тӹкӹлӓлтшӹ,иаркыу
612,sauber::A,ире,ацқьа
613,schmutzig::A,шоран,аҟьашь
614,schmutzig::A,лявӹрӓн,аҟьашь
615,schmutzig::A,шорангшы,аҟьашь
616,roh::A,пеле кӱшӹ,
617,reif::A,кӱшӹ,Арҭ
618,reif::A,кӱшӹ,аҟала
619,reif::A,кӱшӹ,иҟалахьоу
620,lecker::A,тотан,ахаа
621,süß::A,мӱӓн,азла
622,bitter::A,качы,аша
623,sauer::A,шапы,аҵəҵəы
624,hell::A,соты,алаша
625,hell::A,валгыды,алаша
626,dunkel::A,пӹц,алашьца
627,dunkel::A,пӹцкемӹш,алашьца
628,schwarz::A,шим,аиқуаҵәа
629,weiß::A,ош,ашкəакəа
630,weiß::A,ошы,ашкəакəа
631,rot::A,якшаргы,аҟаҧшь
632,gelb::A,сар,аҩеижь
633,gelb::A,сары,аҩеижь
634,blau::A,симсӹ,аҽҵәа
635,grün::A,ыжар,ашьацҧшҭəала
636,grün::A,ыжар,аеҵəа
637,grau::A,луды,ацəыш
638,bunt::A,ала,Аилыҕраа
639,bunt::A,ала,аҕраҷкəын
640,billig::A,шулдаш,амариа
641,teuer::A,шергӹ,амҩан
642,teuer::A,шергӓкӓн,амҩан
643,wertvoll::A,ӓкӓн,кыр иаҕсоу
644,wertvoll::A,ӓкӓн,акыр иаҕсоу
645,blind::A,слöпöй,алашə
646,blind::A,сльöпöй,алашə
647,taub::A,тӱтӱк,адагəа
648,kräftig::A,виӓн,аӷəӷəа
649,stark::A,виӓн,абаҟа
650,schwach::A,шава,акəада
651,schwach::A,лӹпкӓ,акəада
652,schwach::A,слабка,акəада
653,fett::A,таза,аҧсыла
654,schlank::A,яштака,акала
655,schlank::A,яштака,акьалантар
656,schlank::A,яштака,аиҿартə
657,hübsch::A,сӹлнӹ,аҧшӡа
658,hübsch::A,олмыдшы,аҧшӡа
659,böse::A,шӹдӓн,абааҧсы
660,dumm::A,окмак,агаӡа
661,faul::A,ялахай,аашьа
662,fleißig::A,пӓшам яратышы,иҟубҷоу
663,geizig::A,шык,акы
664,geizig::A,шык,акаҷбеи
665,geizig::A,шык,аҟəџьыр
666,klug::A,ышан,аҟəыш
667,klug::A,ышан,аҟəыӷа
668,geschickt::A,мастар,напҟазала
669,lieb::A,тыри,алашара
670,lustig::A,мындыр,алах-ҿых
671,lustig::A,мындыр,игурҕьаччо
672,lustig::A,мындыр,агурҕьа
673,lustig::A,мындыр,агурҿыхага
674,lustig::A,сусу,алах-ҿых
675,lustig::A,сусу,игурҕьаччо
676,lustig::A,сусу,агурҕьа
677,lustig::A,сусу,агурҿыхага
678,sanft::A,йӹвӹжӓ,атата
679,sanft::A,йӹвӹжӓ,аҟəымшəышə
680,sanft::A,йӹвӹжӓ,ақьыҧш
681,hungrig::A,шужышы,амлашь
682,krank::A,церлӹ,ачымазаҩ
