,Concept_ID,pt,xal
113,Berg::N,montanha,уул
114,Gipfel::N,pico,ора
115,Höhle::N,caverna,хадин көндә
116,Abhang::N,encosta,ташу
117,Quelle::N,fonte,булг
118,Bach::N,regato,һооҗур
119,Bach::N,ribeiro,һооҗур
120,Fluss::N,rio,һол
121,Ufer::N,beira,көвә
122,Küste::N,costa,көвә
123,Küste::N,costa,теңгсин көвә
124,Festland::N,terra firme,хүүрә һазр
125,Meer::N,mar,теңгс
126,Bucht::N,baía,цекә
127,Bucht::N,baía,теңгсин цекә
128,Insel::N,ilha,арл
129,Blume::N,flor,цецг
130,Gras::N,erva,ноһан
131,Wurzel::N,raiz,уңг
132,Baum::N,árvore,модн
133,Stamm::N,tronco,шилв
134,Stamm::N,tronco,һол модн
135,Rinde::N,casca,көрсн
136,Ast::N,ramo,ац
137,Zweig::N,galho,ац
138,Blatt::N,folha,хамтхасн
139,Birke::N,bétula,хусм модн
140,Kiefer[Baum]::N,pinheiro,шар харһа
141,Weide[Baum]::N,salgueiro,удн
142,Tanne::N,abeto,җөөлн цаһан модн
143,Horn::N,corno,өвр
144,Horn::N,chifre,өвр
145,Feder::N,pena,өрвлг
146,Fell::N,pele,арсн
147,Flügel::N,asa,җивр
148,Klaue::N,pata,хумсн
149,Kralle::N,unha,тавг
150,Kralle::N,garra,тавг
151,Schwanz::N,rabo,сүл
152,Schwanz::N,cauda,сүл
153,Ei::N,ovo,өндгн
154,Nest::N,ninho,үр
155,Bau::N,toca,нүкн
156,Bau::N,covil,нүкн
157,Tier::N,animal,мал
158,Herde::N,rebanho,сүрг мал
159,Kuh::N,vaca,үкр
160,Bulle::N,touro,бух
161,Pferd::N,cavalo,мөрн
162,Schaf::N,ovelha,хөн
163,Schwein::N,porco,һаха
164,Hund::N,cão,ноха
165,Katze::N,gata,мис
166,Bär::N,urso,аю
167,Eichhörnchen::N,esquilo,кермн
168,Elch::N,alce,хандһа
169,Fuchs::N,raposa,арат
170,Hase::N,lebre,туула
171,Maus::N,rato,хулһн
172,Wolf::N,lobo,чон
173,Vogel::N,ave,шовун
174,Vogel::N,pássaro,шовун
175,Schwarm::N,bando,зел
176,Schwarm::N,enxame,зел
177,Huhn::N,galinha,така
178,Hahn::N,galo,эр така
179,Gans::N,ganso,һалун
180,Adler::N,águia,һәрд
181,Ente::N,pata,нуһсн
182,Eule::N,mocho,һурвлһ
183,Eule::N,coruja,һурвлһ
184,Kranich::N,grou,тоһрун
185,Krähe::N,gralha,шаазһа
186,Kuckuck::N,cuco,эргин хуцдг
187,Schwan::N,cisne,хун
188,Fisch::N,peixe,заһсн
189,Barsch::N,perca,шүрг
190,Hecht::N,lúcio,цурх
191,Schlange[Tier]::N,serpente,моһа
192,Wurm::N,verme,өтн
193,Spinne::N,aranha,аралҗн
194,Ameise::N,formiga,шорһлҗн
195,Laus::N,piolho,бөөсн
196,Mücke::N,mosquito,бөкүн
197,Fliege::N,mosca,батхн
198,Schmetterling::N,borboleta,эрвәкә
199,Beere::N,bago,бөөлҗрһн
200,Apfel::N,maçã,альмн
201,Pilz::N,fungo,теңгрин ки
202,Pilz::N,cogumelo,теңгрин ки
203,Zwiebel::N,cebola,мәңгрснә толһа
204,Saat::N,sementeira,буудян экн
205,Korn::N,grão,экн
206,Heu::N,feno,өвсн
207,Schale::N,casca,хальсн
208,Grube::N,cova,нүкн
209,Grube::N,fossa,нүкн
210,Falle::N,armadilha,урх
211,Falle::N,armadilha,хавх
212,Schlinge::N,laço,бүтү
213,Spur::N,pista,мөр
214,Spur::N,vestígio,мөр
215,Asche::N,cinza,үмсн
216,Dreck::N,sujidade,бальчг
217,Eisen::N,ferro,төмр
218,Gold::N,ouro,алтн
219,Silber::N,prata,мөңгн
220,Silber::N,prata,цаһан мөңгн
221,Kohle::N,carvão,нүүрсн
222,Glas::N,vidro,шил
223,Lehm::N,barro,шавр
224,Lehm::N,argila,шавр
225,Sand::N,areia,элсн
226,Mensch::N,homem,күн
227,Mensch::N,homem,күмн
228,Mensch::N,pessoa,күн
229,Mensch::N,pessoa,күмн
230,Mann::N,homem,эр
231,Frau::N,mulher,күүкд күн
232,Kind::N,filho,үрн
233,Kind::N,criança,үрн
234,Junge::N,rapaz,көвүн
235,Junge::N,menino,көвүн
236,Mädchen::N,menina,бичкн күүкн
237,Mädchen::N,rapariga,бичкн күүкн
238,Familie::N,família,бүл
239,Großvater::N,avô,өвк эцк
240,Großvater::N,avô,наһц эцк
241,Großmutter::N,avó,эмг эк
242,Großmutter::N,avó,наһц эк
243,Eltern::N,pais,эк эцк хойр
244,Vater::N,pai,эцк
245,Mutter::N,mãe,эк
246,Sohn::N,filho,көвүн
247,Tochter::N,filha,күүкн
248,Bruder::N,irmão,дү көвүн
249,Schwester::N,irmã,эгч
250,Schwester::N,irmã,дү күүкн
251,Onkel::N,tio,авһ
252,Onkel::N,tio,наһцх
253,Tante::N,tia,наһц эгч
254,Ehemann::N,esposo,залу
255,Ehefrau::N,esposa,гергн
256,Freude::N,prazer,байр
257,Freude::N,alegria,байр
258,Gelächter::N,risada,инәдн
259,Gelächter::N,gargalhada,инәдн
260,Glück::N,felicidade,җирһл
261,Glück::N,felicidade,сәәхн җирһл
262,Kummer::N,aflição,зовлң
263,Kummer::N,desgosto,зовлң
264,Wunsch::N,desejo,дурн
265,Lust::N,vontade,җилвтлһн
266,Geist::N,mente,зөрг
267,Geist::N,espírito,зөрг
268,Gedanke::N,ideia,ухан
269,Gedanke::N,pensamento,ухан
270,Gedächtnis::N,memória,чееҗин тодлвр
271,Verstand::N,razão,ухан
272,Verstand::N,inteligência,ухан
273,Sinn::N,sentido,учр-утх
274,Sinn::N,significado,учр-утх
275,Grund::N,causa,учр
276,Grund::N,causa,шалтан
277,Grund::N,motivo,учр
278,Grund::N,motivo,шалтан
279,Wahrheit::N,verdade,үнн
280,Gespräch::N,conversa,күүндвүр
281,Gespräch::N,conversação,күүндвүр
282,Märchen::N,conto,тууль
283,Erzählung::N,conto,келвр
284,Erzählung::N,narrativa,келвр
285,Nachricht::N,mensagem,медүллһн
286,Neuigkeit::N,notícia,зәңг
287,Neuigkeit::N,novidade,зәңг
288,Name::N,nome,нерн
289,Rätsel::N,adivinha,тәәлвртә тууль
290,Rede::N,oração,келлһн
291,Rede::N,discurso,келлһн
292,Sprache::N,língua,келн
293,Stimme::N,voz,дун
294,Wort::N,palavra,үг
295,Zeichen::N,marca,темдг
296,Ruf::N,grito,дуудлһн
297,Ruf::N,chamada,дуудлһн
298,Lärm::N,ruído,шууган
299,Lärm::N,barulho,шууган
300,Laut::N,som,ә
301,Ton::N,tom,дун
302,Lied::N,canção,дун
303,Ruhe::N,calma,амулң
304,Ruhe::N,silêncio,амулң
305,Leute::N,gente,әмтн
306,Leute::N,pessoas,әмтн
307,Volk::N,povo,улс
308,Volk::N,nação,улс
309,Arbeit::N,trabalho,көдлмш
310,Gast::N,hóspede,гиич
311,Gast::N,convidado,гиич
312,Geschenk::N,prenda,белг
313,Geschenk::N,presente,белг
314,Spiel::N,jogo,наадн
315,Gesellschaft::N,companhia,олн
316,Hilfe::N,ajuda,нөкд
317,Hilfe::N,socorro,нөкд
318,Freund::N,amigo,иньг
319,Kamerad::N,camarada,үр
320,Angelegenheit::N,assunto,керг
321,Anzahl::N,número,то
322,Anzahl::N,quantidade,то
323,Art::N,tipo,зүүл
324,Art::N,espécie,зүүл
325,Stück::N,pedaço,хусг
326,Teil::N,peça,хүв
327,Teil::N,parte,хүв
328,Hälfte::N,metade,өрәл
329,Kreis::N,círculo,төгрг
330,Kreuz::N,cruz,кирс
331,Linie::N,linha,зурасн
332,Strich::N,traço,татасн
333,Abstand::N,distância,зә
334,Entfernung::N,distância,һазр
335,Gegend::N,área,һазр
336,Gegend::N,região,һазр
337,Platz::N,lugar,зә
338,Ort::N,sítio,бәәрн
339,Seite::N,lado,тал
340,Seite::N,lado,хаҗу
341,Seite::N,lado,хәврһ
342,Mitte::N,meio,дунд
343,Gegenstand::N,objecto,юмн
344,Sache::N,coisa,юмн
345,Rand::N,bordo,зах
346,Rand::N,margem,зах
347,Kante::N,borda,ирмәг
348,Kante::N,aresta,ирмәг
349,Ecke::N,esquina,өнцг
350,Spitze::N,ponta,үзүр
351,Ende::N,cabo,үзүр
352,Ende::N,extremo,үзүр
353,Loch::N,furo,хаһрха
354,Loch::N,buraco,хаһрха
355,Winkel::N,canto,булң
356,Winkel::N,ângulo,булң
357,Muster::N,padrão,намч
358,Muster::N,desenho,намч
359,Größe::N,tamanho,кемҗән
360,Länge::N,comprimento,ут
361,Höhe::N,altura,өндр
362,Höhe::N,altitude,өндр
363,Gewicht::N,peso,күнд
364,Gewicht::N,peso,чиңнүр
365,Menge::N,quantidade,ик
366,Haufen::N,pilha,ова
367,Reihe::N,fila,зерг
368,Reihe::N,fila,зерглән
369,Boot::N,barco,оңһц
370,Ruder::N,remo,хәәв
371,Schlitten::N,trenó,цан
372,Ski::N,esqui,лыҗ
373,Lagerfeuer::N,fogueira,костёр
374,Last::N,carga,күнд
375,Gang::N,curso,йовлһн
376,Gang::N,caminhada,йовлһн
377,Schritt::N,passo,ишкм
378,Norden::N,norte,ар үзг
379,Süden::N,sul,өмн
380,Süden::N,sul,өмн үзг
381,Westen::N,oeste,барун
382,Westen::N,oeste,барун үзг
383,Westen::N,ocidente,барун
384,Westen::N,ocidente,барун үзг
385,Osten::N,este,зүн
386,Osten::N,este,зүн үзг
387,Osten::N,leste,зүн
388,Osten::N,leste,зүн үзг
389,Osten::N,oriente,зүн
390,Osten::N,oriente,зүн үзг
391,Holz::N,madeira,модн
392,Brett::N,tábua,харһа
393,Brett::N,prancha,харһа
394,Platte::N,laje,хавтха чолун
395,Platte::N,chapa,хавтха чолун
396,Stütze::N,apoio,тулг
397,Stütze::N,suporte,тулг
398,Stange::N,vara,уньн
399,Stange::N,barra,уньн
400,Stock::N,pau,модн
401,Stock::N,bengala,модн
402,Stab::N,bastão,шуург
403,Rohr::N,cano,турва
404,Haus::N,casa,гер
405,Heim::N,lar,гер-бул
406,Heim::N,casa,гер-бул
407,Ofen::N,estufa,беш
408,Ofen::N,aquecedor,беш
409,Fußboden::N,piso,девскр
410,Tisch::N,mesa,ширә
411,Stuhl::N,cadeira,стул
412,Wiege::N,berço,өлгә
413,Wiege::N,berço,дүүҗң
414,Bett::N,cama,орн
415,Bett::N,cama,орндг
416,Regal::N,estante,таг
417,Regal::N,estante,тәвц
418,Regal::N,prateleira,таг
419,Regal::N,prateleira,тәвц
420,Kiste::N,caixa,яршг
421,Fenster::N,janela,терз
422,Tür::N,porta,үүдн
423,Tor::N,portão,үүдн
424,Tor::N,portão,өргн үүдн
425,Tor::N,portão,хашан үүдн
426,Zaun::N,cerca,хаша
427,Zaun::N,vedação,хаша
428,Dach::N,telhado,деевр
429,Leiter::N,escada,шат
430,Leiter::N,escada,давшур
431,Leiter::N,escada móvel,шат
432,Leiter::N,escada móvel,давшур
433,Besen::N,vassoura,сәвүр
434,Spaten::N,pá,күрз
435,Schaufel::N,pá,совг
436,Gabel::N,garfo,серә
437,Löffel::N,colher,ухр
438,Messer::N,faca,утх
439,Nagel::N,cravo,хадасн
440,Netz::N,rede,гөлм
441,Haken::N,gancho,дегә
442,Griff::N,asa,иш
443,Griff::N,asa,бәрүл
444,Griff::N,cabo,иш
445,Griff::N,cabo,бәрүл
446,Schloss::N,fechadura,оньс
447,Bild::N,imagem,зург
448,Figur::N,figura,фигур
449,Puppe::N,boneca,наадһа
450,Beutel::N,saco,мишг
451,Beutel::N,bolsa,мишг
452,Bündel::N,fardo,багла
453,Bündel::N,fardo,боодһа
454,Tasche::N,saco,сумк
455,Tasche::N,bolso,сумк
456,Eimer::N,balde,суулһ
457,Deckel::N,tampa,бүркәсн
458,Geschirr::N,louça,сав
459,Geschirr::N,louça,сав-сарх
460,Sack::N,saca,мишг
461,Tasse::N,chávena,ааһ
462,Topf::N,tacho,кастрюль
463,Topf::N,panela,кастрюль
464,Kessel::N,caldeira,хәәсн
465,Essen::N,refeição,зоогллһн
466,Nahrung::N,comida,теҗәл
467,Nahrung::N,alimento,теҗәл
468,Speise::N,prato,хот
469,Fleisch::N,carne,махн
470,Getreide::N,cereais,хот болҗ эдлгддг цецгүдтә урһмл
471,Brei::N,puré,хаш
472,Brot::N,pão,өдмг
473,Scheibe::N,fatia,зүсм
474,Fett::N,banha,өөкн
475,Fett::N,gordura,өөкн
476,Butter::N,manteiga,тосн
477,Öl::N,azeite,тосн
478,Salz::N,sal,давсн
479,Suppe::N,sopa,шөлн
480,Suppe::N,caldo,шөлн
481,Honig::N,mel,бал
482,Milch::N,leite,үсн
483,Tee::N,chá,цә
484,Leder::N,couro,арсн
485,Wolle::N,lã,утцн
486,Wolle::N,lã,эд
487,Stoff::N,pano,эд
488,Stoff::N,tecido,эд
489,Nadel::N,agulha,зүн
490,Faden::N,fio,утцн
491,Knopf::N,botão,товч
492,Knoten::N,nó,зәңгдә
493,Farbe::N,corante,будг
494,Kleidung::N,roupa,хувцн
495,Kleidung::N,roupa,хувц-хунр
496,Kleidung::N,vestuário,хувцн
497,Kleidung::N,vestuário,хувц-хунр
498,Hemd::N,camisa,киилг
499,Kragen::N,gola,зах
500,Ärmel::N,manga,ханцн
501,Hose::N,calça,шалвур
502,Gürtel::N,cinto,бүс
503,Mütze::N,boné,махла
504,Mütze::N,barrete,махла
505,Schuh::N,sapato,башмгуд
506,Stiefel::N,bota,һосн
507,Ring::N,anel,билцг
508,Band::N,fita,лент
509,Band::N,faixa,лент
510,Kamm::N,pente,сам
511,Spiegel::N,espelho,толь
512,Riemen::N,correia,бүс
513,Schnur::N,corda,деесн
514,Schnur::N,cordel,деесн
515,Leine::N,trela,бурнтг
516,Leine::N,trela,нохан көтлвр
517,Decke::N,cobertor,көнҗл
518,Kissen::N,almofada,дер
519,Tuch::N,pano,альчур
520,Handtuch::N,toalha,полотенц
521,Handtuch::N,toalha,һар-нүүрин альчур
522,Kraft::N,força,күчн
523,Stärke::N,força,чидл
524,Gesundheit::N,saúde,эрүл-менд
525,Krankheit::N,doença,өвчн
526,Krankheit::N,enfermidade,өвчн
527,Schmerz::N,dor,өвдлһн
528,Wunde::N,chaga,шав
529,Wunde::N,ferida,шав
530,Fieber::N,febre,безг
531,Arznei::N,remédio,эм
532,Brücke::N,ponte,тагт
533,Brunnen::N,poço,худг
534,Weide::N,pastagem,малын идг
535,Pfad::N,senda,цувг
536,Pfad::N,trilho,цувг
537,Weg::N,caminho,хаалһ
538,Straße::N,via,зам
539,Straße::N,estrada,зам
540,Dorf::N,aldeia,хотн
541,Stadt::N,cidade,балһсн
542,Brief::N,carta,бичг
543,Buch::N,livro,дегтр
544,Buchstabe::N,letra,үзг
545,Zeitung::N,jornal,газет
546,Leben::N,vida,җирһл
547,Tod::N,morte,үкл
548,Tod::N,morte,өңгрлһн
549,Grab::N,túmulo,оршалһна нүкн
550,Grab::N,sepultura,оршалһна нүкн
551,Kirche::N,igreja,чонҗ
552,Sünde::N,pecado,нүл
553,Sünde::N,pecado,килнц
554,Gott::N,deus,бурхн
555,Arbeiter::N,operário,көдлмшч
556,Arbeiter::N,trabalhador,көдлмшч
557,Chef::N,chefe,толһач
558,Chef::N,patrão,толһач
559,Meister::N,mestre,урн
560,Arzt::N,médico,эмч
561,Lehrer::N,professor,багш
562,Geld::N,dinheiro,мөңгн
563,Geschäft::N,negócio,көдлмш
564,Laden::N,loja,лавк
565,Preis::N,preço,үн
566,Ware::N,mercadoria,эд-тавр
567,Nutzen::N,proveito,олз
568,Reichtum::N,riqueza,зөөр
569,Welt::N,mundo,орчлң
570,Welt::N,mundo,делкә
571,Land::N,país,орн-нутг
572,Staat::N,Estado,государств
573,König::N,rei,хан
574,Macht::N,poder,йосн
575,Macht::N,potência,йосн
576,Grenze::N,fronteira,меҗә
577,Krieg::N,guerra,дән
578,Feind::N,inimigo,дәәсн
579,Gewalt::N,violência,күч һарһлһн
580,Kampf::N,luta,ноолдан
581,Kampf::N,luta,бәрлдлһн
582,Kampf::N,combate,ноолдан
583,Kampf::N,combate,бәрлдлһн
584,Bogen[Waffe]::N,arco,саадг
585,Pfeil::N,seta,сумн
586,Pfeil::N,flecha,сумн
587,Gewehr::N,espingarda,бу
588,Fehler::N,erro,алдг
589,Fehler::N,falha,алдг
590,Lüge::N,mentira,худл
591,Schaden::N,dano,хорлт
592,Schaden::N,estrago,хорлт
593,Unglück::N,desgraça,гүрм
594,Schuld::N,culpa,гем
595,Schuld::N,culpa,буру
596,Alter::N,idade,насн
597,Schluss::N,fim,чилгч
598,Zeit::N,tempo,цаг
599,Tag::N,dia,өдр
600,Morgen::N,manhã,өрүн
601,Mittag::N,meio-dia,үд
602,Abend::N,noite,асхн
603,Abend::N,tardinha,асхн
604,Nacht::N,noite,сө
605,Woche::N,semana,долан хонг
606,Monat::N,mês,сар
607,Jahr::N,ano,җил
608,Frühling::N,primavera,хавр
609,Sommer::N,verão,зун
610,Herbst::N,outono,намр
611,Winter::N,inverno,үвл
612,Januar::N,Janeiro,январь
613,Februar::N,Fevereiro,февраль
614,März::N,Março,март
615,März::N,Março,моһа сар
616,April::N,Abril,апрель
617,Mai::N,Maio,май
618,Juni::N,Junho,июнь
619,Juni::N,Junho,мөчн сар
620,Juli::N,Julho,июль
621,August::N,Agosto,август
622,September::N,Setembro,һаха сар
623,Oktober::N,Outubro,октябрь
624,November::N,Novembro,ноябрь
625,November::N,Novembro,үкр сар
626,Dezember::N,Dezembro,бар сар
627,Montag::N,segunda-feira,понедельник
628,Dienstag::N,terça-feira,вторник
629,Mittwoch::N,quarta-feira,среда
630,Mittwoch::N,quarta-feira,үлмҗ өдр
631,Donnerstag::N,quinta-feira,четверг
632,Donnerstag::N,quinta-feira,пүрвә өдр
633,Freitag::N,sexta-feira,пятниц
634,Samstag::N,sábado,суббот
635,Sonntag::N,domingo,нарн өдр
636,Sonntag::N,domingo,воскресень
637,groß::A,grande,ик
638,klein::A,pequeno,бичкн
639,lang::A,comprido,ут
640,kurz::A,curto,оһтр
641,breit::A,largo,өргн
642,schmal::A,estreito,уутьхн
643,dicht::A,denso,нигт
644,dick[Gegenstand]::A,grosso,зузан
645,dünn::A,delgado,нимгн
646,fein::A,fino,нәрхн
647,fein::A,subtil,нәрхн
648,fest::A,firme,бат
649,fest::A,sólido,бат
650,flach::A,plano,хавтха
651,glatt::A,liso,тегш
652,glatt::A,liso,тиньгр
653,hart::A,duro,хату
654,weich::A,mole,җөөлн
655,weich::A,mole,җөөлкн
656,rund::A,redondo,төгрг
657,spitz::A,agudo,шовһр
658,scharf::A,afiado,хурц
659,stumpf::A,rombo,мука
660,schwer::A,pesado,күнд
661,schön::A,belo,сәәхн
662,schön::A,bonito,сәәхн
663,heiß::A,quente,халун
664,warm::A,quente,дулан
665,kalt::A,frio,киитн
666,kühl::A,fresco,серүн
667,frisch::A,fresco,серүн
668,feucht::A,húmido,чиигтә
669,nass::A,molhado,чиигтә
670,trocken::A,seco,хагсу
671,voll::A,cheio,дүүрң
672,leer::A,vazio,сул
673,leer::A,vazio,хоосн
674,offen::A,aberto,секәтә
675,geschlossen::A,fechado,хаалһата
676,sauber::A,limpo,цевр
677,schmutzig::A,sujo,киртә
678,roh::A,cru,түүкә
679,reif::A,maduro,болсн
680,lecker::A,delicioso,әмтәхн
681,süß::A,doce,әмтәхн
682,bitter::A,amargo,һашун
683,bitter::A,amargo,һашута
684,sauer::A,azedo,ишклң
685,hell::A,claro,герлтә
686,dunkel::A,escuro,харңһу
687,dunkel::A,sombrio,харңһу
688,schwarz::A,preto,хар
689,weiß::A,branco,цаһан
690,rot::A,vermelho,улан
691,gelb::A,amarelo,шар
692,blau::A,azul,көк
693,grün::A,verde,көк
694,grau::A,cinzento,бор
695,bunt::A,colorido,алг
696,bunt::A,colorido,эрәтә
697,billig::A,barato,кимд
698,teuer::A,caro,үнтә
699,wertvoll::A,valioso,үнтә
700,wertvoll::A,valioso,эрднь
701,wertvoll::A,precioso,үнтә
702,wertvoll::A,precioso,эрднь
703,blind::A,cego,сохр
704,taub::A,surdo,дүлә
705,kräftig::A,forte,күчтә
706,kräftig::A,poderoso,күчтә
707,stark::A,forte,чаңһ
708,stark::A,robusto,чаңһ
709,schwach::A,débil,күчн тату
710,fett::A,gordo,тарһн
711,schlank::A,esbelto,эццн
712,hübsch::A,giro,көркхн
713,hübsch::A,bonito,көркхн
714,böse::A,mau,уурта
715,dumm::A,parvo,тенг
716,dumm::A,estúpido,тенг
717,faul::A,preguiçoso,залху
718,fleißig::A,aplicado,кинән
719,fleißig::A,aplicado,кинмһә
720,fleißig::A,diligente,кинән
721,fleißig::A,diligente,кинмһә
722,geizig::A,avarento,ховдг
723,klug::A,prudente,ухата
724,klug::A,inteligente,ухата
725,geschickt::A,hábil,чадмг
726,lieb::A,caro,эңкр
727,lieb::A,querido,эңкр
728,lustig::A,alegre,сергмҗтә
729,lustig::A,alegre,җирһлтә
730,sanft::A,suave,номһн
731,sanft::A,brando,номһн
732,hungrig::A,faminto,өлн
733,hungrig::A,faminto,харһнсн
734,krank::A,doente,өвчтә
735,krank::A,doente,шалтгта
736,krank::A,enfermo,өвчтә
737,krank::A,enfermo,шалтгта
738,nackt::A,nu,нүцкн
739,nackt::A,despido,нүцкн
740,traurig::A,triste,һундлта
741,lebendig::A,vivo,әмд
742,gut::A,bom,сән
743,schlecht::A,mau,му
744,schlecht::A,ruim,му
745,richtig::A,justo,зөвтә
746,richtig::A,correcto,зөвтә
747,schlimm::A,mau,җигшүртә
748,schlimm::A,grave,җигшүртә
749,wahr::A,verdadeiro,үнн
750,wahr::A,verdadeiro,мөн
751,alt::A,velho,хуучн
752,alt::A,antigo,хуучн
753,neu::A,novo,шин
754,ehemalig::A,antigo,хуучн
755,alt[Lebewesen]::A,velho,көгшн
756,jung::A,jovem,баһ
757,arm::A,pobre,угатя
758,reich::A,rico,байн
759,bekannt::A,conhecido,таньл
760,bekannt::A,conhecido,таньдг
761,berühmt::A,famoso,туурсн
762,berühmt::A,célebre,туурсн
763,fremd::A,alheio,күүнә
764,fremd::A,estranho,күүнә
765,verschieden::A,diverso,әдл биш
766,verschieden::A,diverso,йилһәтә
767,verschieden::A,diferente,әдл биш
768,verschieden::A,diferente,йилһәтә
769,nah::A,próximo,өөрхн
770,fern::A,remoto,хол
771,fern::A,distante,хол
772,linker::A,esquerdo,зүн
773,rechter::A,direito,барун
774,anderer::A,outro,талдан
775,erster::A,primeiro,негдгч
776,zweiter::A,segundo,хойрдгч
777,dritter::A,terceiro,һурвдгч
778,letzter::A,final,отхн
779,letzter::A,último,отхн
780,allein::ADV,só,һанцарн
781,auf einmal::ADV,de vez,нег дәкҗ
782,zusammen::ADV,juntos,хамдан
783,lange::ADV,muito tempo,удан
784,plötzlich::ADV,de repente,генткн
785,sofort::ADV,imediatamente,дарунь
786,später::ADV,mais tarde,сүүлд
787,jetzt::ADV,agora,ода
788,heute::ADV,hoje,эндр
789,morgen::ADV,amanhã,маңһдур
790,bald::ADV,logo,дарунь
791,bald::ADV,breve,дарунь
792,dann::ADV,então,дәкәд
793,dann::ADV,depois,дәкәд
794,gestern::ADV,ontem,өцклдүр
795,einst::ADV,antigamente,нег саамд
796,damals::ADV,então,тиигхд
797,danach::ADV,logo,тегәд
798,danach::ADV,depois,тегәд
799,vorher::ADV,antes,урд
800,zuerst::ADV,primeiro,түрүләд
801,einmal::ADV,uma vez,нег дәкҗ
802,manchmal::ADV,às vezes,зәрмдән
803,oft::ADV,muitas vezes,хара биш
804,oft::ADV,muitas vezes,хатяр биш
805,oft::ADV,muitas vezes,дару-дарунь
806,immer::ADV,sempre,оньдинд
807,niemals::ADV,nunca,кезә чмгн биш
808,hier::ADV,cá,энд
809,hier::ADV,cá,энүнд
810,hier::ADV,aqui,энд
811,hier::ADV,aqui,энүнд
