,Concept_ID,ba,cs
105,Anhöhe::N,түбә,pahorek
106,Anhöhe::N,ҡалҡыулыҡ,pahorek
107,Berg::N,тау,hora
108,Gipfel::N,түбә,vrchol
109,Höhle::N,мәмерйә,jeskyně
110,Abhang::N,ипкен,svah
111,Abhang::N,ипкен,stráň
112,Quelle::N,шишмә,pramen
113,Bach::N,шишмә,potok
114,Fluss::N,йылға,řeka
115,Ufer::N,яр,břeh
116,Küste::N,яр буйы,pobřeží
117,Festland::N,ҡоро ер,souš
118,Festland::N,ҡоро ер,pevnina
119,Meer::N,диңгез,moře
120,Bucht::N,бухта,záliv
121,Bucht::N,бухта,zátoka
122,Insel::N,үтрау,ostrov
123,Blume::N,сәскә,květina
124,Gras::N,үлән,tráva
125,Wurzel::N,тамыр,kořen
126,Baum::N,ағас,strom
127,Stamm::N,олон,kmen
128,Stamm::N,көбәк,kmen
129,Rinde::N,ҡабыҡ,kůra
130,Ast::N,ботаҡ,větev
131,Zweig::N,ботаҡ,větev
132,Zweig::N,тармаҡ,větev
133,Blatt::N,япраҡ,lupen
134,Birke::N,ҡайын,bříza
135,Kiefer[Baum]::N,ҡарғай,sosna
136,Kiefer[Baum]::N,ҡарғай,borovice
137,Weide[Baum]::N,тал,vrba
138,Tanne::N,шыршы,jedle
139,Horn::N,мөғөҙ,roh
140,Feder::N,ҡауырһын,pero
141,Fell::N,тире,srst
142,Flügel::N,ҡанат,křídlo
143,Klaue::N,тырнаҡ,dráp
144,Klaue::N,тырнаҡ,pazneht
145,Kralle::N,аяҡ,dráp
146,Schwanz::N,ҡойроҡ,ocas
147,Ei::N,йомортҡа,vejce
148,Nest::N,оя,hnízdo
149,Bau::N,оң,nora
150,Tier::N,жайуан,zvíře
151,Tier::N,йыртҡыс,zvíře
152,Herde::N,көтөү,stádo
153,Kuh::N,һыйыр,kráva
154,Bulle::N,үгеҙ,býk
155,Pferd::N,ат,kůň
156,Schaf::N,һарыҡ,ovce
157,Schwein::N,сусҡа,vepř
158,Schwein::N,сусҡа,prase
159,Hund::N,эт,pes
160,Katze::N,бесәй,kočka
161,Bär::N,айыу,medvěd
162,Eichhörnchen::N,тейен,veverka
163,Elch::N,мышы,los
164,Fuchs::N,төлкө,liška
165,Hase::N,ҡуян,zajíc
166,Maus::N,сысҡан,myš
167,Wolf::N,бүре,vlk
168,Vogel::N,ҡош,pták
169,Schwarm::N,көтөү,roj
170,Schwarm::N,көтөү,hejno
171,Huhn::N,тауыҡ,kuře
172,Huhn::N,тауыҡ,slepice
173,Hahn::N,әтәс,kohout
174,Gans::N,ҡаҙ,husa
175,Adler::N,бөркөт,orel
176,Ente::N,өйрәк,kachna
177,Eule::N,өкө,sova
178,Eule::N,ябалаҡ,sova
179,Kranich::N,торна,jeřáb
180,Krähe::N,ҡарға,vrána
181,Kuckuck::N,кәкүк,kukačka
182,Schwan::N,аҡҡош,labuť
183,Fisch::N,балыҡ,ryba
184,Barsch::N,алабуға,okoun
185,Hecht::N,суртан,štika
186,Schlange[Tier]::N,йылан,had
187,Wurm::N,селяүсен,červ
188,Spinne::N,үрмәксе,pavouk
189,Ameise::N,ҡырмыҫҡа,mravenec
190,Laus::N,бет,veš
191,Mücke::N,серәкәй,komár
192,Fliege::N,себен,moucha
193,Schmetterling::N,күбәләк,motýl
194,Beere::N,еләк,bobule
195,Apfel::N,алма,jablko
196,Pilz::N,бәшмәк,houba
197,Zwiebel::N,һуган,cibule
198,Saat::N,орлоҡ,osivo
199,Korn::N,иген,zrno
200,Heu::N,бесән,seno
201,Schale::N,ҡабыҡ,slupka
202,Schale::N,ҡабыҡ,skořápka
203,Grube::N,соҡор,jáma
204,Falle::N,тоҙак,past
205,Falle::N,тоҙак,léčka
206,Falle::N,ҡапҡан,past
207,Falle::N,ҡапҡан,léčka
208,Schlinge::N,тоҙак,smyčka
209,Spur::N,әҫер,stopa
210,Asche::N,көл,popel
211,Dreck::N,батҡаҡ,špína
212,Eisen::N,тимер,železo
213,Gold::N,алтын,zlato
214,Silber::N,көмөш,stříbro
215,Kohle::N,күмер,uhlí
216,Glas::N,быяла,sklo
217,Lehm::N,балсыҡ,jíl
218,Lehm::N,балсыҡ,hlína
219,Sand::N,ҡом,písek
220,Mensch::N,кеше,člověk
221,Mann::N,ир,muž
222,Frau::N,ҡатын,žena
223,Kind::N,бала,dítě
224,Junge::N,малай,hoch
225,Junge::N,малай,chlapec
226,Mädchen::N,ҡыҙ,děvče
227,Mädchen::N,ҡыҙыҡай,děvče
228,Familie::N,ғаилә,rodina
229,Großvater::N,олатай,děd
230,Großvater::N,олатай,dědeček
231,Großmutter::N,әбәй,babička
232,Eltern::N,ата-әсә,rodiče
233,Vater::N,атай,otec
234,Mutter::N,әсә,matka
235,Sohn::N,ул,syn
236,Tochter::N,ҡыҙ,dcera
237,Bruder::N,агай,bratr
238,Schwester::N,алай,sestra
239,Schwester::N,һеңле,sestra
240,Onkel::N,ағай,strýc
241,Tante::N,апай,teta
242,Ehemann::N,ир,choť
243,Ehemann::N,ир,manžel
244,Ehefrau::N,ҡатын,choť
245,Ehefrau::N,ҡатын,manželka
246,Freude::N,шатлыҡ,radost
247,Freude::N,ҡыуаныс,radost
248,Gelächter::N,көлөү,smích
249,Glück::N,бәхет,štěstí
250,Kummer::N,ҡайғы,žal
251,Kummer::N,ҡайғы,trápení
252,Wunsch::N,теләк,přání
253,Lust::N,әүәҫлек,chuť
254,Geist::N,аң,duch
255,Geist::N,рух,duch
256,Gedanke::N,уй,myšlenka
257,Gedanke::N,фекер,myšlenka
258,Gedächtnis::N,хәтер,paměť
259,Verstand::N,аҡыл,rozum
260,Sinn::N,мәғәня,smysl
261,Grund::N,сәбәп,důvod
262,Wahrheit::N,дөрөҫлөк,pravda
263,Gespräch::N,әңгәмә,rozhovor
264,Märchen::N,әкиәт,pohádka
265,Erzählung::N,хикәйә,povídka
266,Nachricht::N,хәбәр,zpráva
267,Neuigkeit::N,яңылыҡ,novina
268,Neuigkeit::N,яңылыҡ,novinka
269,Name::N,исем,jméno
270,Rätsel::N,йомаҡ,hádanka
271,Rede::N,телмәр,řeč
272,Rede::N,телмәр,proslov
273,Sprache::N,тел,řeč
274,Sprache::N,тел,jazyk
275,Sprache::N,телмәр,řeč
276,Sprache::N,телмәр,jazyk
277,Stimme::N,тауыш,hlas
278,Wort::N,һүҙ,slovo
279,Zeichen::N,билдә,znamení
280,Ruf::N,саҡырыу,zavolání
281,Lärm::N,шаулау,hluk
282,Laut::N,тауыш,zvuk
283,Ton::N,яңғырау,tón
284,Lied::N,йыр,píseň
285,Ruhe::N,ял,klid
286,Ruhe::N,ял,pokoj
287,Ruhe::N,тыныслыҡ,klid
288,Ruhe::N,тыныслыҡ,pokoj
289,Leute::N,кешеләр,lidé
290,Volk::N,халҡ,národ
291,Arbeit::N,эш,práce
292,Gast::N,ҡунаҡ,host
293,Geschenk::N,бүләк,dar
294,Spiel::N,уйын,hra
295,Gesellschaft::N,йәмғиәт,společnost
296,Hilfe::N,ярҙам,pomoc
297,Freund::N,дуҫ,přítel
298,Kamerad::N,иптәш,kamarád
299,Angelegenheit::N,әш,záležitost
300,Anzahl::N,һан,počet
301,Art::N,төр,druh
302,Stück::N,киҫәк,kus
303,Stück::N,киҫәк,kousek
304,Teil::N,өлөш,díl
305,Teil::N,өлөш,část
306,Hälfte::N,ярты,půl
307,Kreis::N,түңәрәк,kruh
308,Kreuz::N,тәре,kříž
309,Linie::N,һыҙыҡ,linka
310,Strich::N,һыҙат,čára
311,Strich::N,һыҙат,čárka
312,Abstand::N,ара,vzdálenost
313,Entfernung::N,алыҫлыҡ,vzdálenost
314,Gegend::N,урын,krajina
315,Platz::N,арауыҡ,prostor
316,Ort::N,ерҙәр,místo
317,Ort::N,урындар,místo
318,Ort::N,эш урыны,místo
319,Seite::N,яҡ,strana
320,Mitte::N,урталыҡ,střed
321,Mitte::N,урталыҡ,prostředek
322,Gegenstand::N,нәмә,předmět
323,Sache::N,нәмә,věc
324,Sache::N,әйбер,věc
325,Rand::N,сит,kraj
326,Rand::N,сит,okraj
327,Kante::N,ҡабырға,hrana
328,Kante::N,ян,hrana
329,Ecke::N,мөйөш,roh
330,Spitze::N,ос,hrot
331,Spitze::N,ос,špička
332,Ende::N,аҙаҡ,konec
333,Loch::N,тишек,díra
334,Winkel::N,мөйөш,kout
335,Muster::N,биҙәк,vzor
336,Größe::N,ҙурлыҡ,velikost
337,Länge::N,оҙонлоҡ,délka
338,Höhe::N,бейеклек,výška
339,Gewicht::N,үлсәү,váha
340,Menge::N,һан,množství
341,Haufen::N,өйөм,kupa
342,Haufen::N,өйөм,hromada
343,Reihe::N,рәт,řada
344,Reihe::N,рәт,řádek
345,Boot::N,кәмә,člun
346,Ruder::N,ишкәк,veslo
347,Schlitten::N,сана,sáně
348,Ski::N,саңгы,lyže
349,Lagerfeuer::N,костер,táborák
350,Last::N,ауырлыҡ,náklad
351,Last::N,ауырлыҡ,břemeno
352,Gang::N,барыу,chůze
353,Gang::N,барыу,chodba
354,Schritt::N,аҙым,krok
355,Norden::N,төньяҡ,sever
356,Süden::N,көньяҡ,jih
357,Westen::N,көнбайыш,západ
358,Osten::N,көнсығыш,východ
359,Holz::N,үағас,dřevo
360,Brett::N,таҡта,prkno
361,Platte::N,плита,deska
362,Stütze::N,терәк,opěra
363,Stange::N,кәртә,tyč
364,Stange::N,кәртә,tyčka
365,Stock::N,таяҡ,hůlka
366,Stab::N,ҡолға,hůl
367,Rohr::N,торба,trubka
368,Haus::N,өй,dům
369,Haus::N,йорт,dům
370,Heim::N,өй,domov
371,Ofen::N,мейес,kamna
372,Fußboden::N,енес,podlaha
373,Tisch::N,өҫтәл,stůl
374,Stuhl::N,ултырғыс,židle
375,Wiege::N,бишек,kolébka
376,Bett::N,карауат,postel
377,Regal::N,кәштә,regál
378,Regal::N,кәштә,police
379,Kiste::N,йәшинк,bedna
380,Fenster::N,тәҙрә,okno
381,Tür::N,ишек,dveře
382,Tor::N,ҡапҡа,vrata
383,Zaun::N,ҡойма,plot
384,Dach::N,түбә,střecha
385,Dach::N,ҡыйыҡ,střecha
386,Leiter::N,баҫҡыс,žebřík
387,Besen::N,һепертке,koště
388,Besen::N,һепертке,smeták
389,Spaten::N,көрәк,rýč
390,Schaufel::N,көрәк,lopata
391,Gabel::N,сәнске,vidlička
392,Löffel::N,ҡалаҡ,lžíce
393,Messer::N,бысаҡ,nůž
394,Nagel::N,сөй,hřebík
395,Netz::N,ау,síť
396,Haken::N,ыргаҡ,hák
397,Griff::N,тотҡа,držadlo
398,Schloss::N,йоҙаҡ,zámek
399,Bild::N,картина,obraz
400,Figur::N,һын,figura
401,Puppe::N,ҡурсаҡ,panenka
402,Beutel::N,тоҡ,pytlík
403,Bündel::N,төргәк,svazek
404,Tasche::N,сумка,taška
405,Tasche::N,сумка,brašna
406,Eimer::N,биҙрә,kýbl
407,Eimer::N,биҙрә,vědro
408,Deckel::N,ҡапҡас,víko
409,Deckel::N,ҡапҡас,příklop
410,Geschirr::N,һауыт-һаба,nádobí
411,Sack::N,тоҡ,pytel
412,Tasse::N,сынаяҡ,šálek
413,Topf::N,кәстрүл,hrnec
414,Kessel::N,ҡаҙан,kotel
415,Essen::N,ашау,jídlo
416,Nahrung::N,аҙыҡ,strava
417,Nahrung::N,аҙыҡ,potrava
418,Speise::N,аш,jídlo
419,Fleisch::N,ит,maso
420,Getreide::N,иген,obilí
421,Getreide::N,ашлыҡ,obilí
422,Brei::N,бутҡа,kaše
423,Brot::N,икмәк,chléb
424,Scheibe::N,телем,krajíc
425,Fett::N,май,tuk
426,Fett::N,май,omastek
427,Butter::N,май,máslo
428,Öl::N,май буяуы,olej
429,Salz::N,тоҙ,sůl
430,Suppe::N,һурпа,polévka
431,Honig::N,бал,med
432,Milch::N,һөт,mléko
433,Tee::N,сәй,čaj
434,Leder::N,күн,kůže
435,Wolle::N,йөн,vlna
436,Stoff::N,туҡыма,látka
437,Nadel::N,энә,jehla
438,Faden::N,еп,nit
439,Knopf::N,төймә,knoflík
440,Knoten::N,төйөн,uzel
441,Farbe::N,буяу,barva
442,Kleidung::N,кейем,šaty
443,Kleidung::N,кейем,šatstvo
444,Hemd::N,күлдәк,košile
445,Kragen::N,яға,límec
446,Ärmel::N,ең,rukáv
447,Hose::N,салбар,kalhoty
448,Gürtel::N,ҡайыш,pás
449,Gürtel::N,ҡайыш,opasek
450,Mütze::N,бүрк,čepice
451,Schuh::N,туфли,bota
452,Stiefel::N,итек,holínka
453,Ring::N,йөҙөк,prsten
454,Ring::N,балдаҡ,prsten
455,Band::N,таҫма,pásek
456,Kamm::N,тараҡ,hřeben
457,Spiegel::N,көзгө,zrcadlo
458,Riemen::N,ҡайыш,řemen
459,Schnur::N,бау,šňůra
460,Leine::N,бау,vodítko
461,Decke::N,одеяд,pokrývka
462,Decke::N,одеяд,přikrývka
463,Kissen::N,мендәр,polštář
464,Tuch::N,яулыҡ,šátek
465,Handtuch::N,таҫтамал,ručník
466,Kraft::N,көс,síla
467,Stärke::N,көс,síla
468,Gesundheit::N,һаулыҡ,zdraví
469,Krankheit::N,сир,nemoc
470,Krankheit::N,сир,choroba
471,Krankheit::N,ауырыу,nemoc
472,Krankheit::N,ауырыу,choroba
473,Schmerz::N,һыҙлау,bolest
474,Schmerz::N,әрнеү,bolest
475,Wunde::N,йәрәхәт,rána
476,Fieber::N,тапма,horečka
477,Fieber::N,биҙгәк,horečka
478,Arznei::N,дарыу,lék
479,Brücke::N,күпер,most
480,Brunnen::N,ҡоҙоҡ,studna
481,Weide::N,көтөүлек,pastva
482,Weide::N,көтөүлек,pastvina
483,Pfad::N,һуҡмаҡ,pěšina
484,Weg::N,юл,cesta
485,Straße::N,урам,silnice
486,Dorf::N,ауыл,vesnice
487,Stadt::N,ҡала,město
488,Brief::N,хат,dopis
489,Buch::N,китап,kniha
490,Buch::N,кенәгә,kniha
491,Buchstabe::N,хәреф,písmeno
492,Zeitung::N,гәзит,noviny
493,Leben::N,йәшәү,život
494,Tod::N,үлем,smrt
495,Grab::N,ҡәбер,hrob
496,Kirche::N,сиркәү,kostel
497,Sünde::N,гөнаһ,hřích
498,Gott::N,алла,bůh
499,Gott::N,хоҙай,bůh
500,Arbeiter::N,эшсе,dělník
501,Arbeiter::N,эшсе,pracovník
502,Chef::N,башлыҡ,šéf
503,Chef::N,башлыҡ,vedoucí
504,Meister::N,оҫта,mistr
505,Arzt::N,врач,lékař
506,Lehrer::N,уҡытыусы,učitel
507,Geld::N,аҡса,peníze
508,Geschäft::N,эш,obchod
509,Laden::N,магазин,krám
510,Preis::N,хаҡ,cena
511,Ware::N,тауар,zboží
512,Nutzen::N,файҙа,užitek
513,Reichtum::N,байлыҡ,bohatství
514,Welt::N,донъя,svět
515,Land::N,ил,země
516,Staat::N,дәүләт,stát
517,König::N,король,král
518,Macht::N,власть,moc
519,Macht::N,власть,mocnost
520,Grenze::N,сик,hranice
521,Krieg::N,һуғыш,válka
522,Feind::N,йылан,nepřítel
523,Gewalt::N,көслөк,násilí
524,Kampf::N,көрәш,boj
525,Bogen[Waffe]::N,йәйә,luk
526,Pfeil::N,уҡ,šíp
527,Gewehr::N,мылтыҡ,puška
528,Gewehr::N,мылтыҡ,ručnice
529,Fehler::N,хата,chyba
530,Lüge::N,ялған,lež
531,Schaden::N,зыян,škoda
532,Schaden::N,зарар,škoda
533,Unglück::N,ҡаза,neštěstí
534,Schuld::N,ғәйеп,vina
535,Alter::N,йәш,věk
536,Schluss::N,һуң,konec
537,Schluss::N,аҙаҡ,konec
538,Zeit::N,мәл,čas
539,Zeit::N,заман,čas
540,Tag::N,көн,den
541,Morgen::N,иртә,ráno
542,Morgen::N,иртә,jitro
543,Morgen::N,иртәнсәк,ráno
544,Morgen::N,иртәнсәк,jitro
545,Mittag::N,төш,poledne
546,Abend::N,кис,večer
547,Nacht::N,төн,noc
548,Woche::N,аҙна,týden
549,Monat::N,ай,měsíc
550,Jahr::N,йыл,rok
551,Frühling::N,яҙ,jaro
552,Sommer::N,йәй,léto
553,Herbst::N,көз,podzim
554,Winter::N,ҡыш,zima
555,Januar::N,ғинуар,leden
556,Februar::N,февраль,únor
557,März::N,март,březen
558,April::N,апрель,duben
559,Mai::N,май,květen
560,Juni::N,июнь,červen
561,Juli::N,июль,červenec
562,August::N,август,srpen
563,September::N,сентябрь,září
564,Oktober::N,октябрь,říjen
565,November::N,ноябрь,listopad
566,Dezember::N,декабрь,prosinec
567,Montag::N,дүшәмбе,pondělí
568,Montag::N,дүшәмбе,pondělek
569,Dienstag::N,шишәмбе,úterý
570,Mittwoch::N,шаршамбы,středa
571,Donnerstag::N,кесаҙна,čtvrtek
572,Freitag::N,йома,pátek
573,Samstag::N,шәмбе,sobota
574,Sonntag::N,йәкшәмбе,neděle
575,groß::A,ҙур,velký
576,klein::A,бәләкәс,malý
577,lang::A,оҙон,dlouhý
578,kurz::A,ҡыҫҡа,krátký
579,breit::A,киң,široký
580,schmal::A,тар,úzký
581,dicht::A,йыш,hustý
582,dicht::A,ҡуйы,hustý
583,dick[Gegenstand]::A,ҡалын,tlustý
584,dünn::A,йоҡа,tenký
585,dünn::A,нәҙек,tenký
586,fein::A,нескә,jemný
587,fest::A,ныҡ,pevný
588,flach::A,яҫы,plochý
589,flach::A,яҫы,placatý
590,flach::A,ялпаҡ,plochý
591,flach::A,ялпаҡ,placatý
592,glatt::A,шыма,hladký
593,hart::A,ҡаты,tvrdý
594,weich::A,йомшаҡ,měkký
595,rund::A,түңәрәк,kulatý
596,rund::A,түңәрәк,okrouhlý
597,spitz::A,осло түбәле,špičatý
598,scharf::A,үткер,ostrý
599,stumpf::A,утмәҫ,tupý
600,schwer::A,ауыр,těžký
601,schön::A,матур,pěkný
602,schön::A,матур,krásný
603,heiß::A,эҫе,horký
604,warm::A,йылы,teplý
605,kalt::A,һыуыҡ,studený
606,kühl::A,һалҡынса,chladný
607,frisch::A,һалҡынса,svěží
608,feucht::A,еүеш,vlhký
609,feucht::A,дымлы,vlhký
610,nass::A,еүеш,mokrý
611,trocken::A,кипкән,suchý
612,voll::A,тулы,plný
613,leer::A,буш,prázdný
614,offen::A,асыҡ,otevřený
615,geschlossen::A,ябыҡ,zavřený
616,sauber::A,таҙа,čistý
617,schmutzig::A,бысраҡ,špinavý
618,roh::A,сей,syrový
619,reif::A,өлгөрғән,zralý
620,lecker::A,тәмле,chutný
621,süß::A,тямле,sladký
622,süß::A,тәм-том,sladký
623,bitter::A,әсе,hořký
624,sauer::A,әсе,kyselý
625,hell::A,яҡты,světlý
626,dunkel::A,ҡараңғы,temný
627,schwarz::A,ҡара,černý
628,weiß::A,аҡ,bílý
629,rot::A,матур,rudý
630,rot::A,матур,červený
631,rot::A,һылыу,rudý
632,rot::A,һылыу,červený
633,rot::A,сибәр,rudý
634,rot::A,сибәр,červený
635,gelb::A,һары,žlutý
636,blau::A,күк,modrý
637,grün::A,йәшел,zelený
638,grau::A,буҙ,šedý
639,grau::A,буҙ,šedivý
640,bunt::A,сыбар,pestrý
641,bunt::A,ала-ҡола,pestrý
642,billig::A,арзан,levný
643,billig::A,арзан,laciný
644,teuer::A,ҡыйбатлы,drahý
645,wertvoll::A,ҡиммәтле,cenný
646,blind::A,һуҡыр,slepý
647,taub::A,һаңғырау,hluchý
648,kräftig::A,көслө,silný
649,kräftig::A,ҡеүәтле,silný
650,stark::A,көслө,silný
651,stark::A,ҡеүәтле,silný
652,schwach::A,көсһөҙ,slabý
653,fett::A,һимеҙ,tučný
654,fett::A,һимеҙ,tlustý
655,schlank::A,зифа,štíhlý
656,hübsch::A,матур,hezký
657,böse::A,асыулы,zlý
658,dumm::A,иҫәр,hloupý
659,faul::A,иренсәк,líný
660,fleißig::A,тырыш,pilný
661,geizig::A,һаран,lakomý
662,klug::A,аҡыллы,chytrý
663,geschickt::A,оҫта,šikovný
664,lieb::A,яғымлы,milý
665,lustig::A,күңелле,veselý
666,sanft::A,йыуаш,mírný
667,hungrig::A,ас,hladový
668,krank::A,сирле,nemocný
669,krank::A,ауырыу,nemocný
670,nackt::A,яланғас,nahý
671,traurig::A,яманһыу,smutný
672,traurig::A,яманһыу,truchlivý
673,lebendig::A,тере,živý
674,lebendig::A,йәнле,živý
675,gut::A,яҡшы,dobrý
676,schlecht::A,хөрт,špatný
677,schlecht::A,алама,špatný
678,richtig::A,дөрөҫ,pravý
679,richtig::A,дөрөҫ,správný
680,schlimm::A,хөрт,zlý
681,schlimm::A,алама,zlý
682,wahr::A,дөрөҫ,pravdivý
683,alt::A,иҫке,starý
684,alt::A,боронғо,starý
685,neu::A,яңы,nový
686,ehemalig::A,элекке,bývalý
687,alt[Lebewesen]::A,ҡарт,starý
688,jung::A,йәш,mladý
689,arm::A,фәҡир,chudý
690,reich::A,бай,bohatý
691,bekannt::A,таныш,známý
692,berühmt::A,атаҡлы,slavný
693,berühmt::A,данлыҡлы,slavný
694,fremd::A,ят,cizí
695,fremd::A,сит,cizí
696,verschieden::A,төрлө,různý
697,verschieden::A,төрлө,rozličný
698,nah::A,яҡын,blízký
699,fern::A,алыҫ,daleký
700,fern::A,йыраҡ,daleký
701,linker::A,һул,levý
702,rechter::A,уң,pravý
703,anderer::A,бутән,jiný
704,erster::A,тәүге,první
705,zweiter::A,икенсе,druhý
706,dritter::A,өсөнсө,třetí
707,letzter::A,һуңғы,poslední
708,allein::ADV,бер үҙе,sám
709,allein::ADV,яңғыҙ,sám
710,auf einmal::ADV,бер юлы,najednou
711,zusammen::ADV,бергә,spolu
712,zusammen::ADV,бергә,dohromady
713,lange::ADV,оҙаҡ,dlouho
714,plötzlich::ADV,ҡапыл,vtom
715,plötzlich::ADV,ҡапыл,náhle
716,sofort::ADV,шунда уҡ,hned
717,sofort::ADV,шунда уҡ,ihned
718,später::ADV,һуңыраҡ,později
719,jetzt::ADV,хәҙер,teď
720,jetzt::ADV,хәҙер,nyní
721,heute::ADV,бөгөн,dnes
722,heute::ADV,бөгөн,dneska
723,morgen::ADV,иртәгә,zítra
724,bald::ADV,тиҙҙән,brzo
725,dann::ADV,һуңынан,pak
726,dann::ADV,һуңынан,potom
727,gestern::ADV,кисә,včera
728,einst::ADV,ҡасандыр,kdysi
729,einst::ADV,бер баҡыт,kdysi
730,damals::ADV,ул саҡта,tehdy
731,damals::ADV,ул саҡта,tenkrát
732,danach::ADV,һуңынан,podle toho
733,vorher::ADV,элек,dříve
734,vorher::ADV,элек,napřed
735,zuerst::ADV,башта,nejprve
736,zuerst::ADV,башта,nejdříve
737,einmal::ADV,бер,jednou
738,manchmal::ADV,ҡайһы берҙә,někdy
739,oft::ADV,йыш,často
740,immer::ADV,һәр ҡасан,vždy
741,immer::ADV,һәр ҡасан,stále
742,niemals::ADV,бер ҡасан да,nikdy
743,niemals::ADV,бер ваҡытта ла,nikdy
744,hier::ADV,бында,zde
745,hier::ADV,бында,tady
746,hierhin::ADV,бында,sem
747,von hier::ADV,бынан,odtud
748,von hier::ADV,ошонан,odtud
749,dort::ADV,шунда,tam
750,dort::ADV,тегендә,tam
751,dorthin::ADV,шунда,tam
752,dorthin::ADV,тегеләй,tam
753,geradeaus::ADV,тура,rovně
754,vorwärts::ADV,алға,kupředu
755,rückwärts::ADV,кирегә,zpět
756,zurück::ADV,кирегә,zpět
757,zurück::ADV,кирегә,nazpět
758,unten::ADV,түбәндә,dole
759,hinab::ADV,түбәнгә,dolů
760,oben::ADV,юғарыла,nahoře
761,oben::ADV,юғарыла,navrchu
762,hinauf::ADV,юғарыға,nahoru
763,überall::ADV,бөтә урында,všude
764,nicht::ADV,тугел,ne
765,ein wenig::ADV,аҙ,trochu
766,kaum::ADV,көскә,sotva
767,kaum::ADV,саҡ-саҡ,sotva
768,sehr::ADV,ифат,velmi
769,sehr::ADV,ифат,velice
770,so::ADV,шулай,tak
771,so::ADV,шулай,takto
772,noch::ADV,йәнә,ještě
773,nur::ADV,бары,jen
774,nur::ADV,бары,jenom
