,Concept_ID,sah,ru
59,Leber::N,быар,печень
60,Atem::N,тыын,дух
61,Atem::N,тыын,дыхание
62,Hunger::N,аас,голод
63,Träne::N,харах уута,слеза
64,Geschmack::N,амтан,вкус
65,Geruch::N,сыт,запах
66,Schlaf::N,утуйуу,сон
67,Traum::N,түүл,сновидение
68,Himmel::N,халлаан,небо
69,Sonne::N,күн,солнце
70,Mond::N,ый,луна
71,Stern::N,сулус,звезда
72,Luft::N,салгын,воздух
73,Wind::N,тыал,ветер
74,Welle::N,долгун,волна
75,Welle::N,балхаан,волна
76,Wasser::N,уу,вода
77,Stein::N,таас,камень
78,Boden::N,сир,почва
79,Erde::N,буор,земля
80,Staub::N,быыл,пыль
81,Rauch::N,буруо,дым
82,Funke::N,кыым,искра
83,Feuer::N,уот,огонь
84,Licht::N,уот,свет
85,Schatten::N,күлүк,тень
86,Wetter::N,күн-дьыл,погода
87,Nebel::N,туман,туман
88,Wolke::N,былыт,облако
89,Regen::N,самыыр,дождь
90,Schnee::N,хаар,снег
91,Eis::N,муус,лед
92,Frost::N,тымныы,мороз
93,Kälte::N,тымныы,холод
94,Hitze::N,куйаас,жара
95,Raureif::N,кырыа,иней
96,Regenbogen::N,кустук,радуга
97,Donner::N,этиҥ,гром
98,Strömung::N,сүүрүк,течение
99,Tropfen::N,таммах,капля
100,Tropfen::N,хааппыла,капля
101,Schaum::N,күүгэн,пена
102,Schmutz::N,кир,грязь
103,See::N,күөл,озеро
104,Sumpf::N,бадараан,топь
105,Moor::N,дьэбэрэ,болото
106,Wiese::N,ходуһа,луг
107,Wald::N,ойуур,лес
108,Hügel::N,булгунньах,холм
109,Anhöhe::N,үрдэл,возвышенность
110,Berg::N,хайа,гора
111,Gipfel::N,чыпчаал,вершина
112,Höhle::N,хайа_хаспаҕа,пещера
113,Höhle::N,көҥүс,пещера
114,Abhang::N,эниэ,склон
115,Quelle::N,дьүүктэ,источник
116,Bach::N,үрүйэ,ручей
117,Fluss::N,өрүс,река
118,Ufer::N,биэрэк,берег
119,Küste::N,кытыл,побережье
120,Festland::N,кураанах сир,суша
121,Meer::N,муора,море
122,Bucht::N,хомо,бухта
123,Bucht::N,бухта,бухта
124,Insel::N,арыы,остров
125,Blume::N,сибэкки,цветок
126,Gras::N,от,трава
127,Wurzel::N,силис,корень
128,Baum::N,мас,дерево
129,Stamm::N,умнас,ствол
130,Rinde::N,хатырык,кора
131,Ast::N,мутук,сук
132,Zweig::N,лабаа,ветвь
133,Blatt::N,сэбирдэх,лист
134,Birke::N,хатыҥ,береза
135,Kiefer[Baum]::N,бэс,сосна
136,Weide[Baum]::N,үөт,ива
137,Weide[Baum]::N,талах,ива
138,Tanne::N,харыйа,ель
139,Horn::N,муос,рог
140,Feder::N,куорсун,перо
141,Fell::N,тирии,шкура
142,Flügel::N,кынат,крыло
143,Klaue::N,тыҥырах,коготь
144,Kralle::N,баппаҕай,лапа
145,Schwanz::N,кутурук,хвост
146,Ei::N,сымыыт,яйцо
147,Nest::N,уйа,гнездо
148,Bau::N,хороон,нора
149,Tier::N,кыыл,животное
150,Tier::N,харамай,животное
151,Herde::N,үөр,стадо
152,Kuh::N,ынах,корова
153,Bulle::N,оҕус,бык
154,Pferd::N,сылгы,лошадь
155,Schaf::N,овца,овца
156,Schwein::N,сибиинньэ,свинья
157,Hund::N,ыт,собака
158,Katze::N,куоска,кошка
159,Bär::N,эһэ,медведь
160,Eichhörnchen::N,тииҥ,белка
161,Elch::N,тайах,лось
162,Fuchs::N,саһыл,лиса
163,Hase::N,куобах,заяц
164,Maus::N,кутуйах,мышь
165,Wolf::N,бөрө,волк
166,Vogel::N,көтөр,птица
167,Schwarm::N,бөлөх,стая
168,Huhn::N,куурусса,курица
169,Hahn::N,бөтүүк,петух
170,Gans::N,хаас,гусь
171,Adler::N,хотой,орел
172,Ente::N,кус,утка
173,Eule::N,мэкчиргэ,сова
174,Kranich::N,туруйа,журавль
175,Krähe::N,тураах,ворона
176,Kuckuck::N,кэҕэ,кукушка
177,Schwan::N,куба,лебедь
178,Fisch::N,балык,рыба
179,Barsch::N,алыһар,окунь
180,Hecht::N,сордон,щука
181,Schlange[Tier]::N,моҕой,змея
182,Schlange[Tier]::N,эриэн үөн,змея
183,Wurm::N,үөн,червяк
184,Spinne::N,ооҕуй,паук
185,Ameise::N,кымырдаҕас,муравей
186,Laus::N,быт,вошь
187,Mücke::N,кумаар,комар
188,Fliege::N,сахсырҕа,муха
189,Schmetterling::N,лыах,бабочка
190,Schmetterling::N,үрүмэччи,бабочка
191,Beere::N,отон,ягода
192,Apfel::N,яблоко,яблоко
193,Pilz::N,тэллэй,гриб
194,Zwiebel::N,луук,луковица
195,Saat::N,сиэмэ,семя
196,Korn::N,сиэмэ,зерно
197,Heu::N,от,сено
198,Schale::N,хах,шелуха
199,Grube::N,дьаама,яма
200,Falle::N,сохсо,ловушка
201,Schlinge::N,уктаа,силок
202,Spur::N,суол,след
203,Asche::N,күл,зола
204,Asche::N,күл,пепел
205,Dreck::N,бадараан,грязь
206,Eisen::N,тимир,железо
207,Gold::N,көмүс,золото
208,Gold::N,кыһыл көмүс,золото
209,Silber::N,көмүс,серебро
210,Silber::N,үрүҥ көмүс,серебро
211,Kohle::N,чох,уголь
212,Glas::N,өстүөкүлэ,стекло
213,Lehm::N,туой,глина
214,Sand::N,кумах,песок
215,Mensch::N,киһи,человек
216,Mann::N,эр,мужчина
217,Frau::N,дьахтар,женщина
218,Kind::N,оҕо,ребенок
219,Junge::N,уол,мальчик
220,Mädchen::N,кыыс оҕо,девочка
221,Familie::N,кэргэн,семья
222,Großvater::N,эһэ,дедушка
223,Großmutter::N,эбэ,бабушка
224,Eltern::N,аҕа-ийэ,родители
225,Vater::N,аҕа,отец
226,Mutter::N,ийэ,мать
227,Sohn::N,уол,сын
228,Tochter::N,кыыс,дочь
229,Bruder::N,убай,брат
230,Bruder::N,быраат,брат
231,Schwester::N,аҕас,сестра
232,Schwester::N,балыс,сестра
233,Onkel::N,таай,дядя
234,Onkel::N,абаҕа,дядя
235,Tante::N,эдьиий,тетя
236,Ehemann::N,эр,муж
237,Ehefrau::N,ойох,жена
238,Freude::N,үөрүү,радость
239,Gelächter::N,күлүү,смех
240,Glück::N,дьол,счастье
241,Glück::N,соргу,счастье
242,Kummer::N,кутурҕан,горе
243,Wunsch::N,баҕарыы,желание
244,Lust::N,баҕа,влечение
245,Geist::N,тыын,дух
246,Gedanke::N,санаа,мысль
247,Gedächtnis::N,өй,память
248,Verstand::N,өй,ум
249,Sinn::N,суолта,смысл
250,Grund::N,төрүөт,повод
251,Wahrheit::N,кырдьык,правда
252,Gespräch::N,бэсиэдэ,беседа
253,Gespräch::N,кэпсэтии,беседа
254,Märchen::N,остуоруйа,сказка
255,Erzählung::N,кэпсээн,рассказ
256,Nachricht::N,биллэриллии,сообщение
257,Neuigkeit::N,сонун,новость
258,Name::N,аат,имя
259,Rätsel::N,таабырын,загадка
260,Rede::N,этии,речь
261,Sprache::N,тыл,язык
262,Stimme::N,куолас,голос
263,Wort::N,тыл,слово
264,Zeichen::N,бэлиэ,знак
265,Ruf::N,ыҥырыы,зов
266,Lärm::N,айдаан,шум
267,Laut::N,тыас,звук
268,Ton::N,дорҕоон,звучание
269,Lied::N,ырыа,песня
270,Ruhe::N,уу чуумпу,покой
271,Leute::N,дьон,люди
272,Volk::N,дьон,народ
273,Volk::N,норуот,народ
274,Arbeit::N,үлэ,работа
275,Gast::N,ыалдьыт,гость
276,Geschenk::N,бэлэх,подарок
277,Spiel::N,оонньуу,игра
278,Gesellschaft::N,общество,общество
279,Hilfe::N,көмө,помощь
280,Freund::N,доҕор,друг
281,Kamerad::N,атас,приятель
282,Angelegenheit::N,дьыала,дело
283,Anzahl::N,ахсаан,количество
284,Art::N,биис,вид
285,Stück::N,кырбас,кусок
286,Teil::N,ирээт,часть
287,Hälfte::N,аҥар,половина
288,Kreis::N,төгүрүк,круг
289,Kreis::N,төгүрүмтэ,круг
290,Kreuz::N,кириэс,крест
291,Linie::N,сурааһын,линия
292,Strich::N,сурааһын,черта
293,Abstand::N,арыт,промежуток
294,Entfernung::N,ыраах,расстояние
295,Gegend::N,сир,местность
296,Platz::N,арыт,пространство
297,Ort::N,сир,место
298,Seite::N,өрүт,сторона
299,Seite::N,сирэй,сторона
300,Mitte::N,орто,середина
301,Gegenstand::N,предмет,предмет
302,Sache::N,мал,вещь
303,Rand::N,кытыы,край
304,Rand::N,ойоҕос,край
305,Kante::N,кырыы,ребро
306,Ecke::N,муннук,угол
307,Spitze::N,чыпчаал,кончик
308,Ende::N,төбө,конец
309,Loch::N,тэһэҕэс,дыра
310,Loch::N,дьөлөҕөс,дыра
311,Winkel::N,муннук,угол
312,Muster::N,оһуор,узор
313,Größe::N,кээмэй,размер
314,Länge::N,уста,длина
315,Höhe::N,үрдүк,высота
316,Gewicht::N,ыйааһын,вес
317,Menge::N,ахсаан,количество
318,Haufen::N,чөмчөх,куча
319,Reihe::N,кэккэ,ряд
320,Boot::N,оҥочо,лодка
321,Ruder::N,эрдии,весло
322,Schlitten::N,сыарҕа,сани
323,Ski::N,хайыһар,лыжа
324,Lagerfeuer::N,кутаа,костер
325,Last::N,ыарахан,тяжесть
326,Gang::N,хаамыы,ход
327,Schritt::N,хардыы,шаг
328,Norden::N,хоту,север
329,Süden::N,соҕуруу,юг
330,Westen::N,арҕаа,запад
331,Osten::N,илин,восток
332,Holz::N,мас,древесина
333,Brett::N,дуоска,доска
334,Brett::N,хаптаһын,доска
335,Platte::N,билиитэ,плита
336,Stütze::N,тулааһын,подпорка
337,Stange::N,ураҕас,жердь
338,Stock::N,мас,палка
339,Stock::N,баалкы,палка
340,Stab::N,ураҕас,шест
341,Rohr::N,турба,труба
342,Haus::N,дьиэ,дом
343,Heim::N,дьиэ,дом
344,Ofen::N,оһох,печь
345,Fußboden::N,муоста,пол
346,Tisch::N,остуол,стол
347,Stuhl::N,устуул,стул
348,Wiege::N,биһик,колыбель
349,Bett::N,кырабаат,постель
350,Regal::N,долбуур,полка
351,Kiste::N,дьааһык,ящик
352,Fenster::N,түннүк,окно
353,Tür::N,аан,дверь
354,Tor::N,аан,ворота
355,Zaun::N,соппулуот,забор
356,Dach::N,кырыыса,крыша
357,Leiter::N,кирилиэс,лестница
358,Besen::N,миинньик,метла
359,Spaten::N,күрдьэх,лопата
360,Schaufel::N,күрдьэх,совок
361,Gabel::N,биилкэ,вилка
362,Löffel::N,луоска,ложка
363,Messer::N,быһах,нож
364,Nagel::N,тоһоҕо,гвоздь
365,Netz::N,илим,сеть
366,Haken::N,көхө,крюк
367,Griff::N,ук,ручка
368,Griff::N,тутаах,ручка
369,Schloss::N,күлүүс,замок
370,Bild::N,хартыына,картина
371,Figur::N,фигура,фигура
372,Puppe::N,куукула,кукла
373,Beutel::N,мөһөөччук,мешок
374,Bündel::N,баайыы,связка
375,Tasche::N,суумка,сумка
376,Eimer::N,биэдэрэ,ведро
377,Deckel::N,хаппах,крышка
378,Geschirr::N,иһит,посуда
379,Sack::N,куул,мешок
380,Tasse::N,сэлиэнэй,чашка
381,Topf::N,көстүрүүҥкэ,кастрюля
382,Kessel::N,хочуол,котел
383,Essen::N,аһылык,еда
384,Nahrung::N,ас,пища
385,Speise::N,аһылык,блюдо
386,Speise::N,аһылык,кушанье
387,Fleisch::N,эт,мясо
388,Getreide::N,злактар,хлеб
389,Brei::N,хааһы,каша
390,Brot::N,килиэп,хлеб
391,Scheibe::N,куһуок,ломоть
392,Fett::N,сыа,жир
393,Butter::N,арыы,масло
394,Öl::N,арыы,масло
395,Salz::N,туус,соль
396,Suppe::N,мин,суп
397,Honig::N,мүөт,мед
398,Milch::N,үүт,молоко
399,Tee::N,чэй,чай
400,Leder::N,тирии,кожа
401,Wolle::N,түү,шерсть
402,Stoff::N,таҥас,ткань
403,Nadel::N,иннэ,игла
404,Faden::N,сап,нитка
405,Knopf::N,тимэх,пуговица
406,Knoten::N,түмүк,узел
407,Farbe::N,кырааска,краска
408,Kleidung::N,таҥас,одежда
409,Hemd::N,ырбаахы,рубашка
410,Kragen::N,саҕа,воротник
411,Ärmel::N,сиэх,рукав
412,Hose::N,ыстаан,брюки
413,Hose::N,бүрүүкэ,брюки
414,Gürtel::N,кур,пояс
415,Mütze::N,бэргэһэ,шапка
416,Schuh::N,бачыыҥка,ботинок
417,Stiefel::N,саппыкы,сапог
418,Ring::N,биһилэх,кольцо
419,Band::N,лиэнтэ,лента
420,Kamm::N,тараах,расческа
421,Spiegel::N,сиэркилэ,зеркало
422,Riemen::N,кур,ремень
423,Schnur::N,быа,веревка
424,Leine::N,тэһиин,поводок
425,Decke::N,суорҕан,одеяло
426,Kissen::N,сыттык,подушка
427,Tuch::N,былаат,платок
428,Handtuch::N,соттор,полотенце
429,Kraft::N,сыра,сила
430,Stärke::N,күүс,крепость
431,Gesundheit::N,доруобуйа,здоровье
432,Krankheit::N,ыарыы,болезнь
433,Schmerz::N,ыарыы,боль
434,Wunde::N,баас,рана
435,Fieber::N,түрүлгэн,лихорадка
436,Fieber::N,түрүлгэн,температура
437,Fieber::N,лихорадка,лихорадка
438,Fieber::N,лихорадка,температура
439,Fieber::N,температура,лихорадка
440,Fieber::N,температура,температура
441,Arznei::N,эмп,лекарство
442,Brücke::N,күргэ,мост
443,Brunnen::N,холуодьас,колодец
444,Weide::N,мэччирэҥ,пастбище
445,Pfad::N,ыллык,тропа
446,Weg::N,суол,путь
447,Weg::N,суол,дорога
448,Straße::N,суол,улица
449,Straße::N,суол,дорога
450,Dorf::N,дэриэбинэ,деревня
451,Stadt::N,куорат,город
452,Brief::N,сурук,письмо
453,Buch::N,кинигэ,книга
454,Buchstabe::N,буква,буква
455,Zeitung::N,хаһыат,газета
456,Leben::N,тыын,жизнь
457,Tod::N,өлүү,смерть
458,Grab::N,иин,могила
459,Kirche::N,таҥара дьиэтэ,церковь
460,Sünde::N,айыы,грех
461,Gott::N,тангара,бог
462,Arbeiter::N,үлэһит,рабочий
463,Chef::N,баһылык,начальник
464,Chef::N,начальник,начальник
465,Meister::N,уус,мастер
466,Meister::N,маастар,мастер
467,Arzt::N,врач,врач
468,Lehrer::N,учуутал,учитель
469,Geld::N,харчы,деньги
470,Geschäft::N,идэ,занятие
471,Laden::N,маҕаһыын,магазин
472,Preis::N,сыана,цена
473,Ware::N,табаар,товар
474,Nutzen::N,туһа,выгода
475,Reichtum::N,баай,богатство
476,Welt::N,аан дойду,мир
477,Land::N,дойду,страна
478,Staat::N,государство,государство
479,König::N,король,король
480,Macht::N,былаас,власть
481,Grenze::N,кыраныысса,граница
482,Krieg::N,сэрии,война
483,Feind::N,өстөөх,враг
484,Gewalt::N,күүһүлээһин,насилие
485,Kampf::N,охсуһуу,борьба
486,Bogen[Waffe]::N,ох,лук
487,Pfeil::N,ох,стрела
488,Gewehr::N,саа,ружье
489,Fehler::N,сыыһа,ошибка
490,Lüge::N,сымыйа,ложь
491,Schaden::N,хоромньу,вред
492,Unglück::N,алдьархай,беда
493,Schuld::N,буруй,вина
494,Alter::N,саас,возраст
495,Schluss::N,тиһэх,окончание
496,Zeit::N,бириэмэ,время
497,Tag::N,күн,день
498,Morgen::N,сарсыарда,утро
499,Mittag::N,күн ортото,полдень
500,Abend::N,киэһэ,вечер
501,Nacht::N,түүн,ночь
502,Woche::N,нэдиэлэ,неделя
503,Monat::N,ый,месяц
504,Jahr::N,сыл,год
505,Jahr::N,дьыл,год
506,Frühling::N,саас,весна
507,Sommer::N,сайын,лето
508,Herbst::N,күһүн,осень
509,Winter::N,кыһын,зима
510,Januar::N,тохсунньу,январь
511,Februar::N,олунньу,февраль
512,März::N,кулун тутар,март
513,April::N,муус устар ый,апрель
514,Mai::N,ыам ыйа,май
515,Juni::N,бэс ыйа,июнь
516,Juli::N,от ыйа,июль
517,August::N,атырдьах ыйа,август
518,September::N,балаҕан ыйа,сентябрь
519,Oktober::N,алтынньы,октябрь
520,November::N,сэтинньи,ноябрь
521,Dezember::N,ахсынньы,декабрь
522,Montag::N,бэнидиэнньик,понедельник
523,Dienstag::N,оптуорунньук,вторник
524,Mittwoch::N,сэрэдэ,среда
525,Donnerstag::N,чэппиэр,четверг
526,Freitag::N,бээтинсэ,пятница
527,Samstag::N,субуота,суббота
528,Sonntag::N,баскыһыанньа,воскресенье
529,groß::A,бөдөҥ,большой
530,groß::A,улахан,большой
531,klein::A,кыр,маленький
532,lang::A,уһун,длинный
533,kurz::A,кылгас,короткий
534,breit::A,кэтит,широкий
535,schmal::A,кыараҕас,узкий
536,dicht::A,хойуу,густой
537,dick[Gegenstand]::A,суон,толстый
538,dick[Gegenstand]::A,хойуу,толстый
539,dünn::A,чараас,тонкий
540,fein::A,бытархай,тонкий
541,fein::A,синньигес,тонкий
542,fest::A,бөҕө,крепкий
543,fest::A,кытаанах,крепкий
544,flach::A,хаптаҕай,плоский
545,glatt::A,кылааккай,гладкий
546,hart::A,хатан,твердый
547,hart::A,кытаанах,твердый
548,weich::A,сымнаҕас,мягкий
549,rund::A,төгүрүк,круглый
550,spitz::A,сытыы,остроконечный
551,spitz::A,уһуктаах,остроконечный
552,scharf::A,сытыы,острый
553,stumpf::A,сыппах,тупой
554,schwer::A,ыарахан,тяжелый
555,schön::A,кыраһыабай,красивый
556,heiß::A,итии,жаркий
557,warm::A,ичигэс,теплый
558,kalt::A,тымныы,холодный
559,kühl::A,сөрүүн,прохладный
560,frisch::A,ыраас,свежий
561,frisch::A,сөрүүн,свежий
562,frisch::A,тымныы,свежий
563,feucht::A,сииктээх,влажный
564,nass::A,инчэҕэй,мокрый
565,trocken::A,кураан,сухой
566,voll::A,толору,полный
567,voll::A,толору,наполненный
568,leer::A,иччитэх,пустой
569,offen::A,аһаҕас,открытый
570,geschlossen::A,бүтэй,закрытый
571,sauber::A,сэбэр,чистый
572,schmutzig::A,кирдээх,грязный
573,roh::A,сиикэй,сырой
574,reif::A,буспут,зрелый
575,reif::A,сиппит-хоппут,зрелый
576,lecker::A,минньигэс,вкусный
577,süß::A,минньигэс,сладкий
578,bitter::A,аһыы,горький
579,sauer::A,аһыы,кислый
580,hell::A,сырдык,светлый
581,dunkel::A,хараҥа,темный
582,schwarz::A,хара,черный
583,weiß::A,үрүҥ,белый
584,weiß::A,маҥан,белый
585,rot::A,кыһыл,красный
586,gelb::A,саһархай,желтый
587,blau::A,күөх,синий
588,grün::A,күөх,зеленый
589,grün::A,от күөҕэ,зеленый
590,grau::A,сиэрэй,серый
591,bunt::A,эриэн,пестрый
592,billig::A,чэпчэки,дешевый
593,teuer::A,сыаналаах,дорогой
594,wertvoll::A,сыаналаах,ценный
595,blind::A,хараҕа суох,слепой
596,taub::A,дьүлэй,глухой
597,kräftig::A,модун,могучий
598,stark::A,күүстээх,сильный
599,schwach::A,мөлтөх,слабый
600,fett::A,эмис,жирный
601,schlank::A,дьылҕан,стройный
602,schlank::A,дьыпсаҕай,стройный
603,hübsch::A,олус кэрэ,прелестный
604,hübsch::A,көрүөхтэн үчүгэй,прелестный
605,böse::A,өһүөннээх,злой
606,dumm::A,акаары,глупый
607,faul::A,нэс,ленивый
608,fleißig::A,кыһамньылаах,прилежный
609,geizig::A,иҥсэлээх,жадный
610,klug::A,өйдөөх,умный
611,geschickt::A,наһаа дьоҕурдаах,искусный
612,lieb::A,тапталлаах,милый
613,lustig::A,көрдөөх,веселый
614,sanft::A,намчы,нежный
615,sanft::A,сымнаҕас,нежный
616,hungrig::A,аччык,голодный
617,krank::A,ыалдьар,больной
618,nackt::A,сыгынньах,голый
619,traurig::A,санаарҕабыллаах,грустный
620,lebendig::A,тыыннаах,живой
621,gut::A,үтүө,хороший
622,gut::A,үчүгэй,хороший
623,schlecht::A,куһаҕан,плохой
624,richtig::A,сөп,правильный
625,schlimm::A,сидьиҥ,отвратительный
626,schlimm::A,сидьиҥ,мерзкий
627,schlimm::A,быдьар,отвратительный
628,schlimm::A,быдьар,мерзкий
629,wahr::A,кырдьык,настоящий
630,alt::A,былыргы,старый
631,neu::A,саҥа,новый
632,ehemalig::A,урукку,бывший
633,alt[Lebewesen]::A,кырдьаҕас,пожилой
634,jung::A,эдэр,молодой
635,arm::A,дьадаҥы,бедный
636,reich::A,баай,богатый
637,bekannt::A,билэр,знакомый
638,berühmt::A,аатырбыт,знаменитый
639,fremd::A,атын,чужой
640,verschieden::A,араас,разный
641,nah::A,чугас,близкий
642,fern::A,ыраах,далекий
643,linker::A,хаҥас,левый
644,rechter::A,уҥа,правый
645,anderer::A,атын,другой
646,erster::A,маҥнайгы,первый
647,zweiter::A,иккис,второй
648,dritter::A,үһүс,третий
649,letzter::A,тиһэх,последний
650,allein::ADV,соҕотох,один
651,auf einmal::ADV,биирдэ,сразу
652,zusammen::ADV,холбуу,вместе
653,lange::ADV,уһуннук,долго
654,plötzlich::ADV,эмискэ,вдруг
655,sofort::ADV,тута,тотчас
656,später::ADV,хойут,позже
657,jetzt::ADV,билигин,сейчас
658,heute::ADV,бүгүн,сегодня
659,morgen::ADV,сарсын,завтра
660,bald::ADV,өтөр,скоро
661,dann::ADV,кэнна,потом
662,gestern::ADV,бэҕэһээ,вчера
663,einst::ADV,биир төгүл,однажды
664,einst::ADV,арай биирдэ,однажды
665,damals::ADV,оччоҕо,тогда
666,danach::ADV,аары,затем
667,danach::ADV,ол кэнниттэн,затем
668,vorher::ADV,урут,раньше
669,zuerst::ADV,маҥнай,сперва
670,einmal::ADV,биирдэ,раз
671,manchmal::ADV,арыт,иногда
672,oft::ADV,чаастатык,часто
673,immer::ADV,мэлдьи,всегда
674,niemals::ADV,хаһан да,никогда
675,hier::ADV,маныаха,здесь
676,hierhin::ADV,бэттэх,сюда
677,von hier::ADV,мантан,отсюда
678,dort::ADV,онно,там
679,dorthin::ADV,онно,туда
680,geradeaus::ADV,быһа,прямо
681,geradeaus::ADV,быһаччы,прямо
682,vorwärts::ADV,инники,вперед
683,rückwärts::ADV,төттөру,назад
684,zurück::ADV,төттөрү,обратно
685,unten::ADV,аллара,внизу
686,hinab::ADV,аллара,вниз
687,oben::ADV,үөһэ,наверху
688,hinauf::ADV,өрө,вверх
689,hinauf::ADV,үөһэ,вверх
690,überall::ADV,бэйдиэ,везде
691,nicht::ADV,буолбатах,не
692,ein wenig::ADV,кыратык,немного
693,kaum::ADV,нэһиилэ,едва
694,sehr::ADV,бэрт,очень
695,sehr::ADV,наһаа,очень
696,so::ADV,оччо,так
697,so::ADV,оннук,так
698,noch::ADV,өссө,еще
699,nur::ADV,эрэ,только
700,nur::ADV,сыччах,только
701,schon::ADV,бэлиэр,уже
702,wieder::ADV,эмиэ,опять
703,vergebens::ADV,таак,напрасно
704,vor::PRP,иннигэр,перед
705,hinter::PRP,кэлин,за
706,hinter::PRP,кэлин,позади
707,unter::PRP,-ҕа,под
708,unter::PRP,оһох түгэҕэ,под
709,durch::PRP,курдары,сквозь
710,neben::PRP,аттыгар,возле
711,zwischen::PRP,ыккардынан,между
712,wegen::PRP,уҥуортан,из-за
713,dies::PRN,ити,это
714,dies::PRN,бу,это
715,das::PRN,били,то
716,alles::PRN,барыта,все
717,ich::PRN,мин,я
718,du::PRN,эн,ты
719,er::PRN,кнни,он
720,wir::PRN,биһиги,мы
721,ihr::PRN,эһиги,вы
722,sie::PRN,кинилэр,они
723,was::FPRN,туох,что
724,wer::FPRN,ким,кто
725,wo::FADV,ханна,где
726,wohin::FADV,ханна,куда
727,wie::FADV,хайдах,как
728,warum::FADV,тоҕо,почему
729,wieviel::FNUM,төһө,сколько
730,eins::NUM,биир,один
731,zwei::NUM,икки,два
732,drei::NUM,үс,три
733,vier::NUM,түөрт,четыре
734,fünf::NUM,биэс,пять
735,sechs::NUM,алта,шесть
736,sieben::NUM,сэттэ,семь
737,acht::NUM,аҕыс,восемь
738,neun::NUM,тоҕус,девять
739,zehn::NUM,уон,десять
740,elf::NUM,уон биир,одиннадцать
741,zwölf::NUM,уон икки,двенадцать
742,zwanzig::NUM,сүүрбэ,двадцать
743,dreißig::NUM,отут,тридцать
744,vierzig::NUM,түөрт уон,сорок
745,fünfzig::NUM,биэс уон,пятьдесят
746,sechzig::NUM,алта уон,шестьдесят
747,siebzig::NUM,сэттэ уон,семьдесят
748,achtzig::NUM,аҕыс уон,восемьдесят
749,neunzig::NUM,тоҕус уонус,девяносто
750,hundert::NUM,сүүс,сто
751,tausend::NUM,тыһыынча,тысяча
752,und::CNJ,да,и
753,und::CNJ,уонна,и
754,und::CNJ,итиэннэ,и
755,oder::CNJ,эбэтэр,или
756,oder::CNJ,эбэтэр,либо
757,stehen::V,тур,стоять
758,sitzen::V,олор,сидеть
759,liegen::V,сыт,лежать
760,hängen::V,санньылый,висеть
761,werden::V,буол,стать
762,passieren::V,буол,случиться
763,beginnen::V,саҕалан,начаться
764,enden::V,бүт,кончиться
765,wechseln::V,уларый,меняться
766,aufgehen[Sonne]::V,ой,взойти
767,untergehen[Sonne]::V,киир,зайти
768,scheinen[Sonne]::V,сырдат,светить
769,donnern::V,эт,греметь
770,wehen::V,үр,дуть
771,strömen::V,кутулун,литься
772,fließen::V,сүүр,течь
773,sich drehen::V,эргий,вращаться
774,schwanken::V,биэтэҥнээ,колебаться
775,schwingen::V,эйэҥнээ,качаться
776,fallen::V,оҕут,падать
777,brennen::V,умай,гореть
778,rauchen::V,буруолаа,дымить
779,regnen::V,самыырдаа,дождить
780,gefrieren::V,тоҥ,замерзнуть
781,tauen::V,ир,таять
782,schmelzen::V,уулун,плавиться
783,trocknen::V,куур,сохнуть
784,sieden::V,оргуй,кипеть
785,faulen::V,сытый,гнить
