,Concept_ID,sv,da
119,Abhang::N,slänt,skråning
120,Abhang::N,sluttning,skrænt
121,Abhang::N,sluttning,skråning
122,Quelle::N,källa,kilde
123,Bach::N,bäck,bæk
124,Fluss::N,älv,flod
125,Fluss::N,flod,flod
126,Ufer::N,strand,bred
127,Küste::N,kust,kyst
128,Festland::N,fastland,fastland
129,Meer::N,hav,hav
130,Bucht::N,vik,bugt
131,Bucht::N,bukt,bugt
132,Insel::N,ö,ø
133,Blume::N,blomma,blomst
134,Blume::N,blomster,blomst
135,Gras::N,gräs,græs
136,Wurzel::N,rot,rod
137,Baum::N,träd,træ
138,Stamm::N,stam,stamme
139,Rinde::N,bark,bark
140,Ast::N,gren,gren
141,Zweig::N,kvist,kvist
142,Blatt::N,löv,blad
143,Blatt::N,blad,blad
144,Birke::N,björk,birk
145,Kiefer[Baum]::N,tall,fyrretræ
146,Weide[Baum]::N,pil,piletræ
147,Weide[Baum]::N,vide,piletræ
148,Tanne::N,gran,gran
149,Horn::N,horn,horn
150,Feder::N,fjäder,fjer
151,Fell::N,fäll,skind
152,Fell::N,skinn,skind
153,Flügel::N,vinge,vinge
154,Klaue::N,klöv,klov
155,Kralle::N,klo,klo
156,Schwanz::N,svans,hale
157,Schwanz::N,stjärt,hale
158,Ei::N,ägg,æg
159,Nest::N,rede,rede
160,Nest::N,näste,rede
161,Bau::N,bo,bo
162,Tier::N,djur,dyr
163,Herde::N,flock,flok
164,Kuh::N,ko,ko
165,Bulle::N,tjur,tyr
166,Pferd::N,häst,hest
167,Schaf::N,får,får
168,Schwein::N,svin,gris
169,Hund::N,hund,hund
170,Katze::N,katt,kat
171,Bär::N,björn,bjørn
172,Eichhörnchen::N,ekorre,egern
173,Elch::N,älg,elg
174,Fuchs::N,räv,ræv
175,Hase::N,hare,hare
176,Maus::N,mus,mus
177,Wolf::N,varg,ulv
178,Vogel::N,fågel,fugl
179,Schwarm::N,svärm,sværm
180,Huhn::N,höns,høne
181,Hahn::N,tupp,hane
182,Gans::N,gås,gås
183,Adler::N,örn,ørn
184,Ente::N,anka,and
185,Eule::N,uggla,ugle
186,Kranich::N,trana,trane
187,Krähe::N,kråka,krage
188,Kuckuck::N,gök,gøg
189,Schwan::N,svan,svane
190,Fisch::N,fisk,fisk
191,Barsch::N,abborre,aborre
192,Hecht::N,gädda,gedde
193,Schlange[Tier]::N,orm,slange
194,Wurm::N,mask,orm
195,Spinne::N,spindel,edderkop
196,Ameise::N,myra,myre
197,Laus::N,lus,lus
198,Mücke::N,mygga,myg
199,Fliege::N,fluga,flue
200,Schmetterling::N,fjäril,sommerfugl
201,Beere::N,bär,bær
202,Apfel::N,äpple,æble
203,Pilz::N,svamp,svamp
204,Zwiebel::N,lök,løg
205,Saat::N,sådd,sæd
206,Korn::N,korn,korn
207,Heu::N,hö,hø
208,Schale::N,skal,skræl
209,Grube::N,grop,grav
210,Falle::N,fälla,fælde
211,Schlinge::N,snara,snare
212,Spur::N,spår,spor
213,Asche::N,aska,aske
214,Dreck::N,lort,snavs
215,Eisen::N,järn,jern
216,Gold::N,guld,guld
217,Silber::N,silver,sølv
218,Kohle::N,kol,kul
219,Glas::N,glas,glas
220,Lehm::N,lera,ler
221,Sand::N,sand,sand
222,Mensch::N,människa,mennesge
223,Mann::N,man,mand
224,Frau::N,kvinna,kvinde
225,Kind::N,barn,barn
226,Junge::N,pojke,dreng
227,Mädchen::N,flicka,pige
228,Familie::N,familj,familie
229,Großvater::N,morfar,bedstefar
230,Großmutter::N,farmor,bedstemor
231,Eltern::N,föräldrar,forældre
232,Vater::N,far,far
233,Mutter::N,mor,mor
234,Sohn::N,son,søn
235,Tochter::N,dotter,datter
236,Bruder::N,bror,bror
237,Schwester::N,syster,søster
238,Onkel::N,morbror,onkel
239,Tante::N,tant,tante
240,Ehemann::N,äkta man,ægtemand
241,Ehefrau::N,hustru,hustru
242,Freude::N,fröjd,glæde
243,Freude::N,glädje,glæde
244,Gelächter::N,åtlöje,latter
245,Glück::N,lycka,lykke
246,Kummer::N,sorg,sorg
247,Wunsch::N,önskan,ønske
248,Lust::N,lust,lyst
249,Geist::N,ande,ånd
250,Gedanke::N,tanke,tanke
251,Gedächtnis::N,minne,hukommelse
252,Verstand::N,förstånd,forstand
253,Sinn::N,mening,mening
254,Sinn::N,mening,betydning
255,Sinn::N,betydelse,mening
256,Sinn::N,betydelse,betydning
257,Grund::N,skäl,grund
258,Grund::N,grund,grund
259,Wahrheit::N,sanning,sandhed
260,Gespräch::N,samtal,samtale
261,Märchen::N,saga,eventyr
262,Erzählung::N,berättelse,fortælling
263,Nachricht::N,meddelande,efterretning
264,Neuigkeit::N,nyhet,nyhed
265,Name::N,namn,navn
266,Rätsel::N,gåta,gåde
267,Rede::N,tal,tale
268,Sprache::N,språk,sprog
269,Stimme::N,stämma,stemme
270,Wort::N,ord,ord
271,Zeichen::N,tecken,tegn
272,Ruf::N,rop,råb
273,Lärm::N,bråk,larm
274,Lärm::N,oväsen,larm
275,Laut::N,ljud,lyd
276,Ton::N,ton,tone
277,Lied::N,sång,sang
278,Ruhe::N,ro,ro
279,Ruhe::N,ro,hvile
280,Ruhe::N,lugn,ro
281,Ruhe::N,lugn,hvile
282,Leute::N,folk,folk
283,Leute::N,folk,mennesker
284,Volk::N,folk,folk
285,Arbeit::N,arbete,arbejde
286,Gast::N,gäst,gæst
287,Geschenk::N,gåva,gave
288,Geschenk::N,present,gave
289,Spiel::N,lek,leg
290,Spiel::N,spel,leg
291,Gesellschaft::N,sällskap,selskab
292,Hilfe::N,hjälp,hjælp
293,Freund::N,vän,ven
294,Kamerad::N,kamrat,kammerat
295,Angelegenheit::N,ärende,sag
296,Angelegenheit::N,ärende,anliggende
297,Angelegenheit::N,angelägenhet,sag
298,Angelegenheit::N,angelägenhet,anliggende
299,Anzahl::N,antal,antal
300,Art::N,art,art
301,Art::N,slag,art
302,Stück::N,stycke,stykke
303,Teil::N,del,del
304,Hälfte::N,halva,halvdel
305,Kreis::N,krets,cirkel
306,Kreis::N,cirkel,cirkel
307,Kreuz::N,kors,kors
308,Kreuz::N,kors,kryds
309,Kreuz::N,kryss,kors
310,Kreuz::N,kryss,kryds
311,Linie::N,linje,linie
312,Strich::N,streck,streg
313,Abstand::N,avstånd,afstand
314,Entfernung::N,avstånd,afstand
315,Gegend::N,trakt,egn
316,Platz::N,plats,plads
317,Ort::N,plats,sted
318,Ort::N,ställe,sted
319,Seite::N,sida,side
320,Mitte::N,mitt,midte
321,Gegenstand::N,föremål,genstand
322,Sache::N,sak,sag
323,Rand::N,rand,rand
324,Kante::N,kant,kant
325,Ecke::N,vrå,hjørne
326,Ecke::N,hörn,hjørne
327,Spitze::N,spets,spids
328,Ende::N,ända,ende
329,Loch::N,hål,hul
330,Winkel::N,vinkel,vinkel
331,Muster::N,mönster,mønster
332,Größe::N,storlek,størrelse
333,Länge::N,längd,længde
334,Höhe::N,höjd,højde
335,Gewicht::N,tyngd,vægt
336,Menge::N,mängd,mængde
337,Haufen::N,hög,bunke
338,Reihe::N,rad,række
339,Boot::N,båt,båd
340,Ruder::N,åra,åre
341,Schlitten::N,släde,kælk
342,Schlitten::N,släde,slæde
343,Ski::N,skida,ski
344,Lagerfeuer::N,lägereld,lejrbål
345,Last::N,last,last
346,Last::N,last,byrde
347,Last::N,börda,last
348,Last::N,börda,byrde
349,Gang::N,gång,gang
350,Schritt::N,steg,skridt
351,Norden::N,norr,nord
352,Süden::N,söder,syd
353,Westen::N,väster,vest
354,Osten::N,öster,øst
355,Holz::N,trä,træ
356,Brett::N,bräda,bræt
357,Platte::N,platta,plade
358,Stütze::N,stöd,støtte
359,Stütze::N,stötta,støtte
360,Stange::N,stång,stang
361,Stock::N,käpp,stok
362,Stock::N,pinne,stok
363,Stab::N,stav,stav
364,Rohr::N,rör,rør
365,Haus::N,hus,hus
366,Heim::N,hem,hjem
367,Ofen::N,ugn,ovn
368,Fußboden::N,golv,gulv
369,Tisch::N,bord,bord
370,Stuhl::N,stol,stol
371,Wiege::N,vagga,vugge
372,Bett::N,säng,seng
373,Regal::N,hylla,reol
374,Kiste::N,låda,kasse
375,Fenster::N,fönster,vindue
376,Tür::N,dörr,dør
377,Tor::N,port,port
378,Zaun::N,staket,stakit
379,Zaun::N,stängsel,stakit
380,Dach::N,tak,tag
381,Leiter::N,stege,stige
382,Besen::N,kvast,kost
383,Spaten::N,spade,spade
384,Schaufel::N,skovel,skovl
385,Schaufel::N,skyffel,skovl
386,Gabel::N,gaffel,gaffel
387,Löffel::N,sked,ske
388,Messer::N,kniv,kniv
389,Nagel::N,spik,søm
390,Netz::N,nät,net
391,Haken::N,krok,krog
392,Griff::N,tag,tag
393,Griff::N,tag,håndtag
394,Griff::N,handtag,tag
395,Griff::N,handtag,håndtag
396,Schloss::N,las,lås
397,Bild::N,bild,billede
398,Figur::N,figur,figur
399,Puppe::N,docka,dukke
400,Beutel::N,påse,pose
401,Bündel::N,bunt,bylt
402,Bündel::N,bunt,bundt
403,Bündel::N,knippa,bylt
404,Bündel::N,knippa,bundt
405,Tasche::N,väska,taske
406,Eimer::N,hink,spand
407,Eimer::N,ämbar,spand
408,Deckel::N,lock,låg
409,Geschirr::N,servis,husgeråd
410,Geschirr::N,porslin,husgeråd
411,Sack::N,säck,sæk
412,Tasse::N,kopp,kop
413,Topf::N,gryta,gryde
414,Topf::N,kastrull,gryde
415,Kessel::N,kittel,kedel
416,Essen::N,mål,måltid
417,Nahrung::N,näring,mad
418,Nahrung::N,näring,næring
419,Speise::N,maträtt,ret
420,Fleisch::N,kött,kød
421,Getreide::N,säd,korn
422,Getreide::N,spannmål,korn
423,Brei::N,gröt,grød
424,Brot::N,bröd,brød
425,Scheibe::N,skiva,skive
426,Fett::N,fett,fedt
427,Butter::N,smör,smør
428,Öl::N,olja,olie
429,Salz::N,salt,salt
430,Suppe::N,soppa,suppe
431,Honig::N,honung,honning
432,Milch::N,mjölk,mælk
433,Tee::N,te,te
434,Leder::N,läder,skind
435,Wolle::N,ull,uld
436,Wolle::N,ylle,uld
437,Stoff::N,tyg,stof
438,Stoff::N,stoff,stof
439,Nadel::N,nål,nål
440,Faden::N,tråd,tråd
441,Knopf::N,knapp,knap
442,Knoten::N,knut,knude
443,Farbe::N,färg,farve
444,Kleidung::N,klädsel,påklædning
445,Hemd::N,skjorta,skjorte
446,Kragen::N,krage,krave
447,Ärmel::N,ärm,ærme
448,Hose::N,byxor,bukser
449,Gürtel::N,bälte,bælte
450,Mütze::N,mössa,hue
451,Schuh::N,sko,sko
452,Stiefel::N,stövel,støvle
453,Ring::N,ring,ring
454,Band::N,band,bånd
455,Kamm::N,kam,kam
456,Spiegel::N,spegel,spejl
457,Riemen::N,rem,rem
458,Schnur::N,snöre,snor
459,Leine::N,lina,snor
460,Decke::N,täcke,tæppe
461,Kissen::N,dyna,pude
462,Kissen::N,kudde,pude
463,Tuch::N,sjal,sjaltørklæde
464,Handtuch::N,handduk,håndklæde
465,Kraft::N,kraft,kraft
466,Stärke::N,styrka,styrke
467,Gesundheit::N,hälsa,sundhed
468,Krankheit::N,sjukdom,sygdom
469,Schmerz::N,smärta,smerte
470,Wunde::N,sår,sår
471,Fieber::N,feber,feber
472,Arznei::N,medicin,medicin
473,Arznei::N,medicin,lægemiddel
474,Arznei::N,läkemedel,medicin
475,Arznei::N,läkemedel,lægemiddel
476,Brücke::N,bro,bro
477,Brunnen::N,brunn,brønd
478,Weide::N,bete,græsgang
479,Pfad::N,stig,sti
480,Weg::N,väg,vej
481,Straße::N,gata,gade
482,Dorf::N,by,landsby
483,Stadt::N,stad,by
484,Brief::N,brev,brev
485,Buch::N,bok,bog
486,Buchstabe::N,bokstav,bogstav
487,Zeitung::N,tidning,avis
488,Leben::N,liv,liv
489,Tod::N,död,død
490,Grab::N,grav,grav
491,Kirche::N,kyrka,kirke
492,Sünde::N,synd,synd
493,Gott::N,gud,gud
494,Arbeiter::N,arbetare,arbejder
495,Chef::N,chef,chef
496,Meister::N,mästare,mester
497,Arzt::N,läkare,læge
498,Lehrer::N,lärare,lærer
499,Geld::N,pengar,penge
500,Geschäft::N,rörelse,forretning
501,Laden::N,affär,butik
502,Laden::N,affär,forretning
503,Preis::N,pris,pris
504,Ware::N,vara,vare
505,Nutzen::N,gagn,nytte
506,Nutzen::N,nytta,nytte
507,Reichtum::N,rikedom,rigdom
508,Welt::N,värld,verden
509,Land::N,land,land
510,Staat::N,stat,stat
511,König::N,kung,konge
512,König::N,konung,konge
513,Macht::N,makt,magt
514,Grenze::N,gräns,grænse
515,Krieg::N,krig,krig
516,Feind::N,fiende,fjende
517,Gewalt::N,våld,vold
518,Kampf::N,kamp,kamp
519,Kampf::N,strid,kamp
520,Bogen[Waffe]::N,båge,bue
521,Pfeil::N,pil,pil
522,Gewehr::N,gevär,gevær
523,Fehler::N,fel,fejl
524,Lüge::N,lögn,løgn
525,Schaden::N,skada,skade
526,Unglück::N,otur,uheld
527,Unglück::N,otur,ulykke
528,Unglück::N,olycka,uheld
529,Unglück::N,olycka,ulykke
530,Schuld::N,skuld,skyld
531,Alter::N,ålder,alder
532,Schluss::N,slut,slut
533,Schluss::N,slut,slutning
534,Zeit::N,tid,tid
535,Tag::N,dag,dag
536,Morgen::N,morgon,morgen
537,Mittag::N,middag,middag
538,Abend::N,kväll,aften
539,Nacht::N,natt,nat
540,Woche::N,vecka,uge
541,Monat::N,månad,måned
542,Jahr::N,år,år
543,Frühling::N,vår,forår
544,Sommer::N,sommar,sommer
545,Herbst::N,höst,efterår
546,Winter::N,vinter,vinter
547,Januar::N,januari,januar
548,Februar::N,februari,februar
549,März::N,mars,marts
550,April::N,april,april
551,Mai::N,maj,maj
552,Juni::N,juni,juni
553,Juli::N,juli,juli
554,August::N,augusti,august
555,September::N,september,september
556,Oktober::N,oktober,oktober
557,November::N,november,november
558,Dezember::N,december,december
559,Montag::N,måndag,mandag
560,Dienstag::N,tisdag,tirsdag
561,Mittwoch::N,onsdag,onsdag
562,Donnerstag::N,torsdag,torsdag
563,Freitag::N,fredag,fredag
564,Samstag::N,lördag,lørdag
565,Sonntag::N,söndag,søndag
566,groß::A,stor,stor
567,klein::A,liten,lille
568,lang::A,lång,lang
569,kurz::A,kort,kort
570,breit::A,bred,bred
571,schmal::A,smal,smal
572,dicht::A,tät,tæt
573,dick[Gegenstand]::A,tjock,tyk
574,dünn::A,tunn,tynd
575,fein::A,fin,fin
576,fest::A,fast,fast
577,flach::A,platt,flad
578,glatt::A,glatt,glat
579,hart::A,hård,hård
580,weich::A,mjuk,blød
581,rund::A,rund,rund
582,spitz::A,toppig,spids
583,spitz::A,spetsig,spids
584,scharf::A,vass,skarp
585,scharf::A,skarp,skarp
586,stumpf::A,slö,sløv
587,stumpf::A,slö,stump
588,schwer::A,tung,tung
589,schön::A,skön,skøn
590,schön::A,vacker,skøn
591,heiß::A,het,hed
592,warm::A,varm,varm
593,kalt::A,kall,kold
594,kühl::A,sval,kølig
595,kühl::A,kylig,kølig
596,frisch::A,färsk,frisk
597,feucht::A,fuktig,fugtig
598,nass::A,våt,våd
599,trocken::A,torr,tør
600,voll::A,full,fuld
601,leer::A,tom,tom
602,offen::A,öppen,åben
603,geschlossen::A,stängd,lukket
604,sauber::A,ren,ren
605,schmutzig::A,snuskig,snavset
606,roh::A,rå,rå
607,reif::A,mogen,moden
608,lecker::A,läcker,lækker
609,süß::A,söt,sød
610,bitter::A,besk,bitter
611,bitter::A,bitter,bitter
612,sauer::A,sur,sur
613,hell::A,ljus,lys
614,dunkel::A,mörk,mørk
615,schwarz::A,svart,sort
616,weiß::A,vit,hvid
617,rot::A,röd,rød
618,gelb::A,gul,gul
619,blau::A,blå,blå
620,grün::A,grön,grøn
621,grau::A,grå,grå
622,bunt::A,brokig,broget
623,billig::A,billig,billig
624,teuer::A,dyr,dyr
625,wertvoll::A,värdefull,værdifuld
626,blind::A,blind,blind
627,taub::A,döv,døv
628,kräftig::A,kraftig,kraftig
629,stark::A,stark,stærk
630,schwach::A,svag,svag
631,fett::A,fet,fed
632,schlank::A,slank,slank
633,hübsch::A,snygg,køn
634,hübsch::A,vacker,køn
635,böse::A,ond,ond
636,böse::A,ond,slem
637,böse::A,elak,ond
638,böse::A,elak,slem
639,dumm::A,dum,dum
640,faul::A,lat,doven
641,fleißig::A,flitig,flittig
642,geizig::A,snål,gerrig
643,geizig::A,girig,gerrig
644,klug::A,klok,klog
645,geschickt::A,händig,dygtig
646,geschickt::A,händig,behændig
647,geschickt::A,skicklig,dygtig
648,geschickt::A,skicklig,behændig
649,lieb::A,kär,rar
650,lieb::A,snäll,rar
651,lustig::A,rolig,lystig
652,lustig::A,lustig,lystig
653,sanft::A,mild,blid
654,hungrig::A,hungrig,sulten
655,krank::A,sjuk,syg
656,nackt::A,naken,nøgen
657,traurig::A,ledsen,bedrøvet
658,traurig::A,sorgsen,bedrøvet
659,lebendig::A,levande,levende
660,gut::A,bra,god
661,schlecht::A,dålig,dårlig
662,richtig::A,riktig,rigtig
663,schlimm::A,illa,slem
664,wahr::A,sann,sand
665,alt::A,gammal,gammel
666,neu::A,ny,ny
667,ehemalig::A,forn,forhenværende
668,ehemalig::A,tidigare,forhenværende
669,alt[Lebewesen]::A,gammal,gammel
670,jung::A,ung,ung
671,arm::A,fattig,fattig
672,reich::A,rik,rig
673,bekannt::A,känd,kendt
674,berühmt::A,berömd,berømt
675,fremd::A,främmande,fremmed
676,verschieden::A,åtskillig,forskellig
677,nah::A,nära,nær
678,fern::A,fjärran,fjern
679,linker::A,vänster,venstre
680,rechter::A,höger,højre
681,anderer::A,annan,anden
682,erster::A,första,første
683,zweiter::A,andra,anden
684,dritter::A,tredje,tredje
685,letzter::A,sist,sidste
686,allein::ADV,allena,alene
687,auf einmal::ADV,på en gång,på én gang
688,zusammen::ADV,tillsammans,sammen
689,lange::ADV,länge,længe
690,plötzlich::ADV,plötsligt,pludselig
691,sofort::ADV,strax,straks
692,sofort::ADV,genast,straks
693,später::ADV,senare,senere
694,jetzt::ADV,nu,nu
695,heute::ADV,i dag,i dag
696,morgen::ADV,i morgon,i morgen
697,bald::ADV,snart,snart
698,dann::ADV,då,så
699,gestern::ADV,i går,i går
700,einst::ADV,en gång,engang
701,damals::ADV,då,dengang
702,damals::ADV,den gången,dengang
703,danach::ADV,därefter,derefter
704,vorher::ADV,före,før
705,vorher::ADV,före,forud
706,vorher::ADV,förut,før
707,vorher::ADV,förut,forud
708,zuerst::ADV,först,først
709,einmal::ADV,en gång,en gang
710,manchmal::ADV,ibland,sommetider
711,oft::ADV,ofta,ofte
712,immer::ADV,alltid,altid
713,niemals::ADV,aldrig,aldrig
714,hier::ADV,här,her
715,hierhin::ADV,hit,hid
716,hierhin::ADV,hit,herhen
717,von hier::ADV,härifrån,herfra
718,dort::ADV,där,der
719,dorthin::ADV,dit,derhen
720,geradeaus::ADV,rätt fram,lige ud
721,vorwärts::ADV,fram,fremad
722,vorwärts::ADV,framåt,fremad
723,rückwärts::ADV,baklänges,baglæns
724,zurück::ADV,tillbaka,tilbage
725,unten::ADV,nere,nede
726,unten::ADV,nere,forneden
727,unten::ADV,nedanför,nede
728,unten::ADV,nedanför,forneden
729,hinab::ADV,ned,ned
730,hinab::ADV,ned,nedad
731,hinab::ADV,nedåt,ned
732,hinab::ADV,nedåt,nedad
733,oben::ADV,ovan,oppe
734,oben::ADV,ovan,ovenpå
735,oben::ADV,ovanpå,oppe
736,oben::ADV,ovanpå,ovenpå
737,hinauf::ADV,upp,op
738,hinauf::ADV,upp,opad
739,hinauf::ADV,uppåt,op
740,hinauf::ADV,uppåt,opad
741,überall::ADV,överallt,overalt
742,nicht::ADV,ej,ikke
743,nicht::ADV,inte,ikke
744,ein wenig::ADV,litet,lidt
745,kaum::ADV,knappt,knap
746,kaum::ADV,knappt,næppe
747,kaum::ADV,knappast,knap
748,kaum::ADV,knappast,næppe
749,sehr::ADV,mycket,meget
750,so::ADV,så,så
751,noch::ADV,än,endnu
752,noch::ADV,ännu,endnu
753,nur::ADV,bara,kun
754,nur::ADV,bara,bare
755,nur::ADV,endast,kun
756,nur::ADV,endast,bare
757,schon::ADV,redan,alt
758,schon::ADV,redan,allerede
759,wieder::ADV,åter,igen
760,vergebens::ADV,förgäves,forgæves
761,vor::PRP,utanför,foran
762,vor::PRP,utanför,uden for
763,hinter::PRP,bakom,bag
764,hinter::PRP,bakom,bagved
765,unter::PRP,under,under
766,durch::PRP,genom,gennem
767,durch::PRP,genom,igennem
768,durch::PRP,igenom,gennem
769,durch::PRP,igenom,igennem
770,neben::PRP,bredvid,ved siden af
771,neben::PRP,vid sidan av,ved siden af
772,zwischen::PRP,mellan,mellem
773,wegen::PRP,på grund av,på grund af
774,dies::PRN,detta,dette
775,das::PRN,det,det
776,alles::PRN,allt,alt
777,ich::PRN,jag,jeg
778,du::PRN,du,du
779,er::PRN,han,han
780,wir::PRN,vi,vi
781,ihr::PRN,ni,I
782,sie::PRN,de,de
783,was::FPRN,vad,hvad
784,wer::FPRN,vem,hvem
785,wo::FADV,var,hvor
786,wohin::FADV,vart,hvorhen
787,wie::FADV,hur,hvordan
788,warum::FADV,varför,hvorfor
789,wieviel::FNUM,hur mycket,hvor meget
790,eins::NUM,en,én
791,eins::NUM,ett,én
792,zwei::NUM,två,to
793,drei::NUM,tre,tre
794,vier::NUM,fyra,fire
795,fünf::NUM,fem,fem
796,sechs::NUM,sex,seks
797,sieben::NUM,sju,syv
798,acht::NUM,åtta,otte
799,neun::NUM,nio,ni
800,zehn::NUM,tio,ti
801,elf::NUM,elva,elleve
802,zwölf::NUM,tolv,tolv
803,zwanzig::NUM,tjugo,tyve
804,dreißig::NUM,trettio,tredive
805,vierzig::NUM,fyrtio,fyrre
806,vierzig::NUM,fyrtio,fyrretyve
807,fünfzig::NUM,femtio,halvtreds
808,sechzig::NUM,sextio,tres
809,siebzig::NUM,sjuttio,halvfjerds
810,achtzig::NUM,åttio,firs
811,neunzig::NUM,nittio,halvfems
812,hundert::NUM,hundra,hundrede
813,tausend::NUM,tusen,tusind
814,und::CNJ,och,og
815,oder::CNJ,eller,eller
816,stehen::V,stå,stå
817,sitzen::V,sitta,sidde
818,liegen::V,ligga,ligge
819,hängen::V,hänga,hænge
820,werden::V,bli,blive
821,passieren::V,ske,ske
822,passieren::V,ske,hænde
823,passieren::V,hända,ske
824,passieren::V,hända,hænde
825,beginnen::V,börja,begynde
826,enden::V,ända,ende
827,wechseln::V,växla,veksle
828,aufgehen[Sonne]::V,gå upp,gå op
829,aufgehen[Sonne]::V,gå upp,stå op
830,untergehen[Sonne]::V,gå ned,gå ned
831,scheinen[Sonne]::V,skina,skinne
832,donnern::V,dundra,tordne
833,wehen::V,blåsa,blæse
834,strömen::V,forsa,strømme
835,strömen::V,strömma,strømme
836,fließen::V,flyta,flyde
837,sich drehen::V,snurra,dreje sig
838,schwanken::V,vackla,vakle
839,schwingen::V,svinga,svinge
840,fallen::V,falla,falde
841,brennen::V,brinna,brænde
842,rauchen::V,ryka,ryge
843,regnen::V,regna,regne
844,gefrieren::V,frysa,fryse
845,tauen::V,töa,tø
846,schmelzen::V,smälta,smelte
847,trocknen::V,torka,tørre
848,sieden::V,koka,koge
849,sieden::V,sjuda,koge
850,faulen::V,ruttna,rådne
851,verfaulen::V,ruttna,rådne
852,reißen::V,brista,briste
853,versinken::V,sjunka,synke
854,versinken::V,sjunka,synke ned
855,vergehen::V,förgå,forløbe
856,erscheinen::V,synas,vise sig
857,erscheinen::V,visa sig,vise sig
858,verschwinden::V,försvinna,forsvinde
859,sinken::V,sjunka,synke
860,abnehmen::V,avta,aftage
861,abnehmen::V,minskas,aftage
862,zunehmen::V,tilltaga,tiltage
863,steigen::V,stiga,stige
864,wachsen::V,växa,gro
865,wachsen::V,växa,vokse
866,glänzen::V,glimma,glinse
867,funkeln::V,tindra,tindre
868,funkeln::V,gnistra,tindre
