,Concept_ID,uk,mdf
298,Kamerad::N,товариш,я́лга
299,Angelegenheit::N,справа,тев
300,Anzahl::N,число,лувкс
301,Art::N,рід,вид
302,Stück::N,кусок,пакш
303,Teil::N,частина,часть
304,Teil::N,частина,пялькс
305,Hälfte::N,половина,пяле
306,Kreis::N,круг,шаркс
307,Kreis::N,коло,шаркс
308,Kreuz::N,хрест,крёз
309,Linie::N,лінія,межа
310,Linie::N,лінія,китькс
311,Strich::N,штрих,межа
312,Abstand::N,проміжок,ётка
313,Entfernung::N,відстань,ётка
314,Gegend::N,місцевість,ва́ста
315,Gegend::N,місцевість,перьфпя́ль
316,Platz::N,площа,ва́ста
317,Ort::N,місце,ва́ста
318,Seite::N,сторона,пяле
319,Mitte::N,середина,кучка́
320,Gegenstand::N,предмет,веща
321,Sache::N,річ,тев
322,Sache::N,річ,веща
323,Rand::N,край,пе
324,Kante::N,ребро,и́рдез
325,Ecke::N,ріг,ужа
326,Spitze::N,кінчик,пря
327,Ende::N,кінець,пе
328,Loch::N,діра,варя
329,Winkel::N,куток,ужа
330,Muster::N,узор,сёрма
331,Größe::N,розмір,серь
332,Länge::N,довжина,кува́лма
333,Höhe::N,висота,серь
334,Gewicht::N,вага,сталма
335,Menge::N,кількість,лувкс
336,Haufen::N,купа,мар
337,Reihe::N,ряд,ряд
338,Boot::N,човен,венеж
339,Ruder::N,весло,миле
340,Schlitten::N,сани,ну́рда
341,Ski::N,лижа,сокс
342,Lagerfeuer::N,вогнище,то́лмар
343,Last::N,тягар,канкс
344,Last::N,тягар,сталма
345,Last::N,вантаж,канкс
346,Last::N,вантаж,сталма
347,Gang::N,хід,молема
348,Schritt::N,крок,аськолкс
349,Norden::N,північ,якшама шире
350,Süden::N,південь,ля́мбе ши́ре
351,Westen::N,захід,ши валгома шире
352,Osten::N,схід,шинь стяма шире
353,Holz::N,дрова,вирь
354,Holz::N,дрова,шуфта
355,Brett::N,дошка,лавця
356,Platte::N,плита,плита́
357,Stütze::N,підпірка,неже
358,Stange::N,жердина,олга
359,Stock::N,палиця,байдек
360,Stab::N,палиця,олгоня
361,Rohr::N,труба,турама
362,Haus::N,дім,куд
363,Haus::N,хата,куд
364,Heim::N,житло,куд
365,Ofen::N,піч,пянакуд
366,Fußboden::N,підлога,кия́кс
367,Tisch::N,стіл,шра
368,Tisch::N,стіл,моркш
369,Stuhl::N,стілець,стул
370,Wiege::N,колиска,нюря́м
371,Bett::N,ліжко,ацам
372,Bett::N,постіль,ацам
373,Regal::N,полиця,лавцяланга
374,Kiste::N,ящик,парга
375,Fenster::N,вікно,валмья
376,Tür::N,двері,кенкш
377,Tor::N,ворота,ортат
378,Zaun::N,паркан,перяфкс
379,Zaun::N,огорожа,перяфкс
380,Dach::N,дах,кудпря
381,Leiter::N,драбина,куцема
382,Besen::N,мітла,тяльме
383,Spaten::N,заступ,ка́йме
384,Schaufel::N,совок,ко́поня
385,Schaufel::N,совок,ця́рдом
386,Schaufel::N,лопата,ко́поня
387,Schaufel::N,лопата,ця́рдом
388,Gabel::N,виделка,ця́нгоня
389,Löffel::N,ложка,куцю
390,Messer::N,ніж,пеель
391,Nagel::N,цвях,эска
392,Netz::N,сіть,
393,Haken::N,крюк,кя́чказ
394,Griff::N,ручка,недь
395,Griff::N,ручка,кунда́мка
396,Griff::N,держак,недь
397,Griff::N,держак,кунда́мка
398,Schloss::N,замок,замо́к
399,Bild::N,картина,карти́на
400,Figur::N,фігура,ронга-понда
401,Puppe::N,лялька,ня́ка
402,Beutel::N,мішечок,кяскав
403,Beutel::N,торбинка,кяскав
404,Bündel::N,в’язка,кярьме
405,Tasche::N,сумка,кошяльня
406,Eimer::N,відро,ве́дарка
407,Deckel::N,кришка,тавадкс
408,Deckel::N,кришка,вельхкс
409,Geschirr::N,посуд,кядьге
410,Sack::N,мішок,кяскав
411,Tasse::N,чашка,ша́ваня
412,Topf::N,горщик,кавозь
413,Kessel::N,котел,сргавозь
414,Essen::N,їжа,ярхцама
415,Nahrung::N,харч,ярхцампяль
416,Speise::N,страва,ярхцама
417,Fleisch::N,м’ясо,пал
418,Fleisch::N,м’ясо,сиволь
419,Getreide::N,хліб,сёра
420,Getreide::N,збіжжя,сёра
421,Brei::N,каша,ям
422,Brot::N,хліб,кши
423,Scheibe::N,скибочка,кочам
424,Fett::N,жир,куя́
425,Butter::N,масло,вай
426,Öl::N,олія,вай
427,Salz::N,сіль,сал
428,Suppe::N,суп,шонгарям
429,Suppe::N,суп,коршампяль
430,Honig::N,мед,медь
431,Milch::N,молоко,лофца
432,Tee::N,чай,чай
433,Leder::N,шкіра,кедь
434,Wolle::N,шерсть,пона
435,Stoff::N,тканина,котф
436,Nadel::N,голка,салмокс
437,Faden::N,нитка,сюре
438,Knopf::N,ґудзик,пуня
439,Knoten::N,вузол,сюлма
440,Farbe::N,фарба,архтомбяль
441,Kleidung::N,одяг,щам
442,Kleidung::N,убрання,щам
443,Hemd::N,сорочка,па́нар
444,Kragen::N,комір,сиве
445,Ärmel::N,рукав,ожа
446,Hose::N,брюки,понкст
447,Gürtel::N,пояс,каркс
448,Mütze::N,шапка,вазь
449,Schuh::N,ботинок,башма́к
450,Stiefel::N,чобіт,кя́ме
451,Ring::N,кільце,суркс
452,Band::N,стрічка,керькс
453,Band::N,стрічка,лента
454,Kamm::N,гребінець,сюрьхцем
455,Spiegel::N,дзеркало,ванома
456,Riemen::N,ремінь,шнань каркс
457,Schnur::N,вірьовка,пикс
458,Schnur::N,вірьовка,карькскя
459,Leine::N,шворка,вядьме
460,Decke::N,ковдра,вельхкс
461,Kissen::N,подушка,тоду
462,Tuch::N,хустка,руця́
463,Handtuch::N,рушник,на́рдама
464,Kraft::N,сила,вий
465,Stärke::N,сила,вииши
466,Gesundheit::N,здоров’я,шумбраши́
467,Krankheit::N,хвороба,урма́
468,Krankheit::N,хвороба,сярядема
469,Schmerz::N,біль,маряма
470,Wunde::N,рана,керф
471,Fieber::N,гарячка,маштыкс
472,Arznei::N,ліки,надо́бья
473,Arznei::N,ліки,пъчка́фтома
474,Brücke::N,міст,седь
475,Brunnen::N,колодязь,эши
476,Weide::N,пасовище,ванома васта
477,Pfad::N,стежка,ян
478,Pfad::N,стежка,киня́
479,Weg::N,шлях,ки
480,Weg::N,дорога,ки
481,Straße::N,вулиця,ки
482,Dorf::N,село,веле
483,Stadt::N,місто,ош
484,Brief::N,лист,сёрма
485,Buch::N,книга,книга
486,Buch::N,книжка,книга
487,Buchstabe::N,буква,бу́ква
488,Buchstabe::N,літера,бу́ква
489,Zeitung::N,газета,газе́та
490,Leben::N,життя,эряф
491,Leben::N,життя,эряма
492,Tod::N,смерть,кулома́
493,Grab::N,могила,калма
494,Kirche::N,церква,це́рькав
495,Sünde::N,гріх,пежеть
496,Sünde::N,гріх,муворкс
497,Gott::N,бог,шкай
498,Arbeiter::N,робітник,трудендай
499,Arbeiter::N,робітник,работник
500,Chef::N,хазяїн,азор
501,Chef::N,хазяїн,оцюня
502,Meister::N,умілець,мастяр
503,Arzt::N,лікар,врач
504,Arzt::N,лікар,доктор
505,Lehrer::N,вчитель,учи́тель
506,Geld::N,гроші,ярмакт
507,Geschäft::N,заняття,ладяфкс
508,Geschäft::N,заняття,ладяф тев
509,Laden::N,магазин,ла́вка
510,Laden::N,крамниця,ла́вка
511,Preis::N,ціна,питне
512,Ware::N,товар,миф
513,Ware::N,товар,ра́маф
514,Nutzen::N,вигода,пара
515,Nutzen::N,вигода,лезкс
516,Nutzen::N,користь,пара
517,Nutzen::N,користь,лезкс
518,Reichtum::N,багатство,ко́зяши
519,Welt::N,світ,свет
520,Land::N,країна,мастор
521,Staat::N,держава,государства
522,König::N,король,король
523,Macht::N,влада,азорондама
524,Macht::N,влада,азорксши
525,Grenze::N,кордон,ёткаян
526,Krieg::N,війна,война́
527,Feind::N,ворог,душман
528,Feind::N,ворог,каршек тюри
529,Gewalt::N,насильство,наругама
530,Kampf::N,бій,тюрема́
531,Kampf::N,боротьба,тюрема́
532,Bogen[Waffe]::N,лук,нал
533,Pfeil::N,стріла,нал
534,Gewehr::N,рушниця,винто́вка
535,Gewehr::N,гвинтівка,винто́вка
536,Fehler::N,помилка,эльбядькс
537,Lüge::N,брехня,васькафнема
538,Schaden::N,шкода,зия́н
539,Schaden::N,збиток,зия́н
540,Unglück::N,нещастя,зия́н
541,Schuld::N,провина,муворши
542,Alter::N,вік,эряф кизот
543,Alter::N,вік,эряфонь пинге
544,Alter::N,літа,эряф кизот
545,Alter::N,літа,эряфонь пинге
546,Schluss::N,кінець,пе
547,Zeit::N,час,пинге
548,Tag::N,день,ши
549,Morgen::N,ранок,шобдава
550,Mittag::N,південь,шикучка
551,Abend::N,вечір,иля́дь
552,Nacht::N,ніч,ве
553,Woche::N,тиждень,недя́ля
554,Monat::N,місяць,ков
555,Jahr::N,рік,киза
556,Frühling::N,весна,тунда́
557,Sommer::N,літо,киза
558,Herbst::N,осінь,сёксе
559,Winter::N,зима,тяла
560,Januar::N,січень,кельмеков
561,Februar::N,лютий,уфайков
562,März::N,березень,марайков
563,April::N,квітень,шудиков
564,Mai::N,травень,панжиков
565,Juni::N,червень,лямбеков
566,Juli::N,липень,псиков
567,August::N,серпень,сёроньков
568,September::N,вересень,тюжягов
569,Oktober::N,жовтень,кельмазаков
570,November::N,листопад,эйндамков
571,Dezember::N,грудень,кучкаков
572,Montag::N,понеділок,одговши
573,Dienstag::N,вівторок,ша́вши
574,Mittwoch::N,середа,вержи
575,Donnerstag::N,четвер,шува́ланя
576,Freitag::N,п’ятниця,пя́денця
577,Samstag::N,субота,ёткши
578,Sonntag::N,неділя,таргоши
579,groß::A,великий,оцю
580,klein::A,малий,ёмла
581,klein::A,маленький,ёмла
582,lang::A,довгий,кува́ка
583,kurz::A,короткий,нюрьхкя́ня
584,breit::A,широкий,кели
585,schmal::A,вузький,тяйня
586,dicht::A,густий,сиде
587,dicht::A,густий,туста
588,dick[Gegenstand]::A,товстий,эчке
589,dünn::A,тонкий,шува́ня
590,fein::A,дрібний,шува́ня
591,fest::A,міцний,кеме
592,flach::A,плоский,лапш
593,glatt::A,рівний,вадяв
594,glatt::A,рівний,такор
595,glatt::A,гладенький,вадяв
596,glatt::A,гладенький,такор
597,hart::A,твердий,калгода
598,weich::A,м’який,ляпе
599,rund::A,круглий,кру́глай
600,spitz::A,гострокінцевий,ботаз
601,spitz::A,гострокінцевий,оржа
602,scharf::A,гострий,оржа
603,stumpf::A,тупий,ношка
604,schwer::A,важкий,стака
605,schön::A,вродливий,мазы
606,heiß::A,жаркий,пси
607,heiß::A,гарячий,пси
608,warm::A,теплий,лямбе
609,kalt::A,холодний,кельме
610,kühl::A,прохолодний,эше
611,frisch::A,свіжий,свежай
612,feucht::A,вогкий,летьке
613,nass::A,мокрий,начка
614,trocken::A,сухий,коське
615,voll::A,повний,пяшксе
616,leer::A,пустий,шава
617,offen::A,відкритий,панжада
618,offen::A,відкритий,виде
619,geschlossen::A,закритий,пякстаф
620,geschlossen::A,закритий,сёлгф
621,geschlossen::A,зачинений,пякстаф
622,geschlossen::A,зачинений,сёлгф
623,sauber::A,чистий,ару
624,sauber::A,охайний,ару
625,schmutzig::A,брудний,рда́зу
626,schmutzig::A,брудний,пя́ндра
627,roh::A,сирий,верок
628,reif::A,зрілий,ке́нерьф
629,lecker::A,смачний,танцти
630,süß::A,солодкий,ламбама
631,bitter::A,гіркий,сяпи
632,sauer::A,кислий,шапама
633,hell::A,світлий,валда
634,dunkel::A,темний,шобда
635,schwarz::A,чорний,равжа
636,weiß::A,сивий,акша
637,rot::A,червоний,якстерь
638,gelb::A,жовтий,тюжя́
639,blau::A,синій,сенем
640,grün::A,зелений,пиже
641,grün::A,зелений,сянгяря
642,grau::A,сірий,уле
643,bunt::A,барвистий,сёрмав
644,billig::A,дешевий,у́цез
645,billig::A,дешевий,аф пи́тни
646,teuer::A,дорогий,пи́тни
647,wertvoll::A,цінний,питни
648,blind::A,сліпий,сокор
649,taub::A,глухий,пярав
650,kräftig::A,могутній,пяк вии
651,stark::A,сильний,вии
652,schwach::A,слабкий,лафча
653,fett::A,жирний,куя́
654,fett::A,товстий,куя́
655,schlank::A,тонкий,виде ронга
656,schlank::A,стрункий,виде ронга
657,hübsch::A,чарівний,мазы
658,böse::A,злий,кяжи
659,böse::A,лихий,кяжи
660,dumm::A,дурний,аф ёню
661,dumm::A,дурний,шава пря
662,faul::A,ледачий,нола
663,fleißig::A,старанний,ку́лхцонды
664,geizig::A,скупий,кирьжя
665,geizig::A,скупий,жаднай
666,klug::A,мудрий,ёню
667,klug::A,мудрий,пря́ви
668,klug::A,розумний,ёню
669,klug::A,розумний,пря́ви
670,geschickt::A,умілий,маштозь тиф
671,lieb::A,милий,цебярь
672,lustig::A,веселий,ра́хси
673,sanft::A,лагідний,сетьме
674,hungrig::A,голодний,вача
675,hungrig::A,голодний,вачеда
676,krank::A,слабий,сяряди
677,nackt::A,голий,штада
678,nackt::A,голий,кърхтапа
679,traurig::A,сумний,ла́жнай
680,lebendig::A,живий,эряй
681,gut::A,добрий,пара
682,gut::A,добрий,цебярь
683,schlecht::A,поганий,кальдяв
684,schlecht::A,кепський,кальдяв
685,richtig::A,правильний,виде
686,schlimm::A,бридкий,кальдяв
687,wahr::A,справжній,афкуксонь
688,alt::A,старий,ташта
689,neu::A,новий,од
690,ehemalig::A,колишній,и́нгольдень
691,alt[Lebewesen]::A,старий,сире
692,jung::A,молодий,од
693,arm::A,бідний,а́шу
694,reich::A,багатий,козя
695,bekannt::A,знайомий,содаф
696,berühmt::A,славетний,содавикс
697,fremd::A,чужий,лия
698,fremd::A,чужий,аф содаф
699,verschieden::A,різний,аф фкя ла́цонь
700,nah::A,близький,мала
701,nah::A,близький,аф ичкоздень
702,fern::A,далекий,и́чкоздень
703,fern::A,далекий,куна́рдонь
704,linker::A,лівий,кержи
705,rechter::A,правий,види
706,anderer::A,інакший,лия
707,erster::A,перший,васенце
708,zweiter::A,другий,омбоце
709,dritter::A,третій,колмоце
710,letzter::A,останній,ме́кольце
711,allein::ADV,сам,ськамонза
712,allein::ADV,один,ськамонза
713,auf einmal::ADV,відразу,вихцок
714,zusammen::ADV,разом,марс
715,zusammen::ADV,разом,ма́рса
716,zusammen::ADV,спільно,марс
717,zusammen::ADV,спільно,ма́рса
718,lange::ADV,довго,кува́тьс
719,plötzlich::ADV,раптом,а́пак учт
720,sofort::ADV,зараз,тяникиге
721,später::ADV,пізніше,ме́ле
722,jetzt::ADV,тепер,тяни
723,heute::ADV,сьогодні,тячи
724,morgen::ADV,завтра,ва́нды
725,bald::ADV,незабаром,курок
726,dann::ADV,потім,меле
727,dann::ADV,потім,сяда меле
728,gestern::ADV,вчора,ися́к
729,einst::ADV,колись,весть
730,einst::ADV,колись,мзя́рда-бди
731,damals::ADV,тоді,эста
732,danach::ADV,згодом,меле
733,vorher::ADV,раніше,инголи
734,zuerst::ADV,спершу,ва́сенда
735,zuerst::ADV,спочатку,ва́сенда
736,einmal::ADV,один раз,весть
737,manchmal::ADV,іноді,лия́ста
738,manchmal::ADV,іноді,ко́ста-ко́ста
739,manchmal::ADV,інколи,лия́ста
740,manchmal::ADV,інколи,ко́ста-ко́ста
741,oft::ADV,часто,си́деста
742,immer::ADV,завжди,фалу
743,immer::ADV,завжди,най
744,niemals::ADV,ніколи,аф мзя́рдонга
745,hier::ADV,тут,тяса
746,hierhin::ADV,сюди,сей
747,hierhin::ADV,сюди,тяза
748,von hier::ADV,звідси,тя́ста
749,dort::ADV,там,тоса
750,dorthin::ADV,туди,тов
751,dorthin::ADV,туди,тоза
752,geradeaus::ADV,прямо,ви́деста
753,vorwärts::ADV,вперед,и́нголи
754,rückwärts::ADV,назад,ме́ки
755,zurück::ADV,назад,ме́ки
756,unten::ADV,внизу,ала
757,hinab::ADV,вниз,алу
758,oben::ADV,вгорі,вяре
759,hinauf::ADV,вгору,вяри
760,überall::ADV,скрізь,се́мбе ва́стова
761,nicht::ADV,не,аф
762,ein wenig::ADV,трохи,аф лама
763,ein wenig::ADV,небагато,аф лама
764,kaum::ADV,ледве,а́ньцек
765,sehr::ADV,дуже,пяк
766,so::ADV,так,ста́не
767,noch::ADV,ще,нинге
768,nur::ADV,лише,аньцек
769,nur::ADV,тільки,аньцек
770,schon::ADV,вже,ни
771,wieder::ADV,знову,та́га
772,vergebens::ADV,дарма,стак
773,vor::PRP,перед,инголе
774,hinter::PRP,ззаду,фтала
775,hinter::PRP,ззаду,мельге
776,hinter::PRP,позаду,фтала
777,hinter::PRP,позаду,мельге
778,unter::PRP,під,ала
779,durch::PRP,крізь,пачк
780,neben::PRP,біля,ваксса
781,zwischen::PRP,між,ёткса
782,wegen::PRP,з-за,сюнеда
783,wegen::PRP,через,сюнеда
784,dies::PRN,це,тя
785,das::PRN,то,ся
786,das::PRN,то,тона
787,alles::PRN,все,сембе
788,ich::PRN,я,мон
789,du::PRN,ти,тон
790,er::PRN,він,сон
791,wir::PRN,ми,минь
792,ihr::PRN,ви,тинь
793,sie::PRN,вони,синь
794,was::FPRN,що,мезе
795,wer::FPRN,хто,кие
796,wo::FADV,де,коса
797,wohin::FADV,куди,ков
798,wohin::FADV,куди,коза
799,wie::FADV,як,ко́да
800,warum::FADV,чому,мес
801,wieviel::FNUM,скільки,мзя́ра
802,eins::NUM,один,фкя
803,zwei::NUM,два,кафта
804,drei::NUM,три,колма
805,vier::NUM,чотири,ниле
806,fünf::NUM,п’ять,вете
807,sechs::NUM,шість,кота
808,sieben::NUM,сім,сисем
809,acht::NUM,вісім,кафкса
