,Concept_ID,ja,ml
157,Hahn::N,雄鶏,പൂവൻകോഴി
158,Gans::N,ガチョウ,അരയന്നം
159,Adler::N,鷲,കഴുകൻ
160,Ente::N,鴨,താറാവ്
161,Eule::N,フクロウ,മൂങ്ങ
162,Kranich::N,鶴,കൊക്ക്
163,Krähe::N,烏,കാക്ക
164,Kuckuck::N,郭公,കുയിൽ
165,Schwan::N,白鳥,അരയന്നം
166,Fisch::N,魚,മത്സ്യം
167,Barsch::N,鱸,ഒരിനം മത്സ്യം
168,Hecht::N,川魳,ഒരു മത്സ്യം
169,Schlange[Tier]::N,蛇,പാമ്പ്
170,Wurm::N,虫,വിര
171,Spinne::N,蜘蛛,ചിലന്തി
172,Ameise::N,蟻,ഉറുമ്പ്
173,Laus::N,虱,പേന്
174,Mücke::N,蚊,മശകം
175,Fliege::N,蝿,ഈച്ച
176,Schmetterling::N,蝶,ചിത്രശലഭം
177,Beere::N,漿果,ബെറി
178,Apfel::N,林檎,ആപ്പിൾ
179,Pilz::N,茸,കൂൺ
180,Zwiebel::N,玉葱,സവാള
181,Saat::N,種,വിത്ത്
182,Korn::N,粒,ധാന്യം
183,Heu::N,干し草,വയ്ക്കോൽ
184,Schale::N,皮,തൊലി
185,Grube::N,穴,കുഴി
186,Falle::N,わな,കെണി
187,Schlinge::N,輪,കുടുക്ക്
188,Spur::N,跡,ചുവട്
189,Asche::N,灰,ചാരം
190,Dreck::N,泥,അഴുക്ക്
191,Eisen::N,鉄,ഇരുമ്പ്
192,Gold::N,金,സ്വർണ്ണം
193,Silber::N,銀,വെള്ളി
194,Kohle::N,炭,കൽക്കരി
195,Glas::N,ガラス,ഗ്ലാസ്
196,Lehm::N,ローム,കളിമണ്ണ്
197,Sand::N,砂,മണൽ
198,Mensch::N,人,മനുഷ്യർ
199,Mann::N,男,പുരുഷൻ
200,Mann::N,男性,പുരുഷൻ
201,Frau::N,女,സ്ത്രീ
202,Frau::N,女性,സ്ത്രീ
203,Kind::N,子,കുഞ്ഞ്
204,Kind::N,子供,കുഞ്ഞ്
205,Junge::N,男の子,ആൺകുട്ടി
206,Mädchen::N,女の子,പെൺകുട്ടി
207,Familie::N,家族,കുടുംബം
208,Großvater::N,祖父,അപ്പൂപ്പൻ
209,Großvater::N,おじいさん,അപ്പൂപ്പൻ
210,Großmutter::N,祖母,അമ്മുമ്മ
211,Großmutter::N,おばあさん,അമ്മുമ്മ
212,Eltern::N,親,മാതാപിതാക്കള്
213,Eltern::N,両親,മാതാപിതാക്കള്
214,Vater::N,父,അച്ഛൻ
215,Vater::N,お父さん,അച്ഛൻ
216,Mutter::N,母,അമ്മ
217,Mutter::N,お母さん,അമ്മ
218,Sohn::N,息子,മകൻ
219,Sohn::N,息子さん,മകൻ
220,Tochter::N,娘,മകൾ
221,Tochter::N,お嬢さん,മകൾ
222,Bruder::N,弟,ചേട്ടൻ
223,Bruder::N,弟,അനിയൻ
224,Schwester::N,妹,ചേച്ചി
225,Schwester::N,妹,അനിയത്തി
226,Onkel::N,伯父,അമ്മാവൻ
227,Onkel::N,伯父さん,അമ്മാവൻ
228,Tante::N,叔母,മാമി
229,Tante::N,叔母さん,മാമി
230,Ehemann::N,夫,ഭർത്താവ്
231,Ehemann::N,主人,ഭർത്താവ്
232,Ehefrau::N,妻,ഭാര്യ
233,Ehefrau::N,奥さん,ഭാര്യ
234,Freude::N,喜び,ആഹ്ലാദം
235,Gelächter::N,笑い,ചിരിയുടെ ശബ്ദം
236,Glück::N,幸せ,സന്തോഷം
237,Glück::N,幸せ,സന്തുഷ്ടി
238,Kummer::N,悩み,ശോകം
239,Wunsch::N,希望,ആഗ്രഹം
240,Lust::N,気,ആഗ്രഹം
241,Geist::N,精神,ചുറുചുറുക്ക്
242,Gedanke::N,考え,ചിന്ത
243,Gedächtnis::N,記憶,ഓർമ്മശക്തി
244,Verstand::N,理解力,മനസ്സ്
245,Sinn::N,意味,അർത്ഥം
246,Grund::N,理由,കാരണം
247,Wahrheit::N,真実,സത്യം
248,Gespräch::N,会話,സല്ലാപം
249,Märchen::N,童話,യക്ഷിക്കഥ
250,Erzählung::N,物語,കഥ
251,Nachricht::N,報告,സന്ദേശം
252,Neuigkeit::N,ニュース,വാർത്ത
253,Name::N,名前,പേര്
254,Rätsel::N,謎,പ്രഹേളിക
255,Rede::N,演説,സംസാരം
256,Sprache::N,言語,ഭാഷ
257,Stimme::N,声,സ്വരം
258,Wort::N,言葉,വാക്ക്
259,Zeichen::N,記号,സംജ്ഞ
260,Ruf::N,呼び声,വിളി
261,Lärm::N,騒音,ആരവം
262,Laut::N,音,ശബ്ദം
263,Ton::N,音,സ്വരഭേദം
264,Lied::N,歌,പാട്ട്
265,Ruhe::N,静けさ,നിശ്ചലത
266,Leute::N,人々,ജനങ്ങൾ
267,Volk::N,民族,രാഷ്ടം
268,Arbeit::N,仕事,ജോലി
269,Gast::N,客,അതിലി
270,Geschenk::N,贈り物,സമ്മാനം
271,Spiel::N,遊び,കളി
272,Gesellschaft::N,社会,കൂട്ടായ്മ
273,Hilfe::N,援助,സഹായം
274,Freund::N,友達,സുഹൃത്ത്
275,Kamerad::N,同志,കൂട്ടാളി
276,Angelegenheit::N,件,കാര്യം
277,Anzahl::N,数,എണ്ണം
278,Art::N,種類,തരം
279,Stück::N,部分,കഷണം
280,Teil::N,部分,ഭാഗം
281,Hälfte::N,半分,പകുതി
282,Kreis::N,円,വൃത്തം
283,Kreuz::N,十字,കുരിശടയാളം
284,Linie::N,線,വര
285,Linie::N,線,രേഖ
286,Strich::N,線,പക്ഷാഘാതം
287,Abstand::N,距離,വിടവ്
288,Entfernung::N,距離,അകലം
289,Gegend::N,辺,പ്രദേശം
290,Gegend::N,地域,പ്രദേശം
291,Platz::N,ゆとり,ഇടം
292,Ort::N,所,സ്ഥലം
293,Ort::N,場所,സ്ഥലം
294,Seite::N,横,വശം
295,Mitte::N,真ん中,മധ്യസ്ഥാനം
296,Gegenstand::N,物件,സാധനം
297,Sache::N,物,വസ്തു
298,Rand::N,端,തൊങ്ങൽ
299,Kante::N,縁,അറ്റം
300,Ecke::N,角,മൂല
301,Spitze::N,先頭,അഗ്രം
302,Ende::N,端,അവസാനം
303,Loch::N,穴,ദ്വാരം
304,Winkel::N,片隅,കോൺ
305,Muster::N,模様,ക്രമം
306,Größe::N,大きさ,വലുപ്പം
307,Länge::N,長さ,നീളം
308,Höhe::N,高さ,ഉയരം
309,Gewicht::N,重さ,കട്ടി
310,Menge::N,量,അളവ്
311,Haufen::N,堆積,കൂമ്പാരം
312,Reihe::N,並び,വരി
313,Boot::N,ボート,ബോട്ട്
314,Ruder::N,オール,പങ്കായം
315,Schlitten::N,そり,ഉരുളില്ലാവണ്ടി
316,Ski::N,スキー,ഹിമപാദുകം
317,Lagerfeuer::N,篝火,തീ
318,Last::N,荷物,ഭാരം
319,Gang::N,歩み,നടത്തം
320,Schritt::N,歩,ചുവട്
321,Norden::N,北,വടക്ക്
322,Süden::N,南,തെക്ക്
323,Westen::N,西,പടിഞ്ഞാറ്
324,Osten::N,東,കിഴക്ക്
325,Holz::N,木,തടി
326,Holz::N,木材,തടി
327,Brett::N,板,ബോർഡ്
328,Platte::N,盤,തകിട്
329,Stütze::N,支柱,താങ്ങ്
330,Stange::N,棒,കമ്പ്
331,Stock::N,杖,വടി
332,Stab::N,棒,കുറുവടി
333,Rohr::N,管,കുഴൽ
334,Haus::N,家,വീട്
335,Heim::N,家,വീട്
336,Ofen::N,ストーブ,സ്റ്റൌ
337,Fußboden::N,床,തറ
338,Tisch::N,机,മേശ
339,Stuhl::N,椅子,കസേര
340,Wiege::N,揺籃,തൊട്ടിൽ
341,Bett::N,ベッド,കിടക്ക
342,Regal::N,棚,ഷെൽഫ്
343,Kiste::N,箱,പെട്ടി
344,Fenster::N,窓,ജനൽ
345,Tür::N,戸,വാതിൽ
346,Tür::N,ドア,വാതിൽ
347,Tor::N,門,കവാടം
348,Zaun::N,垣根,വേലി
349,Dach::N,屋根,മേൽക്കുര
350,Leiter::N,梯子,ഏണി
351,Besen::N,ほうき,ചൂല്
352,Spaten::N,スコップ,തൂമ്പ
353,Schaufel::N,シャベル,തൂമ്പ
354,Gabel::N,フォーク,മുൾക്കത്തി
355,Löffel::N,スプーン,സ്പൂൺ
356,Messer::N,ナイフ,കത്തി
357,Nagel::N,釘,ആണി
358,Netz::N,網,വല
359,Haken::N,鉤,കൊളുത്ത്
360,Haken::N,フック,കൊളുത്ത്
361,Griff::N,取っ手,കൈപ്പിടി
362,Schloss::N,錠,പൂട്ട്
363,Bild::N,絵,ചിത്രം
364,Figur::N,像,കണക്ക്
365,Puppe::N,人形,പാവ
366,Beutel::N,袋,ബാഗ്
367,Bündel::N,束,കെട്ട്
368,Bündel::N,包み,കെട്ട്
369,Tasche::N,かばん,ബാഗ്
370,Eimer::N,バケツ,ബക്കറ്റ്
371,Deckel::N,蓋,ഉറ
372,Geschirr::N,食器,പിഞ്ഞാണം
373,Sack::N,袋,ചാക്ക്
374,Tasse::N,カップ,കപ്പ്
375,Topf::N,鍋,പാത്രം
376,Kessel::N,釜,കെറ്റ്ല്
377,Essen::N,食事,ആഹാരസമയം
378,Nahrung::N,食物,ഭക്ഷണം
379,Speise::N,料理,ഡിഷ്
380,Fleisch::N,肉,മാംസം
381,Getreide::N,麦,ചോളം
382,Getreide::N,穀物,ചോളം
383,Brei::N,粥,കഞ്ഞി
384,Brot::N,パン,റോട്ടി
385,Scheibe::N,枚,തുണ്ട്
386,Scheibe::N,切れ,തുണ്ട്
387,Fett::N,脂肪,കൊഴുപ്പ്
388,Butter::N,バター,വെണ്ണ
389,Öl::N,油,എണ്ണ
390,Salz::N,塩,ഉപ്പ്
391,Suppe::N,スープ,സൂപ്പ്
392,Honig::N,蜂蜜,തേൻ
393,Milch::N,牛乳,പാൽ
394,Tee::N,茶,ചായ
395,Tee::N,お茶,ചായ
396,Leder::N,革,തുകൽ
397,Wolle::N,毛糸,കമ്പിളി
398,Stoff::N,布,തുണി
399,Nadel::N,針,സൂചി
400,Faden::N,糸,നൂല്
401,Knopf::N,ボタン,ബട്ടൺ
402,Knoten::N,結び目,കുരുക്ക്
403,Farbe::N,ペンキ,പെയിൻറ്
404,Kleidung::N,衣服,വസ്ത്രങ്ങൾ
405,Hemd::N,シャツ,ഷർട്ട്
406,Kragen::N,襟,കുപ്പായക്കഴുത്ത്
407,Ärmel::N,袖,കുപ്പായക്കൈ
408,Hose::N,ズボン,ട്രൌസർ
409,Gürtel::N,帯,ബെൽറ്റ്
410,Gürtel::N,ベルト,ബെൽറ്റ്
411,Mütze::N,帽子,തൊപ്പി
412,Schuh::N,靴,ഷൂ
413,Stiefel::N,ブーツ,ബൂട്ട്
414,Ring::N,輪,മോതിരം
415,Band::N,リボン,റിബൺ
416,Kamm::N,櫛,ചീപ്പ്
417,Spiegel::N,鏡,കണ്ണാടി
418,Riemen::N,緒,സ്ട്രാപ്പ്
419,Schnur::N,紐,ചരട്
420,Leine::N,綱,കെട്ടാനുള്ള തോൽവാർ
421,Decke::N,掛け布団,പുതപ്പ്
422,Kissen::N,枕,തലയിണ
423,Tuch::N,スカーフ,സ്കാർഫ്
424,Handtuch::N,タオル,തോർത്ത്
425,Kraft::N,力,ശക്തി
426,Stärke::N,強さ,ശക്തി
427,Gesundheit::N,健康,ആരോഗ്യം
428,Krankheit::N,病気,അസുഖം
429,Schmerz::N,痛み,വേദന
430,Wunde::N,傷,മുറിവ്
431,Fieber::N,熱,പനി
432,Arznei::N,薬,മരുന്ന്
433,Brücke::N,橋,പാലം
434,Brunnen::N,井戸,കിണർ
435,Weide::N,牧場,മേച്ചൽ
436,Pfad::N,小路,വഴി
437,Weg::N,道,വഴി
438,Straße::N,街道,റോഡ്
439,Dorf::N,村,ഗ്രാമം
440,Stadt::N,町,നഗരം
441,Stadt::N,都市,നഗരം
442,Brief::N,手紙,കത്ത്
443,Buch::N,本,പുസ്തകം
444,Buchstabe::N,文字,അക്ഷരം
445,Zeitung::N,新聞,വർത്തമാനപത്രം
446,Leben::N,生活,ജീവൻ
447,Tod::N,死,മരണം
448,Grab::N,墓,ശവക്കുഴി
449,Kirche::N,教会,പള്ളി
450,Sünde::N,罪,പാപം
451,Gott::N,神,ദൈവം
452,Arbeiter::N,労働者,ജോലിക്കാരൻ
453,Chef::N,上司,മേധാവി
454,Meister::N,達人,യജമാനൻ
455,Meister::N,マイスター,യജമാനൻ
456,Arzt::N,医者,ഡോക്ടർ
457,Lehrer::N,先生,അധ്യാപകൻ
458,Geld::N,金,പണം
459,Geschäft::N,取り引き,ബിസിനസ്
460,Laden::N,店,കട
461,Preis::N,値段,വില
462,Ware::N,商品,ചരക്ക്
463,Nutzen::N,利益,ലാഭം
464,Reichtum::N,豊かさ,ധനം
465,Welt::N,世界,ലോകം
466,Land::N,国,രാജ്യം
467,Staat::N,国家,രാജ്യം
468,König::N,国王,രാജാവ്
469,Macht::N,権力,അധികാരം
470,Grenze::N,国境,അതിർത്തി
471,Krieg::N,戦争,യുദ്ധം
472,Feind::N,敵,ശത്രു
473,Gewalt::N,暴力,അക്രമം
474,Kampf::N,戦い,പോരാട്ടം
475,Bogen[Waffe]::N,弓,വില്ല്
476,Pfeil::N,矢,അമ്പ്
477,Gewehr::N,銃,തോക്ക്
478,Fehler::N,間違い,പിശക്
479,Lüge::N,嘘,കള്ളം
480,Schaden::N,損害,കേടുപാട്
481,Unglück::N,不幸,ദൌർഭാഗ്യം
482,Schuld::N,罪,തെറ്റ്
483,Alter::N,年,വയസ്സ്
484,Alter::N,年齢,വയസ്സ്
485,Schluss::N,終わり,നിഗമനം
486,Zeit::N,時,സമയം
487,Zeit::N,時間,സമയം
488,Tag::N,日,ദിവസം
489,Morgen::N,朝,പ്രഭാതം
490,Mittag::N,昼,ഉച്ച
491,Abend::N,晩,സായാഹ്നം
492,Abend::N,夕方,സായാഹ്നം
493,Nacht::N,夜,രാത്രി
494,Woche::N,週,ആഴ്ച
495,Monat::N,月,മാസം
496,Jahr::N,年,വർഷം
497,Frühling::N,春,വസന്തം
498,Sommer::N,夏,വേനൽ
499,Herbst::N,秋,ശരത്കാലം
500,Winter::N,冬,ശൈത്യം
501,Januar::N,一月,ജനുവരി
502,Februar::N,二月,ഫെബ്രുവരി
503,März::N,三月,മാർച്ച്
504,April::N,四月,ഏപ്രിൾ മാസം
505,Mai::N,五月,മെയ് മാസം
506,Juni::N,六月,ജൂൺ
507,Juli::N,七月,ജൂലൈ
508,August::N,八月,ആഗസ്റ്റ്
509,September::N,九月,സെപ്തംബർ
510,Oktober::N,十月,ഒക്ടോബർ
511,November::N,十一月,നവംബർ
512,Dezember::N,十二月,ഡിസംബർ
513,Montag::N,月曜日,തിങ്കളാഴ്ച
514,Dienstag::N,火曜日,ചൊവ്വ
515,Mittwoch::N,水曜日,ബുധനാഴ്ച
516,Donnerstag::N,木曜日,വ്യാഴാഴ്ച
517,Freitag::N,金曜日,വെള്ളിയാഴ്ച
518,Samstag::N,土曜日,ശനിയാഴ്ച
519,Sonntag::N,日曜日,ഞായറാഴ്ച
520,groß::A,大きい,വലിയ
521,klein::A,小さい,ചെറിയ
522,lang::A,長い,നീണ്ട
523,kurz::A,短い,ഹ്രസ്വമായ
524,breit::A,広い,വിശാലമായ
525,schmal::A,狭い,ഇടുങ്ങിയ
526,dicht::A,密な,നിബിഡമായ
527,dick[Gegenstand]::A,厚い,തടിച്ച
528,dünn::A,薄い,മെലിഞ്ഞ
529,fein::A,細い,നേർത്ത
530,fest::A,硬い,ഉറപ്പുള്ള
531,flach::A,平らな,പരന്ന
532,glatt::A,滑らかな,മിനുസമുള്ള
533,hart::A,堅い,കട്ടിയുള്ള
534,weich::A,柔らかい,മൃദുവായ
535,rund::A,丸い,വട്ടത്തിലുള്ള
536,spitz::A,尖った,മുനയുള്ള
537,scharf::A,鋭い,മൂർച്ചയുള്ള
538,stumpf::A,鈍い,തുറന്നടിക്കുന്ന
539,schwer::A,重い,ഭാരമുള്ള
540,schön::A,綺麗な,മനോഹരമായ
541,heiß::A,熱い,ചൂടുള്ള
542,warm::A,温かい,ചൂടുള്ള
543,kalt::A,寒い,തണുത്ത
544,kalt::A,冷たい,തണുത്ത
545,kühl::A,涼しい,തണുപ്പുള്ള
546,frisch::A,ひんやりした,ശുദ്ധമായ
547,feucht::A,湿った,ഈറനുള്ള
548,nass::A,濡れた,നനഞ്ഞ
549,trocken::A,乾いた,വരണ്ട
550,voll::A,いっぱいの,നിറയെ
551,leer::A,空の,ഒഴിഞ്ഞ
552,offen::A,開いた,തുറന്ന
553,geschlossen::A,閉まった,അടച്ച
554,sauber::A,清潔な,വൃത്തിയുള്ള
555,schmutzig::A,汚い,അഴുക്കുനിറഞ്ഞ
556,roh::A,生の,അസംസ്കൃതമായ
557,reif::A,熟した,പഴുത്ത
558,lecker::A,美味しい,രുചികരമായ
559,süß::A,甘い,മധുരമുള്ള
560,bitter::A,苦い,കടുത്ത
561,sauer::A,酸っぱい,പുളിപ്പുള്ള
562,hell::A,明るい,ജ്വലിക്കുന്ന
563,dunkel::A,暗い,ഇരുണ്ട
564,schwarz::A,黒い,കറുത്ത
565,weiß::A,白い,വെളുത്ത
566,rot::A,赤い,ചുവന്ന
567,gelb::A,黄色い,മഞ്ഞനിറമായ
568,blau::A,青い,നീലനിറമുള്ള
569,grün::A,緑の,പച്ചനിറമുള്ള
570,grau::A,灰色の,ചാരനിറത്തിലുള്ള
571,bunt::A,色取り取りの,വർണ്ണശബളമായ
572,billig::A,安い,വിലകുറഞ്ഞ
573,teuer::A,高い,ചെലവേറിയ
574,wertvoll::A,貴重な,വിലപിടിപ്പുള്ള
575,blind::A,盲目の,അന്ധനായ
576,taub::A,耳が聞こえない,കേൾവിക്കുറവുള്ള
577,kräftig::A,強力な,ശക്തിയുള്ള
578,stark::A,強い,ബലമുള്ള
579,schwach::A,弱い,ക്ഷീണിച്ച
580,fett::A,太った,കൊഴുപ്പുള്ള
581,schlank::A,ほっそりした,മെലിഞ്ഞ
582,hübsch::A,素敵な,മനോഹരമായ
583,böse::A,悪い,പാപിയായ
584,dumm::A,馬鹿な,വിവരംകെട്ട
585,faul::A,怠惰な,അലസനായ
586,fleißig::A,勤勉な,അദ്ധ്വാനശീലമുള്ള
587,geizig::A,けちな,പിശുക്കനായ
588,klug::A,賢い,ബുദ്ധിസാമർഥ്യമുള്ള
589,klug::A,頭のいい,ബുദ്ധിസാമർഥ്യമുള്ള
590,geschickt::A,器用な,പ്രതിഭാശാലി
591,lieb::A,愛らしい,പ്രിയപ്പെട്ട
592,lustig::A,楽しい,ആനന്ദകരമായ
593,sanft::A,温和な,സൌമ്യമായ
594,hungrig::A,空腹の,വിശപ്പുള്ള
595,krank::A,病気の,അസുഖമുള്ള
596,nackt::A,裸の,നഡമായ
597,traurig::A,悲しい,വിഷമമുള്ള
598,lebendig::A,生きた,ഉപജീവനം
599,gut::A,良い,നല്ല
600,schlecht::A,悪い,മോശമായ
601,schlecht::A,駄目な,മോശമായ
602,richtig::A,正しい,ശരിയായ
603,schlimm::A,ひどい,വൃത്തികെട്ട
604,wahr::A,本当の,ശരിയായ
605,alt::A,古い,പഴയ
606,neu::A,新しい,പുതിയ
607,ehemalig::A,以前の,മുൻ
608,alt[Lebewesen]::A,年を取った,വയസ്സുള്ള
609,jung::A,若い,കൌമാരമായ
610,arm::A,貧乏な,പാവപ്പെട്ട
611,reich::A,裕福な,സമ്പന്നമായ
612,bekannt::A,有名な,പരിചിതമായ
613,berühmt::A,有名な,പ്രശസ്തനായ
614,fremd::A,見知らぬ,വൈദേശികമായ
615,verschieden::A,色々な,വ്യത്യസ്തമായ
616,nah::A,近い,അരികത്തുള്ള
617,fern::A,遠い,അകലെയുള്ള
618,linker::A,左の,അവശേഷിച്ച
619,rechter::A,右の,വലത്തേ
620,anderer::A,別の,മറ്റുള്ള
621,erster::A,一番目,ആദ്യത്തെ
622,zweiter::A,二番目,രണ്ടാം
623,dritter::A,三番目,മൂന്നാമത്
624,letzter::A,最後の,അവസാനത്തെ
625,allein::ADV,一人で,തനിച്ചുള്ള
626,auf einmal::ADV,同時に,ഉടന്
627,zusammen::ADV,一緒に,ഒരുമിച്ച
628,lange::ADV,長い間,നീണ്ട_കാലത്തേയ്ക്ക്
629,plötzlich::ADV,急に,പെട്ടെന്ന്
630,sofort::ADV,すぐに,തത്ക്ഷണം
631,später::ADV,後で,പിന്നീട്
632,jetzt::ADV,今,ഇപ്പോൾ
633,heute::ADV,今日,ഇന്ന്
634,morgen::ADV,明日,നാളെ
635,bald::ADV,間もなく,ഉടനെ
636,dann::ADV,それから,അപ്പോൾ
637,gestern::ADV,昨日,ഇന്നലെ
638,einst::ADV,過去に,പണ്ടൊരിക്കല്
639,damals::ADV,あの時,അപ്പോൾ
640,danach::ADV,その後で,പിന്നീട്
641,vorher::ADV,以前に,മുൻപ്
642,zuerst::ADV,まず,ആദ്യം
643,zuerst::ADV,最初に,ആദ്യം
644,einmal::ADV,一回,ഒരിക്കൽ
645,manchmal::ADV,時々,ചിലപ്പോൾ
646,oft::ADV,よく,പലപ്പോഴും
647,immer::ADV,いつも,എപ്പോഴും
648,niemals::ADV,一度も...ない,ഒരിക്കലും
649,hier::ADV,こちら,ഇവിടെ
650,hierhin::ADV,ここへ,ഇവിടേക്ക്
651,hierhin::ADV,こちらへ,ഇവിടേക്ക്
