,Concept_ID,ca,no
66,Traum::N,somni,drøm
67,Himmel::N,celm,himmel
68,Sonne::N,sol,sol
69,Mond::N,lluna,måne
70,Stern::N,estel,stjerne
71,Stern::N,estrella,stjerne
72,Luft::N,aire,luft
73,Wind::N,vent,vind
74,Welle::N,ona,bølge
75,Wasser::N,āigua,vann
76,Stein::N,pedra,stein
77,Boden::N,sòl,bakke
78,Erde::N,terra,jord
79,Staub::N,pols,støv
80,Rauch::N,fum,røyk
81,Funke::N,guspira,gnist
82,Funke::N,centella,gnist
83,Feuer::N,foc,ild
84,Licht::N,llum,lys
85,Schatten::N,ombra,skygge
86,Wetter::N,temps,vær
87,Nebel::N,boira,tåke
88,Wolke::N,núvol,sky
89,Regen::N,pluja,regn
90,Schnee::N,neu,snø
91,Eis::N,gel,is
92,Eis::N,glaç,is
93,Frost::N,glaçada,frost
94,Kälte::N,fred,kulde
95,Hitze::N,calor,hete
96,Raureif::N,gebre,rimfrost
97,Regenbogen::N,arc iris,regnbue
98,Donner::N,tro,torden
99,Strömung::N,corrent,strømning
100,Tropfen::N,gota,dråpe
101,Schaum::N,escuma,skum
102,Schmutz::N,brutícia,søl
103,Schmutz::N,brutícia,skitt
104,See::N,llac,sjø
105,Sumpf::N,pantà,sump
106,Sumpf::N,pantà,myrlende
107,Moor::N,pantà,myr
108,Moor::N,pantà,myrhei
109,Wiese::N,prat,eng
110,Wiese::N,prada,eng
111,Wald::N,bosc,skog
112,Hügel::N,puig,haug
113,Hügel::N,puig,bakke
114,Hügel::N,pujol,haug
115,Hügel::N,pujol,bakke
116,Anhöhe::N,turó,haug
117,Anhöhe::N,turó,bakke
118,Berg::N,muntanya,berg
119,Berg::N,muntanya,fjell
120,Gipfel::N,cim,topp
121,Höhle::N,cova,hule
122,Abhang::N,coster,li
123,Abhang::N,coster,skråning
124,Quelle::N,font,kilde
125,Bach::N,riera,bekk
126,Fluss::N,riu,elv
127,Ufer::N,riba,bredd
128,Küste::N,costa,kyst
129,Festland::N,terra ferma,fastland
130,Meer::N,mar,hav
131,Bucht::N,cala,bukt
132,Bucht::N,badia,bukt
133,Insel::N,illa,øy
134,Blume::N,flor,blomst
135,Gras::N,herba,gress
136,Wurzel::N,rel,rot
137,Wurzel::N,arrel,rot
138,Baum::N,arbre,tre
139,Stamm::N,tronc,stamme
140,Rinde::N,escorça,bark
141,Ast::N,branca,gren
142,Zweig::N,ram,kvist
143,Blatt::N,fulla,blad
144,Birke::N,bedoll,bjørk
145,Kiefer[Baum]::N,pi,furu
146,Weide[Baum]::N,salze,selje
147,Weide[Baum]::N,salze,piletre
148,Tanne::N,avet,gran
149,Horn::N,corn,horn
150,Horn::N,banya,horn
151,Feder::N,ploma,fjær
152,Fell::N,pell,skinn
153,Flügel::N,ala,vinge
154,Klaue::N,urpa,klauv
155,Kralle::N,grapa,klo
156,Schwanz::N,cua,hale
157,Ei::N,ou,egg
158,Nest::N,niu,rede
159,Bau::N,cau,hi
160,Tier::N,animāl,dyr
161,Herde::N,ramat,flokk
162,Kuh::N,vaca,ku
163,Bulle::N,toro,tyr
164,Pferd::N,cavāll,hest
165,Schaf::N,be,får
166,Schaf::N,ovella,får
167,Schwein::N,bacó,gris
168,Hund::N,ca,hund
169,Hund::N,gos,hund
170,Katze::N,gat,katt
171,Bär::N,ós,bjørn
172,Eichhörnchen::N,esquirol,ekorn
173,Elch::N,ant,elg
174,Fuchs::N,guilla,rev
175,Hase::N,llebre,hare
176,Maus::N,ratolí,mus
177,Wolf::N,llop,ulv
178,Wolf::N,llop,varg
179,Vogel::N,au,fugl
180,Vogel::N,ocēll,fugl
181,Schwarm::N,bandada,sverm
182,Huhn::N,gallina,høne
183,Hahn::N,gall,hane
184,Gans::N,oca,gås
185,Adler::N,àguila,ørn
186,Ente::N,ànec,and
187,Eule::N,òliba,ugle
188,Eule::N,mussol,ugle
189,Kranich::N,grua,trane
190,Krähe::N,cornella,kråke
191,Kuckuck::N,cucut,gjøk
192,Schwan::N,cigne,svane
193,Fisch::N,peix,fisk
194,Barsch::N,perca,abbor
195,Hecht::N,lluç,gjedde
196,Schlange[Tier]::N,serp,orm
197,Schlange[Tier]::N,serp,slange
198,Wurm::N,cuc,orm
199,Wurm::N,cuc,mark
200,Spinne::N,aranya,edderkopp
201,Ameise::N,formiga,maur
202,Laus::N,poll,lus
203,Mücke::N,mosquit,mygg
204,Fliege::N,mosca,flue
205,Schmetterling::N,papallona,sommerfugl
206,Beere::N,baia,bær
207,Apfel::N,poma,eple
208,Pilz::N,bolet,sopp
209,Zwiebel::N,ceba,løk
210,Saat::N,sembra,sæd
211,Korn::N,gra,korn
212,Heu::N,fenc,høy
213,Schale::N,closca,skall
214,Grube::N,sot,grop
215,Grube::N,clot,grop
216,Falle::N,trampa,felle
217,Schlinge::N,baga,snare
218,Spur::N,traça,spor
219,Asche::N,cendra,aske
220,Dreck::N,llot,møkk
221,Dreck::N,llot,skitt
222,Eisen::N,ferro,jern
223,Gold::N,or,gull
224,Silber::N,plata,sølv
225,Kohle::N,carbó,kol
226,Kohle::N,carbó,kull
227,Glas::N,vidre,glass
228,Lehm::N,fang,leire
229,Lehm::N,argila,leire
230,Sand::N,arena,sand
231,Mensch::N,humà,menneske
232,Mensch::N,persona,menneske
233,Mann::N,home,mann
234,Frau::N,dona,kvinne
235,Kind::N,nen,barn
236,Junge::N,noi,gutt
237,Mädchen::N,noia,pike
238,Mädchen::N,noia,jente
239,Familie::N,família,familie
240,Großvater::N,avi,bestefar
241,Großmutter::N,àvia,bestemor
242,Eltern::N,pares,foreldre
243,Vater::N,pare,far
244,Mutter::N,mare,mor
245,Sohn::N,fill,sønn
246,Tochter::N,filla,datter
247,Bruder::N,germà,bror
248,Schwester::N,germana,søster
249,Onkel::N,oncle,onkel
250,Tante::N,tia,tante
251,Ehemann::N,espòs,ektemann
252,Ehefrau::N,muller,hustru
253,Freude::N,goig,glede
254,Freude::N,alegria,glede
255,Gelächter::N,riallada,latter
256,Glück::N,felicitat,lykke
257,Kummer::N,pena,sorg
258,Wunsch::N,desig,ønske
259,Lust::N,ganes,lyst
260,Geist::N,ment,ånd
261,Geist::N,esperit,ånd
262,Gedanke::N,pensament,tanke
263,Gedächtnis::N,memòria,minne
264,Gedächtnis::N,memòria,hukommelse
265,Verstand::N,raó,forstand
266,Verstand::N,seny,forstand
267,Sinn::N,solta,mening
268,Sinn::N,solta,betydning
269,Sinn::N,sentit,mening
270,Sinn::N,sentit,betydning
271,Grund::N,raó,grunn
272,Grund::N,causa,grunn
273,Wahrheit::N,veritāt,sannhet
274,Gespräch::N,conversa,samtale
275,Märchen::N,conte,eventyr
276,Erzählung::N,narració,fortelling
277,Nachricht::N,missatge,melding
278,Neuigkeit::N,novetat,nyhet
279,Name::N,nom,navn
280,Rätsel::N,endevinalla,gåte
281,Rede::N,discurs,tale
282,Sprache::N,llēngua,språk
283,Stimme::N,veu,stemme
284,Wort::N,mot,ord
285,Wort::N,paraula,ord
286,Zeichen::N,signe,tegn
287,Zeichen::N,senyal,tegn
288,Ruf::N,crida,rop
289,Lärm::N,sorōll,bråk
290,Laut::N,so,lyd
291,Ton::N,to,tone
292,Lied::N,cançó,vise
293,Ruhe::N,calma,ro
294,Ruhe::N,silenci,ro
295,Leute::N,gent,folk
296,Volk::N,poble,folk
297,Arbeit::N,labor,arbeid
298,Arbeit::N,treball,arbeid
299,Gast::N,hoste,gjest
300,Geschenk::N,regal,gave
301,Geschenk::N,obsequi,gave
302,Spiel::N,joc,lek
303,Spiel::N,joc,spill
304,Gesellschaft::N,companyia,selskap
305,Hilfe::N,ajut,hjelp
306,Freund::N,amīc,venn
307,Kamerad::N,company,kamerat
308,Kamerad::N,camarada,kamerat
309,Angelegenheit::N,afer,sak
310,Angelegenheit::N,afer,anliggende
311,Angelegenheit::N,assumpte,sak
312,Angelegenheit::N,assumpte,anliggende
313,Anzahl::N,nombre,antall
314,Anzahl::N,quantitat,antall
315,Art::N,tipus,art
316,Art::N,tipus,slag
317,Art::N,classe,art
318,Art::N,classe,slag
319,Stück::N,peça,stykke
320,Teil::N,part,del
321,Hälfte::N,meitat,halvdel
322,Kreis::N,cercle,ring
323,Kreis::N,cercle,sirkel
324,Kreuz::N,creu,kors
325,Kreuz::N,creu,kryss
326,Linie::N,línia,linje
327,Strich::N,traç,strek
328,Strich::N,ratlla,strek
329,Abstand::N,distància,avstand
330,Entfernung::N,distància,avstand
331,Gegend::N,regió,strøk
332,Gegend::N,contrada,strøk
333,Platz::N,cabuda,plass
334,Ort::N,lloc,sted
335,Seite::N,banda,side
336,Seite::N,costāt,side
337,Mitte::N,mig,midte
338,Mitte::N,centre,midte
339,Gegenstand::N,objecte,gjenstand
340,Sache::N,cosa,sak
341,Rand::N,vora,rand
342,Rand::N,marge,rand
343,Kante::N,caire,kant
344,Kante::N,cantell,kant
345,Ecke::N,cantonada,hjørne
346,Spitze::N,punta,spiss
347,Ende::N,cap,ende
348,Loch::N,forāt,hull
349,Winkel::N,racó,vinkel
350,Muster::N,dibuix,mønster
351,Muster::N,disseny,mønster
352,Größe::N,grandària,størrelse
353,Länge::N,longitud,lengde
354,Höhe::N,altura,høyde
355,Höhe::N,altitud,høyde
356,Gewicht::N,pes,vekt
357,Menge::N,quantitat,mengde
358,Haufen::N,pila,haug
359,Haufen::N,pila,bunke
360,Reihe::N,fila,rekke
361,Boot::N,bot,båt
362,Boot::N,barca,båt
363,Ruder::N,rem,åre
364,Schlitten::N,trineu,slede
365,Schlitten::N,trineu,kjelke
366,Ski::N,esquí,ski
367,Lagerfeuer::N,foc de campament,leirbål
368,Last::N,càrrega,bør
369,Last::N,càrrega,last
370,Gang::N,marxa,gang
371,Schritt::N,pas,steg
372,Schritt::N,pas,skritt
373,Norden::N,nord,nord
374,Süden::N,sud,sør
375,Westen::N,oest,vest
376,Westen::N,occident,vest
377,Osten::N,est,øst
378,Osten::N,orient,øst
379,Holz::N,fusta,tre
380,Brett::N,taula,fjøl
381,Brett::N,taula,brett
382,Platte::N,placa,plate
383,Stütze::N,suport,støtte
384,Stange::N,vara,stang
385,Stock::N,pal,pinne
386,Stab::N,bastó,stav
387,Stab::N,bastó,kjepp
388,Rohr::N,tub,rør
389,Haus::N,casa,hus
390,Heim::N,llar,hjem
391,Ofen::N,estufa,ovn
392,Fußboden::N,terra,gulv
393,Tisch::N,taula,bord
394,Stuhl::N,cadira,stol
395,Wiege::N,bressol,vogge
396,Bett::N,llit,seng
397,Regal::N,prestatgeria,reol
398,Regal::N,prestatgeria,hylle
399,Kiste::N,caixa,kasse
400,Fenster::N,finestra,vindu
401,Tür::N,porta,dør
402,Tor::N,portal,port
403,Zaun::N,tanca,gjerde
404,Dach::N,teulada,tak
405,Leiter::N,escala,stige
406,Leiter::N,escala de mà,stige
407,Besen::N,escombra,kost
408,Spaten::N,pala,spade
409,Schaufel::N,pala,skuffe
410,Gabel::N,forquilla,gaffel
411,Löffel::N,cullera,skje
412,Messer::N,coltell,kniv
413,Nagel::N,clau,spiker
414,Netz::N,filat,nett
415,Haken::N,ganxo,krok
416,Griff::N,puny,tak
417,Griff::N,puny,håndtak
418,Griff::N,mànec,tak
419,Griff::N,mànec,håndtak
420,Schloss::N,pany,lås
421,Bild::N,imatge,bilde
422,Figur::N,figura,figur
423,Puppe::N,nina,dukke
424,Beutel::N,bossa,pose
425,Bündel::N,feix,bylt
426,Bündel::N,paquet,bylt
427,Tasche::N,bossa,veske
428,Eimer::N,galleda,bøtte
429,Deckel::N,tapa,lokk
430,Deckel::N,tapadora,lokk
431,Geschirr::N,vaixella,kjøkkentøy
432,Sack::N,sac,sekk
433,Sack::N,saca,sekk
434,Tasse::N,tassa,kopp
435,Topf::N,pot,gryte
436,Topf::N,olla,gryte
437,Kessel::N,caldera,kjele
438,Essen::N,àpat,mål
439,Essen::N,menjada,mål
440,Nahrung::N,aliment,mat
441,Nahrung::N,aliment,næring
442,Speise::N,plat,matrett
443,Fleisch::N,carn,kjøtt
444,Getreide::N,cereals,korn
445,Brei::N,puré,grøt
446,Brot::N,pa,brød
447,Scheibe::N,tall,skive
448,Scheibe::N,llesca,skive
449,Fett::N,greix,fett
450,Butter::N,mantega,smør
451,Öl::N,oli,olje
452,Salz::N,sal,salt
453,Suppe::N,sopa,suppe
454,Honig::N,mel,honning
455,Milch::N,llet,melk
456,Tee::N,te,te
457,Leder::N,cuir,lær
458,Leder::N,cuir,skinn
459,Wolle::N,llana,ull
460,Stoff::N,tela,tøy
461,Stoff::N,tela,stoff
462,Nadel::N,agulla,nål
463,Faden::N,fil,tråd
464,Knopf::N,botó,knapp
465,Knoten::N,nus,knute
466,Farbe::N,pintura,farge
467,Kleidung::N,roba,påkledning
468,Kleidung::N,vestits,påkledning
469,Hemd::N,camisa,skjorte
470,Kragen::N,coll,krage
471,Ärmel::N,màniga,erme
472,Hose::N,pantalōns,bukse
473,Gürtel::N,cinturó,belte
474,Mütze::N,gorra,lue
475,Schuh::N,sabata,sko
476,Stiefel::N,bota,støvel
477,Ring::N,anell,ring
478,Band::N,veta,band
479,Band::N,cinta,band
480,Kamm::N,pinta,kam
481,Spiegel::N,mirāll,speil
482,Riemen::N,corretja,rem
483,Schnur::N,corda,snor
484,Leine::N,corretja,line
485,Decke::N,manta,teppe
486,Decke::N,flassada,teppe
487,Kissen::N,coixí,pute
488,Tuch::N,mocador,tøy
489,Handtuch::N,tovallola,håndkle
490,Kraft::N,força,kraft
491,Stärke::N,vigor,styrke
492,Gesundheit::N,salut,helse
493,Gesundheit::N,salut,sunnhet
494,Krankheit::N,malaltia,syke
495,Krankheit::N,malaltia,sykdom
496,Schmerz::N,dolor,smerte
497,Wunde::N,ferida,sår
498,Fieber::N,febre,feber
499,Arznei::N,medicament,medisin
500,Arznei::N,medicament,legemiddel
501,Brücke::N,pont,bro
502,Brunnen::N,pou,brønn
503,Weide::N,pastura,beite
504,Pfad::N,senda,sti
505,Pfad::N,sender,sti
506,Weg::N,camí,vei
507,Straße::N,carretera,gate
508,Dorf::N,poble,landsby
509,Stadt::N,ciutāt,by
510,Brief::N,carta,brev
511,Buch::N,llibre,bok
512,Buchstabe::N,lletra,bokstav
513,Zeitung::N,diāri,avis
514,Leben::N,vida,liv
515,Tod::N,mort,død
516,Grab::N,tomba,grav
517,Kirche::N,església,kirke
518,Sünde::N,pecat,synd
519,Gott::N,déu,gud
520,Arbeiter::N,obrer,arbeider
521,Chef::N,cap,sjef
522,Meister::N,mestre,mester
523,Arzt::N,metge,lege
524,Lehrer::N,mestre,lærer
525,Geld::N,dinērs,penger
526,Geschäft::N,negoci,forretning
527,Laden::N,tenda,butikk
528,Laden::N,botiga,butikk
529,Preis::N,preu,pris
530,Ware::N,mercaderia,vare
531,Nutzen::N,profit,nytte
532,Reichtum::N,riquesa,rikdom
533,Welt::N,món,verden
534,Land::N,país,land
535,Staat::N,estat,stat
536,König::N,rei,konge
537,Macht::N,poder,makt
538,Macht::N,potència,makt
539,Grenze::N,frontera,grense
540,Krieg::N,guerra,krig
541,Feind::N,enemic,fiende
542,Gewalt::N,violència,vold
543,Kampf::N,lluita,kamp
544,Bogen[Waffe]::N,arc,bue
545,Pfeil::N,fletxa,pil
546,Gewehr::N,fusell,gevær
547,Gewehr::N,escopeta,gevær
548,Fehler::N,falta,feil
549,Lüge::N,mentida,løgn
550,Schaden::N,dany,skade
551,Unglück::N,desgràcia,uhell
552,Schuld::N,culpa,skyld
553,Alter::N,edat,alder
554,Schluss::N,fi,slutt
555,Schluss::N,final,slutt
556,Zeit::N,temps,tid
557,Tag::N,dia,dag
558,Morgen::N,matí,morgen
559,Mittag::N,migdia,middag
560,Abend::N,vespre,aften
561,Nacht::N,nit,natt
562,Woche::N,setmana,uke
563,Monat::N,mes,måned
564,Jahr::N,any,år
565,Frühling::N,primavera,vår
566,Sommer::N,estīu,sommer
567,Herbst::N,tardor,høst
568,Winter::N,hivērn,vinter
569,Januar::N,gener,januar
570,Februar::N,febrer,februar
571,März::N,març,mars
572,April::N,abril,april
573,Mai::N,maig,mai
574,Juni::N,juny,juni
575,Juli::N,juliol,juli
576,August::N,agost,august
577,September::N,setembre,september
578,Oktober::N,octubre,oktober
579,November::N,novembre,november
580,Dezember::N,desembre,desember
581,Montag::N,dilluns,mandag
582,Dienstag::N,dimarts,tirsdag
583,Mittwoch::N,dimecres,onsdag
584,Donnerstag::N,dijous,torsdag
585,Freitag::N,divendres,fredag
586,Samstag::N,dissabte,lørdag
587,Sonntag::N,diumenge,søndag
588,groß::A,gros,stor
589,klein::A,petīt,liten
590,lang::A,llarg,lang
591,kurz::A,curt,kort
592,breit::A,ample,bred
593,schmal::A,estret,smal
594,dicht::A,dens,tett
595,dick[Gegenstand]::A,gruixūt,tykk
596,dünn::A,prim,tynn
597,fein::A,fi,fin
598,fest::A,ferm,fast
599,fest::A,sòlid,fast
600,flach::A,pla,flat
601,glatt::A,llis,glatt
602,hart::A,dur,hard
603,weich::A,tou,myk
604,weich::A,tou,bløt
605,rund::A,rodó,rund
606,spitz::A,punxegut,spiss
607,scharf::A,agut,kvass
608,stumpf::A,rom,stubb
609,stumpf::A,esmussat,stubb
610,schwer::A,pesāt,tung
611,schön::A,bonīc,pen
612,schön::A,bonīc,vakker
613,heiß::A,calēnt,het
614,warm::A,càlid,varm
615,kalt::A,fred,kald
616,kühl::A,fresc,kjølig
617,frisch::A,fresc,fersk
618,feucht::A,humit,fuktig
619,nass::A,mullat,våt
620,trocken::A,sec,tørr
621,voll::A,ple,full
622,leer::A,buit,tom
623,offen::A,obert,åpen
624,geschlossen::A,tancat,lukket
625,sauber::A,net,ren
626,schmutzig::A,brut,skitten
627,roh::A,cru,rå
628,reif::A,madur,moden
629,lecker::A,deliciós,lekker
630,süß::A,dolç,søt
631,bitter::A,amarg,besk
632,bitter::A,amarg,bitter
633,sauer::A,agre,sur
634,hell::A,clar,lys
635,dunkel::A,fosc,mørk
636,schwarz::A,negre,svart
637,weiß::A,blanc,hvit
638,rot::A,vermēll,rød
639,gelb::A,groc,gul
640,blau::A,blau,blå
641,grün::A,verd,grønn
642,grau::A,gris,grå
643,bunt::A,multicolor,broket
644,billig::A,barat,billig
645,teuer::A,car,dyr
646,wertvoll::A,preciós,verdifull
647,blind::A,cec,blind
648,taub::A,sord,døv
649,kräftig::A,fort,kraftig
650,kräftig::A,vigorós,kraftig
651,stark::A,fort,sterk
652,schwach::A,feble,svak
653,fett::A,gras,fet
654,schlank::A,esvelt,slank
655,hübsch::A,maco,pen
656,böse::A,dolent,slem
657,dumm::A,ximple,dum
658,dumm::A,estúpid,dum
659,faul::A,gandūl,lat
660,faul::A,gandūl,doven
661,faul::A,mandrós,lat
662,faul::A,mandrós,doven
663,fleißig::A,diligēnt,flittig
664,geizig::A,avar,gjerrig
665,klug::A,intel·ligent,klok
666,geschickt::A,hàbil,hendig
667,geschickt::A,hàbil,skikket
668,lieb::A,amat,kjær
669,lieb::A,amat,snill
670,lieb::A,estimat,kjær
671,lieb::A,estimat,snill
672,lustig::A,alegre,morsom
673,sanft::A,suau,blid
674,hungrig::A,afamat,sulten
675,krank::A,malālt,syk
676,nackt::A,nu,naken
677,traurig::A,trist,sørgmodig
678,lebendig::A,viu,levende
679,gut::A,bo,god
680,schlecht::A,dolēnt,dårlig
681,richtig::A,just,riktig
682,richtig::A,correcte,riktig
683,schlimm::A,greu,slem
684,wahr::A,vertader,sann
685,wahr::A,veritable,sann
686,alt::A,vell,gammel
687,neu::A,nou,ny
688,ehemalig::A,antic,forhenværende
689,alt[Lebewesen]::A,vell,gammel
690,jung::A,jove,ung
691,arm::A,pobre,fattig
692,reich::A,ric,rik
693,bekannt::A,conegut,kjent
694,berühmt::A,famós,berømt
695,fremd::A,estrany,fremmed
696,verschieden::A,diferent,forskjellig
697,nah::A,pròxim,nær
698,fern::A,llunyà,fjern
699,fern::A,distant,fjern
700,linker::A,esquerre,venstre
701,rechter::A,dret,høyre
702,anderer::A,altre,annen
703,erster::A,primer,første
704,zweiter::A,segon,annen
705,dritter::A,tercer,tredje
706,letzter::A,últim,sist
707,allein::ADV,sol,alene
708,auf einmal::ADV,d'una vegada,med ett
709,zusammen::ADV,junt,sammen
710,lange::ADV,molt de temps,lenge
711,plötzlich::ADV,de cop,plutselig
712,plötzlich::ADV,de sobte,plutselig
713,sofort::ADV,de seguida,straks
714,später::ADV,més tard,senere
715,jetzt::ADV,ara,nå
716,heute::ADV,avūi,i dag
717,morgen::ADV,demà,i morgen
718,bald::ADV,aviāt,snart
719,dann::ADV,després,så
720,gestern::ADV,ahir,i går
721,einst::ADV,anteriorment,engang
722,damals::ADV,llavōrs,den gang
723,damals::ADV,aleshores,den gang
724,danach::ADV,després,deretter
725,vorher::ADV,abāns,før
726,vorher::ADV,abāns,i forveien
727,zuerst::ADV,primer,først
728,einmal::ADV,una vegada,en gang
729,manchmal::ADV,de vegades,somme tider
730,oft::ADV,sovint,ofte
731,immer::ADV,sempre,alltid
732,niemals::ADV,no ... mai,aldri
733,hier::ADV,aquí,her
734,hierhin::ADV,per aquí,hit
735,von hier::ADV,des d'aquí,herfra
736,dort::ADV,allí,der
737,dorthin::ADV,hi,dit
738,geradeaus::ADV,tot dret,rett fram
739,vorwärts::ADV,endavānt,fram
740,vorwärts::ADV,endavānt,framover
741,rückwärts::ADV,endarrera,baklengs
742,zurück::ADV,darrere,tilbake
743,unten::ADV,a baix,nede
744,hinab::ADV,cap avall,ned
745,hinab::ADV,cap avall,nedover
746,oben::ADV,dalt,oppe
747,oben::ADV,dalt,ovenpå
748,hinauf::ADV,cap amunt,opp
749,hinauf::ADV,cap amunt,oppover
750,überall::ADV,pertot,overalt
751,überall::ADV,per tot arreu,overalt
752,nicht::ADV,no,ikke
753,ein wenig::ADV,una mica,litt
754,kaum::ADV,a penes,neppe
755,sehr::ADV,molt,svært
756,so::ADV,així,så
757,noch::ADV,encara,enda
758,nur::ADV,només,bare
759,schon::ADV,ja,alt
760,schon::ADV,ja,allerede
761,wieder::ADV,de nou,igjen
762,vergebens::ADV,en va,forgjeves
763,vor::PRP,davānt,foran
764,vor::PRP,davānt,utenfor
765,vor::PRP,enfront de,foran
766,vor::PRP,enfront de,utenfor
767,hinter::PRP,darrera,bak
768,hinter::PRP,darrera,bakom
769,unter::PRP,sota,under
770,durch::PRP,per,gjennom
771,durch::PRP,per,igjennom
772,neben::PRP,al costāt de,ved siden av
773,zwischen::PRP,entre,mellom
774,wegen::PRP,a causa de,på grunn av
775,dies::PRN,aquest,dette
776,das::PRN,això,det
777,alles::PRN,tot,alt
778,ich::PRN,jo,jeg
779,du::PRN,tu,du
780,er::PRN,ell,han
781,wir::PRN,nosaltres,vi
782,ihr::PRN,vosaltres,dere
783,sie::PRN,ells,de
784,sie::PRN,elles,de
785,was::FPRN,què,hva
786,wer::FPRN,qui,hvem
787,wo::FADV,on,hvor
788,wohin::FADV,cap a on,hvor ... hen
789,wie::FADV,com,hvordan
790,warum::FADV,per què,hvorfor
791,wieviel::FNUM,quant,hvor mye
792,eins::NUM,u,en
793,eins::NUM,u,ett
794,zwei::NUM,dos,to
795,drei::NUM,tres,tre
796,vier::NUM,quatre,fire
797,fünf::NUM,cinc,fem
798,sechs::NUM,sis,seks
799,sieben::NUM,set,sju
800,acht::NUM,vuit,åtte
801,neun::NUM,nou,ni
802,zehn::NUM,deu,ti
803,elf::NUM,onze,elleve
804,zwölf::NUM,dotze,tolv
805,zwanzig::NUM,vint,tjue
806,dreißig::NUM,trenta,tretti
807,vierzig::NUM,quaranta,førti
808,fünfzig::NUM,cinquanta,femti
809,sechzig::NUM,seixanta,seksti
810,siebzig::NUM,setanta,sytti
811,achtzig::NUM,vuitanta,åtti
812,neunzig::NUM,noranta,nitti
813,hundert::NUM,cent,hundre
814,tausend::NUM,mil,tusen
815,und::CNJ,i,og
816,oder::CNJ,o,eller
817,stehen::V,estar de peu,stå
818,sitzen::V,seure,sitte
819,liegen::V,jeure,ligge
820,hängen::V,penjar,henge
821,werden::V,fer-se,bli
822,werden::V,posar-se,bli
823,passieren::V,succeir,skje
824,passieren::V,succeir,hende
825,beginnen::V,iniciar-se,begynne
826,enden::V,acabar-se,ende
827,enden::V,acabar-se,slutte
828,enden::V,terminar-se,ende
829,enden::V,terminar-se,slutte
830,wechseln::V,canviar,veksle
831,aufgehen[Sonne]::V,sortir,stå opp
832,untergehen[Sonne]::V,posar-se,gå ned
833,scheinen[Sonne]::V,brillar,skinne
834,donnern::V,tronar,tordne
835,wehen::V,bufar,blåse
836,strömen::V,afluir,strømme
837,fließen::V,fluir,flyte
838,sich drehen::V,girar,dreie seg
839,schwanken::V,vacil·lar,svaie
840,schwingen::V,oscil·lar,svinge
841,fallen::V,caure,falle
842,fallen::V,tombar,falle
843,brennen::V,cremar,brenne
844,rauchen::V,fumejar,ryke
845,regnen::V,ploure,regne
846,gefrieren::V,gelar-se,fryse
847,tauen::V,fondre's,tine
848,schmelzen::V,fondre's,smelte
849,trocknen::V,assecar-se,tørre
850,sieden::V,bullir,koke
851,faulen::V,podrir-se,råtne
852,verfaulen::V,podrir-se,råtne
853,reißen::V,trencar-se,briste
854,versinken::V,enfonsar-se,synke
855,versinken::V,enfonsar-se,synke ned
856,vergehen::V,passar,forløpe
857,erscheinen::V,aparèixer,synes
858,verschwinden::V,desaparèixer,forsvinne
859,sinken::V,baixar,synke
860,sinken::V,descendir,synke
861,abnehmen::V,decréixer,avta
862,abnehmen::V,decréixer,minske
863,zunehmen::V,augmentar,tilta
864,steigen::V,pujar,stige
865,wachsen::V,créixer,gro
