,Concept_ID,ta,br
120,Kiefer[Baum]::N,தேவதாரு மரம்,pinenn
121,Weide[Baum]::N,மர வகைகளுள் ஒன்று,halegenn
122,Tanne::N,சாதிக்கய்,sapenn
123,Horn::N,கொம்பு,korn
124,Feder::N,இறகு,pluñv
125,Fell::N,மென்முடி,kreoñ
126,Flügel::N,இறக்கை,askell
127,Klaue::N,நகம்,skilf
128,Kralle::N,நகம்,skilf
129,Schwanz::N,வால்,lost
130,Ei::N,முட்டை,vi
131,Nest::N,கூடு,neizh
132,Bau::N,குகை,douarenn
133,Tier::N,விலங்கு,loen
134,Herde::N,கூட்டம்,tropell
135,Kuh::N,பசு,buoc'h
136,Bulle::N,காளை,tarv
137,Pferd::N,குதிரை,marc'h
138,Schaf::N,செம்மறிஆடு,dañvad
139,Schwein::N,பன்றி,pemoc'h
140,Hund::N,நாய்,ki
141,Katze::N,பூனை,kazh
142,Bär::N,கரடி,arzh
143,Eichhörnchen::N,அணில்,gwiñver
144,Elch::N,கடம்பை,karv-dour
145,Fuchs::N,நரி,louarn
146,Hase::N,முயல்,gad
147,Maus::N,எலி,logodenn
148,Wolf::N,ஓநாய்,bleiz
149,Vogel::N,பறவை,labous
150,Schwarm::N,தொகுதி,nijad
151,Huhn::N,கோழிக்குஞசு,yar
152,Hahn::N,சேவல்,kilhog
153,Gans::N,பெண் வாத்து,gwazenn
154,Adler::N,பருநது,erer
155,Ente::N,வாத்து,houad
156,Eule::N,ஆந்தை,toud
157,Kranich::N,நாரை,garan
158,Krähe::N,காகம்,bran
159,Kuckuck::N,குயில்,koukoug
160,Schwan::N,அன்னம்,alarc'h
161,Fisch::N,மீன்,pesk
162,Barsch::N,பேர்ச்,brell
163,Hecht::N,கோலாச்சி மீன்,beked
164,Schlange[Tier]::N,பாம்பு,naer
165,Wurm::N,புழு,preñv
166,Spinne::N,சிலந்தி,kevnidenn
167,Ameise::N,எறும்பு,merion
168,Laus::N,பேன்,laouenn
169,Mücke::N,கொசுவினப்பூச்சி,moustik
170,Fliege::N,ஈ,kelienenn
171,Schmetterling::N,வண்ணத்துப்பூச்சி,balafenn
172,Beere::N,சதைப்பழம்,hog
173,Apfel::N,ஆப்பிள பழம்,aval
174,Pilz::N,காளான்,kabell-touseg
175,Zwiebel::N,வெங்காயம்,ognonenn
176,Saat::N,விதை,had
177,Korn::N,தானியம்,ed
178,Heu::N,வைக்கோல்,foenn
179,Schale::N,தோல்,peliadur
180,Grube::N,குழி,
181,Falle::N,பொறி,pech
182,Schlinge::N,கண்ணி,krouglas
183,Spur::N,சுவடு,
184,Asche::N,சாம்பல்,ludu
185,Dreck::N,அழுக்கு,fank
186,Eisen::N,இரும்பு,houarn
187,Gold::N,தங்கம்,aour
188,Silber::N,வெள்ளி,arc'hant
189,Kohle::N,நிலக்கரி,glaou
190,Glas::N,கண்ணாடி,gwer
191,Lehm::N,களிமண்,
192,Sand::N,மணல்,traezh
193,Mensch::N,மனிதர்கள்,den
194,Mann::N,மனிதன்,den
195,Frau::N,பெண்,maouez
196,Kind::N,குழந்தை,bugel
197,Junge::N,பையன்,paotr
198,Mädchen::N,சிறுமி,plac'h
199,Familie::N,குடும்பம்,familh
200,Großvater::N,தாத்தா,tad-kozh
201,Großmutter::N,பாட்டி,mamm-gozh
202,Eltern::N,பெற்றோர்,kerent
203,Vater::N,தந்தை,tad
204,Mutter::N,தாய்,mamm
205,Sohn::N,மகன்,mab
206,Tochter::N,மகள்,merc'h
207,Bruder::N,சகோதரன்,breur
208,Schwester::N,அக்கா,c'hoar
209,Onkel::N,தாய் மாமன்,eontr
210,Tante::N,அத்தை,moereb
211,Ehemann::N,கணவன்,gwaz
212,Ehefrau::N,மனைவி,gwreg
213,Freude::N,கொண்டாட்டம்,levenez
214,Gelächter::N,சிரிப்பு,c'hoarzherezh
215,Glück::N,மகிழ்ச்சி,chañs
216,Kummer::N,துயரம்,doan
217,Wunsch::N,விருப்பம்,c'hoant
218,Lust::N,விருப்பம்,c'hoant
219,Geist::N,ஆன்மா,spered
220,Gedanke::N,எண்ணம்,soñj
221,Gedächtnis::N,ஞாபகம்,eñvor
222,Verstand::N,மனம்,skiant
223,Sinn::N,அர்த்தம்,ster
224,Grund::N,காரணம்,kaoz
225,Wahrheit::N,உண்நை,gwirionez
226,Gespräch::N,பெசு,kaozeadenn
227,Märchen::N,நம்பத்தகாத கதை,kaoz korriganez
228,Erzählung::N,கதை,kontadenn
229,Nachricht::N,செய்தி,keloù
230,Neuigkeit::N,செய்தி,kelaouenn
231,Name::N,பெயர்,anv
232,Rätsel::N,புதிர்,divinatez
233,Rede::N,பேச்சு,diskour
234,Sprache::N,மொழி,yezh
235,Stimme::N,குரல்,mouezh
236,Wort::N,வார்த்தை,ger
237,Zeichen::N,குறி,sin
238,Ruf::N,அழைப்பு,galv
239,Lärm::N,சத்தம்,trouz
240,Laut::N,ஒலி,
241,Ton::N,குரல்,ton
242,Lied::N,பாட்டு,kanaouenn
243,Ruhe::N,அமைதி,sioulded
244,Leute::N,மக்கள்,tud
245,Volk::N,மக்கள்,pobl
246,Arbeit::N,வேலை,labour
247,Gast::N,விருந்தாளி,kouviad
248,Geschenk::N,பரிசுப் பொருள்,prof
249,Spiel::N,விளையாட்டு,c'hoari
250,Gesellschaft::N,சமுதாயம்,kompagnunezh
251,Gesellschaft::N,சமுதாயம்,kavandad
252,Hilfe::N,உதவி,sikour
253,Freund::N,நண்பன்,mignon
254,Kamerad::N,உடனிருப்பவன்,kamarad
255,Angelegenheit::N,செய்தி,afer
256,Anzahl::N,எண்ணிக்கை,niver
257,Art::N,வகை,sort
258,Stück::N,துண்டம்,tamm
259,Teil::N,பகுதி,pezh
260,Hälfte::N,பாதி,hanterenn
261,Kreis::N,வட்டம்,kelc'h
262,Kreuz::N,சிலுவை,kroaz
263,Linie::N,கோடு,linenn
264,Strich::N,வாத நோய்,tenn
265,Abstand::N,இடைவெளி,distok
266,Entfernung::N,தூரம்,keid
267,Entfernung::N,தூரம்,kehid
268,Gegend::N,வட்டாரம்,korn-bro
269,Platz::N,வெற்றிடம்,plasenn
270,Ort::N,இடம்,lec'h
271,Seite::N,பக்கம்,tu
272,Mitte::N,இடைப்பகுதி,kreiz
273,Gegenstand::N,உருப்படி,tra
274,Sache::N,பொருள்,tra
275,Rand::N,தொங்கு,kantenn
276,Kante::N,விளிம்பு,kantenn
277,Ecke::N,மூலை,korn
278,Spitze::N,முனை,begell
279,Ende::N,முடிவு,dibenn
280,Loch::N,துளை,toull
281,Winkel::N,கோணம்,
282,Muster::N,பாங்கு,tresadenn
283,Größe::N,அளவு,ment
284,Länge::N,நீளம்,hirder
285,Höhe::N,உயரம்,uhelder
286,Gewicht::N,எடை,pouez
287,Menge::N,தொகை,bern
288,Haufen::N,குவியல்,bern
289,Reihe::N,வரிசை,steud
290,Boot::N,படகு,bag
291,Ruder::N,துடுப்பு,roeñv
292,Schlitten::N,சகடையிலா வண்டி,trainell
293,Ski::N,பனிச் சறுக்கல்,ski
294,Lagerfeuer::N,மூட்டம்,
295,Last::N,பாரம்,karg
296,Gang::N,நடை,kerzh
297,Schritt::N,காலடி,paz
298,Norden::N,வடக்கு,norzh
299,Norden::N,வடக்கு,hanternoz
300,Süden::N,தெற்கு,su
301,Süden::N,தெற்கு,kreisteiz
302,Westen::N,மேற்கு திசை,kuzh-heol
303,Osten::N,கிழக்கு,reter
304,Osten::N,கிழக்கு,sav-heol
305,Holz::N,மரக்கட்டை,koad
306,Brett::N,பலகை,plankenn
307,Platte::N,பலகம்,plakenn
308,Stütze::N,அடைப்புகன்,harp
309,Stange::N,கம்பம்,sparl
310,Stock::N,குச்சி,bazh
311,Stab::N,கம்பு,bazh
312,Rohr::N,குழாய்,tub
313,Rohr::N,குழாய்,korz
314,Haus::N,வீடு,ti
315,Heim::N,வீடு,kêr
316,Ofen::N,அடுப்பு,forn
317,Fußboden::N,தரை,plañchod
318,Tisch::N,மேசை,taol
319,Stuhl::N,நாற்காலி,kador
320,Wiege::N,தொட்டில்,kavell
321,Bett::N,படுக்கை,gwele
322,Regal::N,அலமாரி,estajerenn
323,Kiste::N,பெட்டி,kased
324,Fenster::N,சாளரம்,prenestr
325,Tür::N,கதவு,dor
326,Tor::N,வாசற்கதவு,portal
327,Zaun::N,வேலி,sklotur
328,Dach::N,கூரை,toenn
329,Leiter::N,ஏணி,skeul
330,Besen::N,விளக்குமாறு,skubell
331,Spaten::N,மண்வெட்டி,pal
332,Schaufel::N,அடிதண்டா,pal
333,Gabel::N,முட்கரண்டி,fourchetez
334,Löffel::N,கரண்டி,loa
335,Messer::N,கத்தி,kontell
336,Nagel::N,ஆணி,tach
337,Netz::N,வலை,roued
338,Haken::N,கொக்கி,krog
339,Griff::N,கைப்பிடி,kemer
340,Schloss::N,பூட்டு,potenn
341,Bild::N,படம்,skeudenn
342,Figur::N,எண்ணிக்கை,skeud
343,Figur::N,எண்ணிக்கை,figur
344,Puppe::N,பொம்மை,merc'hodenn
345,Beutel::N,பை,sac'h
346,Bündel::N,பொதி,feskenn
347,Tasche::N,பை,sac'h
348,Eimer::N,வாளி,sailh
349,Deckel::N,உறை,pallenn
350,Geschirr::N,பாத்திரம்,listriaj
351,Sack::N,பை,sac'h
352,Tasse::N,கிண்ணம்,tas
353,Topf::N,பானை,pod
354,Kessel::N,கெண்டி,chaodouron
355,Essen::N,உணவருந்துதல்,pred
356,Nahrung::N,உணவு,boued
357,Speise::N,உணவு வகை,meuz
358,Fleisch::N,இறைச்சி,kig
359,Getreide::N,மக்காச்சோளம்,ed
360,Brei::N,கஞ்சி,yod
361,Brot::N,ரொட்டி,bara
362,Scheibe::N,துண்டு,tailhenn
363,Fett::N,கொழுப்பு,lard
364,Butter::N,வெண்ணெய்,amann
365,Öl::N,எண்ணெய்,eoul
366,Salz::N,உப்பு,holen
367,Suppe::N,ரசம்,soubenn
368,Honig::N,தேன்,mel
369,Milch::N,பால்,laezh
370,Tee::N,தெனீர்,te
371,Leder::N,பதம் செய்யப்பட்ட தோல்,lêr
372,Wolle::N,கம்பளி,gloan
373,Stoff::N,துணி,danvez
374,Nadel::N,ஊசி,nadoz
375,Faden::N,நூல்,neudenn
376,Knopf::N,பொத்தான்,bouton
377,Knoten::N,முடிச்சு,skoulm
378,Farbe::N,வண்ணக் குழம்பு,liv
379,Kleidung::N,ஆடைகள்,dilhad
380,Hemd::N,சட்டை,roc'hed
381,Kragen::N,கழுத்துப் பட்டை,gouzoug
382,Ärmel::N,சட்டைக்கை,milgin
383,Hose::N,கால்சட்டை,bragoù
384,Gürtel::N,பெல்ட்,gouriz
385,Mütze::N,தொப்பி,boned
386,Schuh::N,காலணி,botez
387,Stiefel::N,காலணி,botez
388,Ring::N,மோதிரம்,gwalenn
389,Band::N,நாடா,bagad
390,Kamm::N,கீப்பு,krib
391,Spiegel::N,ஆடி,melezour
392,Spiegel::N,கண்ணாடி,melezour
393,Riemen::N,வார்,lerenn
394,Schnur::N,கயிறு,kordenn
395,Leine::N,தோல்வார்,roll
396,Decke::N,போர்வை,golo
397,Kissen::N,தலையணை,goubenner
398,Tuch::N,துணி,mezher
399,Handtuch::N,தண்டு,toailhon
400,Kraft::N,நிர்பந்தம்,nerzh
401,Stärke::N,பலம்,nerzhder
402,Gesundheit::N,ஆரோக்கியம்,yec'hed
403,Krankheit::N,நோய்,klañved
404,Schmerz::N,வலி,poan
405,Schmerz::N,வலி,droug
406,Wunde::N,காயம்,gloazadenn
407,Fieber::N,காய்ச்சல்,terzhienn
408,Arznei::N,மருந்து,louzoù
409,Brücke::N,பாலம்,pont
410,Brunnen::N,கேணி,puñs
411,Weide::N,மேய்ச்சல் நிலம்,prad
412,Pfad::N,நடை வழி,gwenodenn
413,Weg::N,வழி,hent
414,Straße::N,சாலை,ru
415,Straße::N,சாலை,hent
416,Dorf::N,கிராமம்,kêr
417,Dorf::N,கிராமம்,kêriadenn
418,Stadt::N,நகரம்,kêr
419,Brief::N,கடிதம்,lizher
420,Buch::N,புத்தகம்,levr
421,Buchstabe::N,எழத்து,lizherenn
422,Zeitung::N,செய்தித்தாள்,kazetenn
423,Leben::N,வாழ்க்கை,buhez
424,Tod::N,மரணம்,marv
425,Grab::N,சமாதி,bez
426,Kirche::N,தேவாலயம்,iliz
427,Sünde::N,பாவம்,pec'hed
428,Gott::N,கடவுள்,doue
429,Arbeiter::N,தொழிலாளி,labourer
430,Arbeiter::N,தொழிலாளி,micherour
431,Chef::N,மேலாளர்,penn
432,Meister::N,தலைவன்,mestr
433,Arzt::N,மருத்துவர்,mezeg
434,Arzt::N,மருத்துவர்,medisin
435,Lehrer::N,ஆசிரியர்,skolaer
436,Lehrer::N,ஆசிரியர்,kelenner
437,Geld::N,பணம்,arc'hant
438,Geschäft::N,வாணிபம்,stal
439,Laden::N,கடை,stal
440,Preis::N,விலை,priz
441,Ware::N,சாமன்கள்,marc'hadourezh
442,Nutzen::N,இலாபம்,gounidegezh
443,Nutzen::N,இலாபம்,lañs
444,Nutzen::N,இலாபம்,profit
445,Nutzen::N,இலாபம்,spleit
446,Reichtum::N,சொத்து,pinvidigezh
447,Welt::N,உலகம்,douar
448,Land::N,நாடு,bro
449,Staat::N,நாடு,stad
450,König::N,அரசன்,roue
451,Macht::N,அதிகாரம்,galloud
452,Grenze::N,எல்லை,harzoù
453,Krieg::N,போர்,brezel
454,Feind::N,எதிரி,eneber
455,Gewalt::N,வன்முறை,tâerder
456,Kampf::N,போராட்டம்,kann
457,Bogen[Waffe]::N,வில்,gwareg
458,Pfeil::N,அம்பு,saezh
459,Gewehr::N,துப்பாக்கி,fuzuilh
460,Fehler::N,தவறு,fazi
461,Lüge::N,பொய்,gaou
462,Schaden::N,சேதாரம்,gwall
463,Unglück::N,இடையூறு,gwalleur
464,Schuld::N,குற்றம்,kablusted
465,Schuld::N,குற்றம்,pec'hedigezh
466,Alter::N,வயது,oad
467,Schluss::N,முடிவு,diwezh
468,Zeit::N,காலம்,amzer
469,Tag::N,நாள்,deizh
470,Morgen::N,காலை நேரம்,beure
471,Morgen::N,காலை நேரம்,mintin
472,Mittag::N,மதியம்,kreisteiz
473,Abend::N,மாலைப் பொழுது,abardaez
474,Nacht::N,இரவு,noz
475,Woche::N,வாரம்,sizhun
476,Monat::N,மாதம்,miz
477,Jahr::N,வருடம்,bloaz
478,Frühling::N,வசந்தம்,nevezamzer
479,Sommer::N,கோடை,hañv
480,Herbst::N,இலையுதிர் காலம்,diskaramzer
481,Winter::N,குளிர்காலம்,goañv
482,Januar::N,ஜனவரி,Genver
483,Februar::N,பிபரவரி மாதம்,C'hwevrer
484,März::N,மார்ச் மாதம்,Meurzh
485,April::N,ஏப்ரல் மாதம்,Ebrel
486,Mai::N,மே மாதம்,Mae
487,Juni::N,ஜூன் மாதம்,Mezheven
488,Juli::N,ஜூலை மாதம்,Gouhere
489,August::N,ஆகஸ்ட் மாதம்,Eost
490,September::N,செப்டம்பர் மாதம்,Gwengolo
491,Oktober::N,அக்டோபர் மாதம்,Here
492,November::N,நவம்பர் மாதம்,Du
493,Dezember::N,டிசம்பர்,Kerzu
494,Montag::N,திங்கட் கிழமை,Lun
495,Dienstag::N,செவ்வாய்க்கிழமை,Meurzh
496,Mittwoch::N,புதன் கிழமை,Merc'her
497,Donnerstag::N,வியாழக் கிழமை,Yaou
498,Freitag::N,வெள்ளிக்கிழமை,Gwener
499,Samstag::N,சனிக்கிழமை,Sadorn
500,Sonntag::N,ஞாயிறுக் கிழமை,Sul
501,groß::A,பெரிய,bras
502,klein::A,சிறிய,bihan
503,lang::A,நீண்ட,hir
504,kurz::A,குட்டையான,berr
505,breit::A,அகலமான,ledan
506,schmal::A,குறுகலான,strizh
507,dicht::A,அடர்த்தியான,stank
508,dick[Gegenstand]::A,தடித்த,tev
509,dünn::A,சன்னமான,moan
510,fein::A,மெல்லிய,munut
511,fest::A,உறுதியாள,start
512,flach::A,தட்டையான,plaen
513,glatt::A,வழுவழுப்பான,lintr
514,glatt::A,வழுவழுப்பான,levn
515,hart::A,கடினமான,kalet
516,weich::A,மென்மையான,blot
517,rund::A,உருண்டையான,ront
518,spitz::A,திகந்தமாக,poentet
519,scharf::A,கூரான,dremm
520,stumpf::A,உளம் திறந்த,talsoc'h
521,schwer::A,கனமான,pounner
522,schön::A,அழகான,kaer
523,heiß::A,சூடான,tomm
524,warm::A,இதமான,tomm
525,kalt::A,குளிர்ச்சியான,yen
526,kühl::A,குளிர்ச்சியான,yen
527,frisch::A,சுத்தமான,fresk
528,feucht::A,ஈரமான,gleb
529,nass::A,ஈரமான,gleb
530,trocken::A,உலர்ந்த,sec'h
531,voll::A,நிரம்பிய,leun
532,leer::A,காலியான,goullo
533,offen::A,திறந்த,digor
534,geschlossen::A,மூடப்பட்ட,serr
535,sauber::A,சுத்தமான,naet
536,schmutzig::A,அழக்கான,lous
537,roh::A,கச்சா,kriz
538,reif::A,பழுத்த,darev
539,lecker::A,சுவைமிக்க,lipous
540,lecker::A,சுவைமிக்க,saourus
541,süß::A,இனிப்பான,dous
542,bitter::A,கசப்பான,c'hwerv
543,sauer::A,புளிப்பாக,trenk
544,hell::A,பளபளப்பான,sklaer
545,dunkel::A,கருமையான,teñval
546,schwarz::A,கருப்பு வண்ண,du
547,weiß::A,வெண்மையன,gwenn
548,rot::A,சிவப்பு,ruz
549,gelb::A,மஞ்சள் வண்ணம்,melen
550,blau::A,நீல வண்ண,glas
551,grün::A,பச்சை வண்ண,gwer
552,grau::A,சாம்பல் நிற,louet
553,bunt::A,வண்ண மயமான,liesliv
554,billig::A,மலிவான,marc'had-mat
555,teuer::A,விலை அதிகமான,ker
556,wertvoll::A,மதிப்புள்ள,prizius
557,blind::A,பார்வையற்ற,dall
558,taub::A,செவிடான,bouzar
559,kräftig::A,வலிமையான,start
560,stark::A,பலமான,kreñv
561,schwach::A,பலவீனமான,gwan
562,fett::A,பருமனாக,lard
563,schlank::A,ஒல்லியான,sinkl
564,hübsch::A,அழகிய,koant
565,böse::A,கேடு விளைவிக்கும்,gwall
566,dumm::A,முட்டாள்தனமான,glep
567,faul::A,சோம்பலான,lezirek
568,fleißig::A,ஊக்கந்தளராத,studius
569,geizig::A,கஞேசத்தனமான,tost
570,klug::A,சாதுரியமான,speredek
571,geschickt::A,திறமையள்ள,dornet
572,lieb::A,அன்புக்குரிய,koant
573,lustig::A,களிப்புமிக்க,laouen
574,sanft::A,சாதுவான,flour
575,hungrig::A,பசியுடன்,marnaon
576,krank::A,நோயுற்று,klañv
577,nackt::A,ஆடையற்ற,noazh
578,traurig::A,சோகமான,trist
579,lebendig::A,பிழைப்பு,bev
580,gut::A,நல்ல,mad
581,schlecht::A,கெட்ட,fall
582,schlecht::A,கெட்ட,gwall
583,richtig::A,சரியான,reizh
584,schlimm::A,அருவருப்பான,gwall
585,wahr::A,உண்மையான,gwir
586,alt::A,பழைய,kozh
587,neu::A,புதிய,nevez
588,ehemalig::A,முன்நாள்,kozh
589,alt[Lebewesen]::A,வயதான,kozh
590,jung::A,இளமையான,yaouank
591,arm::A,ஏழ்மையான,paour
592,reich::A,செல்வம் படைத்த,pinvidik
593,bekannt::A,பழக்கப்பட்ட,anavezet
594,berühmt::A,புகழ்பெற்ற,brudet
595,fremd::A,அயல் நாட்டு,dizanav
596,verschieden::A,வித்தியாசமான,disheñel
597,nah::A,பக்கத்தில் உள்ள,nes
598,fern::A,தொலை தூரத்தில்,diabell
599,linker::A,மீந்திருக்கும்,kleiz
600,rechter::A,வலதுபக்கம்,dehoù
601,anderer::A,மற்ற,all
602,erster::A,முதனமையான,kentañ
603,zweiter::A,இரண்டாவது,eil
604,dritter::A,மூன்றாவது,trede
605,letzter::A,கடைசி,diwezhañ
606,allein::ADV,தனியாக,e-unan
607,auf einmal::ADV,தடீரென்று,ar un dro
608,zusammen::ADV,சேர்ந்து,asambles
609,lange::ADV,அதிக நோம்,pell
610,plötzlich::ADV,தடீரென்று,en un taol
611,sofort::ADV,உடனடியாக,diouzhtu
612,später::ADV,பிறகு,diwezhatoc'h
613,jetzt::ADV,இப்பொழது,bremañ
614,heute::ADV,இன்று,hiziv
615,morgen::ADV,நாளைக்கு,arc'hoazh
616,bald::ADV,சீக்கிரம்,hepdale
617,dann::ADV,அப்பொழுது,a-c'houde
618,gestern::ADV,நேற்று,dec'h
619,einst::ADV,ஒரே முறை,gwechall
620,damals::ADV,அப்பொழுது,neuze
621,danach::ADV,பிற்பாடு,goude
622,vorher::ADV,முன்பாக,diagent
623,zuerst::ADV,முதலில்,da gentañ
624,einmal::ADV,ஒரே முறை,ur wech
625,manchmal::ADV,சில நேரங்களில்,a-wechoù
626,oft::ADV,அடிக்கடி,alies
627,immer::ADV,எப்பொழுதும்,atav
628,immer::ADV,எப்பொழுதும்,bepred
629,niemals::ADV,ஒருபோதும் இல்லை,gwech ebet
630,hier::ADV,இங்கே,amañ
631,hierhin::ADV,இவ்விடத்திற்கு,dre amañ
632,von hier::ADV,இனி,alemañ
633,dort::ADV,அங்கே,aze
634,dort::ADV,அங்கே,ahont
635,dorthin::ADV,அவ்விடத்திற்கு,di
636,dorthin::ADV,அவ்விடத்திற்கு,aze
637,dorthin::ADV,அவ்விடத்திற்கு,ahont
638,geradeaus::ADV,முன்னாலிருக்கும்,war-eeun
639,vorwärts::ADV,முன்புறமாக,war-raok
640,rückwärts::ADV,பின்னோக்கி,war-lerc'h
641,zurück::ADV,பின்பக்கம்,war-dreñv
642,unten::ADV,கீழாக,en traoñ
643,hinab::ADV,கீழ் நோக்கி,a-izel
644,oben::ADV,மேலே,en nec'h
645,hinauf::ADV,மேலே,e-krec'h
646,überall::ADV,எல்லா இடத்திலும்,dre-holl
647,nicht::ADV,இல்லை,ne ... ket
648,ein wenig::ADV,கொஞ்சம்,un tammig
649,kaum::ADV,அரிதாக,a-boan
650,sehr::ADV,மிக்க,-tre
651,sehr::ADV,மிக்க,-kenañ
652,so::ADV,மிகவும்,evel-se
653,noch::ADV,இப்பொழுதும்,c'hoazh
654,nur::ADV,மட்டும்,hepken
655,schon::ADV,ஏற்கனவே,dija
656,wieder::ADV,மறுபடியும்,adarre
657,vergebens::ADV,வீண்,
658,vor::PRP,முன்,dirak
659,hinter::PRP,பின்பக்கம்,a-drek
660,hinter::PRP,பின்பக்கம்,a-dreñv
661,unter::PRP,கீழே,dindan
662,durch::PRP,ஊடே,dre
663,neben::PRP,அடுத்து,e-kichen
664,zwischen::PRP,இடையில்,etre
665,wegen::PRP,ஏனெனில்,abalamour da
666,dies::PRN,இது,hemañ
667,das::PRN,அது,se
668,das::PRN,அது,hennezh
669,alles::PRN,ஒவ்வொன்றும்,pep tra
670,ich::PRN,நான்,me
671,du::PRN,நீ,te
672,er::PRN,அவன்,eñ
673,wir::PRN,நாம்,ni
674,wir::PRN,நாங்கள்,ni
675,ihr::PRN,நீங்கள்,c'hwi
676,sie::PRN,அவர்கள்,int
677,was::FPRN,என்ன,petra
678,wer::FPRN,யார்,piv
679,wo::FADV,எங்கே,pelec'h
680,wohin::FADV,எதற்கு,da belec'h
681,wie::FADV,எப்படி,penaos
